source_headword	MY	example_MY
quota	ခွဲတမ်း	အဖွဲ့သည် ၎င်း၏ အရောင်းခွဲတမ်းကို ပြည့်မီခဲ့သည်။
radar	ရေဒါ	မုန်တိုင်းသည် ရေဒါပေါ်တွင် ပေါ်လာသည်။
radical	အခြေခံကျသော	အဖွဲ့သည် အခြေခံကျသော ပြုပြင်ပြောင်းလဲမှုများကို အဆိုပြုခဲ့သည်။
rage	ဒေါသ	သူ၏ ဒေါသသည် လျင်မြန်စွာ ပြေပျောက်သွားသည်။
raid	ဝင်ရောက်စီးနင်းခြင်း	ရဲတပ်ဖွဲ့က အရုဏ်တက်ချိန်တွင် ဝင်ရောက်စီးနင်းခဲ့သည်။
rally	လူထုစုဝေးပွဲ	ထောက်ခံသူများသည် မြို့လယ်ရှိ လူထုစုဝေးပွဲတွင် ပါဝင်ခဲ့ကြသည်။
ranking	အဆင့်သတ်မှတ်ချက်	တက္ကသိုလ်သည် ၎င်း၏ အဆင့်သတ်မှတ်ချက်ကို တိုးတက်စေခဲ့သည်။
rape	မုဒိမ်းမှု	မုဒိမ်းမှုများကို သေချာစွာ စုံစမ်းစစ်ဆေးကြသည်။
ratio	အချိုး	အတန်းတွင် ဆရာအချိုး အနည်းငယ်သာ ရှိသည်။
rational	ဆင်ခြင်တုံတရားရှိသော	သူမ၏ ဆုံးဖြတ်ချက်သည် ဆင်ခြင်တုံတရားရှိသည်။
ray	ရောင်ခြည်	နေရောင်ခြည်တစ်တန်း ဝင်လာသည်။
readily	လွယ်ကူစွာ	သူသည် ကမ်းလှမ်းချက်ကို လွယ်ကူစွာ လက်ခံခဲ့သည်။
realization	သဘောပေါက်ခြင်း	သဘောပေါက်ခြင်းက သူမ၏ အစီအစဉ်များကို ပြောင်းလဲစေခဲ့သည်။
realm	နယ်ပယ်	ဤမေးခွန်းသည် အခြားနယ်ပယ်တစ်ခုနှင့် သက်ဆိုင်သည်။
rear	နောက်ဘက်	ယနေ့တွင် နောက်ဘက် ဝင်ပေါက်ကို အသုံးပြုပါ။
reasoning	ကျိုးကြောင်းဆင်ခြင်ခြင်း	သူ၏ ကျိုးကြောင်းဆင်ခြင်မှုသည် ရှင်းလင်းသည်။
reassure	စိတ်သက်သာရာရစေသည်	ဆရာဝန်က သူမကို စိတ်သက်သာရာရစေခဲ့သည်။
rebel	သူပုန်	သူပုန်ခေါင်းဆောင်သည် ဖမ်းဆီးခံရခြင်းမှ လွတ်မြောက်သွားသည်။
rebellion	ပုန်ကန်မှု	စေ့စပ်ညှိနှိုင်းမှုများအပြီးတွင် ပုန်ကန်မှု ပြီးဆုံးသွားသည်။
recipient	လက်ခံရရှိသူ	လက်ခံရရှိသူက ဖောင်တွင် လက်မှတ်ရေးထိုးခဲ့သည်။
reconstruction	ပြန်လည်တည်ဆောက်ရေး	ရေကြီးပြီးနောက် ပြန်လည်တည်ဆောက်ရေး စတင်ခဲ့သည်။
recount1	ပြန်လည်ပြောပြသည်	သူမသည် ဖြစ်ရပ်များကို ရှင်းလင်းစွာ ပြန်လည်ပြောပြနိုင်သည်။
referendum	ပြည်လုံးကျွတ်ဆန္ဒခံယူပွဲ	ပြည်လုံးကျွတ်ဆန္ဒခံယူပွဲက နိုင်ငံကို ကွဲပြားစေခဲ့သည်။
reflection	ပြန်လည်သုံးသပ်ခြင်း	စာစီစာကုံးသည် ပိုမိုနက်ရှိုင်းသော ပြန်လည်သုံးသပ်မှု လိုအပ်သည်။
reform	ပြုပြင်ပြောင်းလဲရေး	ပြုပြင်ပြောင်းလဲရေးက ပြည်သူ့ဝန်ဆောင်မှုများကို တိုးတက်စေခဲ့သည်။
refuge	ခိုလှုံရာ	မိသားစုသည် ပြည်ပတွင် ခိုလှုံရာ ရှာဖွေခဲ့ကြသည်။
refusal	ငြင်းဆန်မှု	သူမ၏ ငြင်းဆန်မှုက ကော်မတီကို အံ့သြစေခဲ့သည်။
regain	ပြန်လည်ရရှိသည်	သူသည် ယုံကြည်မှုကို ပြန်လည်ရရှိခဲ့သည်။
regardless	မည်သို့ပင်ဖြစ်စေ	ဝေဖန်မှုများ ရှိနေသော်လည်း ၎င်းတို့ ဆက်လက်လုပ်ဆောင်ခဲ့ကြသည်။
regime	အစိုးရအဖွဲ့	အစိုးရအဖွဲ့သည် လွတ်လပ်စွာ ပြောဆိုခွင့်ကို ကန့်သတ်ခဲ့သည်။
regulator	စည်းမျဉ်းထိန်းသိမ်းရေးအဖွဲ့	စည်းမျဉ်းထိန်းသိမ်းရေးအဖွဲ့က ကုမ္ပဏီကို ဒဏ်ရိုက်ခဲ့သည်။
regulatory	စည်းမျဉ်းဆိုင်ရာ	စည်းမျဉ်းဆိုင်ရာ အတည်ပြုချက်ရရန် လပေါင်းများစွာ ကြာခဲ့သည်။
rehabilitation	ပြန်လည်ထူထောင်ရေး	ပြန်လည်ထူထောင်ရေးက သူ့ကို ပြန်လည်လမ်းလျှောက်နိုင်ရန် ကူညီပေးခဲ့သည်။
reign	စိုးစံခြင်း	ဘုရင်၏ စိုးစံခြင်းသည် ဆယ်စုနှစ်များစွာ ကြာမြင့်ခဲ့သည်။
rejection	ပယ်ချခြင်း	ပယ်ချခြင်းက သူမ၏ ယုံကြည်မှုကို ထိခိုက်စေခဲ့သည်။
relevance	ဆက်စပ်မှု	ဒေတာတွင် အကန့်အသတ်ရှိသော ဆက်စပ်မှုသာ ရှိသည်။
reliability	ယုံကြည်စိတ်ချရမှု	အရေးပေါ်စနစ်များတွင် ယုံကြည်စိတ်ချရမှုသည် အရေးကြီးသည်။
reluctant	တွန့်ဆုတ်သော	သူသည် စကားပြောရန် တွန့်ဆုတ်နေခဲ့သည်။
remainder	ကျန်ရှိသောအပိုင်း	ကျန်ရှိသောအပိုင်းကို ပရဟိတအဖွဲ့သို့ လှူဒါန်းခဲ့သည်။
remains	အကြွင်းအကျန်များ	အကြွင်းအကျန်များကို ဂရုတစိုက် စစ်ဆေးခဲ့သည်။
remedy	ကုစားမှု	ဥပဒေက ကုစားမှုတစ်ခု ပံ့ပိုးပေးသည်။
reminder	သတိပေးချက်	အီးမေးလ်သည် အသုံးဝင်သော သတိပေးချက်တစ်ခု ဖြစ်ခဲ့သည်။
removal	ဖယ်ရှားခြင်း	အတားအဆီးများကို ဖယ်ရှားခြင်းက ကုန်သွယ်ရေးကို အထောက်အကူပြုသည်။
render	ဖြစ်စေသည်	အမှားက စာချုပ်ကို တရားမဝင် ဖြစ်စေခဲ့သည်။
renew	သက်တမ်းတိုးသည်	သင့်နိုင်ငံကူးလက်မှတ်ကို မကြာမီ သက်တမ်းတိုးပါ။
renowned	ကျော်ကြားသော	သူမသည် သူမ၏ သုတေသနအတွက် ကျော်ကြားသည်။
rental	ငှားရမ်းခြင်း	ငှားရမ်းခြင်းတွင် အာမခံ ပါဝင်သည်။
replacement	အစားထိုးခြင်း	အစားထိုး အစိတ်အပိုင်း ယနေ့ ရောက်ရှိလာသည်။
reportedly	သတင်းများအရ	ဝန်ကြီးသည် မနေ့က ရာထူးမှ နုတ်ထွက်ခဲ့သည်ဟု သတင်းများအရ သိရသည်။
representation	ကိုယ်စားပြုမှု	တရားမျှတသော ကိုယ်စားပြုမှုသည် အရေးကြီးဆဲဖြစ်သည်။
reproduce	မျိုးပွားသည်	ဤအပင်များသည် လျင်မြန်စွာ မျိုးပွားကြသည်။
reproduction	ပုံတူကူးခြင်း	ဒစ်ဂျစ်တယ် ပုံတူကူးခြင်းက အသုံးပြုခွင့်ကို တိုးတက်စေခဲ့သည်။
republic	သမ္မတနိုင်ငံ	သမ္မတနိုင်ငံသည် ရွေးကောက်ပွဲများ ကျင်းပခဲ့သည်။
resemble	တူညီသည်	ဒီဇိုင်းနှစ်ခုသည် အချင်းချင်း အလွန်တူညီကြသည်။
reside	နေထိုင်သည်	သူတို့သည် နယ်စပ်အနီးတွင် နေထိုင်ကြသည်။
residence	နေအိမ်	သူ၏ တရားဝင် နေအိမ်ကို လုံခြုံရေးချထားသည်။
residential	လူနေအိမ်ရာ	အဆိုပါနယ်မြေသည် အများအားဖြင့် လူနေရပ်ကွက်ဖြစ်သည်။
residue	အကြွင်းအကျန်	သန့်စင်ဆေးရည်က စေးကပ်သော အကြွင်းအကျန်ကို ချန်ထားခဲ့သည်။
resignation	ရာထူးမှနုတ်ထွက်ခြင်း	သူမ၏ ရာထူးမှနုတ်ထွက်ခြင်းက ဒါရိုက်တာအဖွဲ့ကို အံ့သြစေခဲ့သည်။
resistance	ခုခံမှု	ပြောင်းလဲမှုကို ခုခံမှုသည် အားကောင်းခဲ့သည်။
respective	သက်ဆိုင်ရာ	သူတို့သည် ၎င်းတို့၏ သက်ဆိုင်ရာ ရုံးခန်းများသို့ ပြန်သွားကြသည်။
respectively	အသီးသီး	ရမှတ်များသည် အသီးသီး ၈၀ နှင့် ၉၀ ဖြစ်သည်။
restoration	ပြန်လည်ပြုပြင်ခြင်း	အဆောက်အအုံကို ပြန်လည်ပြုပြင်ရန် နှစ်ပေါင်းများစွာ ကြာခဲ့သည်။
restraint	ထိန်းချုပ်မှု	ရဲတပ်ဖွဲ့က ထိန်းချုပ်မှုကို ပြသခဲ့သည်။
resume	ပြန်လည်စတင်သည်	အတန်းများကို နောက်အပတ်တွင် ပြန်လည်စတင်မည်ဖြစ်သည်။
retreat	ဆုတ်ခွာခြင်း	စစ်တပ်က ဆုတ်ခွာခြင်းကို စတင်ခဲ့သည်။
retrieve	ပြန်လည်ယူဆောင်သည်	သူမသည် ဖိုင်ကို ပြန်လည်ယူဆောင်ခဲ့သည်။
revelation	ဖွင့်ဟချက်	ထိုဖွင့်ဟချက်က သူ၏ ဂုဏ်သတင်းကို ထိခိုက်စေခဲ့သည်။
revenge	လက်စားချေခြင်း	သူသည် စော်ကားမှုအတွက် လက်စားချေလိုခဲ့သည်။
reverse	ပြောင်းပြန်လှန်သည်	တရားရုံးက ဆုံးဖြတ်ချက်ကို ပြောင်းပြန်လှန်လိုက်သည်။
revival	ပြန်လည်ရှင်သန်ခြင်း	မြို့သည် စီးပွားရေး ပြန်လည်ရှင်သန်မှုကို မြင်တွေ့ခဲ့ရသည်။
revive	ပြန်လည်ရှင်သန်စေသည်	ပွဲတော်သည် ဒေသဆိုင်ရာ ရိုးရာဓလေ့များကို ပြန်လည်ရှင်သန်စေခဲ့သည်။
revolutionary	တော်လှန်ပြောင်းလဲသော	တီထွင်မှုသည် တော်လှန်ပြောင်းလဲမှုတစ်ခု ဖြစ်ခဲ့သည်။
rhetoric	စကားလုံးအသုံးအနှုန်း	သူ၏ စကားလုံးအသုံးအနှုန်းက ရန်လိုနေပုံရသည်။
rifle	ရိုင်ဖယ်သေနတ်	ရိုင်ဖယ်သေနတ်ကို လုံခြုံစွာ သိမ်းဆည်းထားသည်။
riot	အဓိကရုဏ်း	အဓိကရုဏ်းသည် နာရီပေါင်းများစွာ ကြာမြင့်ခဲ့သည်။
rip	ဆုတ်ဖြဲသည်	စက္ကူကို ဂရုတစိုက် ဆုတ်ဖြဲပါ။
ritual	ရိုးရာဓလေ့	ရိုးရာဓလေ့က ရိတ်သိမ်းချိန်ကို အမှတ်အသားပြုသည်။
robust	ခိုင်မာသော	စနစ်သည် ခိုင်မာသည်။
rock	တုန်လှုပ်စေသည်	ပေါက်ကွဲမှုက ရွာကို တုန်လှုပ်စေခဲ့သည်။
rod	တုတ်ချောင်း	ကန့်လန့်ကာကို တုတ်ချောင်းတွင် ချိတ်ဆွဲထားသည်။
rotate	လှည့်သည်	လက်ကိုင်ကို ဖြည်းဖြည်းချင်း လှည့်ပါ။
rotation	အလှည့်ကျစိုက်ပျိုးခြင်း	သီးနှံများကို အလှည့်ကျစိုက်ပျိုးခြင်းက မြေဆီလွှာကို ကာကွယ်ပေးသည်။
ruling	ဆုံးဖြတ်ချက်	တရားရုံးက ဆုံးဖြတ်ချက်တစ်ခု ထုတ်ပြန်ခဲ့သည်။
rumour	ကောလာဟလ	ကောလာဟလသည် လျင်မြန်စွာ ပျံ့နှံ့သွားသည်။
sack	အလုပ်ဖြုတ်သည်	ဒါရိုက်တာအဖွဲ့သည် နည်းပြကို အလုပ်ဖြုတ်နိုင်သည်။
sacred	အထွတ်အမြတ်ထားသော	ဘုရားကျောင်းသည် အထွတ်အမြတ်ထားရာ နေရာဖြစ်သည်။
sacrifice	စွန့်လွှတ်အနစ်နာခံမှု	မိဘများသည် မကြာခဏ စွန့်လွှတ်အနစ်နာခံမှုများ ပြုလုပ်ကြသည်။
saint	သူတော်စင်	ဘုရားကျောင်းက ဒေသခံ သူတော်စင်တစ်ဦးကို ဂုဏ်ပြုထားသည်။
sake	အကျိုး	သူသည် သူမ၏ အကျိုးအတွက် နေရစ်ခဲ့သည်။
sanction	ပိတ်ဆို့အရေးယူမှု	ပိတ်ဆို့အရေးယူမှုက နိုင်ငံတကာ ကုန်သွယ်ရေးကို ထိခိုက်စေခဲ့သည်။
say	ပြောရေးဆိုခွင့်	ဝန်ထမ်းများသည် အချိန်ဇယားဆွဲရာတွင် ပြောရေးဆိုခွင့် ရှိခဲ့ကြသည်။
scattered	ပြန့်ကျဲနေသော	ပြန့်ကျဲနေသော စာရွက်များသည် စားပွဲခုံကို ဖုံးလွှမ်းနေသည်။
sceptical	သံသယရှိသော	သူမသည် တောင်းဆိုချက်အပေါ် သံသယရှိနေဆဲဖြစ်သည်။
scope	နယ်ပယ်	စီမံကိန်း နယ်ပယ် ကျယ်ပြန့်လာသည်။
screw	ဝက်အူ	ဝက်အူကို ဂရုတစိုက် ကျပ်ပါ။
scrutiny	စေ့စေ့စပ်စပ် စစ်ဆေးခြင်း	သဘောတူညီချက်သည် လူထု၏ စေ့စေ့စပ်စပ် စစ်ဆေးမှုကို ရင်ဆိုင်ခဲ့ရသည်။
seal	ပိတ်သည်	မပို့မီ စာအိတ်ကို ပိတ်ပါ။
secular	ဘာသာရေးနှင့်မသက်ဆိုင်သော	ကျောင်းသည် ဘာသာရေးနှင့်မသက်ဆိုင်သော သင်ရိုးညွှန်းတမ်းကို လိုက်နာသည်။
seemingly	အပေါ်ယံကြည့်လျှင်	အဆိုပါအလုပ်သည် အပေါ်ယံကြည့်လျှင် ရိုးရှင်းသည်။
segment	အပိုင်း	နောက်ဆုံးအပိုင်းသည် ပိုတိုသည်။
seize	သိမ်းဆည်းသည်	ရဲတပ်ဖွဲ့က စာရွက်စာတမ်းများကို သိမ်းဆည်းခဲ့သည်။
seldom	ရှားရှားပါးပါး	သူမသည် အတန်းပျက်ခဲသည်။
selective	ရွေးချယ်မှုများသော	အစီအစဉ်သည် အလွန် ရွေးချယ်မှုများသည်။
senator	အထက်လွှတ်တော်အမတ်	အထက်လွှတ်တော်အမတ်က ဥပဒေမူကြမ်းကို ထောက်ခံခဲ့သည်။
sensation	အာရုံခံစားမှု	ရှာဖွေတွေ့ရှိမှုက လူအများကို စိတ်လှုပ်ရှားစေခဲ့သည်။
sensitivity	အာရုံခံလွယ်မှု	ပြဿနာသည် ဂရုတစိုက် ကိုင်တွယ်ရန် လိုအပ်သည်။
sentiment	သဘောထား	လူထု၏ သဘောထားသည် လျင်မြန်စွာ ပြောင်းလဲသွားသည်။
separation	ခွဲခွာခြင်း	ခွဲခွာခြင်းသည် ခက်ခဲခဲ့သည်။
serial	အမှတ်စဉ်	အမှတ်စဉ် ပျောက်ဆုံးနေသည်။
settlement	ပြေလည်မှု	ပြေလည်မှုက အငြင်းပွားမှုကို အဆုံးသတ်စေခဲ့သည်။
set-up	တပ်ဆင်ခြင်း	တပ်ဆင်ခြင်းအတွက် မနက်ခင်းတစ်ခုလုံး အချိန်ယူခဲ့ရသည်။
sexuality	လိင်ပိုင်းဆိုင်ရာတိမ်းညွတ်မှု	သင်တန်းသည် ကိုယ်ပိုင်လက္ခဏာနှင့် လိင်ပိုင်းဆိုင်ရာတိမ်းညွတ်မှု အကြောင်းကို ဆွေးနွေးသည်။
shareholder	အစုရှယ်ယာရှင်	အစုရှယ်ယာရှင်တစ်ဦးက ဒါရိုက်တာအဖွဲ့ကို မေးခွန်းထုတ်ခဲ့သည်။
shatter	ရိုက်ခွဲ	သတင်းက သူ့ယုံကြည်မှုကို ပျက်စီးစေခဲ့တယ်။
shed	လျှော့ချ	ကုမ္ပဏီက အလုပ်အကိုင်တွေကို လျှော့ချလိမ့်မယ်။
sheer	သက်သက်	၎င်း၏ ကြီးမားတဲ့ အရွယ်အစားက လူတိုင်းကို အံ့သြစေခဲ့တယ်။
shipping	သင်္ဘောတင်ပို့မှု	ပို့ဆောင်ခတွေ တက်လာတယ်။
shoot	ဓာတ်ပုံရိုက်ကူးမှု	ဓာတ်ပုံရိုက်ကူးမှု စောစောပြီးသွားတယ်။
shrink	ကျုံ့	ရှပ်အင်္ကျီက ကျုံ့သွားနိုင်တယ်။
shrug	ပခုံးတွန့်ပြ	သူမက ပခုံးအနည်းငယ် တွန့်ပြခဲ့တယ်။
sigh	သက်ပြင်းချ	သူက စိတ်သက်သာရာရစွာနဲ့ သက်ပြင်းချလိုက်တယ်။
simulate	ပုံစံတူဖန်တီး	ဆော့ဖ်ဝဲလ်က ယာဉ်ကြောပိတ်ဆို့မှုကို ပုံစံတူဖန်တီးနိုင်တယ်။
simulation	ပုံစံတူဖန်တီးမှု	ပုံစံတူဖန်တီးမှုက ရေကြီးမှုကို ခန့်မှန်းခဲ့တယ်။
simultaneously	တစ်ပြိုင်နက်တည်း	နှိုးစက်နှစ်ခု တစ်ပြိုင်နက်တည်း မြည်လာတယ်။
sin	အပြစ်	မာနကြီးခြင်းကို အပြစ်တစ်ခုလို့ သတ်မှတ်တယ်။
situated	တည်ရှိသော	ဟိုတယ်က မြို့လယ်မှာ တည်ရှိတယ်။
sketch	ပဏာမပုံကြမ်း	သူမက ပုံကြမ်းတစ်ခုကို မြန်မြန်ဆွဲလိုက်တယ်။
skip	ကျော်	မနက်စာကို မကျော်ပါနဲ့။
slam	ဆောင့်ပိတ်	သူက တံခါးကို ဆောင့်ပိတ်လိုက်နိုင်တယ်။
slap	ရိုက်	စားပွဲကို မရိုက်ပါနဲ့။
slavery	ကျေးကျွန်စနစ်	ကျေးကျွန်စနစ်က ဒေသရဲ့ သမိုင်းကြောင်းကို ပုံဖော်ခဲ့တယ်။
slot	အချိန်ပိုင်း	အွန်လိုင်းမှာ အချိန်တစ်ခုကို ဘွတ်ကင်လုပ်ပါ။
smash	ရိုက်ခွဲ	ဖန်ခွက်က ကြမ်းပြင်ပေါ်မှာ ကွဲသွားတယ်။
snap	ကျိုး	သစ်ကိုင်းက လေထဲမှာ ကျိုးသွားတယ်။
soak	စိမ်	ပဲတွေကို တစ်ညလုံး စိမ်ထားပါ။
soar	ထိုးတက်	လောင်စာဆီဈေးတွေ ထိုးတက်သွားနိုင်တယ်။
socialist	ဆိုရှယ်လစ်	ပါတီက ဆိုရှယ်လစ်မူဝါဒတွေကို ထောက်ခံတယ်။
sole	တစ်ခုတည်းသော	သူက တစ်ဦးတည်းသော အသက်ရှင်ကျန်ရစ်သူ ဖြစ်တယ်။
solely	သီးသန့်	ဒီဆုံးဖြတ်ချက်က သူ့တစ်ယောက်တည်းရဲ့ ဆုံးဖြတ်ချက် ဖြစ်တယ်။
solicitor	ရှေ့နေ	ရှေ့နေက စာချုပ်ကို ပြင်ဆင်ခဲ့တယ်။
solidarity	စည်းလုံးညီညွတ်မှု	အလုပ်သမားတွေက စည်းလုံးညီညွတ်မှုကို ပြသခဲ့ကြတယ်။
solo	တစ်ကိုယ်တော်	သူမက တစ်ကိုယ်တော် အယ်လ်ဘမ်တစ်ခု ထွက်ခဲ့တယ်။
sound	ခိုင်မာသော	ဒီအစီအစဉ်က ခိုင်မာပြီး လက်တွေ့ကျတယ်။
sovereignty	အချုပ်အခြာအာဏာ	ဒီစာချုပ်က နိုင်ငံတော်ရဲ့ အချုပ်အခြာအာဏာကို ကာကွယ်ပေးခဲ့တယ်။
spam	စပမ်း	အင်ဘောက်စ်ထဲမှာ စပမ်းတွေ ပြည့်နေတယ်။
span	ကူးဖြတ်	တံတားက မြစ်ကို ဖြတ်သန်းသွားတယ်။
spark	မီးပွားလွင့်	စကားတစ်ခွန်းက ငြင်းခုံမှုကို ဖြစ်ပေါ်စေခဲ့တယ်။
specialized	အထူးပြု	ဆေးခန်းက အထူးပြုစောင့်ရှောက်မှုကို ပေးတယ်။
specification	သတ်မှတ်ချက်	ဒီဇိုင်းက သတ်မှတ်ချက်တိုင်းနဲ့ ကိုက်ညီတယ်။
specimen	နမူနာ	နမူနာကို လုံခြုံစွာ သိမ်းဆည်းထားတယ်။
spectacle	မြင်ကွင်း	စီတန်းလှည့်လည်မှုက တက်ကြွတဲ့ မြင်ကွင်းတစ်ခု ဖြစ်ခဲ့တယ်။
spectrum	ရောင်စဉ်	အမြင်တွေက ကျယ်ပြန့်စွာ ကွဲပြားတယ်။
spell	ကာလ	ခြောက်သွေ့တဲ့ ကာလက ရက်သတ္တပတ်တွေကြာခဲ့တယ်။
sphere	နယ်ပယ်	နိုင်ငံရေးက ယဉ်ကျေးမှုနယ်ပယ်ထဲကို ဝင်ရောက်လာတယ်။
spin	လည်	ဘီးတွေ စတင်လည်ပတ်လာတယ်။
spine	ကျောရိုး	ဒဏ်ရာက သူ့ကျောရိုးကို ထိခိုက်စေခဲ့တယ်။
spotlight	အာရုံစိုက်မှု	အရှုပ်တော်ပုံကြောင့် သူက လူတွေရဲ့ အာရုံစိုက်မှုကို ခံခဲ့ရတယ်။
spouse	အိမ်ထောင်ဖက်	သူမရဲ့ အိမ်ထောင်ဖက်က အခမ်းအနားကို တက်ရောက်ခဲ့တယ်။
spy	သူလျှို	သူလျှိုက လျှို့ဝှက်မက်ဆေ့ချ်တွေ ပို့ခဲ့တယ်။
squad	အဖွဲ့	ကယ်ဆယ်ရေးအဖွဲ့က မြန်မြန်ရောက်လာတယ်။
squeeze	ညှစ်	လက်ကိုင်ကို ဖြည်းဖြည်းလေး ညှစ်ပါ။
stab	ဓားနဲ့ထိုး	အစီရင်ခံစာမှာ ဓားဒဏ်ရာအကြောင်း ဖော်ပြထားတယ်။
stability	တည်ငြိမ်မှု	မူဝါဒက တည်ငြိမ်မှုကို ယူဆောင်လာခဲ့တယ်။
stabilize	တည်ငြိမ်စေ	ဆေးက သူ့ကို တည်ငြိမ်စေဖို့ ကူညီပေးခဲ့တယ်။
stake	ရှယ်ယာ	ရင်းနှီးမြှုပ်နှံသူတွေမှာ ရှယ်ယာတစ်ခု ရှိကြတယ်။
