source_headword	KA	example_KA
verify	დადასტურება	გთხოვთ, დაადასტუროთ თქვენი ელფოსტის მისამართი.
verse	სტროფი	მან ლექსიდან სტროფი მოიყვანა ციტატად.
versus	წინააღმდეგ	დებატები იყო კონფიდენციალურობა უსაფრთხოების წინააღმდეგ.
vessel	ხომალდი	ხომალდს ზღვაზე მარცვლეული გადაჰქონდა.
veteran	ვეტერანი	ვეტერანმა ახალი თანამშრომლები გაწვრთნა.
viable	სიცოცხლისუნარიანი	წინადადება ფინანსურად სიცოცხლისუნარიანია.
vibrant	ენერგიული	ქალაქს ენერგიული ხელოვნების სცენა აქვს.
vice	მანკიერება	სიხარბე მისი ყველაზე დიდი მანკიერება იყო.
vicious	სასტიკი	სასტიკმა თავდასხმამ ქალაქი შოკში ჩააგდო.
villager	სოფლელი	სოფლელმა მდინარისკენ მიგვიყვანა.
violate	დარღვევა	კომპანიამ შესაძლოა უსაფრთხოების წესები დაარღვიოს.
violation	დარღვევა	ინსპექტორმა სერიოზული დარღვევის შესახებ განაცხადა.
virtue	სათნოება	მოთმინება მნიშვნელოვანი სათნოებაა.
vocal	ხმამაღალი	მან ამ გადაწყვეტილებაზე ხმამაღლა ისაუბრა.
vow	ფიცი	მან პირობა დადო, რომ საქმეს დაასრულებდა.
vulnerability	მოწყვლადობა	აუდიტმა უსაფრთხოების მოწყვლადობა გამოავლინა.
vulnerable	მოწყვლადი	ბავშვები უკიდურესი სიცხის დროს მოწყვლადები არიან.
ward	პალატა	პაციენტი სხვა პალატაში გადაიყვანეს.
warehouse	საწყობი	საწყობში სათადარიგო ნაწილები ინახება.
warfare	ომი	თანამედროვე ომი ტექნოლოგიას ეყრდნობა.
warrant	ორდერი	პოლიციამ ჩხრეკის ორდერი აჩვენა.
warrior	მეომარი	მეომარი სოფელს იცავდა.
weaken	დასუსტება	ტრავმამ მისი მოჭიდება დაასუსტა.
weave	ქსოვა	მან კალათების ქსოვა ისწავლა.
weed	სარეველა	ქვებს შორის სარეველა ამოვიდა.
well	ჭა	სოფლის ჭა დაშრა.
well-being	კეთილდღეობა	ძილი სასიცოცხლოდ მნიშვნელოვანია კეთილდღეობისთვის.
whatsoever	საერთოდ	მას საერთოდ არ გამოუხატავს ინტერესი.
whereby	რომლის მიხედვითაც	კანონმა შექმნა სისტემა, რომლის მიხედვითაც ოჯახებს შეეძლოთ გასაჩივრება.
whilst	სანამ	ის მუშაობდა, სანამ კაცი ისვენებდა.
whip	ფრიალი	ქარმა შეიძლება დროშები ააფრიალოს.
wholly	მთლიანად	გადაწყვეტილება მთლიანად მოულოდნელი იყო.
widen	გაფართოება	ქალაქი გზის გაფართოებას გეგმავს.
widow	ქვრივი	ქვრივი სკოლის მახლობლად ცხოვრობს.
width	სიგანე	გაზომეთ კარის სიგანე.
willingness	მზადყოფნა	ყველაზე შთაბეჭდილება მოახდინა მისმა მზადყოფნამ, რომ დახმარებოდა.
wipe	გაწმენდა	გაწმინდეთ ეკრანი ქსოვილით.
wit	გონებამახვილობა	მისმა გონებამახვილობამ გამოსვლა გააცოცხლა.
withdrawal	შეწყვეტა	დაფინანსების შეწყვეტამ პროექტი შეაფერხა.
workout	ვარჯიში	ვარჯიში ორმოცი წუთი გაგრძელდა.
worship	თაყვანისცემა	ხალხი გამთენიისას თაყვანისცემისთვის შეიკრიბა.
worthwhile	ღირებული	მოგზაურობა ამად ღირდა.
worthy	ღირსი	საქველმოქმედო ორგანიზაცია მხარდაჭერის ღირსია.
yell	ყვირილი	არ უყვიროთ პერსონალს.
yield	მოსავალი	ფერმის მოსავალი ამ სეზონზე გაუმჯობესდა.
youngster	ახალგაზრდა	მოზარდმა ბევრი შეკითხვა დასვა.
