source_headword	AZ	example_AZ
certain	əmin	Mən buna əminəm.
certainly	əlbəttə	Mən mütləq kömək edəcəyəm.
chance	fürsət; şans	Sənin bir fürsətin var.
character	xarakter; obraz	Bu obraz cəsurdur.
charity	xeyriyyə təşkilatı	Xeyriyyə təşkilatı uşaqlara kömək edir.
chat	söhbət etmək	Biz dərsdən sonra söhbət edirik.
chef	aşpaz	Aşpaz şorba hazırladı.
chemistry	kimya	Kimya mənim üçün çətindir.
chip	çips	Bu çips duzludur.
choice	seçim	Bu seçim vacibdir.
church	kilsə	Kilsə buraya yaxındır.
cigarette	siqaret	Siqaret sağlamlıq üçün zərərlidir.
circle	dairə	Burada dairə çəkin.
classical	klassik	Mən klassik musiqidən zövq alıram.
clear	aydın	Cavab aydındır.
clearly	aydın şəkildə	Zəhmət olmasa, aydın danışın.
clever	ağıllı	O, ağıllı uşaqdır.
climate	iqlim	İqlim dəyişir.
close2	yaxın	Məktəbim evə yaxındır.
closed	bağlı	Mağaza bağlıdır.
clothing	geyim	İsti geyim faydalıdır.
cloud	bulud	Bulud günəşin üstünü örtür.
coach	məşqçi	Məşqçi komandaya kömək etdi.
coast	sahil	Biz sahil boyunca sürdük.
code	kod	Kodu burada daxil edin.
colleague	həmkar	Həmkarım mənə zəng etdi.
collect	toplamaq	Mən köhnə kartlar toplayıram.
column	sütun	Birinci sütunu oxuyun.
comedy	komediya	Bu komediya gülməlidir.
comfortable	rahat	Bu stul rahatdır.
comment	şərh	Aşağıda şərh yazın.
communicate	ünsiyyət qurmaq	Biz e-poçtla ünsiyyət qururuq.
community	icma	İcmamız mehribandır.
compete	yarışmaq	Onlar hər il yarışırlar.
competition	müsabiqə	Müsabiqə sabah başlayır.
complain	şikayət etmək	Yenə şikayət etmə.
completely	tamamilə	Mən səninlə tamamilə razıyam.
condition	vəziyyət	Maşın yaxşı vəziyyətdədir.
conference	konfrans	Konfrans saat doqquzda başlayır.
connect	qoşmaq	Telefonu kompüterə qoşun.
connected	əlaqəli	İki fikir əlaqəlidir.
consider	nəzərə almaq	Zəhmət olmasa, fikrimi nəzərə alın.
contain	ehtiva etmək	Bu qutuda kitablar var.
context	kontekst	Kontekst başa düşməyə kömək edir.
continent	qitə	Qitə çox böyükdür.
continue	davam etmək	Zəhmət olmasa, oxumağa davam edin.
control	nəzarət etmək	Sürətə diqqətlə nəzarət edin.
cooker	plitə	Plitə təmizdir.
copy	nüsxə	Mənim üçün bir nüsxə çıxarın.
corner	künc	Küncdə oturun.
correctly	düzgün	Cavabı düzgün yazın.
count	saymaq	Kitabları sayın.
couple	cütlük	Cütlük tez gəldi.
cover	örtmək	Kasanın üstünü örtün.
crazy	dəli; qəribə	Bu fikir qəribə səslənir.
creative	yaradıcı	Onun yaradıcı fikri var.
credit	kredit	Mən kredit kartı ilə ödədim.
crime	cinayət	Cinayət ciddi problemdir.
criminal	cinayətkar	Cinayətkar tez getdi.
cross	keçmək	Küçəni ehtiyatla keçin.
crowd	izdiham	Çöldə izdiham gözləyirdi.
crowded	izdihamlı	Qatar izdihamlı idi.
cry	ağlamaq	İndi ağlama.
cupboard	şkaf	Fincanlar şkafdadır.
curly	buruq	Onun buruq saçı var.
cycle	velosiped sürmək	Mən məktəbə velosipedlə gedirəm.
daily	gündəlik	Mən xəbərləri gündəlik oxuyuram.
danger	təhlükə	İşarə təhlükəni göstərir.
data	məlumat	Məlumat faydalıdır.
dead	ölü	Bitki ölüdür.
deal	sərfəli alış; razılaşma	Bu yaxşı fürsətdir.
death	ölüm	Ölüm çətin mövzudur.
decision	qərar	Bu gün qərar verin.
deep	dərin	Su dərindir.
definitely	mütləq	Mən mütləq çay istəyirəm.
degree	dərəcə; diplom	Mənim diplomum tarix üzrədir.
dentist	diş həkimi	Diş həkimi dişlərimi yoxladı.
department	şöbə	Ayaqqabı şöbəsi yuxarıdadır.
depend	asılı olmaq	Bu, havadan asılıdır.
desert	səhra	Səhra çox qurudur.
designer	dizayner	Dizayner bu paltarı hazırladı.
destroy	məhv etmək	Faylı məhv etməyin.
detective	detektiv	Detektiv açarı tapdı.
develop	inkişaf etdirmək	Onlar yeni tətbiq hazırlayırlar.
device	cihaz	Bu cihaz faydalıdır.
diary	gündəlik	O, gündəliyinə yazır.
differently	fərqli	Biz bunu fərqli edirik.
digital	rəqəmsal	Bu rəqəmsal kameradır.
direct	birbaşa	Birbaşa qatara minin.
direction	istiqamət	Bu istiqamətdə gedin.
director	rejissor	Direktor filmi bəyəndi.
disagree	razılaşmamaq	Mən bu fikirlə razı deyiləm.
disappear	yoxa çıxmaq	Günəş tezliklə yoxa çıxacaq.
disaster	fəlakət	Fırtına fəlakət idi.
discover	kəşf etmək	Onlar yeni ada kəşf edirlər.
discovery	kəşf	Kəşf elmi dəyişdi.
discussion	müzakirə	Müzakirə tez bitdi.
disease	xəstəlik	Bu xəstəlik ciddidir.
distance	məsafə	Məsafə qısadır.
divorced	boşanmış	Onun valideynləri boşanıb.
document	sənəd	Bu sənədi indi saxlayın.
double	iki nəfərlik; ikiqat	Mənə iki nəfərlik otaq lazımdır.
download	yükləmək	Tətbiqi bu gün yükləyin.
drama	dram	Dram bu axşam başlayır.
drawing	rəsm	Onun rəsmi gözəldir.
dream	yuxu	Mən qəribə yuxu gördüm.
driving	sürücülük	Gecə sürücülük çətindir.
drop	salmaq	Stəkanı salmayın.
drug	dərman	Dərman ona kömək etdi.
dry	quru	Dəsmal qurudur.
earn	qazanmaq	Mən işdə pul qazanıram.
earth	yer	Yer kürə şəklindədir.
easily	asanca	O, asanca öyrənir.
education	təhsil	Təhsil vacibdir.
effect	təsir	Təsir aydın idi.
either	hər ikisi; istənilən	Cavablardan hər biri uyğundur.
electric	elektrik	Bu maşın elektriklidir.
electrical	elektriklə bağlı	Elektrik sistemi təhlükəsizdir.
electricity	elektrik	Elektrik burada bahadır.
electronic	elektron	Bu elektron bilet işləyir.
employ	işə götürmək	Onlar beş nəfəri işə götürürlər.
employee	işçi	İşçi çox çalışır.
employer	işəgötürən	İşəgötürənim ədalətlidir.
empty	boş	Otaq boşdur.
ending	son	Son təəccüblü idi.
energy	enerji	Bu gün enerjim yoxdur.
engine	mühərrik	Mühərrik yüksək səslidir.
engineer	mühəndis	Mühəndis körpünü təmir etdi.
enormous	nəhəng	Bina nəhəngdir.
enter	daxil olmaq	Otağa sakit daxil olun.
environment	ətraf mühit	Ətraf mühiti qoruyun.
equipment	avadanlıq	Bu avadanlıq bahadır.
error	səhv	Mən bir səhv tapdım.
especially	xüsusilə	Mən bu mahnını xüsusilə sevirəm.
essay	esse	Bu axşam esse yazın.
everyday	gündəlik	Bu gündəlik ingilis dilidir.
everywhere	hər yerdə	Güllər hər yerdə bitir.
evidence	sübut	Sübut aydındır.
exact	dəqiq	Dəqiq rəqəmi verin.
exactly	tam olaraq	Bu, tam olaraq doğrudur.
excellent	əla	İşin əladır.
except	istisna olmaqla	Hamı gəldi, məndən başqa.
exist	mövcud olmaq	Bu ünvan mövcuddurmu?
expect	gözləmək	Mən sabah yağış gözləyirəm.
experience	təcrübə	Mənim uşaqlarla təcrübəm var.
experiment	təcrübə	Təcrübə yaxşı alındı.
expert	mütəxəssis	Kömək üçün mütəxəssisdən soruşun.
explanation	izah	Onun izahı aydın idi.
express	ifadə etmək	Zəhmət olmasa, fikrini ifadə et.
expression	ifadə	Bu ifadə yayğındır.
extreme	həddindən artıq	İsti həddindən artıq idi.
extremely	son dərəcə	Çox soyuqdur.
factor	amil	Xərc bir amildir.
factory	zavod	Zavod saat beşdə bağlanır.
fail	uğursuz olmaq	Mən uğursuz olmadım.
fair	ədalətli	Qiymət ədalətlidir.
fan	ventilyator	Ventilyatoru yandırın.
farming	əkinçilik	Əkinçilik ağır işdir.
fashion	moda	Moda hər il dəyişir.
fear	qorxu	Qorxu insanları dayandıra bilər.
feature	xüsusiyyət	Bu telefonun faydalı xüsusiyyəti var.
feed	yemləmək	İndi pişiyi yemlə.
female	qadın; dişi	Qadın idmançı qalib gəldi.
fiction	bədii ədəbiyyat	O, gecə bədii ədəbiyyat oxuyur.
field	tarla; sahə	Tarla yaşıldır.
fight	dalaşmaq; mübarizə aparmaq	Onlar çox dalaşırlar.
figure	şəkil; rəqəm	Şəkilə baxın.
finally	nəhayət	Biz nəhayət evə çatdıq.
finger	barmaq	Barmağım ağrıyır.
firstly	əvvəlcə	Əvvəlcə sualı oxuyun.
fishing	balıq ovu	Balıq ovu burada populyardır.
fit	uyğun gəlmək	Bu ayaqqabılar yaxşı uyğun gəlir.
fix	təmir etmək	Sınıq stulu təmir edin.
flu	qrip	Məndə qrip var.
flying	uçuş	Uçuş sürətlidir.
focus	diqqətini yönəltmək	Bu tapşırığa diqqətini yönəlt.
following	aşağıdakı	Aşağıdakı cümləni oxuyun.
foreign	xarici	O, xarici dil danışır.
forest	meşə	Meşə sakitdir.
fork	çəngəl	Çəngəldən istifadə edin.
formal	rəsmi	Bu məktub rəsmidir.
fortunately	xoşbəxtlikdən	Xoşbəxtlikdən, heç kim xəsarət almadı.
forward	irəli	Yavaş-yavaş irəli hərəkət edin.
fresh	təzə	Çörək təzədir.
