source_headword	HU	example_HU
enforcement	betartatás	Szigorúbb betartatás csökkentette az illegális szemétlerakást.
engagement	részvétel	A diákok részvétele javult ebben a félévben.
engaging	lebilincselő	Az előadó lebilincselő beszédet tartott.
enquire	érdeklődik	Kérjük, érdeklődjön a recepción.
enrich	gazdagít	Az utazás gazdagíthatja a megértést.
enrol	beiratkozik	A diákoknak szeptember előtt be kell iratkozniuk.
ensue	következik	Káosz következhet a bejelentés után.
enterprise	vállalkozás	A vállalkozás helyi művészeket foglalkoztat.
enthusiast	rajongó	Minden kerékpárrajongó ismeri ezt az útvonalat.
entitle	feljogosít	A jegy feljogosít a belépésre.
entity	jogi személy	A cég különálló jogi személy.
epidemic	járvány	A járvány több régióban is elterjedt.
equality	egyenlőség	A mozgalom az egyenlőségért küzdött.
equation	egyenlet	Az egyenlet két ismeretlent tartalmaz.
erect	felállít	A munkások új kerítést fognak felállítani.
escalate	fokozódik	A konfliktus gyorsan fokozódhat.
essence	lényeg	A vers megragadja a gyermekkor lényegét.
establishment	vezetés	A vezetés ellenezte a reformot.
eternal	örök	Örök barátságot ígértek.
evacuate	evakuál	A tűzoltók segítettek a lakóknak biztonságosan evakuálni.
evoke	kivált	A dal erős emlékeket válthat ki.
evolutionary	evolúciós	A kövület evolúciós változást mutat.
exaggerate	túloz	Ne túlozza el a tapasztalatát.
excellence	kiválóság	Az iskola jutalmazza az akadémiai kiválóságot.
exceptional	kivételes	Kivételes tehetséget mutatott.
excess	felesleg	A felesleges víz elárasztotta a pincét.
exclusion	kirekesztés	A társadalmi kirekesztés árt a fiataloknak.
exclusive	exkluzív	A klub exkluzív hozzáférést kínál.
exclusively	kizárólag	Ezt a szobát kizárólag a személyzet használja.
execute	végrehajt	A csapat gondosan végrehajtja a tervet.
execution	végrehajtás	A stratégia végrehajtása hónapokig tartott.
exert	kifejt	Nagyobb nyomást kell kifejtenie.
exile	száműzetés	Az író száműzetésben élt.
expenditure	kiadás	A közkiadások tavaly nőttek.
experimental	kísérleti	A kezelés még kísérleti jellegű.
expire	lejár	Az útlevelem hamarosan lejár.
explicit	egyértelmű	Az utasítások egyértelműek voltak.
explicitly	kifejezetten	A szabályok kifejezetten tiltják a dohányzást.
exploitation	kizsákmányolás	A jelentés feltárta a munkások kizsákmányolását.
explosive	robbanásveszélyes	A robbanószerkezetet biztonságosan eltávolították.
extremist	szélsőséges	A szélsőséges csoport elvesztette a támogatását.
facilitate	elősegít	Az alkalmazás elősegíti a távoktatást.
faction	frakció	Egy frakció ellenezte a vezetőt.
faculty	tantestület	A tantestület jóváhagyta a javaslatot.
fade	kifakul	A festék kifakul a napfényben.
fairness	méltányosság	A méltányosság minden versenyben számít.
fatal	halálos	A baleset halálos sérüléseket okozott.
fate	sors	Senki sem ismerte a sorsát.
favourable	kedvező	A véleményezés kedvező volt.
feat	teljesítmény	Megmászni azt a csúcsot nagy teljesítmény volt.
feminist	feminista	A feminista mozgalom megváltoztatta a közvitát.
fibre	rost	Ez a kenyér extra rostot tartalmaz.
fierce	heves	A heves vihar megrongálta a tetőket.
film-maker	filmkészítő	A filmkészítő utána válaszolt a kérdésekre.
filter	szűrő	A szűrő eltávolítja a port a levegőből.
fine	bírság	A cég kifizette a bírságot.
firearm	lőfegyver	A rendőr megtalált egy lopott lőfegyvert.
fit	illeszkedés	Az új cipők illeszkedése tökéletes.
fixture	szerelvény	A lámpa állandó tartozék.
flaw	hiba	A dizájnnak van egy komoly hibája.
flawed	hibás	A hibás tanulmány hamis eredményeket adott.
flee	menekül	A családoknak menekülniük kellett a harcok elől.
fleet	flotta	A légitársaság megújította a flottáját.
flesh	hús	A tövis átszúrta a húsát.
flexibility	rugalmasság	A távmunka nagyobb rugalmasságot kínál.
flourish	virágzik	A kisvállalkozások virágozhatnak itt.
fluid	folyadék	Igyon sok folyadékot edzés után.
footage	felvétel	A felvétel megmutatta az ütközést.
foreigner	külföldi	Az űrlap megkérdezi, hogy külföldi-e.
forge	kovácsol	Új szövetséget próbáltak kovácsolni.
formula	képlet	A képlet megoldotta a problémát.
formulate	megfogalmaz	A tudósok új elméletet fogalmaznak meg.
forth	előre	A folyó előre vitte a csónakot.
forthcoming	közelgő	A közelgő jelentés mindent meg fog magyarázni.
foster	elősegít	A program segít elősegíteni a függetlenséget.
fragile	törékeny	A törékeny váza óvatos kezelést igényel.
franchise	franchise	Az étterem globális franchise-zá vált.
frankly	őszintén	Őszintén szólva, több időre van szükségünk.
frustrated	csalódott	A munkások csalódottak voltak a késés miatt.
frustrating	frusztráló	A lassú kapcsolat frusztráló volt.
frustration	frusztráció	A találkozó során nőtt a frusztráció.
functional	működőképes	A régi konyha még mindig működőképes.
fundraising	adománygyűjtés	Az adománygyűjtés a jövő héten kezdődik.
funeral	temetés	A temetésre pénteken került sor.
gallon	gallon	A tartály egy gallont bír el.
gambling	szerencsejáték	A szerencsejátékot törvény korlátozza.
gathering	összejövetel	Az összejövetel békésen véget ért.
gaze	tekintet	Röviden állta a tekintetét.
gear	felszerelés	Mászás előtt csomagolja be a biztonsági felszerelést.
generic	általános	Az általános változat kevesebbe kerül.
genocide	népirtás	A népirtás mély nemzeti traumát hagyott maga után.
glance	pillantás	Vetett egy gyors pillantást.
glimpse	bepillantás	Megpillantottam a tengert.
glorious	dicsőséges	A csapat dicsőséges győzelmet aratott.
glory	dicsőség	Olimpiai dicsőségről álmodott.
governance	kormányzás	A jó kormányzáshoz átláthatóságra van szükség.
grace	kecsesség	Kecsesen fogadta el a vereséget.
grasp	felfog	Nem sikerült felfognia a fogalmat.
grave (for dead person)	sír	A sírt virágok borították.
grave (serious)	súlyos	A helyzet továbbra is súlyos.
gravity	gravitáció	A gravitáció a Föld felé húzza a tárgyakat.
grid	rács	A térkép egyszerű rácsot használ.
grief	gyász	A gyász megváltoztatta az egész családját.
grin	vigyor	A fiú szélesen elvigyorodott.
grind	őröl	A munkások minden reggel megőrlik a babot.
grip	fogás	Tartson erős fogást a kötélen.
gross	bruttó	A bruttó jövedelem meredeken emelkedett.
guerrilla	gerilla	A gerillaharcosok a dombok között bujkáltak.
guidance	útmutatás	Az útmutató gyakorlati útmutatást nyújt.
guilt	bűntudat	Bűntudatot érzett, miután hazudott.
gut	megérzés	Bízz a megérzésedben nehéz döntéseknél.
hail	üdvözöl	A falusiak hősként éltetik az orvost.
halfway	félúton	Félúton megálltunk a dombon.
halt	megállás	A vonat hirtelen megállt.
handful	maréknyi	Egy maréknyi önkéntes sokáig maradt.
handling	kezelés	A megfelelő kezelés megakadályozza a károsodást.
handy	praktikus	Ez az eszköz praktikus javításokhoz.
harassment	zaklatás	A cég kivizsgálta a zaklatásos panaszokat.
hardware	hardver	Az üzlet számítógépes hardvert árul.
harmony	harmónia	A kórus tökéletes harmóniában énekelt.
harsh	szigorú	A bíró szigorú ítéletet hozott.
harvest	betakarítás	A betakarítás szeptemberben kezdődik.
haunt	kísért	Az emlék továbbra is kísértette.
hazard	veszély	A jég komoly közúti veszélyt jelent.
heighten	fokoz	A beszéd fokozhatja a feszültséget.
heritage	örökség	A kastély a helyi örökség része.
hierarchy	hierarchia	Az irodai hierarchia egyértelműen meghatározott.
high-profile	nagy horderejű	A nagy horderejű tárgyalás vonzotta a riportereket.
hint	tipp	Adott nekem egy hasznos tippet.
homeland	haza	Visszatért a hazájába.
hopeful	reménykedő	Az orvosok reménykednek a gyógyulásban.
horizon	horizont	A nap eltűnt a horizont alatt.
horn	duda	Az autóduda mindenkit felébresztett.
hostage	túsz	A túsz hazatért.
hostile	ellenséges	A tömeg ellenségessé vált.
hostility	ellenségesség	A nyílt ellenségeskedés véget vetett a tárgyalásoknak.
humanitarian	humanitárius	A humanitárius misszió ételt szállított.
humanity	emberiség	Az emberiség közös kihívásokkal néz szembe.
humble	szerény	A siker után is szerény maradt.
hydrogen	hidrogén	A hidrogén nagyon könnyen ég.
identification	azonosítás	A bejáratnál azonosításra van szükség.
ideological	ideológiai	A vitának ideológiai gyökerei voltak.
ideology	ideológia	Ideológiája minden beszédét alakította.
idiot	idióta	Senkit se nevezz idiótának.
ignorance	tudatlanság	A tudatlanság félelmet terjeszthet.
imagery	szóképek	A vers élénk szóképeket használ.
immense	hatalmas	A projekt hatalmas erőfeszítést igényelt.
imminent	küszöbön álló	A vihar küszöbön állónak tűnt.
implementation	megvalósítás	A törvény végrehajtása lassú volt.
imprison	bebörtönöz	A rezsim megpróbálta bebörtönözni a kritikusokat.
imprisonment	börtönbüntetés	Börtönbüntetése öt évig tartott.
inability	képtelenség	A koncentrációra való képtelensége aggasztotta a tanárokat.
inadequate	nem megfelelő	A menedékhelynek nem volt megfelelő fűtése.
inappropriate	nem helyénvaló	A vicce nem volt helyénvaló.
incidence	előfordulás	Az influenza előfordulása nőtt.
inclined	hajlamos	Hajlamos egyetérteni.
inclusion	befogadás	Az iskola elősegíti a befogadást.
