simplified	IS	example_IS
些	nokkrir; nokkrar; nokkur	Ég á nokkrar bækur.
写	skrifa	Ég skrifa kínverska stafi.
谢谢	takk; þakka	Takk.
星期	vika; vikudagur	Í dag er mánudagur.
学生	nemandi	Ég er nemandi.
学习	læra	Ég læri kínversku.
学校	skóli	Skólinn er stór.
一	einn; ein; eitt	Ég á einn bolla.
衣服	föt	Ég kaupi föt.
医生	læknir	Hún er læknir.
医院	sjúkrahús	Sjúkrahúsið er fyrir framan skólann.
椅子	stóll	Stóllinn er fyrir aftan borðið.
有	eiga; vera til	Ég á vini.
月	mánuður; tungl	Í dag er fjórði maí.
再见	bless; sjáumst	Bless, kennari.
在	vera; vera staddur	Ég er heima.
怎么	hvernig	Hvernig les maður þetta tákn?
怎么样	hvernig; hvernig er	Hvernig hefurðu það í dag?
这	þessi; þetta; þessir; þessar; þessi	Þetta er bókin mín.
中国	Kína	Ég fer til Kína.
中午	hádegi	Ég borða hrísgrjón í hádeginu.
住	búa; dvelja	Ég bý í Peking.
桌子	borð; skrifborð	Bókin er á borðinu.
字	stafur; tákn; orð	Þetta tákn er lítið.
昨天	í gær	Í gær horfði ég á kvikmynd.
坐	sitja; fara með	Ég fer með flugvél til Peking.
做	gera; búa til	Ég elda.
