source_headword	TR	example_TR
therapist	terapist	Terapist kaygısını yönetmesine yardımcı oldu.
thesis	tez	Tezi çevrimiçi öğrenimi inceliyor.
thorough	kapsamlı	Kapsamlı bir incelemede hiçbir hata bulunmadı.
thoroughly	iyice	Yarayı iyice temizleyin.
thumb	başparmak	Onaylamak için başparmağını kaldırdı.
timing	zamanlama	Aramanın zamanlaması mükemmeldi.
tissue	kağıt mendil	Bardağı kağıt mendille sildi.
ton	ton	Kamyon bir ton kum taşıdı.
tonne	ton	Kargo bir ton ağırlığındaydı.
tournament	turnuva	Tenis turnuvası yarın başlıyor.
trace	izini sürmek	Bilim insanları virüsün kaynağının izini sürebilir.
trading	ticaret	Hisse senedi ticareti öğlen durdu.
tragedy	trajedi	Kaza korkunç bir trajediydi.
tragic	trajik	Kazanın trajik sonuçları oldu.
trait	özellik	Sabır faydalı bir özelliktir.
transmit	bulaştırmak	Sivrisinekler hastalık bulaştırabilir.
transportation	ulaşım	Toplu taşıma bugün kalabalık.
trap	tuzağa düşürmek	Kutu böcekleri güvenli bir şekilde yakalayabilir.
treasure	hazine	Eski sandık hazine barındırıyordu.
tribe	kabile	Kabile geleneklerini korudu.
trigger	tetiklemek	Duman alarmı tetikleyebilir.
trillion	trilyon	Borç bir trilyon dolara ulaştı.
troop	birlik	Birlik sınıra doğru ilerledi.
tsunami	tsunami	Tsunami kıyıdaki evleri yıktı.
ultimate	nihai	Nihai hedef barıştır.
unacceptable	kabul edilemez	Gecikme yolcular için kabul edilemezdi.
uncertainty	belirsizlik	Belirsizlik yatırımcıları tedirgin etti.
undergo	geçirmek	Hasta yarın ameliyat geçirecek.
undertake	üstlenmek	Ekip bir anket çalışması yapacak.
unfold	ortaya çıkmak	Drama yavaş yavaş ortaya çıkmaya başladı.
unfortunate	talihsiz	Hata talihsizdi ama düzeltilebilirdi.
unite	birleştirmek	Liderler partiyi birleştirmeye çalıştı.
unity	birlik	Konuşma ulusal birlik çağrısında bulundu.
universal	evrensel	Uygulama evrensel bir tasarım kullanıyor.
urgent	acil	Hastane acil bir çağrı aldı.
usage	kullanım	Kılavuz doğru kullanımı açıklar.
useless	işe yaramaz	Bozuk şarj cihazı işe yaramaz.
valid	geçerli	Pasaportunuz hala geçerli.
variation	farklılık	Fiyatlarda büyük farklılık var.
vertical	dikey	Grafiğin dikey bir ekseni var.
viewpoint	bakış açısı	Tartışmadan sonra bakış açısı değişti.
visa	vize	Öğrenci vizesine başvurdu.
visible	görünür	Tabela buradan görünür durumda.
voluntary	gönüllü	Kurs gönüllü atölye çalışmaları içeriyor.
voting	oy kullanma	Erken oy kullanma haftaya başlıyor.
wander	dolaşmak	Turistler eski pazarda dolaşıyor.
warming	ısınma	Küresel ısınma deniz seviyelerini etkiliyor.
weekly	haftalık	Takım haftalık bir toplantı yapıyor.
weird	tuhaf	Ses tuhaf geliyordu.
welfare	refah	Program çocuk refahını destekliyor.
wheat	buğday	Çiftçi buğday yetiştiriyor.
whoever	her kim	İlk kim gelirse dışarıda beklemelidir.
widespread	yaygın	Fırtına yaygın hasara neden oldu.
wisdom	bilgelik	Büyükannesi pratik bilgelik paylaştı.
withdraw	geri çekmek	Başvurusunu geri çekmeye karar verdi.
workforce	iş gücü	İş gücünün yeni becerilere ihtiyacı var.
workplace	iş yeri	İş yerinin net güvenlik kuralları var.
workshop	atölye	Atölye onda başlıyor.
worm	solucan	Bir solucan toprağın üzerinde hareket etti.
wrist	bilek	O bileğini incitti.
