source_headword	SR	example_SR
thinking	razmišljanje	Razmišljanje zahteva vreme.
thought	misao	Imao sam čudnu misao.
throw	baciti	Lagano baci loptu.
tidy	uredan	Drži svoju sobu urednom.
tie	vezati	Veži cipele sada.
tip	savet; napojnica	Ostavi napojnicu za uslugu.
tool	alat	Koristi pravi alat.
top	vrh; gornji deo	Gornja polica je puna.
touch	dodirnuti	Ne dodiruj staklo.
tour	obilazak	Išli smo u obilazak grada.
tourism	turizam	Turizam pomaže ovom gradu.
towards	prema	Idi prema stanici.
towel	peškir	Uzmi čist peškir.
tower	toranj	Toranj je vrlo star.
toy	igračka	Automobil igračka je crven.
track	šina; trag	Šina vodi prema severu.
tradition	tradicija	Ova tradicija je stara.
traditional	tradicionalan	Nosila je tradicionalnu odeću.
trainer	trener	Moj trener je koristan.
training	trening	Trening počinje sutra.
transport	prevoz	Javni prevoz kasni.
traveller	putnik	Putnik je zatražio pomoć.
trouble	problem	Juče smo imali problem.
truck	kamion	Kamion je napolju.
twin	blizanac	Moja sestra bliznakinja je viša.
typical	tipičan	Ovo je tipičan dan.
underground	podzemni	Voz ide pod zemljom.
understanding	razumevanje	Tvoje razumevanje je tačno.
unfortunately	nažalost	Nažalost, prodavnica je zatvorena.
unhappy	nesrećan	Izgleda nesrećno.
uniform	uniforma	Nosi školsku uniformu.
unit	jedinica	Ova jedinica je mala.
united	ujedinjen	Tim je ostao ujedinjen.
unusual	neobičan	Taj zvuk je neobičan.
used to modal	nekada smo	Nekada smo živeli ovde.
user	korisnik	Svaki korisnik ima broj.
usual	uobičajen	Zauzeo sam svoje uobičajeno mesto.
valley	dolina	Dolina je zelena.
van	kombi	Kombi je pun.
variety	raznolikost	Treba nam više raznolikosti.
vehicle	vozilo	Ovo vozilo je sporo.
view	pogled	Pogled je lep.
virus	virus	Virus ga je razboleo.
voice	glas	Njen glas je tih.
war	rat	Rat se završio pre mnogo godina.
washing	pranje	Veš je napolju.
wave	talas	Talas je udario brod.
weak	slab	Noge su mi slabe.
web	veb	Veb stranica je otvorena.
wedding	venčanje	Venčanje uskoro počinje.
weight	težina	Prvo proveri težinu.
wet	mokar	Cipele su mi mokre.
wheel	točak	Točak je slomljen.
while	neko vreme	Čekaj ovde neko vreme.
whole	ceo	Pojeo sam celu jabuku.
whose	čiji	Čiji je ovo telefon?
wide	širok	Put je širok.
wild	divlji	Ovde žive divlje životinje.
wind1	vetar	Vetar je jak.
winner	pobednik	Pobednik se nasmešio.
wish	želja	Zamisli želju.
wood	drvo	Stolica je od drveta.
wooden	drven	Drvena kutija je teška.
working	radni	Radni dan je završen.
worried	zabrinut	Danas sam zabrinut.
worry	brinuti se	Ne brini se sada.
worse	gori	Ovaj bol je gori.
worst	najgori	To je bio najgori dan.
wow	vau	Vau, to je neverovatno!
yet	još; već	Da li smo već stigli?
yours	tvoj; vaš	Ova knjiga je tvoja.
zero	nula	Broj unazad do nule.
