source_headword	RO	example_RO
tank	rezervorul	Rezervorul conține apă curată.
tear1	a rupe	Nu rupe documentul.
tear2	lacrima	O lacrimă i s-a scurs pe obraz.
temporary	temporar	Biroul este un adăpost temporar.
therapy	terapia	Terapia fizică a ajutat la recuperarea lui.
threat	amenințarea	Mesajul conținea o amenințare.
threaten	a amenința	Furtuna poate amenința culturile.
thus	astfel	Drumul a fost închis; astfel, am așteptat.
tone	tonul	Tonul lui a sunat calm.
tough	dificil	Interviul a fost dificil.
transfer	a transfera	Ei transferă date în fiecare noapte.
transform	a transforma	Noua politică va transforma serviciile.
transition	tranziția	Tranziția a durat câteva luni.
trial	procesul	Procesul începe săptămâna viitoare.
tropical	tropical	Furtunile tropicale sunt frecvente aici.
truly	cu adevărat	Apreciez cu adevărat ajutorul tău.
trust	încrederea	Încrederea necesită timp pentru a se construi.
tune	melodia	Trupa a cântat o melodie veselă.
tunnel	tunelul	Tunelul trece pe sub râu.
ultimately	în cele din urmă	În cele din urmă, planul a reușit.
unconscious	inconștient	Pacientul a rămas inconștient.
unexpected	neașteptat	Întârzierea a fost neașteptată.
unique	unic	Fiecare design este unic.
universe	universul	Universul se extinde.
unknown	necunoscut	Numele rămâne necunoscut.
upper	superior	Raftul de sus este gol.
upwards	în sus	Fumul s-a mișcat în sus.
urban	urban	Zonele urbane au nevoie de transport mai bun.
urge	a îndemna	Medicii îndeamnă oamenii să facă mișcare.
vary	a varia	Prețurile variază în funcție de regiune.
vast	vast	Deșertul acoperă o zonă vastă.
venue	locul de desfășurare	Locul de desfășurare găzduiește cinci sute de persoane.
via	prin	Trimiteți documentul prin e-mail.
victory	victoria	Echipa a sărbătorit victoria.
violence	violența	Orașul a suferit de violență politică.
virtual	virtual	Întâlnirea este virtuală.
vision	viziunea	Viziunea ei a modelat compania.
visual	vizual	Raportul include exemple vizuale.
vital	vital	Apa este vitală pentru viață.
vitamin	vitamina	Portocalele conțin vitamina C.
volume	volumul	Dați volumul mai încet.
wage	salariul	Muncitorii au cerut un salariu mai mare.
weakness	slăbiciunea	Planul are o slăbiciune.
wealth	averea	Averea lui provenea din comerț.
wealthy	bogat	Familia bogată a finanțat muzeul.
whereas	în timp ce	Ei îi place ceaiul, în timp ce eu prefer cafeaua.
wherever	oriunde	Așază-te oriunde te simți confortabil.
whisper	a șopti	Vă rugăm să șoptiți în timpul ceremoniei.
whom	pe cine	Pe cine ai invitat?
widely	pe scară largă	Cartea este citită pe scară largă.
wildlife	fauna sălbatică	Parcul protejează fauna sălbatică locală.
willing	dispus	Ea este dispusă să ajute.
wind2	a înfășura	Înfășurați cablul în jurul rolei.
wire	cablul	Cablul conectează cele două dispozitive.
wise	înțelept	Aceea a fost o alegere înțeleaptă.
witness	martorul	Un martor a descris accidentul.
wound	rana	Curățați rana cu grijă.
wrap	a împacheta	Împachetați cadoul în hârtie.
zone	zona	Această zonă este închisă traficului.
