simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
多	meget; mange	Jeg har mange venner.	paljon; moni	Minulla on paljon ystäviä.	hodně; mnoho	Mám hodně kamarádů.	veľa; mnohí	Mám veľa kamarátov.
多少	hvor meget; hvor mange	Hvor meget koster denne kop?	kuinka paljon; montako	Paljonko tämä kuppi maksaa?	kolik	Kolik stojí tento šálek?	koľko	Koľko stojí táto šálka?
儿子	en søn	Min søn er elev.	poika	Poikani on oppilas.	syn	Můj syn je student.	syn	Môj syn je študent.
二	to	Februar er kold.	kaksi	Helmikuu on kylmä.	dva	V únoru je zima.	dva	Vo februári je chladno.
饭馆	en restaurant	Restauranten ligger foran skolen.	ravintola	Ravintola on koulun edessä.	restaurace	Restaurace je před školou.	reštaurácia	Reštaurácia je pred školou.
飞机	et fly	Jeg tager flyet til Beijing.	lentokone	Menen Pekingiin lentokoneella.	letadlo	Letím do Pekingu letadlem.	lietadlo	Letím do Pekingu lietadlom.
分钟	et minut	Jeg studerer i fem minutter.	minuutti	Opiskelen viisi minuuttia.	minuta	Učím se pět minut.	minúta	Učím sa päť minút.
高兴	glad; tilfreds	Jeg er meget glad i dag.	iloinen	Olen tänään hyvin iloinen.	radostný; spokojený	Dnes jsem velmi rád.	radostný; spokojný	Dnes som veľmi rád.
个	en generel klassifikator	Jeg har en ven.	yleinen luokittelusana	Minulla on yksi ystävä.	obecný klasifikátor	Mám jednoho kamaráda.	všeobecný klasifikátor	Mám jedného kamaráta.
工作	at arbejde; arbejde	Jeg arbejder i Beijing.	työskennellä; työ	Työskentelen Pekingissä.	pracovat; práce	Pracuji v Pekingu.	pracovať; práca	Pracujem v Pekingu.
狗	en hund	Jeg kan lide hunde.	koira	Pidän koirista.	pes	Mám rád psy.	pes	Mám rád psy.
汉语	kinesisk; kinesisk sprog	Jeg studerer kinesisk.	kiina; kiinan kieli	Opiskelen kiinaa.	čínština; čínský jazyk	Učím se čínsky.	čínština; čínsky jazyk	Učím sa čínštinu.
好	god; godt	Det er godt vejr i dag.	hyvä	Tänään on hyvä sää.	dobrý; dobře	Dnes je hezké počasí.	dobrý; dobre	Dnes je pekné počasie.
喝	at drikke	Jeg drikker vand.	juoda	Juon vettä.	pít	Piju vodu.	piť	Pijem vodu.
和	og; med	Jeg går til skolen med en ven.	ja; kanssa	Menen kouluun ystävän kanssa.	a; s	Jdu do školy s kamarádem.	a; s	Idem do školy s kamarátom.
很	meget	Hun er meget smuk.	hyvin; todella	Hän on todella kaunis.	velmi	Je velmi hezká.	veľmi	Je veľmi pekná.
后面	bagved; bagside	Skolen ligger bag restauranten.	takana; takaosa	Koulu on ravintolan takana.	vzadu; za	Škola je za restaurací.	vzadu; za	Škola je za reštauráciou.
回	at vende tilbage; at gå tilbage	Jeg vender hjem.	palata; mennä takaisin	Palaan kotiin.	vracet se; jít zpět	Vracím se domů.	vracať sa; ísť späť	Vraciam sa domov.
会	at kunne; at vide hvordan	Jeg kan tale kinesisk.	osata; voida	Osaan puhua kiinaa.	umět; moci	Umím mluvit čínsky.	vedieť; môcť	Viem hovoriť po čínsky.
火车站	en togstation	Togstationen er stor.	rautatieasema	Rautatieasema on iso.	vlakové nádraží	Vlakové nádraží je velké.	železničná stanica	Železničná stanica je veľká.
几	hvor mange; nogle	Hvor mange venner har du?	montako; muutama	Montako ystävää sinulla on?	kolik; několik	Kolik máš kamarádů?	koľko; niekoľko	Koľko máš kamarátov?
家	et hjem; en familie	Mit hjem er i Beijing.	koti; perhe	Kotini on Pekingissä.	domov; rodina	Můj domov je v Pekingu.	domov; rodina	Môj domov je v Pekingu.
叫	at hedde; at kalde	Hvad hedder du?	olla nimeltään; kutsua	Mikä sinun nimesi on?	jmenovat se; volat	Jak se jmenuješ?	volať sa; volať	Ako sa voláš?
今天	i dag	Det er varmt i dag.	tänään	Tänään on kuuma.	dnes	Dnes je horko.	dnes	Dnes je horúco.
九	ni	Klokken er ni nu.	yhdeksän	Nyt kello on yhdeksän.	devět	Teď je devět hodin.	deväť	Teraz je deväť hodín.
开	at åbne; at tænde	Jeg tænder computeren.	avata; laittaa päälle	Laitan tietokoneen päälle.	otevřít; zapnout	Zapínám počítač.	otvoriť; zapnúť	Zapínam počítač.
看	at se; at læse	Jeg læser en bog.	katsoa; lukea	Luen kirjaa.	dívat se; číst	Čtu knihu.	pozerať; čítať	Čítam knihu.
看见	at se	Jeg ser læreren.	nähdä	Näen opettajan.	vidět	Vidím učitele.	vidieť	Vidím učiteľa.
块	et stykke; en yuan	Denne bog koster ti yuan.	pala; yuan	Tämä kirja maksaa kymmenen yuania.	kus; jüan	Tato kniha stojí deset jüanů.	kus; jüan	Táto kniha stojí desať jüanov.
来	at komme	Han kommer til skolen.	tulla	Hän tulee kouluun.	přijít; přijet	Přichází do školy.	prísť; prichádzať	Prichádza do školy.
老师	en lærer	Læreren er på skolen.	opettaja	Opettaja on koulussa.	učitel	Učitel je ve škole.	učiteľ	Učiteľ je v škole.
了	en partikel for afsluttet handling	Jeg har spist ris.	loppuun saatetun toiminnan partikkeli	Söin riisiä.	částice dokončeného děje	Snědl jsem rýži.	častica dokončeného deja	Zjedol som ryžu.
冷	kold	Det er koldt i dag.	kylmä	Tänään on kylmä.	studený; chladný	Dnes je chladno.	studený; chladný	Dnes je chladno.
里	inde i; i	Der er vand i koppen.	sisällä; -ssa	Kupissa on vettä.	v; uvnitř	V šálku je voda.	v; vnútri	V šálke je voda.
零	nul	Nul er ikke en.	nolla	Nolla ei ole yksi.	nula	Nula není jedna.	nula	Nula nie je jedna.
六	seks	Klokken er seks nu.	kuusi	Nyt kello on kuusi.	šest	Teď je šest hodin.	šesť	Teraz je šesť hodín.
妈妈	en mor; mor	Mor drikker te.	äiti	Äiti juo teetä.	máma; matka	Máma pije čaj.	mama; matka	Mama pije čaj.
吗	en ja-nej-spørgepartikel	Er du studerende?	kyllä-ei-kysymyspartikkeli	Oletko opiskelija?	tázací částice pro ano-ne	Jsi student?	opytovacia častica áno-nie	Si študent?
买	at købe	Jeg køber æbler.	ostaa	Ostan omenoita.	koupit; kupovat	Kupuji jablka.	kúpiť; kupovať	Kupujem jablká.
猫	en kat	Katten sidder på stolen.	kissa	Kissa on tuolilla.	kočka	Kočka je na židli.	mačka	Mačka je na stoličke.
没	ikke have; ikke	Jeg har ingen penge.	ei ole; ei	Minulla ei ole rahaa.	nemít; ne	Nemám peníze.	nemať; nie	Nemám peniaze.
没关系	det gør ikke noget; intet problem	Det gør ikke noget.	ei haittaa; ei se mitään	Ei se mitään.	to nevadí; žádný problém	To nevadí.	to nevadí; žiadny problém	To nevadí.
米饭	kogt ris	Jeg spiser ris.	keitetty riisi	Syön riisiä.	vařená rýže	Jím rýži.	varená ryža	Jem ryžu.
名字	et navn	Hvad hedder du?	nimi	Mikä sinun nimesi on?	jméno	Jak se jmenuješ?	meno	Ako sa voláš?
明天	i morgen	I morgen tager jeg til Beijing.	huomenna	Huomenna menen Pekingiin.	zítra	Zítra jedu do Pekingu.	zajtra	Zajtra idem do Pekingu.
哪	hvilken; hvilket; hvilke; hvor	Hvor skal du hen?	mikä; missä; minne	Minne olet menossa?	který; která; které; kde; kam	Kam jdeš?	ktorý; ktorá; ktoré; kde; kam	Kam ideš?
那	den dér; det dér; de dér	Det dér er min lærer.	tuo; nuo; se	Tuo on opettajani.	tamten; tamta; tamto; tamti/tamty	To je můj učitel.	tamten; tamtá; tamto; tamtí/tamtie	To je môj učiteľ.
呢	en spørgepartikel; hvad med	Hvad med dig?	kysymyspartikkeli; entä	Entä sinä?	tázací částice; a co	A co ty?	opytovacia častica; a čo	A čo ty?
能	at kunne; være i stand til	Kan jeg gå?	voida; pystyä	Voinko mennä?	moci; být schopen	Můžu jít?	môcť; byť schopný	Môžem ísť?
你	du	Hvordan har du det?	sinä; sinua	Mitä kuuluu?	ty	Jak se máš?	ty	Ako sa máš?
年	et år	Et år har tolv måneder.	vuosi	Vuodessa on kaksitoista kuukautta.	rok	Rok má dvanáct měsíců.	rok	Rok má dvanásť mesiacov.
女儿	en datter	Hendes datter er meget smuk.	tytär	Hänen tyttärensä on hyvin kaunis.	dcera	Její dcera je velmi hezká.	dcéra	Jej dcéra je veľmi pekná.
朋友	en ven	Han er min ven.	ystävä	Hän on ystäväni.	kamarád; přítel	Je můj kamarád.	kamarát; priateľ	Je môj kamarát.
漂亮	smuk; pæn	Hun er meget smuk.	kaunis	Hän on hyvin kaunis.	hezký; krásný	Je velmi hezká.	pekný; krásny	Je veľmi pekná.
苹果	et æble	Jeg kan lide æbler.	omena	Pidän omenoista.	jablko	Mám rád jablka.	jablko	Mám rád jablká.
七	syv	Klokken er syv nu.	seitsemän	Nyt kello on seitsemän.	sedm	Teď je sedm hodin.	sedem	Teraz je sedem hodín.
前面	foran; forside	Restauranten ligger foran butikken.	edessä; etupuoli	Ravintola on kaupan edessä.	vpředu; před	Restaurace je před obchodem.	vpredu; pred	Reštaurácia je pred obchodom.
钱	penge	Jeg har ingen penge.	raha	Minulla ei ole rahaa.	peníze	Nemám peníze.	peniaze	Nemám peniaze.
请	vær så venlig; at invitere; at bede	Vær så god, drik te.	ole hyvä; pyytää; kutsua	Juo teetä, ole hyvä.	prosím; pozvat; požádat	Prosím, napij se čaje.	prosím; pozvať; požiadať	Prosím, napi sa čaju.
去	at gå; at tage af sted	Jeg går til skolen.	mennä	Menen kouluun.	jít; jet	Jdu do školy.	ísť	Idem do školy.
热	varm	Det er varmt i dag.	kuuma	Tänään on kuuma.	horký; teplý	Dnes je horko.	horúci; teplý	Dnes je horúco.
人	en person; mennesker	Der er mange mennesker på skolen.	ihminen; ihmiset	Koulussa on paljon ihmisiä.	člověk; lidé	Ve škole je hodně lidí.	človek; ľudia	V škole je veľa ľudí.
认识	at kende; at genkende	Jeg kender ham.	tuntea; tunnistaa	Tunnen hänet.	znát; poznat	Znám ho.	poznať; spoznať	Poznám ho.
日	en dag; en dato	I dag er det den første marts.	päivä; päivämäärä	Tänään on ensimmäinen maaliskuuta.	den; datum	Dnes je prvního března.	deň; dátum	Dnes je prvého marca.
三	tre	Jeg har tre kopper.	kolme	Minulla on kolme kuppia.	tři	Mám tři šálky.	tri	Mám tri šálky.
商店	en butik	Butikken ligger foran skolen.	kauppa	Kauppa on koulun edessä.	obchod	Obchod je před školou.	obchod	Obchod je pred školou.
上	op; på	Bogen ligger på bordet.	yläpuoli; päällä	Kirja on pöydällä.	nahoře; na	Kniha je na stole.	hore; na	Kniha je na stole.
上午	en formiddag; en morgen	Om formiddagen studerer jeg kinesisk.	aamupäivä; aamu	Aamulla opiskelen kiinaa.	dopoledne; ráno	Dopoledne se učím čínsky.	dopoludnie; ráno	Dopoludnia sa učím čínštinu.
少	få; lidt	Der er få studerende.	vähän; harva	Oppilaita on vähän.	málo; několik	Studentů je málo.	málo; niekoľko	Študentov je málo.
什么	hvad	Hvad er dette?	mikä; mitä	Mikä tämä on?	co	Co je to?	čo	Čo je toto?
十	ti	Jeg har ti bøger.	kymmenen	Minulla on kymmenen kirjaa.	deset	Mám deset knih.	desať	Mám desať kníh.
时候	en tid; et tidspunkt	Hvornår kommer du?	aika; hetki	Milloin tulet?	čas; chvíle	Kdy přijdeš?	čas; chvíľa	Kedy prídeš?
是	at være; ja	Jeg er studerende.	olla; kyllä	Olen opiskelija.	být; ano	Jsem student.	byť; áno	Som študent.
书	en bog	Jeg læser en bog.	kirja	Luen kirjaa.	kniha	Čtu knihu.	kniha	Čítam knihu.
谁	hvem	Hvem er han?	kuka	Kuka hän on?	kdo	Kdo je to?	kto	Kto je to?
水	vand	Jeg drikker vand.	vesi	Juon vettä.	voda	Piju vodu.	voda	Pijem vodu.
水果	frugt	Jeg køber frugt.	hedelmä	Ostan hedelmiä.	ovoce	Kupuji ovoce.	ovocie	Kupujem ovocie.
睡觉	at sove; at gå i seng	Jeg går i seng.	nukkua; mennä nukkumaan	Menen nukkumaan.	spát; jít spát	Jdu spát.	spať; ísť spať	Idem spať.
说话	at tale; at snakke	Læreren taler.	puhua; jutella	Opettaja puhuu.	mluvit	Učitel mluví.	hovoriť; rozprávať	Učiteľ hovorí.
四	fire	Jeg har fire venner.	neljä	Minulla on neljä ystävää.	čtyři	Mám čtyři kamarády.	štyri	Mám štyroch kamarátov.
岁	år gammel	Jeg er ti år gammel.	vuotta vanha	Olen kymmenen vuotta vanha.	let (o věku)	Je mi deset let.	rokov (o veku)	Mám desať rokov.
他	han; ham	Han er lærer.	hän; häntä	Hän on opettaja.	on; ho	On je učitel.	on; ho	On je učiteľ.
她	hun; hende	Hun er studerende.	hän; häntä	Hän on opiskelija.	ona; ji	Ona je studentka.	ona; ju	Ona je študentka.
太	for; meget	Denne kop er for stor.	liian; hyvin	Tämä kuppi on liian iso.	příliš; velmi	Tento šálek je příliš velký.	príliš; veľmi	Táto šálka je príliš veľká.
天气	vejr	Det er godt vejr i dag.	sää	Tänään on hyvä sää.	počasí	Dnes je hezké počasí.	počasie	Dnes je pekné počasie.
听	at lytte; at høre	Jeg hører læreren tale.	kuunnella; kuulla	Kuuntelen, kun opettaja puhuu.	poslouchat; slyšet	Poslouchám, jak učitel mluví.	počúvať; počuť	Počúvam, ako učiteľ hovorí.
同学	en klassekammerat	Han er min klassekammerat.	luokkatoveri	Hän on luokkatoverini.	spolužák	Je můj spolužák.	spolužiak	Je môj spolužiak.
喂	hallo i telefonen	Hallo?	haloo puhelimessa	Haloo?	haló do telefonu	Haló?	haló do telefónu	Haló?
我	jeg; mig	Jeg er læge.	minä; minua	Olen lääkäri.	já; mě	Jsem lékař.	ja; mňa	Som lekár.
我们	vi; os	Vi går til skolen.	me; meitä	Menemme kouluun.	my; nás	Jdeme do školy.	my; nás	Ideme do školy.
五	fem	Jeg har fem æbler.	viisi	Minulla on viisi omenaa.	pět	Mám pět jablek.	päť	Mám päť jabĺk.
喜欢	at kunne lide	Jeg kan lide at drikke te.	pitää; tykätä	Pidän teen juomisesta.	mít rád	Rád piju čaj.	mať rád	Rád pijem čaj.
下	ned; under; næste	Bogen ligger under bordet.	alhaalla; alla; seuraava	Kirja on pöydän alla.	dole; pod; další	Kniha je pod stolem.	dole; pod; ďalší	Kniha je pod stolom.
下午	eftermiddag	Om eftermiddagen går jeg i butikken.	iltapäivä	Iltapäivällä menen kauppaan.	odpoledne	Odpoledne jdu do obchodu.	popoludnie	Popoludní idem do obchodu.
下雨	at regne	Det regner i dag.	sataa	Tänään sataa.	pršet	Dnes prší.	pršať	Dnes prší.
先生	hr.; en herre; en ægtemand	Goddag, min herre.	herra; aviomies	Hyvää päivää, herra.	pan; manžel	Dobrý den, pane.	pán; manžel	Dobrý deň, pán.
现在	nu	Jeg er på skolen nu.	nyt	Nyt olen koulussa.	teď; nyní	Teď jsem ve škole.	teraz	Teraz som v škole.
想	at ville; at tænke; at savne	Jeg vil drikke vand.	haluta; ajatella; kaivata	Haluan juoda vettä.	chtít; myslet; stýskat se	Chci pít vodu.	chcieť; myslieť; cnieť	Chcem piť vodu.
小	lille	Denne kop er lille.	pieni	Tämä kuppi on pieni.	malý	Tento šálek je malý.	malý	Táto šálka je malá.
小姐	frøken; en ung dame	Goddag, frøken.	neiti; nuori nainen	Hyvää päivää, neiti.	slečna; mladá žena	Dobrý den, slečno.	slečna; mladá žena	Dobrý deň, slečna.
些	nogle; lidt	Jeg har nogle bøger.	joitakin; vähän	Minulla on joitakin kirjoja.	několik; trochu	Mám několik knih.	niekoľko; trochu	Mám niekoľko kníh.
写	at skrive	Jeg skriver tegn.	kirjoittaa	Kirjoitan merkkejä.	psát	Píšu znaky.	písať	Píšem znaky.
谢谢	tak; at takke	Tak.	kiitos; kiittää	Kiitos.	děkuji; děkovat	Děkuji.	ďakujem; ďakovať	Ďakujem.
星期	en uge; en ugedag	I dag er det mandag.	viikko; viikonpäivä	Tänään on maanantai.	týden; den v týdnu	Dnes je pondělí.	týždeň; deň v týždni	Dnes je pondelok.
学生	en studerende; en elev	Jeg er studerende.	opiskelija; oppilas	Olen opiskelija.	student; žák	Jsem student.	študent; žiak	Som študent.
学习	at studere; at lære	Jeg studerer kinesisk.	opiskella; oppia	Opiskelen kiinaa.	studovat; učit se	Učím se čínsky.	študovať; učiť sa	Učím sa čínštinu.
学校	en skole	Skolen er stor.	koulu	Koulu on iso.	škola	Škola je velká.	škola	Škola je veľká.
一	en; et	Jeg har en kop.	yksi	Minulla on yksi kuppi.	jeden	Mám jeden šálek.	jeden	Mám jednu šálku.
衣服	tøj	Jeg køber tøj.	vaatteet	Ostan vaatteita.	oblečení	Kupuji oblečení.	oblečenie	Kupujem oblečenie.
医生	en læge	Hun er læge.	lääkäri	Hän on lääkäri.	lékař; lékařka	Ona je lékařka.	lekár; lekárka	Ona je lekárka.
医院	et hospital	Hospitalet ligger foran skolen.	sairaala	Sairaala on koulun edessä.	nemocnice	Nemocnice je před školou.	nemocnica	Nemocnica je pred školou.
椅子	en stol	Stolen står bag bordet.	tuoli	Tuoli on pöydän takana.	židle	Židle je za stolem.	stolička	Stolička je za stolom.
有	at have; der er	Jeg har venner.	olla; omistaa	Minulla on ystäviä.	mít; existovat	Mám kamarády.	mať; existovať	Mám kamarátov.
月	en måned; en måne	I dag er det den fjerde maj.	kuukausi; kuu	Tänään on neljäs toukokuuta.	měsíc	Dnes je čtvrtého května.	mesiac	Dnes je štvrtého mája.
再见	farvel; på gensyn	Farvel, frøken.	näkemiin	Näkemiin, opettaja.	na shledanou	Na shledanou, pane učiteli.	dovidenia	Dovidenia, pán učiteľ.
在	at være i; at befinde sig	Jeg er hjemme.	olla jossakin; sijaita	Olen kotona.	být v; nacházet se	Jsem doma.	byť v; nachádzať sa	Som doma.
怎么	hvordan	Hvordan læser man dette tegn?	miten	Miten tämä merkki luetaan?	jak	Jak se čte tento znak?	ako	Ako sa číta tento znak?
怎么样	hvordan; hvad med	Hvordan har du det i dag?	miten; millainen	Miten sinulla menee tänään?	jak; co takhle	Jak se dnes máš?	ako; čo tak	Ako sa dnes máš?
这	denne; dette; disse	Dette er min bog.	tämä; nämä	Tämä on minun kirjani.	tento; tato; toto; tito/tyto	To je moje kniha.	tento; táto; toto; títo/tieto	Toto je moja kniha.
中国	Kina	Jeg tager til Kina.	Kiina	Menen Kiinaan.	Čína	Jedu do Číny.	Čína	Idem do Číny.
中午	middagstid; midt på dagen	Midt på dagen spiser jeg ris.	keskipäivä; puolipäivä	Keskipäivällä syön riisiä.	poledne	V poledne jím rýži.	poludnie	Na poludnie jem ryžu.
住	at bo; at overnatte	Jeg bor i Beijing.	asua; yöpyä	Asun Pekingissä.	bydlet; ubytovat se	Bydlím v Pekingu.	bývať; ubytovať sa	Bývam v Pekingu.
桌子	et bord; et skrivebord	Bogen ligger på bordet.	pöytä; kirjoituspöytä	Kirja on pöydällä.	stůl; psací stůl	Kniha je na stole.	stôl; písací stôl	Kniha je na stole.
字	et tegn; et ord	Dette tegn er lille.	merkki; sana	Tämä merkki on pieni.	znak; slovo	Tento znak je malý.	znak; slovo	Tento znak je malý.
昨天	i går	I går så jeg en film.	eilen	Eilen katsoin elokuvan.	včera	Včera jsem viděl film.	včera	Včera som videl film.
坐	at sidde; at tage transport	Jeg tager flyet til Beijing.	istua; matkustaa kulkuvälineellä	Menen Pekingiin lentokoneella.	sedět; jet dopravou	Letím do Pekingu letadlem.	sedieť; ísť dopravou	Letím do Pekingu lietadlom.
做	at gøre; at lave	Jeg laver mad.	tehdä; valmistaa	Laitan ruokaa.	dělat; připravovat	Vařím.	robiť; pripravovať	Varím.
