source_headword	LT	example_LT
automatic	automatinis	Durys turi automatinį užraktą.
automatically	automatiškai	Šviesos įsijungia automatiškai.
awareness	sąmoningumas	Kampanija padidino visuomenės sąmoningumą.
awkward	nepatogus	Tyla atrodė nejauki.
badge	ženklelis	Lankytojai turi segėti ženklelį.
balanced	subalansuotas	Subalansuota mityba apima daržoves.
ballet	baletas	Po pamokų ji mokosi baleto.
balloon	balionas	Balionas plūduriavo virš stalo.
barely	vos	Jis vos girdėjo pranešimą.
bargain	sandoris	Ta striukė buvo tikrai geras pirkinys.
basement	rūsys	Dėžės yra rūsyje.
basket	krepšys	Ji įdėjo obuolius į krepšelį.
bat	šikšnosparnis	Šikšnosparnis išskrido iš urvo.
beneficial	naudingas	Reguliari mankšta yra naudinga sveikatai.
beside	šalia	Lempa stovi šalia sofos.
besides	be to	Be matematikos, jis mokosi chemijos.
bias	šališkumas	Straipsnis rodė aiškų šališkumą.
bid	pasiūlymas	Įmonė pateikė didesnį pasiūlymą.
biological	biologinis	Biologinis testas patvirtino rezultatą.
blanket	antklodė	Vaikas miegojo po antklode.
blow	smūgis	Stiprus smūgis išdaužė langą.
bold	drąsus	Antraštėje buvo naudojamos paryškintos raidės.
bombing	bombardavimas	Bombardavimas apgadino kelis pastatus.
booking	užsakymas	Aš patvirtinau viešbučio užsakymą.
boost	paskatinimas	Pergalė padidino komandos pasitikėjimą savimi.
bound	įpareigotas	Siuntinys buvo surištas virvele.
brick	plyta	Siena pastatyta iš plytų.
briefly	trumpai	Po pietų ji kalbėjo trumpai.
broadcaster	transliuotojas	Transliuotojas ėmė interviu iš mero.
broadly	plačiai	Abu planai yra apskritai panašūs.
bug	vabalas	Programėlė nulūžo dėl klaidos.
cabin	kajutė	Mes apsistojome mažame namelyje.
canal	kanalas	Valtys lėtai plaukė kanalu.
candle	žvakė	Žvakė degė ant stalo.
carbon	anglis	Medžiai sugeria anglį iš oro.
casual	kasdienis	Jis į darbą apsivilko kasdienius drabužius.
cave	urvas	Žygeiviai įėjo į urvą.
certainty	tikrumas	Mes negalime žinoti su tikrumu.
certificate	sertifikatas	Ji gavo mokymų pažymėjimą.
challenging	iššūkį keliantis	Kursas buvo sudėtingas, bet naudingas.
championship	čempionatas	Mūsų komanda pasiekė čempionato finalą.
charming	žavus	Sena gatvė atrodė žavi.
chase	gaudynės	Šuo vijosi kamuolį.
cheek	skruostas	Ašara nuriedėjo jos skruostu.
cheer	palaikymas	Minia pradėjo garsiai džiūgauti.
choir	choras	Choras dainavo gražiai.
chop	kapoti	Supjaustykite svogūnus smulkiais gabalėliais.
circuit	grandinė	Bėgikas baigė trasą.
civilization	civilizacija	Senovės civilizacija suformavo šį regioną.
clarify	išaiškinti	Prašau paaiškinti paskutinį punktą.
classify	klasifikuoti	Mokslininkai klasifikuoja gyvūnus pagal rūšis.
clerk	tarnautojas	Tarnautojas atspausdino kvitą.
cliff	skardis	Takas baigiasi netoli uolos.
clinic	klinika	Klinika atidaroma aštuntą valandą.
clip	iškarpa	Ji prisegė sąvaržėlę prie popieriaus.
coincidence	sutapimas	Susitikti su juo ten buvo sutapimas.
collector	kolekcininkas	Kolekcionierius nupirko retas monetas.
colony	kolonija	Skruzdėlės pastatė didelę koloniją.
colourful	spalvingas	Turgus buvo šviesus ir spalvingas.
comic	komiksas	Komiška scena privertė mus juoktis.
commander	vadas	Vadas davė aiškius įsakymus.
comparative	lyginamasis	Esė naudojami lyginamieji duomenys.
completion	užbaigimas	Tiltas artėja prie užbaigimo.
compose	sukurti	Jis kurs muziką filmui.
composer	kompozitorius	Kompozitorius parašė naują dainą.
compound	junginys	Junginyje yra dvi cheminės medžiagos.
comprehensive	išsamus	Gidas pateikia išsamias instrukcijas.
comprise	apimti	Komandą sudaro penki nariai.
compulsory	privalomas	Lankomumas šioje klasėje yra privalomas.
concrete	betonas	Grindys padarytos iš betono.
confess	prisipažinti	Jis prisipažino dėl klaidos savo mokytojui.
confusion	sumaištis	Vėlavimas sukėlė sumaištį.
consequently	atitinkamai	Lijo lietus, todėl rungtynės buvo sustabdytos.
conservation	išsaugojimas	Išsaugojimas apsaugo retus gyvūnus.
considerable	žymus	Remontas užtruko nemažai laiko.
considerably	žymiai	Kainos šiemet žymiai pakilo.
consistently	nuosekliai	Ji nuosekliai gerai pasirodo.
conspiracy	sąmokslas	Policija tyrė sąmokslą.
consult	pasitarti	Prieš vartojant vaistus pasikonsultuokite su gydytoju.
consultant	konsultantas	Konsultantas pasiūlė naują strategiją.
consumption	vartojimas	Energijos suvartojimas praėjusį mėnesį sumažėjo.
controversial	prieštaringas	Politika išlieka prieštaringa.
controversy	ginčas	Sprendimas sukėlė ginčą.
convenience	patogumas	Parduotuvė siūlo didelį patogumą.
convention	konvencija	Kasmetinis suvažiavimas prasideda pirmadienį.
conventional	tradicinis	Jis pasirinko tradicinį dizainą.
convey	perteikti	Žinutė perteikė užuojautą.
convincing	įtikinamas	Jos paaiškinimas buvo įtikinamas.
cope	susidoroti	Ji išmoko susidoroti su stresu.
corporation	korporacija	Korporacija atidarė naują biurą.
corridor	koridorius	Koridorius buvo siauras ir tylus.
counter (long flat surface)	prekystalis	Raktai yra ant virtuvės stalviršio.
coverage	aprėptis	Naujienų nušvietimas truko visą vakarą.
crack	įtrūkimas	Sienoje atsirado įtrūkimas.
craft	amatas	Ji internete parduoda rankų darbo amatus.
creativity	kūrybiškumas	Kūrybiškumas padeda spręsti problemas.
critically	kritiškai	Straipsnis buvo kritiškai svarbus.
cruise	kruizas	Jie užsisakė kruizą į Graikiją.
cue	užuomina	Aktorius praleido savo užuominą.
curious	smalsus	Vaikas buvo smalsus apie kosmosą.
curriculum	mokymo programa	Mokykla atnaujino savo mokymo programą.
cute	mielas	Šuniukas atrodė mielas.
dairy	pieninė	Ferma gamina pieno produktus.
dare	išdrįsti	Mesčiu tau iššūkį pabandyti.
darkness	tamsa	Kambarys prisipildė tamsos.
database	duomenų bazė	Duomenų bazė saugo klientų įrašus.
deadline	terminas	Terminas yra penktadienis.
deadly	mirtinas	Gyvatė turi mirtiną nuodą.
dealer	prekybininkas	Automobilių pardavėjas pasiūlė nuolaidą.
deck	denis	Kėdės yra terasoje.
defender	gynėjas	Gynėjas blokavo metimą.
delete	ištrinti	Ištrinti seną žinutę.
democracy	demokratija	Demokratija priklauso nuo laisvų rinkimų.
democratic	demokratiškas	Balsavimas vyko pagal demokratines taisykles.
demonstration	demonstracija	Studentai prisijungė prie demonstracijos.
depart	išvykti	Traukinys išvyks vidurdienį.
dependent	priklausomas	Vaikas yra priklausomas nuo suaugusiųjų.
deposit	indėlis	Ji sumokėjo užstatą už butą.
depression	depresija	Depresijai reikia profesionalios pagalbos.
derive	kildinti	Daug žodžių kilę iš lotynų kalbos.
desperately	beviltiškai	Jam žūtbūtinai reikėjo vandens.
destruction	sunaikinimas	Audra sukėlė platų sunaikinimą.
determination	ryžtas	Jos ryžtas padarė įspūdį treneriui.
devote	skirti	Ji skiria savaitgalius mokymuisi.
differ	skirtis	Jų nuomonės smarkiai skiriasi.
disability	negalia	Pastate yra pritaikymas neįgaliesiems.
disabled	išjungtas	Neįgalus sportininkas laimėjo medalį.
disagreement	nesutarimas	Susitikimas baigėsi nesutarimu.
disappoint	nuvilti	Rezultatas gali nuvilti gerbėjus.
disappointment	nusivylimas	Jis jautė gilų nusivylimą.
discourage	atgrasyti	Neatbaidykite jaunų besimokančiųjų.
disorder	sutrikimas	Gydytojas diagnozavo miego sutrikimą.
distant	tolimas	Kalnai atrodė tolimi.
distinct	skirtingas	Šie du garsai yra skirtingi.
distinguish	atskirti	Ar galite atskirti šias spalvas?
distract	atitraukti dėmesį	Triukšmas gali atitraukti studentų dėmesį.
disturb	trukdyti	Prašome netrukdyti pacientui.
dive	nerti	Jie nardys netoli rifo.
diverse	įvairus	Mieste yra įvairių kultūrų.
diversity	įvairovė	Mes švenčiame kultūrinę įvairovę.
divorce	skyrybos	Skyrybos buvo sunkios visiems.
dominant	dominuojantis	Dominuojanti komanda kontroliavo žaidimą.
donation	auka	Labdaros organizacija gavo auką.
dot	taškas	Po skaičiaus padėkite tašką.
downtown	miesto centras	Po darbo susitikome miesto centre.
dramatically	dramatiškai	Kaina dramatiškai nukrito.
drought	sausra	Sausra pakenkė pasėliams.
dull	nuobodus	Paskaita buvo nuobodi.
dump	išmesti	Neišmeskite šiukšlių čia.
duration	trukmė	Skrydžio trukmė yra trys valandos.
dynamic	dinamiškas	Klasė atrodė dinamiška.
economics	ekonomika	Ji studijuoja ekonomiką universitete.
economist	ekonomistas	Ekonomistas prognozavo lėtesnį augimą.
editorial	redakcinis	Vedamasis straipsnis kritikavo įstatymą.
efficiently	efektyviai	Komanda dirbo efektyviai.
elbow	alkūnė	Jis susižeidė alkūnę.
electronics	elektronika	Parduotuvė parduoda elektroniką.
elegant	elegantiškas	Suknelė atrodė elegantiškai.
elementary	elementarus	Knyga paaiškina elementarią gramatiką.
eliminate	pašalinti	Komanda pašalino kelias klaidas.
embrace	priimti	Ji priėmė naują idėją.
emission	emisija	Automobilių emisijų lygis nukrito.
emotionally	emocingai	Apie savo šeimą jis kalbėjo emocingai.
empire	imperija	Imperija gyvavo šimtmečius.
enjoyable	malonus	Kelionė buvo maloni.
entertaining	linksmas	Pasirodymas buvo smagus.
entrepreneur	verslininkas	Verslininkas atidarė kavinę.
envelope	vokas	Įdėkite laišką į voką.
equip	aprūpinti	Mokykla aprūpins laboratoriją.
equivalent	atitikmuo	Vienas doleris čia nėra ekvivalentas.
era	era	Atradimas pradėjo naują erą.
erupt	išsiveržti	Ugnikalnis gali greitai išsiveržti.
essentially	iš esmės	Šie du metodai iš esmės yra identiški.
ethic	etika	Jo darbo etika yra stipri.
ethnic	etninis	Festivalyje švenčiamos etninės tradicijos.
evaluation	vertinimas	Kursas apima galutinį vertinimą.
evident	akivaizdus	Jo nervingumas buvo akivaizdus.
evolution	evoliucija	Evoliucija paaiškina daugelį biologinių pokyčių.
evolve	plėtoti	Kalbos ilgainiui vystosi.
exceed	viršyti	Paklausa gali viršyti pasiūlą.
exception	išimtis	Yra viena išimtis.
excessive	pernelyg didelis	Pernelyg didelis triukšmas trukdo kaimynams.
exclude	atmesti	Į sąrašą neįtraukiami laikinieji darbuotojai.
exhibit	eksponatas	Muziejus eksponuos retas nuotraukas.
exit	išėjimas	Išėjimas yra už scenos.
exotic	egzotiškas	Parduotuvė parduoda egzotiškus vaisius.
expansion	plėtra	Įmonė planavo plėtrą.
expertise	patirtis	Jos kompetencija pagerino projektą.
exploit	išnaudoti	Nusikaltėliai išnaudoja silpnus slaptažodžius.
exposure	poveikis	Buvimas saulėje gali pakenkti odai.
extension	pratęsimas	Termino pratęsimas padėjo visiems.
extensive	platus	Biblioteka turi plačius išteklius.
extensively	plačiai	Ši tema buvo plačiai išnagrinėta.
extract	ištrauka	Vanilės ekstraktas suteikia skonį.
fabric	audinys	Audinys yra švelnus.
fabulous	pasakiškas	Maistas buvo nuostabus.
failed	nepavykęs	Nepavykęs bandymas mus kažko išmokė.
fake	netikras	Interneto svetainė pardavinėjo netikrus bilietus.
fame	šlovė	Šlovė pakeitė jo asmeninį gyvenimą.
fantasy	fantazija	Romanas yra fantastika.
fare	bilieto kaina	Autobuso bilieto kaina padidėjo.
federal	federalinis	Federalinė vyriausybė paskelbė apie finansavimą.
fever	karščiavimas	Vaikas karščiuoja.
firefighter	ugniagesys	Ugniagesys išgelbėjo šunį.
firework	fejerverkas	Virš parko sprogo fejerverkas.
firm	tvirtas	Čiužinys yra tvirtas.
firmly	tvirtai	Ji tvirtai uždarė duris.
flavour	skonis	Sriuba turi sodrų skonį.
fond	švelnus	Jis mėgsta džiazą.
fool	kvailys	Nesielk kaip kvailys.
forbid	uždrausti	Įstatymas čia draudžia rūkyti.
forecast	prognozė	Prognozė numato lietų.
format	formatas	Naudokite tinkamą failo formatą.
formation	formavimasis	Debesų susidarymas greitai keičiasi.
formerly	anksčiau	Pastatas anksčiau buvo mokykla.
fortunate	sėkmingas	Mums pasisekė, kad atvykome anksti.
forum	forumas	Forume buvo aptarta klimato politika.
fossil	fosilija	Fosilija buvo rasta akmenyje.
foundation	pamatas	Namas turi tvirtus pamatus.
founder	įkūrėjas	Įkūrėjas pasveikino svečius.
fraction	dalis	Atėjo tik maža dalis studentų.
fragment	fragmentas	Ant grindų gulėjo stiklo šukė.
framework	sistema	Įstatymas sukuria aiškią struktūrą.
fraud	sukčiavimas	Bankas aptiko sukčiavimą.
freely	laisvai	Vaikai laisvai žaidė lauke.
frequent	dažnas	Dažnos pertraukėlės pagerina dėmesį.
fulfil	įvykdyti	Tikiuosi išpildyti savo pažadą.
full-time	visu etatu	Ji dirba visu etatu.
fundamentally	iš esmės	Planas iš esmės skiriasi.
furious	įsiutęs	Jis buvo įsiutęs dėl vėlavimo.
gaming	žaidimai	Žaidimai gali pagerinti reakcijos greitį.
gay	homoseksualus	Jis palaiko gėjų teises.
gender	lytis	Apklausoje buvo klausiama apie lytį.
gene	genas	Genas veikia akių spalvą.
genetic	genetinis	Liga turi genetinių priežasčių.
genius	genijus	Jaunasis pianistas yra genijus.
genuine	tikras	Jos šypsena atrodė nuoširdi.
genuinely	nuoširdžiai	Jis nuoširdžiai norėjo padėti.
gesture	gestas	Ji padarė draugišką gestą.
gig	koncertas	Grupė surengė koncertą miesto centre.
globalization	globalizacija	Globalizacija veikia vietinį verslą.
globe	gaublys	Gaublys rodo kiekvieną žemyną.
golden	auksinis	Saulėlydis tapo auksinis.
goodness	gerumas	Ji tiki žmonių gėriu.
gorgeous	nuostabus	Sodas atrodė puikiai.
governor	gubernatorius	Gubernatorius pasirašė įstatymo projektą.
graphic	grafinis	Vaizdus paveikslėlis šokiravo žiūrovus.
graphics	grafika	Žaidimas turi paprastą grafiką.
greatly	labai	Jūsų patarimas labai padėjo.
greenhouse	šiltnamis	Pomidorai auga šiltnamyje.
grocery	maisto prekių parduotuvė	Po darbo ji nusipirko maisto produktų.
guideline	gairė	Gairėse paaiškinama saugi praktika.
habitat	buveinė	Miškas yra paukščių buveinė.
harbour	uostas	Valtis įplaukė į uostą.
headquarters	būstinė	Įmonės būstinė persikėlė į miesto centrą.
