source_headword	TA	example_TA
terrorist	பயங்கரவாதி	காவல்துறையினர் நேற்று பயங்கரவாதியை கைது செய்தனர்.
testing	சோதனை	தயாரிப்பு சோதனை திங்கட்கிழமை தொடங்குகிறது.
textbook	பாடப்புத்தகம்	அவள் தன் உயிரியல் பாடப்புத்தகத்தை மறந்துவிட்டாள்.
theft	திருட்டு	அப்பகுதியில் திருட்டு அதிகரித்தது.
therapist	சிகிச்சையாளர்	சிகிச்சையாளர் அவனது கவலையை நிர்வகிக்க உதவினார்.
thesis	ஆய்வுக் கட்டுரை	அவளது ஆய்வுக் கட்டுரை ஆன்லைன் கற்றலை ஆராய்கிறது.
thorough	முழுமையான	ஒரு முழுமையான மதிப்பாய்வில் எந்த பிழையும் காணப்படவில்லை.
thoroughly	முழுமையாக	காயத்தை முழுமையாக சுத்தம் செய்யவும்.
thumb	பெருவிரல்	அவர் ஒப்புதலைக் குறிக்க தனது பெருவிரலை உயர்த்தினார்.
timing	நேரம்	அழைப்பின் நேரம் சரியாக இருந்தது.
tissue	டிஷ்யூ	அவள் டிஷ்யூவால் கண்ணாடியைத் துடைத்தாள்.
ton	டன்	டிரக் ஒரு டன் மணலை ஏற்றிச் சென்றது.
tonne	டன்	சரக்கு ஒரு டன் எடையைக் கொண்டிருந்தது.
tournament	போட்டி	டென்னிஸ் போட்டி நாளை தொடங்குகிறது.
trace	தடமறி	விஞ்ஞானிகளால் வைரஸ் மூலத்தை தடமறிய முடியும்.
trading	வர்த்தகம்	பங்கு வர்த்தகம் நண்பகலில் நின்றது.
tragedy	சோகம்	இந்த விபத்து ஒரு பயங்கரமான சோகம்.
tragic	துயரமான	விபத்து துயரமான விளைவுகளை ஏற்படுத்தியது.
trait	பண்பு	பொறுமை ஒரு பயனுள்ள பண்பு.
transmit	பரப்ப	கொசுக்கள் நோயைப் பரப்பக்கூடும்.
transportation	போக்குவரத்து	இன்று பொதுப் போக்குவரத்து நெரிசலாக உள்ளது.
trap	பொறி	பெட்டி பூச்சிகளைப் பாதுகாப்பாகப் பிடிக்க முடியும்.
treasure	புதையல்	பழைய பெட்டியில் புதையல் இருந்தது.
tribe	பழங்குடி	பழங்குடியினர் தங்கள் மரபுகளைப் பாதுகாத்தனர்.
trigger	தூண்டு	புகை அலாரத்தைத் தூண்டலாம்.
trillion	டிரில்லியன்	கடன் ஒரு டிரில்லியன் டாலர்களை எட்டியது.
troop	படை	படை எல்லையை நோக்கி நகர்ந்தது.
tsunami	சுனாமி	சுனாமி கடலோர வீடுகளை அழித்தது.
ultimate	இறுதியான	இறுதியான குறிக்கோள் அமைதி.
unacceptable	ஏற்றுக்கொள்ள முடியாத	தாமதம் பயணிகளால் ஏற்றுக்கொள்ள முடியாததாக இருந்தது.
uncertainty	நிச்சயமற்ற தன்மை	நிச்சயமற்ற தன்மை முதலீட்டாளர்களை பதற்றமடையச் செய்தது.
undergo	உட்படு	நோயாளி நாளை அறுவை சிகிச்சைக்கு உட்படுவார்.
undertake	மேற்கொள்	குழு ஒரு கணக்கெடுப்பை மேற்கொள்ளும்.
unfold	வெளிப்படு	நாடகம் மெதுவாக விரிவடையத் தொடங்கியது.
unfortunate	துரதிர்ஷ்டவசமான	பிழை துரதிர்ஷ்டவசமானது ஆனால் சரிசெய்யக்கூடியது.
unite	ஒன்றிணை	தலைவர்கள் கட்சியை ஒன்றிணைக்க முயன்றனர்.
unity	ஒற்றுமை	இந்த உரை தேசிய ஒற்றுமைக்கு அழைப்பு விடுத்தது.
universal	உலகளாவிய	செயலி ஒரு உலகளாவிய வடிவமைப்பைப் பயன்படுத்துகிறது.
urgent	அவசர	மருத்துவமனைக்கு ஒரு அவசர அழைப்பு வந்தது.
usage	பயன்பாடு	வழிகாட்டி சரியான பயன்பாட்டை விளக்குகிறது.
useless	பயனற்ற	உடைந்த சார்ஜர் பயனற்றது.
valid	செல்லுபடியாகும்	உங்கள் கடவுச்சீட்டு இன்னும் செல்லுபடியாகும்.
variation	மாறுபாடு	விலைகளில் பரவலான மாறுபாடு உள்ளது.
vertical	செங்குத்தான	விளக்கப்படத்தில் ஒரு செங்குத்தான அச்சு உள்ளது.
viewpoint	கண்ணோட்டம்	விவாதத்திற்குப் பிறகு அவளது கண்ணோட்டம் மாறியது.
visa	விசா	அவர் மாணவர் விசாவுக்கு விண்ணப்பித்தார்.
visible	தெரியும்	அடையாளம் இங்கிருந்து தெரியும்.
voluntary	தன்னார்வ	பாடத்திட்டத்தில் தன்னார்வ பட்டறைகள் அடங்கும்.
voting	வாக்குப்பதிவு	முன்கூட்டியே வாக்குப்பதிவு அடுத்த வாரம் தொடங்குகிறது.
wander	உலாவு	சுற்றுலாப் பயணிகள் பழைய சந்தையில் உலாவுக்கிறார்கள்.
warming	வெப்பமயமாதல்	புவி வெப்பமயமாதல் கடல் மட்டத்தை பாதிக்கிறது.
weekly	வாராந்திர	குழு ஒரு வாராந்திர கூட்டத்தை நடத்துகிறது.
weird	விசித்திரமான	சத்தம் விசித்திரமாக இருந்தது.
welfare	நல்வாழ்வு	இந்த திட்டம் குழந்தை நலனை ஆதரிக்கிறது.
wheat	கோதுமை	விவசாயி கோதுமை வளர்க்கிறார்.
whoever	யார்	முதலில் வருபவர் வெளியே காத்திருக்க வேண்டும்.
widespread	பரவலான	புயல் பரவலான சேதத்தை ஏற்படுத்தியது.
wisdom	ஞானம்	அவளது பாட்டி நடைமுறை ஞானத்தைப் பகிர்ந்து கொண்டார்.
withdraw	திரும்பப் பெறு	அவர் தனது விண்ணப்பத்தை திரும்பப் பெற முடிவு செய்தார்.
workforce	பணியாளர்	பணியாளர்களுக்கு புதிய திறன்கள் தேவை.
workplace	பணியிடம்	பணியிடத்தில் தெளிவான பாதுகாப்பு விதிகள் உள்ளன.
workshop	பயிலரங்கம்	பயிலரங்கம் பத்து மணிக்குத் தொடங்குகிறது.
worm	புழு	ஒரு புழு மண்ணின் குறுக்கே நகர்ந்தது.
wrist	மணிக்கட்டு	அவள் மணிக்கட்டில் காயம் ஏற்பட்டது.
