source_headword	HI	example_HI
pile	ढेर	कागजों के एक ढेर ने मेज को ढक लिया।
pitch	मैदान	टीम ने पिच को ध्यान से तैयार किया।
plain	स्पष्ट	निर्देश स्पष्ट और सीधे थे।
pointed	तीखा	उसने एक तीखी टिप्पणी की।
popularity	लोकप्रियता	गायक ने ऑनलाइन लोकप्रियता हासिल की।
pose	उत्पन्न करना	यह सवाल एक समस्या उत्पन्न कर सकता है।
possess	रखना	कम ही छात्रों के पास वह कौशल होता है।
potential	क्षमता	इस विचार में वास्तविक क्षमता है।
praise	प्रशंसा	शिक्षक ने ईमानदार प्रशंसा की।
pregnant	गर्भवती	वह छह महीने की गर्भवती है।
preparation	तैयारी	अच्छी तैयारी तनाव को कम करती है।
presence	उपस्थिति	उनकी उपस्थिति ने माहौल बदल दिया।
preserve	संरक्षित करना	हमें इस ऐतिहासिक इमारत को संरक्षित करना चाहिए।
prime	मुख्य	मुख्य कारण खराब योजना थी।
principle	सिद्धांत	निर्णय ने एक स्पष्ट सिद्धांत का पालन किया।
priority	प्राथमिकता	सुरक्षा हमारी पहली प्राथमिकता है।
privacy	निजता	ग्राहक ऑनलाइन निजता की उम्मीद करते हैं।
procedure	प्रक्रिया	प्रक्रिया में तीस मिनट लगते हैं।
proof	सबूत	हमें कार्रवाई करने से पहले सबूत की आवश्यकता है।
proposal	प्रस्ताव	प्रस्ताव में अधिक विवरण की आवश्यकता है।
propose	प्रस्ताव देना	मैं एक अलग समाधान का प्रस्ताव देता हूँ।
prospect	संभावना	विफलता की संभावना ने उन्हें चिंतित कर दिया।
protection	सुरक्षा	हेलमेट बुनियादी सुरक्षा देता है।
psychologist	मनोवैज्ञानिक	मनोवैज्ञानिक ने परीक्षण परिणामों की व्याख्या की।
psychology	मनोविज्ञान	वह विश्वविद्यालय में मनोविज्ञान पढ़ती है।
publication	प्रकाशन	प्रकाशन ने जनता का ध्यान आकर्षित किया।
pupil	छात्र	प्रत्येक छात्र को एक नई पाठ्यपुस्तक मिली।
purchase	खरीदना	वे हर महीने आपूर्ति खरीदते हैं।
pure	शुद्ध	पानी शुद्ध और ठंडा था।
pursue	अपनाना	वह चिकित्सा क्षेत्र में अपना करियर बनाएगा।
rank	पद	वह एक वरिष्ठ पद पर है।
rapid	तीव्र	देश ने तीव्र विकास देखा।
rapidly	तेजी से	इस साल कीमतें तेजी से बढ़ीं।
raw	कच्चा	शेफ ने कच्ची सब्जियां तैयार कीं।
realistic	यथार्थवादी	एक यथार्थवादी समय सीमा निर्धारित करें।
reasonable	उचित	यह एक उचित अनुरोध लगता है।
recall	याद करना	मुझे उनके सटीक शब्द याद हैं।
recover	ठीक होना	वह इलाज के बाद ठीक हो जाएगी।
reduction	कमी	कटौती से पैसे बचे।
regard	मानना	कई लोग उसे ईमानदार मानते हैं।
regional	क्षेत्रीय	क्षेत्रीय कार्यालय आज बंद हो गया।
register	पंजीकरण करना	कृपया सम्मेलन से पहले पंजीकरण करें।
regret	पछतावा	मुझे अपने पहले के फैसले पर खेद है।
regulation	नियम	नया नियम सभी ड्राइवरों को प्रभावित करता है।
relatively	अपेक्षाकृत	परीक्षा अपेक्षाकृत आसान थी।
relevant	प्रासंगिक	केवल प्रासंगिक विवरण चुनें।
relief	राहत	खबर से बड़ी राहत मिली।
rely	निर्भर होना	बच्चे वयस्कों के समर्थन पर निर्भर करते हैं।
remark	टिप्पणी	उनकी टिप्पणी ने चर्चा समाप्त कर दी।
representative	प्रतिनिधि	प्रतिनिधि ने स्थानीय श्रमिकों से मुलाकात की।
reputation	प्रतिष्ठा	इस होटल की अच्छी प्रतिष्ठा है।
requirement	आवश्यकता	अनुभव एक बुनियादी आवश्यकता है।
rescue	बचाना	वे बाढ़ से लोगों को बचाते हैं।
reserve	आरक्षित करना	हम मेहमानों के लिए सीटें आरक्षित करते हैं।
resident	निवासी	प्रत्येक निवासी को एक नोटिस मिला।
resist	विरोध करना	दबाव का विरोध करने की कोशिश करें।
resolve	सुलझाना	उन्होंने विवाद को शांतिपूर्वक सुलझा लिया।
resort	रिज़ॉर्ट	द्वीप रिज़ॉर्ट मई में खुला।
retain	बनाए रखना	कंपनी कर्मचारियों को बनाए रखना चाहती है।
reveal	उजागर करना	रिपोर्ट सच्चाई को उजागर करेगी।
revolution	क्रांति	क्रांति ने देश को बदल दिया।
reward	इनाम	कड़ी मेहनत इनाम की हकदार है।
rhythm	ताल	गाने की एक स्थिर ताल है।
rid	छुटकारा पाना	उन पुरानी फ़ाइलों से छुटकारा पाएं।
root	जड़	समस्या की जड़ पैसा है।
rub	रगड़ना	सतह को कपड़े से रगड़ें।
rubber	रबर	रबर सील रिसाव को रोकती है।
rural	ग्रामीण	कई ग्रामीण स्कूलों को समर्थन की आवश्यकता है।
rush	जल्दबाजी करना	इस निर्णय में जल्दबाजी न करें।
satellite	उपग्रह	उपग्रह ने नई छवियां भेजीं।
satisfied	संतुष्ट	ग्राहक संतुष्ट लग रहा था।
satisfy	संतुष्ट करना	जवाब ने उन्हें संतुष्ट नहीं किया।
saving	बचत	ऊर्जा की बचत से मासिक लागत कम होती है।
scale	पैमाना	नुकसान का पैमाना बहुत बड़ा था।
scheme	योजना	यह योजना युवा श्रमिकों की मदद करती है।
scream	चीख	उन्होंने बाहर एक चीख सुनी।
sector	क्षेत्र	प्रौद्योगिकी क्षेत्र बढ़ रहा है।
secure	सुरक्षित करना	इसे सुरक्षित करने के लिए दरवाज़ा बंद करें।
seek	खोजना	वे विशेषज्ञों से सलाह लेते हैं।
select	चुनना	सर्वश्रेष्ठ विकल्प चुनें।
selection	चयन	यह स्टोर एक विस्तृत चयन प्रदान करता है।
self	स्व	उसने अपना सच्चा रूप दिखाया।
senior	वरिष्ठ	एक वरिष्ठ डॉक्टर ने मरीज की जांच की।
sensitive	संवेदनशील	यह विषय बहुत संवेदनशील है।
sequence	क्रम	चरणों के क्रम का पालन करें।
session	सत्र	प्रशिक्षण सत्र दोपहर में शुरू होता है।
settle	सुलझाना	उन्होंने जल्दी से बहस को सुलझा लिया।
severe	गंभीर	तूफान के कारण गंभीर बाढ़ आई।
shade	छाया	छाया में बैठें।
shadow	परछाई	खिड़की पर एक परछाई पड़ी।
shallow	उथला	झील यहाँ उथली है।
shame	शर्म	झूठ बोलने के बाद उसे शर्म महसूस हुई।
shelter	आश्रय	स्कूल ने आपातकालीन आश्रय प्रदान किया।
shock	झटका	यह निर्णय एक झटका था।
shocked	हैरान	वह खबर सुनकर हैरान रह गई।
shooting	गोलीबारी	स्टेशन के पास गोलीबारी हुई।
shot	शॉट	विजयी शॉट ने सभी को हैरान कर दिया।
significant	महत्वपूर्ण	यह खोज महत्वपूर्ण थी।
significantly	काफी	पिछले साल लागत में काफी वृद्धि हुई।
silence	सन्नाटा	कमरे में सन्नाटा छा गया।
silk	रेशम	ड्रेस रेशम की बनी थी।
sincere	सच्चा	कृपया मेरा सच्चा धन्यवाद स्वीकार करें।
slave	गुलाम	कानून ने हर गुलाम को आजाद कर दिया।
slide	फिसलना	बच्चा फिसलपट्टी से नीचे गया।
slight	थोड़ा	थोड़ी देरी हुई।
slip	फिसलना	गीले फर्श पर मत फिसलना।
slope	ढलान	रास्ता एक खड़ी ढलान के साथ जाता है।
solar	सौर	घर में सौर ऊर्जा का उपयोग होता है।
somewhat	कुछ हद तक	निर्देश कुछ हद तक भ्रामक थे।
soul	आत्मा	संगीत ने उसकी आत्मा को प्रफुल्लित कर दिया।
specialist	विशेषज्ञ	विशेषज्ञ ने मरीज की जांच की।
species	प्रजाति	यह प्रजाति नदियों के पास रहती है।
spiritual	आध्यात्मिक	उसने एक आध्यात्मिक अनुभव का वर्णन किया।
split	बांटना	उन्होंने बिल को बराबर बांट लिया।
sponsor	प्रायोजित करना	कंपनी कार्यक्रम को प्रायोजित करेगी।
stable	स्थिर	मरीज स्थिर है।
stare	घूरना	अजनबियों को मत घूरो।
status	स्थिति	उसकी स्थिति रातोंरात बदल गई।
steady	एकसमान	एकसमान गति बनाए रखें।
steel	इस्पात	पुल इस्पात का बना है।
steep	खड़ी	पहाड़ी खड़ी है।
sticky	चिपचिपा	फर्श चिपचिपा लग रहा है।
stiff	अकड़ा हुआ	उसका कंधा अकड़ा हुआ लग रहा था।
stock	स्टॉक	दुकान में कोई स्टॉक नहीं बचा है।
stream	धारा	एक छोटी धारा खेत को पार करती है।
stretch	फैलाना	उड़ान के बाद अपने पैरों को फैलाएं।
strict	सख्त	स्कूल के नियम सख्त हैं।
strike	हड़ताल करना	कर्मचारी कल हड़ताल कर सकते हैं।
struggle	संघर्ष करना	कई परिवार किराए के लिए संघर्ष करते हैं।
submit	जमा करना	शुक्रवार तक फॉर्म जमा करें।
sum	राशि	राशि उम्मीद से अधिक थी।
surgery	सर्जरी	सर्जरी दो घंटे तक चली।
surround	घेरना	ऊंचे पेड़ घर को घेरते हैं।
surrounding	आसपास	आसपास का क्षेत्र शांत है।
suspect	संदेह करना	पुलिस को एक स्थानीय व्यक्ति पर संदेह है।
swear	गाली देना	कक्षा में गाली मत दो।
sweep	झाड़ू लगाना	मेहमानों के आने से पहले फर्श पर झाड़ू लगा लें।
sympathy	सहानुभूति	उसने पीड़ितों के प्रति सहानुभूति व्यक्त की।
tale	कहानी	दादी ने एक अजीब कहानी सुनाई।
tank	टैंक	टैंक में साफ पानी है।
tear1	फाड़ना	दस्तावेज़ को मत फाड़ो।
tear2	आंसू	उसकी गाल पर एक आंसू छलक आया।
temporary	अस्थाई	कार्यालय एक अस्थाई आश्रय है।
therapy	थेरेपी	फिजिकल थेरेपी ने उसे ठीक होने में मदद की।
threat	धमकी	संदेश में एक धमकी थी।
threaten	खतरा पैदा करना	तूफान से फसलों को खतरा हो सकता है।
thus	इसलिए	सड़क बंद थी; इसलिए, हमने इंतजार किया।
tone	स्वर	उसका स्वर शांत लग रहा था।
tough	कठिन	इंटरव्यू कठिन था।
transfer	स्थानांतरित करना	वे हर रात डेटा स्थानांतरित करते हैं।
transform	बदलना	नई नीति सेवाओं को बदल देगी।
transition	परिवर्तन	परिवर्तन में कई महीने लग गए।
trial	मुकदमा	मुकदमा अगले हफ्ते शुरू होगा।
tropical	उष्णकटिबंधीय	उष्णकटिबंधीय तूफान यहाँ आम हैं।
truly	सचमुच	मैं सचमुच आपकी मदद की सराहना करता हूँ।
trust	विश्वास	विश्वास बनाने में समय लगता है।
tune	धुन	बैंड ने एक प्रफुल्लित धुन बजाई।
tunnel	सुरंग	सुरंग नदी के नीचे से गुजरती है।
ultimately	अंततः	अंततः, योजना सफल रही।
unconscious	बेहोश	मरीज बेहोश रहा।
unexpected	अप्रत्याशित	देरी अप्रत्याशित थी।
unique	अद्वितीय	प्रत्येक डिज़ाइन अद्वितीय है।
universe	ब्रह्मांड	ब्रह्मांड का विस्तार हो रहा है।
unknown	अज्ञात	नाम अज्ञात है।
upper	ऊपरी	ऊपरी शेल्फ खाली है।
upwards	ऊपर की ओर	धुआं ऊपर की ओर उठा।
urban	शहरी	शहरी क्षेत्रों को बेहतर परिवहन की आवश्यकता है।
urge	आग्रह करना	डॉक्टर लोगों से व्यायाम करने का आग्रह करते हैं।
vary	भिन्न होना	कीमतें क्षेत्र के अनुसार भिन्न होती हैं।
vast	विशाल	रेगिस्तान एक विशाल क्षेत्र को कवर करता है।
venue	स्थान	इस स्थान में पांच सौ लोग आ सकते हैं।
via	के माध्यम से	दस्तावेज़ को ईमेल के माध्यम से भेजें।
victory	जीत	टीम ने अपनी जीत का जश्न मनाया।
violence	हिंसा	शहर को राजनीतिक हिंसा का सामना करना पड़ा।
virtual	आभासी	बैठक आभासी है।
vision	दृष्टिकोण	उसके दृष्टिकोण ने कंपनी को आकार दिया।
visual	दृश्य	रिपोर्ट में दृश्य उदाहरण शामिल हैं।
vital	महत्वपूर्ण	पानी जीवन के लिए महत्वपूर्ण है।
vitamin	विटामिन	संतरे में विटामिन सी होता है।
volume	आवाज़	आवाज़ कम करें।
wage	वेतन	मजदूरों ने उच्च वेतन की मांग की।
weakness	कमजोरी	योजना में एक कमजोरी है।
wealth	धन	उनका धन व्यापार से आया था।
wealthy	धनी	धनी परिवार ने संग्रहालय को वित्त पोषित किया।
whereas	जबकि	उसे चाय पसंद है, जबकि मुझे कॉफी पसंद है।
wherever	जहाँ भी	जहाँ भी आपको आरामदायक लगे, बैठ जाएँ।
whisper	फुसफुसाना	कृपया समारोह के दौरान फुसफुसाएं।
whom	किसको	आपने किसको आमंत्रित किया?
widely	व्यापक रूप से	पुस्तक व्यापक रूप से पढ़ी जाती है।
wildlife	वन्यजीव	पार्क स्थानीय वन्यजीवों की रक्षा करता है।
willing	तैयार	वह मदद करने के लिए तैयार है।
wind2	लपेटना	केबल को रील के चारों ओर लपेटें।
wire	तार	तार दोनों उपकरणों को जोड़ता है।
wise	समझदार	यह एक समझदारी भरा विकल्प था।
witness	गवाह	एक गवाह ने दुर्घटना का वर्णन किया।
wound	घाव	घाव को सावधानी से साफ करें।
wrap	लपेटना	उपहार को कागज में लपेटें।
zone	क्षेत्र	यह क्षेत्र यातायात के लिए बंद है।
