simplified	KN	example_KN
电脑	ಕಂಪ್ಯೂಟರ್	ನನ್ನ ಕಂಪ್ಯೂಟರ್ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.
电视	ದೂರದರ್ಶನ; ಟಿವಿ	ನಾನು ಟಿವಿ ನೋಡುತ್ತೇನೆ.
电影	ಚಲನಚಿತ್ರ; ಸಿನಿಮಾ	ನನಗೆ ಸಿನಿಮಾಗಳು ಇಷ್ಟ.
东西	ವಸ್ತು; ಸಾಮಾನು	ಇದು ಯಾವ ವಸ್ತು?
都	ಎಲ್ಲರೂ; ಎಲ್ಲವೂ; ಎರಡೂ	ನಾವು ಎಲ್ಲರೂ ವಿದ್ಯಾರ್ಥಿಗಳು.
读	ಓದುವುದು; ಅಧ್ಯಯನ ಮಾಡುವುದು	ನಾನು ಪುಸ್ತಕ ಓದುತ್ತಿದ್ದೇನೆ.
对不起	ಕ್ಷಮಿಸಿ; ಕ್ಷಮೆ	ಕ್ಷಮಿಸಿ, ನನಗೆ ನೀವು ಗೊತ್ತಿಲ್ಲ.
多	ತುಂಬಾ; ಹೆಚ್ಚು	ನನಗೆ ತುಂಬಾ ಸ್ನೇಹಿತರಿದ್ದಾರೆ.
多少	ಎಷ್ಟು	ಈ ಕಪ್ ಬೆಲೆ ಎಷ್ಟು?
儿子	ಮಗ	ನನ್ನ ಮಗ ವಿದ್ಯಾರ್ಥಿ.
二	ಎರಡು	ಫೆಬ್ರವರಿಯಲ್ಲಿ ಚಳಿ ಇರುತ್ತದೆ.
饭馆	ರೆಸ್ಟೋರೆಂಟ್	ರೆಸ್ಟೋರೆಂಟ್ ಶಾಲೆಯ ಮುಂದೆ ಇದೆ.
飞机	ವಿಮಾನ	ನಾನು ವಿಮಾನದಲ್ಲಿ ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.
分钟	ನಿಮಿಷ	ನಾನು ಐದು ನಿಮಿಷ ಓದುತ್ತೇನೆ.
高兴	ಸಂತೋಷ; ಖುಷಿ	ಇಂದು ನಾನು ತುಂಬಾ ಸಂತೋಷವಾಗಿದ್ದೇನೆ.
个	ಸಾಮಾನ್ಯ ಎಣಿಕೆ ಪದ	ನನಗೆ ಒಬ್ಬ ಸ್ನೇಹಿತನಿದ್ದಾನೆ.
工作	ಕೆಲಸ ಮಾಡುವುದು; ಕೆಲಸ	ನಾನು ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತೇನೆ.
狗	ನಾಯಿ	ನನಗೆ ನಾಯಿಗಳು ಇಷ್ಟ.
汉语	ಚೀನೀ ಭಾಷೆ	ನಾನು ಚೀನೀ ಭಾಷೆ ಕಲಿಯುತ್ತೇನೆ.
好	ಒಳ್ಳೆಯ; ಚೆನ್ನಾಗಿ	ಇಂದು ಹವಾಮಾನ ಚೆನ್ನಾಗಿದೆ.
喝	ಕುಡಿಯುವುದು	ನಾನು ನೀರು ಕುಡಿಯುತ್ತೇನೆ.
和	ಮತ್ತು; ಜೊತೆ	ನಾನು ಸ್ನೇಹಿತನ ಜೊತೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ.
很	ತುಂಬಾ	ಅವಳು ತುಂಬಾ ಸುಂದರಳಾಗಿದ್ದಾಳೆ.
后面	ಹಿಂದೆ	ಶಾಲೆ ರೆಸ್ಟೋರೆಂಟ್ ಹಿಂದೆ ಇದೆ.
回	ಹಿಂತಿರುಗುವುದು; ಹಿಂದಿರುಗಿ ಹೋಗುವುದು	ನಾನು ಮನೆಗೆ ಹಿಂತಿರುಗುತ್ತೇನೆ.
会	ಮಾಡಲು ಬರುವುದು; ತಿಳಿದಿರುವುದು	ನನಗೆ ಚೀನೀ ಭಾಷೆ ಮಾತನಾಡಲು ಬರುತ್ತದೆ.
火车站	ರೈಲು ನಿಲ್ದಾಣ	ರೈಲು ನಿಲ್ದಾಣ ದೊಡ್ಡದು.
几	ಎಷ್ಟು; ಕೆಲವು	ನಿನಗೆ ಎಷ್ಟು ಸ್ನೇಹಿತರಿದ್ದಾರೆ?
家	ಮನೆ; ಕುಟುಂಬ	ನನ್ನ ಮನೆ ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಇದೆ.
叫	ಎಂದು ಕರೆಯುವುದು; ಹೆಸರು ಇರುವುದು	ನಿನ್ನ ಹೆಸರು ಏನು?
今天	ಇಂದು	ಇಂದು ಬಿಸಿಯಾಗಿದೆ.
九	ಒಂಬತ್ತು	ಈಗ ಒಂಬತ್ತು ಗಂಟೆ.
开	ತೆರೆಯುವುದು; ಆನ್ ಮಾಡುವುದು	ನಾನು ಕಂಪ್ಯೂಟರ್ ಆನ್ ಮಾಡುತ್ತಿದ್ದೇನೆ.
看	ನೋಡುವುದು; ಓದುವುದು	ನಾನು ಪುಸ್ತಕ ಓದುತ್ತಿದ್ದೇನೆ.
看见	ನೋಡುವುದು; ಕಾಣುವುದು	ನನಗೆ ಶಿಕ್ಷಕರು ಕಾಣಿಸುತ್ತಿದ್ದಾರೆ.
块	ತುಂಡು; ಯುವಾನ್	ಈ ಪುಸ್ತಕದ ಬೆಲೆ ಹತ್ತು ಯುವಾನ್.
来	ಬರುವುದು	ಅವನು ಶಾಲೆಗೆ ಬರುತ್ತಾನೆ.
老师	ಶಿಕ್ಷಕ; ಶಿಕ್ಷಕಿ; ಗುರು	ಶಿಕ್ಷಕರು ಶಾಲೆಯಲ್ಲಿ ಇದ್ದಾರೆ.
了	ಪೂರ್ಣತೆಯನ್ನು ಸೂಚಿಸುವ ಕಣ	ನಾನು ಅನ್ನ ತಿಂದೆ.
冷	ಚಳಿ; ಚಳಿಯಾದ	ಇಂದು ಚಳಿಯಾಗಿದೆ.
里	ಒಳಗೆ; ನಲ್ಲಿ	ಕಪ್‌ನಲ್ಲಿ ನೀರು ಇದೆ.
零	ಸೊನ್ನೆ	ಸೊನ್ನೆ ಒಂದು ಅಲ್ಲ.
六	ಆರು	ಈಗ ಆರು ಗಂಟೆ.
妈妈	ಅಮ್ಮ; ತಾಯಿ	ಅಮ್ಮ ಚಹಾ ಕುಡಿಯುತ್ತಾರೆ.
吗	ಹೌದಾ-ಇಲ್ಲವಾ ಪ್ರಶ್ನಾರ್ಥಕ ಕಣ	ನೀನು ವಿದ್ಯಾರ್ಥಿಯೇ?
买	ಕೊಳ್ಳುವುದು	ನಾನು ಸೇಬುಗಳನ್ನು ಕೊಳ್ಳುತ್ತೇನೆ.
猫	ಬೆಕ್ಕು	ಬೆಕ್ಕು ಕುರ್ಚಿಯ ಮೇಲೆ ಇದೆ.
没	ಇಲ್ಲ; ಮಾಡಿಲ್ಲ	ನನ್ನ ಬಳಿ ಹಣ ಇಲ್ಲ.
没关系	ಪರವಾಗಿಲ್ಲ; ಸಮಸ್ಯೆ ಇಲ್ಲ	ಪರವಾಗಿಲ್ಲ.
米饭	ಅನ್ನ; ಬೇಯಿಸಿದ ಅಕ್ಕಿ	ನಾನು ಅನ್ನ ತಿನ್ನುತ್ತೇನೆ.
名字	ಹೆಸರು	ನಿನ್ನ ಹೆಸರು ಏನು?
明天	ನಾಳೆ	ನಾಳೆ ನಾನು ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.
哪	ಯಾವುದು; ಎಲ್ಲಿ; ಎಲ್ಲಿಗೆ	ನೀನು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತಿದ್ದೀಯ?
那	ಅದು; ಅವು; ಆ	ಅವರೇ ನನ್ನ ಶಿಕ್ಷಕರು.
呢	ಪ್ರಶ್ನಾರ್ಥಕ ಕಣ; ಹಾಗಾದರೆ	ನೀನು?
能	ಸಾಧ್ಯವಾಗುವುದು; ಮಾಡಲು ಆಗುವುದು	ನಾನು ಹೋಗಬಹುದೇ?
你	ನೀನು; ನೀವು	ನೀನು ಚೆನ್ನಾಗಿದ್ದೀಯಾ?
年	ವರ್ಷ	ಒಂದು ವರ್ಷದಲ್ಲಿ ಹನ್ನೆರಡು ತಿಂಗಳುಗಳಿವೆ.
女儿	ಮಗಳು	ಅವಳ ಮಗಳು ತುಂಬಾ ಸುಂದರಳಾಗಿದ್ದಾಳೆ.
朋友	ಸ್ನೇಹಿತ; ಸ್ನೇಹಿತೆ	ಅವನು ನನ್ನ ಸ್ನೇಹಿತ.
漂亮	ಸುಂದರ	ಅವಳು ತುಂಬಾ ಸುಂದರಳಾಗಿದ್ದಾಳೆ.
苹果	ಸೇಬು	ನನಗೆ ಸೇಬುಗಳು ಇಷ್ಟ.
七	ಏಳು	ಈಗ ಏಳು ಗಂಟೆ.
前面	ಮುಂದೆ	ರೆಸ್ಟೋರೆಂಟ್ ಅಂಗಡಿಯ ಮುಂದೆ ಇದೆ.
钱	ಹಣ	ನನ್ನ ಬಳಿ ಹಣ ಇಲ್ಲ.
请	ದಯವಿಟ್ಟು; ಆಹ್ವಾನಿಸುವುದು; ಕೇಳುವುದು	ದಯವಿಟ್ಟು ಚಹಾ ಕುಡಿಯಿರಿ.
去	ಹೋಗುವುದು	ನಾನು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ.
热	ಬಿಸಿ; ಬಿಸಿಯಾದ	ಇಂದು ಬಿಸಿಯಾಗಿದೆ.
人	ವ್ಯಕ್ತಿ; ಜನರು	ಶಾಲೆಯಲ್ಲಿ ತುಂಬಾ ಜನರಿದ್ದಾರೆ.
认识	ಗೊತ್ತಿರುವುದು; ಪರಿಚಯ ಇರುವುದು	ನನಗೆ ಅವನು ಗೊತ್ತು.
日	ದಿನ; ದಿನಾಂಕ	ಇಂದು ಮಾರ್ಚ್ ಒಂದನೇ ತಾರೀಖು.
三	ಮೂರು	ನನ್ನ ಬಳಿ ಮೂರು ಕಪ್‌ಗಳಿವೆ.
商店	ಅಂಗಡಿ	ಅಂಗಡಿ ಶಾಲೆಯ ಮುಂದೆ ಇದೆ.
上	ಮೇಲೆ	ಪುಸ್ತಕ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.
上午	ಬೆಳಗ್ಗೆ; ಮಧ್ಯಾಹ್ನಕ್ಕಿಂತ ಮೊದಲು	ಬೆಳಗ್ಗೆ ನಾನು ಚೀನೀ ಭಾಷೆ ಕಲಿಯುತ್ತೇನೆ.
少	ಕಡಿಮೆ; ಸ್ವಲ್ಪ	ವಿದ್ಯಾರ್ಥಿಗಳು ಕಡಿಮೆ ಇದ್ದಾರೆ.
什么	ಏನು; ಏನದು	ಇದು ಏನು?
十	ಹತ್ತು	ನನ್ನ ಬಳಿ ಹತ್ತು ಪುಸ್ತಕಗಳಿವೆ.
时候	ಸಮಯ; ವೇಳೆ	ನೀನು ಯಾವಾಗ ಬರುತ್ತೀಯ?
是	ಆಗುವುದು; ಆಗಿದೆ	ನಾನು ವಿದ್ಯಾರ್ಥಿ.
书	ಪುಸ್ತಕ	ನಾನು ಪುಸ್ತಕ ಓದುತ್ತಿದ್ದೇನೆ.
谁	ಯಾರು	ಅವನು ಯಾರು?
水	ನೀರು	ನಾನು ನೀರು ಕುಡಿಯುತ್ತೇನೆ.
水果	ಹಣ್ಣು; ಹಣ್ಣುಗಳು	ನಾನು ಹಣ್ಣುಗಳನ್ನು ಕೊಳ್ಳುತ್ತೇನೆ.
睡觉	ನಿದ್ರೆ ಮಾಡುವುದು; ಮಲಗುವುದು	ನಾನು ಮಲಗಲು ಹೋಗುತ್ತೇನೆ.
说话	ಮಾತನಾಡುವುದು	ಶಿಕ್ಷಕರು ಮಾತನಾಡುತ್ತಿದ್ದಾರೆ.
四	ನಾಲ್ಕು	ನನಗೆ ನಾಲ್ವರು ಸ್ನೇಹಿತರಿದ್ದಾರೆ.
岁	ವಯಸ್ಸು; ವರ್ಷ	ನನಗೆ ಹತ್ತು ವರ್ಷ ವಯಸ್ಸು.
他	ಅವನು; ಅವರು	ಅವರು ಶಿಕ್ಷಕರು.
她	ಅವಳು	ಅವಳು ವಿದ್ಯಾರ್ಥಿನಿ.
太	ತುಂಬಾ; ಮಿತಿಮೀರಿ	ಈ ಕಪ್ ಅತಿಯಾಗಿ ದೊಡ್ಡದಾಗಿದೆ.
天气	ಹವಾಮಾನ	ಇಂದು ಹವಾಮಾನ ಚೆನ್ನಾಗಿದೆ.
听	ಕೇಳುವುದು; ಆಲಿಸುವುದು	ಶಿಕ್ಷಕರು ಮಾತನಾಡುತ್ತಿರುವುದನ್ನು ನಾನು ಕೇಳುತ್ತೇನೆ.
同学	ಸಹಪಾಠಿ	ಅವನು ನನ್ನ ಸಹಪಾಠಿ.
喂	ಹಲೋ	ಹಲೋ?
我	ನಾನು; ನನ್ನನ್ನು; ನನ್ನ	ನಾನು ಡಾಕ್ಟರ್.
我们	ನಾವು	ನಾವು ಶಾಲೆಗೆ ಹೋಗುತ್ತೇವೆ.
五	ಐದು	ನನ್ನ ಬಳಿ ಐದು ಸೇಬುಗಳಿವೆ.
喜欢	ಇಷ್ಟಪಡುವುದು	ನನಗೆ ಚಹಾ ಕುಡಿಯುವುದು ಇಷ್ಟ.
下	ಕೆಳಗೆ; ಮುಂದಿನ	ಪುಸ್ತಕ ಮೇಜಿನ ಕೆಳಗೆ ಇದೆ.
下午	ಮಧ್ಯಾಹ್ನ; ಅಪರಾಹ್ನ	ಮಧ್ಯಾಹ್ನ ನಾನು ಅಂಗಡಿಗೆ ಹೋಗುತ್ತೇನೆ.
下雨	ಮಳೆ ಬೀಳುವುದು	ಇಂದು ಮಳೆ ಬೀಳುತ್ತಿದೆ.
先生	ಸರ್; ಶ್ರೀ; ಪತಿ	ನಮಸ್ಕಾರ, ಸರ್.
现在	ಈಗ	ಈಗ ನಾನು ಶಾಲೆಯಲ್ಲಿ ಇದ್ದೇನೆ.
想	ಬಯಸುವುದು; ಯೋಚಿಸುವುದು	ನನಗೆ ನೀರು ಕುಡಿಯಬೇಕು.
小	ಚಿಕ್ಕ	ಈ ಕಪ್ ಚಿಕ್ಕದು.
小姐	ಮಿಸ್; ಯುವತಿ	ನಮಸ್ಕಾರ, ಮಿಸ್.
些	ಕೆಲವು; ಸ್ವಲ್ಪ	ನನ್ನ ಬಳಿ ಕೆಲವು ಪುಸ್ತಕಗಳಿವೆ.
写	ಬರೆಯುವುದು	ನಾನು ಅಕ್ಷರಗಳನ್ನು ಬರೆಯುತ್ತೇನೆ.
谢谢	ಧನ್ಯವಾದಗಳು	ಧನ್ಯವಾದಗಳು.
星期	ವಾರ; ವಾರದ ದಿನ	ಇಂದು ಸೋಮವಾರ.
学生	ವಿದ್ಯಾರ್ಥಿ; ವಿದ್ಯಾರ್ಥಿನಿ	ನಾನು ವಿದ್ಯಾರ್ಥಿ.
学习	ಕಲಿಯುವುದು; ಅಧ್ಯಯನ ಮಾಡುವುದು	ನಾನು ಚೀನೀ ಭಾಷೆ ಕಲಿಯುತ್ತೇನೆ.
学校	ಶಾಲೆ	ಶಾಲೆ ದೊಡ್ಡದು.
一	ಒಂದು; ಒಬ್ಬ; ಒಬ್ಬಳು	ನನ್ನ ಬಳಿ ಒಂದು ಕಪ್ ಇದೆ.
衣服	ಬಟ್ಟೆಗಳು	ನಾನು ಬಟ್ಟೆಗಳನ್ನು ಕೊಳ್ಳುತ್ತೇನೆ.
医生	ವೈದ್ಯ; ವೈದ್ಯೆ; ಡಾಕ್ಟರ್	ಅವಳು ಡಾಕ್ಟರ್.
医院	ಆಸ್ಪತ್ರೆ	ಆಸ್ಪತ್ರೆ ಶಾಲೆಯ ಮುಂದೆ ಇದೆ.
椅子	ಕುರ್ಚಿ	ಕುರ್ಚಿ ಮೇಜಿನ ಹಿಂದೆ ಇದೆ.
有	ಇರುವುದು; ಹೊಂದಿರುವುದು	ನನಗೆ ಸ್ನೇಹಿತರಿದ್ದಾರೆ.
月	ತಿಂಗಳು; ಚಂದ್ರ	ಇಂದು ಮೇ ನಾಲ್ಕನೇ ತಾರೀಖು.
再见	ವಿದಾಯ; ಮತ್ತೆ ಭೇಟಿಯಾಗೋಣ	ಗುರುಗಳೇ, ಮತ್ತೆ ಭೇಟಿಯಾಗೋಣ.
在	ನಲ್ಲಿ; ಇರುವುದು	ನಾನು ಮನೆಯಲ್ಲಿ ಇದ್ದೇನೆ.
怎么	ಹೇಗೆ	ಈ ಅಕ್ಷರವನ್ನು ಹೇಗೆ ಓದಬೇಕು?
怎么样	ಹೇಗೆ; ಹೇಗಿದೆ	ಇಂದು ನೀನು ಹೇಗಿದ್ದೀಯ?
这	ಇದು; ಇವು; ಈ	ಇದು ನನ್ನ ಪುಸ್ತಕ.
中国	ಚೀನಾ	ನಾನು ಚೀನಾಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.
中午	ಮಧ್ಯಾಹ್ನ	ಮಧ್ಯಾಹ್ನ ನಾನು ಅನ್ನ ತಿನ್ನುತ್ತೇನೆ.
住	ವಾಸಿಸುವುದು; ತಂಗುವುದು	ನಾನು ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ವಾಸಿಸುತ್ತೇನೆ.
桌子	ಮೇಜು; ಟೇಬಲ್	ಪುಸ್ತಕ ಮೇಜಿನ ಮೇಲೆ ಇದೆ.
字	ಅಕ್ಷರ; ಪದ	ಈ ಅಕ್ಷರ ಚಿಕ್ಕದು.
昨天	ನಿನ್ನೆ	ನಿನ್ನೆ ನಾನು ಸಿನಿಮಾ ನೋಡಿದೆ.
坐	ಕುಳಿತುಕೊಳ್ಳುವುದು; ವಾಹನದಲ್ಲಿ ಹೋಗುವುದು	ನಾನು ವಿಮಾನದಲ್ಲಿ ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.
做	ಮಾಡುವುದು; ತಯಾರಿಸುವುದು	ನಾನು ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದೇನೆ.
