simplified	HY	example_HY
猫	կատու	Կատուն աթոռի վրա է։
没	չկա; չի արել	Ես փող չունեմ։
没关系	ոչինչ; խնդիր չկա	Ոչինչ։
米饭	եփած բրինձ; բրինձ	Ես բրինձ եմ ուտում։
名字	անուն	Քո անունն ի՞նչ է։
明天	վաղը	Վաղը ես Պեկին եմ գնում։
哪	որը; որտեղ; ուր	Ո՞ւր ես գնում։
那	այն; դա; դրանք	Դա իմ ուսուցիչն է։
呢	հարցական մասնիկ; իսկ	Իսկ դո՞ւ։
能	կարողանալ; հնարավոր լինել	Կարո՞ղ եմ գնալ։
你	դու; Դուք	Ինչպե՞ս ես։
年	տարի	Մեկ տարում տասներկու ամիս կա։
女儿	դուստր; աղջիկ զավակ	Նրա դուստրը շատ գեղեցիկ է։
朋友	ընկեր	Նա իմ ընկերն է։
漂亮	գեղեցիկ	Նա շատ գեղեցիկ է։
苹果	խնձոր	Ես խնձոր եմ սիրում։
七	յոթ	Հիմա ժամը յոթն է։
前面	առջևում; առջևի կողմ	Ռեստորանը խանութի դիմաց է։
钱	փող; գումար	Ես փող չունեմ։
请	խնդրում եմ; հրավիրել	Խնդրում եմ, թեյ խմեք։
去	գնալ	Ես դպրոց եմ գնում։
热	տաք; շոգ	Այսօր շոգ է։
人	մարդ; մարդիկ	Դպրոցում շատ մարդ կա։
认识	ճանաչել; ծանոթանալ	Ես նրան ճանաչում եմ։
日	օր; ամսաթիվ	Այսօր մարտի մեկն է։
三	երեք	Ես երեք բաժակ ունեմ։
商店	խանութ	Խանութը դպրոցի դիմաց է։
上	վրա; վերև	Գիրքը սեղանի վրա է։
上午	առավոտ; կեսօրից առաջ	Առավոտյան ես չինարեն եմ սովորում։
少	քիչ; պակաս	Աշակերտները քիչ են։
什么	ինչ	Սա ի՞նչ է։
十	տասը	Ես տասը գիրք ունեմ։
时候	ժամանակ; պահ	Ե՞րբ ես գալու։
是	լինել; է	Ես աշակերտ եմ։
书	գիրք	Ես գիրք եմ կարդում։
谁	ով	Նա ո՞վ է։
水	ջուր	Ես ջուր եմ խմում։
水果	միրգ	Ես միրգ եմ գնում։
睡觉	քնել	Ես գնում եմ քնելու։
说话	խոսել	Ուսուցիչը խոսում է։
四	չորս	Ես չորս ընկեր ունեմ։
岁	տարեկան; տարիք	Ես տասը տարեկան եմ։
他	նա; նա տղամարդ	Նա ուսուցիչ է։
她	նա; նա կին	Նա աշակերտուհի է։
太	չափազանց; շատ	Այս բաժակը չափազանց մեծ է։
天气	եղանակ	Այսօր լավ եղանակ է։
听	լսել	Ես լսում եմ, թե ինչպես է ուսուցիչը խոսում։
同学	դասընկեր; համակուրսեցի	Նա իմ դասընկերն է։
喂	ալո	Ալո՞։
我	ես; իմ	Ես բժիշկ եմ։
我们	մենք	Մենք դպրոց ենք գնում։
五	հինգ	Ես հինգ խնձոր ունեմ։
喜欢	հավանել; սիրել	Ես սիրում եմ թեյ խմել։
下	տակ; ներքև; հաջորդ	Գիրքը սեղանի տակ է։
下午	կեսօրից հետո; հետկեսօր	Կեսօրից հետո ես խանութ եմ գնում։
下雨	անձրև գալ; անձրևում է	Այսօր անձրև է գալիս։
先生	պարոն; ամուսին	Բարև ձեզ, պարոն։
现在	հիմա; այժմ	Հիմա ես դպրոցում եմ։
想	ցանկանալ; մտածել	Ես ուզում եմ ջուր խմել։
小	փոքր	Այս բաժակը փոքր է։
小姐	օրիորդ; երիտասարդ կին	Բարև ձեզ, օրիորդ։
些	մի քանի; մի քիչ	Ես մի քանի գիրք ունեմ։
写	գրել	Ես հիերոգլիֆներ եմ գրում։
谢谢	շնորհակալություն	Շնորհակալություն։
星期	շաբաթ; շաբաթվա օր	Այսօր երկուշաբթի է։
学生	աշակերտ; ուսանող	Ես աշակերտ եմ։
学习	սովորել	Ես չինարեն եմ սովորում։
学校	դպրոց	Դպրոցը մեծ է։
一	մեկ	Ես մեկ բաժակ ունեմ։
衣服	հագուստ	Ես հագուստ եմ գնում։
医生	բժիշկ	Նա բժիշկ է։
医院	հիվանդանոց	Հիվանդանոցը դպրոցի դիմաց է։
椅子	աթոռ	Աթոռը սեղանի հետևում է։
有	ունենալ; կա	Ես ընկերներ ունեմ։
月	ամիս; լուսին	Այսօր մայիսի չորսն է։
再见	ցտեսություն; մինչև հանդիպում	Ցտեսություն, ուսուցիչ։
在	-ում; լինել	Ես տանն եմ։
怎么	ինչպես	Այս հիերոգլիֆը ինչպե՞ս է կարդացվում։
怎么样	ինչպես; ինչպես ես	Այսօր ինչպե՞ս ես։
这	այս; սրանք	Սա իմ գիրքն է։
中国	Չինաստան	Ես Չինաստան եմ գնում։
中午	կեսօր	Կեսօրին ես բրինձ եմ ուտում։
住	ապրել; մնալ	Ես ապրում եմ Պեկինում։
桌子	սեղան	Գիրքը սեղանի վրա է։
字	հիերոգլիֆ; տառ; նշան	Այս հիերոգլիֆը փոքր է։
昨天	երեկ	Երեկ ես կինո դիտեցի։
坐	նստել; տրանսպորտով գնալ	Ես Պեկին եմ գնում ինքնաթիռով։
做	անել; պատրաստել	Ես ուտելիք եմ պատրաստում։
