simplified	KK	example_KK
段	абзац; бөлім	Осы абзацты оқыңызшы.
锻炼	жаттығу жасау; шынығу	Мен күн сайын таңертең жаттығу жасаймын.
多么	қандай; қаншалықты	Мұндағы орта қандай жақсы!
饿	қарны ашу; аш	Қарным ашты, нан жегім келеді.
耳朵	құлақ	Құлағым сәл ауырып тұр.
发	жіберу; шығару	Мен кешке электрондық пошта жіберемін.
发烧	қызуы көтерілу	Оның қызуы көтерілді, мектепке бара алмайды.
发现	табу; байқау	Мен бұл әдістің жақсы екенін байқадым.
方便	ыңғайлы	Метромен жүру өте ыңғайлы.
放	қою; босату	Кітапты үстелдің үстіне қойыңызшы.
放心	көңілі тыныш болу; уайымдамау	Көңіліңіз тыныш болсын, мен уақытында жетемін.
分	бөлу; тарату	Тортты бәріне бөліп беріңізші.
复习	қайталау	Емтихан алдында сабақтарды қайталауым керек.
附近	жақын; маңайда	Маңайда бір мейрамхана бар.
干净	таза	Бұл бөлме өте таза.
感冒	суық тию	Маған суық тиді, демалғым келеді.
感兴趣	қызығу	Мен қытай тіліне қатты қызығамын.
刚才	жаңа ғана	Жаңа ғана саған кім қоңырау шалды?
个子	бой; дене бітімі	Оның бойы ұзын.
根据	бойынша; негізінде	Карта бойынша, мектеп шығыста.
跟	бірге; еру	Мен досыммен саябаққа барамын.
更	одан да; көбірек	Бүгін кешегіден де суық.
公斤	килограмм	Бұл алмалар бір килограмм тартады.
公园	саябақ	Балалар саябақта ойын ойнап жүр.
故事	әңгіме; хикая	Атам маған әңгіме айтып береді.
刮风	жел соғу	Бүгін жел соғып тұр, велосипед теппе.
关	жабу; өшіру	Есікті жабыңызшы.
关系	қарым-қатынас; байланыс	Менің әріптесіммен қарым-қатынасым жақсы.
关心	қамқор болу; көңіл бөлу	Анам денсаулығыма қатты көңіл бөледі.
关于	туралы; жөнінде	Бұл кітап Қытай мәдениеті туралы.
国家	ел; мемлекет	Қытай өте үлкен ел.
过	тәжірибе шылауы; бұрын істеу	Мен Бейжіңде болғанмын.
过去	өткен шақ; бұрын	Бұрын мұнда метро жоқ еді.
还是	немесе; әлде	Шай ішесің бе, әлде кофе ме?
害怕	қорқу	Мен емтиханнан қорықпаймын.
黑板	тақта	Мұғалім тақтаға иероглиф жазады.
后来	кейін; кейінірек	Кейін біз саябаққа бардық.
护照	төлқұжат	Төлқұжатыңызды алып келіңізші.
96:花	жұмсау; құны болу	Телефон сатып алу екі мың юань тұрды.
97:花	гүл	Үстелдің үстінде бір гүл бар.
画	сурет салу; сурет	Қарындасым панда салғанды ұнатады.
坏	жаман; бұзылған	Менің компьютерім бұзылды.
欢迎	қош келдіңіз; қарсы алу	Үйіме қош келдіңіз.
环境	орта; қоршаған орта	Бұл мектептің ортасы өте жақсы.
还	қайтару; кері беру	Кітабымды ертең қайтарыңызшы.
换	ауыстыру; алмастыру	Мен көйлекті ауыстырғым келеді.
黄河	Хуанхэ өзені	Хуанхэ өзені өте ұзын.
回答	жауап беру; жауап	Сұрағыма жауап беріңізші.
会议	жиналыс; конференция	Жиналыс сағат тоғызда басталады.
或者	немесе; яки	Сен метроға немесе автобусқа отыра аласың.
几乎	дерлік	Ол дерлік күн сайын жаттығу жасайды.
机会	мүмкіндік	Бұл жақсы мүмкіндік.
极	өте; аса	Ол өте бақытты.
季节	маусым; мезгіл	Күз - менің ең жақсы көретін мезгілім.
记得	есте сақтау	Кредит картасын алып келуді есіңде сақтадың ба?
检查	тексеру; қарау	Дәрігер мені қарап жатыр.
简单	қарапайым; оңай	Бұл сөйлем өте қарапайым.
健康	денсаулық; сау	Жаттығу денсаулыққа пайдалы.
见面	кездесу	Біз ертең мектепте кездесеміз.
讲	айту; түсіндіру	Мұғалім өте анық түсіндіреді.
教	үйрету	Ол маған қытай иероглифтерін жазуды үйретеді.
脚	аяқ	Аяғым сәл ауырып тұр.
角	бұрыш	Дүкен көше бұрышында.
接	қарсы алу; алу	Мен досымды қарсы алу үшін әуежайға барамын.
街道	көше	Бұл көше өте таза.
结婚	үйлену; тұрмысқа шығу	Олар келесі жылы үйленеді.
结束	аяқталу; біту	Жарыс әлдеқашан аяқталды.
节目	бағдарлама; көрсетілім	Бұл телебағдарлама өте жақсы.
节日	мереке	Көктем мерекесі - Қытайдың маңызды мерекесі.
解决	шешу	Бұл мәселе әлдеқашан шешілді.
借	қарызға алу; қарызға беру	Мен сенің сөздігіңді қарызға алғым келеді.
经常	жиі	Мен кітапханаға жиі барамын.
经过	жанынан өту; өту	Мен күн сайын осы саябақтың жанынан өтемін.
经理	менеджер; меңгеруші	Менеджер жиналыста отыр.
久	ұзақ уақыт	Мен мұнда ұзақ уақыттан бері тұрамын.
旧	ескі; қолданылған	Бұл киім өте ескі.
句子	сөйлем	Бір сөйлем жазыңызшы.
决定	шешім қабылдау; шешім	Мен қытай тілін үйренуге шешім қабылдадым.
可爱	сүйкімді	Бұл мысық өте сүйкімді.
渴	шөлдеу; шөлдеген	Шөлдедім, су ішкім келеді.
刻	он бес минут; сәт	Сағат сегізден он бес минут кетті.
客人	қонақ; клиент	Бүгін үйімізге қонақ келді.
空调	кондиционер	Кондиционерді қосыңызшы.
口	ауыз; санау сөзі	Ол бір жұтым су ішті.
哭	жылау	Бала неге жылап жатыр?
裤子	шалбар	Бұл шалбар жаңа.
筷子	тамақ таяқшалары	Мен таяқшамен тамақ жей аламын.
蓝	көк	Аспан көк.
老	кәрі; жасы үлкен	Менің мұғалімім кәрі емес.
离开	кету; тастап кету	Ол ертең Бейжіңнен кетеді.
礼物	сыйлық	Бұл саған сыйлық.
历史	тарих	Маған Қытай тарихы ұнайды.
脸	бет	Оның беті қатты қызарып тұр.
练习	жаттығу; жаттығу жасау	Қытайша сөйлеуді көбірек жаттықтырыңызшы.
辆	көлікке арналған санау сөзі	Есіктің жанында бір такси бар.
聊天	әңгімелесу	Мен досыммен әңгімелесемін.
了解	түсіну; білу	Мен Қытай мәдениетін түсінгім келеді.
邻居	көрші	Менің көршім өте жылы жүзді.
留学	шетелде оқу	Ол Қытайда оқып жүр.
楼	ғимарат; қабат	Кеңсе үшінші қабатта.
绿	жасыл	Көктемде ағаштар жасыл түске енеді.
马	жылқы	Сол жылқы өте тез жүгіреді.
马上	дереу; қазір-ақ	Мен дереу қайтып келемін.
满意	риза; қанағаттанған	Мен бұл бөлмеге өте ризамын.
帽子	баскиім; қалпақ	Бұл баскиім өте әдемі.
米	метр; күріш	Бұл үстелдің ұзындығы екі метр.
面包	нан	Мен таңғы асқа нан жеймін.
明白	түсіну; анық	Мен сенің не айтқың келгенін түсіндім.
拿	алу; ұстау	Маған бір кітап алып беріңізші.
奶奶	әже	Әжем музыка тыңдағанды ұнатады.
南	оңтүстік	Мектеп қаланың оңтүстігінде.
难	қиын	Бұл сұрақ қиын емес.
难过	көңілсіз болу; мұңаю	Ол бүгін сәл көңілсіз.
年级	сынып; оқу жылы	Қарындасым үшінші сыныпта оқиды.
年轻	жас	Бұл менеджер өте жас.
鸟	құс	Ағашта бір құс бар.
努力	тырысу; күш салу	Ол өте тырысып оқиды.
爬山	тауға шығу; жорық	Біз осы демалыста тауға шығамыз.
盘子	тәрелке; табақ	Үстелдің үстінде үш тәрелке бар.
胖	семіз; толық	Бұл ит сәл семіз.
啤酒	сыра	Әкем сыра ішпейді.
皮鞋	былғары аяқкиім	Бұл былғары аяқкиім қымбат.
瓶子	бөтелке	Бөтелкеде су бар.
其实	шын мәнінде	Шын мәнінде, мен сыраны ұнатпаймын.
其他	басқа; өзгелер	Басқа сыныптастардың бәрі келді.
奇怪	қызық; оғаш	Бұл дыбыс өте оғаш.
骑	міну	Ол күн сайын жұмысқа велосипедпен барады.
起飞	ұшу; көтерілу	Ұшақ жақында ұшады.
起来	тұру; жоғары қозғалу	Тұрыңызшы.
清楚	анық	Сен өте анық сөйледің.
请假	рұқсат сұрау	Оған суық тиді, демалыс сұрауы керек.
秋	күз	Күзде ауа райы жайлы болады.
裙子	белдемше	Бұл белдемше өте әдемі.
然后	содан кейін	Мен алдымен тамақ жеймін, содан кейін үй тапсырмасын орындаймын.
热情	ақкөңіл; жылы шырайлы	Қытайлық достар өте ақкөңіл.
认为	ойлау; деп санау	Меніңше, бұл әдіс жақсы.
认真	байыпты; мұқият	Мұғалімді мұқият тыңдаңызшы.
容易	оңай	Бұл қытай иероглифін жазу оңай.
如果	егер	Егер жаңбыр жауса, метромен барамыз.
伞	қолшатыр	Жаңбыр жауып тұр, қолшатыр алыңызшы.
上网	интернетке кіру	Мен кешке карта қарау үшін интернетке кіремін.
声音	дауыс; дыбыс	Сенің дауысың жақсы естіледі.
生气	ашулану	Ашуланба, мен әдейі істеген жоқпын.
世界	әлем	Әлем өте үлкен.
试	сынау; байқап көру	Мен бұл былғары аяқкиімді киіп көргім келеді.
瘦	арық	Ол бұрынғыдан арық.
叔叔	көке; әкенің інісі	Көкем мені мектепке көлікпен апарады.
舒服	ыңғайлы; жайлы	Бұл орындық жайлы.
数学	математика	Математика сабағы қызық.
树	ағаш	Үйдің алдында бір ағаш бар.
刷牙	тіс тазалау	Мен күн сайын таңертең тісімді тазалаймын.
双	жұп; қос	Мен бір жұп былғары аяқкиім сатып алдым.
水平	деңгей	Оның қытай тілі деңгейі жоғары.
司机	жүргізуші	Жүргізуші бізді есіктің алдында күтіп тұр.
太阳	күн	Бүгін күн қатты.
特别	әсіресе; ерекше	Бұл бағдарлама әсіресе қызық.
疼	ауыру	Аяғым ауырып тұр.
提高	көтеру; жақсарту	Көбірек жаттығу қытай тілі деңгейін жақсарта алады.
体育	дене тәрбиесі; спорт	Маған дене тәрбиесі сабағы ұнайды.
甜	тәтті	Бұл сусын тым тәтті.
条	жолақ; санау сөзі	Мен бір белдемше сатып алдым.
同事	әріптес	Менің әріптесім өте бос емес.
同意	келісу	Мен сенің шешіміңмен келісемін.
头发	шаш	Оның шашы ұзын.
突然	кенеттен	Ол кенеттен кетіп қалды.
图书馆	кітапхана	Кітапхана бүгін ашық емес.
腿	аяқ	Тауға шыққаннан кейін аяқтарым ауырды.
完成	аяқтау; бітіру	Мен үй тапсырмасын әлдеқашан бітірдім.
碗	кесе; тостаған	Үстелдің үстінде екі кесе бар.
万	он мың	Бұл қалада он мың адам бар.
忘记	ұмыту	Төлқұжатыңды алып келуді ұмытпа.
为	үшін; себепті	Мен сен үшін қуаныштымын.
为了	үшін; мақсатында	Емтихан үшін ол күн сайын қайталайды.
位	адамдарға арналған сыпайы санау сөзі	Бұл мұғалім өте танымал.
文化	мәдениет	Мен Қытай мәдениетін түсінгім келеді.
西	батыс	Банк мектептің батысында.
习惯	әдет; үйрену	Мен таңертең жаттығу жасауға үйренгенмін.
洗手间	әжетхана	Әжетхана оң жақта.
洗澡	жуыну; душ қабылдау	Мен кешке душ қабылдаймын.
夏	жаз	Жаз өте ыстық болады.
先	алдымен; бірінші	Сен алдымен тамақ же.
相信	сену	Мен оның келетініне сенемін.
香蕉	банан	Мен үш банан сатып алдым.
像	ұқсау	Бұл бұлт құсқа ұқсайды.
向	бағыт; қарай	Солға қарай жүріңізші.
小心	абай болу	Жаңбыр жауып тұр, жолда абай бол.
校长	мектеп директоры	Мектеп директоры кеңседе.
新闻	жаңалық	Әкем күн сайын жаңалық көреді.
新鲜	жаңа; балғын	Бұл жеміс өте балғын.
信用卡	несие картасы	Несие картасымен төлей аламын ба?
行李箱	чемодан	Менің чемоданым ауыр.
熊猫	панда	Балалар пандаларды көргенді ұнатады.
需要	қажет болу; мұқтаж болу	Маған сенің көмегің керек.
选择	таңдау	Сен қай көйлекті таңдайсың?
要求	талап ету; сұрау	Мұғалім бізден үй тапсырмасын мұқият орындауды талап етеді.
爷爷	ата	Атам күн сайын саябаққа барады.
一直	үнемі; тоқтаусыз	Ол сені ұзақ уақыттан бері күтіп тұр.
一定	міндетті түрде; сөзсіз	Мен міндетті түрде келемін.
一共	барлығы; жалпы	Бұл кітаптар барлығы қанша тұрады?
一会儿	біраз уақыт	Мені біраз күте тұрыңызшы.
一样	бірдей	Бұл екі кесе бірдей үлкендікте.
以前	бұрын; өткенде	Мен бұрын Бейжіңде тұрдым.
一般	әдеттегі; орташа	Бұл мейрамхананың тамағы орташа.
一边	бір жақ; бір уақытта	Ол музыка тыңдай отырып, үй тапсырмасын орындайды.
音乐	музыка	Маған қытай музыкасы ұнайды.
银行	банк	Банк үлкен дүкеннің жанында.
饮料	сусын	Бұл сусынның дәмі жақсы.
应该	керек; тиіс	Сен көбірек демалуың керек.
影响	әсер; әсер ету	Ауа райы жарысқа әсер етеді.
用	пайдалану; қолдану	Мен үй тапсырмасын орындау үшін компьютер қолданамын.
游戏	ойын	Балалар ойын ойнап жүр.
有名	әйгілі; танымал	Бұл мейрамхана өте әйгілі.
又	тағы; қайта	Ол бүгін тағы кешікті.
遇到	кездесу; жолығу	Мен көшеде мұғалімді кездестірдім.
元	юань; ақша бірлігі	Бұл сөздік елу юань тұрады.
愿意	қалау; дайын болу	Қатысуға дайынсыз ба?
月亮	ай	Бүгін түнде ай жарық.
越	неғұрлым... соғұрлым...	Қытай тілін неғұрлым көп үйренсем, соғұрлым қызық болады.
站	станция; тұру	Ол есіктің жанында тұр.
张	жазық заттарға арналған санау сөзі	Маған бір карта беріңізші.
长	өсу	Балалар тез өседі.
着急	алаңдау; асығу	Алаңдама, лифт жақында келеді.
照顾	қарау; қамқор болу	Ол ауырған әжесіне қарайды.
照片	фото; сурет	Бұл фото жақсы көрінеді.
照相机	фотоаппарат	Мен фотоаппаратпен суретке түсіремін.
283:只	тек; ғана	Мен тек бір кесе шай ішемін.
284:只	жануарларға арналған санау сөзі	Үстелдің астында бір мысық бар.
只有…才…	тек... ғана...	Тек мұқият қайталасаң ғана, емтиханнан жақсы нәтиже аласың.
中间	орта; арасында	Үстел бөлменің ортасында.
中文	қытай тілі; қытай жазуы	Мен күн сайын қытай тілін үйренемін.
终于	ақыры	Біз ақыры жеттік.
种	түр; сорт	Сен қандай сусын түрін ұнатасың?
重要	маңызды	Төлқұжат өте маңызды.
周末	демалыс күндері	Мен демалыс күндері саябаққа барғым келеді.
主要	негізгі	Оның негізгі қызығушылығы - музыка.
注意	назар аудару	Мұғалімге назар аударыңызшы.
自己	өзі; өзім	Мен үй тапсырмасын өзім орындағым келеді.
自行车	велосипед	Менің велосипедім төменде.
总是	әрқашан	Ол әрқашан кеңсеге ерте келеді.
嘴	ауыз	Аузыңызды ашыңызшы.
最后	соңғы; ақырында	Соңында бәріміз келістік.
最近	соңғы кезде; жуырда	Соңғы кезде бос емеспін.
作业	үй тапсырмасы; жұмыс	Мен үй тапсырмасын әлі аяқтаған жоқпын.
