simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR
博士	doktor; doktora derecesi	Tanıştırayım, bu Doktor Li.	daktari; shahada ya uzamivu	Niruhusu nimtambulisho, huyu ni Daktari Li.	o doutor; o Ph.D.	Deixe-me apresentar: este é o doutor Li.
不过	ama; fakat	O harika, ama şirketin işe alım koşullarını karşılamıyor.	lakini; hata hivyo	Yeye ni mzuri sana, lakini hatimizi masharti ya kuajiri ya kampuni.	mas; porém	Ele é excelente, mas não atende aos requisitos de contratação da empresa.
不得不	mecbur kalmak	Dışarıda şiddetli yağmur yağıyor, bu yüzden evde kalmak zorundayım.	kulazimika	Nje kuna mvua kubwa, kwa hiyo ninalazimika kubaki nyumbani.	ter que; não ter escolha a não ser	Está chovendo forte lá fora, então tenho que ficar em casa.
不管	ne olursa olsun; fark etmeksizin	Hava nasıl olursa olsun dağa tırmanmam gerekiyor.	bila kujali; hata iweje	Hata hali ya hewa iweje, lazima nipande mlima.	não importa; independentemente de	Não importa como esteja o tempo, eu tenho que subir a montanha.
不仅	sadece değil	O şehre sadece gitmiş değilim, birçok kez gittim.	si tu	Si kwamba nimewahi tu kwenda katika mji huo, nimekwenda mara nyingi pia.	não só; não apenas	Não só já estive naquela cidade, como também fui muitas vezes.
部分	bölüm; kısım; pay	Makalenin en önemli bölümü üçüncü paragraftır.	sehemu; fungu	Sehemu muhimu zaidi ya makala ni aya ya tatu.	a parte; a seção	A parte mais importante do artigo é o terceiro parágrafo.
擦	silmek; temizlemek	Pencereleri temizledim.	kufuta; kusafisha	Nimesafisha madirisha.	limpar; apagar	Já limpei as janelas.
猜	tahmin etmek; bilmek	Sana nasıl bir doğum günü hediyesi hazırladığımı tahmin et.	kukisia; kubashiri	Bashiri nimekuandalia zawadi gani ya siku ya kuzaliwa?	adivinhar	Adivinhe que presente de aniversário preparei para você.
材料	malzeme; belge	Kayıt için hangi belgeler gerekiyor?	nyenzo; nyaraka	Ni nyaraka gani zinahitajika kwa ajili ya usajili?	o material; os documentos	Quais documentos são necessários para a inscrição?
参观	ziyaret etmek; gezmek	Hafta sonu Çin Seddi'ni ziyaret etmek istiyorum.	kutembelea; kuangalia	Ninataka kutembelea Ukuta Mkuu mwishoni mwa wiki.	visitar; conhecer	Quero visitar a Grande Muralha no fim de semana.
餐厅	restoran; yemekhane	Okulun yakınında yeni bir restoran açıldı.	mkahawa; chumba cha kulia	Mkahawa mpya umefunguliwa karibu na shule.	o restaurante; o refeitório	Um restaurante novo abriu perto da escola.
厕所	tuvalet	Erkekler tuvaleti birinci katta.	choo	Choo cha wanaume kiko ghorofa ya kwanza.	o banheiro; o sanitário	O banheiro masculino fica no primeiro andar.
差不多	neredeyse; yaklaşık	Her gün yaklaşık saat yedide kalkarım.	karibu; takriban	Kila siku ninaamka takriban saa moja asubuhi.	quase; mais ou menos	Acordo mais ou menos às sete horas todos os dias.
尝	tatmak; denemek	Gelip yaptığım yemekleri tadın. Tadı nasıl?	kuonja; kujaribu	Njoo uonje vyakula nilivyopika. Ladha yake ikoje?	provar; experimentar	Venha provar os pratos que fiz. Como está o sabor?
长城	Çin Seddi	Hafta sonu Çin Seddi'ni ziyaret etmek istiyorum.	Ukuta Mkuu wa China	Ninataka kutembelea Ukuta Mkuu wa China mwishoni mwa wiki.	a Grande Muralha	Quero visitar a Grande Muralha no fim de semana.
长江	Yangtze Nehri	Yangtze Nehri Çin'in en büyük nehridir.	Mto Yangtze	Mto Yangtze ndio mto mkubwa zaidi nchini China.	o rio Yangtzé	O rio Yangtzé é o maior rio da China.
场	olaylar için ölçü sözcüğü; alan; yer	Bu yağmur tam zamanında geldi.	kipimio cha matukio; uwanja; mahali	Mvua hii imenyesha kwa wakati kabisa.	classificador para eventos; campo; lugar	Esta chuva veio na hora certa.
超过	aşmak; geçmek	Her gün buradan üç yüzden fazla uçuş kalkıyor.	kuzidi; kupita	Kila siku zaidi ya safari za ndege mia tatu huondoka hapa.	exceder; ultrapassar	Mais de trezentos voos partem daqui todos os dias.
乘坐	binmek; araçla gitmek	Bu uçuşa hoş geldiniz.	kupanda; kusafiri kwa	Karibu kwenye safari hii ya ndege.	embarcar; viajar de	Bem-vindo a este voo.
成功	başarı; başarmak	Çaba başarının garantisidir.	mafanikio; kufanikiwa	Juhudi ni dhamana ya mafanikio.	o sucesso; ter sucesso	O esforço é a garantia do sucesso.
成为	olmak; dönüşmek	Küçüklüğümden beri polis olmak istedim.	kuwa; kugeuka kuwa	Tangu utotoni nilitaka kuwa polisi.	tornar-se; virar	Desde pequeno eu queria ser policial.
诚实	dürüst; dürüstlük	Dürüst insanlar saygımızı hak eder.	mwaminifu; uaminifu	Watu waaminifu wanastahili heshima yetu.	honesto; a honestidade	Pessoas honestas merecem nosso respeito.
吃惊	şaşırmak; hayrete düşmek	Haberi duyunca çok şaşırdı.	kushangaa; kushtuka	Alishangaa sana aliposikia habari hiyo.	ficar surpreso; espantar-se	Ele ficou surpreso ao ouvir a notícia.
重新	yeniden; tekrar	O meseleyi bir kez daha tekrarladı.	tena; upya	Alirudia jambo hilo mara moja tena.	de novo; novamente	Ele repetiu o assunto.
抽烟	sigara içmek	Üzgünüm, hastanede sigara içmek yasaktır.	kuvuta sigara	Samahani, hairuhusiwi kuvuta sigara hospitalini.	fumar	Desculpe, não é permitido fumar no hospital.
出差	iş seyahatine çıkmak	Babam bir aydan uzun süredir iş seyahatinde.	kwenda safari ya kikazi	Baba amekuwa safarini kikazi kwa zaidi ya mwezi mmoja.	viajar a trabalho	Papai está viajando a trabalho há mais de um mês.
出发	yola çıkmak; hareket etmek	Pekin'den Şanghay'a doğru yola çıktım.	kuondoka; kuanza safari	Niliondoka Beijing kwenda Shanghai.	partir; sair	Parti de Pequim para Xangai.
出生	doğmak	Küçük bir şehirde doğdum.	kuzaliwa	Nilizaliwa katika mji mdogo.	nascer	Nasci em uma cidade pequena.
出现	ortaya çıkmak; belirmek	İşimizde birçok sorun ortaya çıktı.	kuonekana; kutokea	Matatizo mengi yamejitokeza katika kazi yetu.	aparecer; surgir	Muitos problemas surgiram no nosso trabalho.
厨房	mutfak	Meyve bıçağı mutfakta.	jikoni; jiko	Kisu cha matunda kiko jikoni.	a cozinha	A faca de frutas está na cozinha.
传真	faks	Lütfen bana bir faks gönderin.	faksi	Tafadhali nitumie faksi.	o fax	Por favor, envie-me um fax.
窗户	pencere	Pencereleri temizledim.	dirisha	Nimesafisha madirisha.	a janela	Já limpei as janelas.
词语	sözcük; ifade	Lütfen bu sözcükleri kullanarak birkaç cümle kurun.	neno; kirai	Tafadhali tumia maneno haya kutunga sentensi kadhaa.	a palavra; a expressão	Por favor, use estas palavras para formar algumas frases.
从来	her zaman; hiçbir zaman	Ben onu hiç görmedim.	daima; kamwe kabla	Sijawahi kumwona.	sempre; nunca antes	Eu nunca o vi.
粗心	dikkatsiz; özensiz	Çok dikkatsizsin.	kutojali; kutokuwa makini	Wewe ni mzembe sana.	descuidado; desatento	Você é muito descuidado.
存	yatırmak; saklamak	Parayı bankaya yatırdım.	kuweka akiba; kuhifadhi	Niliweka pesa benki.	depositar; guardar	Depositei o dinheiro no banco.
错误	hata; yanlışlık	Hatamı gösterdiğiniz için teşekkür ederim.	kosa; makosa	Asante kwa kunionyesha kosa langu.	o erro; o engano	Obrigado por apontar meu erro.
答案	cevap; çözüm	Cevabınız doğru.	jibu; suluhisho	Jibu lako ni sahihi.	a resposta; a solução	Sua resposta está correta.
打扮	süslenmek; giyinip hazırlanmak	O sadece hazırlanıp dışarı çıktı.	kujipamba; kuvaa vizuri	Alijipamba kwa kawaida tu na akaondoka.	arrumar-se; vestir-se	Ela simplesmente se arrumou e saiu.
打扰	rahatsız etmek; bölmek	Bir an sizi rahatsız ettiğim için affedersiniz.	kusumbua; kuingilia	Samahani kwa kukusumbua kwa muda mfupi.	incomodar; perturbar	Com licença por incomodar você por um momento.
打印	yazdırmak; basmak	Bu materyaller yazdırıldı.	kuchapisha	Nyenzo hizi zimechapishwa.	imprimir	Estes materiais já foram impressos.
打招呼	selam vermek; selamlaşmak	Bana gülümseyerek selam verdi.	kusalimia	Alinisalimu kwa tabasamu.	cumprimentar	Ele me cumprimentou com um sorriso.
打折	indirim yapmak	Bahar Bayramı'ndan önce alışveriş merkezlerinde indirim olur.	kupunguza bei; kutoa punguzo	Kabla ya Sikukuu ya Majira ya Kuchipua, maduka makubwa huwa na punguzo.	dar desconto; estar em promoção	Antes do Festival da Primavera, os shoppings fazem promoções.
打针	iğne yapmak; iğne olmak	Oğlu iğnelerden çok korkar.	kuchoma sindano; kudungwa sindano	Mwana wake anaogopa sana sindano.	dar injeção; tomar injeção	O filho tem muito medo de injeções.
大概	muhtemelen; yaklaşık	O muhtemelen gelmeyecek.	pengine; takriban	Pengine hatakuja.	provavelmente; aproximadamente	Ele provavelmente não virá.
大使馆	büyükelçilik	Yarın vize başvurusu yapmak için büyükelçiliğe gideceğim.	ubalozi	Kesho nitaenda ubalozini kuomba visa.	a embaixada	Amanhã vou à embaixada solicitar um visto.
大约	yaklaşık	O yaklaşık otuz yaşında.	takriban; karibu	Ana takriban miaka thelathini.	aproximadamente; cerca de	Ele tem cerca de trinta anos.
大夫	doktor	Doktor Li, yarın sabah hastanede olacak mısınız?	daktari	Daktari Li, utakuwa hospitalini kesho asubuhi?	o médico	Doutor Li, você estará no hospital amanhã de manhã?
戴	takmak; giymek	Siyah bir gözlük takıyor.	kuvaa; kutia	Amevaa miwani nyeusi.	usar; colocar	Ele está usando óculos pretos.
当	olmak; olarak çalışmak	Doktor olmak istiyorum.	kuwa; kufanya kazi kama	Ninataka kuwa daktari.	ser; trabalhar como	Quero ser médico.
当时	o zaman; o sırada	O zamanki durumu net hatırlamıyorum.	wakati huo	Sikumbuki vizuri hali ya wakati huo.	naquela época; naquele momento	Não me lembro bem da situação naquela época.
刀	bıçak	Meyve bıçağı mutfakta.	kisu	Kisu cha matunda kiko jikoni.	a faca	A faca de frutas está na cozinha.
导游	tur rehberi; tur gezdirmek	Ablam tur rehberi.	mwongoza watalii	Dada yangu ni mwongoza watalii.	o guia turístico	Minha irmã é guia turística.
倒	devrilmek; yıkılmak; devirmek	Şiddetli rüzgar ağacı devirdi.	kuanguka; kuangusha	Upepo mkali uliuangusha mti.	cair; derrubar	O vento forte derrubou a árvore.
到处	her yerde	Parkta her yerde çiçek var.	kila mahali	Kuna maua kila mahali bustanini.	em todos os lugares; por toda parte	Há flores por todo o parque.
到底	asıl; tam olarak	Bu cümle tam olarak ne anlama geliyor?	hatimaye; hasa	Sentensi hii hasa ina maana gani?	afinal; exatamente	O que esta frase quer dizer exatamente?
道歉	özür dilemek	Ondan zaten özür diledim.	kuomba msamaha	Tayari nimemwomba msamaha.	pedir desculpas	Já pedi desculpas a ele.
得	gerek; zorunda olmak	Yarın sınavım var, bu yüzden erken yatmam gerek.	lazima; kuhitaji	Nina mtihani kesho, kwa hiyo lazima nilale mapema.	ter que; precisar	Tenho prova amanhã, então preciso dormir cedo.
得意	kendinden memnun; gururlu	Herkes işin başarısından çok gurur duyuyor.	kujivunia; kufurahi sana	Kila mtu anajivunia sana mafanikio ya kazi.	orgulhoso; satisfeito	Todos estão muito orgulhosos do sucesso do trabalho.
登机牌	biniş kartı	Lütfen biniş kartınızı alın ve uçağa binmeye hazırlanın.	kadi ya kupanda ndege	Tafadhali chukua kadi yako ya kupanda ndege na jiandae kupanda.	o cartão de embarque	Por favor, pegue seu cartão de embarque e prepare-se para embarcar.
等	ve benzeri; vesaire	Masada elma, muz ve benzeri meyveler var.	na kadhalika	Mezani kuna matunda kama tufaha, ndizi na kadhalika.	e assim por diante; etc.	Há frutas como maçãs, bananas etc. na mesa.
低	düşük; alçak	Daha yükseğe, şimdi çok alçak.	chini	Juu zaidi, sasa iko chini sana.	baixo	Mais alto, agora está baixo demais.
底	dip; taban	Bardağın dibi temiz.	chini; msingi	Chini ya kikombe ni safi.	o fundo; a base	O fundo do copo está limpo.
地点	yer; konum	Toplantı yeri üçüncü kattaki toplantı odasıdır.	mahali; eneo	Mahali pa mkutano ni kwenye chumba cha mkutano ghorofa ya tatu.	o local; o lugar	O local da reunião é na sala de reuniões do terceiro andar.
地球	Dünya; gezegen	Dünya yüzeyinin çoğu okyanustur.	Dunia; sayari	Sehemu kubwa ya uso wa Dunia ni bahari.	a Terra; o planeta	A maior parte da superfície da Terra é oceano.
地址	adres	Lütfen adresinizi yazın.	anwani	Tafadhali andika anwani yako.	o endereço	Por favor, anote seu endereço.
掉	düşmek; düşürmek	Anahtar yere düştü.	kuanguka; kudondoka	Ufunguo ulianguka chini.	cair; deixar cair	A chave caiu no chão.
调查	araştırma; soruşturmak	Polis araştırıyor.	uchunguzi; kuchunguza	Polisi wanafanya uchunguzi.	a investigação; investigar	A polícia está investigando.
丢	kaybetmek	Okul çantanı mı kaybettin?	kupoteza	Umepoteza mkoba wako wa shule?	perder	Perdeu sua mochila escolar?
动作	hareket; eylem	Sana dans etmeyi öğreteyim, hareketler çok basit.	harakati; tendo	Nikuonyeshe kucheza, harakati ni rahisi sana.	o movimento; a ação	Deixe-me ensinar você a dançar; os movimentos são muito simples.
堵车	trafik sıkışıklığı	Yoldaydım ve yine trafik sıkıştı.	msongamano wa magari	Nilikuwa barabarani na kulikuwa tena na msongamano.	o engarrafamento	Eu estava na estrada e houve outro engarrafamento.
肚子	karın; mide	Karnım ağrıyor.	tumbo	Tumbo langu linauma.	a barriga; o estômago	Estou com dor de barriga.
短信	kısa mesaj; SMS	Bir şey olursa lütfen bana mesaj atın veya telefon edin.	ujumbe mfupi; ujumbe wa simu	Ukiwa na jambo lolote, tafadhali nitumie ujumbe mfupi au unipigie simu.	a mensagem de texto; o SMS	Se houver alguma coisa, mande uma mensagem ou me ligue.
对话	diyalog	Bu diyalog nispeten basit, anlayabiliyorum.	mazungumzo	Mazungumzo haya ni rahisi kiasi, ninaweza kuyaelewa.	o diálogo	Este diálogo é relativamente simples, consigo entender.
对面	karşı taraf	Tam okulun karşısında oturuyorum.	upande wa pili; mkabala	Ninaishi moja kwa moja mkabala na shule.	em frente; do outro lado	Moro bem em frente à escola.
对于	konusunda; -e gelince	Bu soru hakkında farklı bir görüşüm var.	kuhusu; kwa upande wa	Nina mtazamo tofauti kuhusu swali hili.	sobre; em relação a	Tenho uma opinião diferente sobre esta questão.
儿童	çocuk; çocuklar	Boyu 1,2 metreden kısa çocuklar çocuk bileti alabilir.	mtoto; watoto	Watoto wenye urefu chini ya mita moja nukta mbili wanaweza kununua tiketi za watoto.	a criança; as crianças	Crianças com menos de 1,2 metro podem comprar ingresso infantil.
而	ve; ama	Bu kıyafet hem ucuz hem güzel.	na; lakini	Nguo hii ni nafuu na nzuri.	e; mas	Esta roupa é barata e bonita.
发生	olmak; meydana gelmek	Durum çok değişti.	kutokea	Hali imebadilika sana.	acontecer; ocorrer	A situação mudou muito.
发展	gelişme; gelişmek	Ekonomi son yıllarda hızla gelişti.	maendeleo; kuendelea	Uchumi umeendelea kwa kasi katika miaka ya hivi karibuni.	o desenvolvimento; desenvolver-se	A economia se desenvolveu rapidamente nos últimos anos.
法律	hukuk; yasa	Üniversitede hukuk okuyorum.	sheria	Ninasoma sheria chuo kikuu.	a lei; o direito	Estou estudando direito na universidade.
翻译	çevirmek; tercümanlık yapmak; çevirmen	Lütfen bu makaleyi Çinceye çevirin.	kutafsiri; mkalimani	Tafadhali tafsiri makala hii kwa Kichina.	traduzir; o tradutor	Por favor, traduza este artigo para o chinês.
烦恼	endişe; sıkıntı	Artık bu konuda endişelenme.	wasiwasi; kero	Usiwe na wasiwasi tena kuhusu jambo hili.	a preocupação; o incômodo	Não se preocupe mais com isso.
反对	karşı çıkmak; karşı olmak	Herkes bu plana karşı çıkıyor.	kupinga	Kila mtu anapinga mpango huu.	opor-se; ser contra	Todos se opõem a este plano.
方法	yöntem; yol	Bu soruna mutlaka bir çözüm bulacağız.	njia; mbinu	Hakika tutapata njia ya kutatua tatizo hili.	o método; a maneira	Com certeza encontraremos uma solução para o problema.
方面	yön; alan	Babam tarih kitapları okumayı sever.	upande; nyanja	Baba anapenda kusoma vitabu vya historia.	o aspecto; a área	Papai gosta de ler livros de história.
方向	yön; istikamet	Bu yön mü? Sanırım kaybolduk.	mwelekeo	Ni mwelekeo huu? Nadhani tumepotea.	a direção	É nesta direção? Acho que estamos perdidos.
房东	ev sahibi	Ev sahibim çok cana yakın ve bana sık sık yardım eder.	mwenye nyumba	Mwenye nyumba wangu ni rafiki sana na hunisaidia mara nyingi.	o senhorio; o proprietário	Meu senhorio é muito amigável e me ajuda com frequência.
放弃	vazgeçmek; bırakmak	Yurt dışında okuma fırsatından vazgeçtim.	kuacha; kukata tamaa	Niliacha nafasi ya kusoma nje ya nchi.	desistir; abandonar	Desisti da oportunidade de estudar no exterior.
放暑假	yaz tatiline girmek	Yaz tatili yarın başlıyor.	kuanza likizo ya kiangazi	Likizo ya kiangazi inaanza kesho.	entrar em férias de verão	As férias de verão começam amanhã.
放松	rahatlamak; gevşemek	Sınav bitti, rahatlamamız gerekiyor.	kupumzika; kulegeza	Mtihani umeisha, tunahitaji kupumzika.	relaxar; descansar	A prova acabou, precisamos relaxar.
份	belge ve porsiyonlar için ölçü sözcüğü	Lütfen bana bir faks gönderin.	kipimio cha nyaraka, kazi na sehemu	Tafadhali nitumie faksi moja.	classificador para documentos, trabalhos e porções	Por favor, envie-me um fax.
丰富	zengin; bol	Okumak hayatımızı zenginleştirebilir.	tajiri; tele	Kusoma kunaweza kuutajirisha maisha yetu.	rico; abundante	A leitura pode enriquecer nossa vida.
否则	yoksa; aksi takdirde	Şimdi gidelim, yoksa geç kalacağız.	vinginevyo; la sivyo	Tuondoke sasa, vinginevyo tutachelewa.	caso contrário; senão	Vamos agora, senão vamos nos atrasar.
符合	uymak; karşılamak	O, işe alım koşullarımıza çok uyuyor.	kulingana na; kutimiza	Anakidhi vigezo vyetu vya ajira vizuri sana.	corresponder a; atender	Ela atende muito bem aos nossos critérios de contratação.
付款	ödeme yapmak; ödeme	Alışverişin ödemesi çevrimiçi yapılabilir.	kulipa; malipo	Ununuzi unaweza kulipiwa mtandaoni.	pagar; o pagamento	As compras podem ser pagas on-line.
复印	fotokopi çekmek; belgeyi çoğaltmak	Lütfen bu malzemeden iki kopya daha çıkarın.	kutoa nakala; kunakili hati	Tafadhali toa nakala mbili zaidi za nyenzo hii.	fotocopiar; tirar cópia de um documento	Por favor, tire mais duas cópias deste material.
复杂	karmaşık; komplike	Bu karmaşık bir teknik sorun.	tata; changamano	Hili ni suala tata la kiufundi.	complexo; complicado	Este é um problema técnico complexo.
富	zengin	İnsanların yaşamı gittikçe zenginleşiyor.	tajiri	Maisha ya watu yanazidi kuwa bora na tajiri.	rico	A vida das pessoas está ficando cada vez mais rica.
父亲	baba	Babam bu yıl seksen üç yaşında.	baba	Baba yangu ana miaka themanini na mitatu mwaka huu.	o pai	Meu pai tem oitenta e três anos este ano.
负责	sorumlu olmak; sorumluluk almak	Xiao Li işinde çok sorumluluk sahibi.	kuwajibika; kusimamia	Xiao Li anawajibika sana kazini.	ser responsável; estar encarregado	Xiao Li é muito responsável no trabalho.
改变	değiştirmek; değişmek	Planımı çoktan değiştirdim.	kubadilisha; kubadilika	Nimebadilisha mpango wangu tayari.	mudar; alterar	Já mudei meu plano.
干杯	şerefe; kadeh kaldırmak	Herkese iyi bayramlar, şerefe!	afya; kupiga funda la pongezi	Heri ya sikukuu wote, afya!	saúde; brindar	Feliz feriado a todos, saúde!
感动	duygulandırmak; duygulanmış	Onun sözleri beni çok duygulandırdı.	kugusa moyo; kuguswa	Maneno yake yalinigusa moyo sana.	emocionar; comovido	As palavras dele me emocionaram muito.
感觉	hissetmek; his	Bugün biraz üşüdüğümü hissediyorum.	kuhisi; hisia	Ninahisi leo kuna baridi kidogo.	sentir; a sensação	Sinto um pouco de frio hoje.
感情	duygu; ilişki	Aralarındaki ilişki çok iyi.	hisia; uhusiano	Uhusiano kati yao ni mzuri sana.	o sentimento; a relação	A relação entre eles é muito boa.
感谢	teşekkür etmek; minnettar olmak	Yardımınız için teşekkür ederim.	kushukuru; kuwa na shukrani	Asante kwa msaada wako.	agradecer; ser grato	Obrigado pela sua ajuda.
敢	cesaret etmek	Yalnız gitmeye cesaret edemiyorum.	kuthubutu	Sithubutu kwenda peke yangu.	ousar; ter coragem	Não tenho coragem de ir sozinho.
赶	acele etmek; yetişmek	Bana zamanında yardıma geldiğin için teşekkür ederim.	kuharakisha; kuwahi	Asante kwa kuja kunisaidia kwa wakati.	correr; apressar-se	Obrigado por ter vindo me ajudar a tempo.
干	yapmak; çalışmak	Ne yapıyorsun?	kufanya; kufanya kazi	Unafanya nini?	fazer; trabalhar	O que você está fazendo?
刚	henüz; az önce; tam olarak	Az önce söylediğim sözleri lütfen affet.	punde tu; sasa hivi; hasa	Tafadhali nisamehe kwa maneno niliyosema punde tu.	agora há pouco; acabado de	Por favor, perdoe o que acabei de dizer.
高速公路	otoyol; ekspres yol	Buraya yeni bir otoyol yapıldı.	barabara kuu ya mwendo kasi	Barabara kuu mpya imejengwa hapa.	a rodovia; a estrada expressa	Uma nova rodovia foi construída aqui.
胳膊	kol	Onun kolu biraz ağrıyor.	mkono	Mkono wake unauma kidogo.	o braço	O braço dele dói um pouco.
各	her; çeşitli	Süpermarkette çeşitli meyveler var.	kila; mbalimbali	Kuna matunda mbalimbali dukani.	cada; todo; vários	Há várias frutas no supermercado.
公里	kilometre	Bu iki şehir arasındaki mesafe üç yüz kilometre.	kilomita	Umbali kati ya miji hii miwili ni kilomita mia tatu.	o quilômetro	A distância entre as duas cidades é de trezentos quilômetros.
功夫	kungfu; beceri	Son zamanlarda Çin kungfusu öğreniyorum.	kung fu; ustadi	Hivi karibuni ninajifunza kung fu ya Kichina.	o kung fu; a habilidade	Estou aprendendo kung fu chinês recentemente.
工资	maaş; ücret	Onun yeni işinin maaşı yüksek.	mshahara; malipo	Kazi yake mpya ina mshahara mzuri.	o salário; o pagamento	O novo emprego dele paga bem.
共同	ortak; birlikte	Ortak bir hedefimiz var.	wa pamoja; kwa pamoja	Tuna lengo moja la pamoja.	comum; conjunto	Temos um objetivo comum.
够	yeterli; oldukça	Bugün epey soğuk.	kutosha; kabisa	Leo kuna baridi ya kutosha.	suficiente; bastante	Hoje está frio o bastante.
购物	alışveriş	Alışverişin ödemesi çevrimiçi yapılabilir.	ununuzi	Ununuzi unaweza kulipiwa mtandaoni.	as compras	As compras podem ser pagas on-line.
