source_headword	LT	example_LT
relationship	santykiai; ryšys	Jų santykiai stiprūs.
remove	pašalinti; nusiauti	Nusiauk batus.
repair	taisyti	Šiandien pataisyk dviratį.
replace	pakeisti	Pakeisk seną bateriją.
reply	atsakyti	Prašau, netrukus atsakyk.
reporter	reporteris	Reporteris užsirašė pastabas.
request	prašymas; reikalavimas	Pateikiau prašymą.
research	tyrimas; tyrinėti	Tyrinėjame vietos istoriją.
researcher	tyrėjas	Tyrėjas patikrino duomenis.
respond	atsakyti	Prašau, atsakyk šiandien.
response	atsakymas	Jos atsakymas buvo greitas.
rest (remaining part)	likutis	Suvalgyk likutį vėliau.
rest (sleep/relax)	poilsis; ilsėtis	Tau reikia pailsėti.
review	peržiūrėti; kartoti	Šį vakarą pakartok užrašus.
ring1	žiedas	Ji mūvėjo auksinį žiedą.
ring2	paskambinti	Paskambink man po pietų.
rise	kilti	Kainos kyla kasmet.
rock (stone)	akmuo	Akmuo sunkus.
