hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
5064:新媒体	新媒体	新媒体	မီဒီယာအသစ်; ဒစ်ဂျစ်တယ်မီဒီယာ	ကုမ္ပဏီက မီဒီယာအသစ်ကို အသုံးပြုပြီး ဖောက်သည်တွေနဲ့ ဆက်သွယ်တယ်။	ប្រព័ន្ធផ្សព្វផ្សាយថ្មី; មេឌៀឌីជីថល	ក្រុមហ៊ុនប្រើប្រព័ន្ធផ្សព្វផ្សាយថ្មី ដើម្បីទំនាក់ទំនងជាមួយអតិថិជន។	ສື່ໃໝ່; ສື່ດິຈິຕອນ	ບໍລິສັດໃຊ້ສື່ໃໝ່ເພື່ອຕິດຕໍ່ກັບລູກຄ້າ.	नयाँ मिडिया; डिजिटल मिडिया	कम्पनीले ग्राहकसँग सम्पर्क गर्न नयाँ मिडिया प्रयोग गर्छ।
5065:心目	心目	心目	စိတ်ထဲ; အမြင်ထဲ	ပရိသတ်စိတ်ထဲမှာ သူက အလွန်ယုံကြည်ရတဲ့ သရုပ်ဆောင်တစ်ယောက်ပါ။	ក្នុងចិត្ត; ក្នុងការយល់ឃើញ	ក្នុងចិត្តទស្សនិកជន គាត់ជាតារាសម្តែងដែលគួរឱ្យទុកចិត្តខ្លាំង។	ໃນໃຈ; ໃນຄວາມຄິດ	ໃນໃຈຜູ້ຊົມ ລາວເປັນນັກສະແດງທີ່ໜ້າເຊື່ອຖືຫຼາຍ.	मनमा; दृष्टिमा	दर्शकहरूको मनमा ऊ धेरै भरपर्दो अभिनेता हो।
5066:新能源	新能源	新能源	စွမ်းအင်အသစ်; ပြန်လည်အသုံးချနိုင်သောစွမ်းအင်	ဒီမြို့က စွမ်းအင်အသစ်လုပ်ငန်းတွေကို အားပေးတယ်။	ថាមពលថ្មី; ថាមពលកកើតឡើងវិញ	ទីក្រុងនេះគាំទ្រឧស្សាហកម្មថាមពលថ្មី។	ພະລັງງານໃໝ່; ພະລັງງານທົດແທນ	ເມືອງນີ້ສົ່ງເສີມອຸດສາຫະກຳພະລັງງານໃໝ່.	नयाँ ऊर्जा; नवीकरणीय ऊर्जा	यो शहरले नयाँ ऊर्जा उद्योगलाई समर्थन गर्छ।
5069:新兴	新兴	新兴	ထွန်းသစ်လာသော; ပေါ်ပေါက်လာသော	အဲဒီထွန်းသစ်လာတဲ့ ဈေးကွက်က ရင်းနှီးမြှုပ်နှံသူတွေကို ဆွဲဆောင်တယ်။	កំពុងលេចឡើង; ថ្មីកើត	ទីផ្សារកំពុងលេចឡើងនោះទាក់ទាញអ្នកវិនិយោគ។	ເກີດໃໝ່; ກຳລັງຂຶ້ນມາ	ຕະຫຼາດທີ່ກຳລັງຂຶ້ນມານັ້ນດຶງດູດນັກລົງທຶນ.	उदाउँदो; नयाँ उदीयमान	त्यो उदाउँदो बजारले लगानीकर्तालाई आकर्षित गर्छ।
5071:心愿	心愿	心愿	ဆန္ဒ; စိတ်ရင်းဆန္ဒ	ဆရာဖြစ်ချင်တာက သူ့ရဲ့ နှစ်ရှည်လများ စိတ်ရင်းဆန္ဒပါ။	បំណងប្រាថ្នា; បំណងក្នុងចិត្ត	ចង់ក្លាយជាគ្រូគឺជាបំណងក្នុងចិត្តរបស់គាត់ជាយូរមកហើយ។	ຄວາມປາຖະໜາ; ຄວາມຢາກໃນໃຈ	ການຢາກເປັນຄູແມ່ນຄວາມປາຖະໜາມາດົນຂອງລາວ.	इच्छा; मनको चाहना	शिक्षक बन्ने कुरा उसको धेरै वर्षदेखिको मनको चाहना हो।
5075:兴起	兴起	兴起	ထွန်းကားလာသည်; ပေါ်ပေါက်လာသည်	မကြာသေးမီနှစ်တွေမှာ အွန်လိုင်းပညာရေး ထွန်းကားလာတယ်။	កើនឡើង; លេចឡើង	ប៉ុន្មានឆ្នាំថ្មីៗនេះ ការអប់រំតាមអនឡាញបានលេចឡើងយ៉ាងខ្លាំង។	ເກີດຂຶ້ນ; ຂະຫຍາຍຕົວຂຶ້ນ	ໃນບໍ່ກີ່ປີຜ່ານມາ ການສຶກສາອອນລາຍໄດ້ຂະຫຍາຍຕົວຂຶ້ນ.	उदय हुनु; फैलिनु	पछिल्ला वर्षहरूमा अनलाइन शिक्षा तीव्र रूपमा उदाएको छ।
5076:型号	型号	型号	မော်ဒယ်နံပါတ်; အမျိုးအစား	ကျေးဇူးပြုပြီး ကွန်ပျူတာရဲ့ မော်ဒယ်နံပါတ်ကို ရေးပေးပါ။	ម៉ូដែល; លេខម៉ូដែល	សូមសរសេរលេខម៉ូដែលរបស់កុំព្យូទ័រ។	ຮຸ່ນ; ໝາຍເລກຮຸ່ນ	ກະລຸນາຂຽນໝາຍເລກຮຸ່ນຂອງຄອມພິວເຕີ.	मोडेल; प्रकार नम्बर	कृपया कम्प्युटरको मोडेल नम्बर लेख्नुहोस्।
5078:性价比	性价比	性价比	စျေးနှုန်းနဲ့အရည်အသွေးတန်ဖိုး; တန်ဖိုးရှိမှု	ဒီကင်မရာက စျေးနှုန်းနဲ့အရည်အသွေးအရ တော်တော်တန်တယ်။	តម្លៃសមរម្យនឹងគុណភាព; ភាពសមនឹងតម្លៃ	កាមេរ៉ានេះមានភាពសមនឹងតម្លៃល្អណាស់។	ຄວາມຄຸ້ມຄ່າຕໍ່ລາຄາ; ອັດຕາຄຸນນະພາບຕໍ່ລາຄາ	ກ້ອງນີ້ມີຄວາມຄຸ້ມຄ່າຕໍ່ລາຄາດີຫຼາຍ.	मूल्यअनुसार गुणस्तर; लागत-प्रदर्शन अनुपात	यो क्यामेराको मूल्यअनुसार गुणस्तर धेरै राम्रो छ।
5081:修订	修订	修订	ပြင်ဆင်တည်းဖြတ်သည်; ပြန်လည်ပြင်ဆင်သည်	စာရေးသူက နောက်ဆုံးအခန်းကို ပြန်လည်ပြင်ဆင်နေတယ်။	កែសម្រួល; កែប្រែឡើងវិញ	អ្នកនិពន្ធកំពុងកែសម្រួលជំពូកចុងក្រោយ។	ແກ້ໄຂ; ປັບປຸງໃໝ່	ນັກຂຽນກຳລັງແກ້ໄຂບົດສຸດທ້າຍ.	संशोधन गर्नु; परिमार्जन गर्नु	लेखकले अन्तिम अध्याय संशोधन गर्दै छ।
5083:袖子	袖子	袖子	အင်္ကျီလက်	ဒီအင်္ကျီရဲ့ လက်က နည်းနည်းရှည်တယ်။	ដៃអាវ	ដៃអាវរបស់អាវនេះវែងបន្តិច។	ແຂນເສື້ອ	ແຂນເສື້ອນີ້ຍາວໄປນ້ອຍໜຶ່ງ.	बाहुला	यो कमिजको बाहुला अलि लामो छ।
5088:选修	选修	选修	ရွေးချယ်ဘာသာယူသည်; အချိန်ပိုင်းရွေးသင်သည်	ဒီနှစ် သူ ဂီတကို ရွေးချယ်ဘာသာအဖြစ် ယူထားတယ်။	ជ្រើសរើសជាមុខវិជ្ជាជម្រើស	ឆ្នាំនេះគាត់បានជ្រើសរើសតន្ត្រីជាមុខវិជ្ជាជម្រើស។	ເລືອກຮຽນເປັນວິຊາເລືອກ	ປີນີ້ລາວເລືອກຮຽນດົນຕີເປັນວິຊາເລືອກ.	ऐच्छिक विषय लिनु	यस वर्ष उसले संगीतलाई ऐच्छिक विषयका रूपमा लिएको छ।
5089:学会	学会	学会	အသင်း; ပညာရပ်အသင်း	ဒီပညာရပ်အသင်းက နှစ်စဉ် ညီလာခံတစ်ခု ကျင်းပတယ်။	សមាគម; សមាគមវិជ្ជាជីវៈ	សមាគមវិជ្ជាជីវៈនេះរៀបចំសន្និសីទមួយរៀងរាល់ឆ្នាំ។	ສະມາຄົມ; ສະມາຄົມວິຊາການ	ສະມາຄົມວິຊາການນີ້ຈັດກອງປະຊຸມທຸກປີ.	संघ; विद्वत् समाज	यो विद्वत् समाजले हरेक वर्ष सम्मेलन आयोजना गर्छ।
5092:学员	学员	学员	သင်တန်းသား; ကျောင်းသား	သင်တန်းသားတွေက လက်တွေ့လေ့ကျင့်ခန်းကို ပြီးအောင် လုပ်ရမယ်။	សិក្ខាកាម; សិស្ស	សិក្ខាកាមត្រូវបញ្ចប់លំហាត់អនុវត្ត។	ຜູ້ເຂົ້າຝຶກອົບຮົມ; ນັກຮຽນ	ຜູ້ເຂົ້າຝຶກອົບຮົມຕ້ອງເຮັດບົດຝຶກປະຕິບັດໃຫ້ສຳເລັດ.	प्रशिक्षार्थी; विद्यार्थी	प्रशिक्षार्थीहरूले अभ्यास कार्य पूरा गर्नुपर्छ।
5093:血管	血管	血管	သွေးကြော	ဆရာဝန်က လူနာရဲ့ သွေးကြောအခြေအနေကို စစ်ဆေးတယ်။	សរសៃឈាម	គ្រូពេទ្យពិនិត្យស្ថានភាពសរសៃឈាមរបស់អ្នកជំងឺ។	ເສັ້ນເລືອດ	ທ່ານໝໍກວດສະພາບເສັ້ນເລືອດຂອງຄົນເຈັບ.	रक्तनली	डाक्टरले बिरामीको रक्तनलीको अवस्था जाँच्यो।
5094:血型	血型	血型	သွေးအမျိုးအစား	စာရင်းသွင်းတဲ့အခါ ကိုယ့်သွေးအမျိုးအစားကို ဖြည့်ရမယ်။	ក្រុមឈាម	ពេលចុះឈ្មោះ ត្រូវបំពេញក្រុមឈាមរបស់ខ្លួន។	ໝູ່ເລືອດ	ເວລາລົງທະບຽນ ຕ້ອງກອກໝູ່ເລືອດຂອງຕົນ.	रक्त समूह	दर्ता गर्दा आफ्नो रक्त समूह भर्नुपर्छ।
5096:血液	血液	血液	သွေး	လေ့ကျင့်ခန်းက သွေးလည်ပတ်မှုကို ကောင်းစေတယ်။	ឈាម	ការហាត់ប្រាណអាចជួយឱ្យឈាមរត់ល្អ។	ເລືອດ	ການອອກກຳລັງກາຍຊ່ວຍໃຫ້ເລືອດໝຸນວຽນດີ.	रगत	व्यायामले रक्तसञ्चार राम्रो बनाउन सक्छ।
5098:寻求	寻求	寻求	ရှာဖွေသည်; တောင်းခံသည်	သူတို့က ပိုကောင်းတဲ့ ဖြေရှင်းနည်းကို ရှာဖွေနေကြတယ်။	ស្វែងរក; ស្នើសុំ	ពួកគេកំពុងស្វែងរកដំណោះស្រាយល្អជាងមុន។	ຊອກຫາ; ສະແຫວງຫາ	ພວກເຂົາກຳລັງຊອກຫາວິທີແກ້ໄຂທີ່ດີກວ່າ.	खोज्नु; खोजी गर्नु	उनीहरू अझ राम्रो समाधान खोजिरहेका छन्।
5101:淹	淹	淹	ရေလွှမ်းသည်; နစ်မြုပ်စေသည်	မိုးကြီးတာကြောင့် နိမ့်တဲ့လမ်းကို ရေလွှမ်းသွားတယ်။	ជន់លិច; លិច	ភ្លៀងធំបានធ្វើឱ្យផ្លូវទាបជន់លិច។	ນ້ຳຖ້ວມ; ຈົມນ້ຳ	ຝົນໜັກເຮັດໃຫ້ຖະໜົນຕ່ຳນ້ຳຖ້ວມ.	डुबाउनु; बाढीले डुबाउनु	ठूलो वर्षाले होचो बाटो डुबायो।
5103:严	严	严	တင်းကျပ်သော; ပြင်းထန်သော	ကျောင်းက စာမေးပွဲစည်းကမ်းကို အလွန်တင်းကျပ်တယ်။	តឹងរ៉ឹង; ធ្ងន់ធ្ងរ	សាលាមានវិន័យប្រឡងតឹងរ៉ឹងណាស់។	ເຂັ້ມງວດ; ຮ້າຍແຮງ	ໂຮງຮຽນເຂັ້ມງວດຫຼາຍຕໍ່ລະບຽບການສອບເສັງ.	कडा; गम्भीर	विद्यालय परीक्षा अनुशासनबारे धेरै कडा छ।
5111:研讨	研讨	研讨	ဆွေးနွေးလေ့လာသည်; သုတေသနဆွေးနွေးသည်	ကျွမ်းကျင်သူတွေက ကုသနည်းအသစ်ကို ဆွေးနွေးလေ့လာနေကြတယ်။	ពិភាក្សាសិក្សា; សិក្សាស្រាវជ្រាវ	អ្នកជំនាញកំពុងពិភាក្សាសិក្សាផែនការព្យាបាលថ្មី។	ປຶກສາຫາລືແລະສຶກສາ	ຜູ້ຊ່ຽວຊານກຳລັງປຶກສາຫາລືແລະສຶກສາແຜນການຮັກສາໃໝ່.	छलफल र अध्ययन गर्नु	विशेषज्ञहरू नयाँ उपचार योजना छलफल र अध्ययन गर्दै छन्।
