source_headword	PT-BR	example_PT-BR
amid	em meio a	O discurso ocorreu em meio à crescente tensão.
analogy	a analogia	O professor usou uma analogia simples.
anchor	a âncora	O barco soltou a âncora perto da ilha.
angel	o anjo	A criança vestiu uma fantasia de anjo.
anonymous	anônimo	A reclamação foi anônima.
apparatus	o aparato	O aparato do laboratório precisa de limpeza.
appealing	atraente	A oferta parece atraente para os estudantes.
appetite	o apetite	O exercício aumentou o apetite dele.
applaud	aplaudir	O público começou a aplaudir alto.
applicable	aplicável	O desconto é aplicável hoje.
appoint	nomear	O conselho nomeará um diretor.
appreciation	a gratidão	Ela expressou gratidão pela ajuda deles.
arbitrary	arbitrário	O prazo pareceu arbitrário para a equipe.
architectural	arquitetônico	A cidade protege sua herança arquitetônica.
archive	o arquivo	O arquivo armazena fotografias antigas.
arena	a arena	O debate mudou para a arena pública.
arguably	possivelmente	Este é possivelmente seu melhor romance.
arm	armar	Os guardas vão armar o comboio.
array	a variedade	A loja oferece uma variedade de ferramentas.
articulate	articular	Ela consegue articular ideias complexas claramente.
ash	as cinzas	As cinzas cobriram o carro após o incêndio.
aspiration	a aspiração	A aspiração dela é se tornar cirurgiã.
aspire	aspirar	Muitos estudantes aspiram estudar no exterior.
assassination	o assassinato	O assassinato mudou a política do país.
assault	a agressão	A agressão aconteceu perto da estação.
assemble	montar	Os trabalhadores montam os móveis à mão.
assembly	a assembleia	A assembleia da escola começa às nove.
assert	afirmar	Ele tentou afirmar sua autoridade.
assertion	a afirmação	A afirmação dela surpreendeu o painel.
assurance	a garantia	O gerente deu garantia de apoio.
asylum	o asilo	A família pediu asilo na fronteira.
atrocity	a atrocidade	O filme descreveu uma atrocidade do tempo de guerra.
attain	alcançar	Poucos corredores alcançam essa velocidade.
attendance	a frequência	A frequência melhorou após o anúncio.
attorney	o advogado	O advogado questionou a testemunha.
attribute	atribuir	Os cientistas atribuem o aumento à poluição.
audit	a auditoria	A auditoria encontrou vários erros.
authentic	autêntico	O restaurante serve comida regional autêntica.
authorize	autorizar	Apenas gerentes podem autorizar reembolsos.
auto	o automóvel	A indústria automobilística mudou rapidamente.
autonomy	a autonomia	A região quer maior autonomia.
availability	a disponibilidade	A disponibilidade de assentos é limitada.
await	aguardar	Várias mensagens aguardam sua resposta.
backdrop	o pano de fundo	As montanhas formaram um cenário dramático.
backing	o apoio	A proposta ganhou apoio dos eleitores.
backup	o backup	O sistema cria um backup diariamente.
bail	a fiança	O juiz estabeleceu a fiança ao meio-dia.
ballot	a cédula	Cada eleitor recebeu uma cédula.
banner	a faixa	A faixa estava pendurada acima da entrada.
bare	nu	O quarto tinha paredes nuas.
barrel	o barril	O barril estava cheio de água.
bass1	o baixo	O baixo soou profundo e quente.
battlefield	o campo de batalha	O antigo campo de batalha tornou-se um memorial.
bay	a baía	A vila fica ao lado de uma baía tranquila.
beam	a viga	Uma viga de aço sustenta o teto.
beast	a fera	A história descreve uma fera feroz.
behalf	o nome	Ela falou em nome de sua equipe.
beloved	amado	O amado professor se aposentou hoje.
bench	o banco	Eles sentaram em um banco de madeira.
benchmark	a referência	O teste tornou-se uma referência no setor.
beneath	debaixo de	Os documentos estavam sob a pasta.
beneficiary	o beneficiário	Seu filho era o principal beneficiário.
betray	trair	Não traia a confiança do seu amigo.
bind	vincular	O acordo vinculará ambas as empresas.
biography	a biografia	Sua biografia vendeu muitas cópias.
bishop	o bispo	O bispo visitou a igreja da vila.
bizarre	bizarro	O filme teve um final bizarro.
blade	a lâmina	A lâmina cortou a corda.
blast	a explosão	A explosão quebrou janelas próximas.
bleed	sangrar	O corte começou a sangrar muito.
blend	misturar	Misture o molho até ficar homogêneo.
bless	abençoar	O padre abençoará a casa.
blessing	a bênção	Ter apoio foi uma bênção.
boast	gabar-se	Ele gosta de se gabar sobre dinheiro.
bonus	o bônus	Os funcionários receberam um bônus de feriado.
boom	o boom	A cidade viveu um boom de construção.
bounce	quicar	A bola pode quicar bem alto.
boundary	o limite	O rio marca a fronteira.
bow1	curvar-se	O ator fez uma reverência profunda.
breach	a violação	A violação expôs dados privados.
breakdown	o detalhamento	O relatório inclui um detalhamento de custos.
breakthrough	o avanço	A descoberta foi um grande avanço.
breed	reproduzir-se	Esses pássaros se reproduzem na primavera.
broadband	a banda larga	O escritório precisa de banda larga mais rápida.
browser	o navegador	Atualize seu navegador antes de fazer login.
brutal	brutal	O ataque foi brutal e repentino.
buck	o dólar	O ingresso custa dez dólares.
buddy	o amigo	O amigo dele esperou do lado de fora.
buffer	o amortecedor	As árvores criam um amortecedor de ruído.
bulk	o volume	Eles compraram arroz a granel.
burden	o fardo	A dívida se tornou um fardo pesado.
bureaucracy	a burocracia	A burocracia atrasou a licença.
burial	o enterro	O enterro ocorreu de madrugada.
burst	estourar	O cano pode estourar sob pressão.
cabinet	o gabinete	O gabinete aprovou o plano.
calculation	o cálculo	O cálculo levou vários minutos.
canvas	a tela	O artista pintou em uma tela grande.
capability	a capacidade	O dispositivo tem capacidade sem fio.
capitalism	o capitalismo	O capitalismo moldou a economia moderna.
capitalist	capitalista	O sistema capitalista recompensa o investimento privado.
cargo	a carga	O navio transportava carga médica.
carriage	a carruagem	O vagão do trem estava quase vazio.
carve	esculpir	Ele vai esculpir a madeira com cuidado.
casino	o cassino	O cassino abriu perto do hotel.
casualty	a vítima	O acidente causou uma vítima.
catalogue	o catálogo	O catálogo lista todos os produtos.
cater	atender	O restaurante pode atender grandes eventos.
cattle	o gado	O gado pastava perto do rio.
caution	a cautela	Tenha cautela em estradas com gelo.
cautious	cauteloso	Os investidores continuam cautelosos esta semana.
cease	cessar	A fábrica encerrará a produção em breve.
cemetery	o cemitério	O cemitério tem vista para o mar.
chamber	a câmara	A câmara ficou em silêncio durante a votação.
chaos	o caos	O atraso causou caos no aeroporto.
characterize	caracterizar	Especialistas caracterizam o plano como arriscado.
charm	o charme	A cidade tem um charme do velho mundo.
charter	a carta	A carta protege direitos básicos.
chronic	crônico	Ele sofre de dor crônica nas costas.
chunk	o pedaço	Corte o queijo em um pedaço.
circulate	circular	Por favor, circule a pauta hoje.
circulation	a circulação	A circulação do jornal caiu drasticamente.
citizenship	a cidadania	Ela solicitou cidadania francesa.
civic	cívico	Líderes cívicos compareceram à reunião.
civilian	o civil	Várias casas de civis foram danificadas.
clarity	a clareza	O diagrama adicionou clareza ao relatório.
clash	o confronto	O confronto começou após a marcha.
classification	a classificação	A classificação depende do tamanho.
cling	agarrar-se	Roupas molhadas grudam na pele.
clinical	clínico	O ensaio clínico começa no mês que vem.
closure	o encerramento	A família queria um encerramento após o caso.
cluster	o aglomerado	Um aglomerado de casas ficava próximo.
coalition	a coalizão	A coalizão perdeu sua maioria.
coastal	costeiro	Vilas costeiras se prepararam para enchentes.
cocktail	o coquetel	Ela pediu um coquetel de frutas.
cognitive	cognitivo	Habilidades cognitivas melhoram com a prática.
coincide	coincidir	O festival coincidirá com a formatura.
collaborate	colaborar	As equipes colaboram em software.
collaboration	a colaboração	A colaboração deles produziu bons resultados.
collective	coletivo	A decisão foi um esforço coletivo.
collision	a colisão	A colisão bloqueou a rodovia.
colonial	colonial	O prédio tem arquitetura colonial.
columnist	o colunista	O colunista criticou a política.
combat	o combate	Os soldados treinaram para o combate.
commence	começar	A cerimônia começará ao meio-dia.
commentary	o comentário	Os comentários da partida foram animados.
commentator	o comentarista	O comentarista explicou a decisão.
commerce	o comércio	O comércio online cresceu rapidamente.
commissioner	o comissário	O comissário anunciou novas regras.
commodity	a mercadoria	O trigo é uma mercadoria importante.
communist	comunista	O partido comunista realizou uma reunião.
companion	o companheiro	O cachorro dela é um companheiro leal.
comparable	comparável	As duas cidades são comparáveis em tamanho.
compassion	a compaixão	A enfermeira demonstrou muita compaixão.
compel	obrigar	As evidências podem obrigar uma resposta.
compelling	convincente	O documentário apresentou um argumento convincente.
compensate	compensar	A empresa compensará os clientes afetados.
compensation	a compensação	Os trabalhadores exigiram uma compensação justa.
competence	a competência	O teste mede a competência profissional.
competent	competente	Ela é uma engenheira competente.
compile	compilar	Os pesquisadores compilam dados de hospitais.
complement	complementar	O vinho complementará a refeição.
complexity	a complexidade	O projeto tem uma complexidade inesperada.
compliance	a conformidade	A auditoria verificou a conformidade legal.
complication	a complicação	A cirurgia teve uma complicação.
comply	cumprir	As empresas devem cumprir as regulamentações.
composition	a composição	A composição inclui violino e piano.
compromise	o acordo	O acordo satisfez ambos os lados.
compute	calcular	O programa pode calcular o total.
conceal	ocultar	Ele tentou ocultar os danos.
concede	admitir	O ministro se recusou a admitir a derrota.
conceive	conceber	Eles não conseguiram conceber um plano melhor.
conception	a concepção	O filme mudou minha concepção de história.
concession	a concessão	A empresa ofereceu uma concessão.
condemn	condenar	Os líderes condenaram o ataque publicamente.
confer	conferir	O prêmio irá conferir prestígio.
confession	a confissão	A confissão dele surpreendeu o tribunal.
configuration	a configuração	A configuração controla o acesso à rede.
confine	confinar	As regras confinam os cães a esta área.
confirmation	a confirmação	Recebemos a confirmação por e-mail.
confront	confrontar	Ela decidiu confrontar o problema.
confrontation	o confronto	O confronto terminou sem violência.
congratulate	parabenizar	Eu liguei para parabenizar minha irmã.
congregation	a congregação	A congregação cantou junta.
congressional	congressional	A audiência congressional durou horas.
conquer	conquistar	A equipe espera conquistar o mercado.
conscience	a consciência	A consciência dele não permitiria mentiras.
consciousness	a consciência	O acidente afetou a consciência dele.
consecutive	consecutivo	Ela venceu três partidas consecutivas.
consensus	o consenso	O comitê chegou a um consenso rapidamente.
consent	o consentimento	O consentimento por escrito é necessário.
conserve	conservar	Nós conservamos água durante as secas.
consistency	a consistência	A consistência é importante no estudo de idiomas.
consolidate	consolidar	A empresa irá consolidar dois escritórios.
constituency	o distrito eleitoral	O candidato visitou cada distrito eleitoral.
constitute	constituir	As mulheres constituem metade do comitê.
constitution	a constituição	A constituição garante a liberdade de expressão.
constitutional	constitucional	O tribunal revisou os direitos constitucionais.
constraint	a restrição	A restrição orçamentária limitou o projeto.
consultation	a consulta	A consulta durou duas semanas.
contemplate	contemplar	Ela fez uma pausa para contemplar a oferta.
contempt	o desprezo	Ele demonstrou desprezo pelas regras.
contend	disputar	Várias empresas disputam o contrato.
contender	o concorrente	Ela é uma forte concorrente.
content2	contente	Ele se sentiu contente com o resultado.
contention	a disputa	A principal disputa diz respeito ao financiamento.
continually	continuamente	O sistema verifica continuamente se há erros.
contractor	o empreiteiro	O empreiteiro consertou o telhado.
contradiction	a contradição	A declaração dele continha uma contradição.
contrary	contrário	A evidência contrária mudou o caso.
contributor	o colaborador	Ela é uma colaboradora regular.
conversion	a conversão	A conversão transformou dólares em euros.
convict	condenar	O júri pode condenar o suspeito.
conviction	a condenação	A condenação dele chocou o público.
cooperate	cooperar	Por favor, coopere com a investigação.
cooperative	cooperativo	Os funcionários foram cooperativos e calmos.
coordinate	coordenar	Eles coordenam as entregas todas as manhãs.
coordination	a coordenação	A boa coordenação economizou tempo.
coordinator	o coordenador	O coordenador atribuiu cada tarefa.
cop	o policial	Um policial estava do lado de fora da delegacia.
copper	o cobre	O cano é feito de cobre.
copyright	os direitos autorais	A imagem é protegida por direitos autorais.
correction	a correção	O professor fez uma correção.
correlate	correlacionar	O alto estresse pode se correlacionar com doenças.
correlation	a correlação	O estudo encontrou uma forte correlação.
correspond	corresponder	Esses números correspondem aos rótulos.
correspondence	a correspondência	A correspondência deles durou anos.
correspondent	o correspondente	O correspondente relatou do Cairo.
corresponding	correspondente	Cada botão tem uma luz correspondente.
corrupt	corrupto	O funcionário corrupto aceitou dinheiro.
corruption	a corrupção	A corrupção enfraqueceu a confiança do público.
costly	caro	O erro custou caro para a equipe.
councillor	o vereador	O vereador respondeu às perguntas dos moradores.
counselling	o aconselhamento	Ela recebeu aconselhamento após o acidente.
counsellor	o conselheiro	O conselheiro ajudou os novos alunos.
counter (argue against)	rebater	Ela tentou rebater o argumento dele.
counterpart	o homólogo	Ele conheceu seu colega japonês.
countless	incontável	Incontáveis voluntários se juntaram às buscas.
coup	o golpe	O golpe removeu o presidente.
courtesy	a cortesia	Ela agradeceu a eles por sua cortesia.
