source_headword	ML	example_ML
this	ഇത്; ഈ	ഈ ടിക്കറ്റ് പുതുതാണ്.
thousand	ആയിരം	ആയിരം ആളുകൾ വന്നു.
three	മൂന്ന്	ഞാൻ മൂന്ന് പക്ഷികളെ കാണുന്നു.
through	വഴി; മുഖേന	ഞങ്ങൾ ഉദ്യാനത്തിലൂടെ നടക്കുന്നു.
Thursday	വ്യാഴാഴ്ച	ഞങ്ങൾ വ്യാഴാഴ്ച കാണുന്നു.
ticket	ടിക്കറ്റ്	എനിക്ക് ഒരു ടിക്കറ്റ് വേണം.
time	സമയം; വേള	സമയം എത്രയാണ്?
tired	ക്ഷീണിച്ച	ഞാൻ ക്ഷീണിച്ചിരിക്കുന്നു.
title	ശീർഷകം	ശീർഷകം വായിക്കൂ.
to	ക്ക്; ഭാഗത്തേക്ക്; വേണ്ടി	ഞാൻ ക്ലാസിലേക്ക് പോകുന്നു.
today	ഇന്ന്	ഇന്ന് വെയിൽ ഉണ്ട്.
together	ഒരുമിച്ച്	ഞങ്ങൾ ഒരുമിച്ച് ഭക്ഷണം കഴിക്കുന്നു.
toilet	ശൗചാലയം	ശൗചാലയം വൃത്തിയാണ്.
tomato	തക്കാളി	ഈ തക്കാളി ചുവപ്പാണ്.
tomorrow	നാളെ	നാളെ കാണാം.
tonight	ഇന്ന് രാത്രി	ഞങ്ങൾ ഇന്ന് രാത്രി പഠിക്കുന്നു.
too	കൂടി; വളരെ	എനിക്കും ചായ വേണം.
tooth	പല്ല്	എന്റെ പല്ല് വേദനിക്കുന്നു.
topic	വിഷയം	ഒരു വിഷയം തിരഞ്ഞെടുക്കൂ.
tourist	സഞ്ചാരി	സഞ്ചാരി ചിത്രങ്ങൾ എടുക്കുന്നു.
town	പട്ടണം	ഈ പട്ടണം ശാന്തമാണ്.
traffic	ഗതാഗതം; തിരക്ക്	ഗതാഗതം മന്ദമാണ്.
train	ട്രെയിൻ	ട്രെയിൻ വൈകിയിരിക്കുന്നു.
travel	യാത്ര ചെയ്യുക; യാത്ര	ഞങ്ങൾ ട്രെയിനിൽ യാത്ര ചെയ്യുന്നു.
tree	മരം	മരം ഉയരമുള്ളതാണ്.
trip	യാത്ര; വിനോദയാത്ര	യാത്ര നാളെ തുടങ്ങുന്നു.
trousers	പാന്റ്സ്; കാലുറ	എന്റെ പാന്റ്സ് കറുപ്പാണ്.
true	സത്യം; ശരിയായ	ആ കഥ സത്യമാണ്.
try	ശ്രമിക്കുക; രുചി നോക്കുക	ഈ ചായ രുചി നോക്കൂ.
T-shirt	ടി ഷർട്ട്	ഞാൻ ടി ഷർട്ട് ധരിക്കുന്നു.
Tuesday	ചൊവ്വാഴ്ച	ഞങ്ങൾ ചൊവ്വാഴ്ച കാണുന്നു.
turn	തിരിയുക; അവസരം	ഇവിടെ ഇടത്തേക്ക് തിരിയൂ.
TV	ടിവി; ദൂരദർശിനി	ടിവിയുടെ ശബ്ദം കൂടുതലാണ്.
twelve	പന്ത്രണ്ട്	എന്നോട് പന്ത്രണ്ട് പേനകൾ ഉണ്ട്.
twenty	ഇരുപത്	ഇവിടെ ഇരുപത് വിദ്യാർത്ഥികൾ ഉണ്ട്.
twice	രണ്ടുതവണ	ഞാൻ ആഴ്ചയിൽ രണ്ടുതവണ നീന്തുന്നു.
two	രണ്ട്	രണ്ട് പേർ കാത്തിരിക്കുന്നു.
type	തരം; ടൈപ്പ് ചെയ്യുക	നിനക്ക് ഏത് തരത്തിലുള്ള സംഗീതം വേണം?
umbrella	കുട	കുട എടുക്കൂ.
uncle	അമ്മാവൻ; ചിറ്റപ്പൻ	എന്റെ അമ്മാവൻ ദയയുള്ളവനാണ്.
under	താഴെ	ബാഗ് മേശയുടെ താഴെയാണ്.
understand	മനസ്സിലാക്കുക	എനിക്ക് ചോദ്യം മനസ്സിലാകുന്നു.
university	സർവകലാശാല	സർവകലാശാല അടുത്താണ്.
until	വരെ	അഞ്ച് മണിവരെ കാത്തിരിക്കൂ.
up	മുകളിലേക്ക്; എഴുന്നേറ്റ്	ഇപ്പോൾ എഴുന്നേറ്റ് നിൽക്കൂ.
upstairs	മുകളിലത്തെ നിലയിൽ	എന്റെ മുറി മുകളിലത്തെ നിലയിലാണ്.
us	ഞങ്ങളെ; ഞങ്ങൾക്ക്	ദയവായി ഞങ്ങളെ സഹായിക്കൂ.
use	ഉപയോഗിക്കുക; ഉപയോഗം	ഈ പേന ഉപയോഗിക്കൂ.
useful	ഉപകാരപ്രദമായ	ഈ ഭൂപടം ഉപകാരപ്രദമാണ്.
usually	സാധാരണയായി	ഞാൻ സാധാരണയായി വീട്ടിലേക്ക് നടക്കുന്നു.
vacation	അവധി	ഞങ്ങളുടെ അവധി നാളെ തുടങ്ങുന്നു.
vegetable	പച്ചക്കറി	കാരറ്റ് ഒരു പച്ചക്കറിയാണ്.
very	വളരെ	മുറി വളരെ ശാന്തമാണ്.
video	വീഡിയോ	ഈ വീഡിയോ കാണൂ.
village	ഗ്രാമം	ഗ്രാമം ചെറുതാണ്.
visit	സന്ദർശിക്കുക	ഞങ്ങൾ അമ്മായിയെ സന്ദർശിക്കുന്നു.
visitor	സന്ദർശകൻ; അതിഥി	സന്ദർശകൻ പുറത്തു കാത്തിരിക്കുന്നു.
wait	കാത്തിരിക്കുക	ദയവായി ഇവിടെ കാത്തിരിക്കൂ.
waiter	പരിചാരകൻ	പരിചാരകൻ ചായ കൊണ്ടുവരുന്നു.
wake	ഉണരുക; ഉണർത്തുക	ഞാൻ രാവിലെ നേരത്തെ ഉണരുന്നു.
walk	നടക്കുക	ഞങ്ങൾ സ്കൂളിലേക്ക് നടക്കുന്നു.
wall	ഭിത്തി	ഭിത്തി വെള്ളയാണ്.
want	വേണം; ആഗ്രഹിക്കുക	എനിക്ക് വെള്ളം വേണം.
warm	ചൂടുള്ള; ഇളംചൂടുള്ള	മുറി ഇളംചൂടാണ്.
wash	കഴുകുക	നിന്റെ കൈകൾ കഴുകൂ.
watch	കാണുക; കൈഘടികാരം	ഞാൻ ടിവി കാണുന്നു.
water	വെള്ളം; വെള്ളം ഒഴിക്കുക	കുറച്ച് വെള്ളം കുടിക്കൂ.
way	വഴി; രീതി	ഈ വഴി ചെറുതാണ്.
we	ഞങ്ങൾ; നാം	ഞങ്ങൾ ഇംഗ്ലീഷ് പഠിക്കുന്നു.
wear	ധരിക്കുക	ഞാൻ ജാക്കറ്റ് ധരിക്കുന്നു.
weather	കാലാവസ്ഥ	കാലാവസ്ഥ തണുപ്പാണ്.
website	വെബ്സൈറ്റ്	ഈ വെബ്സൈറ്റ് ഉപകാരപ്രദമാണ്.
Wednesday	ബുധനാഴ്ച	ക്ലാസ് ബുധനാഴ്ച തുടങ്ങുന്നു.
week	ആഴ്ച	ഈ ആഴ്ച തിരക്കാണ്.
weekend	വാരാന്ത്യം	വാരാന്ത്യം നാളെ തുടങ്ങുന്നു.
welcome	സ്വാഗതം; സ്വാഗതം ചെയ്യുക	ഞങ്ങളുടെ ക്ലാസിലേക്ക് സ്വാഗതം.
well	നന്നായി	അവൾ നന്നായി പാടുന്നു.
west	പടിഞ്ഞാറ്	സൂര്യൻ പടിഞ്ഞാറ് അസ്തമിക്കുന്നു.
what	എന്ത്	അത് എന്താണ്?
when	എപ്പോൾ	നീ എപ്പോൾ പഠിക്കുന്നു?
where	എവിടെ	സ്റ്റേഷൻ എവിടെയാണ്?
which	ഏത്; ഏതാണ്	ഏത് ബാഗാണ് നിന്റേത്?
white	വെള്ള	ഭിത്തി വെള്ളയാണ്.
who	ആർ	അത് ആരാണ്?
why	എന്തുകൊണ്ട്	നീ എന്തുകൊണ്ട് വൈകി?
wife	ഭാര്യ	അവന്റെ ഭാര്യ അധ്യാപികയാണ്.
will modal	ഭാവികാല സഹായി	ഞാൻ നിന്നെ സഹായിക്കും.
win	ജയിക്കുക	ഞങ്ങളുടെ ടീം ജയിക്കാം.
window	ജാലകം	ജാലകം തുറക്കൂ.
wine	വൈൻ; മുന്തിരി മദ്യം	ഈ വൈൻ ചുവപ്പാണ്.
winter	ശീതകാലം	ഇവിടെ ശീതകാലം തണുപ്പാണ്.
with	കൂടെ	എന്റെ കൂടെ വരൂ.
without	ഇല്ലാതെ	പഞ്ചസാര ഇല്ലാതെ ചായ നല്ലതാണ്.
woman	സ്ത്രീ	സ്ത്രീ ഒരു പുസ്തകം വായിക്കുന്നു.
wonderful	അദ്ഭുതകരമായ	ദൃശ്യം അദ്ഭുതകരമാണ്.
word	വാക്ക്	ഒരു വാക്ക് എഴുതൂ.
work	ജോലി ചെയ്യുക; ജോലി	ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു.
worker	തൊഴിലാളി; ജോലിക്കാരൻ	ജോലിക്കാരൻ തിരക്കിലാണ്.
world	ലോകം	ലോകം വലുതാണ്.
would modal	ആഗ്രഹിക്കുന്നു; ചെയ്യുമായിരുന്നു	എനിക്ക് ചായ വേണം.
write	എഴുതുക	നിന്റെ പേര് എഴുതൂ.
writer	എഴുത്തുകാരൻ; എഴുത്തുകാരി	എഴുത്തുകാരൻ ഇവിടെ താമസിക്കുന്നു.
writing	എഴുത്ത്; കൈയെഴുത്ത്	അവളുടെ കൈയെഴുത്ത് വ്യക്തമാണ്.
wrong	തെറ്റ്	ഈ ഉത്തരം തെറ്റാണ്.
yeah	അതെ	അതെ, എനിക്ക് വരാം.
year	വർഷം	ഈ വർഷം നല്ലതാണ്.
yellow	മഞ്ഞ	വാഴപ്പഴം മഞ്ഞയാണ്.
yes	അതെ	അതെ, എനിക്ക് മനസ്സിലായി.
yesterday	ഇന്നലെ	ഞാൻ ഇന്നലെ വിളിച്ചു.
you	നീ; നിങ്ങൾ	നീ എന്റെ സുഹൃത്താണ്.
young	യുവ; ചെറുപ്പമുള്ള	കുഞ്ഞ് ചെറുപ്പമാണ്.
your	നിന്റെ; നിങ്ങളുടെ	നിന്റെ ബാഗ് ഇവിടെ ഉണ്ട്.
yourself	നീ തന്നെ; നിങ്ങൾ തന്നെ	ചായ നീ തന്നെ എടുക്കൂ.
