source_headword	ML	example_ML
directory	ഡയറക്ടറി	അവന്റെ നമ്പറിനായി ഡയറക്ടറിയിൽ തിരയുക.
disastrous	വിനാശകരമായ	വിനാശകരമായ വെള്ളപ്പൊക്കം നിരവധി പാലങ്ങൾ തകർത്തു.
discard	ഉപേക്ഷിക്കുക	ഉപയോഗപ്രദമായ രേഖകൾ ഉപേക്ഷിക്കരുത്.
discharge	വിട്ടയക്കുക	ആശുപത്രി നാളെ അയാളെ വിട്ടയക്കും.
disclose	വെളിപ്പെടുത്തുക	കണക്കുകൾ വെളിപ്പെടുത്താൻ ഉദ്യോഗസ്ഥർ വിസമ്മതിച്ചു.
disclosure	വെളിപ്പെടുത്തൽ	ഈ വെളിപ്പെടുത്തൽ ബോർഡിനെ ഞെട്ടിച്ചു.
discourse	വ്യവഹാരം	പൊതു വ്യവഹാരം കൂടുതൽ മര്യാദയുള്ളതായി മാറി.
discretion	വിവേചനാധികാരം	സെൻസിറ്റീവ് കേസുകളിൽ നിങ്ങളുടെ വിവേചനാധികാരം ഉപയോഗിക്കുക.
discrimination	വിവേചനം	ജോലിക്ക് എടുക്കുന്നതിലെ വിവേചനം നിയമം നിരോധിക്കുന്നു.
dismissal	പിരിച്ചുവിടൽ	അദ്ദേഹത്തിന്റെ പിരിച്ചുവിടൽ പൊതുജന രോഷത്തിന് കാരണമായി.
displace	കുടിയൊഴിപ്പിക്കുക	യുദ്ധം ആയിരക്കണക്കിന് ആളുകളെ കുടിയൊഴിപ്പിച്ചേക്കാം.
disposal	സംസ്കരണം	മാലിന്യ സംസ്കരണം ഒരു പ്രാദേശിക പ്രശ്നമായി തുടരുന്നു.
dispose	ഒഴിവാക്കുക	കമ്പനി രാസവസ്തുക്കൾ സുരക്ഷിതമായി ഒഴിവാക്കണം.
dispute	തർക്കം	തർക്കം മാസങ്ങളോളം നീണ്ടുനിന്നു.
disrupt	തടസ്സപ്പെടുത്തുക	ശബ്ദം ഏകാഗ്രതയെ തടസ്സപ്പെടുത്തും.
disruption	തടസ്സം	പണിമുടക്ക് വലിയ തടസ്സമുണ്ടാക്കി.
dissolve	ലയിക്കുക	ചൂടുള്ള ചായയിൽ പഞ്ചസാര ലയിക്കും.
distinction	വ്യത്യാസം	അവർ തമ്മിലുള്ള വ്യത്യാസം പ്രധാനമാണ്.
distinctive	സവിശേഷമായ	അവൾക്ക് സവിശേഷമായ ഒരു ശബ്ദമുണ്ട്.
distort	വളച്ചൊടിക്കുക	കണ്ണാടിക്ക് നിങ്ങളുടെ പ്രതിരൂപം വളച്ചൊടിക്കാൻ കഴിയും.
distress	ദുരിതം	ആ ഫോൺ കോൾ വലിയ ദുരിതമുണ്ടാക്കി.
disturbing	അസ്വസ്ഥമാക്കുന്ന	ഡോക്യുമെന്ററിയിൽ അസ്വസ്ഥമാക്കുന്ന ദൃശ്യങ്ങൾ ഉണ്ടായിരുന്നു.
divert	വഴിതിരിച്ചുവിടുക	പോലീസിന് ഗതാഗതം വഴിതിരിച്ചുവിടേണ്ടി വന്നു.
divine	ദിവ്യമായ	ചാപ്പലിന് ഒരു ദിവ്യമായ അന്തരീക്ഷമുണ്ട്.
doctrine	പ്രമാണം	പാർട്ടി പഴയ പ്രമാണം തള്ളിക്കളഞ്ഞു.
documentation	രേഖകൾ	ലോഞ്ചിന് മുമ്പ് രേഖകൾ പൂർത്തിയാക്കുക.
domain	ഡൊമെയ്ൻ	വെബ്സൈറ്റ് സുരക്ഷിതമായ ഒരു ഡൊമെയ്ൻ ഉപയോഗിക്കുന്നു.
dominance	ആധിപത്യം	ടീമിന്റെ ആധിപത്യം ഒരു ദശാബ്ദക്കാലം നീണ്ടുനിന്നു.
donor	ദാതാവ്	ദാതാവ് ഇന്ന് രക്തം നൽകി.
dose	ഡോസ്	പ്രഭാതഭക്ഷണത്തിന് ശേഷം ഒരു ഡോസ് കഴിക്കുക.
drain	ഒഴുകിപ്പോവുക	വെള്ളം നദിയിലേക്ക് ഒഴുകിപ്പോകും.
drift	പാറിനടക്കുക	പുക റോഡിന് കുറുകെ പാറിനടക്കാൻ തുടങ്ങി.
driving	പ്രധാന	കാലതാമസത്തിന് പിന്നിലെ പ്രധാന കാരണം മഴയായിരുന്നു.
drown	മുങ്ങിമരിക്കുക	ഒഴുക്കിൽപ്പെട്ട് മുങ്ങിമരിക്കാൻ സാധ്യതയുള്ള സ്ഥലങ്ങളിൽ ഒരിക്കലും നീന്തരുത്.
dual	ഇരട്ട	ഉപകരണത്തിന് ഇരട്ട പ്രവർത്തനമുണ്ട്.
dub	വിശേഷിപ്പിക്കുക	വിമർശകർ നഗരത്തെ സാംസ്കാരിക തലസ്ഥാനം എന്ന് വിശേഷിപ്പിക്കുന്നു.
dumb	മണ്ടത്തരമായ	അതൊരു മണ്ടൻ തെറ്റായിരുന്നു.
duo	ജോഡി	കോമഡി ജോഡി യൂറോപ്പിൽ പര്യടനം നടത്തി.
eager	ആകാംക്ഷയുള്ള	വിദ്യാർത്ഥികൾ തുടങ്ങാൻ ആകാംക്ഷയുള്ളവരായിരുന്നു.
earnings	വരുമാനം	കമ്പനിയുടെ വരുമാനം കുത്തനെ വർദ്ധിച്ചു.
ease	ആശ്വാസം	പുതിയ റോഡ് ഗതാഗതം സുഗമമാക്കും.
echo	പ്രതിധ്വനിക്കുക	അവളുടെ ശബ്ദം ഹാളിൽ പ്രതിധ്വനിച്ചു.
ecological	പാരിസ്ഥിതികമായ	പാരിസ്ഥിതിക ആഘാതം ഇപ്പോഴും അനിശ്ചിതത്വത്തിലാണ്.
educator	അധ്യാപകൻ	അധ്യാപകൻ ഒരു പുതിയ കോഴ്‌സ് രൂപകല്പന ചെയ്തു.
effectiveness	ഫലപ്രാപ്തി	പഠനം വാക്സിന്റെ ഫലപ്രാപ്തി അളന്നു.
efficiency	കാര്യക്ഷമത	മികച്ച സോഫ്റ്റ്‌വെയർ കാര്യക്ഷമത മെച്ചപ്പെടുത്തി.
ego	അഹംഭാവം	അവന്റെ അഹംഭാവം ജോലിസ്ഥലത്ത് പ്രശ്നങ്ങൾക്ക് കാരണമായി.
elaborate	സങ്കീർണ്ണമായ	സങ്കീർണ്ണമായ ആ വസ്ത്രത്തിന് ആഴ്ചകളോളം സമയമെടുത്തു.
electoral	തിരഞ്ഞെടുപ്പ് സംബന്ധമായ	കഴിഞ്ഞ വർഷം തിരഞ്ഞെടുപ്പ് സംവിധാനം മാറി.
elevate	ഉയർത്തുക	പുരസ്കാരം അവളുടെ പ്രശസ്തി ഉയർത്തും.
eligible	അർഹതയുള്ള	താമസക്കാർക്ക് മാത്രമേ ഇളവുകൾക്ക് അർഹതയുള്ളൂ.
elite	ഉന്നതർ	ഉന്നതർ ഒരു സ്വകാര്യ അക്കാദമിയിൽ പരിശീലനം നേടി.
embark	യാത്ര തിരിക്കുക	അവർ ഒരു നീണ്ട യാത്ര തിരിക്കും.
embarrassment	നാണക്കേട്	തന്റെ നാണക്കേട് മറയ്ക്കാൻ അവൻ ചിരിച്ചു.
embassy	എംബസി	എംബസി പുതിയ യാത്രാ നിർദ്ദേശങ്ങൾ പുറപ്പെടുവിച്ചു.
embed	ഉൾച്ചേർക്കുക	പത്രപ്രവർത്തകൻ യൂണിറ്റിനൊപ്പം ചേരും.
embody	ഉൾക്കൊള്ളുക	ആ പ്രതിമ ധൈര്യം ഉൾക്കൊള്ളുന്നതായി തോന്നുന്നു.
emergence	ആവിർഭാവം	ഫോണുകളുടെ ആവിർഭാവം ദൈനംദിന ജീവിതത്തെ മാറ്റിമറിച്ചു.
empirical	അനുഭവസിദ്ധമായ	ഈ പ്രബന്ധം അനുഭവസിദ്ധമായ തെളിവുകളെ ആശ്രയിക്കുന്നു.
empower	ശാക്തീകരിക്കുക	വിദ്യാഭ്യാസത്തിന് പ്രാദേശിക സമൂഹങ്ങളെ ശാക്തീകരിക്കാൻ കഴിയും.
enact	നിയമമാക്കുക	പരിഷ്കരണം നിയമമാക്കാൻ പാർലമെന്റ് വോട്ട് ചെയ്തു.
encompass	ഉൾക്കൊള്ളുക	കോഴ്സ് ആധുനിക ചരിത്രം ഉൾക്കൊള്ളും.
encouragement	പ്രോത്സാഹനം	അവളുടെ പ്രോത്സാഹനം അവനെ തുടരാൻ സഹായിച്ചു.
encouraging	പ്രോത്സാഹജനകമായ	ആദ്യകാല ഫലങ്ങൾ പ്രോത്സാഹജനകമായി തോന്നുന്നു.
endeavour	പരിശ്രമം	രക്ഷാപ്രവർത്തനം ബുദ്ധിമുട്ടുള്ള ഒരു ഉദ്യമമായിരുന്നു.
endless	അനന്തമായ	മരുഭൂമി അനന്തമാണെന്ന് തോന്നി.
endorse	പിന്തുണയ്ക്കുക	സ്ഥാനാർത്ഥിയെ പിന്തുണയ്ക്കാൻ യൂണിയൻ വിസമ്മതിച്ചു.
endorsement	പിന്തുണ	അവന്റെ പിന്തുണ അവളുടെ പ്രചാരണത്തെ ഉത്തേജിപ്പിച്ചു.
endure	അതിജീവിക്കുക	സസ്യങ്ങൾക്ക് കഠിനമായ ശൈത്യത്തെ അതിജീവിക്കാൻ കഴിയും.
enforce	നടപ്പിലാക്കുക	പോലീസ് വേഗത പരിധി നടപ്പിലാക്കുന്നു.
enforcement	നടപ്പിലാക്കൽ	കർശനമായ നടപ്പിലാക്കൽ അനധികൃത മാലിന്യം തള്ളുന്നത് കുറച്ചു.
engagement	പങ്കാളിത്തം	ഈ സെമസ്റ്ററിൽ വിദ്യാർത്ഥികളുടെ പങ്കാളിത്തം മെച്ചപ്പെട്ടു.
engaging	ആകർഷകമായ	പ്രഭാഷകൻ ആകർഷകമായ ഒരു പ്രസംഗം നടത്തി.
enquire	അന്വേഷിക്കുക	ദയവായി മുൻവശത്തെ ഡെസ്കിൽ അന്വേഷിക്കുക.
enrich	സമ്പന്നമാക്കുക	യാത്രയ്ക്ക് നിങ്ങളുടെ ധാരണയെ സമ്പന്നമാക്കാൻ കഴിയും.
enrol	പേര് ചേർക്കുക	വിദ്യാർത്ഥികൾ സെപ്റ്റംബറിന് മുമ്പ് പേര് ചേർക്കണം.
ensue	തുടർന്നുണ്ടാവുക	പ്രഖ്യാപനത്തിന് ശേഷം അരാജകത്വം ഉണ്ടായേക്കാം.
enterprise	സംരംഭം	സംരംഭം പ്രാദേശിക കലാകാരന്മാർക്ക് തൊഴിൽ നൽകുന്നു.
enthusiast	താല്പര്യമുള്ളയാൾ	സൈക്ലിംഗ് താല്പര്യമുള്ള എല്ലാവർക്കും ഈ വഴി അറിയാം.
entitle	അർഹത നൽകുക	ടിക്കറ്റ് നിങ്ങൾക്ക് പ്രവേശനത്തിന് അർഹത നൽകും.
entity	സ്ഥാപനം	കമ്പനി ഒരു പ്രത്യേക നിയമ സ്ഥാപനമാണ്.
epidemic	പകർച്ചവ്യാധി	പകർച്ചവ്യാധി പല പ്രദേശങ്ങളിലേക്കും പടർന്നു.
equality	സമത്വം	പ്രസ്ഥാനം സമത്വത്തിനായി പോരാടി.
equation	സമവാക്യം	സമവാക്യത്തിൽ അറിയാത്ത രണ്ട് കാര്യങ്ങളുണ്ട്.
erect	നിർമ്മിക്കുക	തൊഴിലാളികൾ പുതിയ വേലി നിർമ്മിക്കും.
escalate	രൂക്ഷമാകുക	സംഘർഷം പെട്ടെന്ന് രൂക്ഷമായേക്കാം.
essence	സത്ത	കവിത കുട്ടിക്കാലത്തിന്റെ സത്ത ഉൾക്കൊള്ളുന്നു.
establishment	സ്ഥാപനം	സ്ഥാപനം പരിഷ്കരണത്തെ എതിർത്തു.
eternal	നിത്യമായ	അവർ നിത്യമായ സൗഹൃദം വാഗ്ദാനം ചെയ്തു.
evacuate	ഒഴിപ്പിക്കുക	സുരക്ഷിതമായി ഒഴിപ്പിക്കാൻ അഗ്നിശമന സേനാംഗങ്ങൾ താമസക്കാരെ സഹായിച്ചു.
evoke	ഉണർത്തുക	പാട്ടിന് ശക്തമായ ഓർമ്മകൾ ഉണർത്താൻ കഴിയും.
evolutionary	പരിണാമപരമായ	ഫോസിൽ ഒരു പരിണാമപരമായ മാറ്റം കാണിക്കുന്നു.
exaggerate	പെരുപ്പിച്ചു കാണിക്കുക	നിങ്ങളുടെ അനുഭവം പെരുപ്പിച്ചു കാണിക്കരുത്.
excellence	മികവ്	സ്കൂൾ അക്കാദമിക് മികവിന് പ്രതിഫലം നൽകുന്നു.
exceptional	അസാധാരണമായ	അവൾ അസാധാരണമായ കഴിവ് പ്രകടിപ്പിച്ചു.
excess	അധികമായ	അധികമുള്ള വെള്ളം ഭൂഗർഭ അറയിൽ നിറഞ്ഞു.
exclusion	മാറ്റിനിർത്തൽ	സാമൂഹികമായി മാറ്റിനിർത്തുന്നത് ചെറുപ്പക്കാരെ ദോഷകരമായി ബാധിക്കുന്നു.
exclusive	പ്രത്യേകമായ	ക്ലബ്ബ് പ്രത്യേക പ്രവേശനം വാഗ്ദാനം ചെയ്യുന്നു.
exclusively	മാത്രമായി	ഈ മുറി ജീവനക്കാർ മാത്രമായി ഉപയോഗിക്കുന്നു.
execute	നടപ്പിലാക്കുക	ടീം പ്ലാൻ ശ്രദ്ധാപൂർവ്വം നടപ്പിലാക്കും.
execution	നടപ്പിലാക്കൽ	തന്ത്രം നടപ്പിലാക്കാൻ മാസങ്ങളെടുത്തു.
exert	പ്രയോഗിക്കുക	നിങ്ങൾ കൂടുതൽ സമ്മർദ്ദം പ്രയോഗിക്കണം.
exile	പ്രവാസം	എഴുത്തുകാരൻ പ്രവാസത്തിലായിരുന്നു കഴിഞ്ഞിരുന്നത്.
expenditure	ചെലവ്	കഴിഞ്ഞ വർഷം പൊതു ചെലവ് വർദ്ധിച്ചു.
experimental	പരീക്ഷണാത്മകമായ	ചികിത്സ ഇപ്പോഴും പരീക്ഷണാത്മകമാണ്.
expire	കാലാവധി കഴിയുക	എന്റെ പാസ്‌പോർട്ടിന്റെ കാലാവധി ഉടൻ കഴിയും.
explicit	വ്യക്തമായ	നിർദ്ദേശങ്ങൾ വ്യക്തമായിരുന്നു.
explicitly	വ്യക്തമായി	നിയമങ്ങൾ പുകവലിയെ വ്യക്തമായി വിലക്കുന്നു.
exploitation	ചൂഷണം	തൊഴിലാളികളുടെ ചൂഷണം റിപ്പോർട്ട് തുറന്നുകാട്ടി.
explosive	സ്ഫോടകവസ്തു	സ്ഫോടകവസ്തു സുരക്ഷിതമായി നീക്കം ചെയ്തു.
extremist	തീവ്രവാദി	തീവ്രവാദി ഗ്രൂപ്പിന് പിന്തുണ നഷ്ടപ്പെട്ടു.
facilitate	എളുപ്പമാക്കുക	ആപ്പ് വിദൂര പഠനം എളുപ്പമാക്കും.
faction	വിഭാഗം	ഒരു വിഭാഗം നേതാവിനെ എതിർത്തു.
faculty	അധ്യാപകർ	അധ്യാപകർ നിർദ്ദേശം അംഗീകരിച്ചു.
fade	മങ്ങുക	സൂര്യപ്രകാശത്തിൽ പെയിന്റ് മങ്ങും.
fairness	നീതി	എല്ലാ മത്സരങ്ങളിലും നീതി പ്രധാനമാണ്.
fatal	മാരകമായ	അപകടത്തിൽ മാരകമായ പരിക്കുകൾ സംഭവിച്ചു.
fate	വിധി	അവന്റെ വിധി ആർക്കും അറിയില്ലായിരുന്നു.
favourable	അനുകൂലമായ	അവലോകനം അനുകൂലമായിരുന്നു.
feat	നേട്ടം	ആ കൊടുമുടി കയറുന്നത് ഒരു വലിയ നേട്ടമായിരുന്നു.
feminist	ഫെമിനിസ്റ്റ്	ഫെമിനിസ്റ്റ് പ്രസ്ഥാനം പൊതു ചർച്ചകളെ മാറ്റിമറിച്ചു.
fibre	നാര്	ഈ ബ്രെഡിൽ കൂടുതലായി നാരുകൾ അടങ്ങിയിരിക്കുന്നു.
fierce	ഉഗ്രമായ	ഉഗ്രമായ കാറ്റ് മേൽക്കൂരകൾക്ക് കേടുവരുത്തി.
film-maker	സിനിമാ നിർമ്മാതാവ്	സിനിമാ നിർമ്മാതാവ് പിന്നീട് ചോദ്യങ്ങൾക്ക് മറുപടി നൽകി.
filter	ഫിൽറ്റർ	ഫിൽറ്റർ വായുവിൽ നിന്നുള്ള പൊടി നീക്കം ചെയ്യുന്നു.
fine	പിഴ	കമ്പനി പിഴയടച്ചു.
firearm	തോക്ക്	മോഷ്ടിക്കപ്പെട്ട തോക്ക് ഉദ്യോഗസ്ഥൻ കണ്ടെടുത്തു.
fit	പാകം	പുതിയ ഷൂസുകൾ കൃത്യം പാകമാണ്.
fixture	സ്ഥിരവസ്തു	വിളക്ക് ഒരു സ്ഥിരവസ്തുവാണ്.
flaw	ന്യൂനത	രൂപകൽപ്പനയ്ക്ക് ഒരു ഗുരുതരമായ ന്യൂനതയുണ്ട്.
flawed	ന്യൂനതയുള്ള	ന്യൂനതയുള്ള പഠനം തെറ്റായ ഫലങ്ങൾ നൽകി.
flee	പലായനം ചെയ്യുക	കുടുംബങ്ങൾക്ക് പോരാട്ടത്തിൽ നിന്ന് പലായനം ചെയ്യേണ്ടിവന്നു.
fleet	വാഹനവ്യൂഹം	എയർലൈൻ തങ്ങളുടെ വാഹനവ്യൂഹം പുതുക്കി.
flesh	മാംസം	മുള്ളു് അവന്റെ മാംസത്തിൽ തറച്ചു.
flexibility	വഴക്കം	റിമോട്ട് വർക്ക് കൂടുതൽ വഴക്കം വാഗ്ദാനം ചെയ്യുന്നു.
flourish	തഴച്ചുവളരുക	ചെറുകിട ബിസിനസുകൾക്ക് ഇവിടെ തഴച്ചുവളരാൻ കഴിയും.
fluid	ദ്രാവകം	വ്യായാമത്തിന് ശേഷം ധാരാളം ദ്രാവകം കുടിക്കുക.
footage	ദൃശ്യങ്ങൾ	ദൃശ്യങ്ങൾ അപകടം കാണിച്ചു.
foreigner	വിദേശി	നിങ്ങൾ ഒരു വിദേശിയാണോ എന്ന് ഫോം ചോദിക്കുന്നു.
forge	രൂപപ്പെടുത്തുക	അവർ ഒരു പുതിയ സഖ്യം രൂപപ്പെടുത്താൻ ശ്രമിച്ചു.
