hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
544:才1	才1	才	तभी; अभी-अभी	मुझे अब जाकर समझ आया।	তবেই; এইমাত্র	এখনই আমি বুঝতে পারলাম।	saka lamang; ngayon lang	Ngayon ko lang naintindihan.
548:草地	草地	草地	घास का मैदान; लॉन	बच्चे लॉन पर खेल रहे हैं।	ঘাসের মাঠ; লন	বাচ্চারা ঘাসের মাঠে খেলছে।	damuhan; damuhan sa bakuran	Naglalaro ang mga bata sa damuhan.
550:查	查	查	जाँचना; खोजकर देखना	मैं टिकट का दाम जाँचना चाहता हूँ।	খোঁজা; পরীক্ষা করা	আমি টিকিটের দাম দেখে নিতে চাই।	suriin; hanapin	Gusto kong tingnan ang presyo ng tiket.
554:常	常	常	अक्सर	वह अक्सर उस किताबों की दुकान पर जाता है।	প্রায়ই	সে প্রায়ই ওই বইয়ের দোকানে যায়।	madalas	Madalas siyang pumunta sa tindahang iyon ng libro.
555:常见	常见	常见	आम; अक्सर दिखने वाला	यह एक आम समस्या है।	সাধারণ; প্রায়ই দেখা যায়	এটি একটি সাধারণ সমস্যা।	karaniwan; madalas makita	Karaniwang problema ito.
556:常用	常用	常用	अक्सर इस्तेमाल होने वाला	फोन एक अक्सर इस्तेमाल होने वाला साधन है।	বহুল ব্যবহৃত	ফোন একটি বহুল ব্যবহৃত যন্ত্র।	madalas gamitin	Madalas gamitin na kasangkapan ang telepono.
557:常常	常常	常常	अक्सर; बार-बार	मैं अक्सर शाम को किताब पढ़ता हूँ।	প্রায়ই; বারবার	আমি প্রায়ই রাতে বই পড়ি।	madalas; palagi	Madalas akong magbasa sa gabi.
564:出院	出院	出院	अस्पताल से छुट्टी पाना	वह आज अस्पताल से घर जा सकता है।	হাসপাতাল থেকে ছাড়া পাওয়া	সে আজ হাসপাতাল থেকে ছাড়া পেতে পারে।	lumabas sa ospital	Maaari na siyang lumabas sa ospital ngayon.
565:初中	初中	初中	मिडिल स्कूल	मेरी छोटी बहन मिडिल स्कूल में पढ़ती है।	জুনিয়র হাই স্কুল	আমার ছোট বোন জুনিয়র হাই স্কুলে পড়ে।	panggitnang paaralan	Nag-aaral sa panggitnang paaralan ang nakababata kong kapatid na babae.
568:春天	春天	春天	वसंत	वसंत आ गया है और फूल खिल गए हैं।	বসন্ত	বসন্ত এসেছে, ফুল ফুটেছে।	tagsibol	Dumating na ang tagsibol, at namukadkad na ang mga bulaklak.
574:大人	大人	大人	वयस्क	बड़े लोग बैठक में बातें कर रहे हैं।	প্রাপ্তবয়স্ক	বড়রা বসার ঘরে কথা বলছে।	matanda; nasa hustong gulang	Nag-uusap ang mga matatanda sa sala.
575:大小	大小	大小	आकार	इन दोनों कपड़ों का आकार एक जैसा है।	আকার	এই দুটো পোশাকের আকার এক।	laki	Magkasinglaki ang dalawang damit na ito.
576:大熊猫	大熊猫	大熊猫	विशाल पांडा	विशाल पांडा बाँस खा रहा है।	বড় পান্ডা	বড় পান্ডাটি বাঁশ খাচ্ছে।	higanteng panda	Kumakain ng kawayan ang higanteng panda.
577:大衣	大衣	大衣	ओवरकोट; लंबा कोट	ठंड है, इसलिए मैंने कोट पहन लिया।	ওভারকোট; লম্বা কোট	ঠান্ডা, তাই আমি কোট পরেছি।	makapal na amerikana	Lumamig, kaya nagsuot ako ng makapal na amerikana.
583:得	得	得	पाना; हासिल करना	उसने मेहनत से पढ़ाई की और आखिर में ऊँचे अंक पाए।	পাওয়া; অর্জন করা	সে মন দিয়ে পড়ে শেষ পর্যন্ত ভালো নম্বর পেল।	makuha; makamit	Nag-aral siya nang mabuti at nakakuha ng mataas na marka.
584:得到	得到	得到	पाना; प्राप्त करना	मुझे शिक्षक की मदद मिली।	পাওয়া; গ্রহণ করা	আমি শিক্ষকের সাহায্য পেয়েছি।	makuha; makatanggap	Nakatanggap ako ng tulong mula sa guro.
585:得分	得分	得分	अंक पाना; स्कोर	इस मैच में उसने सबसे ज़्यादा अंक पाए।	স্কোর করা; নম্বর	এই খেলায় সে সবচেয়ে বেশি পয়েন্ট করেছে।	pumuntos; iskor	Siya ang may pinakamataas na puntos sa larong ito.
586:的话	的话	的话	अगर; उस हालत में	अगर तुम्हारे पास समय हो तो हम साथ चलते हैं।	যদি; সে ক্ষেত্রে	যদি তোমার সময় থাকে, আমরা একসঙ্গে যাই।	kung; kung ganoon	Kung may oras ka, sabay tayong pumunta.
589:地	地	地	ज़मीन; भूमि	इस ज़मीन पर सब्ज़ियाँ उगाई जा सकती हैं।	জমি; মাটি	এই জমিতে সবজি চাষ করা যায়।	lupa; lupain	Maaaring magtanim ng gulay sa lupang ito.
593:电	电	电	बिजली	कमरे में बिजली नहीं है।	বিদ্যুৎ	ঘরে বিদ্যুৎ নেই।	kuryente	Walang kuryente sa kuwarto.
595:电子书	电子书	电子书	ई-पुस्तक	मैं फोन पर ई-पुस्तक पढ़ता हूँ।	ই-বই	আমি ফোনে ই-বই পড়ি।	aklat na elektroniko	Nagbabasa ako ng aklat na elektroniko sa telepono.
598:东北	东北	东北	उत्तर-पूर्व	मेरा घर शहर के उत्तर-पूर्व में है।	উত্তর-পূর্ব	আমার বাড়ি শহরের উত্তর-পূর্বে।	hilagang-silangan	Nasa hilagang-silangan ng lungsod ang bahay ko.
599:东方	东方	东方	पूर्व; पूरब	सूरज पूर्व से निकलता है।	পূর্ব; প্রাচ্য	সূর্য পূর্ব দিক থেকে ওঠে।	silangan; Silangan	Sumisikat ang araw sa silangan.
600:东南	东南	东南	दक्षिण-पूर्व	स्कूल शहर के दक्षिण-पूर्व में है।	দক্ষিণ-পূর্ব	স্কুলটি শহরের দক্ষিণ-পূর্বে।	timog-silangan	Nasa timog-silangan ng lungsod ang paaralan.
601:冬天	冬天	冬天	सर्दी; शीतकाल	सर्दियों में यहाँ बहुत ठंड होती है।	শীতকাল	শীতে এখানে খুব ঠান্ডা।	taglamig	Napakalamig dito sa taglamig.
602:懂得	懂得	懂得	जानना; समझना	वह दूसरों की देखभाल करना जानता है।	জানা; বোঝা	সে অন্যদের যত্ন নিতে জানে।	maalam; makaunawa	Marunong siyang mag-alaga ng iba.
604:动物园	动物园	动物园	चिड़ियाघर	सप्ताहांत में हम चिड़ियाघर जाएँगे।	চিড়িয়াখানা	সপ্তাহান্তে আমরা চিড়িয়াখানায় যাব।	zoo; hayupan	Pupunta kami sa zoo sa katapusan ng linggo.
606:短裤	短裤	短裤	निकर; शॉर्ट्स	गर्मियों में मैं अक्सर निकर पहनता हूँ।	হাফপ্যান্ট	গরমে আমি প্রায়ই হাফপ্যান্ট পরি।	shorts; maikling pantalon	Madalas akong magsuot ng shorts tuwing tag-init.
611:而且	而且	而且	और; इसके अलावा	यह दुकान सस्ती है और सेवा भी अच्छी है।	আর; তাছাড়া	এই দোকানটি সস্তা, আর সেবাও ভালো।	at; saka	Mura ang tindahang ito, at maganda ang serbisyo.
613:耳机	耳机	耳机	इयरफ़ोन; हेडफ़ोन	मेरे इयरफ़ोन मेज़ पर हैं।	ইয়ারফোন; হেডফোন	আমার ইয়ারফোন টেবিলে আছে।	pantinig sa tainga	Nasa mesa ang pantinig sa tainga ko.
620:方便面	方便面	方便面	इंस्टेंट नूडल्स	मैं कभी-कभी इंस्टेंट नूडल्स खाता हूँ।	ইনস্ট্যান্ট নুডলস	আমি মাঝেমধ্যে ইনস্ট্যান্ট নুডলস খাই।	pansit na mabilis lutuin	Paminsan-minsan akong kumakain ng pansit na mabilis lutuin.
623:房子	房子	房子	घर; अपार्टमेंट	यह अपार्टमेंट बहुत साफ़ है।	বাড়ি; ফ্ল্যাট	এই ফ্ল্যাটটি খুব পরিষ্কার।	bahay; apartment	Malinis ang apartment na ito.
625:放假	放假	放假	छुट्टी होना	अगले सप्ताह हमें तीन दिन की छुट्टी है।	ছুটি হওয়া	আগামী সপ্তাহে আমাদের তিন দিনের ছুটি।	magbakasyon; magkaroon ng pahinga	May tatlong araw kaming pahinga sa susunod na linggo.
627:放学	放学	放学	स्कूल की छुट्टी होना	स्कूल के बाद मैं पुस्तकालय जाता हूँ।	স্কুল ছুটি হওয়া	স্কুল ছুটির পর আমি লাইব্রেরিতে যাই।	matapos ang klase	Pagkatapos ng klase, pumupunta ako sa aklatan.
628:分开	分开	分开	अलग करना	कृपया इन किताबों को अलग कर दो।	আলাদা করা	দয়া করে বইগুলো আলাদা করো।	paghiwalayin	Paghiwalayin mo ang mga librong ito.
629:风	风	风	हवा; पवन	आज तेज़ हवा चल रही है।	হাওয়া; বাতাস	আজ জোরে বাতাস বইছে।	hangin	Malakas ang hangin ngayon.
630:封	封	封	पत्रों के लिए माप-शब्द	मुझे एक पत्र मिला।	চিঠির গণনাবাচক শব্দ	আমি একটি চিঠি পেয়েছি।	pangbilang para sa liham	Nakatanggap ako ng isang liham.
631:夫妻	夫妻	夫妻	पति-पत्नी; दंपति	यह दंपति बहुत मिलनसार है।	স্বামী-স্ত্রী; দম্পতি	এই দম্পতি খুব বন্ধুসুলভ।	mag-asawa; magkapareha	Mabait ang mag-asawang ito.
632:服务	服务	服务	सेवा करना; सेवा	इस रेस्तराँ की सेवा बहुत अच्छी है।	সেবা করা; সেবা	এই রেস্তোরাঁর সেবা খুব ভালো।	serbisyo; maglingkod	Maganda ang serbisyo sa restawrang ito.
635:该1	该1	该	चाहिए; समय हो गया	अब हमें चलना चाहिए।	উচিত; সময় হয়েছে	এখন আমাদের যাওয়া উচিত।	dapat; oras na	Dapat na tayong umalis ngayon.
638:感到	感到	感到	महसूस करना	मुझे थोड़ा थकान महसूस हो रही है।	অনুভব করা	আমার একটু ক্লান্ত লাগছে।	maramdaman	Nakakaramdam ako ng kaunting pagod.
643:刚刚	刚刚	刚刚	अभी-अभी	वह अभी-अभी कक्षा से निकला है।	এইমাত্র	সে এইমাত্র শ্রেণিকক্ষ থেকে বের হয়েছে।	kakaraan lang; ngayon lang	Ngayon lang siya umalis sa silid-aralan.
644:高铁	高铁	高铁	तेज़ रेल; हाई-स्पीड ट्रेन	मैं कल तेज़ ट्रेन से बीजिंग जाऊँगा।	দ্রুতগতির রেল; হাই-স্পিড ট্রেন	আমি কাল দ্রুতগতির ট্রেনে বেইজিং যাব।	mabilis na tren	Bukas sasakay ako ng mabilis na tren papuntang Beijing.
649:工作日	工作日	工作日	कार्यदिवस	कार्यदिवसों में मैं सुबह सात बजे उठता हूँ।	কর্মদিবস	কর্মদিবসে আমি সকাল সাতটায় উঠি।	araw ng trabaho	Sa araw ng trabaho, bumabangon ako nang alas siyete ng umaga.
651:刮	刮	刮	बहना; खुरचना	बाहर तेज़ हवा चल रही है।	বওয়া; ঘষে তোলা	বাইরে জোরে বাতাস বইছে।	umihip; kumayod	Malakas ang ihip ng hangin sa labas.
653:关机	关机	关机	बंद करना; शट डाउन करना	कक्षा में कृपया फोन बंद कर दें।	বন্ধ করা; শাট ডাউন করা	ক্লাসে দয়া করে ফোন বন্ধ রাখো।	patayin; isara	Patayin ang telepono habang may klase.
657:关注	关注	关注	ध्यान देना; फ़ॉलो करना	मैं बच्चे की पढ़ाई पर बहुत ध्यान देता हूँ।	মনোযোগ দেওয়া; অনুসরণ করা	আমি সন্তানের পড়াশোনায় খুব মনোযোগ দিই।	bigyang-pansin; subaybayan	Binibigyan ko ng pansin ang pag-aaral ng anak ko.
659:过节	过节	过节	त्योहार मनाना	त्योहार पर घर बहुत रौनकदार होता है।	উৎসব পালন করা	উৎসবের সময় বাড়ি খুব জমজমাট থাকে।	magdiwang ng pista	Masaya sa bahay kapag nagdiriwang ng pista.
661:海	海	海	समुद्र	मैं समुद्र किनारे यात्रा करना चाहता हूँ।	সমুদ্র	আমি সমুদ্রের ধারে ভ্রমণ করতে চাই।	dagat	Gusto kong maglakbay sa tabing-dagat.
663:好多	好多	好多	बहुत; कई	दुकान में बहुत-सी नई किताबें हैं।	অনেক	দোকানে অনেক নতুন বই আছে।	marami	Maraming bagong libro sa tindahan.
664:好久	好久	好久	बहुत समय	हम बहुत समय से नहीं मिले।	অনেক দিন	আমাদের অনেক দিন দেখা হয়নি।	matagal	Matagal na tayong hindi nagkita.
667:河	河	河	नदी	यह नदी बहुत चौड़ी है।	নদী	এই নদীটি খুব চওড়া।	ilog	Malapad ang ilog na ito.
670:红绿灯	红绿灯	红绿灯	ट्रैफ़िक लाइट	सड़क पार करते समय ट्रैफ़िक लाइट देखो।	ট্রাফিক লাইট	রাস্তা পার হওয়ার সময় ট্রাফিক লাইট দেখো।	ilaw-trapiko	Tingnan ang ilaw-trapiko kapag tatawid ng kalsada.
672:后年	后年	后年	परसों वाला साल; अगले साल के बाद	अगले साल के बाद मैं चीन पढ़ने जाना चाहता हूँ।	পরের বছরের পরের বছর	পরের বছরের পরের বছর আমি চীনে পড়তে যেতে চাই।	taon pagkatapos ng susunod	Sa taon pagkatapos ng susunod, gusto kong mag-aral sa China.
673:后天	后天	后天	परसों	परसों हमारी परीक्षा है।	পরশু	পরশু আমাদের পরীক্ষা আছে।	makalawa	May pagsusulit kami makalawa.
675:花园	花园	花园	बगीचा	बगीचे में बहुत सारे फूल हैं।	বাগান	বাগানে অনেক ফুল আছে।	hardin	Maraming bulaklak sa hardin.
676:画家	画家	画家	चित्रकार; कलाकार	यह चित्रकार बहुत प्रसिद्ध है।	চিত্রকর; শিল্পী	এই চিত্রকর খুব বিখ্যাত।	pintor; alagad ng sining	Sikat ang pintor na ito.
681:黄色	黄色	黄色	पीला रंग	मैंने एक पीला ऊपरी कपड़ा खरीदा।	হলুদ রং	আমি একটি হলুদ জামা কিনেছি।	dilaw na kulay	Bumili ako ng dilaw na pang-itaas.
685:或	或	或	या	तुम गाड़ी से या पैदल जा सकते हो।	অথবা	তুমি গাড়িতে বা হেঁটে যেতে পারো।	o	Maaari kang sumakay o maglakad.
687:鸡	鸡	鸡	मुर्गी; चिकन	दादी के घर में कुछ मुर्गियाँ हैं।	মুরগি	দিদার বাড়িতে কয়েকটি মুরগি আছে।	manok	May ilang manok sa bahay ni Lola.
691:急	急	急	बेचैन; ज़रूरी	घबराओ मत, गाड़ी अभी नहीं आई है।	অস্থির; জরুরি	অস্থির হয়ো না, গাড়ি এখনো আসেনি।	nag-aalala; apurahan	Huwag kang mag-alala, hindi pa dumarating ang sasakyan.
692:记	记	记	याद रखना; लिख लेना	कृपया मेरा फोन नंबर लिख लो।	মনে রাখা; লিখে রাখা	দয়া করে আমার ফোন নম্বর লিখে রাখো।	tandaan; isulat	Isulat mo ang numero ng telepono ko.
693:季	季	季	मौसम; ऋतु	एक साल में चार ऋतुएँ होती हैं।	ঋতু	এক বছরে চারটি ঋতু আছে।	panahon; season	May apat na panahon sa isang taon.
695:加	加	加	जोड़ना; मिलाना	कृपया मेरे लिए थोड़ा पानी और डाल दें।	যোগ করা; বাড়ানো	দয়া করে আমার জন্য একটু জল যোগ করো।	dagdagan; idagdag	Dagdagan mo ako ng kaunting tubig.
696:假期	假期	假期	छुट्टी; अवकाश	छुट्टियों में मैं आराम करना चाहता हूँ।	ছুটি; অবকাশ	ছুটিতে আমি বিশ্রাম নিতে চাই।	bakasyon; pahinga	Gusto kong magpahinga sa bakasyon.
700:检票	检票	检票	टिकट जाँचना	स्टेशन में प्रवेश से पहले टिकट जाँचना होता है।	টিকিট পরীক্ষা করা	স্টেশনে ঢোকার আগে টিকিট পরীক্ষা করতে হয়।	suriin ang tiket	Kailangang suriin ang tiket bago pumasok sa istasyon.
707:街	街	街	सड़क; गली	यह सड़क बहुत चहल-पहल वाली है।	রাস্তা; সড়ক	এই রাস্তাটি খুব জমজমাট।	kalye	Masigla ang kalyeng ito.
714:姐妹	姐妹	姐妹	बहनें	वे दोनों बहनें हैं।	বোনেরা	তারা দুই বোন।	magkapatid na babae	Magkapatid na babae sila.
716:斤	斤	斤	जिन; आधा किलो की इकाई	मैंने लगभग एक किलो सेब खरीदे।	জিন; আধা কিলোর একক	আমি প্রায় এক কেজি আপেল কিনেছি।	jin; yunit na kalahating kilo	Bumili ako ng halos isang kilo ng mansanas.
720:酒	酒	酒	शराब	पिताजी रात को शराब नहीं पीते।	মদ; অ্যালকোহল	বাবা রাতে মদ খান না।	alak	Hindi umiinom ng alak si Tatay sa gabi.
722:句	句	句	वाक्य; वाक्यों का माप-शब्द	कृपया एक वाक्य और कहो।	বাক্য; বাক্যের গণনাবাচক শব্দ	দয়া করে আরও একটি বাক্য বলো।	pangungusap; pangbilang ng pangungusap	Magsabi ka pa ng isang pangungusap.
725:卡	卡	卡	कार्ड	मेरा कार्ड बैग में है।	কার্ড	আমার কার্ড ব্যাগে আছে।	tarheta	Nasa bag ang tarheta ko.
726:开花	开花	开花	फूलना; खिलना	वसंत में पेड़ों पर फूल खिलते हैं।	ফুল ফোটা	বসন্তে গাছে ফুল ফোটে।	mamulaklak	Namumulaklak ang mga puno sa tagsibol.
727:开会	开会	开会	मीटिंग करना	दोपहर तीन बजे मेरी मीटिंग है।	সভা করা	বিকেল তিনটায় আমার সভা আছে।	magpulong	May pulong ako ng alas tres ng hapon.
728:开机	开机	开机	चालू करना; स्टार्ट करना	कंप्यूटर बहुत धीरे चालू होता है।	চালু করা	কম্পিউটারটি খুব ধীরে চালু হয়।	buksan; paandarin	Mabagal magbukas ang kompyuter.
730:看来	看来	看来	लगता है; प्रतीत होता है	लगता है आज बारिश होगी।	মনে হচ্ছে	মনে হচ্ছে আজ বৃষ্টি হবে।	tila; mukhang	Mukhang uulan ngayon.
731:可	可	可	वाकई; बहुत	वह वाकई बहुत खुश है।	সত্যিই; খুব	সে সত্যিই খুব খুশি।	talaga; napaka	Talagang masaya siya.
736:课本	课本	课本	पाठ्यपुस्तक	कृपया पाठ्यपुस्तक खोलो।	পাঠ্যবই	দয়া করে পাঠ্যবই খুলে দাও।	aklat-aralin	Buksan mo ang aklat-aralin.
738:课文	课文	课文	पाठ; पाठ का लेख	यह पाठ कठिन नहीं है।	পাঠ্যাংশ; পাঠ	এই পাঠ্যাংশ কঠিন নয়।	teksto ng aralin	Hindi mahirap ang tekstong ito ng aralin.
746:老人	老人	老人	बुज़ुर्ग व्यक्ति	इस बुज़ुर्ग व्यक्ति को मदद चाहिए।	বয়স্ক মানুষ	এই বয়স্ক মানুষটির সাহায্য দরকার।	nakatatanda	Kailangan ng tulong ng nakatatandang ito.
751:练	练	练	अभ्यास करना	मैं रोज़ चीनी का अभ्यास करता हूँ।	অনুশীলন করা	আমি প্রতিদিন চীনা অনুশীলন করি।	magsanay	Araw-araw akong nagsasanay ng Chinese.
755:聊	聊	聊	बातचीत करना	मैं तुमसे थोड़ी बातचीत करना चाहता हूँ।	আড্ডা দেওয়া; কথা বলা	আমি তোমার সঙ্গে একটু কথা বলতে চাই।	magkuwentuhan	Gusto kong makipagkuwentuhan sa iyo.
756:聊天儿	聊天儿	聊天儿	गपशप करना; बातचीत करना	हम रात में साथ बैठकर बातें करते हैं।	আড্ডা দেওয়া	আমরা রাতে একসঙ্গে আড্ডা দিই।	magkuwentuhan	Magkasama kaming nagkukuwentuhan sa gabi.
760:留学生	留学生	留学生	विदेशी छात्र	वह जापान से आया विदेशी छात्र है।	বিদেশি ছাত্র	সে জাপান থেকে আসা বিদেশি ছাত্র।	dayuhang estudyante	Dayuhang estudyante siya mula sa Japan.
761:楼梯	楼梯	楼梯	सीढ़ियाँ	कृपया सीढ़ियों से ऊपर जाओ।	সিঁড়ি	দয়া করে সিঁড়ি দিয়ে ওপরে যাও।	hagdan	Umakyat ka sa hagdan.
762:路边	路边	路边	सड़क किनारा	उसने गाड़ी सड़क किनारे खड़ी की।	রাস্তার ধারে	সে রাস্তার ধারে গাড়ি দাঁড় করিয়েছে।	tabing-daan	Ipinarada niya ang kotse sa tabing-daan.
763:路口	路口	路口	चौराहा	मैं चौराहे पर तुम्हारा इंतज़ार कर रहा हूँ।	মোড়; রাস্তার সংযোগস্থল	আমি মোড়ে তোমার অপেক্ষা করছি।	interseksyon; kanto	Hinihintay kita sa kanto.
765:马路	马路	马路	सड़क	सड़क पार करते समय सावधान रहो।	রাস্তা	রাস্তা পার হওয়ার সময় সাবধান হও।	kalsada	Mag-ingat kapag tatawid ng kalsada.
770:面前	面前	面前	सामने	शिक्षक छात्रों के सामने खड़े हैं।	সামনে	শিক্ষক ছাত্রদের সামনে দাঁড়িয়ে আছেন।	harap	Nakatayo ang guro sa harap ng mga estudyante.
772:名单	名单	名单	नामों की सूची	कृपया अपना नाम सूची में लिखो।	নামের তালিকা	দয়া করে তালিকায় তোমার নাম লেখো।	listahan ng pangalan	Isulat mo ang pangalan mo sa listahan.
773:名人	名人	名人	प्रसिद्ध व्यक्ति	इस शहर में कई प्रसिद्ध लोग हैं।	বিখ্যাত ব্যক্তি	এই শহরে অনেক বিখ্যাত মানুষ আছে।	sikat na tao	Maraming sikat na tao sa lungsod na ito.
776:南方	南方	南方	दक्षिण; दक्षिणी क्षेत्र	दक्षिण की सर्दी बहुत ठंडी नहीं होती।	দক্ষিণ; দক্ষিণাঞ্চল	দক্ষিণের শীত খুব ঠান্ডা নয়।	timog; katimugang lugar	Hindi gaanong malamig ang taglamig sa timog.
778:难看	难看	难看	बदसूरत; देखने में खराब	यह कपड़ा थोड़ा बदसूरत है।	কুৎসিত; দেখতে খারাপ	এই পোশাকটি একটু কুৎসিত।	pangit; hindi kaaya-aya	Medyo pangit ang damit na ito.
780:男生	男生	男生	लड़का छात्र	वह लड़का बास्केटबॉल खेल रहा है।	ছাত্র; ছেলে	ওই ছেলে বাস্কেটবল খেলছে।	lalaking estudyante; batang lalaki	Naglalaro ng basketbol ang batang lalaking iyon.
781:难题	难题	难题	कठिन समस्या	मैं यह कठिन सवाल हल नहीं कर सकता।	কঠিন সমস্যা	এই কঠিন সমস্যাটি আমি সমাধান করতে পারি না।	mahirap na suliranin	Hindi ko masagot ang mahirap na problemang ito.
782:难听	难听	难听	सुनने में खराब	यह आवाज़ सुनने में बहुत खराब है।	শুনতে খারাপ	এই শব্দটি শুনতে খারাপ লাগে।	masakit pakinggan; hindi maganda ang tunog	Hindi magandang pakinggan ang tunog na ito.
785:牛	牛	牛	गाय; बैल	यह गाय बहुत बड़ी है।	গরু; বলদ	এই গরুটি খুব বড়।	baka; kalabaw	Malaki ang bakang ito.
788:女生	女生	女生	छात्रा; लड़की	यह लड़की बहुत अच्छा गाती है।	ছাত্রী; মেয়ে	এই মেয়েটি খুব ভালো গান গায়।	babaeng estudyante; batang babae	Magaling kumanta ang batang babaeng ito.
789:爬	爬	爬	चढ़ना	बच्चा सीढ़ियाँ चढ़ रहा है।	ওঠা; বেয়ে ওঠা	শিশুটি সিঁড়ি বেয়ে উঠছে।	umakyat	Umakyat sa hagdan ang bata.
790:怕	怕	怕	डरना	मुझे अँधेरे से डर लगता है।	ভয় পাওয়া	আমি অন্ধকারে ভয় পাই।	matako	Takot ako sa dilim.
791:拍照	拍照	拍照	फोटो लेना	वे पार्क में फोटो ले रहे हैं।	ছবি তোলা	তারা পার্কে ছবি তুলছে।	kumuha ng litrato	Kumukuha sila ng litrato sa parke.
