source_headword	TA	example_TA
immediately	உடனே	உடனே இங்கே வா.
impossible	சாத்தியமற்ற	இந்த புதிர் சாத்தியமற்றதாக தோன்றுகிறது.
included	உள்ளடங்கிய	காலை உணவு உள்ளடங்கியுள்ளது.
including	உட்பட	என்னை உட்பட பத்து பேர் வந்தனர்.
increase	அதிகரி	கோடையில் விலைகள் அதிகரிக்கும்.
incredible	நம்ப முடியாத	காட்சி நம்ப முடியாததாக இருந்தது.
independent	சுயாதீனமான	என் சகோதரி சுயாதீனமானவர்.
individual	தனிநபர்	ஒவ்வொரு தனிநபருக்கும் ஒரு எண் உள்ளது.
industry	தொழில்	உள்ளூர் தொழில் வளர்கிறது.
informal	முறையற்ற	இந்த மின்னஞ்சல் முறையற்றது.
injury	காயம்	அவனுடைய காயம் கடுமையாக இல்லை.
insect	பூச்சி	ஒரு பூச்சி கோப்பையில் அமர்ந்தது.
inside	உள்ளே	வீட்டுக்குள் காத்திரு.
instead	அதற்குப் பதிலாக	அதற்குப் பதிலாக தண்ணீர் குடி.
instruction	வழிமுறை	ஒவ்வொரு வழிமுறையையும் கவனமாக படி.
instructor	பயிற்றுவிப்பாளர்	பயிற்றுவிப்பாளர் பயிற்சியை விளக்கினார்.
instrument	கருவி	அவள் ஒரு இசைக் கருவி வாசிக்கிறாள்.
intelligent	புத்திசாலி	அவன் ஒரு புத்திசாலி மாணவன்.
international	சர்வதேச	இது ஒரு சர்வதேச விமான நிலையம்.
introduction	அறிமுகம்	அறிமுகம் குறுகியதாக இருந்தது.
invent	கண்டுபிடி	குழந்தைகள் புதிய விளையாட்டுகளை கண்டுபிடிக்கலாம்.
invention	கண்டுபிடிப்பு	கண்டுபிடிப்பு நேரத்தை சேமித்தது.
invitation	அழைப்பு	எனக்கு ஒரு அழைப்பு வந்தது.
invite	அழை	உன் நண்பரையும் அழை.
involve	உள்ளடக்கு	இந்த வேலை பயணத்தை உள்ளடக்கும்.
item	பொருள்	ஒரு பொருளை தேர்ந்தெடு.
itself	அதுவே	இயந்திரம் அதுவே அணைகிறது.
jam	ஜாம்	ரொட்டியில் ஜாம் தடவு.
jazz	ஜாஸ்	இன்றிரவு ஜாஸ் நன்றாக கேட்கிறது.
jewellery	நகைகள்	அவள் நகைகளை பெட்டியில் வைக்கிறாள்.
joke	நகைச்சுவை	எனக்கு ஒரு நகைச்சுவை சொல்.
journalist	பத்திரிகையாளர்	பத்திரிகையாளர் கேள்விகள் கேட்டார்.
jump	குதி	கோட்டைக் கடந்து குதி.
kid	குழந்தை	குழந்தை சிரிக்கிறது.
kill	கொல்	பூச்சியை கொல்லாதே.
king	ராஜா	ராஜா அரண்மனையில் வாழ்ந்தார்.
knee	முழங்கால்	என் முழங்கால் வலிக்கிறது.
knife	கத்தி	கூர்மையான கத்தியை பயன்படுத்து.
knock	தட்டு	உள்ளே வருவதற்கு முன் தட்டு.
knowledge	அறிவு	பயிற்சியால் அறிவு வளர்கிறது.
lab	ஆய்வகம்	ஆய்வகம் மூடப்பட்டுள்ளது.
lady	பெண்	அந்த பெண் எங்களைப் பார்த்து சிரித்தார்.
lake	ஏரி	ஏரி அமைதியாக உள்ளது.
lamp	விளக்கு	விளக்கை ஏற்று.
laptop	மடிக்கணினி	என் மடிக்கணினி புதியது.
last1 (taking time)	நீடிக்க	திரைப்படம் இரண்டு மணி நேரம் நீடிக்கும்.
laughter	சிரிப்பு	வெளியில் சிரிப்பு கேட்டது.
law	சட்டம்	சட்டம் நேற்று மாறியது.
lawyer	வழக்கறிஞர்	வழக்கறிஞர் என்னை அழைத்தார்.
lazy	சோம்பேறி	சோம்பேறியாக இருக்காதே.
lead1	வழிநடத்து	நல்ல தலைவர்கள் எடுத்துக்காட்டால் வழிநடத்துகிறார்கள்.
leader	தலைவர்	அவள் அணியின் தலைவர்.
learning	கற்றல்	கற்றலுக்கு நேரம் தேவை.
least	குறைந்த	குறைந்த விலை உள்ளதை தேர்ந்தெடு.
lecture	சொற்பொழிவு	சொற்பொழிவு பத்து மணிக்கு தொடங்கும்.
lemon	எலுமிச்சை	தேநீரில் எலுமிச்சை சேர்க்கவும்.
lend	கடன் கொடு	எனக்கு ஐந்து டாலர் கடன் கொடுக்க முடியுமா?
less	குறைவு	சர்க்கரை குறைவாக சாப்பிடு.
level	நிலை	இந்த நிலை எளிது.
lifestyle	வாழ்க்கை முறை	அவனுக்கு ஆரோக்கியமான வாழ்க்கை முறை உள்ளது.
lift	தூக்கு	பெட்டியை கவனமாக தூக்கு.
light	ஏற்று	மெழுகுவர்த்தியை கவனமாக ஏற்று.
light (not heavy)	இலகுவான	இந்த பை இலகுவானது.
likely	சாத்தியமான	நாளை மழை பெய்ய வாய்ப்பு உள்ளது.
link	இணைப்பு	எனக்கு இணைப்பை அனுப்பு.
listener	கேட்பவர்	நல்ல கேட்பவராக இரு.
lock	பூட்டு	கதவை பூட்டு.
lorry	லாரி	லாரி பெட்டிகளை எடுத்துச் சென்றது.
lost	தொலைந்த	நாங்கள் வழி தொலைந்தோம்.
loud	சத்தமான	இசை சத்தமாக உள்ளது.
loudly	சத்தமாக	தயவுசெய்து சத்தமாக பேசாதே.
lovely	அழகான	எவ்வளவு அழகான தோட்டம்.
low	குறைந்த	நாற்காலி குறைந்த உயரத்தில் உள்ளது.
luck	அதிர்ஷ்டம்	உன் தேர்வுக்கு நல்ல அதிர்ஷ்டம்.
lucky	அதிர்ஷ்டசாலி	நீ இன்று அதிர்ஷ்டசாலி.
mail	அஞ்சல்	இன்று காலை எனக்கு அஞ்சல் வந்தது.
major	முக்கிய	இது ஒரு முக்கிய பிரச்சினை.
male	ஆண்	ஆண் பறவை பிரகாசமாக உள்ளது.
manage	நிர்வகி	இந்த பணியை நீ நிர்வகிக்க முடியுமா?
manager	மேலாளர்	மேலாளர் பிஸியாக உள்ளார்.
manner	முறை	மரியாதையான முறையில் பேசு.
mark	குறி	உன் பதிலை தெளிவாக குறி.
marry	திருமணம் செய்	அவர்கள் ஜூனில் திருமணம் செய்வார்கள்.
material	பொருள்	இந்த பொருள் மென்மையாக உணரப்படுகிறது.
mathematics	கணிதம்	கணிதம் எனக்கு பிடித்த பாடம்.
maths	கணிதம்	கணிதம் எனக்கு கடினம்.
matter	விஷயம்	அது முக்கியமில்லை.
may modal	முடியும்	நீ இப்போது செல்லலாம்.
media	ஊடகம்	ஊடகம் கதையை செய்தியாக வெளியிட்டது.
medical	மருத்துவ	அவளுக்கு மருத்துவ உதவி தேவை.
medicine	மருந்து	மதிய உணவுக்குப் பிறகு இந்த மருந்தை எடு.
memory	நினைவு	என் நினைவு நல்லது.
mention	குறிப்பிடு	என் பெயரை குறிப்பிடாதே.
metal	உலோகம்	வாசல் உலோகத்தால் ஆனது.
method	முறை	இந்த முறை நன்றாக செயல்படுகிறது.
middle	நடு	நடுவில் நில்.
might modal	இருக்கலாம்	பின்னர் மழை பெய்யலாம்.
mind	மனம்	நான் என் மனதை மாற்றினேன்.
mine (belongs to me)	என்னுடையது	இந்த புத்தகம் என்னுடையது.
mirror	கண்ணாடி	கண்ணாடியில் பார்.
missing	காணாமல் போன	என் சாவிகள் காணாமல் போயுள்ளன.
mobile	கைபேசி	என் கைபேசி மேசையில் உள்ளது.
monkey	குரங்கு	குரங்கு மரத்தில் ஏறியது.
moon	நிலா	நிலா பிரகாசமாக உள்ளது.
mostly	பெரும்பாலும்	வகுப்பு பெரும்பாலும் அமைதியாக உள்ளது.
motorcycle	மோட்டார் சைக்கிள்	அவன் மோட்டார் சைக்கிள் ஓட்டுகிறான்.
movement	அசைவு	மரங்களுக்குள் அசைவை பார்த்தேன்.
musical	இசை சார்ந்த	இது ஒரு இசை சார்ந்த திரைப்படம்.
musician	இசைக்கலைஞர்	இசைக்கலைஞர் கிடார் வாசித்தார்.
myself	நானே	நானே இதை செய்தேன்.
narrow	குறுகிய	சாலை குறுகியது.
national	தேசிய	இது ஒரு தேசிய விடுமுறை நாள்.
nature	இயற்கை	எனக்கு இயற்கை பிடிக்கும்.
nearly	கிட்டத்தட்ட	நாங்கள் கிட்டத்தட்ட அங்கே இருக்கிறோம்.
necessary	தேவையான	இது தேவையா?
neck	கழுத்து	என் கழுத்து வலிக்கிறது.
neither	இரண்டிலும் இல்லை	இரண்டு பதில்களிலும் எதுவும் சரியல்ல.
nervous	பதட்டமான	அவள் பதட்டமாக உணர்கிறாள்.
network	வலைப்பின்னல்	வலைப்பின்னல் செயல்படவில்லை.
noise	சத்தம்	நான் ஒரு பெரிய சத்தம் கேட்டேன்.
noisy	சத்தமான	தெரு சத்தமாக உள்ளது.
none	யாருமில்லை	அவர்களில் யாரும் வரவில்லை.
normal	இயல்பான	இது இயல்பானது.
normally	பொதுவாக	நான் பொதுவாக சீக்கிரம் எழுவேன்.
notice	கவனிக்க	நீ அந்த குறியை கவனித்தாயா?
novel	நாவல்	அவள் ஒரு நாவல் எழுதினாள்.
nowhere	எங்கும் இல்லை	உட்கார எங்கும் இல்லை.
nut	கொட்டை	கொட்டை கடினமாக உள்ளது.
ocean	பெருங்கடல்	பெருங்கடல் ஆழமானது.
offer	சலுகை	நான் சலுகையை ஏற்றுக்கொண்டேன்.
officer	அதிகாரி	அதிகாரி என் டிக்கெட்டை பார்த்தார்.
oil	எண்ணெய்	பானில் எண்ணெய் சேர்க்கவும்.
onto	மேல்	அதை அலமாரியின் மேல் வை.
opportunity	வாய்ப்பு	இது ஒரு நல்ல வாய்ப்பு.
option	விருப்பம்	சிறந்த விருப்பத்தை தேர்ந்தெடு.
ordinary	சாதாரண	அது ஒரு சாதாரண நாள்.
organization	அமைப்பு	அமைப்பு மாணவர்களுக்கு உதவுகிறது.
organize	ஒழுங்குபடுத்து	தயவுசெய்து கோப்புகளை ஒழுங்குபடுத்து.
original	அசல்	அசல் ரசீதை வைத்திரு.
ourselves	நாமே	நாமே இரவு உணவு சமைத்தோம்.
oven	அடுப்பு	அடுப்பு சூடாக உள்ளது.
owner	உரிமையாளர்	உரிமையாளர் கடையைத் திறந்தார்.
pack	பொதி	உன் பையை இப்போது பொதி செய்.
pain	வலி	என் முதுகில் வலி உணர்கிறேன்.
painter	ஓவியர்	ஓவியர் சுவரை முடித்தார்.
palace	அரண்மனை	அரண்மனை பழமையானது.
pants	கால் சட்டை	இந்த கால் சட்டை மிகவும் நீளமாக உள்ளது.
parking	வாகன நிறுத்தம்	இங்கே வாகன நிறுத்தம் கடினம்.
particular	குறிப்பிட்ட	எனக்கு ஒரு குறிப்பிட்ட புத்தகம் தேவை.
pass	கொடு	எனக்கு உப்பை கொடு.
passenger	பயணி	ஒவ்வொரு பயணிக்கும் டிக்கெட் தேவை.
patient	பொறுமையான	குழந்தைகளிடம் பொறுமையாக இரு.
pattern	முறை	இந்த முறை எளிமையானது.
peace	அமைதி	நாம் அனைவரும் அமைதியை விரும்புகிறோம்.
penny	சிறு நாணயம்	எனக்கு ஒரு சிறு நாணயம் கிடைத்தது.
per	ஒவ்வொன்றுக்கு	டிக்கெட்டுகள் ஒருவருக்கு பத்து டாலர் செலவாகும்.
per cent	சதவீதம்	ஐந்து சதவீதம் சிறியது.
perform	நிகழ்த்து	இசைக்குழு இன்று இரவு நிகழ்த்தும்.
perhaps	ஒருவேளை	ஒருவேளை அவள் வீட்டில் இருக்கலாம்.
permission	அனுமதி	முதலில் அனுமதி கேள்.
personality	பண்பு	அவனுக்கு நட்பான பண்பு உள்ளது.
pet	செல்லப்பிராணி	என் செல்லப்பிராணி ஒரு பூனை.
petrol	பெட்ரோல்	காருக்கு பெட்ரோல் தேவை.
physical	உடல் சார்ந்த	உடற்பயிற்சி ஆரோக்கியத்திற்கு உதவுகிறது.
physics	இயற்பியல்	இயற்பியல் கடினம்.
pick	தேர்ந்தெடு	ஒரு அட்டையை தேர்ந்தெடு.
pilot	விமானி	விமானி தெளிவாக பேசினார்.
planet	கோள்	பூமி ஒரு கோள்.
plastic	பிளாஸ்டிக்	இந்த பாட்டில் பிளாஸ்டிக் ஆகும்.
plate	தட்டு	உணவை தட்டில் வை.
platform	மேடை	இரண்டாவது மேடையில் காத்திரு.
pleased	மகிழ்ச்சி	உன்னைச் சந்திப்பதில் எனக்கு மகிழ்ச்சி.
pocket	சட்டை பை	டிக்கெட் என் சட்டை பையில் உள்ளது.
polite	மரியாதையான	அனைவரிடமும் மரியாதையாக இரு.
pollution	மாசு	மாசு பெருங்கடலை சேதப்படுத்துகிறது.
pop	பாப்	எனக்கு பாப் இசை பிடிக்கும்.
population	மக்கள் தொகை	மக்கள் தொகை அதிகரிக்கிறது.
position	நிலை	உன் நிலையை மாற்று.
possession	உடைமை	இந்த மோதிரம் என் உடைமை.
possibility	சாத்தியம்	மழைக்கு சாத்தியம் உள்ளது.
poster	சுவரொட்டி	சுவரொட்டியை சுவரில் ஒட்டு.
power	சக்தி	கணினிக்கு சக்தி தேவை.
predict	கணிக்க	நாம் வானிலையை கணிக்க முடியாது.
president	தலைவர்	தலைவர் உரை நிகழ்த்தினார்.
prevent	தடு	நோயை தடுக்க கைகளை கழுவு.
print	அச்சிடு	ஆவணத்தை அச்சிடு.
printer	அச்சுப்பொறி	அச்சுப்பொறி உடைந்துள்ளது.
prison	சிறை	அவன் சிறைக்கு சென்றான்.
prize	பரிசு	அவள் ஒரு பரிசை வென்றாள்.
process	செயல்முறை	செயல்முறைக்கு நேரம் எடுக்கும்.
produce	உற்பத்தி செய்	பண்ணைகள் உணவை உற்பத்தி செய்கின்றன.
professional	தொழில்முறை	அவள் தொழில்முறை நடனக் கலைஞர்.
professor	பேராசிரியர்	பேராசிரியர் கேள்விகளுக்கு பதிலளித்தார்.
profile	சுயவிவரம்	உன் சுயவிவரத்தை புதுப்பி.
program	நிகழ்ச்சி	நிகழ்ச்சி இப்போது தொடங்குகிறது.
progress	முன்னேற்றம்	நாங்கள் இன்று முன்னேற்றம் செய்தோம்.
promise	வாக்குறுதி	உன் வாக்குறுதியை காப்பாற்று.
pronounce	உச்சரிக்க	தயவுசெய்து இந்த வார்த்தையை உச்சரி.
protect	பாதுகாப்பு செய்	உன் கண்களை பாதுகாப்பு செய்.
provide	வழங்கு	அவர்கள் இலவச தண்ணீர் வழங்குகிறார்கள்.
pub	மதுக்கூடம்	நாங்கள் மதுக்கூடத்தில் சந்தித்தோம்.
public	பொது	பூங்கா பொதுமக்களுக்கு திறந்திருக்கும்.
publish	வெளியிடு	அவர்கள் ஒரு இதழை வெளியிடுகிறார்கள்.
pull	இழு	கதவை இழு.
purpose	நோக்கம்	நோக்கம் என்ன?
push	தள்ளு	பொத்தானை தள்ளு.
quality	தரம்	தரம் உயர்ந்தது.
quantity	அளவு	அளவை சரிபார்.
queen	ராணி	ராணி கையை அசைத்தார்.
quietly	அமைதியாக	அமைதியாக பேசு.
race (competition)	பந்தயம்	பந்தயம் விரைவில் தொடங்கும்.
railway	ரயில்வே	ரயில்வே மூடப்பட்டுள்ளது.
raise	உயர்த்து	உன் கையை உயர்த்து.
rate	விகிதம்	விடுதி விகிதம் உயர்ந்தது.
rather	சற்றே	நான் சற்றே சோர்வாக இருக்கிறேன்.
reach	அடை	நீ அலமாரியை அடைய முடியுமா?
react	எதிர்வினை செய்	அவன் எப்படி எதிர்வினை செய்தான்?
realize	உணரு	நான் என் தவறை உணர்கிறேன்.
receive	பெறு	என் செய்தியை பெற்றாயா?
recent	சமீபத்திய	இது ஒரு சமீபத்திய புகைப்படம்.
recently	சமீபத்தில்	நான் சமீபத்தில் இங்கே குடியேறினேன்.
reception	வரவேற்பு	வரவேற்பு திங்கட்கிழமை நடைபெறும்.
recipe	செய்முறை	இந்த செய்முறை எளிது.
recognize	அடையாளம் காண்	அந்த பாடலை நான் அடையாளம் காண்கிறேன்.
recommend	பரிந்துரை செய்	இந்த புத்தகத்தை நான் பரிந்துரை செய்கிறேன்.
record	பதிவு	பணம் செலுத்திய பதிவை வைத்திரு.
recording	ஒலிப்பதிவு	ஒலிப்பதிவு தெளிவாக கேட்கிறது.
recycle	மறுசுழற்சி செய்	காகிதம் மற்றும் பிளாஸ்டிக்கை மறுசுழற்சி செய்.
reduce	குறை	சூட்டை குறை.
refer	குறிப்பு காண்	இரண்டாம் பக்கத்தை குறிப்பு காண்.
refuse1	மறுக்க	நான் பொய் சொல்ல மறுக்கிறேன்.
region	பகுதி	இந்த பகுதி குளிராக உள்ளது.
regular	வழக்கமான	அவன் ஒரு வழக்கமான வாடிக்கையாளர்.
relationship	உறவு	அவர்களின் உறவு வலிமையானது.
remove	அகற்று	உன் காலணிகளை அகற்று.
repair	பழுது பார்	இன்று மிதிவண்டியை பழுது பார்.
replace	மாற்று	பழைய மின்கலத்தை மாற்று.
reply	பதில் அளி	தயவுசெய்து விரைவில் பதில் அளி.
reporter	நிருபர்	நிருபர் குறிப்புகள் எடுத்தார்.
request	கோரிக்கை	நான் ஒரு கோரிக்கை செய்தேன்.
research	ஆராய்ச்சி	நாங்கள் உள்ளூர் வரலாற்றை ஆராய்கிறோம்.
researcher	ஆராய்ச்சியாளர்	ஆராய்ச்சியாளர் தரவை சரிபார்த்தார்.
respond	பதில் அளி	தயவுசெய்து இன்று பதில் அளி.
response	பதில்	அவளின் பதில் விரைவாக இருந்தது.
rest (remaining part)	மீதம்	மீதத்தை பின்னர் சாப்பிடு.
rest (sleep/relax)	ஓய்வு	உனக்கு ஓய்வு தேவை.
review	மீளாய்வு செய்	இன்றிரவு உன் குறிப்புகளை மீளாய்வு செய்.
ring1	மோதிரம்	அவள் தங்க மோதிரம் அணிந்திருந்தாள்.
ring2	அழை	மதிய உணவுக்குப் பிறகு என்னை அழை.
rise	உயர்	விலைகள் ஒவ்வொரு ஆண்டும் உயரும்.
rock (stone)	கல்	கல் கனமாக உள்ளது.
