simplified	TL	example_TL
水	tubig	Umiinom ako ng tubig.
水果	prutas	Bumibili ako ng prutas.
睡觉	matulog	Matutulog na ako.
说话	magsalita; makipag-usap	Nagsasalita ang guro.
四	apat	Mayroon akong apat na kaibigan.
岁	taong gulang	Sampung taong gulang ako.
他	siya; niya; kanya	Guro siya.
她	siya; niya; kanya	Babaeng estudyante siya.
太	sobra; masyado	Masyadong malaki ang tasang ito.
天气	panahon; lagay ng panahon	Maganda ang panahon ngayon.
听	makinig; marinig	Nakikinig ako habang nagsasalita ang guro.
同学	kaklase	Kaklase ko siya.
喂	hello sa telepono	Hello? Kumusta.
我	ako; ko; akin	Doktor ako.
我们	kami; tayo; namin; natin	Pumupunta kami sa paaralan.
五	lima	Mayroon akong limang mansanas.
喜欢	gustuhin; magustuhan	Gusto kong uminom ng tsaa.
下	ibaba; ilalim; susunod	Nasa ilalim ng mesa ang libro.
下午	hapon	Pumupunta ako sa tindahan sa hapon.
下雨	umulan; umuulan	Umuulan ngayon.
先生	sir; ginoo; mister; asawa	Kumusta po, sir.
现在	ngayon	Nasa paaralan ako ngayon.
想	gusto; isipin; ma-miss	Gusto kong uminom ng tubig.
小	maliit	Maliit ang tasang ito.
小姐	miss; binibini	Kumusta po, miss.
些	ilan; kaunti	Mayroon akong ilang libro.
写	magsulat	Nagsusulat ako ng mga karakter na Tsino.
谢谢	salamat	Salamat.
星期	linggo; araw ng linggo	Lunes ngayon.
学生	estudyante; mag-aaral	Estudyante ako.
学习	mag-aral; matuto	Nag-aaral ako ng wikang Tsino.
学校	paaralan	Malaki ang paaralan.
一	isa	Mayroon akong isang tasa.
衣服	damit	Bumibili ako ng damit.
医生	doktor; manggagamot	Doktor siya.
医院	ospital	Nasa harap ng paaralan ang ospital.
椅子	upuan	Nasa likod ng mesa ang upuan.
有	mayroon; meron	Mayroon akong kaibigan.
月	buwan	Ikaapat ng Mayo ngayon.
再见	paalam; hanggang sa muli	Paalam po, titser.
在	nasa; kasalukuyang	Nasa bahay ako.
怎么	paano	Paano basahin ang karakter na ito?
怎么样	kumusta; paano	Kumusta ka ngayon?
这	ito; ang mga ito	Ito ang libro ko.
中国	Tsina	Pumupunta ako sa Tsina.
中午	tanghali	Kumakain ako ng kanin sa tanghali.
住	tumira; manirahan	Nakatira ako sa Beijing.
桌子	mesa; lamesa	Nasa ibabaw ng mesa ang libro.
字	karakter; titik; salita	Maliit ang karakter na ito.
昨天	kahapon	Nanood ako ng pelikula kahapon.
坐	umupo; sumakay	Sumasakay ako ng eroplano papuntang Beijing.
做	gumawa; gawin; magluto	Nagluluto ako.
