source_headword	KO	example_KO
complaint	불만; 항의	그녀는 소음에 대해 불만을 제기했습니다.
complex	복잡한	설명이 너무 복잡합니다.
concentrate	집중하다	음악이 나오면 집중할 수 없습니다.
conclude	끝내다; 결론짓다	이제 회의를 끝내겠습니다.
conclusion	결론	그의 결론은 합리적으로 보였습니다.
confident	자신 있는	그녀는 면접 전에 자신감을 느꼈습니다.
confirm	확인하다	이메일 주소를 확인해 주세요.
confuse	혼란스럽게 하다	이 두 이름은 나를 혼란스럽게 합니다.
confused	혼란스러운	나는 지도 때문에 혼란스러웠습니다.
connection	연결; 관계	인터넷 연결이 느립니다.
consequence	결과; 영향	수면 부족에는 영향이 있습니다.
consist	이루어지다	그 식사는 세 코스로 이루어져 있습니다.
consume	소비하다	큰 차는 더 많은 연료를 소비합니다.
consumer	소비자	소비자는 명확한 정보를 원합니다.
contact	연락; 연락하다	점심 후에 저에게 연락하세요.
container	용기	수프를 용기에 넣으세요.
content1	내용	그 과정의 내용은 유용합니다.
continuous	계속되는	기계가 계속되는 소음을 냈습니다.
contrast	대조	그들 사이의 대조는 분명합니다.
convenient	편리한	그 역은 매우 편리합니다.
convince	설득하다	그녀는 그가 다시 시도하도록 설득했습니다.
costume	의상	그녀는 파티용 의상을 입었습니다.
cottage	작은 집; 별장	그들은 호수 옆 작은 집에 머물렀습니다.
cotton	면; 목화	이 셔츠는 면으로 만들어졌습니다.
countryside	시골	우리는 주말에 시골에 갔습니다.
court	법원; 경기장	법원은 오늘 바빴습니다.
covered	덮인	탁자는 종이로 덮여 있었습니다.
cruel	잔인한	그것은 잔인한 농담이었습니다.
cultural	문화의	우리는 문화 행사에 참가했습니다.
currency	통화; 화폐	그 나라는 다른 통화를 사용합니다.
current	현재의	현재 계획은 수정이 필요합니다.
currently	현재	그녀는 현재 런던에서 일합니다.
curtain	커튼	커튼을 닫아 주세요.
custom	관습	이것은 지역 관습입니다.
damage	손상; 피해	폭풍은 심각한 피해를 주었습니다.
decade	십 년	그 도시는 십 년 동안 크게 변했습니다.
decorate	장식하다	우리는 방을 장식할 것입니다.
define	정의하다	이 단어를 정의해 주세요.
definite	분명한	우리는 분명한 답이 필요합니다.
definition	정의	그 단어의 정의를 찾아보세요.
deliver	배달하다; 전달하다	그들은 내일 소포를 배달합니다.
departure	출발	우리의 출발 시간은 아침 여덟 시입니다.
despite	~에도 불구하고	비에도 불구하고 우리는 걸었습니다.
destination	목적지	파리는 그들의 최종 목적지였습니다.
determine	결정하다; 알아내다	시험이 당신의 수준을 결정합니다.
determined	단호한	그녀는 성공하기로 단호했습니다.
development	발전; 개발	그 마을의 발전은 빨랐습니다.
diagram	도표	간단한 도표를 그리세요.
diamond	다이아몬드	반지에는 작은 다이아몬드가 있었습니다.
difficulty	어려움	그는 문을 여는 데 어려움을 겪었습니다.
directly	직접	저에게 직접 말해 주세요.
dirt	먼지; 흙	그의 신발은 흙으로 덮여 있었습니다.
disadvantage	불리한 점	긴 여행은 불리한 점입니다.
disappointed	실망한	그녀는 결과에 실망했습니다.
disappointing	실망스러운	결말은 실망스러웠습니다.
discount	할인	학생들은 여기서 할인을 받습니다.
dislike	싫어하다	나는 아주 시끄러운 음악을 싫어합니다.
divide	나누다	케이크를 조각으로 나누세요.
documentary	다큐멘터리	우리는 우주에 관한 다큐멘터리를 보았습니다.
donate	기부하다	많은 사람들이 헌 옷을 기부합니다.
doubt	의심	나는 그것에 대해 의심이 없습니다.
dressed	옷을 입은	그는 검은 옷을 입고 있었습니다.
drum	북; 드럼	북소리가 방 안에 울렸습니다.
drunk	술 취한	운전자는 술에 취해 있었습니다.
due	기한인; 예정된	보고서는 내일까지입니다.
dust	먼지	오래된 책들은 먼지로 덮여 있었습니다.
duty	의무	돕는 것은 나의 의무입니다.
earthquake	지진	지진이 다리를 손상시켰습니다.
eastern	동쪽의; 동부의	동부 해안은 바람이 붑니다.
economic	경제의	그 나라는 경제 문제에 직면해 있습니다.
economy	경제	올해 경제가 성장했습니다.
edge	가장자리	가장자리에서 떨어져 서세요.
editor	편집자	편집자가 기사를 확인했습니다.
educate	교육하다	학교는 젊은 사람들을 교육합니다.
educated	교육받은	그녀는 높은 교육을 받았습니다.
educational	교육적인	그 게임은 교육적입니다.
effective	효과적인	이 약은 효과적입니다.
effectively	효과적으로	그녀는 그 규칙을 효과적으로 설명했습니다.
effort	노력	당신의 노력은 변화를 만들었습니다.
election	선거	선거 결과는 접전이었습니다.
element	요소	신뢰는 중요한 요소입니다.
embarrassed	당황한	그는 넘어진 후 당황했습니다.
embarrassing	당황스러운	그것은 당황스러운 실수였습니다.
emergency	비상 상황	비상 상황에서는 이 번호로 전화하세요.
emotion	감정	두려움은 강한 감정입니다.
employment	고용	이번 달 고용이 증가했습니다.
encourage	격려하다	교사들은 학생들에게 독서를 권합니다.
enemy	적	두 나라는 적이었습니다.
engaged	약혼한	그들은 지난봄에 약혼했습니다.
engineering	공학	그녀는 대학에서 공학을 공부합니다.
entertain	즐겁게 하다	그 가수가 손님들을 즐겁게 할 것입니다.
entertainment	오락	그 도시는 저녁 오락을 제공합니다.
entrance	입구	입구에서 만나요.
entry	입장; 항목	아이들은 무료로 입장합니다.
environmental	환경의	우리는 환경 문제를 논의했습니다.
episode	회; 에피소드	마지막 회는 흥미로웠습니다.
equal	동등한; 같은	그들은 동등한 임금을 받습니다.
equally	동등하게	일은 동등하게 나뉩니다.
escape	탈출하다	죄수들은 탈출하려고 했습니다.
essential	필수적인	물은 생명에 필수적입니다.
eventually	결국	결국 우리는 호텔을 찾았습니다.
examine	검사하다; 진찰하다	의사가 내 팔을 진찰했습니다.
exchange	교환	우리는 가게에서 교환을 했습니다.
excitement	흥분	경기는 흥분으로 가득했습니다.
exhibition	전시회	미술 전시회는 내일 열립니다.
expand	확장하다	회사는 확장할 계획입니다.
expected	예상된	예상 비용은 높습니다.
expedition	탐험	탐험대는 사막을 건넜습니다.
experienced	경험 많은	그녀는 경험 많은 간호사입니다.
explode	폭발하다	그 병은 열을 받으면 폭발할 수 있습니다.
explore	탐험하다	우리는 오래된 마을을 탐험했습니다.
explosion	폭발	폭발로 여러 창문이 깨졌습니다.
export	수출품; 수출	커피는 중요한 수출품입니다.
fairly	꽤	시험은 꽤 쉬웠습니다.
familiar	익숙한	그녀의 얼굴은 익숙해 보였습니다.
fancy	원하다; 좋아하다	커피 한 잔 마실래요?
fascinating	매혹적인	그 이야기는 매혹적이었습니다.
fashionable	유행하는	그 신발은 유행합니다.
fasten	매다; 잠그다	안전벨트를 매세요.
favour	호의; 부탁	부탁 하나 들어줄 수 있나요?
fence	울타리	울타리가 정원을 둘러싸고 있습니다.
fighting	싸움; 전투	싸움은 새벽에 멈췄습니다.
file	파일	닫기 전에 파일을 저장하세요.
financial	재정의; 금융의	그녀는 재정 조언이 필요합니다.
fitness	체력; 건강	달리기는 체력을 향상시킵니다.
fixed	고정된	가격은 고정되어 있습니다.
flag	깃발	깃발이 학교 위에 펄럭였습니다.
flood	홍수	홍수가 많은 집을 손상시켰습니다.
flour	밀가루	그릇에 밀가루를 넣으세요.
flow	흐르다	강은 마을을 지나 흐릅니다.
fold	접다	종이를 반으로 접으세요.
folk	민속의; 사람들	민속 음악이 홀에 울렸습니다.
force	힘	바람에는 큰 힘이 있었습니다.
forever	영원히	나는 이것을 영원히 기억할 것입니다.
frame	틀; 액자	그 사진에는 액자가 필요합니다.
freeze	얼다; 얼리다	물은 밤새 얼 것입니다.
frequently	자주	그는 부모님을 자주 방문합니다.
friendship	우정	그들의 우정은 여러 해 동안 이어졌습니다.
frighten	겁주다	큰 소리는 아기를 겁줍니다.
frightened	겁먹은	그 아이는 겁먹어 보였습니다.
frightening	무서운	폭풍은 무서웠습니다.
frozen	얼어붙은	호수는 얼어붙어 있었습니다.
fry	볶다; 튀기다	양파를 5분 동안 볶으세요.
fuel	연료	차에는 더 많은 연료가 필요합니다.
function	기능	이 버튼에는 한 가지 기능이 있습니다.
fur	털; 모피	그 고양이는 부드러운 털을 가지고 있습니다.
garage	차고	차는 차고에 있습니다.
gather	모이다; 모으다	우리는 탁자 주위에 모였습니다.
generally	일반적으로	그녀는 일반적으로 일찍 도착합니다.
generation	세대	각 세대는 새로운 문제에 직면합니다.
generous	관대한	그는 자신의 시간을 관대하게 내줍니다.
gentle	부드러운; 온화한	부드러운 목소리를 사용하세요.
gentleman	신사	그 신사는 문을 열었습니다.
ghost	유령	그 이야기는 유령을 언급합니다.
giant	거대한	거대한 화면이 무대를 채웠습니다.
glad	기쁜	당신이 와서 기쁩니다.
global	세계적인	기후 변화는 세계적인 문제입니다.
glove	장갑	나는 장갑 한 짝을 잃어버렸습니다.
goods	상품	상품이 늦게 도착했습니다.
grade	성적; 등급	그녀는 높은 성적을 받았습니다.
graduate	졸업생	그는 최근 졸업생입니다.
grain	곡물; 알갱이	쌀알 하나가 떨어졌습니다.
grateful	감사하는	당신의 지원에 감사합니다.
growth	성장	그 식물은 꾸준한 성장을 보였습니다.
guard	경비원; 지키다	경비원이 우리의 표를 확인했습니다.
guilty	죄책감을 느끼는; 유죄의	그는 거짓말한 것에 죄책감을 느꼈습니다.
hang	걸다	여기에 코트를 걸어 두세요.
happiness	행복	돈으로 행복을 살 수는 없습니다.
hardly	거의 ~않다	나는 당신의 말을 거의 들을 수 없었습니다.
headline	제목; 표제	그 제목은 내 관심을 끌었습니다.
heating	난방	난방이 작동을 멈췄습니다.
heavily	심하게; 많이	밤새 비가 심하게 내렸습니다.
helicopter	헬리콥터	헬리콥터가 근처에 착륙했습니다.
highlight	강조하다	주요 생각을 강조해 주세요.
highly	매우; 높이	그녀는 매우 존경받습니다.
hire	빌리다; 고용하다	우리는 차를 빌려야 합니다.
historic	역사적으로 중요한	우리는 역사적인 건물을 방문했습니다.
historical	역사의	그녀는 역사 소설을 좋아합니다.
honest	정직한	정직한 답을 주세요.
horrible	끔찍한	냄새가 끔찍했습니다.
horror	공포	그는 공포 영화를 즐깁니다.
host	주인; 진행자	주인은 모든 손님을 맞이했습니다.
