source_headword	ET	example_ET
foreigner	välismaalane	Vormil küsitakse, kas te olete välismaalane.
forge	looma	Nad püüdsid luua uut liitu.
formula	valem	Valem lahendas probleemi.
formulate	sõnastama	Teadlased sõnastavad uue teooria.
forth	edasi	Jõgi kandis paati edasi.
forthcoming	eelseisev	Eelseisev aruanne selgitab kõike.
foster	edendama	Programm aitab edendada iseseisvust.
fragile	habras	Habras vaas vajab ettevaatlikku käsitsemist.
franchise	frantsiis	Restoranist sai ülemaailmne frantsiis.
frankly	ausalt öeldes	Ausalt öeldes vajame rohkem aega.
frustrated	pettunud	Töötajad tundsid end viivituse tõttu pettununa.
frustrating	masendav	Aeglane ühendus oli masendav.
frustration	pettumus	Koosoleku ajal kasvas pettumus.
functional	funktsionaalne	Vana köök on endiselt funktsionaalne.
fundraising	rahakogumine	Rahakogumine algab järgmisel nädalal.
funeral	matused	Matused toimusid reedel.
gallon	gallon	Paak mahutab ühe galloni.
gambling	hasartmängud	Hasartmängud on seadusega piiratud.
gathering	kogunemine	Kogunemine lõppes rahumeelselt.
gaze	pilk	Ta hoidis korraks tema pilku.
gear	varustus	Pakkige turvavarustus enne ronimist.
generic	üldine	Üldine versioon maksab vähem.
genocide	genotsiid	Genotsiid jättis sügava rahvusliku trauma.
glance	pilk	Ta heitis kiire pilgu.
glimpse	pilguheit	Ma sain merele kiire pilguheidu.
glorious	hiilgav	Meeskond nautis hiilgavat võitu.
glory	au	Ta unistas olümpia aust.
governance	juhtimine	Hea juhtimine nõuab läbipaistvust.
grace	graatsia	Ta võttis kaotuse vastu graatsiaga.
grasp	mõistma	Ta ei suutnud mõistet haarata.
grave (for dead person)	haud	Haud oli kaetud lilledega.
grave (serious)	tõsine	Olukord on endiselt tõsine.
gravity	gravitatsioon	Gravitatsioon tõmbab objekte Maa poole.
grid	võrgustik	Kaart kasutab lihtsat võrgustikku.
grief	lein	Lein muutis kogu tema pere.
grin	naeratus	Poiss tegi laia naeratuse.
grind	jahvatama	Töölised jahvatavad ube igal hommikul.
grip	haare	Hoidke köiest kindla haardega.
gross	bruto	Brutotulu tõusis järsult.
guerrilla	siss	Sissivõitlejad peitsid end küngastel.
guidance	juhendamine	Giid pakub praktilist juhendamist.
guilt	süü	Ta tundis pärast valetada süüd.
gut	sisetunne	Usalda oma sisetunnet rasketes valikutes.
hail	ülistama	Külaelanikud kiidavad arsti kui kangelast.
halfway	poolel teel	Me peatusime poolel teel mäkke.
halt	peatumine	Rong jäi ootamatult seisma.
handful	käputäis	Käputäis vabatahtlikke jäi kauemaks.
handling	käsitsemine	Õige käsitsemine hoiab ära kahjustused.
handy	käepärane	See tööriist on käepärane parandustöödeks.
harassment	ahistamine	Ettevõte uuris ahistamise kaebusi.
hardware	riistvara	Pood müüb arvuti riistvara.
harmony	harmoonia	Koor laulis täiuslikus harmoonias.
harsh	karm	Kohtunik määras karmi karistuse.
harvest	saak	Saagikoristus algab septembris.
haunt	kummitama	Mälestus jätkas tema kummitamist.
hazard	oht	Jää on tõsine oht teel.
heighten	suurendama	Kõne võib pingeid suurendada.
heritage	pärand	Loss on osa kohalikust pärandist.
hierarchy	hierarhia	Büroo hierarhia on selgelt määratletud.
high-profile	kõrge profiiliga	Kõrgetasemeline kohtuprotsess meelitas ajakirjanikke.
hint	vihje	Ta andis mulle kasuliku vihje.
homeland	kodumaa	Ta naasis oma kodumaale.
hopeful	lootusrikas	Arstid on paranemise osas lootusrikkad.
horizon	horisont	Päike kadus horisondi taha.
horn	pasun	Auto pasun äratas kõik üles.
hostage	pantvang	Pantvang naasis koju.
hostile	vaenulik	Rahvahulk muutus vaenulikuks.
hostility	vaenulikkus	Avatud vaenulikkus lõpetas kõnelused.
humanitarian	humanitaar-	Humanitaarmissioon toimetas toidu kohale.
humanity	inimkond	Inimkond seisab silmitsi ühiste väljakutsetega.
humble	alandlik	Pärast edu jäi ta alandlikuks.
hydrogen	vesinik	Vesinik põleb väga kergesti.
identification	isikutunnistus	Sissepääsu juures nõutakse isikutunnistust.
ideological	ideoloogiline	Vaidlusel olid ideoloogilised juured.
ideology	ideoloogia	Tema ideoloogia kujundas igat kõnet.
idiot	idioot	Ärge kutsuge kedagi idioodiks.
ignorance	teadmatus	Teadmatus võib levitada hirmu.
imagery	kujundlikkus	Luuletus kasutab elavat kujundlikkust.
immense	tohutu	Projekt nõudis tohutut pingutust.
imminent	peatselt saabuv	Torm tundus möödapääsmatu.
implementation	rakendamine	Seaduse rakendamine oli aeglane.
imprison	vangistama	Režiim püüdis kriitikuid vangistada.
imprisonment	vangistus	Tema vangistus kestis viis aastat.
inability	võimetus	Tema võimetus keskenduda tegi õpetajatele muret.
inadequate	ebapiisav	Varjupaigas oli ebapiisav küte.
inappropriate	sobimatu	Tema nali oli sobimatu.
incidence	esinemissagedus	Gripi esinemissagedus suurenes.
inclined	kaldub	Ta on kalduv nõustuma.
inclusion	kaasamine	Kool edendab kaasamist.
