simplified	SW	example_SW
不断	bila kukoma	Bei zinaendelea kupanda.
不见得	si lazima	Hili si lazima liwe jambo baya.
不耐烦	kukosa subira	Baada ya kusubiri kwa muda mrefu, alianza kukosa subira.
不要紧	haijalishi; si tatizo	Ni sawa, si tatizo.
补充	kuongeza	Ningependa kuongeza maoni moja.
不安	wasiwasi	Baada ya kusikia habari hii, alihisi wasiwasi.
不得了	kubwa sana; hatari	Jambo hili ni kubwa kweli.
不然	la sivyo	Harakisha, la sivyo utachelewa.
不如	afadhali	Kuliko kupanda gari, afadhali tutembee.
不足	haitoshi	Maji hapa hayatoshi.
布	kitambaa	Kitambaa hiki ni laini sana.
步骤	hatua	Tafadhali fanya kazi kulingana na hatua.
部门	idara	Ninafanya kazi katika idara ya mauzo.
财产	mali	Nyumba hii ni mali yake.
彩虹	upinde wa mvua	Upinde wa mvua ulitokea baada ya mvua.
踩	kukanyaga	Usikanyage nyasi.
采访	kuhoji	Mwandishi wa habari anamhoji daktari.
采取	kuchukua	Tulichukua njia mpya.
参考	kurejelea	Tafadhali rejelea kitabu hiki.
参与	kushiriki	Anashiriki kwa bidii katika shughuli.
惭愧	kuona aibu	Ninaona aibu kwa kosa langu.
操场	uwanja wa michezo	Wanafunzi wanakimbia uwanjani.
操心	kuwa na wasiwasi	Usiwe na wasiwasi kwa ajili yangu.
册	juzuu; kitabu	Nimenunua juzuu moja ya kitabu.
测验	jaribio	Kesho kuna jaribio dogo.
曾经	wahi	Niliwahi kuishi Beijing.
叉子	uma	Ninakula saladi kwa uma.
差距	pengo	Kuna pengo kati ya miji na vijiji.
插	kuchomeka; kuweka	Tafadhali weka maua kwenye chupa.
拆	kubomoa	Wafanyakazi wanabomoa nyumba ya zamani.
产品	bidhaa	Bidhaa hii ina ubora mzuri sana.
产生	kutokeza; kusababisha	Tatizo hili lilisababisha athari mpya.
常识	maarifa ya kawaida	Haya ni maarifa ya msingi ya kawaida.
长途	masafa marefu	Safari ya masafa marefu inachosha.
抄	kunakili	Tafadhali usinakili kazi ya wengine.
超级	kubwa sana; bora	Hii ni duka kubwa la bidhaa.
朝	nasaba	Nasaba ya Tang ni maarufu sana.
潮湿	unyevu	Majira ya joto kusini yana unyevu mwingi.
吵	kelele	Nje kuna kelele sana.
吵架	kugombana	Wamegombana tena.
炒	kukaanga kwa kukoroga	Mama anakaanga mboga kwa kukoroga.
车库	karakana	Gari limesimama karakana.
车厢	kibanda cha treni	Kibanda hiki cha treni kimetulia sana.
彻底	kabisa	Alielewa kabisa.
沉默	ukimya	Aliendelea kukaa kimya.
趁	kutumia nafasi	Wakati bado hakujawa giza, twende.
称	kupima uzito	Tafadhali pima uzito wa kifurushi hiki.
称呼	kumwita	Sijui nimwiteje.
称赞	kusifu	Mwalimu alisifu maendeleo yake.
成分	viambato	Viambato vya dawa hii ni rahisi sana.
成果	matokeo	Mradi huu umepata matokeo.
成就	mafanikio	Ana mafanikio makubwa kazini.
成立	kuanzishwa	Kampuni ilianzishwa mwaka jana.
成人	mtu mzima	Tiketi ya mtu mzima ni ghali kuliko tiketi ya mtoto.
成熟	kuiva	Tofaa zimeiva tayari.
成语	msemo	Msemo huu hutumiwa mara nyingi.
成长	kukua	Mtoto anakua taratibu.
承担	kubeba jukumu	Yuko tayari kubeba jukumu.
承认	kukubali	Alikubali kuwa alikosea.
承受	kuhimili	Siwezi kuhimili shinikizo kubwa hivi.
程度	kiwango	Kiwango chake cha Kichina ni cha juu.
程序	utaratibu	Tafadhali shughulikia jambo hili kulingana na utaratibu.
诚恳	dhati	Mtazamo wake ni wa dhati sana.
吃亏	kupata hasara	Angalia vizuri kabla ya kununua ili usipate hasara.
持续	kuendelea	Mvua iliendelea kwa siku tatu.
池塘	bwawa dogo	Kuna samaki wengi kwenye bwawa dogo.
迟早	mapema au baadaye	Mapema au baadaye utaelewa.
尺子	rula	Tafadhali pima kwa rula.
翅膀	bawa	Bawa la ndege limejeruhiwa.
充电器	kifaa cha kuchajia	Kifaa changu cha kuchajia kimeharibika.
充分	kutosha; kamili	Tulijiandaa vya kutosha.
充满	kujaa	Chumba kilijaa vicheko.
冲	kusuuza	Tafadhali suuza kikombe kwa maji.
重复	kurudia	Tafadhali usirudie kosa lilelile.
宠物	mnyama wa kufugwa	Anafuga mbwa wa nyumbani.
抽屉	droo	Funguo ziko kwenye droo.
抽象	dhahania	Dhana hii ni ya dhahania mno.
丑	mbaya	Picha hii ni mbaya kidogo.
臭	kunuka	Takataka zinanuka sana.
出版	kuchapishwa	Kitabu hiki kilichapishwa mwaka jana.
出口	kutoka	Mlango wa kutoka uko mbele.
出色	bora	Utendaji wake ulikuwa bora sana.
出示	kuonyesha	Tafadhali onyesha pasipoti yako.
出席	kuhudhuria	Atahudhuria mkutano.
初级	ngazi ya awali	Ninasoma Kichina katika darasa la ngazi ya awali.
除非	isipokuwa	Isipokuwa mvua inyeshe, kesho tutaenda kupanda mlima.
除夕	mkesha wa mwaka mpya	Wakati wa mkesha wa mwaka mpya familia yetu yote hula pamoja.
处理	kushughulikia	Nitashughulikia tatizo hili.
传播	kuenea	Habari hii imeenea haraka sana.
传染	kuambukiza	Mafua huambukiza kwa urahisi.
传说	hadithi ya kale	Hii ni hadithi ya kale.
传统	jadi	Sikukuu ya Masika ni sikukuu ya jadi ya China.
窗帘	pazia	Tafadhali fungua pazia.
闯	kukiuka kwa bahati mbaya	Alivuka taa nyekundu kwa bahati mbaya.
创造	kuunda	Watu waliunda zana mpya.
吹	kuvuma	Upepo unavuma kwa nguvu.
词汇	msamiati	Msamiati huu hutumiwa mara nyingi.
辞职	kuacha kazi	Ameamua kuacha kazi.
此外	zaidi ya hayo	Zaidi ya hayo, nina swali lingine.
刺激	kusisimua	Mchezo huu unasisimua sana.
次要	sekondari; si kuu	Tatizo hili si kuu.
匆忙	haraka haraka	Aliondoka nyumbani haraka haraka.
从此	tangu hapo	Tangu hapo, anafanya mazoezi kila siku.
从而	hivyo	Alisoma kwa bidii, hivyo akafaulu mtihani.
从前	zamani	Zamani hapa hapakuwa na treni ya chini ya ardhi.
从事	kufanya kazi katika	Anafanya kazi katika elimu.
粗糙	ghafi; yenye ukwaru	Karatasi hii ina ukwaru.
促进	kukuza	Mazoezi yanaweza kukuza afya.
促使	kumsukuma	Jambo hili lilimsukuma kubadili mpango.
醋	siki	Kwenye chakula kumewekwa siki.
催	kuhimiza	Mama ananihimiza nitoke haraka.
存在	kuwepo	Tatizo hili bado lipo.
措施	hatua	Shule imechukua hatua za usalama.
答应	kukubali	Alikubali kunisaidia.
达到	kufikia	Matokeo yake yalifikia kiwango.
打工	kufanya kazi ya muda	Alikwenda kufanya kazi ya muda katika mgahawa wakati wa likizo ya majira ya joto.
打交道	kushughulika	Mara nyingi ninashughulika na wateja.
打喷嚏	kupiga chafya	Ana mafua na anaendelea kupiga chafya.
打听	kuulizia	Nataka kuulizia tiketi ya treni.
大方	mkarimu	Yeye ni mkarimu sana katika matumizi ya pesa.
大厦	jengo kubwa	Jengo lile kubwa ni refu sana.
大象	tembo	Watoto wanatazama tembo bustanini mwa wanyama.
大型	kubwa	Hapa watajenga duka kubwa la kisasa.
呆	kubaki	Alibaki nyumbani akisoma kitabu.
代表	kuwakilisha	Ua hili linawakilisha urafiki.
代替	kuchukua nafasi	Leo nitachukua nafasi yake kwenye mkutano.
待遇	maslahi	Maslahi ya kampuni hii ni mazuri.
贷款	mkopo	Waliomba mkopo wa nyumba.
单纯	rahisi; isiyo na hila	Mawazo yake ni rahisi sana.
单调	kuchosha; ya kurudiarudia	Kazi hii inachosha kidogo.
单独	peke yake	Nataka kuzungumza nawe peke yako.
单位	kitengo cha kazi	Anafanya kazi katika kitengo cha umma.
单元	somo; sehemu	Leo tunajifunza somo la tatu.
担任	kushika nafasi	Anashika nafasi ya msimamizi wa shughuli hii.
耽误	kuchelewesha	Usicheleweshe muda wa kila mtu.
胆小鬼	mwoga	Usimwite mwoga.
淡	haina chumvi	Supu hii haina chumvi ya kutosha.
当地	ya eneo hilo	Watu wa eneo hilo wote wanapenda soko hili.
当心	kuwa mwangalifu	Barabara inateleza, kuwa mwangalifu kidogo.
挡	kuzuia	Gari hili limezuia mlango.
倒霉	bahati mbaya	Leo nina bahati mbaya kweli, simu yangu imepotea.
导演	mwongozaji wa filamu	Mwongozaji huyu wa filamu ni maarufu sana.
导致	kusababisha	Mvua kubwa ilisababisha msongamano wa magari.
岛屿	visiwa	Nchi hii ina visiwa vingi.
到达	kufika	Treni ilifika Shanghai kwa wakati.
道德	maadili	Mtu anapaswa kuwa na maadili.
道理	mantiki	Maneno aliyosema yana mantiki sana.
登记	kujisajili	Tafadhali jisajili kwanza kwenye mapokezi.
等待	kusubiri	Tunasubiri matokeo.
等于	kuwa sawa na	Tano jumlisha tano ni sawa na kumi.
滴	tone	Tone moja la maji lilianguka mezani.
敌人	adui	Wao si maadui.
的确	kweli	Jambo hili kweli ni muhimu sana.
地道	halisi	Anaongea lahaja halisi ya Beijing.
地理	jiografia	Ninavutiwa sana na jiografia ya China.
地区	eneo	Eneo hili huwa baridi sana wakati wa majira ya baridi.
地毯	zulia	Sebuleni kumetandikwa zulia.
地位	nafasi	Elimu ina nafasi muhimu katika jamii.
地震	tetemeko la ardhi	Jana usiku kulitokea tetemeko la ardhi hapa.
递	kumpa	Tafadhali mpe mwalimu barua hii.
点心	kitafunwa	Mchana tulikula vitafunwa.
电池	betri	Mchezo huu wa watoto unahitaji betri mbili.
电台	kituo cha redio	Anafanya kipindi katika kituo cha redio.
钓	kuvua	Babu anapenda kwenda kuvua samaki kando ya mto.
顶	kofia	Alivaa kofia nyeusi.
冻	kuganda	Nje kuna baridi sana, maji yote yameganda.
动画片	katuni	Watoto wanatazama katuni.
洞	shimo	Kuna shimo dogo ukutani.
豆腐	jibini la soya	Jibini hili la soya ni tamu sana.
逗	kufurahisha	Maneno yake yaliwafanya wote wacheke.
独立	kujitegemea	Anataka kuishi kwa kujitegemea.
独特	ya kipekee	Jiji hili lina utamaduni wa kipekee.
度过	kutumia muda	Tulitumia likizo yetu kando ya bahari.
断	kukatika	Kamba hii imekatika.
堆	rundo	Mezani kuna rundo la nyaraka.
兑换	kubadilisha fedha	Ninataka kubadilisha fedha ziwe yuan za China.
对比	kulinganisha	Tafadhali linganisha mipango hii miwili.
对待	kumtendea	Tunapaswa kumtendea kila mtu kwa haki.
对方	upande mwingine	Tafadhali sikiliza kwanza maoni ya upande mwingine.
对手	mpinzani	Mpinzani wake ana nguvu sana.
对象	kitu cha utafiti	Kitu cha utafiti ni wanafunzi wa chuo kikuu.
吨	tani	Lori hili linaweza kubeba tani tatu za mizigo.
蹲	kuchuchumaa	Amechuchumaa chini akitafuta funguo.
顿	mlo	Tulikula mlo wa jioni pamoja.
多亏	shukrani kwa	Shukrani kwa msaada wako, niliweza kumaliza kazi.
多余	isiyo ya lazima	Sentensi hii si ya lazima.
朵	ua	Mezani kuna ua moja.
躲藏	kujificha	Paka mdogo amejificha chini ya kitanda.
恶劣	mbaya	Hali ya hewa ya leo ni mbaya sana.
耳环	hereni	Amevaa jozi ya hereni.
发表	kutoa	Alitoa maoni yake kwenye mkutano.
发愁	kuwa na wasiwasi	Usiwe na wasiwasi kwa jambo dogo hili.
发达	imeendelea	Usafiri wa jiji hili umeendelea sana.
发抖	kutetemeka	Alikuwa anatetemeka daima kwa baridi.
发挥	kutumia vizuri	Tafadhali tumieni vizuri mawazo yenu.
发明	uvumbuzi	Taa ya umeme ni uvumbuzi muhimu.
发票	ankara	Tafadhali niandikie ankara.
发言	kuzungumza	Alizungumza kwenye mkutano.
罚款	faini	Kuegesha gari kinyume cha sheria kunatozwa faini.
法院	mahakama	Kesi hii imekabidhiwa mahakama ishughulikiwe.
翻	kufungua	Tafadhali fungua kitabu ukurasa wa kumi.
繁荣	kustawi	Uchumi unaanza kustawi polepole.
反而	badala yake	Hakukasirika, badala yake alicheka.
反复	mara kwa mara	Sentensi hii inahitaji kufanyiwa mazoezi mara kwa mara.
反应	mwitikio	Mwitikio wake ulikuwa wa haraka.
反映	kuonyesha	Ripoti hii inaonyesha hali halisi.
反正	vyovyote vile	Vyovyote vile, kesho nina muda.
范围	wigo	Tafadhali usivuke wigo huu.
方	mraba	Tafadhali chora mraba kwenye karatasi.
方案	mpango	Mpango huu unaonekana wa busara zaidi.
方式	mbinu	Mbinu hii ya kujifunza ina ufanisi sana.
妨碍	kuzuia	Tafadhali usiwazuie wengine kufanya kazi.
仿佛	kana kwamba	Anaonekana kana kwamba anajua kila kitu.
非	lazima	Jambo hili lazima lifanywe na wewe.
肥皂	sabuni	Unapoosha mikono, tumia sabuni.
废话	maneno yasiyo na maana	Acha maneno yasiyo na maana, anza haraka.
分别	kuagana	Waliagana kwenye kituo cha treni.
分布	kusambaa	Maduka haya yamesambaa sehemu mbalimbali za jiji.
分配	kugawa	Mwalimu aligawa kazi mpya.
分手	kuachana	Waliachana mwaka jana.
分析	kuchambua	Tunahitaji kuchambua sababu.
纷纷	mmoja baada ya mwingine	Kila mtu mmoja baada ya mwingine alionyesha kukubali.
奋斗	kupambana	Vijana wanapaswa kupambana kwa ajili ya ndoto zao.
疯狂	kwa shauku kubwa	Mashabiki walishangilia kwa shauku kubwa.
风格	mtindo	Mtindo wa mgahawa huu ni wa pekee sana.
风景	mandhari	Mandhari ya mlimani ni nzuri sana.
风俗	desturi	Kila mahali pana desturi zake.
风险	hatari	Uwekezaji una hatari fulani.
讽刺	kukejeli	Makala hii ilikejeli matatizo ya jamii.
否定	kukana	Alikana kauli hii.
否认	kukana	Alikana kuwa alifanya kosa.
幅	kipande	Ukutani kumening'inizwa picha moja.
扶	kumshika	Tafadhali mshike mzee avuke barabara.
服装	mavazi	Duka hili linauza mavazi ya watoto.
辅导	kumsaidia kusoma	Mwalimu huwasaidia wanafunzi kusoma baada ya masomo.
复制	kunakili	Tafadhali nakili nyaraka hii.
妇女	wanawake	Hospitali hii hutoa huduma kwa wanawake.
改革	mageuzi	Shule inaendelea kufanya mageuzi ya ufundishaji.
改进	kuboresha	Tunahitaji kuboresha ubora wa huduma.
改善	kuboresha	Mazoezi yanaweza kuboresha usingizi.
改正	kusahihisha	Tafadhali sahihisha makosa kwa wakati.
概括	kufupisha	Tafadhali fupisha maudhui ya makala.
概念	dhana	Dhana hii si rahisi sana kuelewa.
盖	kufunika	Tafadhali funika kikombe vizuri.
干脆	afadhali moja kwa moja	Afadhali leo usiende kabisa.
干燥	kavu	Majira ya baridi kaskazini ni makavu sana.
感激	kushukuru	Ninashukuru sana kwa msaada wako.
感受	hisia	Ninaweza kuelewa hisia zako.
感想	maoni baada ya tukio	Tafadhali zungumzia maoni yako baada ya tukio.
赶紧	haraka	Muda umeenda, twende haraka.
赶快	haraka	Haraka funga mlango.
干活儿	kufanya kazi	Anafanya kazi uani.
钢铁	chuma	Daraja hili limetengenezwa kwa chuma.
高档	ya kiwango cha juu	Hii ni nyumba ya wageni ya kiwango cha juu.
高级	ngazi ya juu	Amejiunga na darasa la Kichina la ngazi ya juu.
搞	kufanya	Unafanya shughuli gani?
告别	kuagana	Tuliagana na rafiki yetu uwanja wa ndege.
格外	sana	Anga la leo ni la buluu sana.
隔壁	jirani	Mwalimu mmoja anaishi jirani.
个别	baadhi ya	Baadhi ya wanafunzi bado hawajakabidhi kazi ya nyumbani.
个人	binafsi	Haya ni maoni yangu binafsi.
个性	haiba	Ana haiba yake mwenyewe.
各自	kila mmoja	Kila mtu amalize kazi yake mwenyewe.
根	mzizi; kipande	Chini ya meza kuna waya mmoja.
根本	kabisa	Tatizo hili si gumu kabisa.
公布	kutangaza	Shule ilitangaza matokeo ya mtihani.
公开	wazi	Mkutano huu ni wa wazi.
公平	haki	Mashindano yanapaswa kuwa ya haki.
公寓	fleti	Amepanga fleti ndogo.
公元	kalenda ya miladi	Mwaka huu ni 2026 kwa kalenda ya miladi.
公主	binti mfalme	Msichana mdogo anapenda hadithi za binti mfalme.
功能	kazi; uwezo	Kifaa hiki kina kazi nyingi.
工厂	kiwanda	Kiwanda hiki huzalisha magari.
工程师	mhandisi	Kaka yangu ni mhandisi.
工具	zana	Kutengeneza baiskeli kunahitaji zana.
工人	mfanyakazi	Wafanyakazi wanatengeneza barabara.
工业	viwanda	Jiji hili linategemea zaidi viwanda.
恭喜	hongera	Hongera kwa kufaulu mtihani.
贡献	mchango	Alitoa mchango kwa kampuni.
沟通	mawasiliano	Mawasiliano mazuri ni muhimu sana.
构成	kuunda	Sehemu hizi huunda kitu kimoja kamili.
姑姑	shangazi	Wikendi nitaenda kumtembelea shangazi.
姑娘	msichana	Msichana yule ana moyo wa kusaidia sana.
古代	zamani za kale	Zamani za kale hakukuwa na simu za mkononi.
古典	kiasili	Ninapenda muziki wa kiasili.
股票	hisa	Alinunua hisa kadhaa.
骨头	mfupa	Mfupa huu ni mgumu sana.
鼓舞	kutia moyo	Habari hii inatia moyo sana.
鼓掌	kupiga makofi	Watazamaji walimpigia mwigizaji makofi.
固定	maalumu; isiyobadilika	Nina saa maalumu za kazi.
挂号	kujisajili kwa matibabu	Kabla ya kumuona daktari lazima ujisajili kwa matibabu.
乖	mtulivu	Mtoto huyu ni mtulivu sana.
拐弯	kupinda mbele	Kwenye makutano ya mbele pinda kulia.
怪不得	ndiyo maana	Ndiyo maana umechoka hivi.
关闭	kuzima	Kabla ya kuondoka tafadhali zima tarakilishi.
官	afisa	Yeye ni afisa kijana.
观察	kuchunguza	Daktari anachunguza hali ya mgonjwa.
观点	mtazamo	Ninakubaliana na mtazamo wako.
观念	mtazamo	Mitazamo ya vijana inabadilika.
管子	bomba	Bomba hili linavuja maji.
冠军	mshindi	Alishinda ubingwa wa mashindano.
光滑	laini	Uso wa meza hii ni laini sana.
光临	kutembelea	Karibu utembelee tena wakati mwingine.
光明	mwangaza; matumaini	Mustakabali una matumaini.
光盘	diski	Tafadhali hifadhi taarifa kwenye diski.
广场	uwanja	Kuna watu wengi uwanjani.
广大	wengi	Habari hii ilipokelewa vizuri na wanafunzi wengi.
广泛	kwa upana	Kitabu hiki kina athari pana.
归纳	kufupisha kwa mpangilio	Mwalimu alitusaidia kufupisha mambo muhimu.
规矩	kanuni	Mtoto anapaswa kujua kanuni.
规律	mpangilio	Maisha yanapaswa kuwa na mpangilio.
规模	ukubwa	Kampuni hii ina ukubwa mkubwa.
规则	sheria	Sheria za mashindano ni wazi sana.
柜台	kaunta	Tafadhali nenda kaunta kulipa.
滚	kuchemka	Maji yamechemka tayari.
锅	sufuria	Kwenye sufuria kuna supu ya moto.
国庆节	Siku ya Taifa	Wakati wa Siku ya Taifa tunapata likizo.
国王	mfalme	Mfalme anaishi kwenye kasri.
果然	kweli kama ilivyotarajiwa	Kweli kama ilivyotarajiwa, alifika kwa wakati.
果实	matunda	Mti umejaa matunda.
过分	kupita kiasi	Ombi lake limepita kiasi kidogo.
过敏	mzio	Nina mzio wa chavua.
过期	kwisha muda	Maziwa haya yamekwisha muda wake.
哈	ha	Ha, hatimaye nimeelewa.
海关	forodha	Tunapanga foleni forodhani kwa ukaguzi.
海鲜	chakula cha baharini	Chakula cha baharini cha mgahawa huu ni kibichi sana.
喊	kupiga kelele	Usipige kelele darasani.
行业	sekta	Sekta ya utalii inaendelea haraka.
豪华	ya kifahari	Waliishi katika nyumba ya wageni ya kifahari.
好客	mkarimu kwa wageni	Watu wa eneo hilo ni wakarimu sana kwa wageni.
好奇	udadisi	Mtoto ana udadisi mkubwa kuhusu dunia.
何必	kwa nini lazima	Kwa nini lazima ukasirike kwa jambo dogo?
何况	achilia mbali	Leo kuna baridi, achilia mbali kwamba pia kunanyesha.
合法	halali	Mkataba huu ni halali.
合理	ya busara	Bei hii ni ya busara sana.
合同	mkataba	Walisaini mkataba mmoja.
合影	picha ya pamoja	Tulipiga picha ya pamoja wakati wa kuhitimu.
合作	kushirikiana	Tulishirikiana kukamilisha mradi.
和平	amani	Kila mtu anatumaini amani.
核心	kiini	Uaminifu ni kiini cha ushirikiano.
恨	kuchukia	Anajichukia kwa kutokujitahidi mapema.
猴子	nyani	Kuna nyani kadhaa bustanini mwa wanyama.
后背	mgongo	Mgongo wake unauma kidogo.
后果	matokeo	Lazima ufikirie matokeo.
呼吸	kupumua	Tafadhali pumua kwa kina.
忽然	ghafla	Anga liligiza ghafla.
忽视	kupuuza	Usipuuze tatizo hili.
壶	birika	Mezani kuna birika la chai.
糊涂	kuchanganyikiwa	Leo nimechanganyikiwa kidogo.
胡说	kusema upuuzi	Usiseme upuuzi, hili si la kweli.
胡同	uchochoro wa kale	Beijing ina vichochoro vingi vya kale.
蝴蝶	kipepeo	Kuna kipepeo mmoja bustanini.
花生	karanga	Anapenda kula karanga.
华裔	mwenye asili ya Kichina	Yeye ni mwandishi mwenye asili ya Kichina.
滑	kuteleza	Sakafu inateleza sana, kuwa mwangalifu.
划	kupiga makasia	Wakati wa kusafiri kwa boti, yeye ndiye aliyepiga makasia.
化学	kemia	Alisomea kemia chuo kikuu.
话题	mada	Mada hii inavutia sana.
怀念	kukumbuka kwa hamu	Ninakumbuka maisha ya chuo kikuu kwa hamu.
怀孕	kuwa mjamzito	Ana ujauzito wa miezi mitatu.
缓解	kupunguza	Kupumzika kunaweza kupunguza shinikizo.
幻想	kuwaza kwa ndoto	Mara nyingi huwaza kusafiri angani.
慌张	kufadhaika	Unapokutana na tatizo, usifadhaike.
黄金	dhahabu	Bei ya dhahabu imepanda tena.
恢复	kupona	Mwili wake unaendelea kupona.
挥	kupunga	Alipunga mkono.
灰	kijivu	Anga lina rangi ya kijivu.
灰尘	vumbi	Mezani kuna vumbi nyingi.
灰心	kukata tamaa	Hata ukishindwa, usikate tamaa.
汇率	kiwango cha kubadilisha fedha	Kiwango cha kubadilisha fedha cha leo ni kiasi gani?
婚礼	harusi	Harusi yao ilikuwa rahisi sana.
婚姻	ndoa	Ndoa inahitaji kuelewana.
活跃	mchangamfu	Yeye ni mchangamfu sana darasani.
伙伴	mwenza	Yeye ni mwenza wangu bora zaidi.
火柴	kibiriti	Kwenye kisanduku kimebaki kibiriti kimoja tu.
或许	labda	Labda kesho mvua itanyesha.
基本	msingi	Haya ni mahitaji ya msingi.
机器	mashine	Mashine hii imeharibika.
激烈	kali	Mashindano yaliendelea kwa ukali sana.
肌肉	misuli	Baada ya mazoezi, misuli inauma kidogo.
及格	kufaulu	Alifaulu mtihani huu.
急忙	kwa haraka	Alikimbia nje ya darasa kwa haraka.
急诊	dharura	Mgonjwa alipelekwa idara ya dharura.
极其	sana	Tatizo hili ni muhimu sana.
集合	kukusanyika	Tafadhali wote mkusanyike mlangoni saa mbili.
集体	kikundi	Hii ni shughuli ya kikundi.
集中	kuzingatia	Wakati wa somo lazima uzingatie.
寂寞	upweke	Kuishi peke yako wakati mwingine huleta upweke.
系领带	kufunga tai	Kila siku kabla ya kwenda kazini hufunga tai.
纪录	rekodi	Alivunja rekodi ya shule.
纪律	nidhamu	Nidhamu darasani ni muhimu sana.
纪念	kukumbuka	Tulipiga picha ili kukumbuka siku hii.
计算	kukokotoa	Tafadhali kokotoa gharama zote.
记录	kurekodi	Tafadhali rekodi maudhui ya mkutano.
记忆	kumbukumbu	Kumbukumbu hii ni ya thamani sana.
嘉宾	mgeni rasmi	Mgeni rasmi wa leo ni mwandishi.
夹子	kishikio	Tafadhali tumia kishikio kushika nyaraka.
家庭	familia	Familia ni muhimu sana kwa mtoto.
家务	kazi za nyumbani	Wikendi lazima nifanye kazi za nyumbani.
家乡	mji wa nyumbani	Ninakumbuka sana mji wangu wa nyumbani.
假如	ikiwa	Ikiwa kesho mvua itanyesha, hatutaenda.
假设	kudhani	Tukidhani wewe ni mwalimu, ungefanya nini?
假装	kujifanya	Alijifanya hakusikia.
甲	upande A	Upande A unahitaji kulipa kwa wakati.
价值	thamani	Kitabu hiki kina thamani kubwa.
嫁	kuolewa	Mwaka ujao ataolewa na mpenzi wake.
驾驶	kuendesha gari	Unapoendesha gari, endesha kwa uangalifu.
兼职	kazi ya ziada	Usiku hufanya kazi ya ziada.
坚决	thabiti	Alikataa uamuzi huu kwa uthabiti.
坚强	imara	Yeye ni mtu imara.
肩膀	bega	Bega lake limejeruhiwa.
艰巨	ngumu	Hii ni kazi ngumu.
艰苦	ngumu	Walipitia maisha magumu.
剪刀	mkasi	Tafadhali nipatie mkasi.
