source_headword	FR	example_FR
furthermore	de plus	De plus, les coûts augmentent.
gain	gagner; acquérir	Les étudiants gagnent rapidement en confiance.
gang	le gang	Un gang contrôlait la rue.
generate	générer	Les panneaux solaires génèrent de l'énergie.
genre	le genre	La comédie est son genre préféré.
govern	gouverner; régir	Les lois régissent les dépenses publiques.
grab	attraper	Il m'a attrapé le bras.
gradually	progressivement	La douleur a progressivement disparu.
grand	grandiose	L'hôtel a une entrée grandiose.
grant	la subvention; accorder	La subvention a payé l'équipement.
guarantee	garantir	Le billet garantit l'entrée.
handle	gérer	Elle a géré la plainte calmement.
harm	le mal; nuire	Fumer peut nuire à la santé.
harmful	nocif	Ce produit chimique est nocif.
hearing	l'audition; l'audience	Son audition s'est améliorée.
heaven	le paradis	Ils imaginaient le paradis au-dessus.
heel	le talon	Son talon lui faisait très mal.
hell	l'enfer	Le voyage était un enfer.
hesitate	hésiter	N'hésitez pas à demander.
hollow	creux	L'arbre était creux à l'intérieur.
holy	saint; sacré	Ils ont visité un lieu sacré.
honour	l'honneur	Ils se sont battus pour l'honneur.
household	le ménage	Chaque ménage a reçu de l'eau.
housing	le logement	Les coûts du logement continuent d'augmenter.
humorous	humoristique	Son histoire était humoristique.
humour	l'humour	L'humour a aidé à réduire la tension.
hunting	la chasse	La chasse est interdite ici.
illustrate	illustrer	Les exemples illustrent la règle.
illustration	l'illustration	L'illustration montre le processus.
imagination	l'imagination	Les enfants utilisent librement leur imagination.
impatient	impatient	Les conducteurs sont devenus impatients.
imply	impliquer	Son silence peut impliquer un accord.
impose	imposer	Le tribunal a imposé une amende.
impress	impressionner	Son courage a impressionné tout le monde.
impressed	impressionné	J'ai été impressionné par son travail.
inch	le pouce	Déplacez-le d'un pouce vers la gauche.
incident	l'incident	L'incident a causé de l'inquiétude.
income	le revenu	Leur revenu a augmenté lentement.
increasingly	de plus en plus	Le logement devient de plus en plus cher.
industrial	industriel	La ville a des racines industrielles.
infection	l'infection	L'infection s'est propagée rapidement.
inform	informer	Veuillez informer le directeur.
initial	initial	Le coût initial était élevé.
initially	initialement	Initialement, personne ne l'a cru.
initiative	l'initiative	Elle a lancé une nouvelle initiative.
inner	intérieur	La porte intérieure était verrouillée.
insight	l'aperçu; la compréhension	Le rapport offre un aperçu utile.
insist	insister	Ils insistent sur les contrôles de sécurité.
inspire	inspirer	Son histoire peut inspirer les autres.
install	installer	Ils ont installé un nouveau chauffage.
instance	l'exemple; le cas	C'est un exemple clair.
