source_headword	PL	example_PL
kill	zabić	Nie zabijaj tego owada.
king	król	Król mieszkał w pałacu.
knee	kolano	Boli mnie kolano.
knife	nóż	Użyj ostrego noża.
knock	pukać	Zapukaj, zanim wejdziesz.
knowledge	wiedza	Wiedza rośnie dzięki praktyce.
lab	laboratorium	Laboratorium jest zamknięte.
lady	pani;kobieta	Ta pani uśmiechnęła się do nas.
lake	jezioro	Jezioro jest spokojne.
lamp	lampa	Włącz lampę.
laptop	laptop	Mój laptop jest nowy.
last1 (taking time)	trwać	Film trwał dwie godziny.
laughter	śmiech	Usłyszeliśmy śmiech na zewnątrz.
law	prawo	Przepisy zmieniły się wczoraj.
lawyer	prawnik	Prawnik zadzwonił do mnie.
lazy	leniwy	Nie bądź leniwy.
lead1	prowadzić	Dobry lider prowadzi przykładem.
leader	lider;przywódca	Ona jest liderką zespołu.
learning	nauka;uczenie się	Nauka wymaga czasu.
least	najmniej;najmniejszy	Wybierz najmniej drogi.
lecture	wykład	Wykład zaczyna się o dziesiątej.
lemon	cytryna	Dodaj cytrynę do herbaty.
lend	pożyczyć komuś	Czy możesz pożyczyć mi pięć dolarów?
less	mniej	Jedz mniej cukru.
level	poziom	Ten poziom jest łatwy.
lifestyle	styl życia	On ma zdrowy styl życia.
lift	podnieść;winda	Ostrożnie podnieś pudełko.
light	zapalić;zaświecić	Ostrożnie zapal świecę.
light (not heavy)	lekki	Ta torba jest lekka.
likely	prawdopodobny	Prawdopodobnie jutro będzie padać.
link	link;łącze	Wyślij mi ten link.
listener	słuchacz	Bądź dobrym słuchaczem.
lock	zamknąć na klucz;zamek	Zamknij drzwi na klucz.
lorry	ciężarówka	Ciężarówka wiozła pudełka.
lost	zgubiony;zagubiony	Zgubiliśmy się.
loud	głośny	Muzyka jest głośna.
loudly	głośno	Proszę, nie mów głośno.
lovely	uroczy;piękny	Jaki piękny ogród!
low	niski	Krzesło jest niskie.
luck	szczęście	Powodzenia na teście.
lucky	szczęśliwy;mający szczęście	Masz dziś szczęście.
mail	poczta;list	Dostałem dziś rano list.
major	główny;poważny	To poważny problem.
male	męski;samiec	Samiec ptaka jest jasny.
manage	zarządzać;dać radę	Czy dasz radę wykonać to zadanie?
manager	kierownik;menedżer	Kierownik jest zajęty.
manner	sposób;maniery	Mów w uprzejmy sposób.
mark	zaznaczyć;ocena	Zaznacz wyraźnie swoją odpowiedź.
marry	poślubić;pobrać się	Oni pobiorą się w czerwcu.
material	materiał	Ten materiał jest miękki.
mathematics	matematyka	Matematyka to mój ulubiony przedmiot.
maths	matematyka	Matematyka jest dla mnie trudna.
matter	sprawa;mieć znaczenie	To nie ma znaczenia.
may modal	móc;może	Możesz teraz iść.
media	media	Media opisały tę historię.
medical	medyczny	Ona potrzebuje pomocy medycznej.
medicine	lekarstwo	Weź to lekarstwo po obiedzie.
memory	pamięć	Moja pamięć jest dobra.
mention	wspomnieć;wzmianka	Nie wspominaj mojego imienia.
metal	metal	Brama jest z metalu.
method	metoda	Ta metoda działa dobrze.
middle	środek	Stań pośrodku.
might modal	móc;może	Później może padać.
mind	umysł;zdanie	Zmieniłem zdanie.
mine (belongs to me)	moje;należące do mnie	Ta książka jest moja.
mirror	lustro	Spójrz w lustro.
missing	brakujący;zaginiony	Moje klucze zaginęły.
mobile	telefon komórkowy	Mój telefon jest na stole.
monkey	małpa	Małpa wspięła się na drzewo.
moon	księżyc	Księżyc jest jasny.
mostly	głównie;przeważnie	Klasa była głównie cicha.
motorcycle	motocykl	On jeździ motocyklem.
movement	ruch	Zobaczyłem ruch w drzewach.
musical	musical;muzyczny	To jest film muzyczny.
musician	muzyk	Muzyk grał na gitarze.
myself	sam;siebie	Zrobiłem to sam.
narrow	wąski	Droga jest wąska.
national	narodowy;krajowy	To jest święto narodowe.
nature	przyroda;natura	Kocham przyrodę.
nearly	prawie	Jesteśmy prawie na miejscu.
necessary	konieczny;potrzebny	Czy to jest konieczne?
neck	szyja	Boli mnie szyja.
neither	żaden	Żadna odpowiedź nie jest poprawna.
nervous	zdenerwowany	Ona czuje się zdenerwowana.
network	sieć	Sieć nie działa.
noise	hałas	Usłyszałem głośny hałas.
noisy	hałaśliwy	Ulica jest hałaśliwa.
none	żaden;nic	Żaden z nich nie przyszedł.
normal	normalny	To jest normalne.
normally	zwykle	Zwykle wstaję wcześnie.
notice	zauważyć;ogłoszenie	Czy zauważyłeś ten znak?
novel	powieść	Ona napisała powieść.
nowhere	nigdzie	Nigdzie nie było miejsca do siedzenia.
nut	orzech	Orzech jest twardy.
ocean	ocean	Ocean jest głęboki.
offer	oferować;oferta	Przyjąłem ofertę.
officer	funkcjonariusz;oficer	Funkcjonariusz sprawdził mój bilet.
oil	olej;ropa	Dodaj olej na patelnię.
onto	na;na górę	Połóż to na półce.
opportunity	okazja;szansa	To dobra okazja.
option	opcja;wybór	Wybierz najlepszą opcję.
ordinary	zwykły	To był zwykły dzień.
organization	organizacja	Ta organizacja pomaga uczniom.
organize	zorganizować;uporządkować	Proszę uporządkować pliki.
original	oryginalny;pierwotny	Zachowaj oryginalny paragon.
ourselves	sami;siebie	Sami ugotowaliśmy kolację.
oven	piekarnik	Piekarnik jest gorący.
owner	właściciel	Właściciel otworzył sklep.
pack	pakować;paczka	Spakuj teraz torbę.
pain	ból	Czuję ból w plecach.
painter	malarz	Malarz skończył ścianę.
palace	pałac	Pałac jest stary.
pants	spodnie	Te spodnie są za długie.
parking	parkowanie;parking	Parkowanie jest tutaj trudne.
particular	konkretny;szczególny	Potrzebuję konkretnej książki.
pass	podać;przejść	Podaj mi sól.
passenger	pasażer	Każdy pasażer potrzebuje biletu.
patient	pacjent;cierpliwy	Bądź cierpliwy wobec dzieci.
pattern	wzór;schemat	Ten wzór jest prosty.
peace	pokój;spokój	Wszyscy chcemy pokoju.
penny	grosz;drobna moneta	Znalazłem drobną monetę.
per	na;za	Bilet kosztuje dziesięć dolarów za osobę.
per cent	procent	Pięć procent to mało.
perform	występować;wykonać	Zespół wystąpi dziś wieczorem.
perhaps	może;być może	Być może ona jest w domu.
permission	pozwolenie	Poproś najpierw o pozwolenie.
personality	osobowość	Ona ma przyjazną osobowość.
pet	zwierzę domowe	Moim zwierzęciem domowym jest kot.
petrol	benzyna	Samochód potrzebuje benzyny.
physical	fizyczny	Ćwiczenia fizyczne pomagają zdrowiu.
physics	fizyka	Fizyka jest trudna.
pick	wybrać;zerwać	Wybierz jedną kartę.
pilot	pilot	Pilot mówił wyraźnie.
planet	planeta	Ziemia jest planetą.
plastic	plastik;plastikowy	Ta butelka jest plastikowa.
plate	talerz	Połóż jedzenie na talerzu.
platform	peron;platforma	Czekaj na peronie drugim.
pleased	zadowolony	Miło mi cię poznać.
pocket	kieszeń	Bilet jest w mojej kieszeni.
polite	uprzejmy	Bądź uprzejmy dla wszystkich.
pollution	zanieczyszczenie	Zanieczyszczenie szkodzi oceanowi.
pop	pop	Lubię muzykę pop.
population	populacja;ludność	Liczba ludności rośnie.
position	pozycja	Zmień swoją pozycję.
possession	własność;posiadanie	Ten pierścionek jest moją własnością.
possibility	możliwość	Istnieje możliwość deszczu.
poster	plakat	Przyklej plakat na ścianie.
power	moc;energia	Komputer potrzebuje energii.
predict	przewidzieć	Nie możemy przewidzieć pogody.
president	prezydent	Prezydent wygłosił przemówienie.
prevent	zapobiegać	Myj ręce, aby zapobiegać chorobie.
print	drukować	Wydrukuj ten dokument.
printer	drukarka	Drukarka jest zepsuta.
prison	więzienie	On trafił do więzienia.
prize	nagroda	Ona wygrała nagrodę.
process	proces	Ten proces wymaga czasu.
produce	produkować;wytwarzać	Farmy produkują żywność.
professional	profesjonalny;zawodowiec	Ona jest zawodową tancerką.
professor	profesor	Profesor odpowiedział na pytanie.
profile	profil	Zaktualizuj swój profil.
program	program	Program zaczyna się teraz.
progress	postęp	Zrobiliśmy dziś postęp.
promise	obiecać;obietnica	Dotrzymaj obietnicy.
pronounce	wymówić	Proszę wymówić to słowo.
protect	chronić	Chroń swoje oczy.
provide	zapewnić;dostarczyć	Oni zapewniają darmową wodę.
pub	pub;bar	Spotkaliśmy się w pubie.
public	publiczny	Ten park jest publiczny.
publish	opublikować	Oni publikują magazyn.
pull	ciągnąć	Pociągnij te drzwi.
purpose	cel	Jaki jest cel?
push	pchnąć;nacisnąć	Naciśnij przycisk.
quality	jakość	Jakość jest wysoka.
quantity	ilość	Sprawdź ilość.
queen	królowa	Królowa pomachała ręką.
quietly	cicho	Mów cicho.
race (competition)	wyścig;zawody	Wyścig zaczyna się wkrótce.
railway	kolej;tor kolejowy	Tor kolejowy jest zamknięty.
raise	podnieść;zwiększyć	Podnieś rękę.
rate	stawka;poziom	Stawka hotelu jest wysoka.
rather	raczej;dość	Jestem dość zmęczony.
reach	sięgnąć;dotrzeć	Czy możesz sięgnąć do półki?
react	reagować	Jak ona zareagowała?
realize	zdać sobie sprawę	Uświadomiłem sobie swój błąd.
receive	otrzymać	Czy otrzymałeś moją wiadomość?
recent	niedawny;ostatni	To jest niedawne zdjęcie.
recently	niedawno	Niedawno się tu przeprowadziłem.
reception	recepcja;przyjęcie	Przyjęcie jest w poniedziałek.
recipe	przepis	Ten przepis jest łatwy.
recognize	rozpoznać	Rozpoznaję tę piosenkę.
recommend	polecić	Polecam tę książkę.
record	nagranie;zapis	Zachowaj zapis płatności.
recording	nagranie	Nagranie brzmi wyraźnie.
recycle	recyklingować;przetwarzać	Przetwarzaj papier i plastik.
reduce	zmniejszyć	Zmniejsz ciepło.
refer	odnosić się;skierować	Odnieś się do strony drugiej.
refuse1	odmówić	Odmawiam kłamania.
region	region;obszar	Ten region jest zimny.
regular	regularny;stały	Ona jest stałą klientką.
relationship	relacja;związek	Ich relacja jest silna.
remove	usunąć;zdjąć	Zdejmij buty.
repair	naprawić	Napraw dziś rower.
replace	wymienić;zastąpić	Wymień starą baterię.
reply	odpowiedzieć	Proszę odpowiedzieć szybko.
reporter	reporter	Reporter robił notatki.
request	prośba;żądanie	Złożyłem prośbę.
research	badania;badać	Badamy lokalną historię.
researcher	badacz	Badacz sprawdził dane.
respond	odpowiedzieć;zareagować	Proszę odpowiedzieć dzisiaj.
response	odpowiedź;reakcja	Odpowiedź była szybka.
rest (remaining part)	reszta	Zjedz resztę później.
rest (sleep/relax)	odpoczynek	Musisz odpocząć.
review	przejrzeć;recenzja	Przejrzyj notatki dziś wieczorem.
ring1	pierścionek;obrączka	Ona nosi złoty pierścionek.
ring2	dzwonić;zadzwonić	Zadzwoń do mnie po obiedzie.
rise	wzrost;rosnąć	Ceny rosną co roku.
rock (stone)	kamień	Ten kamień jest ciężki.
