source_headword	IS	example_IS
veteran	öldungur	Öldungurinn þjálfaði nýja starfsfólkið.
viable	raunhæfur	Tillagan er fjárhagslega raunhæf.
vibrant	líflegur	Borgin hefur líflegt listalíf.
vice	löstur	Ágirnd var hans stærsti löstur.
vicious	grimmilegur	Grimmileg árásin sló bæinn óhug.
villager	þorpsbúi	Þorpsbúi vísaði okkur leiðina að ánni.
violate	að brjóta	Fyrirtækið gæti brotið öryggisreglur.
violation	brot	Eftirlitsmaðurinn tilkynnti um alvarlegt brot.
virtue	dyggð	Þolinmæði er mikilvæg dyggð.
vocal	hávær	Hún var hávær varðandi ákvörðunina.
vow	að heita	Hann hét því að klára verkið.
vulnerability	veikleiki	Úttektin leiddi í ljós öryggisveikleika.
vulnerable	viðkvæmur	Börn eru viðkvæm í miklum hita.
ward	deild	Sjúklingurinn flutti á aðra deild.
warehouse	vöruhús	Vöruhúsið geymir varahluti.
warfare	hernaður	Nútímahernaður byggist á tækni.
warrant	heimild	Lögreglan sýndi húsleitarheimild.
warrior	stríðsmaður	Stríðsmaðurinn verndaði þorpið.
weaken	að veikjast	Meiðslin veikuðu grip hans.
weave	að flétta	Hún lærði að flétta körfur.
weed	illgresi	Illgresi óx á milli steinanna.
well	brunnur	Þorpsbrunnurinn þornaði upp.
well-being	vellíðan	Svefn er lífsnauðsynlegur fyrir vellíðan.
whatsoever	yfirleitt	Hann sýndi engan áhuga yfirleitt.
whereby	samkvæmt hverju	Lögin sköpuðu kerfi þar sem fjölskyldur gátu áfrýjað.
whilst	á meðan	Hún vann á meðan hann hvíldi sig.
whip	að þeyta	Vindurinn getur þeytt fánunum.
wholly	algjörlega	Ákvörðunin var algjörlega óvænt.
widen	að breikka	Borgin ætlar að breikka veginn.
widow	ekkja	Ekkjan býr nálægt skólanum.
width	breidd	Mældu breidd hurðarinnar.
willingness	vilji	Vilji hennar til að hjálpa vakti hrifningu allra.
wipe	að þurrka	Þurrkaðu skjáinn með klút.
wit	hnyttni	Hnyttni hans gerði ræðuna líflega.
withdrawal	afturköllun	Afturköllun fjármagns tafði verkefnið.
workout	æfing	Æfingin stóð í fjörutíu mínútur.
worship	tilbeiðsla	Fólk kom saman til tilbeiðslu í dögun.
worthwhile	þess virði	Ferðin var þess virði.
worthy	verðugur	Góðgerðarsamtökin eru verðug stuðnings.
yell	að öskra	Ekki öskra á starfsfólkið.
yield	uppskera	Uppskera býlisins batnaði á þessari leiktíð.
youngster	ungmenni	Ungmennið spurði margra spurninga.
