source_headword	FR	example_FR
dignity	la dignité	Tout le monde mérite la dignité au travail.
dilemma	le dilemme	Le manager a fait face à un sérieux dilemme.
dimension	la dimension	Le problème a une dimension politique.
diminish	diminuer	La douleur devrait diminuer lentement.
dip	baisser	Les températures peuvent baisser en dessous de zéro.
diplomat	le diplomate	Le diplomate a rencontré des dirigeants étrangers.
diplomatic	diplomatique	Les pourparlers diplomatiques se sont poursuivis toute la nuit.
directory	l'annuaire	Cherchez son numéro dans l'annuaire.
disastrous	désastreux	L'inondation désastreuse a détruit plusieurs ponts.
discard	jeter	Ne jetez pas les dossiers utiles.
discharge	faire sortir	L'hôpital le fera sortir demain.
disclose	divulguer	Les responsables ont refusé de divulguer les chiffres.
disclosure	la révélation	La révélation a choqué le conseil d'administration.
discourse	le discours	Le discours public est devenu plus poli.
discretion	la discrétion	Faites preuve de discrétion avec les cas sensibles.
discrimination	la discrimination	La loi interdit la discrimination à l'embauche.
dismissal	le licenciement	Son licenciement a provoqué la colère du public.
displace	déplacer	La guerre pourrait déplacer des milliers de personnes.
disposal	l'élimination	L'élimination des déchets reste un problème local.
dispose	éliminer	L'entreprise doit éliminer les produits chimiques en toute sécurité.
dispute	le litige	Le litige a duré des mois.
disrupt	perturber	Le bruit peut perturber la concentration.
disruption	la perturbation	La grève a causé des perturbations majeures.
dissolve	dissoudre	Le sucre se dissoudra dans le thé chaud.
distinction	la distinction	La distinction entre eux est importante.
distinctive	distinctif	Elle a une voix distinctive.
distort	déformer	Le miroir peut déformer votre reflet.
distress	la détresse	L'appel a causé une grave détresse.
disturbing	dérangeant	Le documentaire a montré des scènes dérangeantes.
divert	détourner	La police a dû détourner le trafic.
divine	divin	La chapelle a une atmosphère divine.
doctrine	la doctrine	Le parti a rejeté l'ancienne doctrine.
documentation	la documentation	Complétez la documentation avant le lancement.
domain	le domaine	Le site web utilise un domaine sécurisé.
dominance	la domination	La domination de l'équipe a duré une décennie.
donor	le donneur	Le donneur a donné son sang aujourd'hui.
dose	la dose	Prenez une dose après le petit-déjeuner.
drain	s'écouler	L'eau s'écoulera dans la rivière.
drift	dériver	La fumée a commencé à dériver à travers la route.
driving	principal	La pluie était le facteur principal des retards.
drown	se noyer	Ne nagez jamais là où les courants peuvent vous noyer.
dual	double	L'appareil a une double fonction.
dub	surnommer	Les critiques surnomment la ville capitale culturelle.
dumb	stupide	C'était une erreur stupide.
duo	le duo	Le duo comique a fait une tournée en Europe.
eager	impatient	Les étudiants étaient impatients de commencer.
earnings	les bénéfices	Les bénéfices de l'entreprise ont fortement augmenté.
ease	faciliter	La nouvelle route facilitera la circulation.
echo	résonner	Sa voix a résonné dans le hall.
ecological	écologique	L'impact écologique reste incertain.
educator	l'éducateur	L'éducateur a conçu un nouveau cours.
effectiveness	l'efficacité	L'étude a mesuré l'efficacité du vaccin.
efficiency	l'efficacité	Un meilleur logiciel a amélioré l'efficacité.
ego	l'ego	Son ego a causé des problèmes au travail.
elaborate	élaboré	Le costume élaboré a pris des semaines.
electoral	électoral	Le système électoral a changé l'année dernière.
elevate	élever	Le prix élèvera son profil.
eligible	éligible	Seuls les résidents sont éligibles aux réductions.
elite	l'élite	L'élite s'entraînait dans une académie privée.
embark	entreprendre	Ils vont entreprendre un long voyage.
embarrassment	l'embarras	Il a ri pour cacher son embarras.
embassy	l'ambassade	L'ambassade a publié de nouveaux conseils aux voyageurs.
embed	intégrer	Le journaliste s'intégrera à l'unité.
embody	incarner	La statue semble incarner le courage.
emergence	l'émergence	L'émergence des téléphones a changé la vie quotidienne.
empirical	empirique	L'article s'appuie sur des preuves empiriques.
empower	émanciper	L'éducation peut émanciper les communautés locales.
enact	adopter	Le parlement a voté pour adopter la réforme.
encompass	couvrir	Le cours couvrira l'histoire moderne.
encouragement	l'encouragement	Ses encouragements l'ont aidé à continuer.
encouraging	encourageant	Les premiers résultats semblent encourageants.
endeavour	l'entreprise	Le sauvetage fut une entreprise difficile.
endless	sans fin	Le désert semblait sans fin.
endorse	soutenir	Le syndicat a refusé de soutenir le candidat.
endorsement	le soutien	Son soutien a stimulé sa campagne.
endure	endurer	Les plantes peuvent endurer des hivers rudes.
enforce	faire respecter	La police fait respecter la limite de vitesse.
enforcement	l'application	Une application plus stricte a réduit les décharges illégales.
engagement	l'engagement	L'engagement des étudiants s'est amélioré ce semestre.
engaging	captivant	L'orateur a donné une conférence captivante.
enquire	se renseigner	Veuillez vous renseigner à la réception.
enrich	enrichir	Les voyages peuvent enrichir votre compréhension.
enrol	s'inscrire	Les étudiants doivent s'inscrire avant septembre.
ensue	s'ensuivre	Le chaos pourrait s'ensuivre après l'annonce.
enterprise	l'entreprise	L'entreprise emploie des artistes locaux.
enthusiast	le passionné	Tout passionné de cyclisme connaît cet itinéraire.
entitle	donner droit	Le billet vous donnera droit à l'entrée.
entity	l'entité	La société est une entité juridique distincte.
epidemic	l'épidémie	L'épidémie s'est propagée dans plusieurs régions.
equality	l'égalité	Le mouvement a lutté pour l'égalité.
equation	l'équation	L'équation contient deux inconnues.
erect	ériger	Les ouvriers vont ériger une nouvelle clôture.
escalate	s'intensifier	Le conflit pourrait s'intensifier rapidement.
essence	l'essence	Le poème capture l'essence de l'enfance.
establishment	les autorités	Les autorités se sont opposées à la réforme.
eternal	éternel	Ils se sont promis une amitié éternelle.
evacuate	évacuer	Les pompiers ont aidé les résidents à évacuer en toute sécurité.
evoke	évoquer	La chanson peut évoquer des souvenirs intenses.
evolutionary	évolutif	Le fossile montre un changement évolutif.
exaggerate	exagérer	N'exagérez pas votre expérience.
excellence	l'excellence	L'école récompense l'excellence académique.
exceptional	exceptionnel	Elle a fait preuve d'une compétence exceptionnelle.
excess	l'excès	L'excès d'eau a inondé le sous-sol.
exclusion	l'exclusion	L'exclusion sociale nuit aux jeunes.
exclusive	exclusif	Le club offre un accès exclusif.
exclusively	exclusivement	Cette pièce est utilisée exclusivement par le personnel.
execute	exécuter	L'équipe exécutera le plan avec soin.
execution	l'exécution	L'exécution de la stratégie a pris des mois.
exert	exercer	Vous devez exercer plus de pression.
exile	l'exil	L'écrivain vivait en exil.
expenditure	la dépense	Les dépenses publiques ont augmenté l'année dernière.
experimental	expérimental	Le traitement est encore expérimental.
expire	expirer	Mon passeport va bientôt expirer.
explicit	explicite	Les instructions étaient explicites.
explicitly	explicitement	Les règles interdisent explicitement de fumer.
exploitation	l'exploitation	Le rapport a dénoncé l'exploitation des travailleurs.
explosive	explosif	L'engin explosif a été retiré en toute sécurité.
extremist	l'extrémiste	Le groupe extrémiste a perdu des soutiens.
facilitate	faciliter	L'application facilitera l'apprentissage à distance.
faction	la faction	Une faction s'est opposée au chef.
faculty	le corps professoral	Le corps professoral a approuvé la proposition.
fade	décolorer	La peinture se décolorera au soleil.
fairness	l'équité	L'équité est importante dans chaque compétition.
fatal	mortel	L'accident a causé des blessures mortelles.
fate	le sort	Personne ne connaissait son sort.
favourable	favorable	La critique a été favorable.
feat	l'exploit	Escalader ce sommet était un exploit.
feminist	féministe	Le mouvement féministe a changé le débat public.
fibre	la fibre	Ce pain contient plus de fibres.
fierce	féroce	La violente tempête a endommagé des toits.
film-maker	le cinéaste	Le cinéaste a répondu aux questions ensuite.
filter	le filtre	Le filtre élimine la poussière de l'air.
fine	l'amende	L'entreprise a payé une amende.
firearm	l'arme à feu	L'officier a récupéré une arme à feu volée.
fit	l'ajustement	Les nouvelles chaussures offrent un ajustement parfait.
fixture	l'installation fixe	La lampe est une installation fixe permanente.
flaw	le défaut	Le design a un défaut sérieux.
flawed	défectueux	L'étude défectueuse a donné de faux résultats.
flee	fuir	Les familles ont dû fuir les combats.
fleet	la flotte	La compagnie aérienne a renouvelé sa flotte.
flesh	la chair	L'épine a percé sa chair.
flexibility	la flexibilité	Le travail à distance offre plus de flexibilité.
flourish	prospérer	Les petites entreprises peuvent prospérer ici.
fluid	le liquide	Buvez beaucoup de liquide après l'exercice.
footage	les images	Les images ont montré l'accident.
foreigner	l'étranger	Le formulaire demande si vous êtes un étranger.
forge	forger	Ils ont essayé de forger une nouvelle alliance.
formula	la formule	La formule a résolu le problème.
formulate	formuler	Les scientifiques formulent une nouvelle théorie.
forth	en avant	La rivière a emporté le bateau en avant.
forthcoming	prochain	Le prochain rapport expliquera tout.
foster	favoriser	Le programme aide à favoriser l'indépendance.
fragile	fragile	Le vase fragile nécessite une manipulation prudente.
franchise	la franchise	Le restaurant est devenu une franchise mondiale.
frankly	franchement	Franchement, nous avons besoin de plus de temps.
frustrated	frustré	Les travailleurs se sentaient frustrés par le retard.
frustrating	frustrant	La connexion lente était frustrante.
frustration	la frustration	La frustration a augmenté pendant la réunion.
functional	fonctionnel	L'ancienne cuisine est encore fonctionnelle.
fundraising	la collecte de fonds	La collecte de fonds commence la semaine prochaine.
funeral	les funérailles	Les funérailles ont eu lieu vendredi.
gallon	le gallon	Le réservoir contient un gallon.
gambling	les jeux d'argent	Les jeux d'argent sont limités par la loi.
gathering	le rassemblement	Le rassemblement s'est terminé pacifiquement.
gaze	le regard	Elle a soutenu son regard brièvement.
gear	l'équipement	Emballez l'équipement de sécurité avant de grimper.
generic	générique	La version générique coûte moins cher.
genocide	le génocide	Le génocide a laissé un profond traumatisme national.
glance	le coup d'œil	Il a jeté un coup d'œil rapide.
glimpse	l'aperçu	J'ai attrapé un aperçu de la mer.
glorious	glorieux	L'équipe a profité d'une victoire glorieuse.
glory	la gloire	Elle rêvait de gloire olympique.
governance	la gouvernance	Une bonne gouvernance nécessite de la transparence.
grace	la grâce	Elle a accepté la défaite avec grâce.
grasp	saisir	Il n'a pas réussi à saisir le concept.
grave (for dead person)	la tombe	La tombe était couverte de fleurs.
grave (serious)	grave	La situation reste grave.
gravity	la gravité	La gravité attire les objets vers la Terre.
grid	la grille	La carte utilise une grille simple.
grief	le deuil	Le chagrin a changé toute sa famille.
grin	le sourire	Le garçon a fait un large sourire.
grind	moudre	Les travailleurs moulent les grains chaque matin.
grip	la prise	Gardez une prise ferme sur la corde.
gross	brut	Le revenu brut a fortement augmenté.
guerrilla	la guérilla	Les combattants de la guérilla se sont cachés dans les collines.
guidance	l'orientation	Le guide fournit une orientation pratique.
guilt	la culpabilité	Elle a ressenti de la culpabilité après avoir menti.
gut	l'instinct	Faites confiance à votre instinct dans les choix difficiles.
hail	acclamer	Les villageois acclament le docteur comme un héros.
halfway	à mi-chemin	Nous nous sommes arrêtés à mi-chemin de la colline.
halt	l'arrêt	Le train s'est arrêté brusquement.
handful	la poignée	Une poignée de bénévoles sont restés tard.
handling	la manipulation	Une manipulation appropriée évite les dommages.
handy	pratique	Cet outil est pratique pour les réparations.
harassment	le harcèlement	L'entreprise a enquêté sur les plaintes de harcèlement.
hardware	le matériel	Le magasin vend du matériel informatique.
harmony	l'harmonie	Le chœur a chanté en parfaite harmonie.
harsh	sévère	Le juge a prononcé une peine sévère.
harvest	la récolte	La récolte commence en septembre.
haunt	hanter	Le souvenir continuait de le hanter.
hazard	le danger	La glace est un grave danger sur la route.
heighten	accroître	Le discours peut accroître les tensions.
heritage	le patrimoine	Le château fait partie du patrimoine local.
hierarchy	la hiérarchie	La hiérarchie du bureau est clairement définie.
high-profile	très médiatisé	Le procès très médiatisé a attiré les journalistes.
hint	l'indice	Elle m'a donné un indice utile.
homeland	la patrie	Il est retourné dans sa patrie.
hopeful	plein d'espoir	Les médecins sont pleins d'espoir quant au rétablissement.
horizon	l'horizon	Le soleil a disparu sous l'horizon.
horn	le klaxon	Le klaxon de la voiture a réveillé tout le monde.
hostage	l'otage	L'otage est rentré chez lui.
hostile	hostile	La foule est devenue hostile.
hostility	l'hostilité	L'hostilité ouverte a mis fin aux pourparlers.
humanitarian	humanitaire	La mission humanitaire a livré de la nourriture.
humanity	l'humanité	L'humanité fait face à des défis communs.
humble	humble	Elle est restée humble après le succès.
hydrogen	l'hydrogène	L'hydrogène brûle très facilement.
identification	l'identification	Une identification est requise à l'entrée.
ideological	idéologique	Le conflit avait des racines idéologiques.
ideology	l'idéologie	Son idéologie façonnait chaque discours.
idiot	l'idiot	Ne traitez personne d'idiot.
ignorance	l'ignorance	L'ignorance peut propager la peur.
imagery	l'imagerie	Le poème utilise une imagerie vivante.
immense	immense	Le projet a nécessité un effort immense.
imminent	imminent	Une tempête semblait imminente.
implementation	la mise en œuvre	La mise en œuvre de la loi a été lente.
imprison	emprisonner	Le régime a tenté d'emprisonner les critiques.
imprisonment	l'emprisonnement	Son emprisonnement a duré cinq ans.
inability	l'incapacité	Son incapacité à se concentrer a inquiété les professeurs.
inadequate	inadéquat	Le refuge avait un chauffage inadéquat.
inappropriate	inapproprié	Sa blague était inappropriée.
incidence	l'incidence	L'incidence de la grippe a augmenté.
inclined	enclin	Elle est encline à être d'accord.
inclusion	l'inclusion	L'école favorise l'inclusion.
