source_headword	SR	example_SR
basket	корпа	Ставила је јабуке у корпу.
bat	слепи миш	Слепи миш је излетео из пећине.
beneficial	користан	Редовно вежбање је корисно за здравље.
beside	поред	Лампа стоји поред кауча.
besides	осим тога	Осим математике, он учи хемију.
bias	пристрасност	Чланак је показао јасну пристрасност.
bid	понуда	Компанија је дала вишу понуду.
biological	биолошки	Биолошки тест је потврдио резултат.
blanket	ћебе	Дете је спавало испод ћебета.
blow	ударац	Снажан ударац је разбио прозор.
bold	храбар	Наслов је користио подебљана слова.
bombing	бомбардовање	Бомбардовање је оштетило неколико зграда.
booking	резервација	Потврдио сам резервацију хотела.
boost	подстицај	Победа је подстакла самопоуздање тима.
bound	обавезан	Пакет је био везан концем.
brick	цигла	Зид је направљен од цигле.
briefly	кратко	Говорила је накратко након ручка.
broadcaster	емитер	Емитер је интервјуисао градоначелника.
broadly	широко	Два плана су уопштено слична.
bug	буба	Апликација се срушила због грешке.
cabin	кабина	Боравили смо у малој колиби.
canal	канал	Бродови су се полако кретали дуж канала.
candle	свећа	Свећа је горела на столу.
carbon	угљеник	Дрвеће апсорбује угљеник из ваздуха.
casual	лежеран	Носио је опуштену одећу на посао.
cave	пећина	Планинари су ушли у пећину.
certainty	сигурност	Не можемо знати са сигурношћу.
certificate	сертификат	Добила је сертификат о обуци.
challenging	изазован	Курс је био изазован, али користан.
championship	првенство	Наш тим је стигао до финала првенства.
charming	шармантан	Стара улица је изгледала шармантно.
chase	потера	Пас је јурио лопту.
cheek	образ	Суза јој је потекла низ образ.
cheer	навијање	Гомила је почела гласно да навија.
choir	хор	Хор је прелепо певао.
chop	сецкати	Исецкајте лук на мале комаде.
circuit	струјно коло	Тркач је завршио стазу.
civilization	цивилизација	Древна цивилизација је обликовала овај регион.
clarify	разјаснити	Молимо вас појасните последњу тачку.
classify	класификовати	Научници класификују животиње по врстама.
clerk	службеник	Службеник је одштампао рачун.
cliff	литица	Стаза се завршава близу литице.
clinic	клиника	Клиника се отвара у осам.
clip	исечак	Причврстила је спајалицу за папир.
coincidence	случајност	Сусрет са њим тамо био је случајност.
collector	колекционар	Колекционар је купио ретке новчиће.
colony	колонија	Мрави су изградили велику колонију.
colourful	шарен	Пијаца је била светла и шарена.
comic	стрип	Комична сцена нас је насмејала.
commander	командант	Командант је дао јасна наређења.
comparative	упоредан	Есеј користи компаративне податке.
completion	завршетак	Мост је близу завршетка.
compose	саставити	Он ће компоновати музику за филм.
composer	композитор	Композитор је написао нову песму.
compound	једињење	Једињење садржи две хемикалије.
comprehensive	свеобухватан	Водич даје свеобухватна упутства.
comprise	обухватати	Тим се састоји од пет чланова.
compulsory	обавезан	Присуство је обавезно за овај час.
concrete	бетон	Под је направљен од бетона.
confess	признати	Признао је грешку свом наставнику.
confusion	збуњеност	Кашњење је изазвало збрку.
consequently	последично	Падала је киша; стога је утакмица заустављена.
conservation	очување	Очување штити ретке животиње.
considerable	значајан	Поправка је одузела знатно време.
considerably	знатно	Цене су знатно порасле ове године.
consistently	доследно	Она доследно постиже добре резултате.
conspiracy	завера	Полиција је истражила заверу.
consult	консултовати	Консултујте се са својим лекаром пре узимања лека.
consultant	консултант	Консултант је предложио нову стратегију.
consumption	потрошња	Потрошња енергије је пала прошлог месеца.
controversial	контроверзан	Политика остаје контроверзна.
controversy	контроверза	Одлука је изазвала контроверзу.
convenience	погодност	Продавница нуди велику погодност.
convention	конвенција	Годишња конвенција почиње у понедељак.
conventional	конвенционалан	Одабрао је конвенционалан дизајн.
convey	пренети	Порука је пренела саосећање.
convincing	убедљив	Њено објашњење је било убедљиво.
cope	носити се	Научила је да се носи са стресом.
corporation	корпорација	Корпорација је отворила нову канцеларију.
corridor	ходник	Ходник је био узак и тих.
counter (long flat surface)	пулт	Кључеви су на кухињској радној површини.
coverage	покривеност	Информативно извештавање је трајало цело вече.
crack	пукотина	Пукотина се појавила на зиду.
craft	занат	Она продаје ручне радове преко интернета.
creativity	креативност	Креативност помаже у решавању проблема.
critically	критички	Чланак је био изузетно важан.
cruise	крстарење	Резервисали су крстарење до Грчке.
cue	знак	Глумац је пропустио свој знак.
curious	радознао	Дете је било радознало у вези са свемиром.
curriculum	наставни план	Школа је ажурирала свој наставни план.
cute	сладак	Штене је изгледало слатко.
dairy	млекара	Фарма производи млечне производе.
dare	усудити се	Изазивам те да то пробаш.
darkness	тама	Соба се испунила мраком.
database	база података	База података чува записе купаца.
deadline	рок	Рок је петак.
deadly	смртоносан	Змија има смртоносан отров.
dealer	трговац	Трговац аутомобилима је понудио попуст.
deck	палуба	Столице су на тераси.
defender	бранилац	Одбрамбени играч је блокирао ударац.
delete	избрисати	Избришите стару поруку.
democracy	демократија	Демократија зависи од слободних избора.
democratic	демократски	Гласање је следило демократска правила.
demonstration	демонстрација	Студенти су се придружили протесту.
depart	отићи	Воз ће кренути у подне.
dependent	зависан	Дете је зависно од одраслих.
deposit	депозит	Она је платила депозит за стан.
depression	депресија	Депресија захтева стручну подршку.
derive	извести	Многе речи потичу из латинског.
desperately	очајнички	Очајнички му је требала вода.
destruction	уништење	Олуја је проузроковала велико уништење.
determination	одлучност	Њена одлучност је импресионирала тренера.
devote	посветити	Она посвећује викенде учењу.
differ	разликовати се	Њихова мишљења се оштро разликују.
disability	инвалидитет	Зграда има приступ за особе са инвалидитетом.
disabled	онемогућен	Спортиста са инвалидитетом је освојио медаљу.
disagreement	неслагање	Састанак се завршио неслагањем.
disappoint	разочарати	Резултат би могао да разочара навијаче.
disappointment	разочарање	Осећао је дубоко разочарање.
discourage	обесхрабрити	Немојте обесхрабривати младе ученике.
disorder	поремећај	Лекар је дијагностиковао поремећај спавања.
distant	далек	Планине су изгледале удаљено.
distinct	различит	Два звука су различита.
distinguish	разликовати	Можете ли да разликујете ове боје?
distract	омести	Бука може да омета ученике.
disturb	ометати	Молим вас, немојте узнемиравати пацијента.
dive	ронити	Они ће ронити близу гребена.
diverse	разнолик	Град има разнолике културе.
diversity	разноликост	Славимо културну разноликост.
divorce	развод	Развод је био тежак за све.
dominant	доминантан	Доминантни тим је контролисао утакмицу.
donation	донација	Хуманитарна организација је примила донацију.
dot	тачка	Ставите тачку после броја.
downtown	центар града	Срели смо се у центру града након посла.
dramatically	драматично	Цена је драматично пала.
drought	суша	Суша је оштетила усеве.
dull	досадан	Предавање је било досадно.
dump	бацити	Немојте овде бацати смеће.
duration	трајање	Трајање лета је три сата.
dynamic	динамичан	Учионица се чинила динамичном.
economics	економија	Она студира економију на универзитету.
economist	економиста	Економиста је предвидео спорији раст.
editorial	уреднички	Уводник је критиковао закон.
efficiently	ефикасно	Тим је радио ефикасно.
elbow	лакат	Он је повредио лакат.
electronics	електроника	Продавница продаје електронику.
elegant	елегантан	Хаљина је изгледала елегантно.
elementary	основни	Књига објашњава основну граматику.
eliminate	уклонити	Тим је елиминисао неколико грешака.
embrace	прихватити	Она је прихватила нову идеју.
emission	емисија	Нивои емисије аутомобила су пали.
emotionally	емотивно	Говорио је емотивно о својој породици.
empire	царство	Царство је трајало вековима.
enjoyable	пријатан	Путовање је било угодно.
entertaining	забаван	Представа је била забавна.
entrepreneur	предузетник	Предузетник је отворио кафић.
envelope	коверат	Стави писмо у коверту.
equip	опремити	Школа ће опремити лабораторију.
equivalent	еквивалент	Један долар овде није еквивалент.
era	ера	Откриће је започело нову еру.
erupt	еруптирати	Вулкан би могао ускоро еруптирати.
essentially	у суштини	Две методе су у суштини идентичне.
ethic	етика	Његова радна етика је јака.
ethnic	етнички	Фестивал слави етничке традиције.
evaluation	процена	Курс укључује завршну евалуацију.
evident	очигледан	Његова нервоза је била очигледна.
evolution	еволуција	Еволуција објашњава многе биолошке промене.
evolve	развити	Језици се развијају временом.
exceed	премашити	Потражња може премашити понуду.
exception	изузетак	Постоји један изузетак.
excessive	претеран	Прекомерна бука смета комшијама.
exclude	искључити	Списак искључује привремене раднике.
exhibit	експонат	Музеј ће изложити ретке фотографије.
exit	излаз	Излаз је иза позорнице.
exotic	егзотичан	Продавница продаје егзотично воће.
expansion	ширење	Компанија је планирала ширење.
expertise	стручност	Њена стручност је побољшала пројекат.
exploit	искористити	Криминалци искоришћавају слабе лозинке.
exposure	изложеност	Изложеност сунцу може оштетити кожу.
extension	продужетак	Продужење рока је свима помогло.
extensive	опсежан	Библиотека има опсежне ресурсе.
extensively	опширно	Тема се опсежно проучавала.
extract	извод	Екстракт ваниле даје укус.
fabric	тканина	Тканина је мекана на додир.
fabulous	сјајан	Оброк је био фантастичан.
failed	неуспешан	Неуспешан покушај нас је нечему научио.
fake	лажан	Веб локација је продавала лажне карте.
fame	слава	Слава је променила његов приватни живот.
fantasy	фантазија	Роман је фантазија.
fare	цена карте	Цена аутобуске карте се повећала.
federal	савезни	Савезна влада је најавила финансирање.
fever	грозница	Дете има грозницу.
firefighter	ватрогасац	Ватрогасац је спасио пса.
firework	ватромет	Ватромет је експлодирао изнад парка.
firm	чврст	Душек је тврд.
firmly	чврсто	Чврсто је затворила врата.
flavour	укус	Супа има богат укус.
fond	драг	Он је љубитељ џеза.
fool	будала	Немој се понашати као будала.
forbid	забранити	Закон забрањује пушење овде.
forecast	прогноза	Прогноза предвиђа кишу.
format	формат	Користите исправан формат датотеке.
formation	формација	Формација облака се брзо мења.
formerly	раније	Зграда је некада била школа.
fortunate	срећан	Били смо срећни што смо стигли рано.
forum	форум	Форум је расправљао о климатској политици.
fossil	фосил	Фосил је пронађен у камену.
foundation	темељ	Кућа има снажан темељ.
founder	оснивач	Оснивач је поздравио госте.
fraction	део	Дошао је само делић студената.
fragment	фрагмент	Фрагмент стакла лежао је на поду.
framework	оквир	Закон ствара јасан оквир.
fraud	превара	Банка је открила превару.
freely	слободно	Деца су се слободно играла напољу.
frequent	чест	Честе паузе побољшавају фокус.
fulfil	испунити	Надам се да ћу испунити своје обећање.
full-time	пуно радно време	Она има посао на пуно радно време.
fundamentally	у основи	План је у основи другачији.
furious	бесан	Био је бесан због кашњења.
gaming	гејминг	Играње може побољшати брзину реакције.
gay	хомосексуалан	Он подржава геј права.
gender	пол	Анкета је питала за пол.
gene	ген	Ген утиче на боју очију.
genetic	генетски	Болест има генетске узроке.
genius	геније	Млади пијаниста је геније.
genuine	прави	Њен осмех се чинио искреним.
genuinely	искрено	Искрено је желео да помогне.
gesture	гест	Направила је пријатељски гест.
gig	свирка	Бенд је одрадио свирку у центру.
globalization	глобализација	Глобализација утиче на локалне компаније.
globe	глобус	Глобус приказује сваки континент.
golden	златан	Залазак сунца постао је златан.
goodness	доброта	Она верује у људску доброту.
gorgeous	предиван	Врт је изгледао предивно.
governor	гувернер	Гувернер је потписао закон.
graphic	графички	Графичка слика шокирала је гледаоце.
graphics	графика	Игра има једноставну графику.
greatly	знатно	Ваш савет је знатно помогао.
greenhouse	стакленик	Парадајз расте унутар стакленика.
grocery	намирница	Купила је намирнице након посла.
guideline	смерница	Смерница објашњава сигурну праксу.
habitat	станиште	Шума је станиште птица.
harbour	лука	Брод је ушао у луку.
headquarters	седиште	Седиште компаније преселило се у центар.
