source_headword	BG	example_BG
lobby	фоайе	Фоайето беше претъпкано след обяд.
log	дневник	Системата води ежедневен дневник.
logic	логика	Логиката на аргумента му се провали.
long-standing	дългогодишен	Те разрешиха дългогодишен спор.
long-time	дългогодишен	Тя е дългогодишен доброволец.
loom	надвисвам	Тъмни облаци са надвиснали над долината.
loop	кръг	Пътеката образува кръг.
loyalty	лоялност	Неговата лоялност впечатли екипа.
machinery	машини	Фабриката инсталира нови машини.
magical	магичен	Градината изглеждаше магично през нощта.
magistrate	магистрат	Магистратът изслуша делото.
magnetic	магнитен	Магнитното поле повлия на компаса.
magnitude	мащаб	Мащабът на щетите беше ясен.
mainland	континент	Фериботът свързва островите с континента.
mainstream	мейнстрийм	Идеята навлезе в мейнстрийм политиката.
maintenance	поддръжка	Редовната поддръжка предотвратява повреди.
mandate	мандат	Президентът претендира за силен мандат.
mandatory	задължителен	Присъствието е задължително за стажантите.
manifest	проявявам се	Симптомите могат да се проявят след седмици.
manipulate	манипулирам	Не манипулирайте резултатите от проучването.
manipulation	манипулация	Манипулацията с данни беше разкрита.
manuscript	ръкопис	Издателят прие нейния ръкопис.
march	марширувам	Протестиращите ще маршируват към центъра на града.
marginal	незначителен	Промяната имаше незначителни ползи.
marine	морски	Морският живот се нуждае от чиста вода.
marketplace	пазар	Онлайн пазарът се разшири бързо.
mask	маска	Работниците трябва да носят маска.
massacre	клане	Клането шокира целия регион.
mathematical	математически	Математическият модел прогнозира търсенето.
mature	зрял	Зрелите дървета осигуряват сянка.
maximize	максимизирам	Актуализацията ще максимизира живота на батерията.
meaningful	смислен	Те проведоха смислен разговор.
meantime	междувремие	Междувременно изчакайте отвън.
medieval	средновековен	Замъкът има средновековни стени.
meditation	медитация	Ежедневната медитация успокоява ума ѝ.
melody	мелодия	Мелодията остана в главата ми.
memo	бележка	Бележката обясни политиката.
memoir	мемоари	Нейните мемоари описват детството в изгнание.
memorial	мемориал	Мемориалът почита местните войници.
mentor	ментор	Нейният ментор прегледа предложението.
merchant	търговец	Търговецът продаваше коприна и подправки.
mercy	милост	Съдията прояви милост.
mere	прост	Един прост поглед разкри грешката.
merely	просто	Тя просто повтори инструкциите.
merge	сливам се	Двете компании ще се слеят.
merger	сливане	Сливането създаде по-голяма банка.
merit	заслуга	Предложението има ясна заслуга.
methodology	методология	Проучването обяснява своята методология.
midst	среда	Те работеха в средата на хаоса.
migration	миграция	Сезонната миграция засяга местните работни места.
militant	екстремист	Екстремистката група отхвърли преговорите.
militia	милиция	Милицията контролираше пътя.
mill	мелница	Старата мелница стана музей.
minimal	минимален	Планът изисква минимални усилия.
minimize	минимизирам	Трябва да минимизираме ненужния риск.
mining	минен добив	Минният добив повреди речната долина.
ministry	министерство	Министерството обяви нови правила.
minute2	дребен	В стъклото се появи дребна пукнатина.
miracle	чудо	Неговото възстановяване изглеждаше като чудо.
misery	мизерия	Бежанците изтърпяха години на мизерия.
misleading	подвеждащ	Подвеждащата графика обърка читателите.
missile	ракета	Тестът на ракетата повиши напрежението.
mob	тълпа	Ядосаната тълпа блокира трафика.
mobility	мобилност	По-добрите автобуси подобряват градската мобилност.
mobilize	мобилизирам	Лидерите бързо мобилизират доброволци.
moderate	умерен	Кандидатът има умерени възгледи.
modification	модификация	Дизайнът се нуждае от една модификация.
momentum	инерция	Кампанията бързо набра инерция.
monk	монах	Монахът живееше в тишина.
monopoly	монопол	Фирмата държеше монопол.
morality	морал	Курсът разглежда обществения морал.
motive	мотив	Полицията разпитва за мотива му.
motorist	шофьор	Шофьорът спря на червен светофар.
municipal	общински	Общинските услуги се подобриха тази година.
mutual	взаимен	Те постигнаха взаимно съгласие.
namely	именно	Остава един проблем, именно финансирането.
nationwide	национален	Стачката предизвика национални закъснения.
naval	военноморски	Военноморската база беше затворена миналата година.
neglect	пренебрегвам	Не пренебрегвайте основната безопасност.
neighbouring	съседен	Съседните градове споделяха болницата.
nest	гнездо	Птицата построи гнездо.
net	нетен	Нетната печалба нарасна рязко.
newsletter	бюлетин	Бюлетинът пристига всеки петък.
niche	ниша	Компанията намери печеливша ниша.
noble	благороден	Нейният благороден жест впечатли всички.
nod	кимвам	Моля, кимнете, ако разбирате.
nominate	номинирам	Те ще номинират нов председател.
nomination	номинация	Нейната номинация изненада комисията.
nominee	номиниран	Номинираният отговори на трудни въпроси.
nonetheless	въпреки това	Въпреки това планът продължи напред.
non-profit	нестопански	Тя работи за клиника с нестопанска цел.
nonsense	глупост	Този слух е пълна глупост.
noon	обяд	Срещата започва по обяд.
notable	забележителен	Докладът отбеляза забележителен напредък.
notably	особено	Особено разходите спаднаха през май.
notify	уведомявам	Моля, уведомете персонала, преди да тръгнете.
notorious	печално известен	Пътят е печално известен с инциденти.
novel	новаторски	Те предложиха новаторско решение.
nursery	ясла	Яслата се грижи за бебета.
objection	възражение	Адвокатът повдигна възражение.
oblige	задължавам	Правилата задължават шофьорите да спират.
obsess	обсебвам	Не се обсебвайте от малки грешки.
obsession	обсесия	Неговата обсесия навреди на работата му.
occasional	случаен	Очакват се случайни закъснения.
occurrence	явление	Подобно явление е рядкост.
odds	шансове	Шансовете за успех се подобриха.
offering	предлагане	Университетът разшири предлагането си.
offspring	потомство	Лисицата защити своето потомство.
operational	оперативен	Новата система е оперативна.
opt	избирам	Много студенти избират онлайн класове.
optical	оптичен	Оптичната леща има нужда от почистване.
optimism	оптимизъм	Оптимизмът се завърна след съобщението.
oral	устен	Устният изпит започва утре.
organizational	организационен	Организационните промени започнаха веднага.
orientation	ориентация	Семинарът обхвана ориентацията на служителите.
originate	произлизам	Много традиции произлизат от селски райони.
outbreak	епидемия	Епидемията се разпространи из целия град.
outing	екскурзия	Класът се наслади на екскурзия до музея.
outlet	аутлет	Аутлетът продава намалени дрехи.
outlook	перспектива	Икономическата перспектива остава несигурна.
outrage	възмущение	Решението предизвика обществено възмущение.
outsider	външен човек	Като външен човек, тя забеляза проблеми.
overlook	пренебрегвам	Не пренебрегвайте дребните детайли.
overly	прекалено	Инструкциите бяха прекалено сложни.
oversee	надзиравам	Тя ще надзирава проекта.
overturn	отменям	Съдът може да отмени решението.
overwhelm	претоварвам	Твърде много информация може да претовари учащите.
overwhelming	поразителен	Доказателствата бяха поразителни.
pad	подложка	Използвайте подложката за защита на коленете.
parameter	параметър	Регулирайте по един параметър наведнъж.
parental	родителски	Родителската подкрепа подобри посещаемостта.
parish	енория	Енорията организира благотворителна вечеря.
parliamentary	парламентарен	Парламентарният дебат продължи часове.
partial	частичен	Докладът даде частичен отговор.
partially	частично	Прозорецът беше частично отворен.
passing	кончина	Нейната кончина беше внезапна.
passive	пасивен	Пасивните инвеститори приеха стабилна възвръщаемост.
pastor	пастор	Пасторът посети семейството.
patch	кръпка	Якето има нужда от малка кръпка.
patent	патент	Компанията подаде патент.
pathway	път	Пътят води до сертифициране.
patrol	патрулирам	Полицията патрулира в района през нощта.
patron	покровител	Музеят благодари на своя покровител.
peak	връх	Търсенето достигна зимен връх.
peasant	селянин	Селянинът притежаваше малко земя.
peculiar	странен	Стаята имаше странна миризма.
persist	задържам се	Симптомите могат да се задържат с дни.
persistent	упорит	Упоритата кашлица се нуждае от внимание.
personnel	персонал	Записите на персонала са поверителни.
petition	петиция	Петиция събра хиляди подписи.
philosopher	философ	Философът постави под въпрос общите допускания.
philosophical	философски	Дискусията стана философска.
physician	лекар	Лекарят назначи кръвни изследвания.
pioneer	пионер	Тя стана пионер в медицината.
pipeline	тръбопровод	Тръбопроводът пренася газ под земята.
pirate	пират	Пиратският кораб се появи край брега.
pit	яма	Работниците изкопаха дълбока яма.
plea	молба	Неговата молба за помощ беше пренебрегната.
plead	пледирам	Заподозреният ще пледира виновен.
pledge	обещавам	Те обещават подкрепа за реформи.
plug	включвам	Включете кабела в контакта.
plunge	спадам рязко	Цените могат да спаднат рязко след скандала.
pole	прът	Знамето висеше от един прът.
poll	анкета	Анкетата показа променящи се мнения.
pond	езерце	Патиците пресякоха замръзналото езерце.
pop	пукам се	Балоните се пукат близо до остри предмети.
portfolio	портфолио	Нейното портфолио включва няколко стартъпа.
portray	изобразявам	Филмът ще изобрази селския живот.
postpone	отлагам	Те решиха да отложат изслушването.
post-war	следвоенен	Спешно бяха необходими следвоенни жилища.
practitioner	практикуващ специалист	Практикуващият специалист обясни лечението.
preach	проповядвам	Свещеникът ще проповядва в неделя.
precedent	прецедент	Решението създаде важен прецедент.
precision	прецизност	Машината реже с прецизност.
predator	хищник	Хищникът чакаше близо до реката.
predecessor	предшественик	Нейният предшественик остави подробни бележки.
predominantly	предимно	Районът е предимно жилищен.
pregnancy	бременност	Бременността изисква редовни медицински грижи.
prejudice	предразсъдък	Кампанията оспори расовите предразсъдъци.
preliminary	предварителен	Предварителните резултати изглеждат обещаващо.
premier	премиер	Премиерът говори днес пред парламента.
premise	предпоставка	Аргументът се основава на погрешна предпоставка.
premium	надбавка	Клиентите платиха надбавка за бързина.
prescribe	предписвам	Лекарите предписват антибиотици внимателно.
prescription	рецепта	Рецептата изтича следващия месец.
presently	понастоящем	Понастоящем тя не е на разположение.
preservation	запазване	Запазването предпазва историческите сгради.
preside	председателствам	Съдията ще председателства процеса.
presidency	президентство	Неговото президентство продължи осем години.
presidential	президентски	Президентските избори привлекоха внимание.
prestigious	престижен	Тя спечели престижна стипендия.
presumably	вероятно	Офисът вероятно е затворен днес.
presume	предполагам	Предполагаме, че документите са истински.
prevail	надделявам	Здравият разум трябва да надделее.
prevalence	разпространение	Разпространението на астмата се е увеличило.
prevention	превенция	Превенцията е по-евтина от ремонта.
