source_headword	SI	example_SI
aspect	පැතිකඩ	සෑම පැතිකඩක් ගැනම හොඳින් සලකා බලන්න.
assess	තක්සේරු කරනවා	අපි හානිය තක්සේරු කළ යුතුයි.
assessment	තක්සේරුව	තක්සේරුව සඳහා පැය දෙකක් ගත විය.
associate	සම්බන්ධ කරනවා	මිනිසුන් දුම අනතුරක් සමඟ සම්බන්ධ කරයි.
associated	සම්බන්ධිත	ආතතිය රෝග සමඟ සම්බන්ධ වේ.
association	සංගමය	සංගමය තරුණ කලාකරුවන්ට සහාය දක්වයි.
assume	උපකල්පනය කරනවා	ඔබ එකඟ වන බව මම උපකල්පනය කරමි.
attempt	උත්සාහය	ඔහුගේ පළමු උත්සාහය අසාර්ථක විය.
bacteria	බැක්ටීරියා	බැක්ටීරියා ඉක්මනින් පැතිර යා හැක.
barrier	බාධකය	භාෂාව බාධකයක් විය.
basically	මූලිකවම	මූලිකවම, අපට තවත් කාලය අවශ්‍යයි.
bear (deal with)	දරාගන්නවා	මට මේ ශබ්දය දරාගන්න බැහැ.
beg	අයදිනවා	කරුණාකර උදව් අයදින්න.
being	ජීවියා	සෑම ජීවියෙකුටම ජලය අවශ්‍යයි.
bent	නැමුණු	ලෝහ කූර නැමී තිබුණි.
bet	ඔට්ටු අල්ලනවා	ඔහු දන්නා බවට මම ඔට්ටු අල්ලනවා.
beyond	එහා	ගම පිහිටා ඇත්තේ ගඟෙන් එහාය.
bitter	තිත්ත	ඖෂධයේ තිත්ත රසයක් තිබුණි.
blame	දොස් කියනවා	රියදුරුට දොස් නොකියන්න.
blind	අන්ධ	ඔහු තරුණ වියේදීම අන්ධ විය.
bond	බැඳීම	විශ්වාසය ශක්තිමත් බැඳීමක් ඇති කරයි.
breast	පියයුර	ඇයට ඇගේ පියයුරේ වේදනාවක් දැනුණි.
brief	කෙටි	ඔබේ පිළිතුර කෙටි කරන්න.
broad	පුළුල්	ගඟ මෙහි පුළුල් ය.
broadcast	විකාශනය කරනවා	කතාව සජීවීව විකාශය විය.
budget	අයවැය	අයවැය ඉතා සීමිතය.
bullet	උණ්ඩය	උණ්ඩය බිත්තියේ වැදුණි.
bunch	පොකුර	ඇය යතුරු පොකුරක් රැගෙන ගියාය.
bush	පඳුර	කුරුල්ලෙක් පඳුරේ සැඟවී සිටියේය.
cable	කේබලය	කේබලය කැඩී ඇත.
calculate	ගණනය කරනවා	මුළු පිරිවැය ගණනය කරන්න.
cancel	අවලංගු කරනවා	ඔවුන් රැස්වීම අවලංගු කළා.
cancer	පිළිකාව	පිළිකා ප්‍රතිකාරය අපහසු විය හැකිය.
capable	හැකියාව ඇති	ඇයට තවත් දේ කිරීමට හැකියාව ඇත.
capacity	ධාරිතාව	ශාලාව උපරිම ධාරිතාවට ළඟා විය.
capture	ග්‍රහණය කරගන්නවා	ඡායාරූපය එම මනෝභාවය ග්‍රහණය කරයි.
cast	නළු නිළි පිරිස	නළු නිළි පිරිස සූදානම්.
cell	සෛලය	සෑම සෛලයකම දත්ත අඩංගු වේ.
chairman	සභාපති	සභාපතිවරයා රැස්වීම ආරම්භ කළේය.
characteristic	ලක්ෂණය	ඉවසීම ඇගේ ප්‍රධාන ලක්ෂණයයි.
chief	ප්‍රධාන	ප්‍රධාන ඉංජිනේරුවරයා ප්‍රමාද වී පැමිණියේය.
circumstance	තත්වය	සෑම තත්වයක්ම හොඳින් සලකා බලන්න.
cite	උපුටා දක්වනවා	කරුණාකර ඔබේ මූලාශ්‍රය උපුටා දක්වන්න.
citizen	පුරවැසියා	සෑම පුරවැසියෙකුටම ඡන්දය දිය හැකිය.
civil	සාමකාමී	විරෝධතාව සාමකාමීව පැවතුණි.
classic	සම්භාව්‍ය	මෙම චිත්‍රපටය සම්භාව්‍ය එකකි.
closely	අවධානයෙන්	ක්‍රියාවලිය ගැන හොඳින් අවධානය යොමු කරන්න.
collapse	කඩා වැටෙනවා	පරණ පාලම කඩා වැටෙන්න පුළුවන්.
combination	සංයෝජනය	සංයෝජනය හොඳින් ක්‍රියාත්මක විය.
comfort	සැනසිල්ල	ඇගේ වචන සැනසිල්ලක් ලබා දුන්නේය.
command	විධානය	නිලධාරියා අණක් දුන්නේය.
commission	කොමිසම	කොමිසම නඩුව සමාලෝචනය කළේය.
commitment	කැපවීම	රැකියාවට කැපවීම අවශ්‍යයි.
committee	කමිටුව	කමිටුව සතිපතා රැස්වේ.
commonly	සාමාන්‍යයෙන්	මෙම ශාකය සාමාන්‍යයෙන් වගා කෙරේ.
complicated	සංකීර්ණ	උපදෙස් සංකීර්ණයි.
component	සංරචකය	එක් සංරචකයක් අසමත් විය.
concentration	ඒකාග්‍රතාවය	ශබ්දය මගේ ඒකාග්‍රතාවය බිඳ දමයි.
concept	සංකල්පය	සංකල්පය සරලයි.
concern	සැලකිල්ල	ආරක්ෂාව අපගේ ප්‍රධාන සැලකිල්ලයි.
concerned	කනස්සල්ලට පත්	දෙමාපියන් දැඩි ලෙස කනස්සල්ලට පත්ව සිටියහ.
conduct	පවත්වනවා	ඔවුන් දේශීයව පර්යේෂණ පවත්වයි.
confidence	ආත්ම විශ්වාසය	පුහුණුවීමෙන් ආත්ම විශ්වාසය ගොඩනැගේ.
conflict	ගැටුම	ගැටුම වසර ගණනාවක් පැවතුනි.
confusing	ව්‍යාකූල	සිතියම ව්‍යාකූල විය.
conscious	සිහියෙන්	ඇය සිහියෙන් සිටියාය.
conservative	ගතානුගතික	ඔහුගේ අදහස් ගතානුගතික ය.
consideration	සලකා බැලීම	පිරිවැය යනු වැදගත් සලකා බැලීමකි.
consistent	ස්ථාවර	ඇගේ ප්‍රතිඵල ස්ථාවර වේ.
constant	නිරන්තර	නිරන්තර ශබ්දය අපව වෙහෙසට පත් කළේය.
constantly	නිරන්තරයෙන්	ඔහු නිරන්තරයෙන් ඔහුගේ දුරකථනය පරීක්ෂා කරයි.
construct	ඉදිකරනවා	කම්කරුවන් නව පාලමක් ඉදිකළහ.
construction	ඉදිකිරීම්	ඉදිකිරීම් ලබන මාසයේ ආරම්භ වේ.
contemporary	සමකාලීන	කලාගාරය සමකාලීන කලාව ප්‍රදර්ශනය කරයි.
contest	තරඟය	ඇය තරඟයට ඉදිරිපත් වූවාය.
contract	ගිවිසුම	ගිවිසුම ප්‍රවේශමෙන් කියවන්න.
contribute	දායක වෙනවා	සැමට අදහස් දායක කළ හැකිය.
contribution	දායකත්වය	ඇයගේ දායකත්වය අගනේය.
convert	පරිවර්තනය කරනවා	ඔවුන් ගරාජය පරිවර්තනය කළා.
convinced	ඒත්තු ගැන්වූ	ඔහු බොරු කී බව මට ඒත්තු ගොස් ඇත.
core	මූලික	විශ්වාසය මූලික ප්‍රශ්නයයි.
corporate	ආයතනික	ආයතනික නීති නැවතත් වෙනස් විය.
council	සභාව	සභාව සැලැස්ම අනුමත කළේය.
county	ප්‍රාන්තය	ප්‍රාන්තය විසින් පාර අලුත්වැඩියා කරන ලදී.
courage	ධෛර්යය	ඇය සැබෑ ධෛර්යය පෙන්නුවාය.
crash	අනතුර	අනතුර නිසා රථවාහන ගමනාගමනය අවහිර විය.
creation	නිර්මාණය	නිර්මාණය සඳහා මාස හයක් ගත විය.
creature	ජීවියා	ජීවියා නිහඬව ගමන් කළේය.
crew	කාර්ය මණ්ඩලය	කාර්ය මණ්ඩලය නැව සූදානම් කළහ.
crisis	අර්බුදය	අර්බුදය සියල්ල වෙනස් කළේය.
criterion	නිර්ණායකය	මිල එක් නිර්ණායකයකි.
critic	විචාරකයා	විචාරකයා නාට්‍යය අගය කළේය.
critical	අසාධ්‍ය	ඔහුගේ තත්වය අසාධ්‍යයි.
criticism	විවේචනය	ඇය විවේචනය සන්සුන්ව පිළිගත්තාය.
criticize	විවේචනය කරනවා	සෑම අත්වැරැද්දක්ම විවේචනය නොකරන්න.
crop	අස්වැන්න	මේ වසරේ අස්වැන්න අසාර්ථක විය.
crucial	තීරණාත්මක	මෙහිදී කාලය තීරණාත්මක වේ.
cure	සුවය	වෛද්‍යවරුන් සුවයක් සොයා ගත්හ.
curve	වංගුව	පාර වංගුවක් ඔස්සේ දිවෙයි.
curved	වක්‍ර	බිත්තිය තරමක් වක්‍ර වී ඇත.
debate	විවාදය	විවාදය පැය ගණනාවක් පැවතුණි.
debt	ණය	ඔහු ණය ගෙවා දැමුවේය.
decent	යහපත්	ඔවුන්ට යහපත් මහල් නිවාසයක් හමු විය.
declare	ප්‍රකාශ කරනවා	ඔවුන් ප්‍රතිඵලය ප්‍රකාශ කළා.
decline	පහත වැටෙනවා	විකුණුම් දිගටම පහත වැටුණි.
decoration	සැරසිලි	සැරසිලි මිල අධික බවක් පෙනෙන්නට තිබුණි.
decrease	අඩු වෙනවා	මිල ඉක්මනින් අඩු විය හැකිය.
deeply	ගැඹුරින්	ඇය යුක්තිය ගැන ගැඹුරින් සැලකිලිමත් වූවාය.
defeat	පරාජය	පරාජය කණ්ඩායම කම්පනයට පත් කළේය.
defence	ආරක්ෂාව	විත්තිය විසින් සාක්ෂි අභියෝගයට ලක් කරන ලදී.
defend	ආරක්ෂා කරනවා	ඔහු තමාම ආරක්ෂා කර ගැනීමට උත්සාහ කළේය.
delay	පමා කරනවා	අයහපත් කාලගුණය හේතුවෙන් ප්‍රමාදයක් ඇති විය.
deliberate	හිතාමතා කළ	එය හිතාමතා කළ තේරීමකි.
deliberately	හිතාමතාම	ඇය හිතාමතාම අනතුරු ඇඟවීම නොසලකා හැරියාය.
delight	සතුටු කරනවා	ආරංචිය සියලු දෙනා සතුටු කළේය.
delighted	සතුටු වූ	තෑග්ග ගැන අපි සතුටු වුණා.
delivery	බෙදාහැරීම	බෙදාහැරීම ඉක්මනින් පැමිණියේය.
demand	ඉල්ලනවා	කම්කරුවෝ වඩා හොඳ වැටුප් ඉල්ලා සිටිති.
demonstrate	ප්‍රදර්ශනය කරනවා	ඔහු නව මෘදුකාංගය ප්‍රදර්ශනය කළේය.
deny	ප්‍රතික්ෂේප කරනවා	ඇය චෝදනාව ප්‍රතික්ෂේප කළාය.
depressed	මානසිකව වැටුණු	පැරදීමෙන් පසු ඔහුට මානසිකව වැටුණාක් මෙන් දැනුණි.
depressing	සිත් තැවුල් දනවන	එම චිත්‍රපටය සිත් තැවුල් දනවන සුළු විය.
depth	ගැඹුර	තටාකය විශාල ගැඹුරකින් යුක්තය.
deserve	සුදුසු වෙනවා	ඔබ විවේකයක් ලැබීමට සුදුසුයි.
desire	ආශාව	ඇය සංචාරය කිරීමට ආශාවක් ප්‍රකාශ කළාය.
desperate	මංමුලා සහගත	ඔවුන් මංමුලා සහගත ඇමතුමක් ලබා දුන්නා.
detailed	සවිස්තරාත්මක	මෙම මාර්ගෝපදේශය ඉතා සවිස්තරාත්මකයි.
detect	හඳුනාගන්නවා	බල්ලන්ට දුම හඳුනාගත හැකිය.
dig	හාරනවා	ඔවුන් ගිම්හානයේදී ළිං හාරනවා.
disc	තැටිය	තැටිය සීරී තිබුණි.
discipline	විනය	විනය ක්‍රීඩකයන්ට දියුණු වීමට උපකාරී වේ.
dishonest	වංක	ඔහුගේ පිළිතුර වංක බවක් පෙනෙන්නට තිබුණි.
dismiss	ප්‍රතික්ෂේප කරනවා	කළමනාකරු පැමිණිල්ල ප්‍රතික්ෂේප කළේය.
display	පෙන්වනවා	තිරය ලකුණු පෙන්වයි.
distribute	බෙදාහරිනවා	ස්වේච්ඡා සේවකයන් පිරිසිදු ජලය බෙදාහරින ලදී.
distribution	බෙදාහැරීම	හිරු උදාවෙන් පසු බෙදාහැරීම ආරම්භ විය.
district	දිස්ත්‍රික්කය	දිස්ත්‍රික්කය නගරාධිපතිවරයෙකු තෝරා පත් කර ගත්තේය.
division	අංශය	මෙම අංශය නීතිමය කරුණු හසුරුවයි.
domestic	දේශීය	දේශීය ගුවන් ගමන් වඩා ලාභදායී වේ.
dominate	ආධිපත්‍යය දරනවා	එක් සමාගමක් වෙළඳපොලේ ආධිපත්‍යය දැරිය හැකිය.
downwards	පහළට	මාර්ගය පහළට බෑවුම් වේ.
dozen	දුසිම	ඇය බිත්තර දුසිමක් මිලදී ගත්තාය.
draft	කෙටුම්පත	කරුණාකර කෙටුම්පත සමාලෝචනය කරන්න.
drag	අදිනවා	මේසය අදින්න එපා.
dramatic	නාට්‍යමය	ප්‍රතිඵල නාට්‍යමය විය.
edit	සංස්කරණය කරනවා	ඇය ලිපිය සංස්කරණය කළාය.
edition	සංස්කරණය	මෙම සංස්කරණයට නව ඡායාරූප ඇතුළත් වේ.
efficient	කාර්යක්ෂම	පද්ධතිය කාර්යක්ෂමයි.
elderly	වයෝවෘද්ධ	වයෝවෘද්ධ පදිංචිකරුවන්ට සහාය අවශ්‍ය වේ.
elect	තෝරාපත් කරගන්නවා	ඡන්දදායකයන් නව සභාවක් තෝරාපත් කර ගනී.
elsewhere	වෙනත් තැනක	අපි උදව් සඳහා වෙනත් තැනක බැලුවෙමු.
emerge	මතු වෙනවා	මධ්‍යම රාත්‍රියෙන් පසු තොරතුරු මතු විය.
emotional	හැඟීම්බර	කතාව හැඟීම්බර විය.
emphasis	අවධාරණය	ආරක්ෂාව කෙරෙහි අවධාරණය කරන්න.
emphasize	අවධාරණය කරනවා	ගුරුවරුන් දෛනික පුහුණුව අවධාරණය කරයි.
enable	සක්‍රිය කරනවා	මෙම යෙදුම ඉක්මන් ගෙවීම් සක්‍රිය කරයි.
encounter	මුහුණදෙනවා	අපිට අධික වාහන තදබදයකට මුහුණ දීමට සිදුවිය.
engage	සම්බන්ධ කරගන්නවා	පාඨමාලාව වැඩිහිටි ඉගෙන ගන්නන් සම්බන්ධ කරගනී.
enhance	වැඩිදියුණු කරනවා	ආලෝකය මගින් කාමරය වැඩිදියුණු කළ හැක.
enquiry	විමර්ශනය	විමර්ශනය මාස තුනක් පැවතුණි.
ensure	සහතික කරනවා	නිරවද්‍යතාව සහතික කිරීමට දෙවරක් පරීක්ෂා කරන්න.
enthusiasm	උද්යෝගය	ඇගේ උද්යෝගය කණ්ඩායම දිරිමත් කළේය.
enthusiastic	උද්‍යෝගිමත්	ස්වේච්ඡා සේවකයන් උද්‍යෝගිමත් විය.
entire	සම්පූර්ණ	මුළු ගමටම විදුලිය විසන්ධි විය.
entirely	සම්පූර්ණයෙන්ම	කතාව සම්පූර්ණයෙන්ම අසත්‍යයකි.
establish	පිහිටුවනවා	ඔවුන් පැහැදිලි නීති ස්ථාපිත කළහ.
estate	වතුයාය	මෙම වත්තට ගොවිපළවල් කිහිපයක් ඇතුළත් වේ.
estimate	ඇස්තමේන්තු කරනවා	අපි අමුත්තන් දසදහසක් පමණ පැමිණේවි යැයි ඇස්තමේන්තු කරමු.
ethical	සදාචාරාත්මක	මෙම තීරණය සදාචාරාත්මක ප්‍රශ්න මතු කළේය.
evaluate	ඇගයීම කරනවා	විශේෂඥයින් විසින් සැලසුම ඇගයීමට ලක් කරනු ඇත.
evil	නපුරු	රජු දුෂ්ට ආත්මයන්ට බිය විය.
examination	විභාගය	විභාගය පැයක් පුරා පැවතුනි.
excuse	නිදහසට කරුණ	එම නිදහසට කරුණ දුර්වල බවක් පෙනෙන්නට තිබුණි.
executive	විධායක නිලධාරියා	විධායක නිලධාරියා ගනුදෙනුව අනුමත කළේය.
existence	පැවැත්ම	ඔවුන්ගේ පැවැත්ම නොදැන සිටියේය.
expectation	බලාපොරොත්තුව	දියත් කිරීමට පෙර බලාපොරොත්තු ඉහළ මට්ටමක පැවතුණි.
expense	වියදම	ගමන් බිමන් යනු අපගේ විශාලතම වියදමයි.
exploration	ගවේෂණය	අභ්‍යවකාශ ගවේෂණය ළමුන්ව දිරිමත් කරයි.
expose	හෙළි කරනවා	ලිපිය මගින් දූෂණය හෙළිදරව් කළේය.
extend	දික් කරනවා	ඔවුන් කාලසීමාව දීර්ඝ කළා.
extent	ප්‍රමාණය	අපි පසුව එහි ප්‍රමාණය දැන ගත්තෙමු.
external	බාහිර	බාහිර බලපෑම් ඔවුන්ට බලපෑවේය.
extraordinary	අසාමාන්‍ය	ඇගේ සුවය ලැබීම අසාමාන්‍ය විය.
facility	පහසුකම	මෙම මධ්‍යස්ථානය ජුනි මාසයේදී විවෘත විය.
failure	අසාර්ථකත්වය	අසාර්ථකත්වය ඔහුට ඉවසීම ඉගැන්වීය.
faith	විශ්වාසය	ඇය ඔහු කෙරෙහි විශ්වාසය තබා ගත්තාය.
fault	වරද	අනතුර මගේ වරදකි.
feather	පිහාටුව	කොට්ටයෙන් පිහාටුවක් වැටුණි.
fee	ගාස්තුව	ගාස්තුවට දිවා ආහාරයද ඇතුළත් වේ.
feedback	ප්‍රතිපෝෂණය	ප්‍රතිපෝෂණය පාඨමාලාව වැඩිදියුණු කිරීමට උපකාරී විය.
fellow	සහකාර	සහකාර සේවකයෝ ඇයට සහය වූහ.
finance	මූල්‍ය	බැංකුව ව්‍යාප්ත කිරීම සඳහා මුදල් යොදවනු ඇත.
finding	සොයාගැනීම	මෙම සොයාගැනීම පර්යේෂකයන් පුදුමයට පත් කළේය.
firm	සමාගම	සමාගම නව කාර්ය මණ්ඩලයක් බඳවා ගත්තේය.
flame	දැල්ල	කුඩා ගිනි දැල්ලක් දර්ශනය විය.
flash	එළියක්	ආලෝකයක් අහස ආලෝකමත් කළේය.
flexible	නම්‍යශීලී	කාලසටහන නම්‍යශීලී වේ.
float	පාවෙනවා	කොළ ජලය මතුපිට පාවෙයි.
folding	නවන	ඔහු නවන පුටුවක් රැගෙන ගියේය.
forgive	සමාව දෙනවා	ඔබට ඔහුට සමාව දිය හැකිද?
former	හිටපු	හිටපු නගරාධිපති නැවත පැමිණියේය.
fortune	ධනය	ඔවුන්ට විශාල ධනයක් අහිමි විය.
found	ආරම්භ කරනවා	ඔවුන් කුඩා පුණ්‍යායතනයක් ආරම්භ කළහ.
freedom	නිදහස	නිදහස සඳහා වගකීමක් අවශ්‍ය වේ.
frequency	වාර ගණන	ශීත සෘතුවේදී වාර ගණන වැඩි විය.
fully	සම්පූර්ණයෙන්ම	හෝටලය සම්පූර්ණයෙන්ම වෙන්කර ඇත.
fund	අරමුදල	මෙම අරමුදල ප්‍රාදේශීය පාසල්වලට ආධාර කරයි.
fundamental	මූලික	ගරු කිරීම මෙහි මූලික දෙයකි.
funding	අරමුදල් සැපයීම	අරමුදල් සැපයීම පසුගිය වසරේ අවසන් විය.
furthermore	තවද	තවද, පිරිවැය ඉහළ යමින් පවතී.
gain	ලබාගන්නවා / ලාභය	සිසුන් ඉක්මනින් විශ්වාසය ලබා ගනී.
gang	කල්ලිය	කල්ලියක් වීදිය පාලනය කළේය.
generate	නිපදවනවා	සූර්ය පැනල විදුලිය නිපදවයි.
genre	ශෛලිය	ප්‍රහසනය ඇගේ ප්‍රියතම ප්‍රභේදයයි.
govern	පාලනය කරනවා	නීති මගින් මහජන වියදම් පාලනය කරයි.
grab	තදින් අල්ලා ගන්නවා	ඔහු මගේ අත තදින් අල්ලා ගත්තේය.
gradually	ක්‍රමයෙන්	වේදනාව ක්‍රමයෙන් නැති වී ගියේය.
grand	ගාම්භීර	හෝටලයට ගාම්භීර පිවිසුමක් ඇත.
grant	ප්‍රදානය / දීමනාව	උපකරණ සඳහා දීමනාවෙන් ගෙවන ලදී.
guarantee	සහතිකය / සහතික කරනවා	ප්‍රවේශපත්‍රය ඇතුළු වීම සහතික කරයි.
handle	හසුරුවනවා	ඇය පැමිණිල්ල සන්සුන්ව හැසිරෙව්වාය.
harm	හානිය / හානි කරනවා	දුම්පානය සෞඛ්‍යයට හානි කළ හැකිය.
harmful	හානිකර	ඒ රසායනිකය හානිකරයි.
hearing	ශ්‍රවණය	ඇගේ ශ්‍රවණය වැඩි දියුණු විය.
heaven	ස්වර්ගය	ඔවුන් ඉහළින් ස්වර්ගය සිතින් මවා ගත්හ.
heel	විලුඹ	ඔහුගේ විලුඹට තදින් රිදුම් දුන්නේය.
hell	නිරය	ඒ ගමන අපායක් වගේ වුණා.
hesitate	පසුබට වෙනවා	ප්‍රශ්න අසන්නට පසුබට වෙන්න එපා.
hollow	හිස්	ගහ ඇතුළත හිස්ව තිබුණි.
holy	පූජනීය	ඔවුන් පූජනීය ස්ථානයකට ගියහ.
honour	ගෞරවය	ඔවුන් ගෞරවය වෙනුවෙන් සටන් කළහ.
household	ගෘහය	සෑම නිවසකටම ජලය ලැබිණි.
housing	නිවාස	නිවාස වියදම් දිගටම ඉහළ යයි.
humorous	හාස්‍යජනක	ඔහුගේ කතාව හාස්‍යජනක විය.
humour	හාස්‍යය	හාස්‍යය මගින් පීඩනය අඩු කිරීමට උපකාරී විය.
hunting	දඩයම් කිරීම	මෙහි දඩයම් කිරීම තහනම් කර ඇත.
illustrate	උදාහරණ මගින් පෙන්වා දෙනවා	උදාහරණ මගින් නීතිය පැහැදිලි කරයි.
illustration	රූප සටහන	රූප සටහන මගින් ක්‍රියාවලිය පෙන්වයි.
imagination	පරිකල්පනය	ළමයින් නිදහසේ පරිකල්පනය භාවිතා කරයි.
impatient	නොඉවසිලිමත්	රියදුරන් නොඉවසිලිමත් විය.
imply	අදහස් කරනවා	ඔහුගේ නිශ්ශබ්දතාවය එකඟතාවය අදහස් කළ හැකිය.
impose	පනවනවා	උසාවිය දඩයක් පැනවීය.
impress	පැහැදීමක් ඇති කරනවා	ඇගේ ධෛර්යය සැමගේම පැහැදීමට ලක් විය.
impressed	පැහැදුණු	මම ඇගේ වැඩ ගැන පැහැදුණෙමි.
inch	අඟල	එය අඟලක් වමට ගෙන යන්න.
incident	සිද්ධිය	මෙම සිදුවීම කනස්සල්ලට හේතු විය.
income	ආදායම	ඔවුන්ගේ ආදායම සෙමෙන් වැඩි විය.
increasingly	වැඩි වැඩියෙන්	නිවාස එන්න එන්නම මිල අධික වේ.
industrial	කාර්මික	නගරයට කාර්මික මූලයන් ඇත.
infection	ආසාදනය	ආසාදනය ඉක්මනින් පැතිරී ගියේය.
inform	දැනුම් දෙනවා	කරුණාකර කළමනාකරුට දැනුම් දෙන්න.
initial	මූලික	මූලික පිරිවැය ඉහළ විය.
initially	මුලදී	මුලදී කිසිවෙක් ඔහුව විශ්වාස කළේ නැත.
initiative	මුලපිරීම	ඇය නව මුලපිරීමක් දියත් කළාය.
inner	ඇතුළත	ඇතුළත දොර අගුලු දමා තිබුණි.
insight	තීක්ෂ්ණ බුද්ධිය	වාර්තාව ප්‍රයෝජනවත් අවබෝධයක් ලබා දෙයි.
insist	බල කර සිටිනවා	ඔවුන් ආරක්ෂිත පරීක්ෂාවන් සඳහා බල කර සිටිති.
inspire	ආශ්වාදයක් දෙනවා	ඇගේ කතාව අන් අයට ආශ්වාදයක් විය හැකිය.
install	සවි කරනවා	ඔවුන් නව හීටරයක් සවි කළා.
instance	නිදසුන	මෙය එක් පැහැදිලි නිදසුනකි.
