simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
哪儿	どこ	どこへ行きますか。	어디	어디에 가요?	đâu; ở đâu	Bạn đi đâu?	ที่ไหน; ไหน	คุณจะไปไหน	di mana; ke mana	Kamu hendak ke mana?	ke mana; di mana	Kamu mau ke mana?
哪些	どれら; どの	どの本があなたのものですか。	어떤 것들; 어느	어떤 책들이 당신 것이에요?	những cái nào; những	Quyển sách nào là của bạn?	อันไหนบ้าง; ไหนบ้าง	หนังสือเล่มไหนบ้างเป็นของคุณ	yang mana; mana satu	Buku yang mana milik kamu?	yang mana saja	Buku-buku mana yang milikmu?
那边	あちら; その側	店はあちらにあります。	저쪽; 그쪽	가게는 저쪽에 있어요.	bên kia; đằng kia	Cửa hàng ở đằng kia.	ทางนั้น; ตรงนั้น	ร้านอยู่ทางนั้น	sebelah sana; di sana	Kedai itu di sebelah sana.	di sana; sisi itu	Toko itu ada di sana.
那个	あれ; その	あの学生は私の友達です。	저것; 그	그 학생은 제 친구예요.	cái đó; người đó	Học sinh đó là bạn tôi.	อันนั้น; คนนั้น	นักเรียนคนนั้นเป็นเพื่อนของฉัน	itu	Pelajar itu kawan saya.	itu	Siswa itu teman saya.
那里	そこ; あそこ	先生はそこにいます。	거기; 저기	선생님은 거기에 있어요.	ở đó	Thầy giáo ở đó.	ที่นั่น; ตรงนั้น	ครูอยู่ที่นั่น	di sana	Guru ada di sana.	di sana	Guru ada di sana.
那儿	そこ; あそこ	私の友達はあそこにいます。	거기; 저기	제 친구는 저기에 있어요.	ở đó	Bạn tôi ở đó.	ที่นั่น; ตรงนั้น	เพื่อนของฉันอยู่ที่นั่น	di sana	Kawan saya ada di sana.	di sana	Teman saya ada di sana.
那些	それら; あれら	あれらのリンゴは新鮮です。	저것들; 그것들	저 사과들은 신선해요.	những cái đó	Những quả táo đó rất tươi.	เหล่านั้น	แอปเปิลเหล่านั้นสด	itu; yang itu	Epal-epal itu segar.	itu; yang itu	Apel-apel itu segar.
男	男性; 男	この子は男の子です。	남자; 남성	이 아이는 남자아이예요.	nam; đàn ông	Đứa trẻ này là con trai.	ผู้ชาย; เพศชาย	เด็กคนนี้เป็นผู้ชาย	lelaki; jantan	Anak ini lelaki.	laki-laki; pria	Anak ini laki-laki.
男朋友	彼氏	彼女の彼氏は運転できます。	남자 친구	그녀의 남자 친구는 운전할 수 있어요.	bạn trai	Bạn trai của cô ấy biết lái xe.	แฟนผู้ชาย	แฟนผู้ชายของเธอขับรถได้	teman lelaki	Teman lelakinya pandai memandu.	pacar laki-laki	Pacar laki-lakinya bisa menyetir.
你好	こんにちは	こんにちは、私は小李と言います。	안녕하세요	안녕하세요, 저는 샤오리라고 해요.	xin chào	Xin chào, tôi tên là Tiểu Lý.	สวัสดี	สวัสดี ฉันชื่อเสี่ยวหลี่	helo; hai	Helo, nama saya Xiao Li.	halo; hai	Halo, nama saya Xiao Li.
你们	あなたたち; 皆さん	あなたたちは今日授業がありますか。	너희들; 여러분	여러분은 오늘 수업이 있어요?	các bạn; các anh chị	Hôm nay các bạn có lớp không?	พวกคุณ; คุณทั้งหลาย	วันนี้พวกคุณมีเรียนไหม	kamu semua	Adakah kamu semua ada kelas hari ini?	kalian; Anda sekalian	Apakah kalian ada kelas hari ini?
女	女性; 女	彼女は女性の医者です。	여자; 여성	그녀는 여의사예요.	nữ; phụ nữ	Cô ấy là bác sĩ nữ.	ผู้หญิง; เพศหญิง	เธอเป็นหมอผู้หญิง	perempuan; wanita	Dia doktor perempuan.	perempuan; wanita	Dia dokter perempuan.
女朋友	彼女	彼の彼女は音楽が好きです。	여자 친구	그의 여자 친구는 음악을 좋아해요.	bạn gái	Bạn gái của anh ấy thích âm nhạc.	แฟนผู้หญิง	แฟนผู้หญิงของเขาชอบดนตรี	teman wanita	Teman wanitanya suka muzik.	pacar perempuan	Pacar perempuannya suka musik.
前	前; 以前	学校の前に本屋があります。	앞; 전	학교 앞에 서점이 있어요.	trước; phía trước	Trước trường có một hiệu sách.	หน้า; ก่อน	หน้าโรงเรียนมีร้านหนังสือ	depan; sebelum	Di depan sekolah ada kedai buku.	depan; sebelum	Di depan sekolah ada toko buku.
请问	すみません; お尋ねします	すみません、トイレはどこですか。	실례지만; 여쭤보다	실례지만 화장실이 어디예요?	xin hỏi; cho hỏi	Xin hỏi, nhà vệ sinh ở đâu?	ขอถามหน่อย; ขอโทษครับค่ะ	ขอถามหน่อย ห้องน้ำอยู่ที่ไหน	tumpang tanya; maaf	Tumpang tanya, tandas di mana?	permisi; boleh tanya	Permisi, kamar mandi di mana?
上课	授業を受ける; 授業が始まる	私たちは八時に授業があります。	수업하다; 수업을 듣다	우리는 여덟 시에 수업이 있어요.	vào lớp; có giờ học	Chúng tôi có lớp lúc tám giờ.	เข้าเรียน; เริ่มเรียน	พวกเราเริ่มเรียนตอนแปดโมง	masuk kelas; ada kelas	Kami ada kelas pada pukul lapan.	masuk kelas; mulai pelajaran	Kami masuk kelas pukul delapan.
上学	学校へ行く	子どもたちは毎日学校へ行きます。	학교에 가다	아이들은 매일 학교에 가요.	đi học	Bọn trẻ đi học mỗi ngày.	ไปโรงเรียน	เด็กๆ ไปโรงเรียนทุกวัน	pergi ke sekolah	Kanak-kanak pergi ke sekolah setiap hari.	pergi ke sekolah	Anak-anak pergi ke sekolah setiap hari.
事	事; 用事	今日はやることがたくさんあります。	일; 사건	오늘 저는 할 일이 많아요.	việc; chuyện	Hôm nay tôi có nhiều việc.	เรื่อง; ธุระ	วันนี้ฉันมีเรื่องต้องทำมากมาย	hal; urusan	Hari ini saya ada banyak urusan.	hal; urusan	Hari ini saya punya banyak urusan.
书店	本屋	本屋は映画館の隣にあります。	서점	서점은 영화관 옆에 있어요.	hiệu sách	Hiệu sách ở cạnh rạp chiếu phim.	ร้านหนังสือ	ร้านหนังสืออยู่ข้างโรงภาพยนตร์	kedai buku	Kedai buku itu di sebelah pawagam.	toko buku	Toko buku itu berada di sebelah bioskop.
睡	眠る	子どもはもう寝ています。	자다	아이는 이미 자고 있어요.	ngủ	Đứa trẻ đã ngủ rồi.	นอน; หลับ	เด็กหลับแล้ว	tidur	Anak itu sudah tidur.	tidur	Anak itu sudah tidur.
说	話す; 言う	彼は中国語をとても上手に話します。	말하다	그는 중국어를 아주 잘해요.	nói	Anh ấy nói tiếng Trung rất tốt.	พูด; บอก	เขาพูดภาษาจีนได้ดีมาก	bercakap; berkata	Dia bercakap bahasa Cina dengan sangat baik.	berbicara; berkata	Dia berbicara bahasa Mandarin dengan sangat baik.
他们	彼ら	彼らは教室にいます。	그들; 그 사람들	그들은 교실에 있어요.	họ; bọn họ	Họ ở trong lớp học.	พวกเขา	พวกเขาอยู่ในห้องเรียน	mereka	Mereka berada di dalam bilik darjah.	mereka	Mereka ada di ruang kelas.
它们	それら	これらの猫は小さくて、かわいいです。	그것들	이 고양이들은 작고 귀여워요.	chúng; chúng nó	Những con mèo này nhỏ; chúng rất đáng yêu.	พวกมัน	แมวเหล่านี้ตัวเล็ก พวกมันน่ารัก	mereka; benda atau haiwan	Kucing-kucing ini kecil; semuanya comel.	mereka; untuk benda atau hewan	Kucing-kucing ini kecil; mereka lucu.
她们	彼女たち	彼女たちはみんな大学生です。	그녀들	그녀들은 모두 대학생이에요.	họ; các cô ấy	Các cô ấy đều là sinh viên đại học.	พวกเธอ	พวกเธอทั้งหมดเป็นนักศึกษา	mereka; perempuan	Mereka semua pelajar universiti.	mereka; perempuan	Mereka semua mahasiswi.
天	日; 空	今日は日曜日です。	날; 하늘	오늘은 일요일이에요.	ngày; trời	Hôm nay là Chủ nhật.	วัน; ท้องฟ้า	วันนี้เป็นวันอาทิตย์	hari; langit	Hari ini hari Ahad.	hari; langit	Hari ini hari Minggu.
听见	聞こえる	あなたの電話が聞こえました。	듣다; 들리다	당신 전화 소리를 들었어요.	nghe thấy	Tôi nghe thấy điện thoại của bạn.	ได้ยิน	ฉันได้ยินโทรศัพท์ของคุณ	mendengar	Saya terdengar telefon kamu.	mendengar	Saya mendengar teleponmu.
外边	外	外では雨が降っています。	밖; 바깥	밖에 비가 와요.	bên ngoài	Bên ngoài đang mưa.	ข้างนอก	ข้างนอกฝนตก	di luar	Di luar sedang hujan.	di luar	Di luar sedang hujan.
晚	遅い; 夜	今はとても遅いです。	늦다; 저녁	지금은 아주 늦었어요.	muộn; tối	Bây giờ rất muộn.	สาย; ดึก; เย็น	ตอนนี้ดึกมากแล้ว	lewat; malam	Sekarang sudah sangat lewat.	larut; malam	Sekarang sudah sangat larut.
晚饭	夕食	夕食にはご飯を食べたいです。	저녁밥; 저녁 식사	저녁으로 밥을 먹고 싶어요.	bữa tối; cơm tối	Bữa tối tôi muốn ăn cơm.	อาหารเย็น	มื้อเย็นฉันอยากกินข้าว	makan malam	Untuk makan malam saya mahu makan nasi.	makan malam	Untuk makan malam saya ingin makan nasi.
午饭	昼食	昼食に私たちは麺を食べます。	점심밥; 점심 식사	점심으로 우리는 국수를 먹어요.	bữa trưa	Bữa trưa chúng tôi ăn mì.	อาหารกลางวัน	มื้อกลางวันพวกเรากินบะหมี่	makan tengah hari	Untuk makan tengah hari kami makan mi.	makan siang	Untuk makan siang kami makan mi.
下班	仕事が終わる	母は五時に仕事が終わります。	퇴근하다	엄마는 다섯 시에 퇴근해요.	tan làm	Mẹ tôi tan làm lúc năm giờ.	เลิกงาน	แม่เลิกงานตอนห้าโมง	habis kerja	Ibu habis kerja pada pukul lima.	pulang kerja; selesai kerja	Ibu selesai kerja pukul lima.
下课	授業が終わる; 放課	授業の後で本屋へ行きます。	수업이 끝나다	수업이 끝난 뒤에 서점에 가요.	tan học; hết giờ học	Sau giờ học tôi đi hiệu sách.	เลิกเรียน	หลังเลิกเรียนฉันไปร้านหนังสือ	habis kelas	Selepas kelas saya pergi ke kedai buku.	kelas selesai; selesai pelajaran	Setelah kelas selesai, saya pergi ke toko buku.
小朋友	子ども; 小さな友達	子どもたちは公園で遊んでいます。	어린이; 아이	아이들이 공원에서 놀아요.	bạn nhỏ; trẻ em	Trẻ em đang chơi trong công viên.	เด็กเล็ก; เพื่อนตัวน้อย	เด็กๆ กำลังเล่นในสวนสาธารณะ	kanak-kanak	Kanak-kanak bermain di taman.	anak kecil	Anak-anak bermain di taman.
小学	小学校	妹は小学校に通っています。	초등학교	여동생은 초등학교에 다녀요.	trường tiểu học	Em gái tôi học ở trường tiểu học.	โรงเรียนประถม	น้องสาวของฉันเรียนที่โรงเรียนประถม	sekolah rendah	Adik perempuan saya bersekolah di sekolah rendah.	sekolah dasar	Adik perempuan saya bersekolah di sekolah dasar.
小学生	小学生; しょうがくせい	彼は小学生です。	초등학생	그는 초등학생이에요.	học sinh tiểu học	Cậu ấy là học sinh tiểu học.	นักเรียนประถม	เขาเป็นนักเรียนประถม	murid sekolah rendah	Dia murid sekolah rendah.	siswa sekolah dasar	Dia siswa sekolah dasar.
星期日	日曜日	日曜日は授業がありません。	일요일	일요일에는 수업이 없어요.	Chủ nhật	Chủ nhật tôi không có lớp.	วันอาทิตย์	วันอาทิตย์ฉันไม่มีเรียน	hari Ahad	Pada hari Ahad saya tiada kelas.	hari Minggu	Pada hari Minggu saya tidak ada kelas.
星期天	日曜日	日曜日に映画を見に行きます。	일요일	일요일에 영화를 보러 가요.	Chủ nhật	Chủ nhật tôi đi xem phim.	วันอาทิตย์	วันอาทิตย์ฉันไปดูหนัง	hari Ahad	Pada hari Ahad saya pergi menonton filem.	hari Minggu	Pada hari Minggu saya pergi menonton film.
学	学ぶ; 勉強する	私は中国語を勉強します。	배우다; 공부하다	저는 중국어를 공부해요.	học	Tôi học tiếng Trung.	เรียน	ฉันเรียนภาษาจีน	belajar	Saya belajar bahasa Cina.	belajar	Saya belajar bahasa Mandarin.
一半	半分	私はご飯を半分食べました。	절반; 반	저는 밥을 절반 먹었어요.	một nửa	Tôi đã ăn một nửa cơm.	ครึ่งหนึ่ง	ฉันกินข้าวไปครึ่งหนึ่ง	separuh	Saya makan separuh nasi.	setengah	Saya makan setengah nasinya.
一下	ちょっと; 一回	少し待ってください。	잠깐; 한번	잠깐 기다려 주세요.	một chút; một lần	Xin chờ một chút.	สักครู่; หนึ่งครั้ง	กรุณารอสักครู่	sekejap; sekali	Sila tunggu sekejap.	sebentar; sekali	Tolong tunggu sebentar.
一点儿	少し	私は少し疲れています。	조금	저는 조금 피곤해요.	một chút	Tôi hơi mệt.	นิดหน่อย; เล็กน้อย	ฉันเหนื่อยนิดหน่อย	sedikit	Saya sedikit letih.	sedikit	Saya sedikit lelah.
一些	いくつか; 少し	私はリンゴをいくつか買いました。	조금; 몇몇	저는 사과를 조금 샀어요.	một vài; một số	Tôi đã mua một ít táo.	บางส่วน; เล็กน้อย	ฉันซื้อแอปเปิลมาบางส่วน	beberapa; sedikit	Saya membeli beberapa biji epal.	beberapa; sedikit	Saya membeli beberapa apel.
有的	ある; 一部の	歌うのが好きな学生もいます。	어떤; 일부	어떤 학생들은 노래 부르는 것을 좋아해요.	một số; có người	Một số học sinh thích hát.	บางคน; บางอย่าง	นักเรียนบางคนชอบร้องเพลง	ada yang; sesetengah	Sesetengah pelajar suka menyanyi.	ada yang; sebagian	Sebagian siswa suka bernyanyi.
有点儿	少し; やや	今日は少し寒いです。	조금; 약간	오늘은 조금 추워요.	hơi; một chút	Hôm nay hơi lạnh.	ค่อนข้าง; นิดหน่อย	วันนี้หนาวนิดหน่อย	agak; sedikit	Hari ini agak sejuk.	agak; sedikit	Hari ini agak dingin.
有些	いくつか; ある	いくつかの本は先生のところにあります。	일부; 몇몇	어떤 책들은 선생님에게 있어요.	một số	Một số sách ở chỗ thầy giáo.	บาง; บางส่วน	หนังสือบางเล่มอยู่กับครู	sesetengah; beberapa	Sesetengah buku ada pada guru.	sebagian; beberapa	Beberapa buku ada pada guru.
雨	雨; あめ	今日は雨です。	비	오늘은 비가 와요.	mưa	Hôm nay có mưa.	ฝน	วันนี้มีฝนตก	hujan	Hari ini hujan.	hujan	Hari ini hujan.
早	早い; 朝	彼は毎朝とても早く起きます。	이르다; 아침	그는 매일 아침 아주 일찍 일어나요.	sớm; buổi sáng	Anh ấy dậy rất sớm mỗi sáng.	เช้า; เร็ว	เขาตื่นเช้ามากทุกวัน	awal; pagi	Dia bangun sangat awal setiap pagi.	pagi; awal	Dia bangun sangat pagi setiap hari.
早饭	朝食	朝食に牛乳を飲みます。	아침밥; 아침 식사	아침으로 우유를 마셔요.	bữa sáng	Bữa sáng tôi uống sữa.	อาหารเช้า	มื้อเช้าฉันดื่มนม	sarapan	Untuk sarapan saya minum susu.	sarapan	Untuk sarapan saya minum susu.
怎么	どう; どのように	あなたはどうやって学校へ行きますか。	어떻게	학교에 어떻게 가요?	thế nào; sao	Bạn đi học bằng cách nào?	อย่างไร; ยังไง	คุณไปโรงเรียนอย่างไร	bagaimana	Kamu pergi ke sekolah bagaimana?	bagaimana	Bagaimana kamu pergi ke sekolah?
这边	こちら; この側	こちらへ来てください。	이쪽	이쪽으로 오세요.	bên này; phía này	Xin hãy đến bên này.	ทางนี้; ฝั่งนี้	กรุณามาทางนี้	sebelah sini; di sini	Sila datang ke sebelah sini.	sebelah sini; ke sini	Silakan datang ke sini.
这个	これ; この	この肉まんはおいしいです。	이것; 이	이 만두는 맛있어요.	cái này	Cái bánh bao này rất ngon.	อันนี้; นี้	ซาลาเปานี้อร่อยมาก	ini	Baozi ini sedap.	ini	Bakpao ini enak.
这里	ここ	ここは私の学校です。	여기	여기는 제 학교예요.	ở đây	Đây là trường của tôi.	ที่นี่	ที่นี่คือโรงเรียนของฉัน	di sini	Di sini sekolah saya.	di sini	Ini sekolah saya.
这儿	ここ	ここにレストランがあります。	여기	여기에 식당이 있어요.	ở đây	Ở đây có một nhà hàng.	ที่นี่; ตรงนี้	ที่นี่มีร้านอาหาร	di sini	Di sini ada restoran.	di sini	Di sini ada restoran.
这些	これら	これらの漢字は書きやすいです。	이것들	이 한자들은 쓰기 쉬워요.	những cái này	Những chữ Hán này dễ viết.	เหล่านี้	ตัวอักษรจีนเหล่านี้เขียนง่าย	ini semua	Aksara Cina ini mudah ditulis.	ini semua	Karakter Hanzi ini mudah ditulis.
