source_headword	ML	example_ML
turnover	ജീവനക്കാരുടെ കൊഴിഞ്ഞുപോക്ക്	മാറ്റങ്ങൾക്ക് ശേഷം ജീവനക്കാരുടെ കൊഴിഞ്ഞുപോക്ക് കുറഞ്ഞു.
twist	തിരിക്കുക	അവൾ അടപ്പ് തിരിച്ചു തുറന്നു.
undergraduate	ബിരുദ വിദ്യാർത്ഥി	ബിരുദ വിദ്യാർത്ഥി ഒരു ഗവേഷണ പ്രോജക്റ്റിൽ ചേർന്നു.
underlying	അടിസ്ഥാനപരമായ	റിപ്പോർട്ട് അടിസ്ഥാനപരമായ കാരണങ്ങൾ വിശദീകരിച്ചു.
undermine	ദുർബലപ്പെടുത്തുക	ഈ വിവാദം ജനങ്ങളുടെ വിശ്വാസം ദുർബലപ്പെടുത്തി.
undoubtedly	നിസ്സംശയമായും	അവൾ നിസ്സംശയമായും ഏറ്റവും മികച്ച സ്ഥാനാർത്ഥിയാണ്.
unify	ഏകീകരിക്കുക	ടീമുകളെ ഏകീകരിക്കാനാണ് ഈ പദ്ധതി ലക്ഷ്യമിടുന്നത്.
unprecedented	അഭൂതപൂർവമായ	കൊടുങ്കാറ്റ് അഭൂതപൂർവമായ നാശനഷ്ടങ്ങൾ ഉണ്ടാക്കി.
unveil	അനാവരണം ചെയ്യുക	കമ്പനി നാളെ ഡിസൈൻ അനാവരണം ചെയ്യും.
upcoming	വരാനിരിക്കുന്ന	വരാനിരിക്കുന്ന തിരഞ്ഞെടുപ്പ് ജനശ്രദ്ധ ആകർഷിച്ചു.
upgrade	അപ്ഗ്രേഡ് ചെയ്യുക	ഞങ്ങൾ ഇന്നലെ രാത്രി സോഫ്റ്റ്‌വെയർ അപ്ഗ്രേഡ് ചെയ്തു.
uphold	നിലനിർത്തുക	ഞങ്ങൾ യഥാർത്ഥ തീരുമാനം നിലനിർത്തുന്നു.
utility	യൂട്ടിലിറ്റി	അപ്പാർട്ട്മെന്റിൽ എല്ലാ യൂട്ടിലിറ്റി ചെലവുകളും ഉൾപ്പെടുന്നു.
utilize	പ്രയോജനപ്പെടുത്തുക	ടീം ലഭ്യമായ ഡാറ്റ പ്രയോജനപ്പെടുത്തി.
utterly	തികച്ചും	വിശദീകരണം തികച്ചും ആശയക്കുഴപ്പമുണ്ടാക്കുന്നതായിരുന്നു.
vacuum	ശൂന്യത	നേതൃത്വത്തിലെ ശൂന്യത സംഘർഷം സൃഷ്ടിച്ചു.
vague	അവ്യക്തമായ	അവന്റെ ഉത്തരം അവ്യക്തവും ദുർബലവുമായിരുന്നു.
validity	സാധുത	പഠനം പരിശോധനയുടെ സാധുതയെ ചോദ്യം ചെയ്തു.
vanish	അപ്രത്യക്ഷമാകുക	ഫോൾഡറിൽ നിന്ന് ഫയൽ അപ്രത്യക്ഷമായി.
variable	വേരിയബിൾ	വില ഒരു പ്രധാന വേരിയബിളാണ്.
varied	വൈവിധ്യമാർന്ന	കോഴ്സ് വൈവിധ്യമാർന്ന അസൈൻമെന്റുകൾ വാഗ്ദാനം ചെയ്യുന്നു.
vein	സിര	നഴ്സ് പെട്ടെന്ന് ഒരു സിര കണ്ടെത്തി.
venture	സംരംഭം	പുതിയ സംരംഭം നിക്ഷേപകരെ ആകർഷിച്ചു.
verbal	വാക്കാലുള്ള	അവർ വാക്കാലുള്ള ഒരു കരാറിൽ എത്തി.
verdict	വിധി	ജൂറി അതിന്റെ വിധി പ്രസ്താവിച്ചു.
verify	പരിശോധിച്ചുറപ്പിക്കുക	ദയവായി നിങ്ങളുടെ ഇമെയിൽ വിലാസം പരിശോധിച്ചുറപ്പിക്കുക.
verse	വരി	അവൾ കവിതയിൽ നിന്ന് ഒരു വരി ഉദ്ധരിച്ചു.
versus	എതിരെ	ചർച്ച സ്വകാര്യതയും സുരക്ഷയും തമ്മിലായിരുന്നു.
vessel	കപ്പൽ	കപ്പൽ കടലിലൂടെ ധാന്യം കൊണ്ടുപോയി.
veteran	വിദഗ്ദ്ധൻ	വിദഗ്ദ്ധൻ പുതിയ ജീവനക്കാർക്ക് പരിശീലനം നൽകി.
viable	പ്രായോഗികമായ	നിർദ്ദേശം സാമ്പത്തികമായി പ്രായോഗികമാണ്.
vibrant	സജീവമായ	നഗരത്തിൽ സജീവമായ ഒരു കലാ രംഗമുണ്ട്.
vice	ദുർഗുണം	അത്യാഗ്രഹം അവന്റെ ഏറ്റവും വലിയ ദുർഗുണമായിരുന്നു.
vicious	ക്രൂരമായ	ക്രൂരമായ ആക്രമണം നഗരത്തെ നടുക്കി.
villager	ഗ്രാമീണൻ	ഒരു ഗ്രാമീണൻ ഞങ്ങളെ നദിയിലേക്ക് നയിച്ചു.
violate	ലംഘിക്കുക	കമ്പനി സുരക്ഷാ നിയമങ്ങൾ ലംഘിച്ചേക്കാം.
violation	ലംഘനം	ഇൻസ്പെക്ടർ ഗുരുതരമായ ഒരു ലംഘനം റിപ്പോർട്ട് ചെയ്തു.
virtue	പുണ്യം	ക്ഷമ ഒരു പ്രധാന പുണ്യമാണ്.
vocal	വാചാലയായ	അവൾ തീരുമാനത്തെക്കുറിച്ച് വാചാലയായി.
vow	ശപഥം ചെയ്യുക	ജോലി പൂർത്തിയാക്കുമെന്ന് അവൻ ശപഥം ചെയ്തു.
vulnerability	കേടുപാടുകൾ	ഓഡിറ്റിൽ ഒരു സുരക്ഷാ കേടുപാടുകൾ കണ്ടെത്തി.
vulnerable	ദുർബലമായ	കടുത്ത ചൂടിൽ കുട്ടികൾ ദുർബലരാണ്.
ward	വാർഡ്	രോഗി മറ്റൊരു വാർഡിലേക്ക് മാറി.
warehouse	വെയർഹൗസ്	വെയർഹൗസ് സ്പെയർ പാർട്സ് സൂക്ഷിക്കുന്നു.
warfare	യുദ്ധം	ആധുനിക യുദ്ധം സാങ്കേതികവിദ്യയെ ആശ്രയിച്ചിരിക്കുന്നു.
warrant	വാറണ്ട്	പോലീസ് സെർച്ച് വാറണ്ട് കാണിച്ചു.
warrior	പോരാളി	പോരാളി ഗ്രാമത്തെ സംരക്ഷിച്ചു.
weaken	ദുർബലമാക്കുക	പരിക്ക് അവന്റെ പിടി ദുർബലമാക്കി.
weave	നെയ്യുക	അവൾ കൊട്ടകൾ നെയ്യാൻ പഠിച്ചു.
weed	കള	കല്ലുകൾക്കിടയിൽ ഒരു കള വളർന്നു.
well	കിണർ	ഗ്രാമത്തിലെ കിണർ വറ്റി.
well-being	ക്ഷേമം	ക്ഷേമത്തിന് ഉറക്കം അത്യാവശ്യമാണ്.
whatsoever	യാതൊരു	അവൻ യാതൊരു താല്പര്യവും കാണിച്ചില്ല.
whereby	അതിലൂടെ	കുടുംബങ്ങൾക്ക് അപ്പീൽ നൽകാൻ കഴിയുന്ന ഒരു സംവിധാനം നിയമം സൃഷ്ടിച്ചു.
whilst	സമയത്ത്	അവൻ വിശ്രമിച്ചപ്പോൾ അവൾ ജോലി ചെയ്തു.
whip	വീശുക	കാറ്റിന് പതാകകളെ വീശാൻ കഴിയും.
wholly	പൂർണ്ണമായും	തീരുമാനം പൂർണ്ണമായും അപ്രതീക്ഷിതമായിരുന്നു.
widen	വീതികൂട്ടുക	നഗരം റോഡിന്റെ വീതി കൂട്ടാൻ പദ്ധതിയിടുന്നു.
widow	വിധവ	വിധവ സ്കൂളിനടുത്താണ് താമസിക്കുന്നത്.
width	വീതി	വാതിലിന്റെ വീതി അളക്കുക.
willingness	സന്നദ്ധത	സഹായിക്കാനുള്ള അവളുടെ സന്നദ്ധത എല്ലാവരെയും ആകർഷിച്ചു.
wipe	തുടയ്ക്കുക	ഒരു തുണികൊണ്ട് സ്ക്രീൻ തുടയ്ക്കുക.
wit	നർമ്മബോധം	അദ്ദേഹത്തിന്റെ നർമ്മബോധം പ്രസംഗത്തെ സജീവമാക്കി.
withdrawal	പിൻവലിക്കൽ	ഫണ്ട് പിൻവലിച്ചത് പ്രോജക്റ്റ് വൈകിപ്പിച്ചു.
workout	വ്യായാമം	വ്യായാമം നാൽപ്പത് മിനിറ്റ് നീണ്ടുനിന്നു.
worship	ആരാധന	പുലർച്ചെ ആളുകൾ ആരാധനയ്ക്കായി ഒത്തുകൂടി.
worthwhile	പ്രയോജനമുള്ള	യാത്ര പ്രയോജനമുള്ളതായിരുന്നു.
worthy	അർഹമായ	ഈ ജീവകാരുണ്യ പ്രവർത്തനത്തിന് പിന്തുണ അർഹമാണ്.
yell	അലറുക	ജീവനക്കാരോട് അലറരുത്.
yield	വിളവ്	ഈ സീസണിൽ ഫാമിന്റെ വിളവ് മെച്ചപ്പെട്ടു.
youngster	യുവാവ്	യുവാവ് പല ചോദ്യങ്ങളും ചോദിച്ചു.
