source_headword	SI	example_SI
unite	එක්සත් කරනවා	නායකයින් පක්ෂය එක්සත් කිරීමට උත්සාහ කළහ.
unity	සමගිය	කථාව ජාතික සමගිය ඉල්ලා සිටියේය.
universal	විශ්වීය	යෙදුම විශ්වීය සැලසුමක් භාවිතා කරයි.
urgent	හදිසි	රෝහලට හදිසි ඇමතුමක් ලැබුණි.
usage	භාවිතය	මාර්ගෝපදේශය නිවැරදි භාවිතය පැහැදිලි කරයි.
useless	වැඩකට නැති	කැඩුණු චාජරය වැඩකට නැත.
valid	වලංගු	ඔබගේ විදේශ ගමන් බලපත්‍රය තවමත් වලංගු වේ.
variation	වෙනස	මිල ගණන් වල පුළුල් වෙනසක් ඇත.
vertical	සිරස්	ප්‍රස්ථාරයේ සිරස් අක්ෂයක් ඇත.
viewpoint	දෘෂ්ටි කෝණය	විවාදයෙන් පසු ඇගේ දෘෂ්ටි කෝණය වෙනස් විය.
visa	වීසා	ඔහු ශිෂ්‍ය වීසා බලපත්‍රයක් සඳහා ඉල්ලුම් කළේය.
visible	දෘශ්‍යමාන	සලකුණ මෙතැන් සිට දෘශ්‍යමාන වේ.
voluntary	ස්වේච්ඡා	පාඨමාලාවට ස්වේච්ඡා වැඩමුළු ඇතුළත් වේ.
voting	ඡන්දය දීම	කල්තියා ඡන්දය දීම ලබන සතියේ ආරම්භ වේ.
wander	ඇවිදිනවා	සංචාරකයින් පරණ වෙළඳපොළ හරහා ඇවිදිනවා.
warming	උණුසුම් වීම	ගෝලීය උණුසුම් වීම මුහුදු මට්ටමට බලපායි.
weekly	සතිපතා	කණ්ඩායම සතිපතා රැස්වීමක් පවත්වයි.
weird	අමුතු	ශබ්දය අමුතු ලෙස ඇසුණි.
welfare	සුබසාධනය	වැඩසටහන ළමා සුබසාධනයට සහාය වේ.
wheat	තිරිඟු	ගොවියා තිරිඟු වගා කරයි.
whoever	කවුරුන් හෝ	පළමුවෙන් පැමිණෙන කවුරුන් හෝ පිටත රැඳී සිටිය යුතුය.
widespread	පුළුල්	කුණාටුව පුළුල් හානියක් සිදු කළේය.
wisdom	ප්‍රඥාව	ඇගේ ආච්චි ප්‍රායෝගික ප්‍රඥාව බෙදා ගත්තාය.
withdraw	ආපසු ගන්නවා	ඔහු සිය අයදුම්පත ආපසු ගැනීමට තීරණය කළේය.
workforce	ශ්‍රම බලකාය	ශ්‍රම බලකායට නව කුසලතා අවශ්‍ය වේ.
workplace	සේවා ස්ථානය	සේවා ස්ථානයේ පැහැදිලි ආරක්ෂක නීති තිබේ.
workshop	වැඩමුළුව	වැඩමුළුව දහයට ආරම්භ වේ.
worm	පණුවා	පණුවෙක් පස හරහා ගමන් කළේය.
wrist	මැණික් කටුව	ඇයගේ මැණික් කටුවට තුවාල විය.
