simplified	TH	example_TH
常识	ความรู้ทั่วไป; สามัญสำนึก	นี่คือความรู้พื้นฐานทั่วไป
长途	ระยะไกล	การเดินทางระยะไกลเหนื่อยมาก
抄	ลอก; คัดลอก	กรุณาอย่าลอกการบ้านของคนอื่น
超级	ซูเปอร์; ระดับสูง	นี่คือซูเปอร์มาร์เก็ต
朝	ราชวงศ์; หันไปทาง	ราชวงศ์ถังมีชื่อเสียงมาก
潮湿	ชื้น	ฤดูร้อนทางใต้ชื้นมาก
吵	เสียงดัง	ข้างนอกเสียงดังมาก
吵架	ทะเลาะกัน	พวกเขาทะเลาะกันอีกแล้ว
炒	ผัด	แม่กำลังผัดอาหาร
车库	โรงรถ	รถจอดอยู่ในโรงรถ
车厢	ตู้โดยสาร	ตู้โดยสารขบวนนี้เงียบมาก
彻底	อย่างถ่องแท้; สมบูรณ์	เขาเข้าใจอย่างถ่องแท้แล้ว
沉默	เงียบ; นิ่งเงียบ	เขาเงียบมาตลอด
趁	ถือโอกาส; ระหว่างที่	ระหว่างที่ฟ้ายังไม่มืด พวกเราไปกันเถอะ
称	ชั่ง; เรียกว่า	กรุณาชั่งพัสดุชิ้นนี้หน่อย
称呼	เรียก; คำเรียก	ฉันไม่รู้ว่าควรเรียกเขาอย่างไร
称赞	ชมเชย	ครูชมเชยความก้าวหน้าของเขา
成分	ส่วนประกอบ	ส่วนประกอบของยาชนิดนี้เรียบง่ายมาก
成果	ผลลัพธ์; ความสำเร็จ	โครงการนี้ได้ผลลัพธ์แล้ว
成就	ความสำเร็จ	เขาประสบความสำเร็จมากในอาชีพการงาน
成立	ก่อตั้ง	บริษัทก่อตั้งขึ้นเมื่อปีที่แล้ว
成人	ผู้ใหญ่	ตั๋วผู้ใหญ่แพงกว่าตั๋วเด็ก
成熟	สุก; เป็นผู้ใหญ่	แอปเปิลสุกแล้ว
成语	สำนวนจีน	สำนวนจีนนี้ใช้บ่อยมาก
成长	เติบโต	เด็กกำลังค่อย ๆ เติบโต
承担	รับผิดชอบ; แบกรับ	เขายินดีรับผิดชอบ
承认	ยอมรับ	เขายอมรับว่าตัวเองผิด
承受	ทนรับ; แบกรับ	ฉันทนรับความกดดันมากขนาดนี้ไม่ไหว
程度	ระดับ	ระดับภาษาจีนของเขาสูงมาก
程序	ขั้นตอน; โปรแกรม	กรุณาดำเนินการตามขั้นตอน
诚恳	จริงใจ	ท่าทีของเขาจริงใจมาก
吃亏	เสียเปรียบ; ขาดทุน	ก่อนซื้อของต้องดูให้ชัดเจน จะได้ไม่เสียเปรียบ
持续	ต่อเนื่อง	ฝนตกต่อเนื่องมาสามวัน
池塘	สระน้ำ	ในสระน้ำมีปลามากมาย
迟早	ไม่ช้าก็เร็ว	ไม่ช้าก็เร็วคุณจะเข้าใจ
尺子	ไม้บรรทัด	กรุณาใช้ไม้บรรทัดวัดหน่อย
翅膀	ปีก	ปีกของนกบาดเจ็บ
充电器	ที่ชาร์จ	ที่ชาร์จของฉันเสียแล้ว
充分	เพียงพอ; เต็มที่	พวกเราเตรียมตัวอย่างเต็มที่แล้ว
充满	เต็มไปด้วย	ในห้องเต็มไปด้วยเสียงหัวเราะ
冲	ล้าง; ชง	กรุณาล้างแก้วด้วยน้ำหน่อย
重复	ทำซ้ำ; ซ้ำ	กรุณาอย่าทำผิดซ้ำแบบเดิม
宠物	สัตว์เลี้ยง	เธอเลี้ยงสุนัขเป็นสัตว์เลี้ยงหนึ่งตัว
抽屉	ลิ้นชัก	กุญแจอยู่ในลิ้นชัก
抽象	นามธรรม	แนวคิดนี้เป็นนามธรรมเกินไป
丑	น่าเกลียด	รูปนี้ดูน่าเกลียดนิดหน่อย
臭	เหม็น	ขยะเหม็นมาก
出版	ตีพิมพ์; เผยแพร่	หนังสือเล่มนี้ตีพิมพ์เมื่อปีที่แล้ว
出口	ทางออก; ส่งออก	ทางออกอยู่ข้างหน้า
出色	ยอดเยี่ยม; โดดเด่น	ผลงานของเธอโดดเด่นมาก
出示	แสดง; นำออกมาแสดง	กรุณาแสดงหนังสือเดินทางของคุณ
出席	เข้าร่วม; เข้าประชุม	เขาจะเข้าร่วมการประชุม
初级	ระดับต้น	ฉันเรียนภาษาจีนในชั้นระดับต้น
除非	เว้นแต่	เว้นแต่ฝนตก พรุ่งนี้พวกเราจะไปปีนเขา
除夕	คืนส่งท้ายปีเก่า	คืนส่งท้ายปีเก่าครอบครัวเรากินข้าวด้วยกัน
处理	จัดการ	ฉันจะจัดการปัญหานี้
传播	แพร่กระจาย; เผยแพร่	ข่าวนี้แพร่กระจายเร็วมาก
传染	ติดต่อ; แพร่เชื้อ	หวัดติดต่อกันได้ง่าย
传说	ตำนาน	นี่คือตำนานเก่าแก่เรื่องหนึ่ง
传统	ประเพณี; ดั้งเดิม	เทศกาลตรุษจีนเป็นเทศกาลดั้งเดิมของจีน
窗帘	ผ้าม่าน	กรุณาเปิดผ้าม่าน
闯	ฝ่า; บุก	เขาเผลอฝ่าไฟแดง
创造	สร้างสรรค์; สร้าง	ผู้คนสร้างเครื่องมือใหม่
吹	พัด; เป่า	ลมพัดแรงมาก
词汇	คำศัพท์	คำศัพท์นี้ใช้บ่อยมาก
辞职	ลาออก	เขาตัดสินใจลาออก
此外	นอกจากนี้	นอกจากนี้ ฉันยังมีอีกหนึ่งคำถาม
刺激	ตื่นเต้น; กระตุ้น	เกมนี้ตื่นเต้นมาก
次要	รอง; ไม่สำคัญเท่า	ปัญหานี้เป็นเรื่องรอง
匆忙	รีบร้อน	เขาออกจากบ้านอย่างรีบร้อน
从此	ตั้งแต่นั้นมา	ตั้งแต่นั้นมา เขาออกกำลังกายทุกวัน
从而	จึง; ดังนั้น	เขาเรียนอย่างหนัก จึงสอบผ่าน
从前	เมื่อก่อน	เมื่อก่อนที่นี่ไม่มีรถไฟใต้ดิน
从事	ทำงานด้าน; ประกอบ	เธอทำงานด้านการศึกษา
粗糙	หยาบ	กระดาษแผ่นนี้หยาบมาก
促进	ส่งเสริม	การออกกำลังกายส่งเสริมสุขภาพได้
促使	กระตุ้นให้; ทำให้	เรื่องนี้ทำให้เขาเปลี่ยนแผน
醋	น้ำส้มสายชู	ในอาหารใส่น้ำส้มสายชู
催	เร่ง; กระตุ้น	แม่เร่งให้ฉันออกจากบ้านเร็ว ๆ
存在	มีอยู่	ปัญหานี้ยังคงมีอยู่
措施	มาตรการ	โรงเรียนใช้มาตรการด้านความปลอดภัย
答应	ตกลง; รับปาก	เขารับปากว่าจะช่วยฉัน
达到	ถึง; บรรลุ	คะแนนของเขาถึงมาตรฐานแล้ว
打工	ทำงานพิเศษ	ช่วงปิดเทอมฤดูร้อนเขาไปทำงานพิเศษที่ร้านอาหาร
打交道	ติดต่อเกี่ยวข้อง; รับมือ	ฉันติดต่อกับลูกค้าบ่อย ๆ
打喷嚏	จาม	เขาเป็นหวัดและจามตลอด
打听	สอบถาม	ฉันอยากสอบถามเรื่องตั๋วรถไฟ
大方	ใจกว้าง	เธอใช้เงินอย่างใจกว้างมาก
大厦	อาคารใหญ่	อาคารใหญ่นั้นสูงมาก
大象	ช้าง	เด็ก ๆ กำลังดูช้างที่สวนสัตว์
大型	ขนาดใหญ่	ที่นี่จะสร้างห้างสรรพสินค้าขนาดใหญ่
呆	อยู่; ทึ่ม	เขาอยู่บ้านอ่านหนังสือ
代表	แทน; ตัวแทน	ดอกไม้นี้แทนมิตรภาพ
代替	แทนที่; แทน	วันนี้ฉันจะเข้าประชุมแทนเขา
待遇	สวัสดิการ; การปฏิบัติ	สวัสดิการของบริษัทนี้ไม่เลว
贷款	เงินกู้	พวกเขายื่นขอสินเชื่อบ้าน
单纯	เรียบง่าย; บริสุทธิ์	ความคิดของเธอเรียบง่ายมาก
单调	จำเจ	งานนี้จำเจนิดหน่อย
单独	ตามลำพัง	ฉันอยากคุยกับคุณตามลำพัง
单位	หน่วย; หน่วยงาน	เขาทำงานในหน่วยงานของรัฐแห่งหนึ่ง
单元	หน่วย; บทเรียน	วันนี้พวกเราเรียนบทที่สาม
担任	รับหน้าที่	เธอรับหน้าที่เป็นผู้รับผิดชอบกิจกรรมครั้งนี้
耽误	ทำให้ล่าช้า; เสียเวลา	อย่าทำให้ทุกคนเสียเวลา
胆小鬼	คนขี้ขลาด	อย่าเรียกเขาว่าคนขี้ขลาด
淡	จืด; อ่อน	ซุปชามนี้จืดไปหน่อย
当地	ท้องถิ่น; ในพื้นที่	คนท้องถิ่นล้วนชอบตลาดนี้
当心	ระวัง	ถนนลื่น คุณระวังหน่อย
挡	ขวาง; บัง	รถคันนี้ขวางทางเข้าไว้
倒霉	โชคร้าย	วันนี้โชคร้ายจริง ๆ โทรศัพท์หาย
导演	ผู้กำกับ	ผู้กำกับท่านนี้มีชื่อเสียงมาก
导致	ทำให้เกิด; นำไปสู่	ฝนตกหนักทำให้รถติด
岛屿	เกาะ	ประเทศนี้มีเกาะมากมาย
到达	มาถึง	รถไฟมาถึงเซี่ยงไฮ้ตรงเวลา
道德	ศีลธรรม; จริยธรรม	คนเราควรมีศีลธรรม
道理	เหตุผล	คำพูดของเขามีเหตุผลมาก
登记	ลงทะเบียน	กรุณาลงทะเบียนที่แผนกต้อนรับก่อน
等待	รอ	พวกเรากำลังรอผลลัพธ์
等于	เท่ากับ	ห้าบวกห้าเท่ากับสิบ
滴	หยด	น้ำหนึ่งหยดตกลงบนโต๊ะ
敌人	ศัตรู	พวกเขาไม่ใช่ศัตรู
的确	จริง ๆ; แน่นอน	เรื่องนี้สำคัญจริง ๆ
地道	แท้; เป็นธรรมชาติ	เขาพูดภาษาปักกิ่งได้แท้มาก
地理	ภูมิศาสตร์	ฉันสนใจภูมิศาสตร์จีนมาก
地区	ภูมิภาค; พื้นที่	พื้นที่นี้หนาวมากในฤดูหนาว
地毯	พรม	ในห้องรับแขกปูพรมผืนหนึ่ง
地位	สถานะ; ตำแหน่ง	การศึกษามีสถานะสำคัญในสังคม
地震	แผ่นดินไหว	เมื่อคืนที่นี่เกิดแผ่นดินไหว
递	ส่งต่อ; ยื่นให้	กรุณาส่งจดหมายฉบับนี้ให้ครู
点心	ของว่าง; ขนม	ตอนบ่ายพวกเรากินของว่าง
电池	แบตเตอรี่	ของเล่นชิ้นนี้ต้องใช้แบตเตอรี่สองก้อน
电台	สถานีวิทยุ	เขาทำรายการที่สถานีวิทยุ
钓	ตกปลา	ปู่ชอบไปตกปลาริมแม่น้ำ
顶	ใบ; ยอด	เขาสวมหมวกสีดำหนึ่งใบ
冻	แข็งตัว; หนาวจนแข็ง	ข้างนอกหนาวมาก น้ำแข็งตัวหมดแล้ว
动画片	การ์ตูน; แอนิเมชัน	เด็ก ๆ กำลังดูการ์ตูน
洞	รู; ถ้ำ	บนผนังมีรูเล็ก ๆ หนึ่งรู
豆腐	เต้าหู้	เต้าหู้จานนี้อร่อยมาก
逗	แหย่; ทำให้ขำ	คำพูดของเขาทำให้ทุกคนหัวเราะ
独立	เป็นอิสระ	เธออยากใช้ชีวิตอย่างอิสระ
独特	เป็นเอกลักษณ์	เมืองนี้มีวัฒนธรรมที่เป็นเอกลักษณ์
度过	ใช้เวลา; ผ่านพ้น	พวกเราใช้วันหยุดที่ชายทะเล
断	ขาด; ตัดขาด	เชือกเส้นนี้ขาดแล้ว
堆	กอง; กองไว้	บนโต๊ะมีกองเอกสารจำนวนมาก
兑换	แลกเปลี่ยน	ฉันอยากแลกเงินหยวนสักหน่อย
对比	เปรียบเทียบ	กรุณาเปรียบเทียบสองแผนนี้
对待	ปฏิบัติต่อ	พวกเราควรปฏิบัติต่อทุกคนอย่างยุติธรรม
对方	อีกฝ่าย	กรุณาฟังความเห็นของอีกฝ่ายก่อน
对手	คู่แข่ง	คู่แข่งของเขาแข็งแกร่งมาก
对象	เป้าหมาย; คู่รัก	กลุ่มตัวอย่างในการวิจัยคือนักศึกษามหาวิทยาลัย
吨	ตัน	รถบรรทุกคันนี้บรรทุกสินค้าได้สามตัน
蹲	นั่งยอง ๆ	เขานั่งยอง ๆ บนพื้นหากุญแจ
顿	มื้อ; ครั้ง	พวกเรากินอาหารเย็นด้วยกันหนึ่งมื้อ
多亏	ต้องขอบคุณ; โชคดีที่	ต้องขอบคุณความช่วยเหลือของคุณ ฉันจึงทำภารกิจเสร็จ
多余	เกินจำเป็น	ประโยคนี้เกินจำเป็น
朵	ดอก	บนโต๊ะมีดอกไม้หนึ่งดอก
躲藏	ซ่อนตัว	ลูกแมวซ่อนอยู่ใต้เตียง
恶劣	เลวร้าย	อากาศวันนี้เลวร้ายมาก
耳环	ต่างหู	เธอสวมต่างหูหนึ่งคู่
发表	ตีพิมพ์; แสดงออก	เขาแสดงความเห็นในที่ประชุม
发愁	กังวล	อย่ากังวลกับเรื่องเล็ก ๆ นี้
发达	พัฒนาแล้ว; เจริญ	การคมนาคมในเมืองนี้พัฒนามาก
发抖	สั่น	เขาหนาวจนสั่นตลอด
发挥	ใช้ให้เต็มที่; แสดง	ขอให้ทุกคนใช้จินตนาการของตัวเองให้เต็มที่
发明	สิ่งประดิษฐ์; ประดิษฐ์	หลอดไฟเป็นสิ่งประดิษฐ์ที่สำคัญ
发票	ใบกำกับภาษี; ใบเสร็จ	กรุณาออกใบกำกับภาษีให้ฉัน
发言	กล่าว; แสดงความคิดเห็น	เขาพูดในที่ประชุม
罚款	ค่าปรับ; ปรับ	จอดรถผิดกฎต้องเสียค่าปรับ
法院	ศาล	คดีนี้ถูกส่งให้ศาลจัดการ
翻	พลิก; เปิด	กรุณาเปิดหนังสือไปที่หน้าสิบ
繁荣	เจริญรุ่งเรือง	เศรษฐกิจกำลังค่อย ๆ เจริญรุ่งเรือง
反而	กลับ; ตรงกันข้าม	เขาไม่ได้โกรธ กลับหัวเราะ
反复	ซ้ำ ๆ	ประโยคนี้ต้องฝึกซ้ำ ๆ
反应	ปฏิกิริยา; ตอบสนอง	ปฏิกิริยาของเขารวดเร็วมาก
反映	สะท้อน	รายงานฉบับนี้สะท้อนสถานการณ์จริง
反正	อย่างไรก็แล้วแต่	อย่างไรก็แล้วแต่ พรุ่งนี้ฉันมีเวลา
范围	ขอบเขต	กรุณาอย่าเกินขอบเขตนี้
方	สี่เหลี่ยม; ทิศทาง	กรุณาวาดรูปสี่เหลี่ยมจัตุรัสบนกระดาษ
方案	แผน; ข้อเสนอ	แผนนี้ค่อนข้างสมเหตุสมผล
方式	วิธี; รูปแบบ	วิธีเรียนแบบนี้ได้ผลมาก
妨碍	รบกวน; ขัดขวาง	กรุณาอย่ารบกวนการทำงานของคนอื่น
仿佛	ราวกับว่า	เขาราวกับรู้ทุกอย่าง
非	ไม่ใช่; ต้อง	เรื่องนี้ขาดคุณไม่ได้
肥皂	สบู่	เวลาล้างมือต้องใช้สบู่
废话	คำพูดไร้สาระ	พูดไร้สาระให้น้อยลง รีบเริ่มเถอะ
分别	แยกจากกัน; แยกแยะ	พวกเขาแยกจากกันที่สถานี
分布	กระจาย	ร้านค้าเหล่านี้กระจายอยู่ทั่วเมือง
分配	แจกจ่าย; มอบหมาย	ครูมอบหมายงานใหม่
分手	เลิกกัน	พวกเขาเลิกกันเมื่อปีที่แล้ว
分析	วิเคราะห์	พวกเราต้องวิเคราะห์สาเหตุ
纷纷	ต่างก็; ทีละคน	ทุกคนต่างก็แสดงความเห็นด้วย
奋斗	ต่อสู้; พยายาม	คนหนุ่มสาวควรพยายามเพื่อความฝัน
疯狂	บ้าคลั่ง	แฟนบอลส่งเสียงเชียร์อย่างบ้าคลั่ง
风格	สไตล์; รูปแบบ	สไตล์ของร้านอาหารนี้พิเศษมาก
风景	ทิวทัศน์	ทิวทัศน์บนภูเขาสวยมาก
风俗	ประเพณีท้องถิ่น	ทุกที่มีประเพณีของตัวเอง
风险	ความเสี่ยง	การลงทุนมีความเสี่ยงระดับหนึ่ง
讽刺	เสียดสี; ประชด	บทความนี้เสียดสีปัญหาสังคม
否定	ปฏิเสธ	เขาปฏิเสธคำพูดนี้
否认	ปฏิเสธ	เขาปฏิเสธว่าตัวเองทำผิด
幅	ผืน; ภาพ	บนผนังแขวนภาพอยู่หนึ่งภาพ
扶	พยุง; ช่วย	กรุณาช่วยพยุงผู้สูงอายุข้ามถนน
服装	เสื้อผ้า	ร้านนี้ขายเสื้อผ้าเด็ก
辅导	ติว; ให้คำแนะนำ	ครูติวนักเรียนหลังเลิกเรียน
复制	คัดลอก	กรุณาคัดลอกเอกสารฉบับนี้
妇女	ผู้หญิง	โรงพยาบาลแห่งนี้ให้บริการแก่ผู้หญิง
改革	ปฏิรูป	โรงเรียนกำลังดำเนินการปฏิรูปการสอน
改进	ปรับปรุง	พวกเราต้องปรับปรุงคุณภาพบริการ
改善	ทำให้ดีขึ้น; ปรับปรุง	การออกกำลังกายช่วยปรับปรุงการนอนหลับ
改正	แก้ไข	กรุณาแก้ไขข้อผิดพลาดให้ทันเวลา
概括	สรุปโดยย่อ	กรุณาสรุปเนื้อหาบทความสั้น ๆ
概念	แนวคิด	แนวคิดนี้ไม่ค่อยเข้าใจง่าย
盖	ฝา; ปิด	กรุณาปิดแก้วให้เรียบร้อย
干脆	ตรงไปตรงมา; เสียเลย	คุณก็ไม่ต้องไปวันนี้เสียเลย
干燥	แห้ง	ฤดูหนาวทางเหนือแห้งมาก
感激	รู้สึกขอบคุณ	ฉันรู้สึกขอบคุณความช่วยเหลือของคุณมาก
感受	ความรู้สึก; รับรู้	ฉันเข้าใจความรู้สึกของคุณได้
感想	ความคิดหลังจากได้ฟังหรือเห็น	กรุณาพูดถึงความรู้สึกนึกคิดของคุณ
赶紧	รีบ	เวลาไม่เช้าแล้ว รีบไปกันเถอะ
赶快	รีบ; ทันที	รีบปิดประตูเร็ว
干活儿	ทำงานใช้แรง	เขากำลังทำงานอยู่ในลานบ้าน
钢铁	เหล็กกล้า	สะพานนี้ทำจากเหล็กกล้า
高档	ระดับสูง; คุณภาพสูง	นี่คือโรงแรมระดับสูงแห่งหนึ่ง
高级	ระดับสูง; ขั้นสูง	เธอเข้าร่วมชั้นเรียนภาษาจีนขั้นสูง
搞	ทำ; จัด	คุณกำลังจัดกิจกรรมอะไร
告别	บอกลา	พวกเราบอกลาเพื่อนที่สนามบิน
格外	เป็นพิเศษ	วันนี้ท้องฟ้าสีฟ้าเป็นพิเศษ
隔壁	ข้างบ้าน; ห้องข้าง ๆ	ข้างบ้านมีครูคนหนึ่งอาศัยอยู่
个别	บางคน; รายบุคคล	นักเรียนบางคนยังไม่ได้ส่งการบ้าน
个人	ส่วนตัว; บุคคล	นี่คือความเห็นส่วนตัวของฉัน
个性	บุคลิก; เอกลักษณ์ส่วนตัว	เธอมีบุคลิกชัดเจนมาก
各自	ของแต่ละคน; ต่างคนต่าง	ทุกคนทำภารกิจของตัวเองให้เสร็จ
根	ราก; เส้น	ใต้โต๊ะมีสายไฟหนึ่งเส้น
根本	โดยพื้นฐาน; เลย	ปัญหานี้ไม่ยากเลย
公布	ประกาศ; เผยแพร่	โรงเรียนประกาศผลสอบแล้ว
公开	เปิดเผย; สาธารณะ	การประชุมครั้งนี้เป็นแบบเปิดเผย
公平	ยุติธรรม	การแข่งขันควรยุติธรรม
公寓	อพาร์ตเมนต์	เธอเช่าอพาร์ตเมนต์เล็ก ๆ หนึ่งห้อง
公元	คริสต์ศักราช	ปีนี้คือคริสต์ศักราชสองพันยี่สิบหก
公主	เจ้าหญิง	เด็กผู้หญิงตัวเล็กชอบเรื่องเจ้าหญิง
功能	ฟังก์ชัน; หน้าที่	ซอฟต์แวร์นี้มีฟังก์ชันมากมาย
工厂	โรงงาน	โรงงานนี้ผลิตรถยนต์
工程师	วิศวกร	พี่ชายของฉันเป็นวิศวกร
工具	เครื่องมือ	การซ่อมจักรยานต้องใช้เครื่องมือ
工人	คนงาน	คนงานกำลังซ่อมถนน
工业	อุตสาหกรรม	เมืองนี้มีอุตสาหกรรมเป็นหลัก
恭喜	ยินดีด้วย	ยินดีด้วยที่คุณสอบผ่าน
贡献	มีส่วนร่วม; คุณูปการ	เขามีส่วนร่วมต่อบริษัท
沟通	สื่อสาร	การสื่อสารที่ดีสำคัญมาก
构成	ประกอบเป็น	ส่วนเหล่านี้ประกอบกันเป็นภาพรวม
