source_headword	FI	example_FI
author	kirjailija	Tämä kirjailija kirjoitti kirjan.
available	saatavilla	Ruokaa on nyt saatavilla.
average	keskimääräinen; keskiarvo	Keskimääräinen tulos oli hyvä.
avoid	välttää	Vältä vilkasta tietä.
award	palkinto	Hän voitti palkinnon.
awful	kamala	Sää oli kamala.
background	tausta	Kuvassa on tumma tausta.
badly	huonosti	Hän pelasi tänään huonosti.
bar	baari; tanko	Tapasimme hotellin baarissa.
baseball	baseball	Baseball on suosittua täällä.
based	perustuva	Elokuva perustuu kirjaan.
basketball	koripallo	Pelaamme koripalloa koulun jälkeen.
bean	papu	Tämä papu on vihreä.
bear (animal)	karhu	Karhu asuu metsässä.
beat	voittaa; lyödä	Meidän joukkueemme voi voittaa heidät.
beef	naudanliha	Söin naudanlihaa päivälliseksi.
behave	käyttäytyä	Käyttäydy hyvin tunnilla.
behaviour	käytös; käyttäytyminen	Hänen käytöksensä oli kohteliasta.
belong	kuulua	Nämä kengät kuuluvat minulle.
belt	vyö	Hänen vyönsä on musta.
benefit	hyöty; etu	Liikunnasta on todellista hyötyä.
billion	miljardi	Miljardi on valtava luku.
bin	roskakori	Laita paperi roskakoriin.
biology	biologia	Biologia on paras aineeni.
birth	syntymä	Hänen syntymänsä oli toukokuussa.
biscuit	keksi	Hän syö keksin.
bit	vähän; pala	Tarvitsen vähän lisää aikaa.
blank	tyhjä; aukkokohta	Kirjoita nimesi tyhjään kohtaan.
blood	veri	Veri on punaista.
blow	puhaltaa; tuulla	Tuuli voi puhaltaa kovaa.
board	taulu; lauta	Kirjoita se taululle.
boil	keittää	Keitä vesi ensin.
bone	luu	Koiralla on luu.
borrow	lainata	Voinko lainata kynääsi?
boss	pomo	Pomoni on ystävällinen.
bottom	pohja; alaosa	Allekirjoita alaosaan.
bowl	kulho	Kulho on täynnä.
brain	aivot	Aivosi tarvitsevat lepoa.
bridge	silta	Silta on vanha.
bright	kirkas	Huone on kirkas.
brilliant	loistava	Tuo ajatus on loistava.
broken	rikki	Tuoli on rikki.
brush	harjata; harja	Harjaa hampaasi nyt.
burn	polttaa; palaa	Älä polta leipää.
businessman	liikemies	Liikemies saapui aikaisin.
button	nappi; painike	Paina punaista nappia.
camp	leiri; telttailla	Telttailemme järven lähellä.
camping	telttailu	Telttailu on hauskaa kesällä.
can2	tölkki; purkki	Avaa tölkki varovasti.
care	hoito; välittää	Pidä huolta terveydestäsi.
careful	varovainen	Ole varovainen portaissa.
carefully	huolellisesti	Lue kysymys huolellisesti.
carpet	matto	Matto on pehmeä.
cartoon	sarjakuva; piirretty	Tämä sarjakuva on hauska.
case	kotelo; tapaus	Laita se koteloon.
cash	käteinen	Maksoin käteisellä.
castle	linna	Linna on hyvin vanha.
catch	ottaa kiinni	Ota pallo kiinni nyt.
cause	aiheuttaa; syy	Sade voi aiheuttaa ongelmia.
celebrate	juhlia	Juhlimme syntymäpäivääni.
celebrity	julkkis; kuuluisuus	Julkkis oli hyvin ystävällinen.
certain	varma; tietty	Olen tästä varma.
certainly	varmasti	Autan varmasti.
chance	mahdollisuus	Sinulla on mahdollisuus.
character	hahmo; luonne	Tämä hahmo on rohkea.
charity	hyväntekeväisyys	Hyväntekeväisyys auttaa lapsia.
chat	jutella; juttu	Juttelemme tunnin jälkeen.
chef	kokki	Kokki teki keittoa.
chemistry	kemia	Kemia on minulle vaikeaa.
chip	sipsi; siru	Tämä sipsi on suolainen.
choice	valinta	Tämä valinta on tärkeä.
church	kirkko	Kirkko on lähellä.
cigarette	savuke; tupakka	Savuke on huono terveydelle.
circle	ympyrä; kiertää	Piirrä tähän ympyrä.
classical	klassinen	Nautin klassisesta musiikista.
clear	selvä; kirkas	Vastaus on selvä.
clearly	selvästi	Puhu selvästi, kiitos.
clever	älykäs	Hän on älykäs lapsi.
climate	ilmasto	Ilmasto muuttuu.
close2	lähellä	Kouluni on lähellä kotia.
closed	suljettu	Kauppa on suljettu.
clothing	vaatteet	Lämpimät vaatteet ovat hyödyllisiä.
cloud	pilvi	Pilvi peittää auringon.
coach	valmentaja; linja-auto	Valmentaja auttoi joukkuetta.
coast	rannikko	Ajoimme rannikkoa pitkin.
code	koodi	Syötä koodi tähän.
colleague	kollega; työtoveri	Kollegani soitti minulle.
collect	kerätä	Kerään vanhoja kortteja.
column	sarake	Lue ensimmäinen sarake.
comedy	komedia	Tämä komedia on hauska.
comfortable	mukava	Tämä tuoli on mukava.
comment	kommentti; kommentoida	Jätä kommentti alle.
communicate	viestiä; kommunikoida	Viestimme sähköpostilla.
community	yhteisö	Yhteisömme on ystävällinen.
compete	kilpailla	He kilpailevat joka vuosi.
competition	kilpailu	Kilpailu alkaa huomenna.
complain	valittaa	Älä valita taas.
completely	täysin	Olen täysin samaa mieltä.
condition	kunto; tila	Auto on hyvässä kunnossa.
conference	konferenssi; kokous	Konferenssi alkaa yhdeksältä.
connect	yhdistää	Yhdistä puhelin tietokoneeseen.
connected	yhteydessä; yhdistetty	Kaksi ajatusta liittyvät toisiinsa.
consider	harkita	Harkitse ajatustani, kiitos.
contain	sisältää	Tämä laatikko sisältää kirjoja.
context	asiayhteys; konteksti	Asiayhteys auttaa ymmärtämään.
continent	manner	Manner on hyvin suuri.
continue	jatkaa	Jatka lukemista, kiitos.
control	hallita; ohjata	Hallitse nopeutta huolellisesti.
cooker	liesi; keitin	Liesi on puhdas.
copy	kopio; kopioida	Tee minulle kopio.
corner	nurkka; kulma	Istu nurkkaan.
correctly	oikein	Kirjoita vastaus oikein.
count	laskea	Laske kirjat.
couple	pari	Pari saapui aikaisin.
cover	peittää; kansi	Peitä kulho.
crazy	hullu; järjetön	Tämä ajatus kuulostaa hullulta.
creative	luova	Hänellä on luova ajatus.
credit	luotto; kunnia	Maksoin luottokortilla.
crime	rikos	Rikos on vakava ongelma.
criminal	rikollinen	Rikollinen lähti nopeasti.
cross	ylittää; risti	Ylitä katu varovasti.
crowd	väkijoukko	Väkijoukko odotti ulkona.
crowded	ruuhkainen; täynnä	Juna oli täynnä.
cry	itkeä	Älä itke nyt.
cupboard	kaappi	Kupit ovat kaapissa.
curly	kihara	Hänellä on kiharat hiukset.
cycle	pyöräillä; kierros	Pyöräilen kouluun.
daily	päivittäinen; päivittäin	Luen uutiset päivittäin.
danger	vaara	Kyltti näyttää vaaraa.
data	data; tiedot	Data on hyödyllistä.
dead	kuollut	Kasvi on kuollut.
deal	kauppa; sopimus	Tämä on hyvä kauppa.
death	kuolema	Kuolema on vaikea aihe.
decision	päätös	Tee päätös tänään.
deep	syvä	Vesi on syvää.
definitely	ehdottomasti	Haluan ehdottomasti teetä.
degree	tutkinto; aste	Tutkintoni on historiassa.
dentist	hammaslääkäri	Hammaslääkäri tarkisti hampaani.
department	osasto	Kenkäosasto on yläkerrassa.
depend	riippua	Se riippuu säästä.
desert	aavikko	Aavikko on hyvin kuiva.
designer	suunnittelija	Suunnittelija teki tämän mekon.
destroy	tuhota	Älä tuhoa tiedostoa.
detective	etsivä	Etsivä löysi avaimen.
develop	kehittää	He kehittävät uuden sovelluksen.
device	laite	Tämä laite on hyödyllinen.
diary	päiväkirja	Hän kirjoittaa päiväkirjaansa.
differently	eri tavalla	Teemme sen eri tavalla.
digital	digitaalinen	Tämä on digitaalinen kamera.
direct	suora; ohjata	Ota suora juna.
direction	suunta	Kävele tähän suuntaan.
director	ohjaaja; johtaja	Ohjaaja piti elokuvasta.
disagree	olla eri mieltä	Olen eri mieltä tuosta ajatuksesta.
disappear	kadota	Aurinko katoaa pian.
disaster	katastrofi; onnettomuus	Myrsky oli katastrofi.
discover	löytää; keksiä	He löytävät uuden saaren.
discovery	löytö	Löytö muutti tiedettä.
discussion	keskustelu	Keskustelu päättyi aikaisin.
disease	sairaus	Tämä sairaus on vakava.
distance	etäisyys	Etäisyys on lyhyt.
divorced	eronnut	Hänen vanhempansa ovat eronneet.
document	asiakirja; dokumentti	Tallenna tämä asiakirja nyt.
double	kahden hengen; kaksinkertainen	Tarvitsen kahden hengen huoneen.
download	ladata; lataus	Lataa sovellus tänään.
drama	draama	Draama alkaa tänä iltana.
drawing	piirros	Hänen piirroksensa on kaunis.
dream	uni; unelma	Näin oudon unen.
driving	ajaminen	Ajaminen yöllä on vaikeaa.
drop	pudottaa; pisara	Älä pudota lasia.
drug	lääke; huume	Lääke auttoi häntä.
dry	kuiva; kuivata	Pyyhe on kuiva.
earn	ansaita	Ansaitsen rahaa töissä.
earth	maapallo; maa	Maapallo on pyöreä.
easily	helposti	Hän oppii helposti.
education	koulutus	Koulutus on tärkeää.
effect	vaikutus	Vaikutus oli selvä.
either	kumpi tahansa; jompikumpi	Kumpi tahansa vastaus käy.
electric	sähköinen	Tämä auto on sähköinen.
electrical	sähkö-; sähköinen	Sähköjärjestelmä on turvallinen.
electricity	sähkö	Sähkö on täällä kallista.
electronic	elektroninen	Tämä elektroninen lippu toimii.
employ	palkata; työllistää	He työllistävät viisi ihmistä.
employee	työntekijä	Työntekijä tekee kovasti töitä.
employer	työnantaja	Työnantajani on reilu.
empty	tyhjä	Huone on tyhjä.
ending	loppu	Loppu oli yllättävä.
energy	energia	Minulla ei ole energiaa tänään.
engine	moottori	Moottori on äänekäs.
engineer	insinööri	Insinööri korjasi sillan.
enormous	valtava	Rakennus on valtava.
enter	astua sisään; syöttää	Astu huoneeseen hiljaa.
environment	ympäristö	Suojele ympäristöä.
equipment	varusteet; välineet	Nämä välineet ovat kalliita.
error	virhe	Löysin virheen.
especially	erityisesti	Pidän erityisesti tästä laulusta.
essay	essee	Kirjoita essee tänä iltana.
everyday	arkinen; jokapäiväinen	Tämä on arkista englantia.
everywhere	kaikkialla	Kukkia kasvaa kaikkialla.
evidence	todisteet; näyttö	Todisteet ovat selvät.
exact	tarkka	Anna tarkka numero.
exactly	täsmälleen	Se on täsmälleen oikein.
excellent	erinomainen	Työsi on erinomaista.
except	paitsi	Kaikki tulivat paitsi minä.
exist	olla olemassa	Onko tätä osoitetta olemassa?
expect	odottaa	Odotan sadetta huomenna.
experience	kokemus	Minulla on kokemusta lapsista.
experiment	koe	Koe toimi hyvin.
expert	asiantuntija	Kysy apua asiantuntijalta.
explanation	selitys	Hänen selityksensä oli selvä.
express	ilmaista	Ilmaise mielipiteesi, kiitos.
expression	ilmaus	Tämä ilmaus on yleinen.
extreme	äärimmäinen	Kuumuus oli äärimmäistä.
extremely	äärimmäisen; erittäin	On äärimmäisen kylmä.
factor	tekijä	Hinta on yksi tekijä.
factory	tehdas	Tehdas sulkeutuu viideltä.
fail	epäonnistua	En epäonnistunut.
fair	reilu; kohtuullinen	Hinta on reilu.
fan	tuuletin; fani	Laita tuuletin päälle.
farming	maanviljely	Maanviljely on kovaa työtä.
fashion	muoti	Muoti muuttuu joka vuosi.
fear	pelko; pelätä	Pelko voi pysäyttää ihmiset.
feature	ominaisuus	Tässä puhelimessa on hyödyllinen ominaisuus.
feed	ruokkia; syöte	Ruoki kissa nyt.
female	naispuolinen; nainen	Naisurheilija voitti.
fiction	kaunokirjallisuus	Hän lukee kaunokirjallisuutta illalla.
field	pelto; kenttä	Pelto on vihreä.
fight	riidellä; taistella	He riitelevät liikaa.
figure	kuvio; luku	Katso kuviota.
finally	vihdoin; lopulta	Saavuimme vihdoin kotiin.
finger	sormi	Sormeeni sattuu.
firstly	ensinnäkin	Ensinnäkin lue kysymys.
fishing	kalastus	Kalastus on suosittua täällä.
fit	sopia; hyvässä kunnossa	Nämä kengät sopivat hyvin.
fix	korjata	Korjaa rikkinäinen tuoli.
flu	flunssa	Minulla on flunssa.
flying	lentäminen; lentävä	Lentäminen on nopeaa.
focus	keskittyä; huomio	Keskity tähän tehtävään.
following	seuraava	Lue seuraava lause.
foreign	ulkomainen; vieras	Hän puhuu vierasta kieltä.
forest	metsä	Metsä on hiljainen.
fork	haarukka	Käytä haarukkaa.
formal	muodollinen	Tämä kirje on muodollinen.
fortunately	onneksi	Onneksi kukaan ei loukkaantunut.
forward	eteenpäin	Liiku hitaasti eteenpäin.
fresh	tuore	Leipä on tuoretta.
