simplified	DA	example_DA
宠物	et kæledyr	Hun har en hund som kæledyr.
抽屉	en skuffe	Nøglen ligger i skuffen.
抽象	abstrakt	Dette begreb er for abstrakt.
丑	grim	Dette foto er lidt grimt.
臭	stinkende	Affaldet lugter dårligt.
出版	udgive	Denne bog blev udgivet sidste år.
出口	en udgang; eksportere	Udgangen er længere fremme.
出色	fremragende	Hendes præstation er fremragende.
出示	vise	Fremvis venligst dit pas.
出席	deltage i; være til stede	Han deltager i mødet.
初级	begynder-; grundlæggende	Jeg lærer kinesisk på begynderholdet.
除非	medmindre	Medmindre det regner, tager vi ud at vandre i morgen.
除夕	nytårsaften	Nytårsaften spiser hele vores familie sammen.
处理	håndtere	Jeg håndterer dette problem.
传播	sprede	Nyheden spredte sig meget hurtigt.
传染	smitte	Forkølelse smitter let.
传说	en legende	Det er en gammel legende.
传统	en tradition; traditionel	Forårsfesten er en traditionel kinesisk højtid.
窗帘	et gardin	Træk gardinerne fra.
闯	brase igennem; køre over	Han kom ved et uheld til at køre over for rødt.
创造	skabe	Mennesker skabte nye redskaber.
吹	blæse	Det blæser kraftigt.
词汇	et ordforråd; et ord	Dette ord bruges ofte.
辞职	sige op	Han besluttede at sige op.
此外	desuden	Desuden har jeg et spørgsmål mere.
刺激	spændende; stimulere	Dette spil er meget spændende.
次要	sekundær	Dette problem er sekundært.
匆忙	forhastet; i hast	Han forlod hjemmet i hast.
从此	fra da af	Fra da af dyrkede han motion hver dag.
从而	derved	Han læste flittigt og bestod derved eksamen.
从前	tidligere; engang	Tidligere var der ingen metro her.
从事	arbejde med; beskæftige sig med	Hun arbejder med undervisning.
粗糙	ru; grov	Dette stykke papir er meget ru.
促进	fremme	Motion kan fremme sundheden.
促使	få til; anspore	Denne sag fik ham til at ændre planen.
醋	eddike	Der er kommet eddike i retten.
催	skynde på	Mor skyndte på mig, så jeg kom hurtigt ud ad døren.
存在	eksistere	Dette problem eksisterer stadig.
措施	en foranstaltning; et tiltag	Skolen traf sikkerhedsforanstaltninger.
答应	love; gå med til	Han lovede at hjælpe mig.
达到	nå	Hans resultater nåede standarden.
打工	have et deltidsjob; arbejde	Han arbejder på en restaurant i sommerferien.
打交道	have med at gøre	Jeg har ofte med kunder at gøre.
打喷嚏	nyse	Han er forkølet og bliver ved med at nyse.
打听	spørge om	Jeg vil gerne spørge om togbilletter.
大方	generøs	Hun er meget generøs med penge.
大厦	en høj bygning; en stor bygning	Den bygning er meget høj.
大象	en elefant	Børnene ser på elefanter i zoologisk have.
大型	stor; i stor skala	Der skal bygges et stort indkøbscenter her.
呆	blive; dum; udtryksløs	Han bliver hjemme og læser.
代表	repræsentere; en repræsentant	Denne blomst repræsenterer venskab.
代替	erstatte; i stedet for	I dag deltager jeg i mødet i hans sted.
待遇	løn og vilkår; behandling	Vilkårene i dette firma er gode.
贷款	et lån	De ansøgte om et boliglån.
单纯	enkel; ren	Hendes tanke er meget enkel.
单调	ensformig	Dette arbejde er lidt ensformigt.
单独	alene	Jeg vil tale med dig alene.
单位	en enhed; en arbejdsplads	Han arbejder i en offentlig institution.
单元	en enhed; et kapitel	I dag læser vi kapitel tre.
担任	have posten som; fungere som	Hun fungerer som ansvarlig for dette arrangement.
耽误	forsinke; spilde tid	Spild ikke alles tid.
胆小鬼	en kujon	Kald ham ikke en kujon.
淡	svag; mild; smagløs	Denne skål suppe smager lidt svagt.
当地	lokal	De lokale kan alle lide dette marked.
当心	passe på	Vejen er glat, så pas lidt på.
挡	blokere	Denne bil blokerer indgangen.
倒霉	uheldig	I dag var jeg virkelig uheldig; jeg mistede min telefon.
导演	en instruktør; instruere	Denne instruktør er meget kendt.
导致	føre til	Den kraftige regn førte til trafikpropper.
岛屿	en ø	Dette land har mange øer.
到达	ankomme	Toget ankom til Shanghai til tiden.
道德	moral	Man bør have moral.
道理	en grund; mening	Det, han sagde, giver god mening.
登记	registrere sig; tjekke ind	Registrer dig først i receptionen.
等待	vente på	Vi venter på resultatet.
等于	være lig med	Fem plus fem er lig med ti.
滴	en dråbe; dryppe	En dråbe vand faldt på bordet.
敌人	en fjende	De er ikke fjender.
的确	faktisk; virkelig	Denne sag er faktisk meget vigtig.
地道	ægte; autentisk	Han taler autentisk Beijing-dialekt.
地理	geografi	Jeg er meget interesseret i Kinas geografi.
地区	en region; et område	Dette område er meget koldt om vinteren.
地毯	et tæppe	Der ligger et tæppe i stuen.
地位	en position; status	Uddannelse har en vigtig position i samfundet.
地震	et jordskælv	Der var jordskælv her i går aftes.
递	række; give videre	Ræk venligst dette brev til læreren.
点心	en snack; dim sum	Om eftermiddagen spiste vi snacks.
电池	et batteri	Dette legetøj kræver to batterier.
电台	en radiostation	Han laver programmer på en radiostation.
钓	fiske	Bedstefar kan lide at fiske ved floden.
顶	top; et styk	Han har en sort hat på.
冻	fryse	Det er så koldt udenfor, at vandet er frosset.
动画片	en tegnefilm	Børnene ser tegnefilm.
洞	et hul	Der er et lille hul i væggen.
豆腐	tofu	Denne tofuret smager godt.
逗	drille; få til at le	Hans ord fik alle til at le.
独立	uafhængig; leve selvstændigt	Hun vil leve selvstændigt.
独特	unik	Denne by har en unik kultur.
度过	tilbringe	Vi tilbragte ferien ved havet.
断	knække; gå over	Dette reb er knækket.
堆	stable; en bunke	Der ligger mange dokumenter i en bunke på bordet.
兑换	veksle	Jeg vil gerne veksle nogle renminbi.
对比	sammenligne; en kontrast	Sammenlign venligst disse to planer.
对待	behandle	Vi bør behandle alle retfærdigt.
对方	den anden part	Lyt først til den anden parts mening.
对手	en modstander	Hans modstander er meget stærk.
对象	en genstand; en målgruppe; en partner	Undersøgelsens målgruppe er universitetsstuderende.
吨	et ton	Denne lastbil kan laste tre ton varer.
蹲	sidde på hug	Han sidder på hug på jorden og leder efter nøglerne.
顿	et måltid; gang	Vi spiste aftensmad sammen.
多亏	takket være	Takket være din hjælp blev jeg færdig med opgaven.
多余	overflødig	Denne sætning er overflødig.
朵	måleord for blomster	Der står en blomst på bordet.
躲藏	gemme sig	Killingen gemmer sig under sengen.
恶劣	dårlig; barsk	Vejret er meget dårligt i dag.
耳环	en ørering	Hun har et par øreringe på.
发表	udtrykke; offentliggøre	Han udtrykte sin mening på mødet.
发愁	bekymre sig	Bekymr dig ikke om denne lille sag.
发达	veludviklet	Trafikken i denne by er veludviklet.
发抖	ryste; skælve	Han ryster hele tiden af kulde.
发挥	bruge; udfolde	Brug venligst jeres fantasi.
发明	en opfindelse; opfinde	Den elektriske lampe er en vigtig opfindelse.
发票	en faktura	Udsted venligst en faktura til mig.
发言	tale; tage ordet	Han tog ordet på mødet.
罚款	en bøde; give en bøde	Ulovlig parkering giver bøde.
法院	en domstol	Sagen blev overdraget til domstolen.
翻	bladre; vende	Slå venligst op på side ti i bogen.
繁荣	blomstrende; velstående	Økonomien bliver langsomt mere blomstrende.
反而	i stedet; tværtimod	Han blev ikke vred, men lo i stedet.
反复	gentagne gange	Denne sætning skal øves igen og igen.
反应	en reaktion; reagere	Hans reaktion er hurtig.
反映	afspejle	Denne rapport afspejler den virkelige situation.
反正	under alle omstændigheder	Jeg har under alle omstændigheder tid i morgen.
范围	et omfang; en ramme	Gå venligst ikke ud over denne ramme.
方	firkantet; et kvadrat	Tegn venligst et kvadrat på papiret.
方案	en plan; et forslag	Denne plan er forholdsvis fornuftig.
方式	en måde; en metode	Denne studiemetode er meget effektiv.
妨碍	hindre; forstyrre	Forstyr venligst ikke andre i deres arbejde.
仿佛	som om; virke som	Han virker, som om han ved alt.
非	ikke-; måtte være	Denne sag kan ikke klares uden dig.
肥皂	en sæbe	Brug sæbe, når du vasker hænder.
废话	vrøvl; tom snak	Drop vrøvlet, og kom hurtigt i gang.
分别	skilles; hver for sig	De skiltes på stationen.
分布	være fordelt	Disse butikker er fordelt over hele byen.
分配	fordele; tildele	Læreren uddelte en ny opgave.
分手	slå op; gå fra hinanden	De slog op sidste år.
分析	analysere	Vi skal analysere årsagerne.
纷纷	den ene efter den anden	Alle udtrykte enighed en efter en.
奋斗	kæmpe; stræbe	Unge mennesker bør kæmpe for deres drømme.
疯狂	vild; skør	Fansene jublede vildt.
风格	en stil	Denne restaurants stil er meget særlig.
风景	et landskab; en udsigt	Udsigten fra bjerget er smuk.
风俗	en skik	Hvert sted har sine egne skikke.
风险	en risiko	Investering indebærer en vis risiko.
讽刺	satirisere; ironi	Denne artikel satiriserede over samfundsproblemer.
否定	afvise; benægte	Han afviste denne påstand.
否认	benægte	Han benægtede, at han havde begået en fejl.
幅	måleord for billeder	Der hænger et billede på væggen.
扶	støtte; hjælpe	Hjælp venligst de ældre over vejen.
服装	tøj; beklædning	Denne butik sælger børnetøj.
辅导	vejlede; give lektiehjælp	Læreren giver eleverne lektiehjælp efter timen.
复制	kopiere	Kopiér venligst dette dokument.
妇女	kvinder	Dette hospital yder service til kvinder.
改革	en reform; reformere	Skolen gennemfører en undervisningsreform.
改进	forbedre	Vi skal forbedre servicekvaliteten.
改善	forbedre	Motion kan forbedre søvnen.
改正	rette	Ret venligst fejlene i tide.
概括	opsummere	Opsummér venligst artiklens indhold.
概念	et begreb	Dette begreb er ikke særlig let at forstå.
盖	dække; et låg	Læg venligst låg på koppen.
干脆	ligefrem; simpelthen	Så lad simpelthen være med at tage af sted i dag.
干燥	tør	Vinteren i nord er meget tør.
感激	taknemmelig	Jeg er meget taknemmelig for din hjælp.
感受	en følelse	Jeg kan forstå dine følelser.
感想	tanker; indtryk	Fortæl venligst om dine tanker.
赶紧	skynde sig	Det er ved at blive sent, så skynd dig af sted.
赶快	hurtigt; straks	Luk hurtigt døren.
干活儿	arbejde; lave fysisk arbejde	Han arbejder i gården.
钢铁	stål	Denne bro er lavet af stål.
高档	eksklusiv; fin	Dette er et eksklusivt hotel.
高级	avanceret; højt niveau	Hun deltog på et avanceret kinesiskhold.
搞	lave; arrangere	Hvilken slags aktivitet arrangerer du?
告别	sige farvel	Vi sagde farvel til vores ven i lufthavnen.
格外	særligt	Himlen er særligt blå i dag.
隔壁	nabo; ved siden af	Der bor en lærer ved siden af.
个别	enkelte	Enkelte elever har endnu ikke afleveret lektier.
个人	personlig; individ	Dette er min personlige mening.
个性	personlighed	Hun har meget personlighed.
各自	hver især	Alle udfører hver især deres egen opgave.
根	en rod; måleord for lange ting	Der ligger en ledning under bordet.
根本	overhovedet; grundlæggende	Dette problem er overhovedet ikke svært.
公布	offentliggøre	Skolen offentliggjorde eksamensresultaterne.
公开	offentlig	Dette møde er offentligt.
公平	retfærdig	Konkurrencen bør være retfærdig.
公寓	en lejlighed	Hun lejede en lille lejlighed.
公元	e.Kr.	I år er det 2026 e.Kr.
公主	en prinsesse	Den lille pige kan lide prinsessehistorier.
功能	en funktion	Dette program har mange funktioner.
工厂	en fabrik	Denne fabrik producerer biler.
工程师	en ingeniør	Min storebror er ingeniør.
工具	et værktøj	Man har brug for værktøj for at reparere en cykel.
工人	en arbejder	Arbejderne reparerer vejen.
工业	industri	Denne by er hovedsageligt baseret på industri.
恭喜	tillykke	Tillykke med at du bestod eksamen.
贡献	et bidrag; bidrage	Han bidrog til virksomheden.
沟通	kommunikation; kommunikere	God kommunikation er meget vigtig.
构成	udgøre; danne	Disse dele udgør en helhed.
姑姑	en faster	Jeg besøger min faster i weekenden.
姑娘	en ung kvinde	Den unge kvinde er meget hjælpsom.
古代	oldtiden	Der fandtes ingen mobiltelefoner i oldtiden.
古典	klassisk	Jeg kan lide klassisk musik.
股票	en aktie	Han købte nogle aktier.
骨头	en knogle	Denne knogle er meget hård.
鼓舞	opmuntre; inspirere	Denne nyhed er meget opmuntrende.
鼓掌	klappe	Publikum klappede for skuespillerne.
固定	fast	Jeg har faste arbejdstider.
挂号	registrere sig hos lægen	Man skal registrere sig, før man ser lægen.
乖	velopdragen	Dette barn er meget velopdraget.
拐弯	dreje	Drej til højre ved krydset længere fremme.
怪不得	ikke så mærkeligt	Ikke så mærkeligt, at du er så træt.
关闭	lukke; slukke	Sluk venligst computeren, før du går.
官	en embedsmand	Han er en ung embedsmand.
观察	observere	Lægen observerer patientens tilstand.
观点	et synspunkt	Jeg er enig i dit synspunkt.
观念	en opfattelse	Unge menneskers opfattelser ændrer sig.
管子	et rør	Dette rør lækker vand.
冠军	en mester	Hun vandt mesterskabet i konkurrencen.
光滑	glat	Bordets overflade er meget glat.
光临	besøge; komme forbi	Velkommen igen næste gang.
光明	lys; lovende	Fremtiden er lys.
光盘	en cd; en disk	Gem venligst materialet på disken.
广场	en plads	Der er mange mennesker på pladsen.
广大	omfattende; bred	Nyheden blev godt modtaget af mange studerende.
广泛	udbredt; omfattende	Denne bog har stor indflydelse.
归纳	opsummere	Læreren hjalp os med at opsummere hovedpunkterne.
规矩	en regel; god opførsel	Børn bør forstå reglerne.
规律	en regelmæssighed; en rytme	Livet bør have en regelmæssig rytme.
规模	en skala; et omfang	Denne virksomhed er stor.
规则	en regel	Konkurrencereglerne er meget klare.
柜台	en disk	Betal venligst ved disken.
滚	koge; rulle	Vandet koger allerede.
锅	en gryde	Der er varm suppe i gryden.
国庆节	nationaldag	Vi har fri på nationaldagen.
国王	en konge	Kongen bor i paladset.
果然	som ventet	Han kom til tiden, som ventet.
果实	en frugt; et resultat	Træet er fyldt med frugt.
过分	overdreven	Hans krav er lidt overdrevne.
过敏	være allergisk	Jeg er allergisk over for pollen.
过期	udløbe	Denne flaske mælk er allerede udløbet.
哈	ha; haha	Ha, nu forstår jeg endelig.
海关	told	Vi stod i kø til kontrol i tolden.
海鲜	fisk og skaldyr	Fisk og skaldyr på denne restaurant er meget friske.
喊	råbe	Råb ikke højt i klasseværelset.
行业	en branche	Turismebranchen udvikler sig hurtigt.
豪华	luksuriøs	De bor på et luksuriøst hotel.
好客	gæstfri	De lokale er meget gæstfri.
好奇	nysgerrig	Børn er meget nysgerrige på verden.
何必	hvorfor dog; der er ingen grund til	Hvorfor blive vred over en lille sag?
何况	for slet ikke at tale om	I dag er det koldt, og så regner det ovenikøbet.
合法	lovlig	Denne kontrakt er lovlig.
合理	rimelig	Denne pris er rimelig.
合同	en kontrakt	De underskrev en kontrakt.
合影	et gruppefoto	Vi tog et gruppefoto ved dimissionen.
合作	samarbejde	Vi færdiggjorde projektet gennem samarbejde.
和平	fred	Alle håber på fred.
核心	en kerne	Tillid er kernen i samarbejde.
恨	hade; fortryde	Han fortryder, at han ikke arbejdede hårdere tidligere.
猴子	en abe	Der er flere aber i zoologisk have.
后背	ryggen	Han har lidt ondt i ryggen.
后果	en konsekvens	Du skal tænke på konsekvenserne.
呼吸	trække vejret	Tag venligst en dyb indånding.
忽然	pludselig	Himlen blev pludselig mørk.
忽视	ignorere	Ignorer ikke dette problem.
壶	en kande; en potte	Der står en kande te på bordet.
糊涂	forvirret	Jeg er lidt forvirret i dag.
胡说	tale vrøvl	Lad være med at tale vrøvl; det er ikke sandt.
胡同	en hutong; en gyde	Der er mange gamle hutonger i Beijing.
蝴蝶	en sommerfugl	Der er en sommerfugl i haven.
花生	en jordnød	Han kan lide at spise jordnødder.
华裔	person af kinesisk afstamning	Hun er en forfatter af kinesisk afstamning.
滑	glat	Gulvet er glat, så pas lidt på.
划	ro	Han har ansvaret for at ro båden.
化学	kemi	Hun læste kemi på universitetet.
话题	et emne	Dette emne er meget interessant.
怀念	savne	Jeg savner universitetslivet meget.
怀孕	være gravid	Hun er gravid i tredje måned.
缓解	lindre	Hvile kan lindre stress.
幻想	fantasi; fantasere	Han fantaserer ofte om at rejse ud i rummet.
慌张	gå i panik	Gå ikke i panik, når du støder på et problem.
黄金	guld	Prisen på guld er steget igen.
恢复	komme sig; genoprette	Hans krop er ved at komme sig.
挥	vinke	Hun vinkede med hånden.
灰	grå	Himlen er grå.
灰尘	støv	Der er meget støv på bordet.
灰心	miste modet	Mist ikke modet, selv hvis du fejler.
汇率	en valutakurs	Hvad er valutakursen i dag?
婚礼	et bryllup	Deres bryllup var meget enkelt.
婚姻	et ægteskab	Et ægteskab kræver gensidig forståelse.
活跃	aktiv	Han er meget aktiv i timerne.
伙伴	en partner; en kammerat	Han er min bedste kammerat.
火柴	en tændstik	Der er kun én tændstik tilbage i æsken.
或许	måske	Måske regner det i morgen.
基本	grundlæggende	Dette er grundlæggende krav.
机器	en maskine	Denne maskine er gået i stykker.
激烈	intens	Konkurrencen var meget intens.
肌肉	en muskel	Mine muskler er lidt ømme efter træning.
及格	bestå	Han bestod denne eksamen.
急忙	i hast	Han løb hurtigt ud af klasseværelset.
急诊	en akutmodtagelse	Patienten blev sendt til akutmodtagelsen.
极其	ekstremt	Dette spørgsmål er ekstremt vigtigt.
集合	samles	Saml jer ved indgangen klokken otte.
集体	en gruppe; kollektiv	Dette er en gruppeaktivitet.
集中	koncentrere sig	Man bør koncentrere sig i timen.
寂寞	ensom	Det kan nogle gange være ensomt at bo alene.
系领带	binde slips	Han binder slips hver dag, før han går på arbejde.
纪录	en rekord	Han slog skolens rekord.
纪律	disciplin	Disciplin i klasseværelset er vigtig.
纪念	mindes; fejre	Vi tog billeder for at mindes denne dag.
计算	beregne	Beregn venligst de samlede omkostninger.
记录	registrere; tage referat	Notér venligst mødets indhold.
记忆	et minde; hukommelse	Dette minde er meget værdifuldt.
嘉宾	en gæst	Dagens gæst er en forfatter.
夹子	en klemme	Hold venligst dokumenterne fast med en klemme.
家庭	en familie	Familien er meget vigtig for børn.
家务	husarbejde	Jeg skal lave husarbejde i weekenden.
家乡	en hjemby	Jeg savner min hjemby meget.
假如	hvis	Hvis det regner i morgen, tager vi ikke af sted.
假设	antage; en hypotese	Antag, at du var læreren; hvad ville du gøre?
假装	lade som om	Han lod som om, han ikke havde hørt det.
甲	part A; den første	Part A skal betale til tiden.
价值	værdi	Denne bog har stor værdi.
嫁	gifte sig	Hun skal giftes med sin kæreste næste år.
驾驶	køre; styre	Kør forsigtigt, når du kører bil.
兼职	et deltidsjob; arbejde deltid	Han arbejder deltid om aftenen.
坚决	fast; bestemt	Han er bestemt imod denne beslutning.
坚强	stærk	Hun er et stærkt menneske.
肩膀	en skulder	Hans skulder er skadet.
艰巨	vanskelig; krævende	Dette er en krævende opgave.
艰苦	hård; vanskelig	De oplevede et hårdt liv.
剪刀	en saks	Ræk mig venligst saksen.
捡	samle op	Han samlede tegnebogen op fra jorden.
简历	et CV	Man skal forberede et CV, før man søger job.
简直	simpelthen	Denne nyhed er simpelthen chokerende.
健身	træne	Han træner tre gange om ugen.
建立	etablere	Vi etablerede et nyt forhold.
建设	byggeri; opbygning	Byudviklingen går hurtigt.
建筑	en bygning	Denne bygning har et særpræg.
键盘	et tastatur	Mit tastatur trænger til at blive rengjort.
讲究	lægge vægt på	Kinesere lægger stor vægt på mad.
讲座	en forelæsning	Der er en forelæsning om kinesisk i aften.
酱油	sojasauce	Tilsæt lidt sojasauce til retten.
交换	udveksle	Vi udvekslede telefonnumre.
交际	kommunikation; socialt samvær	Når man lærer et sprog, skal man også øve kommunikation.
交往	omgås; være kærester	De har været kærester i to år.
浇	vande	Vand venligst blomsterne hver dag.
胶水	lim	Jeg brugte lim til at sætte billedet fast.
狡猾	snedig	Den ræv er meget snedig.
角度	en vinkel	Lad os se på problemet fra en anden vinkel.
教材	et læremateriale; en lærebog	Denne lærebog er meget praktisk.
教练	en træner	Træneren kræver, at vi kommer til tiden.
教训	en lærestreg	Dette nederlag var en lærestreg.
接触	kontakt; komme i kontakt med	Det var min første kontakt med kinesisk kultur.
接待	modtage	Virksomheden arrangerede en særlig person til at modtage gæsterne.
接近	nærme sig	Forårsfesten nærmer sig mere og mere.
结实	solid	Denne kuffert er meget solid.
阶段	en fase	Studiet er opdelt i tre faser.
结构	en struktur	Denne artikel har en klar struktur.
结合	kombinere	Studier bør kombineres med praksis.
结论	en konklusion	Hans konklusion er meget overbevisende.
结账	betale regningen	Efter maden gik vi hen for at betale regningen.
节省	spare	At tage metroen kan spare tid.
借口	en undskyldning	Lad være med at finde på flere undskyldninger.
届	måleord for udgaver	Dette er den tredje udgave af konkurrencen.
戒	holde op med; advare	Lægen rådede ham til at holde op med at ryge.
戒指	en ring	Hun har en ring på.
金属	metal	Jern er en slags metal.
尽快	så hurtigt som muligt	Svar venligst på e-mailen så hurtigt som muligt.
紧急	akut; presserende	Dette er en akut situation.
谨慎	forsigtig	Vær forsigtig, før du investerer.
尽力	gøre sit bedste	Jeg vil gøre mit bedste for at hjælpe dig.
尽量	prøve så vidt muligt	Prøv venligst at komme så tidligt som muligt.
近代	moderne tid	Der skete mange forandringer i det moderne Kina.
进步	fremgang	Hans kinesisk gør hurtigt fremskridt.
进口	importeret	Denne bil er importeret.
精力	energi	Børnene har meget energi.
精神	humør; ånd	Han er i godt humør i dag.
经典	klassisk; en klassiker	Dette er en klassisk film.
经商	drive forretning	Hans far driver forretning i udlandet.
