simplified	IT	example_IT
成分	l'ingrediente; la componente	Gli ingredienti di questa medicina sono semplici.
成果	il risultato; il frutto	Questo progetto ha ottenuto risultati.
成就	il successo; il risultato	Ha ottenuto molti successi nella sua carriera.
成立	fondare; istituire	L'azienda è stata fondata l'anno scorso.
成人	l'adulto	Il biglietto per adulti costa più di quello per bambini.
成熟	maturo	Le mele sono già mature.
成语	il chengyu; l'espressione idiomatica	Questo chengyu è molto comune.
成长	crescere	Il bambino sta crescendo lentamente.
承担	assumersi; sostenere	Lui è disposto ad assumersi la responsabilità.
承认	ammettere	Ha ammesso di avere torto.
承受	sopportare	Non riesco a sopportare una pressione così grande.
程度	il livello; il grado	Il suo livello di cinese è molto alto.
程序	la procedura; il procedimento	Per favore, gestiscilo secondo la procedura.
诚恳	sincero; onesto	Il suo atteggiamento è molto sincero.
吃亏	rimetterci; subire una perdita	Guarda bene prima di comprare, così non ci rimetti.
持续	continuare; durare	La pioggia è durata tre giorni.
池塘	lo stagno	Nello stagno ci sono molti pesci.
迟早	prima o poi	Prima o poi capirai.
尺子	il righello	Per favore, misuralo con il righello.
翅膀	l'ala	L'ala dell'uccello è ferita.
充电器	il caricabatterie	Il mio caricabatterie è rotto.
充分	sufficiente; pieno	Abbiamo fatto preparativi sufficienti.
充满	essere pieno di	La stanza era piena di risate.
冲	sciacquare; versare acqua	Per favore, sciacqua la tazza con acqua.
重复	ripetere	Per favore, non ripetere lo stesso errore.
宠物	l'animale domestico	Lei ha un cane come animale domestico.
抽屉	il cassetto	La chiave è nel cassetto.
抽象	astratto	Questo concetto è troppo astratto.
丑	brutto; sgradevole	Questa foto è un po' brutta.
臭	puzzolente; puzzare	La spazzatura puzza.
出版	pubblicare; uscire	Questo libro è stato pubblicato l'anno scorso.
出口	l'uscita	L'uscita è davanti.
出色	eccellente; notevole	La sua prestazione è eccellente.
出示	mostrare; esibire	Per favore, mostri il passaporto.
出席	partecipare; essere presente	Lui parteciperà alla riunione.
初级	elementare; per principianti	Studio cinese nel corso per principianti.
除非	a meno che; salvo che	A meno che piova, domani andremo a fare un'escursione.
除夕	la vigilia del Capodanno cinese	Alla vigilia del Capodanno cinese tutta la famiglia mangia insieme.
处理	gestire; occuparsi di	Mi occuperò di questo problema.
传播	diffondere	Questa notizia si è diffusa molto rapidamente.
传染	contagiare; essere contagioso	Il raffreddore si trasmette facilmente.
传说	la leggenda	Questa è un'antica leggenda.
传统	la tradizione; tradizionale	La Festa di Primavera è una festa tradizionale cinese.
窗帘	la tenda	Per favore, apri le tende.
闯	passare con il rosso; irrompere	Ha passato il semaforo rosso per sbaglio.
创造	creare	Le persone hanno creato nuovi strumenti.
吹	soffiare	Il vento soffia forte.
词汇	il vocabolo; il lessico	Questo vocabolo è molto comune.
辞职	dimettersi	Ha deciso di dimettersi.
此外	inoltre	Inoltre, ho ancora una domanda.
刺激	stimolante; emozionante	Questo gioco è molto emozionante.
次要	secondario	Questo problema è secondario.
匆忙	in fretta; frettoloso	È uscito di casa in fretta.
从此	da allora	Da allora fa esercizio ogni giorno.
从而	così; di conseguenza	Ha studiato con impegno e così ha superato l'esame.
从前	in passato; una volta	In passato qui non c'era la metropolitana.
从事	occuparsi di; lavorare in	Lei lavora nel campo dell'istruzione.
粗糙	ruvido; grezzo	Questo foglio di carta è molto ruvido.
促进	promuovere; favorire	L'esercizio fisico favorisce la salute.
促使	spingere; indurre	Questa cosa lo ha spinto a cambiare piano.
醋	l'aceto	Nel piatto è stato messo dell'aceto.
催	sollecitare; incitare	La mamma mi ha sollecitato a uscire più in fretta.
存在	esistere	Questo problema esiste ancora.
措施	la misura	La scuola ha adottato misure di sicurezza.
答应	accettare; promettere	Ha accettato di aiutarmi.
达到	raggiungere	I suoi risultati hanno raggiunto lo standard.
打工	lavorare part-time	Lavora part-time in un ristorante durante le vacanze estive.
打交道	avere a che fare con	Ho spesso a che fare con i clienti.
打喷嚏	starnutire	Ha il raffreddore e continua a starnutire.
打听	informarsi su	Vorrei informarmi sui biglietti del treno.
大方	generoso	Lei spende i soldi con molta generosità.
大厦	il grattacielo; il grande edificio	Quel grande edificio è molto alto.
大象	l'elefante	I bambini guardano gli elefanti allo zoo.
大型	grande; su larga scala	Qui verrà costruito un grande centro commerciale.
呆	restare; rimanere	Lui resta a casa a leggere.
代表	il rappresentante; rappresentare	Questo fiore rappresenta l'amicizia.
代替	sostituire; al posto di	Oggi parteciperò alla riunione al suo posto.
待遇	il trattamento; i benefit	I benefit di questa azienda sono buoni.
贷款	il prestito; il mutuo	Hanno richiesto un mutuo per la casa.
单纯	semplice; ingenuo	La sua idea è molto semplice.
单调	monotono	Questo lavoro è un po' monotono.
单独	da solo; separatamente	Voglio parlare con te da solo.
单位	l'unità; l'ente	Lui lavora in un ente pubblico.
单元	l'unità; la lezione	Oggi studiamo la terza unità.
担任	assumere; ricoprire	Lei è responsabile di questa attività.
耽误	ritardare; far perdere tempo	Non far perdere tempo a tutti.
胆小鬼	il codardo	Non chiamarlo codardo.
淡	insipido; leggero	Questa zuppa è un po' insipida.
当地	locale; del posto	Alla gente del posto piace questo mercato.
当心	fare attenzione	La strada è scivolosa, fai attenzione.
挡	bloccare; ostacolare	Questa macchina blocca l'ingresso.
倒霉	avere sfortuna	Oggi ho proprio sfortuna: ho perso il telefono.
导演	il regista	Questo regista è molto famoso.
导致	causare; portare a	La forte pioggia ha causato un ingorgo.
岛屿	l'isola	Questo paese ha molte isole.
到达	arrivare; raggiungere	Il treno è arrivato a Shanghai in orario.
道德	la morale; l'etica	Una persona dovrebbe avere principi morali.
道理	la ragione; il senso	Quello che ha detto ha molto senso.
登记	registrarsi; fare il check-in	Per favore, registrati prima alla reception.
等待	aspettare	Stiamo aspettando il risultato.
等于	essere uguale a	Cinque più cinque fa dieci.
滴	la goccia	Una goccia d'acqua è caduta sul tavolo.
敌人	il nemico	Non sono nemici.
的确	davvero; effettivamente	Questa cosa è davvero molto importante.
地道	autentico	Lui parla un autentico dialetto di Pechino.
地理	la geografia	Sono molto interessato alla geografia della Cina.
地区	la regione; la zona	In questa regione l'inverno è molto freddo.
地毯	il tappeto	In soggiorno c'è un tappeto.
地位	la posizione; lo status	L'istruzione ha una posizione importante nella società.
地震	il terremoto	Ieri sera qui c'è stato un terremoto.
递	passare; porgere	Per favore, passa questa lettera all'insegnante.
点心	lo spuntino	Nel pomeriggio abbiamo mangiato uno spuntino.
电池	la batteria	Questo giocattolo ha bisogno di due batterie.
电台	la stazione radiofonica	Lui conduce un programma alla radio.
钓	pescare	Il nonno ama andare a pescare vicino al fiume.
顶	classificatore per cappelli; la cima	Indossa un cappello nero.
冻	congelare; gelare	Fuori fa così freddo che l'acqua si è congelata.
动画片	il cartone animato	I bambini stanno guardando i cartoni animati.
洞	il buco; la grotta	C'è un piccolo buco nel muro.
豆腐	il tofu	Questo piatto di tofu è molto buono.
逗	far ridere; prendere in giro	Le sue parole hanno fatto ridere tutti.
独立	indipendente; l'indipendenza	Lei vuole vivere in modo indipendente.
独特	unico; particolare	Questa città ha una cultura unica.
度过	passare; trascorrere	Abbiamo passato le vacanze al mare.
断	rompersi; spezzarsi	Questa corda si è spezzata.
堆	ammucchiare; il mucchio	Sul tavolo sono ammucchiati molti documenti.
兑换	cambiare; convertire	Vorrei cambiare un po' di renminbi.
对比	confrontare; il confronto	Per favore, confronta questi due piani.
对待	trattare	Dovremmo trattare tutti in modo equo.
对方	l'altra parte; l'interlocutore	Per favore, ascolta prima l'opinione dell'altra parte.
对手	l'avversario	Il suo avversario è molto forte.
对象	l'oggetto; il destinatario; il partner	I soggetti della ricerca sono studenti universitari.
吨	la tonnellata	Questo camion può trasportare tre tonnellate di merci.
蹲	accovacciarsi; stare accovacciato	È accovacciato a terra a cercare le chiavi.
顿	classificatore per pasti; la pausa	Abbiamo cenato insieme.
多亏	grazie a; per fortuna	Grazie al tuo aiuto, ho completato il compito.
多余	superfluo; inutile	Questa frase è superflua.
朵	classificatore per fiori	Un fiore è sul tavolo.
躲藏	nascondersi; mettersi al riparo	Il gattino si nasconde sotto il letto.
恶劣	pessimo; molto cattivo	Oggi il tempo è pessimo.
耳环	l'orecchino	Lei indossa un paio di orecchini.
发表	pubblicare; esprimere	Ha espresso la sua opinione alla riunione.
发愁	preoccuparsi; essere in ansia	Non preoccuparti per questa piccola cosa.
发达	sviluppato; prospero	I trasporti di questa città sono ben sviluppati.
发抖	tremare; rabbrividire	Trema continuamente per il freddo.
发挥	usare; mettere in gioco	Per favore, usate la vostra immaginazione.
发明	inventare; l'invenzione	La lampadina è un'invenzione importante.
发票	la fattura; la ricevuta	Per favore, mi faccia una fattura.
发言	intervenire; prendere la parola	Ha preso la parola durante la riunione.
罚款	la multa; multare	Per il parcheggio irregolare si prende una multa.
法院	il tribunale; la corte	Questo caso è stato affidato al tribunale.
翻	girare; voltare	Per favore, gira il libro alla pagina dieci.
繁荣	prospero; in crescita	L'economia sta gradualmente prosperando.
反而	invece; al contrario	Non si è arrabbiato, anzi ha sorriso.
反复	ripetutamente; più volte	Questa frase va esercitata più volte.
反应	reagire; la reazione	La sua reazione è molto rapida.
反映	riflettere; rappresentare	Questo rapporto riflette la situazione reale.
反正	comunque; in ogni caso	Comunque domani ho tempo.
范围	l'ambito; il campo; il limite	Per favore, non superare questo limite.
方	quadrato; la direzione	Per favore, disegna un quadrato sul foglio.
方案	il piano; la proposta	Questo piano è abbastanza ragionevole.
方式	il modo; il metodo	Questo metodo di studio è molto efficace.
妨碍	ostacolare; disturbare	Per favore, non disturbare il lavoro degli altri.
仿佛	sembrare; come se	Sembra sapere tutto.
非	non; indispensabile	Questa cosa non si può fare senza di te.
肥皂	il sapone	Bisogna usare il sapone quando ci si lava le mani.
废话	le sciocchezze; parole inutili	Basta sciocchezze, cominciamo subito.
分别	separarsi; distinguere	Si sono separati alla stazione.
分布	distribuirsi; la distribuzione	Questi negozi sono distribuiti in tutta la città.
分配	assegnare; distribuire	L'insegnante ha assegnato un nuovo compito.
分手	lasciarsi; separarsi	Si sono lasciati l'anno scorso.
分析	analizzare; l'analisi	Dobbiamo analizzare le cause.
纷纷	uno dopo l'altro	Tutti hanno espresso il proprio accordo uno dopo l'altro.
奋斗	impegnarsi; lottare	I giovani dovrebbero impegnarsi per i propri sogni.
疯狂	pazzo; folle; freneticamente	I tifosi hanno esultato freneticamente.
风格	lo stile	Lo stile di questo ristorante è molto particolare.
风景	il paesaggio	Il paesaggio sulla montagna è bellissimo.
风俗	l'usanza; il costume	Ogni posto ha le proprie usanze.
风险	il rischio	Gli investimenti comportano un certo rischio.
讽刺	satireggiare; ironizzare	Questo articolo ha ironizzato sui problemi sociali.
否定	negare; la negazione	Ha negato questa affermazione.
否认	negare	Ha negato di aver commesso un errore.
幅	classificatore per quadri e stoffe; l'ampiezza	Alla parete è appeso un quadro.
扶	sostenere; aiutare	Per favore, aiuta gli anziani ad attraversare la strada.
服装	l'abbigliamento; il costume	Questo negozio vende abbigliamento per bambini.
辅导	fare ripetizioni; seguire nello studio	L'insegnante fa ripetizioni agli studenti dopo le lezioni.
复制	copiare; duplicare	Per favore, copia questo documento.
妇女	le donne; la donna	Questo ospedale offre servizi alle donne.
改革	la riforma; riformare	La scuola sta portando avanti una riforma didattica.
改进	migliorare	Dobbiamo migliorare la qualità del servizio.
改善	migliorare	L'esercizio fisico può migliorare il sonno.
改正	correggere	Per favore, correggi gli errori tempestivamente.
概括	riassumere; sintetizzare	Per favore, riassumi il contenuto dell'articolo.
概念	il concetto	Questo concetto non è molto facile da capire.
盖	coprire; il coperchio	Per favore, copri bene il bicchiere.
干脆	semplicemente; senza mezzi termini	A questo punto, oggi non andarci.
干燥	secco; asciutto	L'inverno al nord è molto secco.
感激	essere grato	Sono molto grato per il tuo aiuto.
感受	la sensazione; ciò che si prova	Posso capire quello che provi.
感想	le impressioni; le riflessioni	Per favore, parla delle tue impressioni.
赶紧	sbrigarsi; fare in fretta	Si è fatto tardi, sbrigati ad andare.
赶快	subito; in fretta	Chiudi subito la porta.
干活儿	lavorare; fare lavori manuali	Lui sta lavorando in cortile.
钢铁	l'acciaio	Questo ponte è fatto d'acciaio.
高档	di fascia alta; pregiato	Questo è un hotel di fascia alta.
高级	avanzato; di livello alto	Lei ha frequentato un corso avanzato di cinese.
搞	fare; organizzare	Che tipo di attività stai organizzando?
告别	salutare; dire addio	Abbiamo salutato un amico all'aeroporto.
格外	particolarmente; soprattutto	Oggi il cielo è particolarmente azzurro.
隔壁	accanto; la porta accanto	Accanto vive un insegnante.
个别	alcuni; individuale	Alcuni studenti non hanno ancora consegnato i compiti.
个人	personale; individuale	Questa è la mia opinione personale.
个性	la personalità	Lei ha molta personalità.
各自	ciascuno; rispettivo	Tutti completano ciascuno il proprio compito.
根	la radice; classificatore per oggetti lunghi e sottili	Sotto il tavolo c'è un filo.
根本	fondamentale; per niente	Questo problema non è affatto difficile.
公布	annunciare; rendere pubblico	La scuola ha annunciato i risultati dell'esame.
公开	pubblico; rendere pubblico	Questa riunione è pubblica.
公平	equo; giusto	La gara dovrebbe essere equa.
公寓	l'appartamento	Lei ha affittato un piccolo appartamento.
公元	d.C.; era cristiana	Quest'anno è il 2026 d.C.
公主	la principessa	Alla bambina piacciono le storie di principesse.
功能	la funzione; la funzionalità	Questo programma ha molte funzioni.
工厂	la fabbrica	Questa fabbrica produce automobili.
工程师	l'ingegnere	Mio fratello maggiore è ingegnere.
工具	lo strumento; l'attrezzo	Per riparare una bicicletta servono degli attrezzi.
工人	l'operaio; il lavoratore	Gli operai stanno riparando la strada.
工业	l'industria	Questa città si basa principalmente sull'industria.
恭喜	congratulazioni; congratularsi	Congratulazioni per aver superato l'esame.
贡献	il contributo; contribuire	Lui ha dato un contributo all'azienda.
沟通	comunicare; la comunicazione	Una buona comunicazione è molto importante.
构成	costituire; formare	Queste parti formano un insieme.
姑姑	la zia paterna	Nel fine settimana vado a trovare mia zia.
姑娘	la ragazza; la giovane donna	Quella ragazza è molto disponibile.
古代	l'antichità; i tempi antichi	Nell'antichità non c'erano telefoni cellulari.
古典	classico	Mi piace la musica classica.
股票	le azioni; il titolo azionario	Lui ha comprato alcune azioni.
骨头	l'osso	Questo osso è molto duro.
鼓舞	incoraggiare; incoraggiante	Questa notizia è molto incoraggiante.
鼓掌	applaudire	Il pubblico ha applaudito gli attori.
固定	fisso; stabile	Ho orari di lavoro fissi.
挂号	registrarsi; prenotare una visita	Prima della visita bisogna registrarsi.
乖	bravo; obbediente	Questo bambino è molto bravo.
拐弯	svoltare; girare	All'incrocio davanti svolta a destra.
怪不得	non c'è da stupirsi; ecco perché	Non c'è da stupirsi che tu sia così stanco.
关闭	chiudere; spegnere	Per favore, spegni il computer prima di andare via.
官	il funzionario	Lui è un giovane funzionario.
观察	osservare	Il medico sta osservando le condizioni del paziente.
观点	il punto di vista	Sono d'accordo con il tuo punto di vista.
观念	l'idea; il concetto	Le idee dei giovani stanno cambiando.
管子	il tubo	Questo tubo perde acqua.
冠军	il campione; il titolo	Lei ha vinto il titolo nella gara.
光滑	liscio; levigato	La superficie di questo tavolo è molto liscia.
光临	venire; fare visita	Saremo lieti di rivederla la prossima volta.
光明	luminoso; promettente	Il futuro è luminoso.
光盘	il disco; il CD	Per favore, salva i materiali sul disco.
广场	la piazza	In piazza ci sono molte persone.
广大	vasto; numeroso	Questa notizia è stata accolta bene da molti studenti.
广泛	ampio; esteso	Questo libro ha un'influenza ampia.
归纳	riassumere; sintetizzare	L'insegnante ci ha aiutati a riassumere i punti principali.
规矩	la regola; le buone maniere	I bambini devono capire le regole.
规律	la regolarità; la legge	La vita dovrebbe avere un ritmo regolare.
规模	la scala; le dimensioni	Questa azienda è di grandi dimensioni.
规则	la regola; il regolamento	Le regole della gara sono molto chiare.
柜台	il bancone; lo sportello	Per favore, paga al bancone.
滚	bollire; rotolare	L'acqua sta già bollendo.
锅	la pentola; la padella	Nella pentola c'è una zuppa calda.
国庆节	la Festa nazionale	Per la Festa nazionale abbiamo vacanza.
国王	il re	Il re vive nel palazzo.
果然	come previsto; infatti	È arrivato puntuale, come previsto.
果实	il frutto; il risultato	L'albero è pieno di frutti.
过分	eccessivo; esagerato	La sua richiesta è un po' eccessiva.
过敏	essere allergico; l'allergia	Sono allergico al polline.
过期	scadere; scaduto	Questa bottiglia di latte è già scaduta.
哈	ah; ha	Ah, finalmente ho capito.
海关	la dogana	Abbiamo fatto la fila alla dogana per il controllo.
海鲜	i frutti di mare; il pesce	I frutti di mare di questo ristorante sono molto freschi.
喊	gridare; chiamare	Non gridare forte in classe.
行业	il settore; l'industria	Il settore turistico si sta sviluppando rapidamente.
豪华	lussuoso	Alloggiano in un hotel lussuoso.
好客	ospitale	La gente del posto è molto ospitale.
好奇	curioso	I bambini sono molto curiosi del mondo.
何必	perché mai; non c'è bisogno	Perché arrabbiarsi per una piccola cosa?
何况	per di più; tanto più che	Oggi fa freddo, per di più piove.
合法	legale; legittimo	Questo contratto è legale.
合理	ragionevole; equo	Questo prezzo è ragionevole.
合同	il contratto	Hanno firmato un contratto.
合影	la foto di gruppo	Alla laurea abbiamo fatto una foto di gruppo.
合作	collaborare; la collaborazione	Abbiamo completato il progetto collaborando.
和平	la pace	Tutti sperano nella pace.
核心	il nucleo; il cuore	La fiducia è il cuore della collaborazione.
恨	odiare; rimpiangere	Lui rimpiange di non essersi impegnato prima.
猴子	la scimmia	Allo zoo ci sono alcune scimmie.
后背	la schiena	Gli fa un po' male la schiena.
后果	la conseguenza	Devi considerare le conseguenze.
呼吸	respirare	Per favore, fai un respiro profondo.
忽然	all'improvviso	Il cielo si è oscurato all'improvviso.
忽视	ignorare; trascurare	Non ignorare questo problema.
壶	la teiera; il bricco	Sul tavolo c'è una teiera di tè.
糊涂	confuso	Oggi sono un po' confuso.
胡说	dire sciocchezze	Non dire sciocchezze, non è vero.
胡同	il vicolo; l'hutong	A Pechino ci sono molti vecchi hutong.
蝴蝶	la farfalla	Nel giardino c'è una farfalla.
花生	le arachidi	Gli piace mangiare arachidi.
华裔	di origine cinese	Lei è una scrittrice di origine cinese.
滑	scivoloso; liscio	Il pavimento è scivoloso, fai attenzione.
划	remare; tracciare	Quando sono in barca, lui è responsabile del remare.
化学	la chimica	All'università ha studiato chimica.
话题	l'argomento; il tema	Questo argomento è molto interessante.
怀念	sentire la mancanza; ricordare con nostalgia	Mi manca molto la vita universitaria.
怀孕	essere incinta	Lei è incinta di tre mesi.
缓解	alleviare; attenuare	Il riposo può alleviare lo stress.
幻想	la fantasia; fantasticare	Lui fantastica spesso di viaggiare nello spazio.
慌张	andare nel panico; agitato	Non andare nel panico quando incontri un problema.
黄金	l'oro	Il prezzo dell'oro è salito di nuovo.
恢复	recuperare; ristabilire	Il suo corpo si sta riprendendo.
挥	agitare; fare un cenno	Lei ha fatto un cenno con la mano.
灰	grigio; la cenere	Il cielo è grigio.
灰尘	la polvere	Sul tavolo c'è molta polvere.
灰心	scoraggiarsi	Non scoraggiarti anche se fallisci.
汇率	il tasso di cambio	Qual è il tasso di cambio di oggi?
婚礼	il matrimonio; la cerimonia nuziale	Il loro matrimonio è stato molto semplice.
婚姻	il matrimonio	Il matrimonio richiede comprensione reciproca.
活跃	attivo; vivace	Lui è molto attivo in classe.
伙伴	il compagno; il partner	Lui è il mio miglior compagno.
火柴	il fiammifero	Nella scatola è rimasto solo un fiammifero.
或许	forse	Forse domani pioverà.
基本	fondamentale; di base	Questi sono requisiti fondamentali.
机器	la macchina	Questa macchina è guasta.
激烈	intenso; acceso	La gara è stata molto intensa.
肌肉	il muscolo	Dopo l'attività fisica ho i muscoli un po' indolenziti.
及格	superare un esame	Lui ha superato questo esame.
急忙	in fretta; di corsa	Lui è corso fuori dall'aula in fretta.
急诊	il pronto soccorso	Il paziente è stato portato al pronto soccorso.
极其	estremamente	Questa questione è estremamente importante.
集合	radunarsi; il raduno	Per favore, radunatevi all'ingresso alle otto.
集体	collettivo; di gruppo	Questa è un'attività di gruppo.
集中	concentrarsi; concentrare	Bisogna concentrarsi durante la lezione.
寂寞	solo; solitario	Vivere da soli a volte può far sentire soli.
系领带	mettersi la cravatta	Lui si mette la cravatta ogni giorno prima di andare al lavoro.
纪录	il primato; la registrazione	Lui ha battuto il primato della scuola.
纪律	la disciplina	La disciplina in classe è molto importante.
纪念	commemorare; ricordare	Abbiamo scattato foto per ricordare questa giornata.
计算	calcolare	Per favore, calcola il costo totale.
记录	registrare; prendere nota	Per favore, registra il contenuto della riunione.
记忆	il ricordo; la memoria	Questo ricordo è molto prezioso.
嘉宾	l'ospite d'onore	L'ospite di oggi è uno scrittore.
夹子	la molletta; la clip	Per favore, tieni i documenti con una clip.
家庭	la famiglia	La famiglia è molto importante per i bambini.
家务	le faccende domestiche	Nel fine settimana devo fare le faccende domestiche.
家乡	la città natale; il paese natale	Mi manca molto il mio paese natale.
假如	se; supponendo che	Se domani piove, non andremo.
假设	supporre; l'ipotesi	Supponiamo che tu sia l'insegnante: che cosa faresti?
假装	fingere	Lui ha finto di non sentire.
甲	la parte A; il primo elemento	La parte A deve pagare puntualmente.
价值	il valore	Questo libro ha molto valore.
嫁	sposarsi; andare in sposa	Lei sposerà il suo ragazzo l'anno prossimo.
驾驶	guidare; pilotare	Guida con prudenza quando sei al volante.
兼职	il lavoro part-time; lavorare part-time	Lui lavora part-time la sera.
坚决	deciso; risoluto	Lui è fermamente contrario a questa decisione.
坚强	forte; tenace	Lei è una persona forte.
肩膀	la spalla	La sua spalla è ferita.
艰巨	arduo; molto difficile	Questo è un compito arduo.
艰苦	duro; difficile	Hanno vissuto una vita dura.
剪刀	le forbici	Per favore, passami le forbici.
