source_headword	KO	example_KO
used1	사용되는	이 방은 회의용으로 사용됩니다.
used2	익숙한	나는 이른 아침에 익숙합니다.
valuable	귀중한	이 시계는 귀중합니다.
value	가치	그 집은 작년에 가치가 떨어졌습니다.
various	다양한	우리는 다양한 지역 요리를 시도해 보았습니다.
version	버전	이 버전이 더 잘 작동합니다.
victim	피해자	피해자가 경찰을 불렀습니다.
viewer	시청자	한 시청자가 질문을 했습니다.
violent	폭력적인	그 영화는 너무 폭력적이었습니다.
volunteer	자원봉사하다	나는 도서관에서 자원봉사를 합니다.
vote	투표하다	내일 투표하는 것을 잊지 마세요.
warn	경고하다	나는 그에게 경고하려고 했습니다.
warning	경고	화면에 경고가 나타났습니다.
waste	낭비하다	깨끗한 물을 낭비하지 마세요.
weapon	무기	그 칼은 무기가 되었습니다.
weigh	무게를 달다	밀가루의 무게를 조심스럽게 달아보세요.
western	서양의	그들은 서부 영화를 보았습니다.
whatever	무엇이든	당신이 좋아하는 것은 무엇이든 고르세요.
whenever	~할 때는 언제든지	도움이 필요할 때는 언제든지 전화하세요.
whether	~인지 아닌지	나는 그녀가 동의하는지 아닌지 모릅니다.
wing	날개	그 새는 날개 한쪽을 다쳤습니다.
within	~이내에	이틀 이내에 답장해 주세요.
wonder	궁금해하다	나는 무슨 일이 일어났는지 궁금합니다.
wool	양모	이 코트는 양모로 만들어졌습니다.
worldwide	전 세계적인	그 노래는 전 세계적으로 인기를 얻었습니다.
worth	가치 있는	이 책은 읽을 가치가 있습니다.
written	서면의	서면 지침을 보내 주세요.
yard	마당	아이들은 마당에서 놀았습니다.
youth	청소년	청소년 클럽은 지역 십대들을 지원합니다.
