source_headword	SR	example_SR
primary	glavni	Zdravlje je naša glavna briga.
prince	princ	Princ je posetio školu.
princess	princeza	Princeza je nosila plavu haljinu.
printing	štampanje	Štampanje izveštaja trajalo je nekoliko minuta.
prisoner	zatvorenik	Zatvorenik je pobegao noću.
private	privatan	Ovo je privatan razgovor.
producer	producent	Producentu se svideo film.
production	proizvodnja	Proizvodnja počinje sledeće nedelje.
profession	profesija	Predavanje je cenjena profesija.
profit	profit	Prodavnica je ostvarila profit.
promote	promovisati	Oni promovišu zdravu ishranu.
proper	prikladan	Nosi prikladne cipele za planinarenje.
properly	ispravno	Zatvori vrata ispravno.
property	nekretnina	Kupili su nekretninu blizu reke.
protest	protest	Protest se završio mirno.
proud	ponosan	Bila je ponosna na svog sina.
prove	dokazati	Možeš li da dokažeš svoj odgovor?
punish	kazniti	Nastavnik ga nije kaznio.
punishment	kazna	Kazna je delovala pravedno.
qualification	kvalifikacija	Potrebna ti je kvalifikacija za ovaj posao.
qualified	kvalifikovan	Ona je kvalifikovana medicinska sestra.
qualify	kvalifikovati se	Naš tim može da se kvalifikuje.
queue	red	Čekali smo u dugom redu.
quit	prestati	Odlučio je da prestane da puši.
quotation	citat	Esej počinje citatom.
quote	citirati	Mogu li da citiram tvoje reči?
race (people)	rasa	Obrazac pita za rasu.
racing	trke	Konjske trke su tamo popularne.
range	raspon	Prodavnica prodaje širok raspon.
rare	redak	Ova ptica je retka.
rarely	retko	Retko jedemo napolju.
reaction	reakcija	Njena reakcija me je iznenadila.
reality	stvarnost	Stvarnost je bila drugačija od njegovog sna.
receipt	račun	Sačuvaj račun.
recommendation	preporuka	Hvala ti na preporuci.
reference	referenca	Dodaj referencu na kraju.
reflect	odražavati	Ogledalo može da odražava svetlost.
regularly	redovno	Ona redovno vežba.
reject	odbiti	Mogli bi da odbiju ponudu.
relate	poistovetiti se	Mogu da se poistovetim s tom pričom.
related	povezan	Ta dva problema su povezana.
relation	odnos	Postoji odnos između njih.
relative	relativan	Brzina je relativna.
relaxed	opušten	Osećao se opušteno posle večere.
relaxing	opuštajući	Muzika je bila opuštajuća.
release	objaviti	Uskoro će objaviti film.
reliable	pouzdan	Ovaj autobus je obično pouzdan.
religion	religija	Religija joj je važna.
religious	religijski	Posetili su religijsku zgradu.
remain	ostati	Molim te, ostani miran.
remind	podsetiti	Podseti me sutra.
remote	udaljen	Žive u udaljenom selu.
rent	kirija	Kirija dospeva danas.
repeated	ponovljen	Ponovljene greške usporile su rad.
represent	predstavljati	Zvezda predstavlja nadu.
require	zahtevati	Ovaj posao će zahtevati obuku.
reservation	rezervacija	Napravio sam rezervaciju.
resource	resurs	Biblioteka je koristan resurs.
respect	poštovati	Poštuj svoje drugove iz razreda.
responsibility	odgovornost	Briga o deci je velika odgovornost.
responsible	odgovoran	Ona je odgovorna za karte.
retire	penzionisati se	Moj otac će se uskoro penzionisati.
retired	penzionisan	On je penzionisani nastavnik.
revise	redigovati	Rediguj svoj esej večeras.
risk	rizik	Postoji rizik od kiše.
robot	robot	Robot je očistio pod.
roll	otkotrljati	Otkotrljaj loptu ka meni.
romantic	romantičan	Imali su romantičnu večeru.
rope	konopac	Čvrsto zaveži konopac.
rough	neravan	Put je bio neravan.
row1	red	Sedi u prvi red.
royal	kraljevski	Kraljevska porodica je stigla.
rugby	ragbi	Gledali smo ragbi na televiziji.
safety	bezbednost	Bezbednost je važna na poslu.
sailor	mornar	Mornar je popravio čamac.
sample	uzorak	Medicinska sestra je uzela uzorak krvi.
sand	pesak	Pesak mi je prekrio cipele.
scan	skenirati	Prvo skeniraj dokument.
scientific	naučni	Ovo je naučna metoda.
script	scenario	Glumac je pročitao scenario.
sculpture	skulptura	Skulptura stoji napolju.
secondary	sporedan	Ovo je sporedan problem.
security	obezbeđenje	Obezbeđenje nam je proverilo torbe.
seed	seme	Posadi seme u zemlju.
sensible	razuman	To je razumna ideja.
seriously	ozbiljno	Shvati ovaj problem ozbiljno.
servant	sluga	Sluga je otvorio vrata.
set (put)	staviti	Stavi čašu na sto.
set (group)	set	Ovaj set uključuje šest šolja.
setting	okruženje	Priča ima gradsko okruženje.
sex	pol	Obrazac pita za godine i pol.
sexual	seksualan	Razred je razgovarao o seksualnom zdravlju.
sharp	oštar	Ovaj nož je oštar.
shelf	polica	Stavi knjigu na policu.
shell	školjka	Školjka je bila prazna.
shift	smena	Moja smena počinje u osam.
shine	sijati	Zvezde sijaju noću.
shiny	sjajan	Njene cipele su sjajne.
shoot	snimiti	Fotograf će snimiti scenu.
shy	stidljiv	On je stidljiv s nepoznatima.
sight	prizor	Planina je bila prelep prizor.
signal	signal	Signal je bio slab.
silent	tih	Soba je postala tiha.
silly	glup	To je bila glupa greška.
similarity	sličnost	Postoji jasna sličnost.
similarly	slično	Drugi plan funkcioniše slično.
simply	jednostavno	Jednostavno pritisni ovo dugme.
sink	potonuti	Teško kamenje brzo tone.
slice	kriška	Pojeo sam krišku kolača.
slightly	malo	Soba je malo toplija.
smart	elegantan	Nosila je elegantnu jaknu.
smooth	gladak	Put je gladak.
software	softver	Softver treba ažuriranje.
soil	zemlja	Zemlja je suva.
solid	čvrst	Zid je čvrst.
southern	južni	Žive na južnoj obali.
specifically	posebno	Posebno sam tražio čaj.
spending	potrošnja	Državna potrošnja se povećala.
spicy	ljut	Ovo kari jelo je ljuto.
spirit	duh	Tim je pokazao veliki duh.
spoken	govorni	Govorni engleski se poboljšava vežbom.
spot	mesto	Ovo mesto je savršeno.
spread	namazati	Na hleb namaži puter.
stadium	stadion	Stadion je bio pun.
staff	osoblje	Osoblje je bilo uslužno.
standard	standard	Standard je bio visok.
statistic	statistika	Ova statistika je iznenađujuća.
statue	statua	Statua stoji na trgu.
stick (push into/attach)	zalepiti	Zalepi etiketu na kutiju.
stick (piece of wood)	štap	Podigao je štap.
