source_headword	HU	example_HU
duty	kötelesség	Kötelességem segíteni.
earthquake	földrengés	A földrengés megrongálta a hidat.
eastern	keleti	A keleti part szeles.
economic	gazdasági	Az ország gazdasági problémákkal néz szembe.
economy	gazdaság	A gazdaság idén növekedett.
edge	perem	Állj távolabb a peremtől.
editor	szerkesztő	A szerkesztő ellenőrizte a cikket.
educate	oktatni	Az iskolák fiatalokat oktatnak.
educated	képzett	Nagyon képzett.
educational	oktatási	A játék oktatási jellegű.
effective	hatékony	Ez a gyógyszer hatékony.
effectively	hatékonyan	Hatékonyan magyarázta el a szabályt.
effort	erőfeszítés	Az erőfeszítésed számított.
election	választás	A választás eredménye szoros volt.
element	elem	A bizalom fontos elem.
embarrassed	zavarban	Az esés után zavarban volt.
embarrassing	kínos	Ez kínos hiba volt.
emergency	vészhelyzet	Vészhelyzetben hívd ezt a számot.
emotion	érzelem	A félelem erős érzelem.
employment	foglalkoztatás	A foglalkoztatás ebben a hónapban nőtt.
encourage	bátorítani	A tanárok olvasásra bátorítják a diákokat.
enemy	ellenség	Ez a két ország ellenség volt.
engaged	eljegyzett	Tavaly tavasszal eljegyezték egymást.
engineering	mérnöki tudomány	Mérnöki tudományt tanul az egyetemen.
entertain	szórakoztatni	Az énekes szórakoztatja majd a vendégeket.
entertainment	szórakozás	A város esti szórakozást kínál.
entrance	bejárat	Találkozunk a bejáratnál.
entry	belépés	A belépés gyerekeknek ingyenes.
environmental	környezetvédelmi	Környezetvédelmi problémákról beszéltünk.
episode	epizód	Az utolsó epizód izgalmas volt.
equal	egyenlő	Egyenlő fizetést kapnak.
equally	egyenlően	A munka egyenlően van felosztva.
escape	megszökni	A rabok megpróbáltak megszökni.
essential	alapvető	A víz alapvető az élethez.
eventually	végül	Végül megtaláltuk a szállodát.
examine	megvizsgálni	Az orvos megvizsgálta a karomat.
exchange	csere	Cserét intéztünk a boltban.
excitement	izgalom	A játék tele volt izgalommal.
exhibition	kiállítás	A művészeti kiállítás holnap nyílik.
expand	terjeszkedni	A vállalat terjeszkedni tervez.
expected	várható	A várható költségek magasak.
expedition	expedíció	Az expedíció átkelt a sivatagon.
experienced	tapasztalt	Tapasztalt ápoló.
explode	felrobbanni	Az üveg hőségben felrobbanhat.
explore	felfedezni	Felfedeztük az óvárost.
explosion	robbanás	A robbanás több ablakot betört.
export	export	A kávé fontos exportcikk.
fairly	elég	A teszt elég könnyű volt.
familiar	ismerős	Az arca ismerősnek tűnt.
fancy	kedve van	Van kedved egy kávéhoz?
fascinating	lenyűgöző	A történet lenyűgöző volt.
fashionable	divatos	Azok a cipők divatosak.
fasten	bekapcsolni	Kapcsold be a biztonsági övedet.
favour	szívesség	Tennél nekem egy szívességet?
fence	kerítés	A kerítés körülveszi a kertet.
fighting	harcok	A harcok hajnalban véget értek.
file	fájl	Zárás előtt mentsd el a fájlt.
financial	pénzügyi	Pénzügyi tanácsra van szüksége.
fitness	erőnlét	A futás javítja az erőnlétedet.
fixed	rögzített	Az ár rögzített.
flag	zászló	A zászló az iskola felett lengett.
flood	árvíz	Az árvíz sok házat megrongált.
flour	liszt	Add hozzá a lisztet a tálhoz.
flow	folyni	A folyó átfolyik a városon.
fold	összehajtani	Hajtsd félbe a papírt.
folk	népzenei	Népzenei dallam töltötte be a termet.
force	erő	A szélnek nagy ereje volt.
forever	örökre	Örökre emlékezni fogok erre.
frame	keret	A fényképnek keretre van szüksége.
freeze	megfagyni	A víz éjszaka megfagy.
frequently	gyakran	Gyakran meglátogatja a szüleit.
friendship	barátság	A barátságuk évekig tartott.
frighten	megijeszteni	A hangos zajok megijesztik a gyereket.
frightened	megijedt	A gyerek megijedtnek tűnt.
frightening	ijesztő	A vihar ijesztő volt.
frozen	fagyott	A tó fagyott volt.
fry	olajban sütni	Süsd olajban a hagymát öt percig.
fuel	üzemanyag	Az autónak több üzemanyagra van szüksége.
function	funkció	Ennek a gombnak egy funkciója van.
fur	szőr	A macskának puha szőre van.
garage	garázs	Az autó a garázsban van.
gather	összegyűlni	Összegyűltünk az asztal körül.
generally	általában	Általában korán érkezik.
generation	generáció	Minden generáció új problémákkal néz szembe.
generous	nagylelkű	Nagylelkű az idejével.
gentle	gyengéd	Használj gyengéd hangot.
gentleman	úriember	Az úriember kinyitotta az ajtót.
ghost	szellem	A történet egy szellemet említ.
giant	óriási	Az óriási képernyő betöltötte a színpadot.
glad	örül	Örülök, hogy eljöttél.
global	globális	Az éghajlatváltozás globális probléma.
glove	kesztyű	Elvesztettem egy kesztyűt.
goods	áruk	Az áruk késve érkeztek.
grade	jegy	Magas jegyet kapott.
graduate	diplomás	Friss diplomás.
grain	szem	Egy rizsszem leesett.
grateful	hálás	Hálás vagyok a támogatásodért.
growth	növekedés	A növény egyenletes növekedést mutatott.
guard	őr	Az őr ellenőrizte a jegyeinket.
guilty	bűnös	Bűnösnek érezte magát a hazugság miatt.
hang	felakasztani	Akaszd fel ide a kabátodat.
happiness	boldogság	Pénzért nem lehet boldogságot venni.
hardly	alig	Alig hallottalak.
headline	főcím	A főcím felkeltette a figyelmemet.
heating	fűtés	A fűtés leállt.
heavily	erősen	Egész éjjel erősen esett.
helicopter	helikopter	Egy helikopter szállt le a közelben.
highlight	kiemelni	Emeld ki a fő gondolatot.
highly	nagyon	Nagyon tisztelik.
hire	bérelni	Autót kell bérelnünk.
historic	történelmi	Meglátogattunk egy történelmi épületet.
historical	történelmi	Szereti a történelmi regényeket.
honest	őszinte	Kérlek, adj őszinte választ.
horrible	szörnyű	A szag szörnyű volt.
horror	horror	Szereti a horrorfilmeket.
host	házigazda	A házigazda üdvözölt minden vendéget.
