source_headword	NO	example_NO
program	et program	Programmet starter nå.
progress	framgang	Vi gjorde framgang i dag.
promise	love; et løfte	Hold løftet ditt.
pronounce	uttale	Uttal dette ordet, takk.
protect	beskytte	Beskytt øynene dine.
provide	gi; sørge for	De gir gratis vann.
pub	en pub; en bar	Vi møttes på puben.
public	offentlig	Parken er offentlig.
publish	publisere	De publiserer et magasin.
pull	dra	Dra i døren.
purpose	et formål	Hva er formålet?
push	dytte; trykke	Trykk på knappen.
quality	kvalitet	Kvaliteten er høy.
quantity	en mengde	Sjekk mengden.
queen	en dronning	Dronningen vinket.
quietly	stille; lavt	Snakk stille.
race (competition)	et løp; en konkurranse	Løpet starter snart.
railway	en jernbane	Jernbanen er stengt.
raise	løfte; heve	Løft hånden.
rate	en pris; en sats	Hotellprisen er høy.
rather	ganske; heller	Jeg er ganske trøtt.
reach	nå; rekke	Kan du nå hyllen?
react	reagere	Hvordan reagerte hun?
realize	innse	Jeg innså feilen min.
receive	motta	Fikk du meldingen min?
recent	nylig; fersk	Dette er et nylig bilde.
recently	nylig	Jeg flyttet hit nylig.
reception	en resepsjon; en mottakelse	Mottakelsen er på mandag.
recipe	en oppskrift	Denne oppskriften er enkel.
recognize	kjenne igjen	Jeg kjenner igjen den sangen.
recommend	anbefale	Jeg anbefaler denne boken.
record	en oppføring; ta opp	Lagre en oppføring av betalingen.
recording	et opptak	Opptaket høres tydelig ut.
recycle	resirkulere	Resirkuler papir og plast.
reduce	redusere	Senk varmen.
refer	henvise	Henvis til side to.
refuse1	nekte	Jeg nekter å lyve.
region	en region	Denne regionen er kald.
regular	regelmessig; fast	Hun er en fast kunde.
relationship	et forhold	Forholdet deres er sterkt.
remove	fjerne; ta av	Ta av deg skoene.
repair	reparere	Reparer sykkelen i dag.
replace	erstatte; bytte ut	Bytt ut det gamle batteriet.
reply	svare	Svar raskt, takk.
reporter	en reporter	Reporteren tok notater.
request	en forespørsel	Jeg kom med en forespørsel.
research	forskning; undersøke	Vi undersøker lokal historie.
researcher	en forsker	Forskeren sjekket dataene.
respond	svare; reagere	Svar i dag, takk.
response	et svar; en reaksjon	Svaret var raskt.
rest (remaining part)	resten	Spis resten senere.
rest (sleep/relax)	hvile	Du trenger hvile.
review	gjennomgå; en anmeldelse	Gå gjennom notatene dine i kveld.
ring1	en ring	Hun har på seg en gullring.
ring2	ringe	Ring meg etter lunsj.
rise	stige; en økning	Prisene stiger hvert år.
rock (stone)	en stein	Steinen er tung.
