source_headword	SR	example_SR
sacred	свет	Храм је свет.
sacrifice	жртва	Родитељи се често жртвују.
saint	светац	Црква слави локалног свеца.
sake	ради	Остао је ради ње.
sanction	санкција	Санкција је утицала на међународну трговину.
say	право гласа	Запослени су имали право гласа у прављењу распореда.
scattered	разбацан	Разбацани папири прекрили су сто.
sceptical	скептичан	Остала је скептична према тој тврдњи.
scope	опсег	Опсег пројекта се проширио.
screw	шраф	Пажљиво затегните шраф.
scrutiny	надзор	Договор је био подложан јавном надзору.
seal	запечатити	Запечатите коверат пре слања.
secular	секуларан	Школа следи секуларни наставни план.
seemingly	наизглед	Задатак је био наизглед једноставан.
segment	сегмент	Завршни сегмент је био краћи.
seize	запленити	Полиција је запленила документе.
seldom	ретко	Ретко изостаје са наставе.
selective	селективан	Програм је веома селективан.
senator	сенатор	Сенатор је подржао нацрт закона.
sensation	сензација	Откриће је изазвало сензацију.
sensitivity	осетљивост	То питање захтева осетљивост.
sentiment	расположење	Јавно расположење се брзо променило.
separation	раздвајање	Раздвајање је било тешко.
serial	серијски	Недостаје серијски број.
settlement	нагодба	Нагодба је окончала спор.
set-up	подешавање	Подешавање је трајало цело јутро.
sexuality	сексуалност	Курс расправља о идентитету и сексуалности.
shareholder	акционар	Акционар је испитао управни одбор.
shatter	уништити / разбити	Вест му је уништила самопоуздање.
shed	отпустити / решити се	Компанија ће отпустити раднике.
sheer	чисти / пуки	Сама величина је све изненадила.
shipping	испорука / достава	Трошкови доставе су порасли.
shoot	снимање	Снимање фотографија је завршено раније.
shrink	скупити се	Кошуља би могла да се скупи.
shrug	слегнути раменима	Лагано је слегнула раменима.
sigh	уздахнути	Уздахнуо је са олакшањем.
simulate	симулирати	Софтвер може да симулира саобраћај.
simulation	симулација	Симулација је предвидела поплаве.
simultaneously	истовремено	Два су аларма зазвонила истовремено.
sin	грех	Понос се сматра грехом.
situated	смештен	Хотел је смештен у центру.
sketch	скица	Направила је брзу скицу.
skip	прескочити	Немојте прескочити доручак.
slam	залупити	Он може да залупи врата.
slap	лупити / ошамарити	Немојте лупити по столу.
slavery	ропство	Ропство је обликовало историју региона.
slot	термин / утор	Резервишите термин на интернету.
smash	разбити	Чаша се разбила о под.
snap	пукнути	Грана је пукла на ветру.
soak	намочити	Намочите пасуљ преко ноћи.
soar	порасти / винути се	Цене горива би могле порасти.
socialist	социјалистички	Странка подржава социјалистичке политике.
sole	једини	Био је једини преживели.
solely	искључиво	Одлука је била искључиво његова.
solicitor	адвокат	Адвокат је припремио уговор.
solidarity	солидарност	Радници су изразили солидарност.
solo	соло	Издала је соло албум.
sound	разуман / звучан	План је разуман и практичан.
sovereignty	суверенитет	Уговор је штитио национални суверенитет.
spam	непожељна пошта / спам	Спам је напунио сандуче.
span	премостити / обухватити	Мост премошћује реку.
spark	изазвати / подстаћи	Мала примедба је изазвала расправу.
specialized	специјализован	Клиника пружа специјализовану негу.
specification	спецификација	Дизајн испуњава сваку спецификацију.
specimen	узорак / примерак	Узорак је био сигурно сачуван.
spectacle	спектакл	Парада је била живописан спектакл.
spectrum	спектар	Мишљења покривају широк спектар.
spell	период / раздобље	Сушни период је трајао недељама.
sphere	сфера / област	Политика је ушла у културну сферу.
spin	окретати се / вртети	Точкови су почели да се окрећу.
spine	кичма	Повреда је захватила његову кичму.
spotlight	центар пажње / рефлектор	Скандал га је ставио у центар пажње.
spouse	супружник	Њен супружник је присуствовао церемонији.
spy	шпијун	Шпијун је слао шифроване поруке.
squad	одред / екипа	Спасилачки одред је брзо стигао.
squeeze	стиснути	Нежно стисните ручку.
stab	убости	Извештај је описао убодну рану.
stability	стабилност	Политика је донела стабилност.
stabilize	стабилизовати	Лек му је помогао да се стабилизује.
stake	удео	Инвеститори овде имају удео.
standing	углед / положај	Њен углед у странци је порастао.
stark	потпун / оштар	Резултати су показали оштар контраст.
statistical	статистички	Студија је користила статистичке методе.
steer	усмерити / управљати	Покушао је да усмери расправу.
stem	стабљика	Стабљика се сломила у олуји.
stereotype	стереотип	Филм је оспорио стереотип.
stimulus	подстицај	Пакет је пружио економски подстицај.
stir	мешати	Полако мешајте сос.
storage	складиште / складиштење	Објекат нуди сигурно складиштење.
straightforward	једноставан / јасан	Упутства су била једноставна.
strain	напетост / притисак	Дуго одлагање је изазвало напетост.
strand	прамен / нит	Пао је прамен косе.
strategic	стратешки	Компанија је направила стратешко улагање.
strip (long narrow piece)	трака	Исеците уску траку папира.
strip (remove clothes/a layer)	скинути / огулити	Пажљиво огулите стару боју.
strive	тежити / настојати	Они теже изврсности.
structural	структурални	Мост има структурална оштећења.
stumble	спотакнути се	Спотакнуо се на степеницама.
stun	запањити / ошамутити	Вест може запањити људе.
submission	предаја	Рок за предају је прошао.
subscriber	претплатник	Сваки претплатник прима ажурирања.
subscription	претплата	Претплата се аутоматски обнавља.
subsidy	субвенција	Субвенција је смањила трошкове горива.
substantial	знатан / битан	Пројекту су потребна знатна средства.
substantially	знатно	Цена се знатно повећала.
substitute	замена	Користите млеко као замену.
substitution	замена	Замена је променила рецепт.
subtle	суптилан	Слика има суптилне детаље.
suburban	приградски	Преселили су се у приградско подручје.
succession	низ / след	Криза је уследила након низа неуспеха.
successive	узастопни	Узастопне владе су игнорисале проблем.
successor	наследник	Наследник ће почети у понедељак.
suck	усисати	Машина може да усиса прашину.
sue	тужити	Одлучила је да тужи компанију.
suicide	самоубиство	Превенцији самоубиства потребно је континуирано финансирање.
suite	апартман	Хотелски апартман је гледао на реку.
summit	састанак на врху / самит	Лидери су се састали на самиту.
superb	врхунски / изванредан	Наступ је био изванредан.
superior	супериоран / бољи	Нови модел је супериоран.
supervise	надзирати	Она ће надзирати приправнике.
supervision	надзор	Деци је потребан надзор одраслих.
supervisor	надзорник / руководилац	Прво питајте свог надзорника.
supplement	додатак	Извештај укључује додатак.
supportive	пун подршке	Њена породица је била пуна подршке.
supposedly	наводно	Фајл је наводно избрисан.
suppress	сузбити / угушити	Режим је покушао да угуши протесте.
supreme	врховни	Врховни суд је саслушао случај.
surge	пораст / налет	Нагли пораст напона је оштетио опрему.
surgical	хируршки	Пацијенту је потребно хируршко лечење.
surplus	вишак	Складиште има вишак.
surrender	предати се	Војници су се сложили да се предају.
surveillance	надзор	Надзорне камере су снимиле улаз.
suspension	суспензија	Суспензија је трајала две недеље.
suspicion	сумња	Његово понашање је изазвало сумњу.
suspicious	сумњив	Пакет је изгледао сумњиво.
sustain	одржати	Пројекат може да одржи локална радна места.
swing	њихати се / окретати се	Врата су почела да се њишу.
sword	мач	Мач је висио на зиду.
symbolic	симболичан	Гест је био симболичан.
syndrome	синдром	Синдром утиче на памћење.
synthesis	синтеза	Поглавље нуди синтезу.
systematic	систематичан	Преглед је био систематичан.
tactic	тактика	Тактика је брзо пропала.
tactical	тактички	Тим је направио тактичку промену.
taxpayer	порески обвезник	Новац пореских обвезника је финансирао мост.
tempt	довести у искушење / привући	Понуда би могла да привуче инвеститоре.
tenant	станар / закупац	Станар је рано платио кирију.
tender	нежан	Упутила је нежан осмех.
tenure	мандат / радни стаж	Његов мандат је трајао шест година.
terminal	неизлечив / терминалан	Пацијент је имао неизлечиву болест.
terminate	раскинути / окончати	Компанија би могла да раскине уговор.
terrain	терен	Терен је био тежак.
terrific	сјајан / изврстан	Поглед је био сјајан.
testify	сведочити	Пристала је да сведочи.
testimony	сведочанство / исказ	Његов исказ је био детаљан.
texture	текстура	Тканина има грубу текстуру.
thankfully	насрећу / срећом	Срећом, нико није повређен.
theatrical	позоришни / театралан	Говор је звучао театрално.
theology	теологија	Студирао је теологију на универзитету.
theoretical	теоретски	Модел је чисто теоретски.
thereafter	након тога	Након тога су се правила променила.
thereby	тиме / на тај начин	Промена је смањила трошкове, тиме чувајући радна места.
thoughtful	промишљен / пажљив	Њен одговор је био промишљен.
thought-provoking	подстицајан за размишљање	Чланак је био подстицајан за размишљање.
thread	конац / нит	Конац је лако пукао.
threshold	праг	Гласање је прешло праг.
thrilled	одушевљен	Била је одушевљена вешћу.
thrive	успевати / напредовати	Мала предузећа овде могу да напредују.
tide	плима	Плима је брзо порасла.
tighten	затегнути / притегнути	Чврсто притегните поклопац.
timber	дрвна грађа / дрво	Кућа користи локалну дрвну грађу.
timely	правовремен	Упозорење је било правовремено.
tobacco	дуван	Продаја дувана је пала.
tolerance	толеранција	Политика подстиче толеранцију.
tolerate	толерисати / подносити	Не можемо толерисати злостављање.
toll	данак / путарина	Олуја је узела тежак данак.
top	премашити	Продаја би могла да премаши прошлогодишњи рекорд.
torture	мучење	Уговор апсолутно забрањује мучење.
