simplified	TE	example_TE
报道	వార్తగా నివేదించడం	వార్తలు ఈ విషయాన్ని నివేదించాయి.
报告	నివేదిక	అతను నివేదిక ఇస్తున్నాడు.
报社	పత్రికా కార్యాలయం	ఆమె పత్రికా కార్యాలయంలో పని చేస్తుంది.
抱怨	ఫిర్యాదు చేయడం	పని చాలా ఎక్కువని అతను ఎప్పుడూ ఫిర్యాదు చేస్తాడు.
悲观	నిరాశావాది	చాలా నిరాశావాదిగా ఉండకండి.
背	వెనుక భాగం	అతను తలుపు వైపు వెనుక భాగంతో కూర్చున్నాడు.
背景	నేపథ్యం	దయచేసి మీ నేపథ్యాన్ని సంక్షిప్తంగా పరిచయం చేయండి.
被子	దుప్పటి	దుప్పటి చాలా వెచ్చగా ఉంది.
本科	స్నాతక విద్య	అతను స్నాతక విద్యార్థి.
本领	నైపుణ్యం	అతను ఒక కొత్త నైపుణ్యం నేర్చుకున్నాడు.
本质	సారాంశం	సమస్య యొక్క సారాంశం చాలా సులభం.
彼此	ఒకరినొకరు	మనము ఒకరినొకరు గౌరవించాలి.
比例	నిష్పత్తి	పురుషులు మరియు మహిళల నిష్పత్తి దాదాపు ఒకేలా ఉంది.
必然	తప్పనిసరిగా	కష్టపడి పనిచేస్తే తప్పనిసరిగా ఫలితం వస్తుంది.
必要	అవసరం	ఆందోళన చెందాల్సిన అవసరం లేదు.
毕竟	ఎట్టకేలకు	ఎట్టకేలకు, అతను ఇంకా పిల్లవాడే.
避免	నివారించడం	దయచేసి ఆలస్యంగా రావడం నివారించండి.
编辑	సవరించడం	ఈ వ్యాసాన్ని సవరించడం అతని బాధ్యత.
鞭炮	పటాకులు	వసంత పండుగ సమయంలో కొందరు పటాకులు పేలుస్తారు.
便	అప్పుడు	భోజనం చేసిన తర్వాత అతను తరగతికి వెళ్లాడు.
辩论	వాదన	వారు ఈ ప్రశ్నపై వాదిస్తున్నారు.
标点	విరామచిహ్నం	దయచేసి విరామచిహ్నాలపై శ్రద్ధ పెట్టండి.
标志	సంకేతం	ఎర్ర దీపం ఆగాలనే సంకేతం.
表达	వ్యక్తం చేయడం	అతను తన అభిప్రాయాన్ని వ్యక్తం చేశాడు.
表面	ఉపరితలం	మెజ్ ఉపరితలం చాలా శుభ్రంగా ఉంది.
表明	చూపించడం	ఫలితం అతను సరైనవాడని చూపిస్తుంది.
表情	ముఖభావం	ఆమె ముఖభావం చాలా గంభీరంగా ఉంది.
表现	ప్రదర్శించడం	అతను ఈ రోజు చాలా బాగా ప్రదర్శించాడు.
冰激凌	ఐస్‌క్రీం	పిల్లలు ఐస్‌క్రీం తినడానికి ఇష్టపడతారు.
病毒	వైరస్	ఈ రకం వైరస్ చాలా వేగంగా వ్యాపిస్తుంది.
播放	ప్లే చేయడం	దయచేసి ఈ పాటను ప్లే చేయండి.
玻璃	గాజు	గాజు కప్పు పగిలిపోయింది.
博物馆	సంగ్రహాలయం	మేము ఈ వారాంతంలో సంగ్రహాలయానికి వెళ్తున్నాము.
脖子	మెడ	నా మెడ కొంచెం నొప్పిగా ఉంది.
不断	నిరంతరం	ధరలు నిరంతరం పెరుగుతున్నాయి.
不见得	అవసరం లేదు	ఇది తప్పనిసరిగా చెడు విషయం కావాల్సిన అవసరం లేదు.
不耐烦	అసహనం	చాలా సేపు వేచి ఉన్న తర్వాత అతనికి కొంచెం అసహనం వచ్చింది.
不要紧	పరవాలేదు	పరవాలేదు, అది ముఖ్యం కాదు.
补充	చేర్చడం	నేను ఒక అభిప్రాయం చేర్చాలనుకుంటున్నాను.
不安	అశాంతిగా	ఈ వార్త విన్న తర్వాత ఆమె అశాంతిగా అనిపించింది.
不得了	చాలా తీవ్రమైన	ఈ విషయం నిజంగా చాలా తీవ్రమైంది.
不然	లేకపోతే	త్వరగా వెళ్లండి, లేకపోతే ఆలస్యమవుతుంది.
不如	కంటే మంచిది	వాహనంలో వెళ్లడం కంటే నడిచి వెళ్లడం మంచిది.
不足	తగినంత కాదు	ఇక్కడ నీరు తగినంత లేదు.
布	బట్ట	ఈ బట్ట చాలా మృదువుగా ఉంది.
步骤	దశ	దయచేసి దశల ప్రకారం పని చేయండి.
部门	విభాగం	నేను అమ్మకాల విభాగంలో పని చేస్తున్నాను.
财产	ఆస్తి	ఈ ఇల్లు అతని ఆస్తి.
彩虹	ఇంద్రధనుస్సు	వర్షం తర్వాత ఇంద్రధనుస్సు కనిపించింది.
踩	తొక్కడం	గడ్డిపై తొక్కకండి.
采访	ఇంటర్వ్యూ చేయడం	రిపోర్టర్ వైద్యుడిని ఇంటర్వ్యూ చేస్తున్నాడు.
采取	అమలు చేయడం	మేము కొత్త పద్ధతిని అమలు చేశాము.
参考	సూచనగా చూడడం	దయచేసి ఈ పుస్తకాన్ని సూచనగా చూడండి.
参与	పాల్గొనడం	అతను కార్యక్రమాల్లో చురుకుగా పాల్గొంటాడు.
惭愧	సిగ్గుపడటం	నా తప్పుకు నాకు సిగ్గుగా ఉంది.
操场	ఆటస్థలం	విద్యార్థులు ఆటస్థలంలో పరుగెత్తుతున్నారు.
操心	ఆందోళన చెందడం	నా గురించి ఆందోళన చెందకండి.
册	పుస్తకానికి సంఖ్యాపదం	నేను ఒక పుస్తక సంపుటి కొనుగోలు చేశాను.
测验	చిన్న పరీక్ష	రేపు ఒక చిన్న పరీక్ష ఉంది.
曾经	ఒకప్పుడు	నేను ఒకప్పుడు బీజింగ్‌లో నివసించాను.
叉子	ఫోర్క్	నేను ఫోర్క్‌తో సలాడ్ తింటాను.
差距	అంతరం	నగరాలు మరియు గ్రామీణ ప్రాంతాల మధ్య అంతరం ఉంది.
插	దూర్చడం	దయచేసి పూలను కుండీలో పెట్టండి.
拆	కూల్చడం	కార్మికులు పాత ఇంటిని కూల్చుతున్నారు.
产品	ఉత్పత్తి	ఈ ఉత్పత్తి నాణ్యత చాలా మంచిది.
产生	ఉత్పన్నం కావడం	ఈ సమస్య కొత్త ప్రభావాన్ని ఉత్పన్నం చేసింది.
常识	సాధారణ జ్ఞానం	ఇది ప్రాథమిక సాధారణ జ్ఞానం.
长途	దీర్ఘదూర	దీర్ఘదూర ప్రయాణం అలసటగా ఉంటుంది.
抄	కాపీ చేయడం	దయచేసి ఇతరుల హోంవర్క్‌ను కాపీ చేయకండి.
超级	సూపర్	ఇది సూపర్ మార్కెట్.
朝	రాజవంశం	తాంగ్ రాజవంశం చాలా ప్రసిద్ధి చెందింది.
潮湿	తేమగా	దక్షిణంలో వేసవికాలం చాలా తేమగా ఉంటుంది.
吵	శబ్దంగా	బయట చాలా శబ్దంగా ఉంది.
吵架	తగవు పడటం	వారు మళ్లీ తగవు పడ్డారు.
炒	వేపడం	అమ్మ ఆహారాన్ని వేపుతోంది.
车库	గారేజ్	కారు గారేజ్‌లో నిలిపి ఉంది.
车厢	రైలు బోగీ	ఈ రైలు బోగీ చాలా నిశ్శబ్దంగా ఉంది.
彻底	పూర్తిగా	అతను పూర్తిగా అర్థం చేసుకున్నాడు.
沉默	నిశ్శబ్దం	అతను మొత్తం సమయం నిశ్శబ్దంగా ఉన్నాడు.
趁	అవకాశంగా ఉపయోగించుకోవడం	ఇంకా చీకటి కాకముందే మనం బయలుదేరుదాం.
称	తూకం వేయడం	దయచేసి ఈ ప్యాకెట్‌కు తూకం వేయండి.
称呼	సంబోధించడం	అతన్ని ఎలా సంబోధించాలో నాకు తెలియదు.
称赞	ప్రశంసించడం	ఆయన పురోగతిని ఉపాధ్యాయుడు ప్రశంసించాడు.
成分	పదార్థాలు	ఈ మందులోని పదార్థాలు సులభమైనవి.
成果	ఫలితం	ఈ ప్రాజెక్ట్ ఫలితాలు సాధించింది.
成就	సాధన	తన వృత్తిలో అతనికి ఎన్నో సాధనలు ఉన్నాయి.
成立	స్థాపించబడటం	కంపెనీ గత సంవత్సరం స్థాపించబడింది.
成人	వయోజనుడు	వయోజనుల టికెట్లు పిల్లల టికెట్ల కంటే ఖరీదైనవి.
成熟	పండిన	ఆపిల్‌లు ఇప్పటికే పండాయి.
成语	సామెత	ఈ సామెత సాధారణంగా ఉపయోగించబడుతుంది.
成长	పెరుగుదల	పిల్లవాడు నెమ్మదిగా పెరుగుతున్నాడు.
承担	బాధ్యత తీసుకోవడం	అతను బాధ్యత తీసుకోవడానికి సిద్ధంగా ఉన్నాడు.
承认	ఒప్పుకోవడం	తాను తప్పు చేశానని అతను ఒప్పుకున్నాడు.
承受	భరించడం	ఇంత పెద్ద ఒత్తిడిని నేను భరించలేను.
程度	స్థాయి	అతని చైనీస్ స్థాయి చాలా ఎక్కువ.
程序	క్రమం	దయచేసి క్రమం ప్రకారం దీన్ని నిర్వహించండి.
诚恳	నిజాయితీగల	అతని వైఖరి చాలా నిజాయితీగలది.
吃亏	నష్టపోవడం	వస్తువులు కొనుగోలు చేసే ముందు జాగ్రత్తగా చూడండి, అప్పుడు నష్టపోరు.
持续	కొనసాగడం	వర్షం మూడు రోజులు కొనసాగింది.
池塘	చెరువు	చెరువులో చాలా చేపలు ఉన్నాయి.
迟早	ఎప్పుడో ఒకప్పుడు	ఎప్పుడో ఒకప్పుడు మీరు అర్థం చేసుకుంటారు.
尺子	పట్టీ	దయచేసి పట్టీతో కొలవండి.
翅膀	రెక్క	పక్షి రెక్క గాయపడింది.
充电器	చార్జర్	నా చార్జర్ పాడైంది.
充分	పూర్తి	మేము పూర్తి సిద్ధత చేసుకున్నాము.
充满	నిండిన	గది నవ్వులతో నిండిపోయింది.
冲	కడగడం	దయచేసి కప్పును నీటితో కడగండి.
重复	పునరావృతం చేయడం	దయచేసి అదే తప్పును పునరావృతం చేయకండి.
宠物	పెంపుడు జంతువు	ఆమె ఒక పెంపుడు కుక్కను పెంచుతోంది.
抽屉	డ్రాయర్	తాళం డ్రాయర్‌లో ఉంది.
抽象	అమూర్తమైన	ఈ భావన చాలా అమూర్తంగా ఉంది.
丑	అందంలేని	ఈ ఫోటో కొంచెం అందంలేనిది.
臭	దుర్వాసన	చెత్తకు దుర్వాసన వస్తోంది.
出版	ప్రచురించడం	ఈ పుస్తకం గత సంవత్సరం ప్రచురించబడింది.
出口	నిష్క్రమణ	నిష్క్రమణ ముందుంది.
出色	అత్యుత్తమ	ఆమె ప్రదర్శన అత్యుత్తమంగా ఉంది.
出示	చూపించడం	దయచేసి మీ పాస్‌పోర్ట్‌ను చూపండి.
出席	హాజరుకావడం	అతను సమావేశానికి హాజరవుతాడు.
初级	ప్రారంభ స్థాయి	నేను ప్రారంభ స్థాయి తరగతిలో చైనీస్ నేర్చుకుంటున్నాను.
除非	లేకపోతే మాత్రమే	రేపు వర్షం పడకపోతే మేము పర్వతారోహణకు వెళ్తాము.
除夕	నూతన సంవత్సర పండుగ ముందు రాత్రి	నూతన సంవత్సర పండుగ ముందు రాత్రి మా కుటుంబమంతా కలిసి భోజనం చేస్తుంది.
处理	పరిష్కరించడం	నేను ఈ సమస్యను పరిష్కరిస్తాను.
传播	వ్యాప్తి చెందడం	ఈ వార్త చాలా వేగంగా వ్యాప్తి చెందింది.
传染	అంటుకోవడం	జలుబు సులభంగా వ్యాపిస్తుంది.
传说	పురాణకథ	ఇది ఒక ప్రాచీన పురాణకథ.
传统	సంప్రదాయం	వసంత పండుగ చైనాకు సంప్రదాయ పండుగ.
窗帘	కర్టెన్లు	దయచేసి కర్టెన్లను తెరవండి.
闯	దూసుకెళ్లడం	అతను అనుకోకుండా ఎర్ర సిగ్నల్ దాటాడు.
创造	సృష్టించడం	ప్రజలు కొత్త పనిముట్లను సృష్టించారు.
吹	వీస్తోంది	గాలి బలంగా వీస్తోంది.
词汇	పదసంపద	ఈ పదసంపద అంశం సాధారణంగా ఉపయోగించబడుతుంది.
辞职	రాజీనామా చేయడం	అతను రాజీనామా చేయాలని నిర్ణయించాడు.
此外	అదనంగా	అదనంగా, నాకు మరో ప్రశ్న ఉంది.
刺激	ఉత్సాహకరమైన	ఈ ఆట చాలా ఉత్సాహకరంగా ఉంది.
次要	ద్వితీయ	ఈ సమస్య ద్వితీయమైనది.
匆忙	తొందరగా	అతను తొందరగా ఇంటి నుంచి వెళ్లిపోయాడు.
从此	అప్పటి నుంచి	అప్పటి నుంచి అతను ప్రతిరోజూ వ్యాయామం చేశాడు.
从而	దాంతో	అతను కష్టపడి చదివాడు, దాంతో పరీక్షలో ఉత్తీర్ణుడయ్యాడు.
从前	మునుపు	మునుపు ఇక్కడ మెట్రో ఉండేది కాదు.
从事	చేయడం	ఆమె విద్యారంగంలో పని చేస్తుంది.
粗糙	రఫ్‌గా	ఈ కాగితం చాలా రఫ్‌గా ఉంది.
促进	ప్రోత్సహించడం	వ్యాయామం ఆరోగ్యాన్ని ప్రోత్సహిస్తుంది.
促使	ప్రేరేపించడం	ఈ విషయం అతనిని తన ప్రణాళికను మార్చడానికి ప్రేరేపించింది.
醋	వినిగర్	వంటకంలో వినిగర్ కలిపారు.
催	త్వరపెట్టడం	అమ్మ నన్ను త్వరగా బయటకు వెళ్లమని త్వరపెట్టింది.
存在	ఉండటం	ఈ సమస్య ఇంకా ఉంది.
措施	చర్య	పాఠశాల భద్రతా చర్యలు తీసుకుంది.
答应	అంగీకరించడం	అతను నాకు సహాయం చేయడానికి అంగీకరించాడు.
达到	చేరుకోవడం	అతని మార్కులు ప్రమాణాన్ని చేరుకున్నాయి.
打工	పార్ట్ టైమ్ పని చేయడం	వేసవి సెలవుల్లో అతను రెస్టారెంట్‌లో పార్ట్ టైమ్ పని చేస్తాడు.
打交道	లావాదేవీలు చేయడం	నేను తరచుగా ఖాతాదారులతో లావాదేవీలు చేస్తాను.
打喷嚏	తుమ్మడం	అతనికి జలుబు వచ్చింది, అందుకే ఎప్పుడూ తుమ్ముతున్నాడు.
打听	విచారించడం	నేను రైలు టికెట్ల గురించి విచారించాలనుకుంటున్నాను.
大方	ఉదారమైన	డబ్బు విషయంలో ఆమె చాలా ఉదారంగా ఉంటుంది.
大厦	పెద్ద భవనం	ఆ పెద్ద భవనం చాలా ఎత్తుగా ఉంది.
大象	ఏనుగు	పిల్లలు జంతుప్రదర్శనశాలలో ఏనుగులను చూస్తున్నారు.
大型	పెద్ద స్థాయి	ఇక్కడ పెద్ద స్థాయి షాపింగ్ మాల్ నిర్మించబడుతుంది.
呆	ఉండిపోవడం	అతను ఇంట్లో ఉండి చదువుతున్నాడు.
代表	ప్రతినిధ్యం వహించడం	ఈ పువ్వు స్నేహాన్ని ప్రతినిధ్యం వహిస్తుంది.
代替	బదులుగా	ఈ రోజు అతని బదులుగా నేను సమావేశానికి హాజరవుతాను.
待遇	ప్రయోజనాలు	ఈ కంపెనీలో ప్రయోజనాలు మంచివి.
贷款	రుణం	వారు ఇల్లు కొనడానికి రుణానికి దరఖాస్తు చేశారు.
单纯	సరళమైన	ఆమె ఆలోచన చాలా సరళమైనది.
单调	ఏకరూపమైన	ఈ పని కొంచెం ఏకరూపంగా ఉంది.
单独	ఒంటరిగా	నేను మీతో ఒంటరిగా మాట్లాడాలనుకుంటున్నాను.
单位	సంస్థ	అతను ఒక ప్రభుత్వ సంస్థలో పని చేస్తాడు.
单元	యూనిట్	ఈ రోజు మేము మూడవ యూనిట్ చదువుతున్నాము.
担任	బాధ్యత వహించడం	ఆమె ఈ కార్యక్రమానికి బాధ్యత వహిస్తోంది.
耽误	ఆలస్యం చేయడం	అందరి సమయాన్ని ఆలస్యం చేయకండి.
胆小鬼	పిరికివాడు	అతన్ని పిరికివాడు అని పిలవకండి.
淡	రుచిలేని	ఈ సూప్ కొంచెం రుచిలేనిది.
当地	స్థానిక	స్థానిక ప్రజలకు ఈ మార్కెట్ అందరికీ ఇష్టం.
当心	జాగ్రత్తగా ఉండటం	రోడ్డు జారుగా ఉంది, కాబట్టి జాగ్రత్తగా ఉండండి.
挡	అడ్డుకోవడం	ఈ కారు ప్రవేశద్వారాన్ని అడ్డుకుంటోంది.
倒霉	దురదృష్టం	ఈ రోజు నిజంగా దురదృష్టం; నా ఫోన్ పోయింది.
导演	దర్శకుడు	ఈ దర్శకుడు చాలా ప్రసిద్ధుడు.
导致	కారణం కావడం	భారీ వర్షం ట్రాఫిక్ జామ్‌కు కారణమైంది.
岛屿	ద్వీపం	ఈ దేశంలో చాలా ద్వీపాలు ఉన్నాయి.
到达	చేరుకోవడం	రైలు సమయానికి షాంఘైకి చేరుకుంది.
道德	నైతికత	ఒక మనిషికి నైతిక సూత్రాలు ఉండాలి.
道理	తర్కం	అతను చెప్పిన మాటలో చాలా తర్కం ఉంది.
登记	నమోదు చేయడం	దయచేసి ముందుగా ముందు డెస్క్ వద్ద నమోదు చేయండి.
等待	ఎదురుచూడడం	మేము ఫలితం కోసం ఎదురుచూస్తున్నాము.
等于	సమానం కావడం	ఐదు కు ఐదు కలిపితే పది అవుతుంది.
滴	చుక్క	ఒక నీటి చుక్క బల్లపై పడింది.
敌人	శత్రువు	వాళ్లు శత్రువులు కాదు.
的确	నిజంగానే	ఈ విషయం నిజంగానే చాలా ముఖ్యమైనది.
地道	ఖచ్చమైన	అతను ఖచ్చమైన బీజింగ్ మాండలికం మాట్లాడుతాడు.
地理	భూగోళశాస్త్రం	నాకు చైనా భూగోళశాస్త్రంపై చాలా ఆసక్తి ఉంది.
地区	ప్రాంతం	ఈ ప్రాంతం శీతాకాలంలో చాలా చల్లగా ఉంటుంది.
地毯	తివాచీ	హాల్‌లో ఒక తివాచీ పరచి ఉంది.
地位	స్థానం	సమాజంలో విద్యకు ముఖ్యమైన స్థానం ఉంది.
地震	భూకంపం	నిన్న రాత్రి ఇక్కడ భూకంపం వచ్చింది.
递	అందించడం	దయచేసి ఈ లేఖను ఉపాధ్యాయుడికి అందించండి.
点心	తిండి పదార్థం	మేము మధ్యాహ్నం తిండి పదార్థాలు తిన్నాము.
电池	బ్యాటరీ	ఈ బొమ్మకు రెండు బ్యాటరీలు కావాలి.
电台	రేడియో కేంద్రం	అతను రేడియో కేంద్రంలో ఒక కార్యక్రమం నిర్వహిస్తాడు.
钓	చేపలు పట్టడం	తాతయ్యకు నది పక్కన చేపలు పట్టడం ఇష్టం.
顶	పైభాగం	అతను నల్ల టోపీ పెట్టుకున్నాడు.
冻	గడ్డకట్టడం	బయట చాలా చలిగా ఉంది; నీరు గడ్డకట్టింది.
动画片	కార్టూన్	పిల్లలు కార్టూన్లు చూస్తున్నారు.
洞	రంధ్రం	గోడలో ఒక చిన్న రంధ్రం ఉంది.
豆腐	టోఫు	ఈ టోఫు వంటకం చాలా రుచిగా ఉంది.
逗	ఆటపట్టించడం	అతని మాటలు అందరినీ నవ్వించాయి.
独立	స్వతంత్రం	ఆమె స్వతంత్రంగా జీవించాలనుకుంటోంది.
独特	ప్రత్యేకమైన	ఈ నగరానికి ప్రత్యేకమైన సంస్కృతి ఉంది.
度过	గడపడం	మేము సెలవును సముద్రతీరంలో గడిపాము.
断	తెగిపోవడం	ఈ తాడు తెగిపోయింది.
堆	కుప్పగా పెట్టడం	బల్లపై చాలా పత్రాలు కుప్పగా ఉన్నాయి.
兑换	మార్చుకోవడం	నేను కొంత రెన్మిన్‌బి మార్చుకోవాలనుకుంటున్నాను.
对比	పోలిక	దయచేసి ఈ రెండు ప్రణాళికలను పోల్చండి.
对待	వ్యవహరించడం	మనం అందరితో న్యాయంగా వ్యవహరించాలి.
对方	ఎదురు పక్షం	దయచేసి ముందుగా ఎదురు పక్షం అభిప్రాయం వినండి.
对手	ప్రతిద్వంద్వి	అతని ప్రతిద్వంద్వి చాలా బలంగా ఉన్నాడు.
对象	విషయం	ఈ పరిశోధన విషయం విశ్వవిద్యాలయ విద్యార్థులు.
吨	టన్ను	ఈ ట్రక్కు మూడు టన్నుల సరుకును మోయగలదు.
蹲	చతికిలబడడం	అతను నేలపై చతికిలబడి తన తాళాలు వెతుకుతున్నాడు.
顿	భోజనాల లెక్కపదం	మేము కలిసి రాత్రి భోజనం చేశాము.
多亏	వల్లనే	నీ సహాయం వల్లనే నేను పని పూర్తి చేశాను.
多余	అవసరం లేని	ఈ వాక్యం అవసరం లేనిది.
朵	పువ్వుల లెక్కపదం	బల్లపై ఒక పువ్వు ఉంది.
躲藏	దాక్కోవడం	పిల్లి మంచం క్రింద దాక్కుంది.
恶劣	చాలా చెడు	ఈ రోజు వాతావరణం చాలా చెడుగా ఉంది.
耳环	చెవి రింగ్	ఆమె ఒక జత చెవి రింగులు పెట్టుకుంది.
发表	వ్యక్తపరచడం	అతను సమావేశంలో తన అభిప్రాయాన్ని వ్యక్తపరిచాడు.
发愁	ఆందోళన చెందడం	ఈ చిన్న విషయానికి ఆందోళన చెందకండి.
发达	అభివృద్ధి చెందిన	ఈ నగరంలో రవాణా బాగా అభివృద్ధి చెందింది.
发抖	వణుకడం	చలితో అతను వణుకుతున్నాడు.
发挥	వినియోగించడం	దయచేసి మీ ఊహాశక్తిని వినియోగించండి.
发明	ఆవిష్కరణ	విద్యుత్ దీపం ఒక ముఖ్యమైన ఆవిష్కరణ.
发票	బిల్లు	దయచేసి నాకు బిల్లు ఇవ్వండి.
发言	మాట్లాడడం	అతను సమావేశంలో మాట్లాడాడు.
罚款	జరిమానా	తప్పుగా పార్కింగ్ చేస్తే జరిమానా వేస్తారు.
法院	న్యాయస్థానం	ఈ కేసు న్యాయస్థానానికి అప్పగించబడింది.
翻	తిప్పడం	దయచేసి పుస్తకాన్ని పదో పేజీకి తిప్పండి.
繁荣	సమృద్ధిగా ఉండటం	ఆర్థిక వ్యవస్థ క్రమంగా సమృద్ధిగా మారుతోంది.
反而	బదులుగా	అతను కోపపడలేదు; బదులుగా నవ్వాడు.
反复	మళ్లీ మళ్లీ	ఈ వాక్యాన్ని మళ్లీ మళ్లీ అభ్యాసం చేయాలి.
反应	ప్రతిస్పందన	అతని ప్రతిస్పందన వేగంగా ఉంది.
反映	ప్రతిబింబించడం	ఈ నివేదిక నిజమైన పరిస్థితిని ప్రతిబింబిస్తుంది.
反正	ఏమైనా	ఏమైనా నాకు రేపు సమయం ఉంది.
范围	పరిధి	దయచేసి ఈ పరిధిని దాటకండి.
方	చతురస్రం	దయచేసి కాగితంపై ఒక చతురస్రం గీయండి.
方案	ప్రణాళిక	ఈ ప్రణాళిక చాలా సరైనది.
方式	పద్ధతి	ఈ చదువు పద్ధతి చాలా ప్రభావవంతంగా ఉంది.
妨碍	అడ్డంకి కలిగించడం	దయచేసి ఇతరుల పనికి అడ్డంకి కలిగించకండి.
仿佛	అనిపించడం	అతనికి అన్నీ తెలిసినట్లుగా అనిపిస్తోంది.
非	లేకుండా కాదు	ఈ పని నువ్వు లేకుండా పూర్తికాదు.
肥皂	సబ్బు	చేతులు కడుగేటప్పుడు సబ్బు వాడండి.
废话	పనికిరాని మాట	పనికిరాని మాటలు ఆపి వెంటనే ప్రారంభించండి.
分别	విడిపోవడం	వాళ్లు స్టేషన్ వద్ద విడిపోయారు.
分布	విస్తరించి ఉండటం	ఈ దుకాణాలు నగరం అంతటా విస్తరించి ఉన్నాయి.
分配	కేటాయించడం	ఉపాధ్యాయుడు కొత్త పనిని కేటాయించాడు.
分手	విడిపోవడం	వాళ్లు గత సంవత్సరం విడిపోయారు.
分析	విశ్లేషించడం	మనం కారణాలను విశ్లేషించాలి.
纷纷	ఒక్కొక్కరిగా	అందరూ ఒక్కొక్కరిగా అంగీకారం వ్యక్తం చేశారు.
奋斗	కష్టపడడం	యువకులు తమ కలల కోసం కష్టపడాలి.
疯狂	పిచ్చిగా	అభిమానులు పిచ్చిగా హర్షధ్వానాలు చేశారు.
风格	శైలి	ఈ రెస్టారెంట్ శైలి చాలా ప్రత్యేకంగా ఉంది.
风景	దృశ్యం	కొండపై దృశ్యం అందంగా ఉంది.
风俗	ఆచారం	ప్రతి చోటుకూ తన సొంత ఆచారాలు ఉంటాయి.
风险	ప్రమాదం	పెట్టుబడిలో కొంత ప్రమాదం ఉంటుంది.
讽刺	వ్యంగ్యంగా విమర్శించడం	ఈ వ్యాసం సామాజిక సమస్యలను వ్యంగ్యంగా విమర్శించింది.
否定	తిరస్కరించడం	అతను ఈ వాదనను తిరస్కరించాడు.
否认	నిరాకరించడం	తాను తప్పు చేశానని అతను నిరాకరించాడు.
幅	చిత్రాల లెక్కపదం	గోడపై ఒక చిత్రం వేలాడుతోంది.
扶	ఆధారంగా పట్టుకోవడం	దయచేసి వృద్ధుడిని రోడ్డు దాటడానికి ఆధారంగా పట్టుకోండి.
服装	దుస్తులు	ఈ దుకాణం పిల్లల దుస్తులు అమ్ముతుంది.
辅导	బోధనలో సహాయం చేయడం	ఉపాధ్యాయుడు తరగతి తర్వాత విద్యార్థులకు బోధనలో సహాయం చేస్తాడు.
复制	ప్రతి చేయడం	దయచేసి ఈ పత్రాన్ని ప్రతి చేయండి.
妇女	మహిళ	ఈ ఆసుపత్రి మహిళలకు సేవలు అందిస్తుంది.
改革	సంస్కరణ	పాఠశాల బోధన సంస్కరణను అమలు చేస్తోంది.
改进	మెరుగుపరచడం	మనం సేవా నాణ్యతను మెరుగుపరచాలి.
改善	మెరుగుపరచడం	వ్యాయామం నిద్రను మెరుగుపరచగలదు.
改正	సరిదిద్దడం	దయచేసి తప్పులను వెంటనే సరిదిద్దండి.
概括	సంక్షిప్తంగా చెప్పడం	దయచేసి వ్యాసంలోని విషయాన్ని సంక్షిప్తంగా చెప్పండి.
概念	భావన	ఈ భావన అంత సులభంగా అర్థం కాదు.
盖	మూత పెట్టడం	దయచేసి కప్పుకు బాగా మూత పెట్టండి.
干脆	అయితే మంచిది	నువ్వు ఈ రోజు వెళ్లకపోతే మంచిది.
