source_headword	FI	example_FI
register	rekisteröityä	Rekisteröidy ennen konferenssia.
regret	katua	Kadun aiempaa päätöstäni.
regulation	sääntö	Uusi sääntö koskee kaikkia kuljettajia.
relatively	suhteellisen	Koe oli suhteellisen helppo.
relevant	olennainen	Valitse vain olennaiset yksityiskohdat.
relief	helpotus	Uutinen toi suuren helpotuksen.
rely	luottaa	Lapset luottavat aikuisten tukeen.
remark	huomautus	Hänen huomautuksensa lopetti keskustelun.
representative	edustaja	Edustaja tapasi paikallisia työntekijöitä.
reputation	maine	Hotellilla on hyvä maine.
requirement	vaatimus	Kokemus on perusvaatimus.
rescue	pelastaa	He pelastavat ihmisiä tulvista.
reserve	varaus	Varaamme paikkoja vieraille.
resident	asukas	Jokainen asukas sai ilmoituksen.
resist	vastustaa	Yritä vastustaa painetta.
resolve	ratkaista	He ratkaisivat kiistan rauhanomaisesti.
resort	lomakeskus	Saaren lomakeskus avattiin toukokuussa.
retain	säilyttää	Yritys haluaa säilyttää henkilöstönsä.
reveal	paljastaa	Raportti paljastaa totuuden.
revolution	vallankumous	Vallankumous muutti maan.
reward	palkinto	Kova työ ansaitsee palkinnon.
rhythm	rytmi	Kappaleessa on tasainen rytmi.
rid	päästä eroon	Hankkiudu eroon noista vanhoista tiedostoista.
root	juuri	Ongelman juuri on raha.
rub	hieroa	Hiero pintaa liinalla.
rubber	kumi	Kumitiiviste estää vuodot.
rural	maaseudun	Monet maaseudun koulut tarvitsevat tukea.
rush	kiirehtiä	Älä kiirehdi tätä päätöstä.
satellite	satelliitti	Satelliitti lähetti uusia kuvia.
satisfied	tyytyväinen	Asiakas vaikutti tyytyväiseltä.
satisfy	tyydyttää	Vastaus ei tyydyttänyt häntä.
saving	säästö	Energiansäästö vähentää kuukausittaisia kuluja.
scale	laajuus	Vahinkojen laajuus oli valtava.
scheme	ohjelma	Ohjelma auttaa nuoria työntekijöitä.
scream	huutaa	He kuulivat huudon ulkoa.
sector	sektori	Teknologiasektori kasvaa.
secure	varmistaa	Lukitse ovi varmistaaksesi sen.
seek	etsiä	He etsivät neuvoja asiantuntijoilta.
select	valita	Valitse paras vaihtoehto.
selection	valikoima	Kauppa tarjoaa laajan valikoiman.
self	minä	Hän näytti todellisen minänsä.
senior	vanhempi	Vanhempi lääkäri tarkasti potilaan.
sensitive	herkkä	Tämä aihe on erittäin herkkä.
sequence	järjestys	Seuraa vaiheiden järjestystä.
session	istunto	Koulutustilaisuus alkaa keskipäivällä.
settle	sopia	He sopivat riidan nopeasti.
severe	vakava	Myrsky aiheutti vakavia tulvia.
shade	varjo	Istu varjossa.
shadow	varjo	Varjo lipui ikkunan ohi.
shallow	matala	Järvi on tässä matala.
shame	häpeä	Hän tunsi häpeää valehdeltuaan.
shelter	suojapaikka	Koulu tarjosi hätäsuojan.
shock	järkytys	Päätös oli järkytys.
shocked	järkyttynyt	Hän näytti järkyttyneeltä uutisista.
shooting	ammuskelu	Ammuskelu tapahtui aseman lähellä.
shot	laukaus	Voittolaukaus yllätti kaikki.
significant	merkittävä	Löytö oli merkittävä.
significantly	merkittävästi	Kustannukset nousivat merkittävästi viime vuonna.
silence	hiljaisuus	Huoneeseen laskeutui hiljaisuus.
silk	silkki	Mekko oli tehty silkistä.
sincere	vilpitön	Ota vastaan vilpittömät kiitokseni.
slave	orja	Laki vapautti jokaisen orjan.
slide	liukua	Lapsi laski liukumäkeä alas.
slight	lievä	Tuli lievä viivästys.
slip	liukastua	Älä liukastu märällä lattialla.
slope	rinne	Polku seuraa jyrkkää rinnettä.
solar	aurinko-	Talo käyttää aurinkoenergiaa.
somewhat	hieman	Ohjeet olivat hieman hämmentäviä.
soul	sielu	Musiikki kohotti hänen sieluaan.
specialist	asiantuntija	Asiantuntija tutki potilaan.
species	laji	Tämä laji elää jokien lähellä.
spiritual	hengellinen	Hän kuvaili hengellistä kokemusta.
split	jakaa	He jakoivat laskun tasan.
sponsor	sponsoroida	Yritys sponsoroi tapahtumaa.
stable	vakaa	Potilas on vakaa.
stare	tuijottaa	Älä tuijota vieraita.
status	asema	Hänen asemansa muuttui yhdessä yössä.
steady	tasainen	Pidä tasainen vauhti.
steel	teräs	Silta on tehty teräksestä.
steep	jyrkkä	Mäki on jyrkkä.
sticky	tahmea	Lattia tuntuu tahmealta.
stiff	jäykkä	Hänen olkapäänsä tuntui jäykältä.
stock	varasto	Kaupassa ei ole enää varastoa.
stream	puro	Pieni puro ylittää pellon.
stretch	venytellä	Venyttele jalkojasi lennon jälkeen.
strict	tiukka	Koululla on tiukat säännöt.
strike	lakkoilla	Työntekijät saattavat lakkoilla huomenna.
struggle	kamppailla	Monet perheet kamppailevat vuokran kanssa.
submit	palauttaa	Palauta lomake perjantaihin mennessä.
sum	summa	Summa oli odotettua suurempi.
surgery	leikkaus	Leikkaus kesti kaksi tuntia.
surround	ympäröidä	Korkeat puut ympäröivät taloa.
surrounding	ympäröivä	Ympäröivä alue on hiljainen.
suspect	epäillä	Poliisi epäilee paikallista miestä.
swear	kiroilla	Älä kiroile luokassa.
sweep	lakaista	Lakaise lattia ennen vieraiden saapumista.
sympathy	myötätunto	Hän ilmaisi myötätuntoa uhreille.
tale	tarina	Isoäiti kertoi oudon tarinan.
tank	säiliö	Säiliöön mahtuu puhdasta vettä.
tear1	repiä	Älä revi asiakirjaa.
tear2	kyynel	Kyynel vierähti hänen poskelleen.
temporary	tilapäinen	Toimisto on tilapäinen suoja.
therapy	terapia	Fysioterapia auttoi hänen toipumistaan.
threat	uhka	Viesti sisälsi uhkauksen.
threaten	uhata	Myrsky saattaa uhata satoa.
thus	siten	Tie oli suljettu, siten odotimme.
tone	sävy	Hänen sävynsä kuulosti rauhalliselta.
tough	vaikea	Haastattelu oli rankka.
transfer	siirtää	He siirtävät tietoa joka yö.
transform	muuttaa	Uusi käytäntö muuttaa palveluita.
transition	siirtymä	Siirtymä kesti useita kuukausia.
trial	oikeudenkäynti	Oikeudenkäynti alkaa ensi viikolla.
tropical	trooppinen	Trooppiset myrskyt ovat täällä yleisiä.
truly	todella	Arvostan todella apuasi.
trust	luottamus	Luottamuksen rakentaminen vie aikaa.
tune	sävelmä	Bändi soitti iloisen sävelmän.
tunnel	tunneli	Tunneli kulkee joen ali.
ultimately	lopulta	Lopulta suunnitelma onnistui.
unconscious	tajuton	Potilas pysyi tajuttomana.
unexpected	odottamaton	Viivästys oli odottamaton.
unique	ainutlaatuinen	Jokainen malli on ainutlaatuinen.
universe	maailmankaikkeus	Maailmankaikkeus laajenee.
unknown	tuntematon	Nimi pysyy tuntemattomana.
upper	ylempi	Ylempi hylly on tyhjä.
upwards	ylöspäin	Savu nousi ylöspäin.
urban	kaupunki-	Kaupunkialueet tarvitsevat parempaa liikennettä.
urge	kehottaa	Lääkärit kehottavat ihmisiä kuntoilemaan.
vary	vaihdella	Hinnat vaihtelevat alueittain.
vast	laaja	Aavikko kattaa laajan alueen.
venue	tapahtumapaikka	Tapahtumapaikalle mahtuu viisisataa ihmistä.
via	kautta	Lähetä asiakirja sähköpostitse.
victory	voitto	Joukkue juhli voittoaan.
violence	väkivalta	Kaupunki kärsi poliittisesta väkivallasta.
virtual	virtuaalinen	Kokous on virtuaalinen.
vision	visio	Hänen visionsa muovasi yritystä.
visual	visuaalinen	Raportti sisältää visuaalisia esimerkkejä.
vital	elintärkeä	Vesi on elintärkeää elämälle.
vitamin	vitamiini	Appelsiinit sisältävät C-vitamiinia.
volume	äänenvoimakkuus	Laske äänenvoimakkuutta.
wage	palkka	Työläiset vaativat korkeampaa palkkaa.
weakness	heikkous	Suunnitelmassa on yksi heikkous.
wealth	varallisuus	Hänen varallisuutensa tuli kaupankäynnistä.
wealthy	varakas	Varakas perhe rahoitti museota.
whereas	kun taas	Hän pitää teestä, kun taas minä pidän kahvista.
wherever	missä tahansa	Istu missä tahansa tunnet olosi mukavaksi.
whisper	kuiskata	Kuiskaa seremonian aikana.
whom	kenet	Kenet kutsuit?
widely	laajasti	Kirjaa luetaan laajasti.
wildlife	villieläimet	Puisto suojelee paikallisia villieläimiä.
willing	halukas	Hän on halukas auttamaan.
wind2	keriä	Kiedo kaapeli kelan ympärille.
wire	johto	Johto yhdistää kaksi laitetta.
wise	viisas	Se oli viisas valinta.
witness	todistaja	Todistaja kuvaili onnettomuutta.
wound	haava	Puhdista haava huolellisesti.
wrap	kääriä	Kääri lahja paperiin.
zone	vyöhyke	Tämä vyöhyke on suljettu liikenteeltä.
