source_headword	PL	example_PL
intensity	intensywność	Intensywność treningu wzrosła.
intensive	intensywny	Ukończyli intensywny kurs językowy.
intent	zamiar	Jego zamiar był trudny do udowodnienia.
interactive	interaktywny	W muzeum znajdują się interaktywne wystawy.
interface	interfejs	Interfejs jest łatwy w nawigacji.
interfere	ingerować / wtrącać się	Nie wtrącaj się w śledztwo.
interference	zakłócenie / ingerencja	Zakłócenie sygnału przerwało połączenie.
interim	tymczasowy	Raport tymczasowy nadejdzie jutro.
interior	wewnętrzny / wnętrze	Ściany wewnętrzne wymagają malowania.
intermediate	średniozaawansowany	Dołączyła do grupy średniozaawansowanej.
intervene	interweniować	Policja musiała szybko interweniować.
intervention	interwencja	Wczesna interwencja pomogła pacjentowi.
intimate	intymny / kameralny	Zorganizowali kameralną ceremonię rodzinną.
intriguing	intrygujący	Dane ujawniły intrygujący wzorzec.
investigator	śledczy	Śledczy przesłuchał każdego świadka.
invisible	niewidzialny	Gaz jest niewidzialny i niebezpieczny.
invoke	powoływać się na	Prawnik próbował powołać się na precedens.
involvement	zaangażowanie / udział	Jego udział pozostał niejasny.
ironic	ironiczny	Ironiczny komentarz rozbawił wszystkich.
ironically	paradoksalnie / ironicznie	Paradoksalnie, ta trasa zajęła więcej czasu.
irony	ironia	Ironia była dla wszystkich oczywista.
irrelevant	nieistotny	Ten szczegół jest tutaj nieistotny.
isolation	izolacja	Izolacja może zaszkodzić zdrowiu psychicznemu.
judicial	sądowy	Rewizja sądowa rozpoczyna się w poniedziałek.
junction	skrzyżowanie / węzeł	Skręć w lewo na skrzyżowaniu.
jurisdiction	jurysdykcja	Sąd ma ograniczoną jurysdykcję.
just	sprawiedliwy	Sędzia podjął sprawiedliwą decyzję.
justification	uzasadnienie	Potrzebujemy jasnego uzasadnienia wydatków.
kidnap	porwać	Przestępcy próbowali porwać dyplomatę.
kidney	nerka	Funkcja jej nerek uległa poprawie.
kingdom	królestwo	Królestwo powiększyło się pod jego rządami.
lad	chłopak	Młody chłopak niósł torby.
landlord	wynajmujący / właściciel	Wynajmujący naprawił ogrzewanie.
landmark	punkt orientacyjny	Wieża stała się punktem orientacyjnym miasta.
lap	kolana	Dziecko usiadło na jej kolanach.
large-scale	na dużą skalę	Miasto zaplanowało naprawy na dużą skalę.
laser	laser	Laser zmierzył odległość.
latter	ostatni / ten drugi	Ta druga opcja wydaje się bezpieczniejsza.
lawn	trawnik	Dzieci bawiły się na trawniku.
lawsuit	pozew sądowy / proces	Firma zawarła ugodę w procesie sądowym.
layout	układ	Układ strony wygląda bardziej przejrzyście.
leak	wyciek / przeciekać	Wyciek z rury zalał kuchnię.
leap	skok	Sprzedaż zanotowała nagły skok.
legacy	dziedzictwo	Jej dziedzictwo ukształtowało ten uniwersytet.
legendary	legendarny	Legendarny piosenkarz wrócił na scenę.
legislation	prawodawstwo / ustawodawstwo	Nowe ustawodawstwo chroni najemców.
legislative	legislacyjny / ustawodawczy	Komisja ustawodawcza spotkała się dzisiaj.
legislature	legislatura / organ ustawodawczy	Legislatura zatwierdziła budżet.
legitimate	legalny / uzasadniony	Wyrazili uzasadnione obawy.
lengthy	długi / rozwlekły	Długa debata opóźniła głosowanie.
lesbian	lesbijski / lesbijka	Lesbijska aktywistka przemawiała na forum.
lesser	mniejszy	Wybierz mniejsze ryzyko.
lethal	śmiertelny	Ta substancja chemiczna może być śmiertelna.
liable	odpowiedzialny	Kierowcy są odpowiedzialni za szkody.
liberal	liberalny	On popiera liberalną politykę społeczną.
liberation	wyzwolenie	Wyzwolenie zmieniło przyszłość kraju.
liberty	wolność	Prawo chroni wolność osobistą.
license	udzielać licencji	Państwo może licencjonować nowe kliniki.
lifelong	na całe życie / dożywotni	Zawarła tam przyjaźnie na całe życie.
likelihood	prawdopodobieństwo	Prawdopodobieństwo deszczu wzrosło.
limb	kończyna	Kontuzjowana kończyna goiła się powoli.
linear	liniowy	Wykres pokazuje trend liniowy.
line-up	skład / program	W składzie festiwalu znalazły się lokalne zespoły.
linger	utrzymywać się	Zapach może utrzymywać się przez wiele godzin.
listing	ogłoszenie	Ogłoszenie o mieszkaniu wydawało się dokładne.
literacy	umiejętność czytania i pisania	Rozszerzono programy umiejętności czytania i pisania dla dorosłych.
liver	wątroba	Wątroba filtruje szkodliwe substancje.
lobby	lobby	Lobby było zatłoczone po południu.
log	rejestr	System prowadzi codzienny rejestr.
logic	logika	Logika jego argumentacji zawiodła.
long-standing	długotrwały	Rozwiązali długotrwały spór.
long-time	wieloletni	Ona jest wieloletnią wolontariuszką.
loom	wisieć w powietrzu	Ciemne chmury wiszą nad doliną.
loop	pętla	Szlak tworzy pętlę.
loyalty	lojalność	Jego lojalność zrobiła wrażenie na zespole.
machinery	maszyny	Fabryka zainstalowała nowe maszyny.
magical	magiczny	Ogród wyglądał magicznie w nocy.
magistrate	sędzia pokoju	Sędzia pokoju wysłuchał sprawy.
magnetic	magnetyczny	Pole magnetyczne wpłynęło na kompas.
magnitude	ogrom	Ogrom zniszczeń był oczywisty.
mainland	stały ląd	Prom łączy wyspy ze stałym lądem.
mainstream	główny nurt	Pomysł wszedł do polityki głównego nurtu.
maintenance	konserwacja	Regularna konserwacja zapobiega awariom.
mandate	mandat	Prezydent rościł sobie prawo do silnego mandatu.
mandatory	obowiązkowy	Obecność jest obowiązkowa dla stażystów.
manifest	objawiać się	Objawy mogą objawiać się po tygodniach.
manipulate	manipulować	Nie manipuluj wynikami ankiety.
manipulation	manipulacja	Wykryto manipulację danymi.
manuscript	rękopis	Wydawca przyjął jej rękopis.
march	maszerować	Protestujący będą maszerować do centrum.
marginal	marginalny	Zmiana przyniosła marginalne korzyści.
marine	morski	Życie morskie potrzebuje czystej wody.
marketplace	rynek	Rynek internetowy szybko się rozwinął.
mask	maska	Pracownicy muszą nosić maskę.
massacre	masakra	Masakra zszokowała cały region.
mathematical	matematyczny	Model matematyczny przewidział popyt.
mature	dojrzały	Dojrzałe drzewa zapewniają cień.
maximize	maksymalizować	Aktualizacja zmaksymalizuje czas pracy baterii.
meaningful	znaczący	Odbyli znaczącą rozmowę.
meantime	międzyczas	W międzyczasie poczekaj na zewnątrz.
medieval	średniowieczny	Zamek ma średniowieczne mury.
meditation	medytacja	Codzienna medytacja uspokaja jej umysł.
melody	melodia	Melodia utknęła mi w głowie.
memo	notatka służbowa	Notatka służbowa wyjaśniła zasady.
memoir	pamiętnik	Jej pamiętnik opisuje wygnanie w dzieciństwie.
memorial	pomnik	Pomnik upamiętnia miejscowych żołnierzy.
mentor	mentor	Jej mentor przeanalizował propozycję.
merchant	kupiec	Kupiec sprzedawał jedwab i przyprawy.
mercy	litość	Sędzia okazał litość.
mere	zaledwie	Zaledwie jedno spojrzenie ujawniło błąd.
merely	po prostu	Ona po prostu powtórzyła instrukcje.
merge	połączyć się	Dwie firmy się połączą.
merger	fuzja	Fuzja stworzyła większy bank.
merit	wartość	Propozycja ma wyraźną wartość.
methodology	metodologia	Badanie wyjaśnia swoją metodologię.
midst	środek	Pracowali w środku chaosu.
migration	migracja	Migracja sezonowa wpływa na lokalne miejsca pracy.
militant	bojowy	Bojowa grupa odrzuciła negocjacje.
militia	milicja	Milicja kontrolowała drogę.
mill	młyn	Stary młyn stał się muzeum.
minimal	minimalny	Plan wymaga minimalnego wysiłku.
minimize	minimalizować	Musimy zminimalizować niepotrzebne ryzyko.
mining	górnictwo	Górnictwo zniszczyło dolinę rzeki.
ministry	ministerstwo	Ministerstwo ogłosiło nowe zasady.
minute2	drobny	Drobne pęknięcie pojawiło się na szkle.
miracle	cud	Jego powrót do zdrowia wydawał się cudem.
misery	niedola	Uchodźcy znosili lata niedoli.
misleading	mylący	Mylący wykres zdezorientował czytelników.
missile	pocisk	Test pocisku zwiększył napięcia.
mob	tłum	Wściekły tłum zablokował ruch.
mobility	mobilność	Lepsze autobusy poprawiają mobilność miejską.
mobilize	mobilizować	Przywódcy szybko mobilizują ochotników.
moderate	umiarkowany	Kandydat ma umiarkowane poglądy.
modification	modyfikacja	Projekt wymaga jednej modyfikacji.
momentum	rozpęd	Kampania szybko nabrała rozpędu.
monk	mnich	Mnich żył w milczeniu.
monopoly	monopol	Firma posiadała monopol.
morality	moralność	Kurs bada moralność publiczną.
motive	motyw	Policja kwestionowała jego motyw.
motorist	kierowca	Kierowca zatrzymał się na czerwonym świetle.
municipal	miejski	Usługi miejskie poprawiły się w tym roku.
mutual	wzajemny	Osiągnęli wzajemne porozumienie.
namely	mianowicie	Pozostaje jeden problem, mianowicie finansowanie.
nationwide	ogólnokrajowy	Strajk spowodował ogólnokrajowe opóźnienia.
naval	morski	Baza morska została zamknięta w zeszłym roku.
neglect	zaniedbywać	Nie zaniedbuj podstawowego bezpieczeństwa.
neighbouring	sąsiedni	Sąsiednie miasta dzieliły szpital.
nest	gniazdo	Ptak zbudował gniazdo.
net	netto	Zysk netto gwałtownie wzrósł.
newsletter	biuletyn	Biuletyn przychodzi w każdy piątek.
niche	nisza	Firma znalazła zyskowną niszę.
noble	szlachetny	Jej szlachetny gest zaimponował wszystkim.
nod	kiwnąć głową	Proszę kiwnąć głową, jeśli rozumiesz.
nominate	nominować	Oni nominują nowego przewodniczącego.
nomination	nominacja	Jej nominacja zaskoczyła komisję.
nominee	nominowany	Nominowany odpowiedział na trudne pytania.
nonetheless	niemniej jednak	Niemniej jednak plan posunął się do przodu.
non-profit	non-profit	Ona pracuje w klinice non-profit.
nonsense	bzdura	Ta plotka to kompletna bzdura.
noon	południe	Spotkanie zaczyna się w południe.
notable	znaczący	W raporcie odnotowano znaczący postęp.
notably	znacząco	Koszty znacząco spadły w maju.
notify	powiadomić	Proszę powiadomić personel przed wyjściem.
notorious	cieszący się złą sławą	Droga cieszy się złą sławą z powodu wypadków.
novel	nowatorski	Zaproponowali nowatorskie rozwiązanie.
nursery	żłobek	Żłobek opiekuje się niemowlętami.
objection	sprzeciw	Prawnik zgłosił sprzeciw.
oblige	zobowiązywać	Przepisy zobowiązują kierowców do zatrzymania się.
obsess	mieć obsesję	Nie miej obsesji na punkcie małych błędów.
obsession	obsesja	Jego obsesja zaszkodziła jego pracy.
occasional	sporadyczny	Spodziewane są sporadyczne opóźnienia.
occurrence	zdarzenie	Takie zdarzenie jest rzadkie.
odds	szanse	Szanse na sukces wzrosły.
offering	oferta	Uniwersytet rozszerzył swoją ofertę.
offspring	potomstwo	Lis chronił swoje potomstwo.
operational	działający	Nowy system jest już działający.
opt	wybierać	Wielu uczniów wybiera zajęcia online.
optical	optyczny	Soczewka optyczna wymaga czyszczenia.
optimism	optymizm	Optymizm powrócił po ogłoszeniu.
oral	ustny	Egzamin ustny zaczyna się jutro.
organizational	organizacyjny	Zmiany organizacyjne rozpoczęły się natychmiast.
orientation	szkolenie wstępne	Warsztaty obejmowały szkolenie wstępne pracowników.
originate	wywodzić się	Wiele tradycji wywodzi się z wiejskich wiosek.
outbreak	wybuch	Wybuch epidemii rozprzestrzenił się na całe miasto.
outing	wycieczka	Klasa cieszyła się wycieczką do muzeum.
outlet	punkt sprzedaży	Punkt sprzedaży oferuje odzież ze zniżką.
outlook	perspektywa	Perspektywa gospodarcza pozostaje niepewna.
outrage	oburzenie	Decyzja wywołała publiczne oburzenie.
outsider	osoba z zewnątrz	Jako osoba z zewnątrz, zauważyła problemy.
overlook	przeoczyć	Nie przeocz drobnych szczegółów.
overly	zbytnio	Instrukcje były zbytnio skomplikowane.
oversee	nadzorować	Ona będzie nadzorować projekt.
overturn	unieważnić	Sąd może unieważnić to orzeczenie.
overwhelm	przytłaczać	Zbyt duża ilość informacji może przytłoczyć uczniów.
overwhelming	przytłaczający	Dowody były przytłaczające.
pad	ochraniacz	Użyj ochraniacza, aby chronić kolana.
parameter	parametr	Dostosuj jeden parametr naraz.
parental	rodzicielski	Wsparcie rodzicielskie poprawiło frekwencję.
parish	parafia	Parafia zorganizowała obiad charytatywny.
parliamentary	parlamentarny	Debata parlamentarna trwała godzinami.
partial	częściowy	Raport dał częściową odpowiedź.
partially	częściowo	Okno było częściowo otwarte.
passing	odejście	Jej odejście było nagłe.
passive	pasywny	Pasywni inwestorzy zaakceptowali stałe zyski.
pastor	pastor	Pastor odwiedził rodzinę.
patch	łata	Kurtka potrzebuje małej łaty.
patent	patent	Firma złożyła wniosek o patent.
pathway	ścieżka	Ścieżka prowadzi do certyfikacji.
patrol	patrolować	Policja patroluje okolicę w nocy.
patron	mecenas	Muzeum podziękowało swojemu mecenasowi.
peak	szczyt	Popyt osiągnął zimowy szczyt.
peasant	chłop	Chłop posiadał niewiele ziemi.
peculiar	dziwny	Pokój miał dziwny zapach.
persist	utrzymywać się	Objawy mogą utrzymywać się przez kilka dni.
persistent	uporczywy	Uporczywy kaszel wymaga uwagi.
personnel	personel	Akta personelu są poufne.
petition	petycja	Petycja zebrała tysiące podpisów.
philosopher	filozof	Filozof kwestionował powszechne założenia.
philosophical	filozoficzny	Dyskusja stała się filozoficzna.
physician	lekarz	Lekarz zlecił badania krwi.
pioneer	pionier	Została pionierem w medycynie.
pipeline	rurociąg	Rurociąg przesyła gaz pod ziemią.
pirate	pirat	Statek piratów pojawił się na morzu.
pit	dół	Robotnicy wykopali głęboki dół.
plea	błaganie	Jego błaganie o pomoc zostało zignorowane.
plead	przyznać się	Podejrzany przyzna się do winy.
pledge	obiecać	Oni obiecują wsparcie dla reform.
plug	podłączyć	Podłącz kabel do gniazdka.
plunge	gwałtownie spaść	Ceny mogą gwałtownie spaść po skandalu.
pole	słup	Flaga wisiała na słupie.
poll	sondaż	Sondaż pokazał zmieniające się opinie.
pond	staw	Kaczki przeszły przez zamarznięty staw.
pop	pęknąć	Balony pękają w pobliżu ostrych przedmiotów.
portfolio	portfolio	Jej portfolio obejmuje kilka startupów.
portray	ukazywać	Film przedstawi życie na wsi.
postpone	przełożyć	Zdecydowali się przełożyć przesłuchanie.
post-war	powojenny	Powojenne budownictwo było pilnie potrzebne.
practitioner	praktyk	Praktyk wyjaśnił leczenie.
preach	głosić	Pastor będzie głosić kazanie w niedzielę.
precedent	precedens	Wyrok ten ustanowił ważny precedens.
precision	precyzja	Maszyna tnie z precyzją.
predator	drapieżnik	Drapieżnik czekał w pobliżu rzeki.
predecessor	poprzednik	Jej poprzednik zostawił szczegółowe notatki.
predominantly	w przeważającej mierze	Okolica jest w przeważającej mierze mieszkalna.
pregnancy	ciąża	Ciąża wymaga regularnej opieki medycznej.
prejudice	uprzedzenie	Kampania kwestionowała uprzedzenia rasowe.
preliminary	wstępny	Wstępne wyniki wyglądają obiecująco.
premier	premier	Premier przemówił dziś w parlamencie.
premise	przesłanka	Argument opiera się na fałszywej przesłance.
premium	dopłata	Klienci płacili dopłatę za prędkość.
prescribe	przepisywać	Lekarze ostrożnie przepisują antybiotyki.
prescription	recepta	Recepta traci ważność w przyszłym miesiącu.
presently	obecnie	Ona jest obecnie niedostępna.
preservation	ochrona	Ochrona zabezpiecza historyczne budynki.
preside	przewodniczyć	Sędzia będzie przewodniczyć rozprawie.
presidency	prezydentura	Jego prezydentura trwała osiem lat.
presidential	prezydencki	Wybory prezydenckie przyciągnęły uwagę.
prestigious	prestiżowy	Zdobyła prestiżowe stypendium.
presumably	przypuszczalnie	Biuro jest przypuszczalnie dzisiaj zamknięte.
presume	zakładać	Zakładamy, że dokumenty są autentyczne.
prevail	przeważyć	Zdrowy rozsądek powinien przeważyć.
prevalence	występowanie	Występowanie astmy wzrosło.
prevention	zapobieganie	Zapobieganie jest tańsze niż naprawa.
