source_headword	TL	example_TL
badly	nang masama; nang hindi maayos	Hindi siya naglaro nang maayos ngayon.
bar	bar	Nagkita kami sa bar ng hotel.
baseball	baseball	Sikat dito ang baseball.
based	batay sa	Batay sa libro ang pelikula.
basketball	basketball	Naglalaro kami ng basketball pagkatapos ng klase.
bean	beans; sitaw	Berde ang beans na ito.
bear (animal)	oso	Nakatira ang oso sa gubat.
beat	talunin; pumalo	Kaya ng koponan namin silang talunin.
beef	karne ng baka	Kumain ako ng karne ng baka sa hapunan.
behave	umayos; kumilos nang maayos	Umayos ka sa klase.
behaviour	ugali; asal	Magalang ang ugali niya.
belong	pag-aari; nabibilang	Pag-aari ko ang sapatos na ito.
belt	sinturon	Itim ang sinturon niya.
benefit	benepisyo; pakinabang	May tunay na benepisyo ang ehersisyo.
billion	bilyon	Napakalaking bilang ang isang bilyon.
bin	basurahan	Ilagay ang papel sa basurahan.
biology	biology; biyolohiya	Pinakamahusay kong klase ang biyolohiya.
birth	kapanganakan	Noong Mayo ang kapanganakan niya.
biscuit	biskwit	Kumakain siya ng biskwit.
bit	kaunti; piraso	Kailangan ko ng kaunti pang oras.
blank	blangko; patlang	Isulat ang pangalan mo sa patlang.
blood	dugo	Pula ang dugo.
blow	umihip; hipan	Maaaring umihip nang malakas ang hangin.
board	pisara; board	Isulat ito sa pisara.
boil	pakuluan; kumulo	Pakuluan muna ang tubig.
bone	buto	May buto ang aso.
borrow	humiram	Puwede ko bang hiramin ang panulat mo?
boss	amo; boss	Mabait ang amo ko.
bottom	ibaba; ilalim	Pumirma sa ibaba.
bowl	mangkok	Puno ang mangkok.
brain	utak	Kailangan ng utak mo ng pahinga.
bridge	tulay	Luma ang tulay.
bright	maliwanag	Maliwanag ang kuwarto.
brilliant	napakahusay; makinang	Napakahusay ng ideyang iyon.
broken	sira	Sira ang upuan.
brush	magsipilyo; brush	Magsipilyo ka na ngayon.
burn	masunog; sunugin	Huwag sunugin ang tinapay.
businessman	negosyante	Maagang dumating ang negosyante.
button	buton; pindutan	Pindutin ang pulang buton.
camp	kampo; magkampo	Nagkakampo kami malapit sa lawa.
camping	pagkakamping	Masaya ang camping sa tag-init.
can2	lata	Buksan nang maingat ang lata.
care	pangangalaga; alagaan	Alagaan mo ang kalusugan mo.
careful	maingat	Maging maingat sa hagdan.
carefully	nang maingat	Basahin nang maingat ang tanong.
carpet	karpet	Malambot ang karpet.
cartoon	cartoon; kartun	Nakakatawa ang cartoon na ito.
case	lalagyan; kaso	Ilagay ito sa lalagyan.
cash	cash; pera	Nagbayad ako ng cash.
castle	kastilyo	Napakatanda ng kastilyo.
catch	saluhin; mahuli	Saluhin mo na ang bola.
cause	dahilan; magdulot	Maaaring magdulot ng problema ang ulan.
celebrate	ipagdiwang	Ipinagdiriwang namin ang kaarawan ko.
celebrity	sikat na tao; celebrity	Napakabait ng sikat na tao.
certain	sigurado	Sigurado ako tungkol dito.
certainly	tiyak; siyempre	Tiyak na tutulong ako.
chance	pagkakataon	May pagkakataon ka.
character	tauhan; karakter	Matapang ang tauhang ito.
charity	kawanggawa; charity	Tumutulong ang charity sa mga bata.
chat	makipag-usap; chat	Nag-uusap kami pagkatapos ng klase.
chef	chef; punong tagaluto	Gumawa ng sopas ang chef.
chemistry	chemistry; kimika	Mahirap para sa akin ang kimika.
chip	chips; piraso	Maalat ang chips na ito.
choice	pagpipilian; pagpili	Mahalaga ang pagpiling ito.
church	simbahan	Malapit dito ang simbahan.
cigarette	sigarilyo	Masama sa kalusugan ang sigarilyo.
circle	bilog; bilugan	Gumuhit ng bilog dito.
classical	klasikal	Nasisiyahan ako sa klasikal na musika.
clear	malinaw; linisin	Malinaw ang sagot.
clearly	nang malinaw	Magsalita nang malinaw, pakiusap.
clever	matalino	Matalinong bata siya.
climate	klima	Nagbabago ang klima.
close2	malapit	Malapit sa bahay ang paaralan ko.
closed	sarado	Sarado ang tindahan.
clothing	damit	Kapaki-pakinabang ang mainit na damit.
cloud	ulap	Tinatakpan ng ulap ang araw.
coach	coach; tagapagsanay	Tinulungan ng coach ang koponan.
coast	baybayin	Nagmaneho kami sa baybayin.
code	code; kodigo	Ilagay ang code dito.
colleague	kasamahan sa trabaho	Tumawag sa akin ang kasamahan ko sa trabaho.
collect	mangolekta	Nangongolekta ako ng lumang kard.
column	hanay; column	Basahin ang unang hanay.
comedy	komedya	Nakakatawa ang komedyang ito.
comfortable	komportable	Komportable ang upuang ito.
comment	komento; magkomento	Mag-iwan ng komento sa ibaba.
communicate	makipag-ugnayan	Nakikipag-ugnayan kami sa email.
community	komunidad	Palakaibigan ang komunidad namin.
compete	makipagkumpitensya	Nakikipagkumpitensya sila taon-taon.
competition	paligsahan; kompetisyon	Magsisimula bukas ang paligsahan.
complain	magreklamo	Huwag ka nang magreklamo muli.
completely	ganap; lubos	Lubos akong sumasang-ayon sa iyo.
condition	kalagayan; kondisyon	Nasa mabuting kondisyon ang kotse.
conference	kumperensiya	Magsisimula ang kumperensiya sa alas siyam.
connect	ikonekta; pagdugtungin	Ikonekta ang telepono sa kompyuter.
connected	magkaugnay; konektado	Magkaugnay ang dalawang ideya.
consider	isaalang-alang	Isaalang-alang mo ang ideya ko.
contain	maglaman	Naglalaman ng mga libro ang kahong ito.
context	konteksto	Nakakatulong ang konteksto para maintindihan mo.
continent	kontinente	Napakalaki ng isang kontinente.
continue	ipagpatuloy	Ipagpatuloy ang pagbabasa, pakiusap.
control	kontrol; kontrolin	Kontrolin nang maingat ang bilis.
cooker	kalan; lutuan	Malinis ang kalan.
copy	kopya; kopyahin	Gumawa ng kopya para sa akin.
corner	sulok	Umupo sa sulok.
correctly	nang tama	Isulat nang tama ang sagot.
count	bilangin; bilang	Bilangin ang mga libro.
couple	mag-asawa; pares	Maagang dumating ang mag-asawa.
cover	takpan; takip	Takpan ang mangkok.
crazy	baliw; kakaiba	Mukhang baliw ang ideyang ito.
creative	malikhain	May malikhain siyang ideya.
credit	credit; utang	Nagbayad ako gamit ang credit card.
crime	krimen	Seryosong problema ang krimen.
criminal	kriminal	Mabilis na umalis ang kriminal.
cross	tumawid; krus	Tumawid nang maingat sa kalsada.
crowd	maraming tao; pulutong	Naghintay sa labas ang maraming tao.
crowded	masikip; matao	Masikip ang tren.
cry	umiyak	Huwag kang umiyak ngayon.
cupboard	aparador; kabinet	Nasa aparador ang mga tasa.
curly	kulot	Kulot ang buhok niya.
cycle	magbisikleta; bisikleta	Nagbibisikleta ako papuntang paaralan.
daily	araw-araw	Nagbabasa ako ng balita araw-araw.
danger	panganib	Nagpapakita ng panganib ang karatula.
data	datos	Kapaki-pakinabang ang datos.
dead	patay	Patay na ang halaman.
deal	deal; kasunduan	Magandang deal ito.
death	kamatayan	Mahirap na paksa ang kamatayan.
decision	desisyon	Gumawa ng desisyon ngayon.
deep	malalim	Malalim ang tubig.
definitely	tiyak	Tiyak na gusto ko ng tsaa.
degree	degree; digri	Ang degree ko ay sa kasaysayan.
dentist	dentista	Tiningnan ng dentista ang mga ngipin ko.
department	departamento	Nasa itaas ang departamento ng sapatos.
depend	depende	Depende ito sa panahon.
desert	disyerto	Napakatuyo ng disyerto.
designer	designer; tagadisenyo	Ginawa ng designer ang damit na ito.
destroy	sirain	Huwag sirain ang file.
detective	detective; imbestigador	Nahanap ng detective ang susi.
develop	bumuo; mag-develop	Gumagawa sila ng bagong app.
device	device; kagamitan	Kapaki-pakinabang ang device na ito.
diary	talaarawan	Nagsusulat siya sa talaarawan niya.
differently	sa ibang paraan	Ginagawa namin ito sa ibang paraan.
digital	digital	Digital camera ito.
direct	direkta; tuwiran	Sumakay ka ng direktang tren.
direction	direksyon; direksiyon	Maglakad sa direksyong ito.
director	direktor	Nagustuhan ng direktor ang pelikula.
disagree	hindi sumang-ayon	Hindi ako sang-ayon sa ideyang iyon.
disappear	mawala	Mawawala ang araw maya-maya.
disaster	sakuna	Isang sakuna ang bagyo.
discover	makatuklas	Nakatuklas sila ng bagong isla.
discovery	pagkatuklas; tuklas	Binago ng tuklas ang agham.
discussion	talakayan	Maagang natapos ang talakayan.
disease	sakit	Seryoso ang sakit na ito.
distance	distansya	Maikli ang distansya.
divorced	diborsiyado; hiwalay	Hiwalay na ang mga magulang niya.
document	dokumento	I-save ang dokumentong ito ngayon.
double	doble	Kailangan ko ng dobleng kuwarto.
download	i-download	I-download ang app ngayon.
drama	dula; drama	Magsisimula ang drama ngayong gabi.
drawing	guhit; drawing	Maganda ang guhit niya.
dream	panaginip; mangarap	May kakaibang panaginip ako.
driving	pagmamaneho	Mahirap ang pagmamaneho sa gabi.
drop	ihulog; bumagsak	Huwag ihulog ang baso.
drug	gamot; droga	Nakatulong sa kanya ang gamot.
dry	tuyo	Tuyo ang tuwalya.
earn	kumita	Kumikita ako ng pera sa trabaho.
earth	mundo; daigdig	Bilog ang mundo.
easily	nang madali	Madali siyang matuto.
education	edukasyon	Mahalaga ang edukasyon.
effect	epekto	Malinaw ang epekto.
either	alinman; kahit alin	Maayos ang alinmang sagot.
electric	de-kuryente; electric	De-kuryente ang kotseng ito.
electrical	elektrikal	Ligtas ang sistemang elektrikal.
electricity	kuryente	Mahal ang kuryente dito.
electronic	elektroniko	Gumagana ang elektronikong tiket na ito.
employ	kumuha ng empleyado; mag-empleyo	Kumukuha sila ng limang tao.
employee	empleyado	Masipag ang empleyado.
employer	amo; employer	Patas ang amo ko.
empty	walang laman	Walang laman ang kuwarto.
ending	wakas; katapusan	Nakakagulat ang wakas.
energy	enerhiya	Wala akong enerhiya ngayon.
engine	makina	Maingay ang makina.
engineer	inhinyero	Inayos ng inhinyero ang tulay.
enormous	napakalaki	Napakalaki ng gusali.
enter	pumasok	Pumasok sa kuwarto nang tahimik.
environment	kapaligiran	Protektahan ang kapaligiran.
equipment	kagamitan	Mahal ang kagamitang ito.
error	error; pagkakamali	Nakakita ako ng error.
especially	lalo na	Lalo kong gusto ang kantang ito.
essay	sanaysay	Sumulat ng sanaysay ngayong gabi.
everyday	pang-araw-araw	Pang-araw-araw na Ingles ito.
everywhere	kahit saan; saanman	Tumutubo ang mga bulaklak kahit saan.
evidence	ebidensiya	Malinaw ang ebidensiya.
exact	eksakto	Ibigay ang eksaktong bilang.
exactly	eksakto	Eksaktong tama iyon.
excellent	napakahusay	Napakahusay ng trabaho mo.
except	maliban sa	Dumating ang lahat maliban sa akin.
exist	umiral; mayroon	Umiiral ba ang address na ito?
expect	asahan	Inaasahan kong uulan bukas.
experience	karanasan	May karanasan ako sa mga bata.
experiment	eksperimento	Naging maayos ang eksperimento.
expert	eksperto	Humingi ng tulong sa eksperto.
explanation	paliwanag	Malinaw ang paliwanag niya.
express	ipahayag	Pakiusap, ipahayag mo ang opinyon mo.
expression	ekspresyon; pahayag	Karaniwan ang ekspresyong ito.
extreme	matindi; sukdulan	Matindi ang init.
extremely	napaka; lubhang	Napakalamig nito.
factor	salik	Isang salik ang gastos.
factory	pabrika	Nagsasara ang pabrika sa alas singko.
fail	mabigo; bumagsak	Hindi ako bumagsak.
fair	patas; makatarungan	Patas ang presyo.
fan	bentilador; tagahanga	Buksan ang bentilador.
farming	pagsasaka	Mahirap na trabaho ang pagsasaka.
fashion	moda	Nagbabago ang moda taon-taon.
fear	takot	Maaaring pigilan ng takot ang mga tao.
feature	katangian; feature	May kapaki-pakinabang na feature ang teleponong ito.
feed	pakainin	Pakainin ang pusa ngayon.
female	babae; pambabae	Nanalo ang babaeng atleta.
fiction	kathang-isip	Nagbabasa siya ng kathang-isip sa gabi.
field	bukid; larangan	Berde ang bukid.
fight	makipaglaban; away	Masyado silang nag-aaway.
figure	pigura; larawan	Tingnan ang pigura.
finally	sa wakas	Sa wakas, nakarating kami sa bahay.
finger	daliri	Masakit ang daliri ko.
firstly	una	Una, basahin ang tanong.
fishing	pangingisda	Sikat dito ang pangingisda.
fit	kasya; angkop	Kasya nang maayos ang sapatos na ito.
fix	ayusin	Ayusin ang sirang upuan.
flu	trangkaso	May trangkaso ako.
flying	paglipad	Mabilis ang paglipad.
focus	magpokus; pokus	Magpokus sa gawaing ito.
following	sumusunod	Basahin ang sumusunod na pangungusap.
foreign	dayuhan; banyaga	Nagsasalita siya ng banyagang wika.
forest	gubat	Tahimik ang gubat.
fork	tinidor	Gumamit ng tinidor.
formal	pormal	Pormal ang liham na ito.
fortunately	sa kabutihang-palad	Sa kabutihang-palad, walang nasaktan.
forward	pasulong	Dahan-dahang umusad pasulong.
fresh	sariwa	Sariwa ang tinapay.
