simplified	HU	example_HU
标记	jel	Kérlek, tegyél jeleket a fontos bekezdések mellé.
标题	cím	Ennek a cikknek nagyon vonzó a címe.
表决	szavazni	A képviselők szavazni fognak a javaslatról.
表态	állást foglalni	Még nem foglalt nyilvánosan állást.
表彰	megdicsérni	A cég megdicsérte a kiváló alkalmazottakat.
憋	visszatartani	Visszatartotta a nevetését, és nem szólt semmit.
别墅	villa	Vettek egy villát a külvárosban.
别致	egyedi	Ennek a kávézónak a berendezése nagyon egyedi.
别扭	furcsa	Ez a mondat kissé furcsán hangzik.
濒临	a szélén áll	Ez az állat a kihalás szélén áll.
冰雹	jégeső	Tegnap délután erős jégeső volt.
丙	C csoport	A C csoport mérkőzése délután kezdődik.
并非	nem igazán	A dolgok nem olyanok, amilyennek képzeled.
并列	holtversenyben áll	Ez a két projekt holtversenyben az első helyen áll.
剥削	kizsákmányolás	A régi társadalomban súlyos kizsákmányolás létezett.
拨	tárcsázni	Kérlek, tárcsázd ezt a telefonszámot.
播种	magot vetni	A gazdák tavasszal kezdik el vetni a magokat.
波浪	hullám	Hatalmas hullámok emelkedtek a tengeren.
波涛	hullámverés	A csónak a hullámverésben haladt előre.
伯母	nagynéni	A hétvégén meglátogatom a nagynénémet.
博大精深	széles és mély	A kínai kultúra széles és mély.
博览会	kiállítás	A nemzetközi kiállítás sok vállalatot vonzott.
搏斗	harcolni	A rendőrök harcoltak a bűnözővel.
薄弱	gyenge	A nyelvtani alapja viszonylag gyenge.
不顾	tekintet nélkül	A veszélyre tekintet nélkül berohant.
不愧	méltó valamire	Valóban méltó arra, hogy tapasztalt szakértőnek nevezzék.
不料	váratlanul	Váratlanul hirtelen lemondták az értekezletet.
不像话	felháborító	Felháborító, hogy így bánsz a vendégekkel.
不屑一顾	megvetéssel elutasítani	Megvetéssel utasította el ezeket a pletykákat.
哺乳	szoptatni	Az anya szoptatja a csecsemőt.
捕捉	elkapni	A fotós elkapott egy csodálatos pillanatot.
补偿	kártalanítani	A cég kártalanítani fog a veszteségedért.
补救	orvosolni	Még van időnk orvosolni.
补贴	támogatás	A kormány támogatást ad az alacsony jövedelmű családoknak.
不得已	nincs más választása	Csak azért hagyta el a szülővárosát, mert nem volt más választása.
不妨	akár	Akár előbb meghallgathatod a magyarázatát.
不敢当	nem érdemlem meg	Tényleg nem érdemlem meg az ilyen dicséretet.
不禁	nem tudja megállni	A hír hallatán nem tudta megállni, hogy ne nevessen.
不堪	elviselhetetlen	Az itteni zaj elviselhetetlen.
不可思议	hihetetlen	Ez az eredmény valóban hihetetlen.
不免	elkerülhetetlen	Először a színpadon elkerülhetetlenül kissé ideges volt.
不时	időről időre	Időről időre felnézett az órára.
不惜	nem habozik	Hogy megmentsen valakit, nem habozott kockázatot vállalni.
不相上下	egyformán erős	A két csapat egyformán erős.
不言而喻	magától értetődő	Az őszinteség fontossága magától értetődő.
不由得	önkéntelenül	A régi fényképet látva önkéntelenül a gyerekkoromra gondoltam.
不择手段	gátlástalanul	Gátlástalanul használ bármilyen eszközt a pénzszerzéshez.
不止	több mint	Több mint száz ember vett részt az értekezleten.
布告	hirdetmény	Hirdetményt tettek ki az iskola kapujánál.
布局	elrendezés	Ennek a lakásnak nagyon ésszerű az elrendezése.
布置	kiosztani	A tanár új házi feladatot osztott ki.
步伐	lépés	A csapat rendezett léptekkel haladt előre.
部署	bevezetni	A cég új értékesítési tervet vezet be.
部位	terület	Az orvos megvizsgálta a sérült területet.
才干	tehetség	Nagyon tehetséges a vezetésben.
裁缝	szabó	Ez a szabó nagyon ügyes.
裁判	játékvezető	A játékvezető bejelentette, hogy a mérkőzést szüneteltetik.
裁员	leépíteni	A cég veszteségek miatt leépítés mellett döntött.
财富	vagyon	A tudás is egyfajta vagyon.
财务	pénzügy	A pénzügyi osztály ellenőrzi a számlákat.
财政	költségvetés	Az állami bevételek idén valamelyest növekedtek.
彩票	lottószelvény	Időnként vesz egy lottószelvényt.
采购	beszerezni	A cég valakit küldött berendezések beszerzésére.
采集	gyűjteni	A kutatók mintákat gyűjtöttek az erdőben.
采纳	elfogadni	A vezető elfogadta a javaslatunkat.
参谋	tanácsot adni	Gyakran ad tanácsot a menedzsernek.
参照	hivatkozni	Kérlek, e formátum alapján töltsd ki az űrlapot.
残疾	fogyatékkal élő	Ez az állomás segítséget nyújt a fogyatékkal élő utasoknak.
残酷	kegyetlen	A háború nagyon kegyetlen.
残留	megmaradni	A csészében még megmaradt a kávé illata.
残忍	kegyetlen	Az állatok bántalmazása kegyetlen viselkedés.
灿烂	ragyogó	Ragyogó mosolyt mutatott.
仓促	elhamarkodott	Ezt a döntést túl elhamarkodottan hozták meg.
仓库	raktár	Az árukat már a raktárba szállították.
舱	kabin	Az utasok belépnek a kabinba.
苍白	sápadt	Az arca nagyon sápadtnak tűnt.
操劳	fáradozni	Anya sok éven át fáradozott ezért a családért.
操练	gyakorlatozni	A katonák minden reggel gyakorlatoznak.
操纵	irányítani	Ezt a gépet számítógép irányítja.
操作	kezelni	Kérjük, az útmutató szerint kezelje a berendezést.
嘈杂	zajos	Az állomáson nagyon zajos volt.
草案	tervezet	A bizottság éppen a tervezetet vitatja meg.
草率	elhamarkodott	Ilyen fontos döntést nem szabad elhamarkodottan meghozni.
侧面	oldal	Oldalról nézve ez az épület magasabbnak látszik.
测量	mérni	A mérnök a híd hosszát méri.
策划	megtervezni	Egy nagy rendezvényt terveztek meg.
策略	stratégia	Ez a stratégia segített a vállalatnak csökkenteni a költségeket.
层出不穷	egymás után felmerülni	Az új problémák egymás után merülnek fel.
层次	szerkezet	Ennek a cikknek nagyon világos a szerkezete.
差别	különbség	A két módszer között nincs nagy különbség.
插座	konnektor	Ebben a szobában nincs elég konnektor.
查获	lefoglalni	A vámhatóság lefoglalt egy adag hamis árut.
刹那	pillanat	Egy pillanat alatt minden lámpa kialudt.
岔	elágazás	Az autók az előttük lévő elágazásnál különváltak.
诧异	meglepett	A döntése mindenkit nagyon meglepett.
柴油	dízelolaj	Ez a teherautó dízelolajat használ.
搀	karjánál támogatni	A nővér a karjánál támogatva vezette be az idős embert a kórterembe.
缠绕	köré tekeredni	A kúszónövények az ágak köré tekerednek.
馋	sóvárogni	A tortát látva a gyerek egy kicsit sóvárogni kezdett.
产业	iparág	A turizmus itt fontos iparág.
阐述	kifejteni	A professzor részletesen kifejtette az álláspontját.
颤抖	reszketni	Annyira fázott, hogy egész testében reszketett.
昌盛	virágzó	Reméljük, hogy az ország virágzó és erős lesz.
偿还	visszafizetni	Időben visszafizette a kölcsönt.
尝试	kipróbálni	Kipróbálhatunk egy új módszert.
场合	alkalom	Ezen az alkalmon nem illik viccelődni.
场面	jelenet	Az esküvő jelenete nagyon élénk volt.
场所	hely	Ez nyilvános hely, kérjük, ne dohányozzon.
敞开	tárva hagyni	Kérlek, hagyd tárva az ablakot egy kis ideig.
倡导	szorgalmazni	Az iskola az egészséges életmódot szorgalmazza.
倡议	kezdeményezés	Ez a környezetvédelmi kezdeményezés támogatást kapott.
畅通	akadálytalan	Az eső elállta után az út újra akadálytalan lett.
畅销	jól fogy	Ez a regény nagyon jól fogy.
超越	túlszárnyalni	Végre túlszárnyalta a saját rekordját.
钞票	bankjegy	Csak néhány bankjegy maradt a pénztárcában.
嘲笑	kigúnyolni	Ne gúnyold ki mások hiányosságait.
巢穴	odú	A vadász felfedezte az állat odúját.
朝代	dinasztia	A Tang-kor egy dinasztia Kína történelmében.
潮流	trend	A fiatalok nagyon figyelik a divattrendeket.
撤退	visszavonulni	A csapatok a parancs után visszavonultak.
撤销	visszavonni	A bíróság visszavonta az eredeti ítéletet.
沉淀	leülepedni	Az iszap lassan leülepszik.
沉闷	nyomasztó	Ma forró és nyomasztó az idő.
沉思	elmerengeni	Az ablak mellett ülve elmerengt.
沉重	nehéz	Ez a hír mindenkinek nehézzé tette a szívét.
沉着	nyugodt	Veszély esetén nyugodtnak kell maradni.
陈旧	elavult	Ez a gép már nagyon elavult.
陈列	kiállítani	A kiállítóteremben sok kulturális emléket állítottak ki.
陈述	elmondani	Kérlek, világosan mondd el a tényeket.
称心如意	kedvére való	Ez a munka nagyon kedvére való.
衬托	kiemelni	A fehér fal kiemeli a virágok színét.
称号	cím	Megkapta a kiváló tanár címet.
乘	utazni	Mindennap metróval utazom munkába.
呈现	felvenni	Az ég halvány vörös színt vett fel.
城堡	vár	A hegy tetején egy régi vár áll.
惩罚	megbüntetni	Az iskola megbünteti a csaló diákokat.
成本	költség	A nyersanyagárak emelkedése növelte a költséget.
成交	üzletet kötni	Ez az üzlet végre megköttetett.
成天	egész nap	Egész nap a számítógép előtt ül.
成效	eredmény	Az új vezetési módszer hamar eredményt hozott.
成心	szándékosan	Nem szándékosan hozott kellemetlen helyzetbe.
成员	tag	Minden tagnak részt kell vennie az értekezleten.
承办	megrendezni	Ez a cég rendezte meg a kiállítást.
承包	szerződéssel elvállalni	Ők szerződéssel elvállalták ezt a projektet.
承诺	megígérni	Megígérte, hogy időben befejezi a feladatot.
橙	narancs	Vettem néhány friss narancsot.
澄清	tisztázni	Az igazgató kijött, hogy tisztázza a félreértést.
盛	merni	Egy tál levest mert a vendégnek.
诚挚	őszinte	Kérem, fogadja őszinte köszönetemet.
秤	mérleg	Ez a mérleg nem túl pontos.
吃苦	nehézséget tűrni	A fiataloknak meg kell tanulniuk tűrni a nehézséget.
吃力	megerőltető	Ezt a dobozt elmozdítani nagyon megerőltető.
持久	tartós	A sikerhez tartós erőfeszítés kell.
迟钝	lassú reakciójú	Mostanában kissé lassú reakciójú.
迟缓	lassú	Az eső után a forgalom lassúvá vált.
迟疑	habozni	Egy pillanatig habozott, mielőtt válaszolt.
赤道	egyenlítő	Az egyenlítő közelében egész évben meleg van.
赤字	hiány	A vállalat idén hiányt mutatott.
充当	szerepet betölteni	A projektben koordinátori szerepet töltött be.
充沛	bőséges	A gyerekeknek nagyon bőséges energiájuk van.
充实	tartalmas	Ez az élmény tartalmasabbá tette az életemet.
充足	elegendő	Utazás előtt elegendő vizet kell előkészíteni.
冲动	indulat	Ne hozz döntést pillanatnyi indulatból.
冲击	hatás	Az új technológia nagy hatást gyakorolt a hagyományos iparágakra.
冲突	konfliktus	A két fél igyekezett elkerülni a konfliktust.
崇拜	csodálni	Sok fiatal csodálja ezt a tudóst.
崇高	nemes	Az orvos kötelessége nemes.
崇敬	mélyen tisztelni	A diákok mind mélyen tisztelik ezt a tanárt.
重叠	átfedni	A két feladat részben átfedi egymást.
稠密	sűrű	Itt a népesség nagyon sűrű.
筹备	előkészíteni	Éppen az esküvőt készítik elő.
丑恶	rút	Feltárta az ügy mögötti rút igazságot.
出路	kiút	A tanulás több kiutat adhat a fiataloknak.
出卖	elárulni	Nem árulná el a barátait.
出身	származás	Átlagos családból származik.
出神	elmélyülni	Annyira elmélyült a zenehallgatásban.
出息	ígéretes jövő	Ennek a gyereknek ígéretes jövője lesz.
初步	előzetes	Már előzetes megállapodást kötöttünk.
除	kivéve	Rajta kívül mindenki megérkezett.
储备	tartalékolni	A vállalatnak több pénzt kell tartalékolnia.
储存	tárolni	Ezek az adatok automatikusan tárolódnak.
储蓄	megtakarítani	Minden hónapban megtakarítja a fizetése egy részét.
处分	fegyelmi büntetés	Az iskola súlyos fegyelmi büntetést adott neki.
处境	helyzet	Jelenlegi helyzetük nagyon nehéz.
处置	kezelni	Ezeket a régi berendezéseket megfelelően kell kezelni.
触犯	megsérteni	Ez a tett megsérti a törvényt.
川流不息	szüntelenül áramlani	Az utcán a járművek szüntelenül áramlanak.
穿越	áthaladni	A vonat áthaladt a hosszú alagúton.
传达	továbbítani	Kérlek, továbbítsd ezt a hírt mindenkinek.
传单	szórólap	Az önkéntesek szórólapokat osztottak az utcán.
传授	átadni	A tanár tapasztalatot ad át a diákoknak.
船舶	hajó	A kikötőben sok hajó áll.
喘气	lihegni	Futás után folyton lihegett.
串	felfűzni	Felfűzte a gyöngyöket egy nyaklánccá.
床单	lepedő	Kérlek, cseréld ki a lepedőt.
创立	alapítani	Együtt alapították ezt a céget.
创新	újítani	A vállalat fejlődéséhez folyamatosan újítani kell.
创业	vállalkozást indítani	Sok fiatal választja a vállalkozás indítását.
创作	alkotni	Az író éppen egy nagyregényt alkot.
吹牛	dicsekedni	Ne dicsekedj, mutass bizonyítékot.
吹捧	túlzottan dicsérni	A média túlzottan dicsérte ezt a terméket.
炊烟	főzés füstje	Este a faluban felszállt a főzés füstje.
垂直	merőleges	Ez a két vonal egymásra merőleges.
锤	kalapács	A munkás kalapáccsal ütötte a vaslemezt.
纯粹	tisztán	Segítsége tisztán jó szándékból fakadt.
纯洁	tiszta	A gyerek szíve nagyon tiszta.
慈善	jótékonyság	Ez a vállalat gyakran vesz részt jótékonysági tevékenységekben.
慈祥	jóságos	A nagymama mosolya nagyon jóságos.
磁带	magnókazetta	Ezt a régi magnókazettát még le lehet játszani.
雌雄	hím és nőstény	Ennél a madárfajnál a hím és a nőstény színe eltér.
伺候	gondozni	A nővér gondosan gondozta a beteget.
刺	tüske	A rózsaágon sok tüske van.
次品	hibás áru	Ezeket a hibás árukat nem lehet eladni.
次序	sorrend	Kérjük, álljanak sorba a sorrend szerint.
丛	csomó	Az út mellett egy csomó vadvirág nő.
从容	nyugodt	Nyugodtan válaszolt a kérdésre.
凑合	megfelelni	A szoba nem nagy, de lakhatásra még megfelel.
粗鲁	durva	Túl durván beszél.
窜	berohanni	Az a macska hirtelen berohant a házba.
摧残	pusztítani	A hosszan tartó szennyezés pusztítani fogja ezt az erdőt.
脆弱	törékeny	Az üvegáruk nagyon törékenyek.
搓	dörzsölni	Megdörzsölte jéghideg kezét.
磋商	tárgyalni	A két fél folytatja a tárgyalást.
挫折	kudarc	Mindenki találkozik kudarcokkal.
搭	felszállni	Busszal megyünk a repülőtérre.
搭档	partner	Évek óta a munkapartnerem.
搭配	összeilleni	Ez a kabát és a nadrág jól összeillik.
答辩	védés	A végzős hallgató a szakdolgozatvédésre készül.
答复	válasz	Kérlek, adj választ minél hamarabb.
达成	elérni	A két fél végül megállapodást ért el.
打包	elcsomagolni	A pincér elcsomagolta nekünk a maradék ételt.
打官司	pereskedni	A szerződés miatt pereskedtek.
打击	csapás	Ez a kudarc nagy csapás volt számára.
打架	verekedni	Az iskolában verekedő diákokat megbüntetik.
打量	végigmérni	Fentről lefelé végigmért engem.
打猎	vadászni	Itt tilos vadászni.
打仗	háborúzni	Senki sem akar háborúzni.
大不了	legfeljebb	Legfeljebb holnap újra megpróbáljuk.
大臣	miniszter	A király több minisztert hívatott magához.
大伙儿	mindenki	Mindenki a döntésedre vár.
大肆	nagyban	A kereskedő nagyban reklámozta az új terméket.
大体	nagyjából	A tervvel nagyjából nincs probléma.
大意	fő gondolat	Kérlek, először mondd el ennek a cikknek a fő gondolatát.
大致	nagyjából	Nagyjából megértettem, mi történt.
歹徒	bűnöző	A rendőrség gyorsan elfogta a bűnözőt.
代价	ár	A siker gyakran áldozatok árán jön.
代理	helyettesíteni	Ideiglenesen helyettesíti a menedzsert.
带领	vezetni	A tanár vezette a diákokat a múzeumlátogatáson.
怠慢	elhanyagolni	Nem szabad elhanyagolnunk a vendégeket.
逮捕	letartóztatni	A rendőrség letartóztatta a fő gyanúsítottat.
担保	garancia	A bank garanciavállalót kér.
胆怯	félénk	Az első beszédénél kissé félénk volt.
淡季	holtszezon	A repülőjegyek olcsóbbak az utazási holtszezonban.
淡水	édesvíz	Ez a halfaj csak édesvízben élhet.
蛋白质	fehérje	A tojás sok fehérjét tartalmaz.
诞辰	születésnap	Ma van ennek az írónak a születésnapja.
诞生	megszületni	Ez az ötlet a megbeszélés során született meg.
当场	helyben	Helyben elismerte a hibáját.
当初	kezdetben	Kezdetben mindannyian támogattuk ezt a döntést.
当代	kortárs	A kortárs társadalom nagyon gyorsan változik.
当面	személyesen	A problémákat legjobb személyesen tisztázni.
当前	jelenlegi	Jelenleg a legfontosabb a biztonság garantálása.
当事人	érintett személy	A rendőrség az érintett személyt kérdezi ki.
当务之急	sürgős prioritás	A lakhatási probléma megoldása sürgős prioritás.
当选	megválasztani	Sikeresen megválasztották elnöknek.
党	párt	Ez a párt új politikát javasolt.
档案	nyilvántartás	Az iskola megőrizte a diákok nyilvántartását.
档次	színvonal	Ennek a szállodának magas a színvonala.
倒闭	csődbe menni	Az a kis bolt tavaly csődbe ment.
导弹	rakéta	A hírek beszámoltak a rakétakísérletről.
导航	navigáció	Kérlek, kapcsold be a telefonos navigációt.
导向	irányultság	Az oktatáspolitikának az igazságosság felé kell irányulnia.
捣乱	rendet zavarni	Kérlek, ne zavard a rendet az órán.
盗窃	lopás	Az áruház megerősítette az intézkedéseket a lopás megelőzésére.
稻谷	rizstermés	A gazdák éppen aratják a rizstermést.
得不偿失	nem éri meg	Rossz minőségű anyagot venni spórolásból nem éri meg.
得力	hozzáértő	Ő a menedzser hozzáértő segítője.
得天独厚	kivételes adottságú	Ennek a városnak kivételes földrajzi adottságai vannak.
得罪	megsérteni	Nem akarom apróság miatt megsérteni a kollégáimat.
灯笼	lampion	A tavaszünnepen piros lampionok lógnak az ajtónál.
登录	bejelentkezni	Kérlek, először jelentkezz be a fiókodba.
登陆	partot érni	A tájfun ma este partot érhet a tengerparti területen.
蹬	rálépni	Erősen rálépett a pedálra, és a bicikli elindult.
等候	várakozni	Az utasok a csarnokban várakoznak a beszállásra.
等级	szint	Ez a szoftver különböző tagsági szintekkel rendelkezik.
瞪	meredten nézni	Dühösen meredt rám.
堤坝	gát	A heves eső után a gátat gondosan ellenőrizni kell.
敌视	ellenségesen viszonyulni	Nem szabad ellenségesen viszonyulnunk a különböző véleményekhez.
抵达	megérkezni	A repülőgép időben megérkezett Pekingbe.
抵抗	ellenállni	A falusiak együtt álltak ellen az árvíznek.
抵制	bojkottálni	A fogyasztók elkezdték bojkottálni a gyenge minőségű termékeket.
地步	fok	A helyzet még nem jutott ilyen súlyos fokra.
地势	terep	Itt magasabb a terep, ezért nem gyűlik össze könnyen a víz.
地质	földtan	A szakértők a helyi földtani viszonyokat vizsgálják.
递增	fokozatosan növekedni	Az értékesítés három egymást követő hónapban fokozatosan növekedett.
颠簸	hepehupás	A hegyi út nagyon hepehupás, óvatosan kell vezetni.
颠倒	felcserélni	Felcserélted a két szám sorrendjét.
典礼	ünnepség	A diplomaosztó ünnepséget az előadóteremben tartják.
典型	tipikus	Ez egy tipikus sikeres eset.
点缀	díszíteni	Néhány kis virág díszítette az ebédlőasztalt.
垫	alátét	Kérlek, tedd ezt a papírt alátétként a pohár alá.
奠定	megalapozni	Ez az együttműködés megalapozta a hosszú távú kapcsolatot.
惦记	aggódva gondolni	Az anya mindig aggódva gondol távoli gyermekére.
电源	áramforrás	Távozás előtt kérlek, kapcsold ki az áramot.
叼	szájában tartani	Az a kutya egy csontot tart a szájában.
雕刻	faragni	Szeret mintákat faragni a fába.
雕塑	szobor	A tér közepén egy szobor áll.
吊	felemelni	A munkások géppel emelték fel az acélgerendát.
调动	áthelyezni	A cég Sanghajba helyezte át dolgozni.
跌	esni	A részvényár ma megint esett.
丁	kocka	A recept szerint a burgonyát kockára kell vágni.
叮嘱	ismételten figyelmeztetni	A tanár ismételten figyelmeztetett minket, hogy figyeljünk a biztonságra.
盯	bámulni	Kérlek, ne bámulj folyton másokat.
定期	rendszeresen	Az orvos azt tanácsolta neki, hogy rendszeresen vizsgáltassa meg magát.
定义	meghatározás	Kérlek, először magyarázd el ennek a fogalomnak a meghatározását.
丢人	szégyenletes	Nyilvánosan hazudni igazán szégyenletes.
丢三落四	feledékeny	Mindig feledékeny, gyakran otthon felejti a kulcsát.
东道主	házigazda	Házigazdaként jól kell gondoskodnunk a vendégekről.
东张西望	körbenézelődni	Órán ne nézelődj körbe.
董事长	igazgatósági elnök	Az igazgatósági elnök ma részt vett az értekezleten.
冻结	befagyasztani	A bank ideiglenesen befagyasztotta ezt a számlát.
动荡	zavaros	A háború hosszú ideig zavarossá tette ezt a térséget.
动机	indíték	A rendőrség az indítékát vizsgálja.
动静	nesz	A szobában a legkisebb nesz sem hallatszott.
动力	motiváció	Az érdeklődés a tanulás motivációja.
动脉	artéria	Az orvos megvizsgálta az artériáját.
动身	elindulni	Holnap kora reggel indulunk a repülőtérre.
动手	verekedni	Amíg az ügy nem tiszta, senki se kezdjen verekedni.
