simplified	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	PT-BR	example_PT-BR
看见	voir	Je vois le professeur.	sehen	Ich sehe den Lehrer.	vedere	Vedo l'insegnante.	ver	Vejo o professor.	ver	Vejo o professor.
块	le morceau; le yuan	Ce livre coûte dix yuans.	das Stück; der Yuan	Dieses Buch kostet zehn Yuan.	il pezzo; lo yuan	Questo libro costa dieci yuan.	o pedaço; o yuan	Este livro custa dez yuans.	o pedaço; o yuan	Este livro custa dez yuans.
来	venir	Il vient à l'école.	kommen	Er kommt zur Schule.	venire	Lui viene a scuola.	vir	Ele vem à escola.	vir	Ele vem à escola.
老师	le professeur; la professeure; l'enseignant; l'enseignante	Le professeur est à l'école.	der Lehrer; die Lehrerin	Der Lehrer ist in der Schule.	l'insegnante; il professore; la professoressa	L'insegnante è a scuola.	o professor; a professora	O professor está na escola.	o professor; a professora	O professor está na escola.
了	la particule d'action accomplie	J'ai mangé du riz.	die Partikel für abgeschlossene Handlung	Ich habe Reis gegessen.	la particella di azione compiuta	Ho mangiato riso.	a partícula de ação concluída	Comi arroz.	a partícula de ação concluída	Comi arroz.
冷	froid	Il fait froid aujourd'hui.	kalt	Heute ist es kalt.	freddo	Oggi fa freddo.	frio	Hoje está frio.	frio	Hoje está frio.
里	dans; à l'intérieur	Il y a de l'eau dans la tasse.	in; drinnen	Im Becher ist Wasser.	dentro; in	C'è acqua nella tazza.	dentro; em	Há água na chávena.	dentro; em	Há água no copo.
零	zéro	Zéro n'est pas un.	null	Null ist nicht eins.	zero	Zero non è uno.	zero	Zero não é um.	zero	Zero não é um.
六	six	Il est six heures maintenant.	sechs	Es ist jetzt sechs Uhr.	sei	Adesso sono le sei.	seis	Agora são seis horas.	seis	Agora são seis horas.
妈妈	maman; la mère	Maman boit du thé.	Mama; die Mutter	Mama trinkt Tee.	mamma; la madre	La mamma beve tè.	a mãe; a mamã	A mãe bebe chá.	mamãe; a mãe	Mamãe bebe chá.
吗	la particule de question oui-non	Es-tu étudiant ?	die Ja-Nein-Fragepartikel	Bist du Schüler?	la particella interrogativa sì-no	Sei uno studente?	a partícula de pergunta sim-não	És estudante?	a partícula de pergunta sim-não	Você é estudante?
买	acheter	J'achète des pommes.	kaufen	Ich kaufe Äpfel.	comprare	Compro mele.	comprar	Compro maçãs.	comprar	Compro maçãs.
猫	le chat	Le chat est sur la chaise.	die Katze	Die Katze ist auf dem Stuhl.	il gatto	Il gatto è sulla sedia.	o gato	O gato está na cadeira.	o gato	O gato está na cadeira.
没	ne pas avoir; ne pas	Je n'ai pas d'argent.	nicht haben; nicht	Ich habe kein Geld.	non avere; non	Non ho soldi.	não ter; não	Não tenho dinheiro.	não ter; não	Não tenho dinheiro.
没关系	ce n'est pas grave; pas de problème	Ce n'est pas grave.	das macht nichts; kein Problem	Das macht nichts.	non importa; nessun problema	Non importa.	não faz mal; sem problema	Não faz mal.	tudo bem; sem problema	Tudo bem.
米饭	le riz cuit	Je mange du riz.	der gekochte Reis	Ich esse Reis.	il riso cotto	Mangio riso.	o arroz cozido	Como arroz.	o arroz cozido	Como arroz.
名字	le nom	Comment t'appelles-tu ?	der Name	Wie heißt du?	il nome	Come ti chiami?	o nome	Como te chamas?	o nome	Como você se chama?
明天	demain	Demain, je vais à Pékin.	morgen	Morgen fahre ich nach Peking.	domani	Domani vado a Pechino.	amanhã	Amanhã vou a Pequim.	amanhã	Amanhã vou a Pequim.
哪	quel; quelle; quels; quelles; où	Où vas-tu ?	welcher; welche; welches; wo; wohin	Wohin gehst du?	quale; quali; dove	Dove vai?	qual; quais; onde	Onde vais?	qual; quais; onde	Onde você vai?
那	cela; celui-là; celle-là; ceux-là; celles-là	C'est mon professeur.	das; jener; jene; jenes	Das ist mein Lehrer.	quello; quella; quelli; quelle	Quello è il mio insegnante.	aquele; aquela; aquilo; aqueles; aquelas	Aquele é o meu professor.	aquele; aquela; aquilo; aqueles; aquelas	Aquele é o meu professor.
呢	la particule interrogative; et	Et toi ?	die Fragepartikel; und was ist mit	Und du?	la particella interrogativa; e	E tu?	a partícula interrogativa; e	E tu?	a partícula interrogativa; e	E você?
能	pouvoir; être capable	Est-ce que je peux y aller ?	können; fähig sein	Kann ich gehen?	potere; essere capace	Posso andare?	poder; ser capaz	Posso ir?	poder; ser capaz	Posso ir?
你	tu; toi	Comment vas-tu ?	du	Wie geht es dir?	tu	Come stai?	tu	Como estás?	você; tu	Como você está?
年	l'année	Une année a douze mois.	das Jahr	Ein Jahr hat zwölf Monate.	l'anno	Un anno ha dodici mesi.	o ano	Um ano tem doze meses.	o ano	Um ano tem doze meses.
女儿	la fille	Sa fille est très jolie.	die Tochter	Ihre Tochter ist sehr hübsch.	la figlia	Sua figlia è molto bella.	a filha	A filha dela é muito bonita.	a filha	A filha dela é muito bonita.
朋友	l'ami; l'amie	C'est mon ami.	der Freund; die Freundin	Er ist mein Freund.	l'amico; l'amica	È mio amico.	o amigo; a amiga	Ele é meu amigo.	o amigo; a amiga	Ele é meu amigo.
漂亮	beau; joli	Elle est très jolie.	hübsch; schön	Sie ist sehr hübsch.	bello; carino	Lei è molto bella.	bonito; lindo	Ela é muito bonita.	bonito; lindo	Ela é muito bonita.
苹果	la pomme	J'aime les pommes.	der Apfel	Ich mag Äpfel.	la mela	Mi piacciono le mele.	a maçã	Gosto de maçãs.	a maçã	Gosto de maçãs.
七	sept	Il est sept heures maintenant.	sieben	Es ist jetzt sieben Uhr.	sette	Adesso sono le sette.	sete	Agora são sete horas.	sete	Agora são sete horas.
前面	devant; avant	Le restaurant est devant le magasin.	vorne; vor	Das Restaurant ist vor dem Laden.	davanti; prima	Il ristorante è davanti al negozio.	à frente; em frente	O restaurante fica em frente à loja.	na frente; em frente	O restaurante fica em frente à loja.
钱	l'argent	Je n'ai pas d'argent.	das Geld	Ich habe kein Geld.	il denaro; i soldi	Non ho soldi.	o dinheiro	Não tenho dinheiro.	o dinheiro	Não tenho dinheiro.
请	s'il vous plaît; inviter; demander	S'il te plaît, bois du thé.	bitte; einladen; bitten	Bitte trink Tee.	per favore; invitare; chiedere	Per favore, bevi tè.	por favor; convidar; pedir	Por favor, bebe chá.	por favor; convidar; pedir	Por favor, beba chá.
去	aller	Je vais à l'école.	gehen	Ich gehe zur Schule.	andare	Vado a scuola.	ir	Vou para a escola.	ir	Vou para a escola.
热	chaud	Il fait chaud aujourd'hui.	heiß	Heute ist es heiß.	caldo	Oggi fa caldo.	quente; calor	Hoje está calor.	quente; calor	Hoje está calor.
人	la personne; les gens	Il y a beaucoup de monde à l'école.	die Person; die Leute	Es sind viele Menschen in der Schule.	la persona; le persone	Ci sono molte persone a scuola.	a pessoa; as pessoas	Há muitas pessoas na escola.	a pessoa; as pessoas	Tem muita gente na escola.
认识	connaître; reconnaître	Je le connais.	kennen; erkennen	Ich kenne ihn.	conoscere; riconoscere	Lo conosco.	conhecer; reconhecer	Conheço-o.	conhecer; reconhecer	Eu conheço ele.
日	le jour; la date	Aujourd'hui, nous sommes le premier mars.	der Tag; das Datum	Heute ist der erste März.	il giorno; la data	Oggi è il primo marzo.	o dia; a data	Hoje é dia um de março.	o dia; a data	Hoje é primeiro de março.
三	trois	J'ai trois tasses.	drei	Ich habe drei Tassen.	tre	Ho tre tazze.	três	Tenho três chávenas.	três	Tenho três xícaras.
商店	le magasin; la boutique	Le magasin est devant l'école.	der Laden; das Geschäft	Der Laden ist vor der Schule.	il negozio	Il negozio è davanti alla scuola.	a loja	A loja fica em frente à escola.	a loja	A loja fica em frente à escola.
上	en haut; sur	Le livre est sur la table.	oben; auf	Das Buch liegt auf dem Tisch.	su; sopra	Il libro è sul tavolo.	em cima; sobre	O livro está em cima da mesa.	em cima; sobre	O livro está em cima da mesa.
上午	le matin; la matinée	Le matin, j'étudie le chinois.	der Vormittag; der Morgen	Vormittags lerne ich Chinesisch.	la mattina	La mattina studio cinese.	a manhã	De manhã estudo chinês.	a manhã	De manhã estudo chinês.
少	peu; peu nombreux	Il y a peu d'étudiants.	wenig; wenige	Es gibt wenige Schüler.	poco; pochi	Ci sono pochi studenti.	pouco; poucos	Há poucos alunos.	pouco; poucos	Há poucos alunos.
什么	quoi; que	Qu'est-ce que c'est ?	was	Was ist das?	che cosa	Che cos'è questo?	o que	O que é isto?	o que	O que é isso?
十	dix	J'ai dix livres.	zehn	Ich habe zehn Bücher.	dieci	Ho dieci libri.	dez	Tenho dez livros.	dez	Tenho dez livros.
时候	le temps; le moment	Quand viens-tu ?	die Zeit; der Zeitpunkt	Wann kommst du?	il tempo; il momento	Quando vieni?	o tempo; o momento	Quando vens?	o tempo; o momento	Quando você vem?
是	être; oui	Je suis étudiant.	sein; ja	Ich bin Schüler.	essere; sì	Sono uno studente.	ser; sim	Sou estudante.	ser; sim	Sou estudante.
书	le livre	Je lis un livre.	das Buch	Ich lese ein Buch.	il libro	Leggo un libro.	o livro	Leio um livro.	o livro	Leio um livro.
谁	qui	Qui est-il ?	wer	Wer ist er?	chi	Chi è lui?	quem	Quem é ele?	quem	Quem é ele?
水	l'eau	Je bois de l'eau.	das Wasser	Ich trinke Wasser.	l'acqua	Bevo acqua.	a água	Bebo água.	a água	Bebo água.
水果	le fruit	J'achète des fruits.	das Obst; die Frucht	Ich kaufe Obst.	la frutta; il frutto	Compro frutta.	a fruta	Compro fruta.	a fruta	Compro frutas.
睡觉	dormir; aller se coucher	Je vais dormir.	schlafen; ins Bett gehen	Ich gehe schlafen.	dormire; andare a letto	Vado a dormire.	dormir; ir para a cama	Vou dormir.	dormir; ir para a cama	Vou dormir.
说话	parler; discuter	Le professeur parle.	sprechen; reden	Der Lehrer spricht.	parlare; conversare	L'insegnante parla.	falar; conversar	O professor está a falar.	falar; conversar	O professor está falando.
四	quatre	J'ai quatre amis.	vier	Ich habe vier Freunde.	quattro	Ho quattro amici.	quatro	Tenho quatro amigos.	quatro	Tenho quatro amigos.
岁	ans	J'ai dix ans.	Jahre alt	Ich bin zehn Jahre alt.	anni	Ho dieci anni.	anos	Tenho dez anos.	anos	Tenho dez anos.
他	il; lui	Il est professeur.	er; ihn	Er ist Lehrer.	lui	Lui è un insegnante.	ele	Ele é professor.	ele	Ele é professor.
她	elle	Elle est étudiante.	sie	Sie ist Schülerin.	lei	Lei è una studentessa.	ela	Ela é estudante.	ela	Ela é estudante.
太	trop; très	Cette tasse est trop grande.	zu; sehr	Diese Tasse ist zu groß.	troppo; molto	Questa tazza è troppo grande.	demasiado; muito	Esta chávena é grande demais.	demais; muito	Esta xícara é grande demais.
天气	le temps; la météo	Il fait beau aujourd'hui.	das Wetter	Das Wetter ist heute gut.	il tempo; il meteo	Oggi il tempo è bello.	o tempo; o clima	O tempo está bom hoje.	o clima; o tempo	O tempo está bom hoje.
听	écouter; entendre	J'écoute le professeur parler.	zuhören; hören	Ich höre zu, wie der Lehrer spricht.	ascoltare; sentire	Ascolto l'insegnante parlare.	ouvir; escutar	Ouço o professor falar.	ouvir; escutar	Ouço o professor falar.
同学	le camarade de classe; la camarade de classe	Il est mon camarade de classe.	der Mitschüler; die Mitschülerin; der Klassenkamerad; die Klassenkameradin	Er ist mein Mitschüler.	il compagno di classe; la compagna di classe	Lui è il mio compagno di classe.	o colega de turma; a colega de turma	Ele é meu colega de turma.	o colega de classe; a colega de classe	Ele é meu colega de classe.
喂	allô	Allô ?	hallo am Telefon	Hallo?	pronto al telefono	Pronto?	estou?; olá ao telefone	Estou?	alô ao telefone	Alô?
我	je; moi	Je suis médecin.	ich; mich	Ich bin Arzt.	io; me	Sono medico.	eu; me	Eu sou médico.	eu; me	Eu sou médico.
我们	nous	Nous allons à l'école.	wir; uns	Wir gehen zur Schule.	noi; ci	Noi andiamo a scuola.	nós	Vamos para a escola.	nós	Vamos para a escola.
五	cinq	J'ai cinq pommes.	fünf	Ich habe fünf Äpfel.	cinque	Ho cinque mele.	cinco	Tenho cinco maçãs.	cinco	Tenho cinco maçãs.
喜欢	aimer; apprécier	J'aime boire du thé.	mögen	Ich trinke gern Tee.	piacere; gradire	Mi piace bere tè.	gostar	Gosto de beber chá.	gostar	Gosto de beber chá.
下	en bas; sous; prochain	Le livre est sous la table.	unten; unter; nächster	Das Buch liegt unter dem Tisch.	giù; sotto; prossimo	Il libro è sotto il tavolo.	baixo; debaixo; próximo	O livro está debaixo da mesa.	baixo; debaixo; próximo	O livro está debaixo da mesa.
下午	après-midi	L'après-midi, je vais au magasin.	Nachmittag	Am Nachmittag gehe ich in den Laden.	pomeriggio	Nel pomeriggio vado al negozio.	tarde	À tarde vou à loja.	tarde	À tarde vou à loja.
下雨	pleuvoir	Il pleut aujourd'hui.	regnen	Heute regnet es.	piovere	Oggi piove.	chover	Hoje está a chover.	chover	Hoje está chovendo.
先生	monsieur; le mari	Bonjour, monsieur.	der Herr; der Ehemann	Guten Tag, mein Herr.	il signore; il marito	Buongiorno, signore.	o senhor; o marido	Olá, senhor.	o senhor; o marido	Olá, senhor.
现在	maintenant	Je suis à l'école maintenant.	jetzt	Ich bin jetzt in der Schule.	adesso; ora	Adesso sono a scuola.	agora	Agora estou na escola.	agora	Agora estou na escola.
想	vouloir; penser; manquer	Je veux boire de l'eau.	wollen; denken; vermissen	Ich möchte Wasser trinken.	volere; pensare; sentire la mancanza	Voglio bere acqua.	querer; pensar; sentir saudades	Quero beber água.	querer; pensar; sentir saudade	Quero beber água.
小	petit	Cette tasse est petite.	klein	Diese Tasse ist klein.	piccolo	Questa tazza è piccola.	pequeno	Esta chávena é pequena.	pequeno	Esta xícara é pequena.
小姐	mademoiselle; la jeune femme	Bonjour, mademoiselle.	die junge Dame; das Fräulein	Guten Tag, junge Dame.	la signorina; la giovane donna	Salve, signorina.	a senhorita; a menina	Olá, senhorita.	a moça; a senhorita	Olá, moça.
些	quelques; certains	J'ai quelques livres.	einige; ein paar	Ich habe einige Bücher.	alcuni; qualche	Ho alcuni libri.	alguns; algumas	Tenho alguns livros.	alguns; algumas	Tenho alguns livros.
写	écrire	J'écris des caractères.	schreiben	Ich schreibe Schriftzeichen.	scrivere	Scrivo caratteri.	escrever	Escrevo caracteres.	escrever	Escrevo caracteres.
谢谢	merci	Merci.	danke	Danke.	grazie	Grazie.	obrigado; obrigada	Obrigado.	obrigado; obrigada	Obrigado.
星期	la semaine; le jour de la semaine	Aujourd'hui, c'est lundi.	die Woche; der Wochentag	Heute ist Montag.	la settimana; il giorno della settimana	Oggi è lunedì.	a semana; o dia da semana	Hoje é segunda-feira.	a semana; o dia da semana	Hoje é segunda-feira.
学生	l'étudiant; l'étudiante; l'élève	Je suis étudiant.	der Schüler; die Schülerin	Ich bin Schüler.	lo studente; la studentessa	Sono uno studente.	o estudante; a estudante; o aluno; a aluna	Sou estudante.	o estudante; a estudante; o aluno; a aluna	Sou estudante.
学习	étudier; apprendre	J'étudie le chinois.	lernen; studieren	Ich lerne Chinesisch.	studiare; imparare	Studio cinese.	estudar; aprender	Estudo chinês.	estudar; aprender	Estudo chinês.
学校	l'école	L'école est grande.	die Schule	Die Schule ist groß.	la scuola	La scuola è grande.	a escola	A escola é grande.	a escola	A escola é grande.
一	un	J'ai une tasse.	eins; ein	Ich habe eine Tasse.	uno	Ho una tazza.	um	Tenho uma chávena.	um	Tenho uma xícara.
衣服	les vêtements	J'achète des vêtements.	die Kleidung	Ich kaufe Kleidung.	i vestiti; gli abiti	Compro vestiti.	a roupa	Compro roupa.	a roupa	Compro roupas.
医生	le médecin; la médecin	Elle est médecin.	der Arzt; die Ärztin	Sie ist Ärztin.	il medico; la medica	Lei è medica.	o médico; a médica	Ela é médica.	o médico; a médica	Ela é médica.
医院	l'hôpital	L'hôpital est devant l'école.	das Krankenhaus	Das Krankenhaus ist vor der Schule.	l'ospedale	L'ospedale è davanti alla scuola.	o hospital	O hospital fica em frente à escola.	o hospital	O hospital fica em frente à escola.
椅子	la chaise	La chaise est derrière la table.	der Stuhl	Der Stuhl ist hinter dem Tisch.	la sedia	La sedia è dietro il tavolo.	a cadeira	A cadeira está atrás da mesa.	a cadeira	A cadeira está atrás da mesa.
有	avoir; il y a	J'ai des amis.	haben; es gibt	Ich habe Freunde.	avere; c'è	Ho amici.	ter; haver	Tenho amigos.	ter; haver	Tenho amigos.
月	le mois; la lune	Aujourd'hui, nous sommes le quatre mai.	der Monat; der Mond	Heute ist der vierte Mai.	il mese; la luna	Oggi è il quattro maggio.	o mês; a lua	Hoje é dia quatro de maio.	o mês; a lua	Hoje é quatro de maio.
再见	au revoir	Au revoir, professeur.	auf Wiedersehen	Auf Wiedersehen, Herr Lehrer.	arrivederci	Arrivederci, professore.	adeus; até logo	Até logo, professor.	tchau; até logo	Tchau, professor.
在	à; dans; se trouver	Je suis à la maison.	in; bei; sich befinden	Ich bin zu Hause.	a; in; trovarsi	Sono a casa.	em; estar	Estou em casa.	em; estar	Estou em casa.
怎么	comment	Comment lis-tu ce caractère ?	wie	Wie liest du dieses Schriftzeichen?	come	Come leggi questo carattere?	como	Como lês este carácter?	como	Como você lê este caractere?
怎么样	comment; qu'en est-il	Comment vas-tu aujourd'hui ?	wie; wie ist	Wie geht es dir heute?	come; che ne dici	Come stai oggi?	como; que tal	Como estás hoje?	como; que tal	Como você está hoje?
这	ceci; ce; cet; cette; ces	C'est mon livre.	dies; dieser; diese; dieses	Das ist mein Buch.	questo; questa; questi; queste	Questo è il mio libro.	este; esta; isto; estes; estas	Este é o meu livro.	este; esta; isto; estes; estas	Este é o meu livro.
中国	la Chine	Je vais en Chine.	China	Ich reise nach China.	la Cina	Vado in Cina.	a China	Vou para a China.	a China	Vou para a China.
中午	midi	À midi, je mange du riz.	der Mittag	Am Mittag esse ich Reis.	il mezzogiorno	A mezzogiorno mangio riso.	o meio-dia	Ao meio-dia como arroz.	o meio-dia	Ao meio-dia como arroz.
