source_headword	CS	example_CS
legitimate	legitimní	Vznesli legitimní obavy.
lengthy	zdlouhavý	Zdlouhavá debata zdržela hlasování.
lesbian	lesbický	Na fóru promluvila lesbická aktivistka.
lesser	menší	Vyberte si menší riziko.
lethal	smrtelný	Chemikálie může být smrtelná.
liable	odpovědný	Řidiči jsou odpovědní za škody.
liberal	liberální	Podporuje liberální sociální politiku.
liberation	osvobození	Osvobození změnilo budoucnost země.
liberty	svoboda	Zákon chrání osobní svobodu.
license	licencovat	Stát může udělit licenci novým klinikám.
lifelong	celoživotní	Našla tam celoživotní přátele.
likelihood	pravděpodobnost	Pravděpodobnost deště se zvýšila.
limb	končetina	Zraněná končetina se hojila pomalu.
linear	lineární	Graf ukazuje lineární trend.
line-up	sestava	Sestava festivalu zahrnuje místní kapely.
linger	přetrvávat	Zápach může přetrvávat hodiny.
listing	inzerát	Inzerát na byt vypadal přesně.
literacy	gramotnost	Programy pro gramotnost dospělých se rozšířily.
liver	játra	Játra filtrují škodlivé látky.
lobby	hala	Hala byla po poledni přeplněná.
log	deník	Systém vede denní záznam.
logic	logika	Logika jeho argumentu selhala.
long-standing	dlouholetý	Vyřešili dlouholetý spor.
long-time	dlouholetý	Je dlouholetou dobrovolnicí.
loom	rýsovat se	Nad údolím se rýsují temné mraky.
loop	smyčka	Stezka tvoří okruh.
loyalty	loajalita	Jeho loajalita udělala na tým dojem.
machinery	stroje	Továrna nainstalovala nové stroje.
magical	magický	Zahrada vypadala v noci kouzelně.
magistrate	smírčí soudce	Smírčí soudce projednal případ.
magnetic	magnetický	Magnetické pole ovlivnilo kompas.
magnitude	rozsah	Rozsah škod byl jasný.
mainland	pevnina	Trajekt spojuje ostrovy s pevninou.
mainstream	hlavní proud	Myšlenka vstoupila do politiky hlavního proudu.
maintenance	údržba	Pravidelná údržba předchází poruchám.
mandate	mandát	Prezident si nárokoval silný mandát.
mandatory	povinný	Účast je pro stážisty povinná.
manifest	projevit se	Příznaky se mohou projevit po týdnech.
manipulate	manipulovat	Nemanipulujte s výsledky průzkumu.
manipulation	manipulace	Manipulace s daty byla odhalena.
manuscript	rukopis	Vydavatel přijal její rukopis.
march	pochodovat	Demonstranti budou pochodovat do centra.
marginal	okrajový	Změna měla zanedbatelné přínosy.
marine	mořský	Mořský život potřebuje čistou vodu.
marketplace	tržiště	Online tržiště se rychle rozšířilo.
mask	maska	Pracovníci musí nosit roušku.
massacre	masakr	Masakr šokoval celý region.
mathematical	matematický	Matematický model předpověděl poptávku.
mature	vzrostlý	Vzrostlé stromy poskytují stín.
maximize	maximalizovat	Aktualizace maximalizuje výdrž baterie.
meaningful	smysluplný	Měli smysluplný rozhovor.
meantime	mezidobí	Mezitím počkejte venku.
medieval	středověký	Hrad má středověké hradby.
meditation	meditace	Každodenní meditace uklidňuje její mysl.
melody	melodie	Ta melodie mi utkvěla v hlavě.
memo	oběžník	Oběžník vysvětlil tuto politiku.
memoir	paměti	Její paměti popisují exil v dětství.
memorial	památník	Památník uctívá místní vojáky.
mentor	mentor	Její mentor zkontroloval návrh.
merchant	kupec	Kupec prodával hedvábí a koření.
mercy	milosrdenství	Soudce prokázal milosrdenství.
mere	pouhý	Pouhý pohled odhalil chybu.
merely	pouze	Pouze zopakovala pokyny.
merge	sloučit se	Tyto dvě společnosti se sloučí.
merger	fúze	Fúze vytvořila větší banku.
merit	zásluha	Návrh má zřejmou hodnotu.
methodology	metodika	Studie vysvětluje svou metodiku.
midst	střed	Pracovali uprostřed chaosu.
migration	migrace	Sezónní migrace ovlivňuje místní pracovní místa.
militant	militantní	Militantní skupina odmítla vyjednávání.
militia	domobrana	Milice kontrolovala cestu.
mill	mlýn	Starý mlýn se stal muzeem.
minimal	minimální	Plán vyžaduje minimální úsilí.
minimize	minimalizovat	Musíme minimalizovat zbytečné riziko.
mining	těžba	Těžba poškodila údolí řeky.
ministry	ministerstvo	Ministerstvo oznámilo nová pravidla.
minute2	nepatrný	Ve skle se objevila nepatrná prasklina.
miracle	zázrak	Jeho zotavení vypadalo jako zázrak.
misery	utrpení	Uprchlíci vydrželi roky utrpení.
misleading	zavádějící	Zavádějící graf čtenáře zmátl.
missile	raketa	Test střely zvýšil napětí.
mob	dav	Rozzuřený dav zablokoval dopravu.
mobility	mobilita	Lepší autobusy zlepšují městskou mobilitu.
mobilize	mobilizovat	Lídři rychle mobilizují dobrovolníky.
moderate	umírněný	Kandidát zastává umírněné názory.
modification	úprava	Design potřebuje jednu úpravu.
momentum	dynamika	Kampaň rychle nabrala na obrátkách.
monk	mnich	Mnich žil v tichosti.
monopoly	monopol	Firma měla monopol.
morality	morálka	Kurz zkoumá veřejnou morálku.
motive	motiv	Policie zpochybnila jeho motiv.
motorist	motorista	Motorista zastavil na červenou.
municipal	komunální	Komunální služby se letos zlepšily.
mutual	vzájemný	Dosáhli vzájemné dohody.
namely	a sice	Zbývá jeden problém, a sice financování.
nationwide	celostátní	Stávka způsobila celostátní zpoždění.
naval	námořní	Námořní základna se loni uzavřela.
neglect	zanedbávat	Nezanedbávejte základní bezpečnost.
neighbouring	sousední	Sousední města sdílela nemocnici.
nest	hnízdo	Pták si postavil hnízdo.
net	čistý	Čistý zisk prudce vzrostl.
newsletter	zpravodaj	Zpravodaj přichází každý pátek.
niche	mezera na trhu	Společnost našla ziskovou mezeru na trhu.
noble	vznešený	Její vznešené gesto udělalo na všechny dojem.
nod	přikývnout	Prosím, přikývněte, pokud rozumíte.
nominate	nominovat	Nominují nového předsedu.
nomination	nominace	Její nominace překvapila výbor.
nominee	kandidát	Kandidát zodpověděl těžké otázky.
nonetheless	nicméně	Nicméně plán pokročil.
non-profit	neziskový	Pracuje pro neziskovou kliniku.
nonsense	nesmysl	Ta fáma je naprostý nesmysl.
noon	poledne	Schůzka začíná v poledne.
notable	pozoruhodný	Zpráva udělala pozoruhodný pokrok.
notably	zejména	Zejména v květnu klesly náklady.
notify	uvědomit	Před odchodem upozorněte personál.
notorious	nechvalně známý	Silnice je nechvalně známá nehodami.
novel	neotřelý	Navrhli neotřelé řešení.
nursery	jesle	Jesle pečují o batolata.
objection	námitka	Právník vznesl námitku.
oblige	zavázat	Pravidla nutí řidiče zastavit.
obsess	upnout se	Neupínejte se na malé chyby.
obsession	posedlost	Jeho posedlost poškodila jeho práci.
occasional	občasný	Očekávají se občasná zpoždění.
occurrence	výskyt	Takový výskyt je vzácný.
odds	šance	Šance na úspěch se zlepšily.
offering	nabídka	Univerzita rozšířila svou nabídku.
offspring	potomek	Liška chránila svého potomka.
operational	provozuschopný	Nový systém je provozuschopný.
opt	zvolit si	Mnoho studentů se rozhodne pro online kurzy.
optical	optický	Optická čočka potřebuje vyčistit.
optimism	optimismus	Optimismus se po oznámení vrátil.
oral	ústní	Ústní zkouška začíná zítra.
organizational	organizační	Organizační změny začaly okamžitě.
orientation	zaškolení	Seminář pokrýval zaškolení zaměstnanců.
originate	vzniknout	Mnoho tradic vzniká ve venkovských vesnicích.
outbreak	propuknutí	Propuknutí se rozšířilo po celém městě.
outing	výlet	Třída si užila výlet do muzea.
outlet	prodejna	Prodejna prodává zlevněné oblečení.
outlook	vyhlídka	Ekonomické vyhlídky zůstávají nejisté.
outrage	pobouření	Rozhodnutí vyvolalo veřejné pobouření.
outsider	outsider	Jako outsider si všimla problémů.
overlook	přehlédnout	Nepřehlédněte drobné detaily.
overly	příliš	Pokyny byly příliš složité.
oversee	dohlížet	Bude dohlížet na projekt.
overturn	zvrátit	Soud může zvrátit rozhodnutí.
overwhelm	zahltit	Příliš mnoho informací může zahltit studenty.
overwhelming	zdrcující	Důkazy byly zdrcující.
pad	chránič	Použijte chránič k ochraně kolen.
parameter	parametr	Upravujte jeden parametr po druhém.
parental	rodičovský	Rodičovská podpora zlepšila docházku.
parish	farnost	Farnost uspořádala charitativní večeři.
parliamentary	parlamentní	Parlamentní debata trvala hodiny.
partial	částečný	Zpráva poskytla částečnou odpověď.
partially	částečně	Okno bylo částečně otevřené.
passing	úmrtí	Její úmrtí bylo náhlé.
passive	pasivní	Pasivní investoři akceptovali stabilní výnosy.
pastor	pastor	Pastor navštívil rodinu.
patch	záplata	Bunda potřebuje malou záplatu.
patent	patent	Společnost podala patent.
pathway	cesta	Cesta vede k certifikaci.
patrol	hlídka	Policie v noci hlídkuje v oblasti.
patron	mecenáš	Muzeum poděkovalo svému mecenáši.
peak	vrchol	Poptávka dosáhla zimního vrcholu.
peasant	rolník	Rolník vlastnil málo půdy.
peculiar	zvláštní	Pokoj měl zvláštní zápach.
persist	přetrvávat	Příznaky mohou přetrvávat několik dní.
persistent	vytrvalý	Přetrvávající kašel vyžaduje pozornost.
personnel	personál	Osobní záznamy jsou důvěrné.
petition	petice	Petice shromáždila tisíce podpisů.
philosopher	filozof	Filozof zpochybnil běžné předpoklady.
philosophical	filozofický	Diskuse se stala filozofickou.
physician	lékař	Lékař nařídil krevní testy.
pioneer	průkopník	Stala se průkopnicí v medicíně.
pipeline	potrubí	Potrubí vede plyn pod zemí.
pirate	pirát	Pirátská loď se objevila na moři.
pit	jáma	Dělníci vykopali hlubokou jámu.
plea	prosba	Jeho prosba o pomoc byla ignorována.
plead	přiznat	Podezřelý přizná vinu.
pledge	přislíbit	Přislíbili podporu reformám.
plug	zapojit	Zapojte kabel do zásuvky.
plunge	prudce klesnout	Ceny mohou po skandálu prudce klesnout.
pole	tyč	Vlajka visela na tyči.
poll	průzkum	Průzkum ukázal měnící se názory.
pond	rybník	Kachny přecházely přes zamrzlý rybník.
pop	prasknout	Balónky praskají v blízkosti ostrých předmětů.
portfolio	portfolio	Její portfolio zahrnuje několik startupů.
portray	ztvárnit	Film ztvární venkovský život.
postpone	odložit	Rozhodli se odložit slyšení.
post-war	poválečný	Poválečné bydlení bylo naléhavě potřeba.
practitioner	praktik	Praktik vysvětlil léčbu.
preach	kázat	Pastor bude kázat v neděli.
precedent	precedens	Rozhodnutí vytvořilo důležitý precedens.
precision	přesnost	Stroj řeže s přesností.
predator	predátor	Predátor čekal poblíž řeky.
predecessor	předchůdce	Její předchůdce zanechal podrobné poznámky.
predominantly	převážně	Oblast je převážně rezidenční.
pregnancy	těhotenství	Těhotenství vyžaduje pravidelnou lékařskou péči.
prejudice	předsudek	Kampaň zpochybnila rasové předsudky.
preliminary	předběžný	Předběžné výsledky vypadají slibně.
premier	premiér	Premiér dnes promluvil v parlamentu.
premise	předpoklad	Argument spočívá na nepravdivém předpokladu.
premium	příplatek	Zákazníci zaplatili příplatek za rychlost.
prescribe	předepsat	Lékaři předepisují antibiotika opatrně.
prescription	recept	Recept vyprší příští měsíc.
presently	v současné době	V současné době není k dispozici.
preservation	zachování	Zachování chrání historické budovy.
preside	předsedat	Soudce bude předsedat soudu.
presidency	prezidentství	Jeho prezidentství trvalo osm let.
presidential	prezidentský	Prezidentské volby přitáhly pozornost.
prestigious	prestižní	Vyhrála prestižní stipendium.
presumably	pravděpodobně	Kancelář je dnes pravděpodobně zavřená.
presume	předpokládat	Předpokládáme, že dokumenty jsou pravé.
prevail	zvítězit	Zdravý rozum by měl zvítězit.
prevalence	rozšíření	Rozšíření astmatu se zvýšilo.
prevention	prevence	Prevence je levnější než oprava.
