source_headword	TH	example_TH
deem	ถือว่า	ศาลอาจถือว่าสัญญาเป็นโมฆะ.
default	ค่าเริ่มต้น	ตอนนี้ให้ใช้การตั้งค่าเริ่มต้นไปก่อน.
defect	ข้อบกพร่อง	ผู้ตรวจสอบพบข้อบกพร่องที่ร้ายแรง.
defensive	ป้องกันตัว	น้ำเสียงที่ป้องกันตัวของเขาทำให้ทุกคนประหลาดใจ.
deficiency	ความบกพร่อง	ความบกพร่องของธาตุเหล็กสามารถส่งผลต่อสุขภาพได้.
deficit	การขาดดุล	การขาดดุลงบประมาณทำให้เจ้าหน้าที่กังวล.
defy	ท้าทาย	ผู้ประท้วงเลือกที่จะท้าทายคำสั่งห้าม.
delegate	ตัวแทน	ตัวแทนแต่ละคนได้รับการ์ดลงคะแนน.
delegation	คณะผู้แทน	คณะผู้แทนมาถึงก่อนเที่ยง.
delicate	บอบบาง	แก้วที่บอบบางแตกได้ง่าย.
demon	ปีศาจ	เรื่องราวกล่าวถึงปีศาจโบราณ.
denial	การปฏิเสธ	การปฏิเสธของเขาทำให้เหยื่อโกรธแค้น.
denounce	ประณาม	ผู้นำประณามความรุนแรงในโรงเรียน.
dense	ทึบ	ป่าทึบบดบังแสงแดด.
density	ความหนาแน่น	ความหนาแน่นของประชากรในตัวเมืองมีสูง.
dependence	การพึ่งพา	การพึ่งพาน้ำมันของประเทศลดลง.
depict	พรรณนา	ภาพจิตรกรรมฝาผนังพรรณนาถึงชีวิตในหมู่บ้าน.
deploy	ปฏิบัติการ	กองทัพจะปฏิบัติการส่งเจ้าหน้าที่เพิ่มเติมไป.
deployment	การจัดวางกองกำลัง	การจัดวางกองกำลังเริ่มขึ้นในวันจันทร์.
deprive	ลิดรอน	การอดนอนสามารถลิดรอนสมาธิของนักเรียนได้.
deputy	ผู้ช่วย	ผู้ช่วยลงนามในข้อตกลง.
descend	ลาดลง	ทางเริ่มลาดลงอย่างชัน.
descent	การร่อนลง	เครื่องบินเริ่มการร่อนลง.
designate	กำหนด	เมืองจะกำหนดสวนสาธารณะแห่งใหม่.
desirable	เป็นที่น่าพอใจ	แสงสว่างที่ดีเป็นที่น่าพอใจในห้องเรียน.
desktop	เดสก์ท็อป	ไฟล์อยู่บนเดสก์ท็อปของฉัน.
destructive	เป็นอันตราย	พายุมีพลังทำลายล้าง.
detain	กักขัง	ตำรวจอาจกักขังผู้ต้องสงสัยข้ามคืน.
detection	การตรวจจับ	การตรวจพบตั้งแต่เนิ่นๆช่วยปรับปรุงการรักษามะเร็ง.
detention	การกักบริเวณ	นักเรียนประท้วงต่อต้านสภาพการกักบริเวณ.
deteriorate	เสื่อมลง	สุขภาพของเขาเริ่มเสื่อมลง.
devastate	ทำลายล้าง	แผ่นดินไหวสามารถทำลายล้างเมืองชายฝั่งได้.
devil	ปีศาจ	เด็กน้อยวาดรูปปีศาจกำลังยิ้ม.
devise	คิดค้น	วิศวกรคิดค้นระบบขนส่งที่ปลอดภัยขึ้น.
diagnose	วินิจฉัย	แพทย์วินิจฉัยโรคด้วยการตรวจเลือด.
diagnosis	การวินิจฉัยโรค	การวินิจฉัยโรคอธิบายอาการของเธอ.
dictate	ควบคุม	สัญญาจะกำหนดเงื่อนไขการชำระเงิน.
dictator	เผด็จการ	เผด็จการควบคุมสื่อ.
differentiate	แยกแยะ	คุณสามารถแยกแยะข้อเท็จจริงจากความคิดเห็นได้ไหม.
dignity	ศักดิ์ศรี	ทุกคนสมควรได้รับศักดิ์ศรีในการทำงาน.
dilemma	ภาวะที่กลืนไม่เข้าคายไม่ออก	ผู้จัดการเผชิญกับสถานการณ์ที่กลืนไม่เข้าคายไม่ออกอย่างรุนแรง.
dimension	มิติ	ปัญหานี้มีมิติทางการเมือง.
diminish	ลดลง	ความเจ็บปวดน่าจะค่อยๆลดลง.
dip	ลดต่ำลง	อุณหภูมิอาจลดต่ำลงต่ำกว่าจุดเยือกแข็ง.
diplomat	นักการทูต	นักการทูตได้พบกับผู้นำต่างประเทศ.
diplomatic	ทางการทูต	การเจรจาทางการทูตดำเนินไปตลอดทั้งคืน.
directory	สมุดรายชื่อ	ค้นหาสมุดรายชื่อเพื่อหาเบอร์ของเขา.
disastrous	หายนะ	น้ำท่วมที่เป็นหายนะทำลายสะพานหลายแห่ง.
discard	ทิ้ง	อย่าทิ้งบันทึกที่มีประโยชน์.
discharge	ให้ออกจากโรงพยาบาล	โรงพยาบาลจะให้เขาออกจากโรงพยาบาลในวันพรุ่งนี้.
disclose	เปิดเผย	เจ้าหน้าที่ปฏิเสธที่จะเปิดเผยตัวเลข.
disclosure	การเปิดเผย	การเปิดเผยนั้นทำให้คณะกรรมการตกใจ.
discourse	การสนทนา	การสนทนาสาธารณะมีความสุภาพมากขึ้น.
discretion	ดุลพินิจ	ใช้ดุลพินิจของคุณกับคดีที่ละเอียดอ่อน.
discrimination	การเลือกปฏิบัติ	กฎหมายห้ามการเลือกปฏิบัติในการจ้างงาน.
dismissal	การไล่ออก	การไล่เขาออกทำให้ประชาชนโกรธเคือง.
displace	ทำให้ย้ายที่อยู่	สงครามอาจทำให้คนนับพันต้องย้ายที่อยู่.
disposal	การกำจัด	การกำจัดขยะยังคงเป็นปัญหาในท้องถิ่น.
dispose	กำจัด	บริษัทต้องกำจัดสารเคมีอย่างปลอดภัย.
dispute	ข้อพิพาท	ข้อพิพาทยืดเยื้อนานหลายเดือน.
disrupt	รบกวน	เสียงรบกวนสามารถรบกวนสมาธิได้.
disruption	การหยุดชะงัก	การนัดหยุดงานทำให้เกิดการหยุดชะงักครั้งใหญ่.
dissolve	ละลาย	น้ำตาลจะละลายในชาร้อน.
distinction	ความแตกต่าง	ความแตกต่างระหว่างพวกเขานั้นเป็นสิ่งสำคัญ.
distinctive	โดดเด่น	เธอมีเสียงที่โดดเด่น.
distort	บิดเบือน	กระจกสามารถบิดเบือนเงาสะท้อนของคุณได้.
distress	ความทุกข์ใจ	การโทรนั้นทำให้เกิดความทุกข์ใจอย่างรุนแรง.
disturbing	น่าตกใจ	สารคดีแสดงฉากที่น่าตกใจ.
divert	เปลี่ยนเส้นทาง	ตำรวจต้องเปลี่ยนเส้นทางการจราจร.
divine	ศักดิ์สิทธิ์	โบสถ์มีบรรยากาศที่ศักดิ์สิทธิ์.
doctrine	หลักการ	พรรคปฏิเสธหลักการเก่า.
documentation	เอกสาร	ทำเอกสารให้เสร็จก่อนการเปิดตัว.
domain	โดเมน	เว็บไซต์ใช้โดเมนที่ปลอดภัย.
dominance	ความได้เปรียบ	ความโดดเด่นของทีมกินเวลานานถึงหนึ่งทศวรรษ.
donor	ผู้บริจาค	ผู้บริจาคได้ให้เลือดในวันนี้.
dose	ปริมาณยา	รับประทานยาหนึ่งโดสหลังอาหารเช้า.
drain	ระบายน้ำ	น้ำจะระบายลงสู่แม่น้ำ.
drift	ลอย	ควันเริ่มลอยข้ามถนน.
driving	ที่เป็นแรงขับเคลื่อน	ฝนเป็นปัจจัยสำคัญที่อยู่เบื้องหลังความล่าช้า.
drown	จมน้ำ	ห้ามว่ายน้ำในจุดที่กระแสน้ำสามารถทำให้คุณจมน้ำได้.
dual	คู่	อุปกรณ์นี้มีฟังก์ชันสองอย่าง.
dub	ขนานนาม	นักวิจารณ์ขนานนามเมืองนี้ว่าเป็นเมืองหลวงทางวัฒนธรรม.
dumb	โง่	นั่นเป็นความผิดพลาดที่โง่เขลา.
duo	คู่หู	คู่หูนักแสดงตลกได้ไปทัวร์ยุโรป.
eager	กระตือรือร้น	นักเรียนต่างกระตือรือร้นที่จะเริ่ม.
earnings	รายได้	รายได้ของบริษัทเพิ่มขึ้นอย่างรวดเร็ว.
ease	บรรเทา	ถนนเส้นใหม่จะช่วยบรรเทาการจราจร.
echo	สะท้อน	เสียงของเธอสะท้อนก้องในห้องโถง.
ecological	ทางนิเวศวิทยา	ผลกระทบทางนิเวศวิทยายังคงไม่แน่นอน.
educator	นักการศึกษา	นักการศึกษาได้ออกแบบหลักสูตรใหม่.
effectiveness	ประสิทธิผล	การศึกษาได้วัดประสิทธิผลของวัคซีน.
efficiency	ประสิทธิภาพ	ซอฟต์แวร์ที่ดีกว่าช่วยปรับปรุงประสิทธิภาพ.
ego	อีโก้	อีโก้ของเขาทำให้เกิดปัญหาในที่ทำงาน.
elaborate	ซับซ้อน	เครื่องแต่งกายที่ประณีตใช้เวลาทำหลายสัปดาห์.
electoral	เกี่ยวกับการเลือกตั้ง	ระบบการเลือกตั้งเปลี่ยนไปเมื่อปีที่แล้ว.
elevate	ยกระดับ	รางวัลนี้จะช่วยยกระดับโปรไฟล์ของเธอ.
eligible	มีสิทธิ์	เฉพาะผู้ที่อยู่อาศัยเท่านั้นที่มีสิทธิ์ได้รับส่วนลด.
elite	ชนชั้นนำ	กลุ่มชนชั้นนำได้รับการฝึกฝนที่สถาบันการศึกษาเอกชน.
embark	เริ่มต้น	พวกเขาจะเริ่มต้นการเดินทางที่ยาวนาน.
embarrassment	ความอับอาย	เขาหัวเราะเพื่อซ่อนความเขินอายของเขา.
embassy	สถานทูต	สถานทูตได้ออกคำแนะนำการเดินทางใหม่.
embed	ฝังตัว	นักข่าวจะฝังตัวไปกับหน่วยรบ.
embody	เป็นตัวแทน	รูปปั้นนี้ดูเหมือนจะเป็นสัญลักษณ์ของความกล้าหาญ.
emergence	การปรากฏขึ้น	การปรากฏขึ้นของโทรศัพท์ได้เปลี่ยนชีวิตประจำวัน.
empirical	เชิงประจักษ์	บทความนี้อาศัยหลักฐานเชิงประจักษ์.
empower	ให้อำนาจ	การศึกษาสามารถเพิ่มศักยภาพให้กับชุมชนท้องถิ่นได้.
enact	ตรากฎหมาย	รัฐสภาลงมติให้ประกาศใช้การปฏิรูป.
encompass	ครอบคลุม	หลักสูตรนี้จะครอบคลุมถึงประวัติศาสตร์สมัยใหม่.
encouragement	การให้กำลังใจ	คำให้กำลังใจของเธอช่วยให้เขาทำต่อไปได้.
encouraging	น่าให้กำลังใจ	ผลลัพธ์ในช่วงแรกดูน่ายินดี.
endeavour	ความพยายาม	การช่วยเหลือเป็นความพยายามที่ยากลำบาก.
endless	ไม่มีที่สิ้นสุด	ทะเลทรายดูเหมือนไม่มีที่สิ้นสุด.
endorse	รับรอง	สหภาพแรงงานปฏิเสธที่จะรับรองผู้สมัคร.
endorsement	การรับรอง	การสนับสนุนของเขาช่วยส่งเสริมแคมเปญของเธอ.
endure	อดทน	พืชสามารถทนต่อฤดูหนาวที่รุนแรงได้.
enforce	บังคับใช้	ตำรวจบังคับใช้กฎหมายจำกัดความเร็ว.
enforcement	การบังคับใช้	การบังคับใช้ที่เข้มงวดขึ้นช่วยลดการทิ้งขยะผิดกฎหมาย.
engagement	ความผูกพัน	การมีส่วนร่วมของนักเรียนดีขึ้นในภาคเรียนนี้.
engaging	ดึงดูดใจ	วิทยากรบรรยายได้อย่างน่าสนใจ.
enquire	สอบถาม	โปรดสอบถามที่แผนกต้อนรับ.
enrich	ทำให้ดีขึ้น	การเดินทางสามารถเพิ่มพูนความเข้าใจของคุณได้.
enrol	ลงทะเบียน	นักศึกษาต้องลงทะเบียนก่อนเดือนกันยายน.
ensue	ตามมา	ความโกลาหลอาจตามมาหลังจากคำประกาศ.
enterprise	องค์กร	องค์กรว่าจ้างศิลปินท้องถิ่น.
enthusiast	ผู้ที่ชื่นชอบ	ผู้ที่ชื่นชอบการปั่นจักรยานทุกคนรู้เส้นทางนี้.
entitle	ให้สิทธิ์	ตั๋วใบนี้จะให้สิทธิ์คุณในการเข้างาน.
entity	นิติบุคคล	บริษัทเป็นนิติบุคคลที่แยกจากกัน.
epidemic	โรคระบาด	โรคระบาดแพร่กระจายไปในหลายภูมิภาค.
equality	ความเสมอภาค	ขบวนการนี้ต่อสู้เพื่อความเสมอภาค.
equation	สมการ	สมการมีสองตัวแปรที่ไม่ทราบค่า.
erect	สร้าง	คนงานจะสร้างรั้วใหม่.
escalate	เพิ่มขึ้น	ความขัดแย้งอาจบานปลายอย่างรวดเร็ว.
essence	แก่นแท้	บทกวีนี้จับแก่นแท้ของวัยเด็กได้.
establishment	การก่อตั้ง	กลุ่มผู้มีอำนาจคัดค้านการปฏิรูป.
eternal	นิรันดร์	พวกเขาสัญญาว่าจะเป็นเพื่อนกันตลอดไป.
evacuate	อพยพ	นักดับเพลิงช่วยให้ผู้อยู่อาศัยอพยพได้อย่างปลอดภัย.
evoke	กระตุ้น	เพลงนี้สามารถปลุกความทรงจำที่ชัดเจนได้.
evolutionary	เชิงวิวัฒนาการ	ฟอสซิลแสดงให้เห็นถึงการเปลี่ยนแปลงทางวิวัฒนาการ.
exaggerate	กล่าวเกินจริง	อย่าพูดเกินจริงเกี่ยวกับประสบการณ์ของคุณ.
excellence	ความเป็นเลิศ	โรงเรียนให้รางวัลความเป็นเลิศทางวิชาการ.
exceptional	ยอดเยี่ยม	เธอแสดงให้เห็นถึงทักษะที่ยอดเยี่ยม.
excess	ส่วนเกิน	น้ำที่มากเกินไปได้ท่วมห้องใต้ดิน.
exclusion	การแยกออก	การกีดกันทางสังคมก่อให้เกิดอันตรายต่อคนหนุ่มสาว.
exclusive	พิเศษ	สโมสรเสนอสิทธิ์การเข้าถึงแบบพิเศษ.
exclusively	โดยเฉพาะ	ห้องนี้ใช้สำหรับพนักงานโดยเฉพาะ.
execute	ดำเนินการ	ทีมงานจะดำเนินการตามแผนอย่างระมัดระวัง.
execution	การดำเนินการ	การดำเนินการตามกลยุทธ์ใช้เวลาหลายเดือน.
exert	ออกแรง	คุณต้องออกแรงกดให้มากขึ้น.
exile	การเนรเทศ	นักเขียนผู้นี้ใช้ชีวิตอย่างผู้ลี้ภัย.
expenditure	รายจ่าย	รายจ่ายสาธารณะเพิ่มขึ้นเมื่อปีที่แล้ว.
experimental	เชิงทดลอง	การรักษายังคงอยู่ในขั้นทดลอง.
expire	หมดอายุ	หนังสือเดินทางของฉันจะหมดอายุเร็วๆนี้.
explicit	ชัดเจน	คำแนะนำนั้นชัดเจนมาก.
explicitly	อย่างชัดเจน	กฎระเบียบห้ามสูบบุหรี่อย่างชัดเจน.
exploitation	การเอารัดเอาเปรียบ	รายงานได้เปิดเผยการเอารัดเอาเปรียบแรงงาน.
explosive	วัตถุระเบิด	อุปกรณ์ระเบิดถูกเคลื่อนย้ายออกไปอย่างปลอดภัย.
extremist	พวกหัวรุนแรง	กลุ่มหัวรุนแรงสูญเสียการสนับสนุน.
facilitate	อำนวยความสะดวก	แอปนี้จะอำนวยความสะดวกในการเรียนทางไกล.
faction	ฝ่าย	ฝ่ายหนึ่งต่อต้านผู้นำ.
faculty	คณะ	คณะอนุมัติข้อเสนอนี้แล้ว.
fade	จางหาย	สีจะซีดจางเมื่อโดนแสงแดด.
fairness	ความยุติธรรม	ความยุติธรรมมีความสำคัญในทุกการแข่งขัน.
fatal	ถึงแก่ชีวิต	อุบัติเหตุทำให้เกิดการบาดเจ็บถึงชีวิต.
fate	โชคชะตา	ไม่มีใครรู้ชะตากรรมของเขา.
favourable	เป็นที่ชื่นชอบ	บทวิจารณ์ออกมาในแง่ดี.
feat	ความสำเร็จ	การปีนยอดเขานั้นเป็นความสำเร็จอย่างหนึ่ง.
feminist	สตรีนิยม	ขบวนการเรียกร้องสิทธิสตรีได้เปลี่ยนการถกเถียงในที่สาธารณะ.
fibre	เส้นใย	ขนมปังนี้มีใยอาหารพิเศษ.
fierce	ดุร้าย	พายุที่รุนแรงทำให้หลังคาเสียหาย.
film-maker	ผู้สร้างภาพยนตร์	ผู้สร้างภาพยนตร์ตอบคำถามในภายหลัง.
filter	แผ่นกรอง	ตัวกรองช่วยกำจัดฝุ่นละอองออกจากอากาศ.
fine	ค่าปรับ	บริษัทได้จ่ายค่าปรับ.
firearm	อาวุธปืน	เจ้าหน้าที่กู้คืนอาวุธปืนที่ถูกขโมยไปได้.
fit	ความพอดี	รองเท้าคู่ใหม่มีความพอดีอย่างสมบูรณ์แบบ.
fixture	สิ่งติดตั้งถาวร	โคมไฟนี้เป็นสิ่งติดตั้งถาวร.
flaw	ข้อบกพร่อง	การออกแบบมีข้อบกพร่องร้ายแรงหนึ่งจุด.
flawed	ที่มีข้อบกพร่อง	การศึกษาที่มีข้อบกพร่องให้ผลลัพธ์ที่เป็นเท็จ.
flee	หลบหนี	ครอบครัวต่างๆต้องหลบหนีจากการต่อสู้.
fleet	กองบิน	สายการบินได้ปรับปรุงกองบินใหม่.
flesh	เนื้อ	หนามทิ่มแทงเนื้อของเขา.
flexibility	ความยืดหยุ่น	การทำงานทางไกลให้ความยืดหยุ่นมากกว่า.
flourish	เจริญรุ่งเรือง	ธุรกิจขนาดเล็กสามารถเจริญรุ่งเรืองได้ที่นี่.
fluid	ของเหลว	ดื่มของเหลวมากๆหลังออกกำลังกาย.
footage	ภาพวิดีโอ	ภาพวิดีโอแสดงให้เห็นการชน.
foreigner	ชาวต่างชาติ	แบบฟอร์มถามว่าคุณเป็นชาวต่างชาติหรือไม่.
forge	สร้าง	พวกเขาพยายามสร้างพันธมิตรใหม่.
formula	สูตร	สูตรนี้แก้ปัญหาได้.
formulate	คิดค้น	นักวิทยาศาสตร์คิดค้นทฤษฎีใหม่.
forth	ไปข้างหน้า	แม่น้ำพัดพาเรือไปข้างหน้า.
forthcoming	ที่กำลังจะมาถึง	รายงานที่กำลังจะมาถึงจะอธิบายทุกอย่าง.
foster	ส่งเสริม	โครงการนี้ช่วยส่งเสริมความอิสระ.
fragile	เปราะบาง	แจกันที่เปราะบางต้องได้รับการจัดการอย่างระมัดระวัง.
franchise	แฟรนไชส์	ร้านอาหารนี้กลายเป็นแฟรนไชส์ระดับโลก.
frankly	พูดตามตรง	พูดตามตรงเราต้องการเวลามากกว่านี้.
frustrated	หงุดหงิด	คนงานรู้สึกหงุดหงิดกับความล่าช้า.
frustrating	น่าหงุดหงิด	การเชื่อมต่อที่ช้านั้นน่าหงุดหงิด.
frustration	ความหงุดหงิด	ความหงุดหงิดเพิ่มขึ้นระหว่างการประชุม.
functional	ใช้การได้	ห้องครัวเก่ายังคงใช้การได้.
fundraising	การระดมทุน	การระดมทุนจะเริ่มขึ้นในสัปดาห์หน้า.
funeral	งานศพ	งานศพจัดขึ้นในวันศุกร์.
gallon	แกลลอน	ถังบรรจุได้หนึ่งแกลลอน.
gambling	การพนัน	การพนันถูกจำกัดโดยกฎหมาย.
gathering	การชุมนุม	การชุมนุมจบลงอย่างสงบ.
gaze	สายตา	เธอจ้องตากับเขาชั่วครู่.
gear	อุปกรณ์	จัดเตรียมอุปกรณ์ความปลอดภัยก่อนปีนเขา.
generic	ทั่วไป	เวอร์ชันทั่วไปมีราคาถูกกว่า.
genocide	การฆ่าล้างเผ่าพันธุ์	การฆ่าล้างเผ่าพันธุ์ทิ้งบาดแผลลึกระดับชาติไว้.
glance	การชำเลืองมอง	เขาชำเลืองมองอย่างรวดเร็ว.
glimpse	การมองแวบเดียว	ฉันมองเห็นทะเลแวบหนึ่ง.
glorious	รุ่งโรจน์	ทีมงานได้ฉลองชัยชนะอันรุ่งโรจน์.
glory	ความรุ่งโรจน์	เธอใฝ่ฝันถึงความรุ่งโรจน์ของโอลิมปิก.
governance	การกำกับดูแล	การกำกับดูแลที่ดีต้องมีความโปร่งใส.
grace	ความสง่างาม	เธอยอมรับความพ่ายแพ้อย่างสง่างาม.
grasp	เข้าใจ	เขาไม่สามารถเข้าใจแนวคิดนี้ได้.
grave (for dead person)	หลุมศพ	หลุมศพถูกปกคลุมไปด้วยดอกไม้.
grave (serious)	ร้ายแรง	สถานการณ์ยังคงร้ายแรง.
gravity	แรงโน้มถ่วง	แรงโน้มถ่วงดึงดูดวัตถุเข้าหาโลก.
grid	ตาราง	แผนที่นี้ใช้ตารางง่ายๆ.
grief	ความโศกเศร้า	ความโศกเศร้าได้เปลี่ยนแปลงครอบครัวของเขาทั้งหมด.
grin	รอยยิ้มกว้าง	เด็กชายยิ้มกว้าง.
grind	บด	คนงานบดเมล็ดถั่วทุกเช้า.
grip	การจับ	จับเชือกให้แน่น.
gross	ทั้งหมด	รายได้รวมเพิ่มขึ้นอย่างรวดเร็ว.
guerrilla	กองโจร	นักรบกองโจรซ่อนตัวอยู่ในเนินเขา.
guidance	คำแนะนำ	คู่มือนี้ให้คำแนะนำที่นำไปใช้ได้จริง.
guilt	ความรู้สึกผิด	เธอรู้สึกผิดหลังจากที่โกหก.
gut	สัญชาตญาณ	เชื่อสัญชาตญาณของคุณในทางเลือกที่ยากลำบาก.
hail	ยกย่อง	ชาวบ้านยกย่องหมอว่าเป็นฮีโร่.
halfway	ครึ่งทาง	พวกเราหยุดพักที่ครึ่งทางขึ้นเนิน.
halt	การหยุด	รถไฟหยุดกะทันหัน.
handful	จำนวนหนึ่ง	อาสาสมัครกลุ่มเล็กๆอยู่ดึก.
handling	การจัดการ	การจัดการที่เหมาะสมช่วยป้องกันความเสียหาย.
handy	มีประโยชน์	เครื่องมือนี้มีประโยชน์สำหรับการซ่อมแซม.
harassment	การล่วงละเมิด	บริษัทตรวจสอบข้อร้องเรียนเรื่องการล่วงละเมิด.
hardware	ฮาร์ดแวร์	ร้านค้าจำหน่ายฮาร์ดแวร์คอมพิวเตอร์.
harmony	ความกลมกลืน	คณะประสานเสียงร้องเพลงอย่างกลมกลืนสมบูรณ์แบบ.
harsh	รุนแรง	ผู้พิพากษาตัดสินลงโทษอย่างรุนแรง.
harvest	การเก็บเกี่ยว	การเก็บเกี่ยวเริ่มในเดือนกันยายน.
haunt	หลอกหลอน	ความทรงจำยังคงหลอกหลอนเขา.
hazard	อันตราย	น้ำแข็งเป็นอันตรายร้ายแรงบนท้องถนน.
heighten	เพิ่มขึ้น	คำกล่าวอาจเพิ่มความตึงเครียด.
heritage	มรดก	ปราสาทนี้เป็นส่วนหนึ่งของมรดกท้องถิ่น.
hierarchy	ลำดับชั้น	ลำดับชั้นในสำนักงานถูกกำหนดไว้อย่างชัดเจน.
high-profile	โด่งดัง	การพิจารณาคดีที่โด่งดังดึงดูดผู้สื่อข่าว.
hint	คำใบ้	เธอให้คำใบ้ที่เป็นประโยชน์แก่ฉัน.
homeland	บ้านเกิด	เขากลับไปที่บ้านเกิดของเขา.
hopeful	มีความหวัง	แพทย์มีความหวังเกี่ยวกับการฟื้นตัว.
horizon	ขอบฟ้า	ดวงอาทิตย์หายไปใต้ขอบฟ้า.
horn	แตร	แตรถยนต์ปลุกทุกคน.
hostage	ตัวประกัน	ตัวประกันเดินทางกลับบ้าน.
hostile	เป็นศัตรู	ฝูงชนกลายเป็นศัตรู.
hostility	ความเป็นปรปักษ์	ความเป็นปรปักษ์อย่างเปิดเผยทำให้การเจรจาสิ้นสุดลง.
humanitarian	ด้านมนุษยธรรม	ภารกิจด้านมนุษยธรรมจัดส่งอาหาร.
humanity	มนุษยชาติ	มนุษยชาติต้องเผชิญกับความท้าทายร่วมกัน.
humble	ถ่อมตัว	เธอยังคงถ่อมตัวหลังจากประสบความสำเร็จ.
hydrogen	ไฮโดรเจน	ไฮโดรเจนเผาไหม้ได้ง่ายมาก.
identification	บัตรประจำตัว	ต้องแสดงบัตรประจำตัวที่ทางเข้า.
ideological	ทางอุดมการณ์	ข้อพิพาทนี้มีรากฐานทางอุดมการณ์.
ideology	อุดมการณ์	อุดมการณ์ของเขากำหนดรูปแบบของทุกคำปราศรัย.
idiot	คนงี่เง่า	อย่าเรียกใครว่าคนงี่เง่า.
ignorance	ความไม่รู้	ความไม่รู้สามารถแพร่กระจายความกลัวได้.
imagery	ภาพพจน์	บทกวีใช้ภาพพจน์ที่สดใส.
immense	มหาศาล	โครงการนี้ต้องใช้ความพยายามอย่างมหาศาล.
imminent	จวนจะเกิดขึ้น	พายุดูเหมือนจะจวนจะเกิดขึ้น.
implementation	การดำเนินการ	การดำเนินการตามกฎหมายเป็นไปอย่างล่าช้า.
imprison	จำคุก	รัฐบาลพยายามจำคุกนักวิจารณ์.
imprisonment	การจำคุก	การจำคุกของเขากินเวลาห้าปี.
inability	ความไม่สามารถ	ความไม่สามารถในการจดจ่อของเธอทำให้ครูเป็นกังวล.
inadequate	ไม่เพียงพอ	ที่พักพิงมีเครื่องทำความร้อนไม่เพียงพอ.
inappropriate	ไม่เหมาะสม	เรื่องตลกของเขาไม่เหมาะสม.
incidence	อุบัติการณ์	อุบัติการณ์ของไข้หวัดใหญ่เพิ่มขึ้น.
inclined	มีแนวโน้ม	เธอมีแนวโน้มที่จะเห็นด้วย.
inclusion	การรวมเข้าด้วยกัน	โรงเรียนส่งเสริมการรวมเข้าด้วยกัน.
