source_headword	IT	example_IT
storm	la tempesta	Sta arrivando una tempesta.
straight	dritto	Vai dritto a casa.
strange	strano	Quel suono è strano.
strategy	la strategia	Abbiamo bisogno di una strategia.
stress	lo stress	Il lavoro può causare stress.
structure	la struttura	Questa struttura è forte.
stupid	stupido	È stato un errore stupido.
succeed	riuscire	Puoi riuscire qui.
successful	di successo	È diventata una persona di successo.
such	tale	Tale aiuto è utile.
suddenly	all'improvviso	All'improvviso il cane è scappato.
suggest	suggerire	Suggerisco una breve pausa.
suggestion	il suggerimento	Il tuo suggerimento è utile.
suit	il completo	Questo completo è costoso.
support	sostenere	Sosteniamo la nostra squadra.
suppose	supporre	Suppongo che tu abbia ragione.
surprise	la sorpresa	La sorpresa l'ha resa felice.
surprised	sorpreso	Oggi è rimasta sorpresa.
surprising	sorprendente	Il risultato era sorprendente.
survey	il sondaggio	Per favore completa il sondaggio.
sweet	dolce	Questo tè è dolce.
symbol	il simbolo	Questo simbolo significa pericolo.
system	il sistema	Il sistema funziona bene.
tablet	il tablet	Il mio tablet è sulla scrivania.
target	il bersaglio	Colpisci con cura il bersaglio.
task	il compito	Questo compito è facile.
taste	assaggiare	Assaggia prima la zuppa.
teaching	l'insegnamento	Insegnare è un lavoro difficile.
technology	la tecnologia	La tecnologia cambia rapidamente.
teenage	adolescente	Mio fratello adolescente studia molto.
temperature	la temperatura	La temperatura è bassa.
term	il trimestre	Questo trimestre finisce presto.
themselves	se stessi	Hanno cucinato la cena da soli.
thick	spesso	Questo libro è spesso.
thief	il ladro	Il ladro è scappato.
thin	sottile	La carta è sottile.
thinking	il pensiero	Pensare richiede tempo.
thought	il pensiero	Ho avuto un pensiero strano.
throw	lanciare	Lancia la palla delicatamente.
tidy	ordinato	Tieni ordinata la tua stanza.
tie	allacciare	Allacciati le scarpe adesso.
tip	la mancia	Lascia una mancia per il servizio.
tool	l'attrezzo	Usa l'attrezzo giusto.
top	la parte superiore	Lo scaffale più alto è pieno.
touch	toccare	Non toccare il vetro.
tour	il tour	Abbiamo fatto un tour della città.
tourism	il turismo	Il turismo aiuta questa città.
towards	verso	Cammina verso la stazione.
towel	l'asciugamano	Porta un asciugamano pulito.
tower	la torre	La torre è molto antica.
toy	il giocattolo	L'auto giocattolo è rossa.
track	il sentiero	Il sentiero va verso nord.
tradition	la tradizione	Questa tradizione è antica.
traditional	tradizionale	Indossava abiti tradizionali.
trainer	l'allenatore	Il mio allenatore è disponibile.
training	l'allenamento	L'allenamento inizia domani.
transport	il trasporto	Il trasporto pubblico è in ritardo.
traveller	il viaggiatore	Il viaggiatore ha chiesto aiuto.
trouble	il problema	Abbiamo avuto un problema ieri.
truck	il camion	Il camion è fuori.
twin	il gemello/la gemella	La mia sorella gemella è più alta.
typical	tipico	Questa è una giornata tipica.
underground	sotterraneo	Il treno corre sottoterra.
understanding	la comprensione	La tua comprensione è corretta.
unfortunately	purtroppo	Purtroppo il negozio è chiuso.
unhappy	infelice	Sembra infelice.
uniform	l'uniforme	Indossa un'uniforme scolastica.
unit	l'unità	Questa unità è piccola.
united	unito	La squadra è rimasta unita.
unusual	insolito	Quel suono è insolito.
used to modal	un tempo	Un tempo vivevamo qui.
user	l'utente	Ogni utente ha un numero.
usual	solito	Ho preso il mio solito posto.
valley	la valle	La valle è verde.
van	il furgone	Il furgone è pieno.
variety	la varietà	Abbiamo bisogno di più varietà.
vehicle	il veicolo	Questo veicolo è lento.
view	la vista	La vista è bellissima.
virus	il virus	Un virus lo ha fatto ammalare.
voice	la voce	La sua voce è bassa.
war	la guerra	La guerra è finita anni fa.
washing	il bucato	Il bucato è fuori.
wave	l'onda	Un'onda ha colpito la barca.
weak	debole	Le mie gambe si sentono deboli.
web	il web	La pagina web è aperta.
wedding	il matrimonio	Il matrimonio inizia presto.
weight	il peso	Controlla prima il peso.
wet	bagnato	Le mie scarpe sono bagnate.
wheel	la ruota	La ruota è rotta.
while	un po'	Aspetta qui un po'.
whole	intero	Ho mangiato tutta la mela.
whose	di chi	Di chi è questo telefono?
wide	largo	La strada è larga.
wild	selvatico	Gli animali selvatici vivono qui.
wind1	il vento	Il vento è forte.
winner	il vincitore	Il vincitore ha sorriso.
wish	il desiderio	Esprimi un desiderio.
wood	il legno	La sedia è fatta di legno.
wooden	di legno	La scatola di legno è pesante.
working	lavorativo	La giornata lavorativa è finita.
worried	preoccupato	Oggi mi sento preoccupato.
worry	preoccuparsi	Non preoccuparti adesso.
worse	peggiore	Questo dolore è peggiore.
worst	il peggiore	Quello è stato il giorno peggiore.
wow	wow	Wow, è incredibile!
yet	già	Siamo già arrivati?
yours	tuo	Questo libro è tuo.
zero	zero	Conta fino a zero.
