source_headword	NO	example_NO
division	en avdeling	Hun jobber i økonomiavdelingen.
domestic	innenlandsk	Innenlandsfly er billigere.
dominate	dominere	Ett lag dominerte kampen.
downwards	nedover	Pilen peker nedover.
dozen	et dusin	Han kjøpte et dusin egg.
draft	et utkast	Det første utkastet er klart.
drag	dra	Dra stolen mot veggen.
dramatic	dramatisk	Endringen var dramatisk.
edit	redigere	Rediger teksten nøye.
edition	en utgave	Denne utgaven inneholder nye kort.
efficient	effektiv	Systemet er effektivt.
elderly	eldre	Den eldre mannen fikk hjelp.
elect	velge	De valgte en ny leder.
elsewhere	annet sted	Vi må lete et annet sted.
emerge	dukke opp	Nye fakta dukket opp.
emotional	følelsesmessig	Samtalen ble følelsesmessig.
emphasis	en vektlegging	Vektleggingen ligger på sikkerhet.
emphasize	understreke	Understrek det viktigste punktet.
enable	gjøre mulig	Appen gjør rask læring mulig.
encounter	støte på	De støtte på et problem.
engage	engasjere	Læreren engasjerte klassen.
enhance	forbedre	Denne funksjonen forbedrer opplevelsen.
enquiry	en undersøkelse	Undersøkelsen starter i morgen.
ensure	sikre	Sjekk dette for å sikre trygghet.
enthusiasm	entusiasme	Hennes entusiasme smittet.
enthusiastic	entusiastisk	Gruppen var entusiastisk.
entire	hel	Hele laget kom.
entirely	helt	Jeg er helt enig.
establish	etablere	De etablerte et nytt selskap.
estate	en eiendom	Eiendommen ligger utenfor byen.
estimate	et anslag	Anslaget var for lavt.
ethical	etisk	Valget var etisk vanskelig.
evaluate	evaluere	Vi må evaluere resultatene.
evil	ondskap	Fortellingen handler om ondskap.
examination	en undersøkelse	Undersøkelsen tok to timer.
excuse	en unnskyldning	Unnskyldningen hørtes svak ut.
executive	en leder	Lederen trakk seg.
existence	en eksistens	Brevets eksistens ble bekreftet.
expectation	en forventning	Forventningen var for høy.
expense	en utgift	Denne utgiften var ikke planlagt.
exploration	en utforskning	Utforskningen startet tidlig.
expose	utsette	Ikke utsett barn for røyk.
extend	forlenge	De forlenget fristen.
extent	et omfang	Skadens omfang er ukjent.
external	ekstern	Et eksternt team kontrollerer dette.
extraordinary	ekstraordinær	Det var en ekstraordinær prestasjon.
facility	et anlegg	Anlegget åpner neste uke.
failure	en fiasko	Hans fiasko var smertefull.
faith	tro	Hun mistet troen på systemet.
fault	en feil	Det var ikke din feil.
feather	en fjær	En fjær lå på bordet.
fee	en avgift	Avgiften er inkludert.
feedback	tilbakemelding	Tilbakemeldingen var nyttig.
fellow	en kollega	Min kollega hjalp meg.
finance	finans	Hun studerer finans.
finding	et funn	Funnet overrasket teamet.
firm	et firma	Firmaet vokser raskt.
flame	en flamme	Flammen ble større.
flash	et lyn	Et lyn lyste opp rommet.
flexible	fleksibel	Planen er fleksibel.
float	flyte	Tre kan flyte på vann.
folding	sammenleggbar	Hun kjøpte en sammenleggbar stol.
forgive	tilgi	Jeg kan tilgi ham.
former	tidligere	Den tidligere direktøren snakket kort.
fortune	en formue	Han mistet formuen sin.
found	grunnlegge	De grunnla klubben i 1998.
freedom	frihet	Frihet er viktig for alle.
frequency	en frekvens	Frekvensen økte.
fully	fullstendig	Jeg forstår det fullstendig.
fund	et fond	Fondet støtter forskning.
fundamental	grunnleggende	Dette er en grunnleggende rettighet.
funding	finansiering	Finansieringen ble godkjent.
furthermore	dessuten	Dessuten er planen billigere.
gain	vinne	De vant mer støtte.
gang	en gjeng	Gjengen ble arrestert.
generate	generere	Programmet genererer en rapport.
genre	en sjanger	Jeg liker denne sjangeren.
govern	styre	Lover styrer hvordan landet fungerer.
grab	ta tak i	Ta tak i vesken raskt.
gradually	gradvis	Smerten forsvant gradvis.
grand	storslått	Hotellet hadde en storslått inngang.
grant	et tilskudd	Skolen fikk et tilskudd.
guarantee	en garanti	Garantien gjelder i to år.
handle	håndtere	Hun kan håndtere press godt.
harm	skade	Røyking forårsaker skade.
harmful	skadelig	Dette stoffet er skadelig.
hearing	hørsel	Hørselen hans ble svakere.
heaven	himmelen	Himmelen var klar.
heel	en hæl	Hælen min gjør vondt.
hell	helvete	Reisen føltes som helvete.
hesitate	nøle	Ikke nøl med å ringe.
hollow	hul	Treet var hult inni.
holy	hellig	Tempelet er et hellig sted.
honour	en ære	Det var en stor ære.
household	en husholdning	Hver husholdning fikk et brev.
housing	boliger	Boliger er dyre her.
humorous	humoristisk	Historien hans var humoristisk.
humour	humor	Humoren hennes roet alle.
hunting	jakt	Jakt er forbudt her.
illustrate	illustrere	Diagrammet illustrerer forskjellen.
illustration	en illustrasjon	Illustrasjonen er på side to.
imagination	fantasi	Bruk fantasien din.
impatient	utålmodig	Han ble utålmodig i køen.
imply	antyde	Antyder du at jeg tar feil?
impose	innføre	Regjeringen innførte nye regler.
impress	imponere	Motet hennes imponerte alle.
impressed	imponert	Jeg var imponert over arbeidet.
inch	en tomme	Skjermen er fem tommer bred.
incident	en hendelse	Hendelsen ble undersøkt.
income	en inntekt	Inntekten hennes økte i år.
increasingly	stadig mer	Det blir stadig mer tydelig.
industrial	industriell	Byen har et industriområde.
infection	en infeksjon	Infeksjonen spredte seg raskt.
inform	informere	Informer oss om endringer.
initial	opprinnelig	De opprinnelige kostnadene var høye.
initially	opprinnelig	Opprinnelig forsto ingen det.
initiative	et initiativ	Hun tok initiativet.
inner	indre	Hans indre styrke besto.
insight	en innsikt	Forskningen ga ny innsikt.
insist	insistere	Hun insisterte på et svar.
inspire	inspirere	Historien hennes inspirerte klassen.
install	installere	Installer appen i dag.
instance	et eksempel	Dette er et tydelig eksempel.
