simplified	TR	example_TR
层次	seviye; katman; yapı	Bu makalenin yapısı çok açık.
差别	fark; ayrım	İki yöntem arasında çok fark yok.
插座	priz	Bu odada yeterince priz yok.
查获	ele geçirmek; soruşturup yakalamak	Gümrük bir parti sahte mala el koydu.
刹那	bir an; göz açıp kapayıncaya kadar	Bir anda bütün ışıklar söndü.
岔	yol ayrımı; çatallanma	Arabalar ilerideki kavşakta ayrıldı.
诧异	şaşırmış; hayrete düşmüş	Onun kararı herkesi çok şaşırttı.
柴油	dizel yakıt	Bu kamyon dizel yakıt kullanır.
搀	kolundan desteklemek; karıştırmak	Hemşire yaşlı kişiyi kolundan destekleyerek koğuşa götürdü.
缠绕	dolanmak; sarılmak	Sarmaşıklar dallara dolanıyor.
馋	canı çekmek; açgözlü	Pastayı görünce çocuğun canı çekti.
产业	sektör; sanayi; mülk	Turizm burada önemli bir sektördür.
阐述	açıklamak; ayrıntılı anlatmak	Profesör görüşünü ayrıntılı biçimde açıkladı.
颤抖	titremek	O kadar üşüdü ki bütün vücudu titredi.
昌盛	refah içinde; gelişmiş	Ülkenin refah içinde gelişmesini umuyoruz.
偿还	geri ödemek; borcu kapatmak	Borcunu zamanında geri ödedi.
尝试	denemek; girişimde bulunmak	Yeni bir yöntem deneyebiliriz.
场合	durum; ortam; vesile	Böyle bir ortam şaka yapmak için uygun değil.
场面	sahne; manzara; ortam	Düğün ortamı çok hareketliydi.
场所	yer; mekan	Burası halka açık bir yer, lütfen sigara içmeyin.
敞开	sonuna kadar açık; açmak	Lütfen pencereyi bir süre sonuna kadar açık bırak.
倡导	savunmak; öncülük etmek; teşvik etmek	Okul sağlıklı bir yaşam tarzını savunuyor.
倡议	girişim; öneri; önermek	Bu çevre girişimi destek gördü.
畅通	açık; engelsiz; akıcı	Yağmur durduktan sonra yol yeniden açıldı.
畅销	çok satan; iyi satmak	Bu roman çok iyi satıyor.
超越	aşmak; geride bırakmak	Sonunda kendi rekorunu aştı.
钞票	banknot; kağıt para	Cüzdanda yalnızca birkaç banknot kaldı.
嘲笑	alay etmek; küçümseyerek gülmek	Başkalarının eksikleriyle alay etme.
巢穴	in; yuva; sığınak	Avcı hayvanın inini buldu.
朝代	hanedan; dönem	Tang Hanedanı Çin tarihindeki bir hanedandır.
潮流	akım; eğilim; moda	Gençler moda akımlarını yakından takip eder.
撤退	geri çekilmek; çekilmek	Birlikler emri alınca geri çekildi.
撤销	iptal etmek; yürürlükten kaldırmak	Mahkeme önceki kararı iptal etti.
沉淀	çökelmek; tortu bırakmak	Çamur yavaş yavaş çökelecek.
沉闷	bunaltıcı; sıkıcı; ağır	Bugün hava sıcak ve bunaltıcı.
沉思	derin düşünce; tefekkür etmek	Pencerenin yanında derin düşüncelere daldı.
沉重	ağır; ciddi; iç karartıcı	Bu haber herkesi ağır bir duyguya sürükledi.
沉着	sakin; soğukkanlı	Tehlike karşısında sakin kal.
陈旧	eski; modası geçmiş	Bu makine artık çok eski.
陈列	sergilemek; teşhir etmek	Sergi salonunda birçok kültürel eser sergileniyor.
陈述	açıklamak; beyan etmek	Lütfen gerçekleri açıkça anlatın.
称心如意	gönlüne göre; memnuniyet verici	Bu iş onun için çok memnuniyet verici.
衬托	öne çıkarmak; destekleyip belirtmek	Beyaz duvar çiçeklerin rengini öne çıkarıyor.
称号	unvan; ad	O üstün öğretmen unvanını aldı.
乘	binmek; yararlanmak	Her gün işe metroyla gidiyorum.
呈现	görünmek; ortaya çıkmak; sunmak	Gökyüzü soluk kırmızı bir renk aldı.
城堡	kale; şato	Dağın tepesinde eski bir şato var.
惩罚	cezalandırmak; ceza	Okul kopya çeken öğrencileri cezalandıracak.
成本	maliyet	Hammadde fiyatlarının yükselmesi maliyeti artırdı.
成交	anlaşmaya varmak; satış gerçekleşmek	Bu iş anlaşması sonunda tamamlandı.
成天	bütün gün; sürekli	Bütün gün bilgisayarın önünde oturuyor.
成效	sonuç; etki	Yeni yönetim yöntemi kısa sürede sonuç verdi.
成心	bilerek; kasten	Seni bilerek zor durumda bırakmadı.
成员	üye	Her üye toplantıya katılmalıdır.
承办	üstlenmek; organize etmek	Bu şirket sergiyi organize etti.
承包	ihale almak; üstlenmek	Bu projeyi onlar üstlendi.
承诺	söz vermek; taahhüt	Zamanında bitireceğine söz verdi.
橙	portakal	Birkaç taze portakal aldım.
澄清	açıklığa kavuşturmak; berrak	Müdür yanlış anlamayı açıklığa kavuşturmak için konuştu.
盛	koymak; doldurmak; içine almak	Kadın misafir için bir kase çorba doldurdu.
诚挚	içten; samimi	Lütfen içten teşekkürlerimi kabul edin.
秤	terazi	Bu terazi pek doğru değil.
吃苦	zorluğa katlanmak	Gençler zorluğa katlanmayı öğrenmelidir.
吃力	zorlanmak; güç harcamak	Bu kutuyu taşımak çok güç gerektiriyor.
持久	kalıcı; uzun süreli	Başarı kalıcı çaba gerektirir.
迟钝	tepkisi yavaş; ağırkanlı	Son zamanlarda tepkileri biraz yavaşladı.
迟缓	yavaş; ağır	Yağmurdan sonra trafik yavaşladı.
迟疑	tereddüt etmek	Cevap vermeden önce bir an tereddüt etti.
赤道	ekvator	Ekvator yakınlarında hava yıl boyunca sıcaktır.
赤字	açık; bütçe açığı	Şirket bu yıl açık verdi.
充当	rolünü üstlenmek; görev yapmak	Projede koordinatör olarak görev yaptı.
充沛	bol; dinç; güçlü	Çocukların enerjisi çok bol.
充实	dolu; zengin; anlamlı	Bu deneyim hayatımı daha anlamlı hale getirdi.
充足	yeterli; bol	Yolculuktan önce yeterli su hazırlayın.
冲动	dürtü; anlık heyecan	Anlık bir dürtüyle karar verme.
冲击	etki; darbe; sarsmak	Yeni teknoloji geleneksel sektörleri etkiledi.
冲突	çatışma; çelişki	İki taraf da çatışmadan kaçınmaya çalıştı.
崇拜	hayran olmak; tapınmak	Birçok genç bu bilim insanına hayranlık duyuyor.
崇高	yüce; soylu	Doktorun görevi yücedir.
崇敬	derin saygı duymak	Öğrencilerin hepsi bu öğretmene büyük saygı duyar.
重叠	örtüşmek; üst üste binmek	Bu iki görev kısmen örtüşüyor.
稠密	yoğun	Buranın nüfusu çok yoğundur.
筹备	hazırlık yapmak	Düğün için hazırlık yapıyorlar.
丑恶	çirkin; iğrenç	O, olayın arkasındaki çirkin gerçeği ortaya çıkardı.
出路	çıkış yolu; gelecek yolu	Eğitim gençlere daha fazla çıkış yolu sağlayabilir.
出卖	satmak; ihanet etmek	Arkadaşlarına ihanet etmezdi.
出身	köken; aile geçmişi	Sıradan bir aileden geliyor.
出神	dalıp gitmiş; kendinden geçmiş	Müziği dinlerken dalıp gitti.
出息	umut vadetmek; gelecek	Bu çocuğun geleceği umut verici.
初步	ilk; ön; geçici	Ön bir anlaşmaya vardık.
除	çıkarmak; hariç tutmak; ortadan kaldırmak	Onun dışında herkes geldi.
储备	rezerv; biriktirmek; yedeklemek	Şirketin daha fazla fon ayırması gerekiyor.
储存	depolamak; saklamak	Bu veriler otomatik olarak saklanacak.
储蓄	biriktirmek; tasarruf; mevduat	Her ay maaşının bir kısmını biriktirir.
处分	disiplin cezası vermek; cezalandırmak	Okul ona ağır bir disiplin cezası verdi.
处境	durum; zor durum	Mevcut durumları çok zor.
处置	ele almak; işlemek; uygun şekilde işlem yapmak	Bu eski ekipmanın uygun şekilde ele alınması gerekiyor.
触犯	ihlal etmek; karşı gelmek	Bunu yapmak yasayı ihlal eder.
川流不息	kesintisiz akmak; aralıksız devam etmek	Caddedeki araçlar aralıksız akıyor.
穿越	içinden geçmek; aşmak	Tren uzun tünelden geçti.
传达	iletmek; aktarmak	Lütfen bu mesajı herkese iletin.
传单	el ilanı; broşür	Gönüllüler sokakta el ilanı dağıttı.
传授	aktarmak; öğretmek	Öğretmen deneyimini öğrencilere aktardı.
船舶	gemiler; deniz taşıtları	Limanda birçok gemi demirli.
喘气	nefes nefese kalmak; solumak	Koştuktan sonra sürekli nefes nefese kaldı.
串	dizmek; sıra; şiş	Kadın boncukları bir kolyeye dizdi.
床单	çarşaf	Lütfen çarşafı değiştir.
创立	kurmak; tesis etmek	Bu şirketi birlikte kurdular.
创新	yenilik; inovasyon	Şirket gelişimi sürekli yenilik gerektirir.
创业	iş kurmak; girişim başlatmak	Birçok genç iş kurmayı seçiyor.
创作	yaratmak; eser üretmek	Yazar uzun bir roman yazıyor.
吹牛	böbürlenmek; palavra atmak	Palavra atma, kanıt göster.
吹捧	abartılı övmek; pohpohlamak	Medya bu ürünü aşırı övdü.
炊烟	ocak dumanı; mutfak bacası dumanı	Akşamleyin köyden ocak dumanı yükseldi.
垂直	dikey; birbirine dik	Bu iki çizgi birbirine diktir.
锤	çekiç; çekiçlemek	İşçi demir levhaya çekiçle vurdu.
纯粹	tamamen; sırf	Yardımı tamamen iyi niyetten kaynaklandı.
纯洁	saf; temiz	Çocuğun kalbi çok saftır.
慈善	hayırseverlik; yardım amaçlı	Bu şirket sık sık hayır faaliyetlerine katılır.
慈祥	sevecen; şefkatli	Büyükannenin gülümsemesi çok sevecen.
磁带	kaset; manyetik bant	Bu eski kaset hâlâ çalınabilir.
雌雄	dişi ve erkek	Bu kuşun dişisi ve erkeği farklı renklere sahiptir.
伺候	hizmet etmek; bakımını yapmak	Hemşire hastaya özenle baktı.
刺	diken; batırmak	Gül dalında birçok diken var.
次品	kusurlu ürün	Bu kusurlu ürünler satılamaz.
次序	sıra; düzen	Lütfen sırayla dizilin.
丛	küme; demet	Yol kenarında bir küme yabani çiçek var.
从容	sakin; telaşsız	Soruyu sakin bir şekilde yanıtladı.
凑合	idare etmek; zar zor yetmek	Oda büyük değil ama yaşamak için idare eder.
粗鲁	kaba; nezaketsiz	Çok kaba konuşuyor.
窜	fırlamak; kaçmak	O kedi aniden odaya fırladı.
摧残	tahrip etmek; harap etmek	Uzun süreli kirlilik bu ormanı tahrip eder.
脆弱	kırılgan; zayıf	Cam ürünler çok kırılgandır.
搓	avuçta ovmak; yuvarlamak	Soğuk ellerini ovuşturdu.
磋商	istişare etmek; müzakere etmek	İki taraf görüşmelere devam edecek.
挫折	aksilik; başarısızlık; darbe	Herkes aksiliklerle karşılaşır.
搭	binmek; kurmak; asmak	Havaalanına otobüse biniyoruz.
搭档	ortak; iş arkadaşı	Uzun yıllardır iş ortağım.
搭配	uyum sağlamak; eşleştirmek	Bu ceketle pantolon iyi uyuyor.
答辩	savunma yapmak	Lisansüstü öğrenci tez savunmasına hazırlanıyor.
答复	yanıtlamak; cevap	Lütfen bana en kısa sürede yanıt ver.
达成	varmak; başarmak	İki taraf sonunda bir anlaşmaya vardı.
打包	paketlemek; kalan yemeği paket yaptırmak	Garson artan yemekleri bizim için paketledi.
打官司	dava açmak; mahkemeye gitmek	Sözleşme meselesi yüzünden mahkemeye gittiler.
打击	darbe; vurmak; saldırmak	Bu başarısızlık onun için büyük bir darbe oldu.
打架	kavga etmek	Kampüste kavga eden öğrenciler cezalandırılır.
打量	baştan aşağı süzmek; ölçüp biçmek	Beni baştan aşağı süzdü.
打猎	avlanmak	Burada avlanmak yasaktır.
打仗	savaşmak; savaşa girmek	Kimse savaşa girmek istemez.
大不了	en kötü ihtimalle; olsa olsa	En kötü ihtimalle yarın tekrar deneriz.
大臣	bakan	Kral birkaç bakanı çağırdı.
大伙儿	herkes; hepimiz	Herkes kararını bekliyor.
大肆	pervasızca; büyük ölçekte	Tüccar yeni ürünü büyük ölçekte tanıttı.
大体	genel olarak; aşağı yukarı	Plan genel olarak iyi.
