source_headword	AZ	example_AZ
mining	mədənçilik	Mədən işləri çay vadisinə zərər vurdu.
ministry	nazirlik	Nazirlik yeni qaydaları elan etdi.
minute2	çox kiçik	Şüşədə çox kiçik bir çat əmələ gəldi.
miracle	möcüzə	Onun sağalması möcüzə kimi görünürdü.
misery	əzab	Qaçqınlar illərlə əzab çəkdilər.
misleading	yanıltıcı	Yanıltıcı qrafik oxucuları çaşdırdı.
missile	raket	Raket sınağı gərginliyi artırdı.
mob	izdiham	Qəzəbli izdiham hərəkəti bağladı.
mobility	hərəkətlilik	Daha yaxşı avtobuslar şəhər hərəkətliliyini yaxşılaşdırır.
mobilize	səfərbər etmək	Liderlər könüllüləri tez səfərbər edirlər.
moderate	mülayim	Namizəd mülayim baxışlara malikdir.
modification	dəyişiklik	Dizaynın bir dəyişikliyə ehtiyacı var.
momentum	təkan	Kampaniya sürətlə təkan qazandı.
monk	rahib	Rahib sükut içində yaşayırdı.
monopoly	inhisar	Firmanın inhisarı var idi.
morality	əxlaq	Kurs ictimai əxlaqı araşdırır.
motive	motiv	Polis onun motivini sorğuladı.
motorist	sürücü	Sürücü qırmızı işıqda dayandı.
municipal	bələdiyyə	Bu il bələdiyyə xidmətləri yaxşılaşdı.
mutual	qarşılıqlı	Onlar qarşılıqlı razılığa gəldilər.
namely	yəni	Bir problem qalır, yəni maliyyələşdirmə.
nationwide	ümummilli	Tətil ümummilli gecikmələrə səbəb oldu.
naval	hərbi dəniz	Hərbi dəniz bazası keçən il bağlandı.
neglect	laqeyd yanaşmaq	Əsas təhlükəsizliyə laqeyd yanaşmayın.
neighbouring	qonşu	Qonşu şəhərlər xəstəxananı paylaşdı.
nest	yuva	Quş yuva qurdu.
net	xalis	Xalis mənfəət kəskin artdı.
newsletter	xəbər bülleteni	Xəbər bülleteni hər cümə günü gəlir.
niche	niş	Şirkət gəlirli bir niş tapdı.
noble	nəcib	Onun nəcib hərəkəti hər kəsi təsirləndirdi.
nod	başını tərpətmək	Başa düşürsünüzsə, lütfən başınızı tərpədin.
nominate	namizəd göstərmək	Onlar yeni sədr namizədliyini irəli sürəcəklər.
nomination	namizədlik	Onun namizədliyi komitəni təəccübləndirdi.
nominee	namizəd	Namizəd çətin suallara cavab verdi.
nonetheless	buna baxmayaraq	Buna baxmayaraq, plan irəli getdi.
non-profit	qeyri-kommersiya	O, qeyri-kommersiya klinikasında işləyir.
nonsense	cəfəngiyat	Bu şayiə tam cəfəngiyatdır.
noon	günorta	İclas günorta başlayır.
notable	diqqətəlayiq	Hesabat diqqətəlayiq irəliləyiş əldə etdi.
notably	xüsusilə	Xüsusilə də may ayında xərclər azaldı.
notify	xəbərdar etmək	Gedmədən əvvəl heyətə xəbər verin.
notorious	bədnam	Bu yol qəzaları ilə bədnamdır.
novel	yeni	Onlar yeni bir həll təklif etdilər.
nursery	uşaq bağçası	Körpələr evi uşaqlara qayğı göstərir.
objection	etiraz	Vəkil etiraz etdi.
oblige	məcbur etmək	Qaydalar sürücüləri dayanmağa məcbur edir.
obsess	vəsvəsə etmək	Kiçik səhvlərə vəsvəsə etməyin.
obsession	aludəçilik	Onun aludəçiliyi işinə zərər verdi.
occasional	arabir	Arabir gecikmələr gözlənilir.
occurrence	hadisə	Belə bir hadisə nadirdir.
odds	şanslar	Uğur şansları yaxşılaşdı.
offering	təklif	Universitet öz təkliflərini genişləndirdi.
offspring	bala	Tülkü balasını qorudu.
operational	işlək	Yeni sistem işləkdir.
opt	seçmək	Bir çox tələbə onlayn dərsləri seçir.
optical	optik	Optik linzanı təmizləmək lazımdır.
optimism	nikbinlik	Elan edildikdən sonra nikbinlik geri qayıtdı.
oral	şifahi	Şifahi imtahan sabah başlayır.
organizational	təşkilati	Təşkilati dəyişikliklər dərhal başladı.
orientation	tanışlıq	Seminar işçilərin tanışlığını əhatə etdi.
originate	yaranmaq	Bir çox ənənələr kəndlərdə yaranır.
outbreak	yayılma	Xəstəliyin yayılması bütün şəhəri bürüdü.
outing	gəzinti	Sinif muzey gəzintisindən zövq aldı.
outlet	satış nöqtəsi	Satış nöqtəsi endirimli paltarlar satır.
outlook	perspektiv	İqtisadi perspektiv qeyri-müəyyən olaraq qalır.
outrage	hiddət	Qərar ictimai qəzəbə səbəb oldu.
outsider	kənar şəxs	Kənar bir şəxs kimi o, problemləri fərq etdi.
overlook	gözardı etmək	Kiçik detalları gözardı etməyin.
overly	həddindən artıq	Təlimatlar həddindən artıq mürəkkəb idi.
oversee	nəzarət etmək	O, layihəyə nəzarət edəcək.
overturn	ləğv etmək	Məhkəmə qərarı ləğv edə bilər.
overwhelm	yükləmək	Çox məlumat öyrənənləri həddindən artıq yükləyə bilər.
overwhelming	əzici	Sübutlar böyük idi.
pad	yastıqca	Dizləri qorumaq üçün yastıqdan istifadə edin.
parameter	parametr	Hər dəfə bir parametri tənzimləyin.
parental	valideyn	Valideyn dəstəyi davamiyyəti yaxşılaşdırdı.
parish	prixod	Kilsə xeyriyyə şam yeməyi təşkil etdi.
parliamentary	parlament	Parlament müzakirələri saatlarla davam etdi.
partial	qismən	Hesabat qismən cavab verdi.
partially	qismən	Pəncərə qismən açıq idi.
passing	vəfat	Onun vəfatı qəfil oldu.
passive	passiv	Passiv investorlar sabit gəlirləri qəbul etdilər.
pastor	pastor	Pastor ailəni ziyarət etdi.
patch	yamaq	Gödəkcənin kiçik bir yamağa ehtiyacı var.
patent	patent	Şirkət patent üçün müraciət etdi.
pathway	yol	Bu yol sertifikatlaşdırmaya aparır.
patrol	patrul	Polislər gecələr ərazidə patrul edirlər.
patron	himayədar	Muzey öz himayədarına təşəkkür etdi.
peak	zirvə	Tələbat qışda zirvəyə çatdı.
peasant	kəndli	Kəndlinin çox az torpağı var idi.
peculiar	qəribə	Otaqda qəribə bir qoxu var idi.
persist	davam etmək	Simptomlar günlərlə davam edə bilər.
persistent	davamlı	Davamlı öskürək diqqət tələb edir.
personnel	kadrlar	Kadrlar qeydləri məxfidir.
petition	petisiya	Petisiya minlərlə imza topladı.
philosopher	filosof	Filosof ümumi fərziyyələri sual altına aldı.
philosophical	fəlsəfi	Müzakirə fəlsəfi oldu.
physician	həkim	Həkim qan testləri təyin etdi.
pioneer	qabaqcıl	O, tibbdə qabaqcıl oldu.
pipeline	boru kəməri	Boru kəməri qazı yeraltı ilə daşıyır.
pirate	pirat	Pirat gəmisi dənizdə göründü.
pit	çuxur	İşçilər dərin bir çuxur qazdılar.
plea	xahiş	Onun kömək xahişi diqqətdən kənarda qaldı.
plead	təqsirini etiraf etmək	Şübhəli şəxs təqsirini boynuna alacaq.
pledge	söz vermək	Onlar islahatları dəstəkləyəcəklərinə söz verirlər.
plug	taxmaq	Kabeli rozetkaya taxın.
plunge	kəskin düşmək	Qalmaqaldan sonra qiymətlər kəskin düşə bilər.
pole	dirək	Bayraq dirəkdən asılmışdı.
poll	sorğu	Sorğu dəyişən fikirləri göstərdi.
pond	gölməçə	Ördəklər donmuş gölməçədən keçdilər.
pop	partlamaq	Şarlar iti əşyaların yanında partlayır.
portfolio	portfel	Onun portfelinə bir neçə startap daxildir.
portray	təsvir etmək	Film kənd həyatını təsvir edəcək.
postpone	təxirə salmaq	Onlar dinləməni təxirə salmağa qərar verdilər.
post-war	müharibədən sonrakı	Müharibədən sonrakı mənzillərə təcili ehtiyac var idi.
practitioner	mütəxəssis	Mütəxəssis müalicəni izah etdi.
preach	vəz etmək	Keşiş bazar günü vəz edəcək.
precedent	presedent	Qərar vacib bir presedent yaratdı.
precision	dəqiqlik	Maşın dəqiqliklə kəsir.
predator	yırtıcı	Yırtıcı çayın yanında gözləyirdi.
predecessor	sələf	Onun sələfi ətraflı qeydlər buraxdı.
predominantly	əsasən	Ərazi əsasən yaşayış massividir.
pregnancy	hamiləlik	Hamiləlik müntəzəm tibbi qayğı tələb edir.
prejudice	qərəz	Kampaniya irqi qərəzlərə meydan oxudu.
preliminary	ilkin	İlkin nəticələr ümidverici görünür.
premier	baş nazir	Baş nazir bu gün parlamentdə çıxış etdi.
premise	fərziyyə	Arqument yalançı fərziyyəyə əsaslanır.
premium	əlavə ödəniş	Müştərilər sürət üçün əlavə ödəniş etdilər.
prescribe	təyin etmək	Həkimlər antibiotikləri diqqətlə təyin edirlər.
prescription	resept	Reseptin müddəti gələn ay başa çatır.
presently	hal-hazırda	O, hal-hazırda məşğuldur.
preservation	qorunma	Qorunma tarixi binaları mühafizə edir.
preside	sədrlik etmək	Hakim məhkəməyə sədrlik edəcək.
presidency	prezidentlik	Onun prezidentliyi səkkiz il davam etdi.
presidential	prezident	Prezident seçkiləri diqqəti cəlb etdi.
prestigious	prestijli	O, prestijli təqaüd qazandı.
presumably	ehtimal ki	Ehtimal ki, ofis bu gün bağlıdır.
presume	fərz etmək	Sənədlərin həqiqi olduğunu fərz edirik.
prevail	üstün gəlmək	Sağlam düşüncə üstün gəlməlidir.
prevalence	yayılma	Astmanın yayılması artdı.
prevention	qarşısının alınması	Qarşısının alınması təmirdən daha ucuzdur.
