source_headword	KO	example_KO
attractive	매력적인	그 정원은 매력적이에요.
audience	관객;청중	관객은 조용했어요.
author	작가;저자	그 작가는 이 책을 썼어요.
available	이용 가능한;구할 수 있는	음식은 지금 이용 가능해요.
average	평균의;평균	평균 점수는 좋았어요.
avoid	피하다	붐비는 길을 피하세요.
award	상;수여하다	그녀는 상을 받았어요.
awful	끔찍한;형편없는	날씨가 끔찍했어요.
background	배경	그 사진에는 어두운 배경이 있어요.
badly	나쁘게;서툴게	그는 오늘 서툴게 경기했어요.
bar	바;술집	우리는 호텔 바에서 만났어요.
baseball	야구	야구는 여기서 인기가 있어요.
based	~에 기반한	그 영화는 책을 바탕으로 해요.
basketball	농구	우리는 방과 후에 농구를 해요.
bean	콩	이 콩은 초록색이에요.
bear (animal)	곰	곰은 숲에 살아요.
beat	이기다;때리다	우리 팀은 그들을 이길 수 있어요.
beef	쇠고기	나는 저녁으로 쇠고기를 먹었어요.
behave	행동하다;예의 바르게 행동하다	수업에서는 예의 바르게 행동해 주세요.
behaviour	행동;태도	그의 행동은 공손했어요.
belong	속하다;~의 것이다	이 신발은 내 것이에요.
belt	벨트;허리띠	그의 벨트는 검은색이에요.
benefit	이점;혜택	운동에는 진짜 이점이 있어요.
billion	십억	십억은 아주 큰 수예요.
bin	쓰레기통	종이를 쓰레기통에 넣으세요.
biology	생물학	생물학은 내가 가장 잘하는 수업이에요.
birth	출생;탄생	그녀는 5월에 태어났어요.
biscuit	비스킷;쿠키	그녀는 비스킷을 먹어요.
bit	조금;약간	나는 시간이 조금 더 필요해요.
blank	빈칸;빈	빈칸에 이름을 쓰세요.
blood	피;혈액	피는 빨간색이에요.
blow	불다;불어오다	바람은 세게 불 수 있어요.
board	칠판;판	그것을 칠판에 쓰세요.
boil	끓이다;끓다	먼저 물을 끓이세요.
bone	뼈	개에게 뼈가 있어요.
borrow	빌리다	펜을 빌릴 수 있을까요?
boss	상사;사장	내 상사는 친절해요.
bottom	아래쪽;바닥	아래쪽에 서명하세요.
bowl	그릇;볼	그 그릇은 가득 차 있어요.
brain	뇌	당신의 뇌에는 휴식이 필요해요.
bridge	다리	그 다리는 오래됐어요.
bright	밝은;눈부신	그 방은 밝아요.
brilliant	훌륭한;뛰어난	그 생각은 훌륭해요.
broken	부서진;고장 난	그 의자는 부서졌어요.
brush	닦다;빗;브러시	지금 이를 닦으세요.
burn	태우다;타다	빵을 태우지 마세요.
businessman	사업가;남자 사업가	그 사업가는 일찍 도착했어요.
button	버튼;단추	빨간 버튼을 누르세요.
camp	야영지;캠프;야영하다	우리는 호수 근처에서 야영해요.
camping	캠핑;야영	여름에는 캠핑이 재미있어요.
can2	캔;깡통	캔을 조심해서 여세요.
care	돌봄;주의하다	건강을 잘 챙기세요.
careful	조심하는;주의 깊은	계단에서 조심하세요.
carefully	조심스럽게;주의 깊게	문제를 주의 깊게 읽으세요.
carpet	카펫	카펫은 부드러워요.
cartoon	만화	이 만화는 재미있어요.
case	케이스;경우	그것을 케이스 안에 넣으세요.
cash	현금	나는 현금으로 냈어요.
castle	성	그 성은 아주 오래됐어요.
catch	잡다;받다	지금 공을 잡으세요.
cause	원인;일으키다	비는 문제를 일으킬 수 있어요.
celebrate	축하하다;기념하다	우리는 내 생일을 축하해요.
celebrity	유명인	그 유명인은 매우 친절했어요.
certain	확실한;어떤	나는 이것에 대해 확신해요.
certainly	확실히;물론	내가 반드시 도와줄게요.
chance	기회	당신에게 기회가 있어요.
character	등장인물;성격	이 등장인물은 용감해요.
charity	자선 단체;자선	그 자선 단체는 아이들을 도와요.
chat	수다 떨다;대화	우리는 수업 후에 이야기해요.
chef	요리사;셰프	그 요리사는 수프를 만들었어요.
chemistry	화학	화학은 나에게 어려워요.
chip	감자칩;칩	이 감자칩은 짜요.
choice	선택	이 선택은 중요해요.
church	교회	그 교회는 여기 근처에 있어요.
cigarette	담배	담배는 건강에 나빠요.
circle	원;동그라미;원을 그리다	여기에 원을 그리세요.
classical	클래식의;고전의	나는 클래식 음악을 즐겨요.
clear	분명한;맑은	답은 분명해요.
clearly	분명히;또렷하게	분명히 말해 주세요.
clever	똑똑한	그녀는 똑똑한 아이예요.
climate	기후	기후가 변하고 있어요.
close2	가까운;가까이	내 학교는 집에서 가까워요.
closed	닫힌;문을 닫은	그 가게는 문을 닫았어요.
clothing	의류;옷	따뜻한 옷은 유용해요.
cloud	구름	구름이 해를 가려요.
coach	코치;지도하다	그 코치는 팀을 도왔어요.
coast	해안	우리는 해안을 따라 운전했어요.
code	코드;암호	여기에 코드를 입력하세요.
colleague	동료	내 동료가 나에게 전화했어요.
collect	모으다;수집하다	나는 오래된 카드를 모아요.
column	열;기둥;칼럼	첫 번째 열을 읽으세요.
comedy	코미디;희극	이 코미디는 재미있어요.
comfortable	편안한	이 의자는 편안해요.
comment	댓글;논평;말하다	아래에 댓글을 남기세요.
communicate	의사소통하다	우리는 이메일로 의사소통해요.
community	공동체;지역 사회	우리 지역 사회는 친절해요.
compete	경쟁하다;시합하다	그들은 매년 경쟁해요.
competition	경쟁;대회	그 대회는 내일 시작해요.
complain	불평하다	다시 불평하지 마세요.
completely	완전히	나는 당신에게 완전히 동의해요.
condition	상태;조건	그 차는 상태가 좋아요.
conference	회의;학회	그 회의는 아홉 시에 시작해요.
connect	연결하다	전화를 컴퓨터에 연결하세요.
connected	연결된;관련된	두 생각은 서로 관련되어 있어요.
consider	고려하다	내 생각을 고려해 주세요.
contain	포함하다;담고 있다	이 상자에는 책이 들어 있어요.
context	맥락;상황	맥락은 이해를 도와줘요.
continent	대륙	대륙은 매우 커요.
continue	계속하다	계속 읽어 주세요.
control	조절하다;통제	속도를 조심해서 조절하세요.
cooker	레인지;조리기	그 레인지는 깨끗해요.
copy	사본;복사하다	나를 위해 사본을 만들어 주세요.
corner	구석;모퉁이	구석에 앉으세요.
correctly	올바르게	답을 올바르게 쓰세요.
count	세다;수	책을 세세요.
couple	커플;부부;두 사람	그 부부는 일찍 도착했어요.
cover	덮다;덮개	그릇을 덮으세요.
crazy	미친;말도 안 되는	이 생각은 말도 안 되게 들려요.
creative	창의적인	그녀에게는 창의적인 생각이 있어요.
credit	신용;공로;크레딧	나는 신용카드로 냈어요.
crime	범죄	범죄는 심각한 문제예요.
criminal	범죄자;범죄의	그 범죄자는 빨리 떠났어요.
cross	건너다;십자가	길을 조심해서 건너세요.
crowd	군중;사람들	군중이 밖에서 기다렸어요.
crowded	붐비는	기차는 붐볐어요.
cry	울다;울음	지금 울지 마세요.
cupboard	찬장;수납장	컵들은 찬장 안에 있어요.
curly	곱슬곱슬한	그녀는 곱슬머리를 가졌어요.
cycle	자전거를 타다;순환	나는 자전거를 타고 학교에 가요.
daily	매일의;매일	나는 매일 뉴스를 읽어요.
danger	위험	그 표지는 위험을 보여 줘요.
data	데이터;자료	그 데이터는 유용해요.
dead	죽은	그 식물은 죽었어요.
deal	거래;좋은 조건	이것은 좋은 거래예요.
death	죽음	죽음은 어려운 주제예요.
decision	결정	오늘 결정을 내리세요.
deep	깊은;깊게	물은 깊어요.
definitely	확실히	나는 확실히 차를 원해요.
degree	학위;도	내 학위는 역사학이에요.
dentist	치과 의사	치과 의사가 내 이를 검사했어요.
department	부서;매장 코너	신발 매장은 위층에 있어요.
depend	달려 있다;의존하다	그것은 날씨에 달려 있어요.
desert	사막;버리다	사막은 매우 건조해요.
designer	디자이너	그 디자이너가 이 드레스를 만들었어요.
destroy	파괴하다;망가뜨리다	그 파일을 망가뜨리지 마세요.
detective	형사;탐정	그 형사는 열쇠를 찾았어요.
develop	개발하다;발전시키다	그들은 새 앱을 개발해요.
device	기기;장치	이 기기는 유용해요.
diary	일기	그녀는 일기에 써요.
differently	다르게	우리는 그것을 다르게 해요.
digital	디지털의	이것은 디지털 카메라예요.
direct	직행의;직접적인	직행 기차를 타세요.
direction	방향	이 방향으로 걸으세요.
director	감독;이사	그 감독은 그 영화를 좋아했어요.
disagree	동의하지 않다	나는 그 생각에 동의하지 않아요.
disappear	사라지다	해가 곧 사라질 거예요.
disaster	재난;큰 실패	그 폭풍은 재난이었어요.
discover	발견하다	그들은 새 섬을 발견해요.
discovery	발견	그 발견은 과학을 바꾸었어요.
discussion	토론;논의	그 토론은 일찍 끝났어요.
disease	질병	이 질병은 심각해요.
distance	거리	거리는 짧아요.
divorced	이혼한	그녀의 부모님은 이혼했어요.
document	문서;기록하다	지금 이 문서를 저장하세요.
double	더블의;두 배의	나는 더블룸이 필요해요.
download	다운로드하다;다운로드	오늘 앱을 다운로드하세요.
drama	드라마;극	그 드라마는 오늘 밤 시작해요.
drawing	그림	그녀의 그림은 아름다워요.
dream	꿈;꿈꾸다	나는 이상한 꿈을 꾸었어요.
driving	운전	밤에 운전하는 것은 어려워요.
drop	떨어뜨리다;방울	유리잔을 떨어뜨리지 마세요.
drug	약;마약	그 약은 그에게 도움이 됐어요.
dry	마른;건조한;말리다	수건은 말라 있어요.
earn	벌다	나는 직장에서 돈을 벌어요.
earth	지구;땅	지구는 둥글어요.
easily	쉽게	그녀는 쉽게 배워요.
education	교육	교육은 중요해요.
effect	영향;효과	그 효과는 분명했어요.
either	둘 중 하나;어느 쪽도	어느 답이든 괜찮아요.
electric	전기의	이 차는 전기차예요.
electrical	전기의;전기 관련	전기 시스템은 안전해요.
electricity	전기	여기서는 전기가 비싸요.
electronic	전자식의;전자적인	이 전자 티켓은 작동해요.
employ	고용하다	그들은 다섯 명을 고용해요.
employee	직원;종업원	그 직원은 열심히 일해요.
employer	고용주	내 고용주는 공정해요.
empty	빈;비우다	그 방은 비어 있어요.
ending	결말;끝	그 결말은 놀라웠어요.
energy	에너지;힘	오늘은 에너지가 없어요.
engine	엔진	그 엔진은 시끄러워요.
engineer	엔지니어;기술자	그 엔지니어가 다리를 고쳤어요.
enormous	거대한	그 건물은 거대해요.
enter	들어가다;입력하다	방에 조용히 들어가세요.
environment	환경	환경을 보호하세요.
equipment	장비;설비	이 장비는 비싸요.
error	오류;실수	나는 오류를 찾았어요.
especially	특히	나는 특히 이 노래를 좋아해요.
essay	에세이;글	오늘 밤 에세이를 쓰세요.
everyday	일상적인	이것은 일상 영어예요.
everywhere	어디에나;모든 곳에	꽃은 어디에나 자라요.
evidence	증거	그 증거는 분명해요.
exact	정확한	정확한 숫자를 주세요.
exactly	정확히	그것은 정확히 맞아요.
excellent	훌륭한	당신의 일은 훌륭해요.
except	~을 제외하고;~을 빼고	나를 빼고 모두 왔어요.
exist	존재하다	이 주소가 존재하나요?
expect	예상하다;기대하다	나는 내일 비를 예상해요.
experience	경험;겪다	나는 아이들과 일한 경험이 있어요.
experiment	실험	그 실험은 잘 됐어요.
expert	전문가;전문적인	전문가에게 도움을 요청하세요.
explanation	설명	그녀의 설명은 분명했어요.
express	표현하다	당신의 의견을 표현해 주세요.
expression	표현;표정	이 표현은 흔해요.
extreme	극심한;극단적인	더위가 극심했어요.
extremely	매우;극도로	날씨가 극도로 추워요.
factor	요인	비용은 한 가지 요인이에요.
factory	공장	공장은 다섯 시에 문을 닫아요.
fail	실패하다;떨어지다	나는 실패하지 않았어요.
fair	공정한;적당한	가격은 적당해요.
fan	선풍기;팬	선풍기를 켜세요.
farming	농업;농사	농사는 힘든 일이에요.
fashion	패션;유행	패션은 매년 변해요.
fear	두려움;두려워하다	두려움은 사람들을 멈추게 할 수 있어요.
feature	특징;기능	이 휴대전화에는 유용한 기능이 있어요.
feed	먹이를 주다;먹이다	지금 고양이에게 밥을 주세요.
female	여성의;여자	그 여자 운동선수가 이겼어요.
fiction	소설;허구	그녀는 밤에 소설을 읽어요.
field	들판;분야	그 들판은 초록색이에요.
fight	싸우다;싸움	그들은 너무 많이 싸워요.
figure	그림;수치;인물	그 그림을 보세요.
finally	마침내	우리는 마침내 집에 도착했어요.
finger	손가락	내 손가락이 아파요.
firstly	첫째로	첫째로, 문제를 읽으세요.
fishing	낚시	낚시는 여기서 인기가 있어요.
fit	맞다;건강한	이 신발은 잘 맞아요.
fix	고치다;수리하다	부서진 의자를 고치세요.
flu	독감	나는 독감에 걸렸어요.
flying	비행;나는	비행은 빨라요.
focus	집중하다;초점	이 과제에 집중하세요.
following	다음의;다음	다음 문장을 읽으세요.
foreign	외국의	그녀는 외국어를 말해요.
forest	숲	그 숲은 조용해요.
fork	포크	포크를 사용하세요.
formal	공식적인;격식을 차린	이 편지는 격식을 차렸어요.
fortunately	다행히	다행히 아무도 다치지 않았어요.
forward	앞으로;앞쪽의	천천히 앞으로 움직이세요.
fresh	신선한	그 빵은 신선해요.
