simplified	KO	example_KO
鄙视	업신여기다	다른 사람의 노력을 업신여기지 마세요.
弊病	폐단	이 제도에는 적지 않은 폐단이 있습니다.
弊端	폐해	새 방안은 낡은 제도의 폐해를 해결했습니다.
臂	팔	그의 오른팔이 다쳤습니다.
闭塞	막힌	이 산촌은 예전에 교통이 매우 막혀 있었습니다.
编织	뜨다	할머니는 스웨터 한 벌을 뜨고 계십니다.
边疆	변방	많은 병사들이 조국의 변방을 지키고 있습니다.
边界	경계	두 나라는 경계를 다시 정했습니다.
边境	국경 지역	국경 지역은 보안 검사를 강화했습니다.
边缘	가장자리	컵은 책상 가장자리에 놓여 있습니다.
鞭策	격려하다	선생님의 말씀은 줄곧 저를 격려해 왔습니다.
扁	납작한	이 상자는 넓고 납작합니다.
贬低	깎아내리다	다른 사람의 노력을 함부로 깎아내리지 마세요.
贬义	부정적 의미	이 단어는 여기서 부정적 의미를 지닙니다.
便利	편리한	지하철은 이동을 더욱 편리하게 합니다.
便条	쪽지	그는 책상 위에 쪽지 한 장을 남겼습니다.
便于	편리하다	이 설계는 노인들이 사용하기에 편리합니다.
变故	뜻밖의 사고	집안에 갑자기 뜻밖의 사고가 생겼습니다.
变迁	변천	도시의 변천은 그에게 많은 감회를 주었습니다.
变质	변질되다	우유는 오래 두면 변질됩니다.
辨认	식별하다	경찰은 그에게 사진 속 사람을 식별하게 했습니다.
辩护	변호하다	변호사는 피고를 변호했습니다.
辩解	변명하다	그는 자신의 잘못을 변명하려 했습니다.
辩证	변증법적인	우리는 이 문제를 변증법적으로 보아야 합니다.
辫子	땋은 머리	어린 소녀는 땋은 머리 두 갈래를 하고 있습니다.
遍布	널리 퍼져 있다	이 식물은 전국에 널리 퍼져 있습니다.
标本	표본	박물관에는 동물 표본이 전시되어 있습니다.
标记	표시	중요한 단락 옆에 표시를 해 주세요.
标题	제목	이 글의 제목은 매우 매력적입니다.
表决	표결하다	대표들은 제안에 대해 표결할 것입니다.
表态	입장을 밝히다	그는 아직 공개적으로 입장을 밝히지 않았습니다.
表彰	표창하다	회사는 우수 직원을 표창했습니다.
憋	참다	그는 웃음을 참고 아무 말도 하지 않았습니다.
别墅	별장	그들은 교외에 별장 한 채를 샀습니다.
别致	독특한	이 카페의 인테리어는 매우 독특합니다.
别扭	어색한	이 문장은 듣기에 조금 어색합니다.
濒临	직면하다	이 동물은 멸종 위기에 직면해 있습니다.
冰雹	우박	어제 오후에 큰 우박이 내렸습니다.
丙	병	병조의 경기는 오후에 시작합니다.
并非	결코 아니다	일은 네가 생각하는 그런 것이 결코 아닙니다.
并列	공동으로	이 두 프로젝트는 공동 1위입니다.
剥削	착취하다	옛 사회에는 심각한 착취가 존재했습니다.
拨	누르다	이 전화번호를 눌러 주세요.
播种	파종하다	농민들은 봄에 파종을 시작합니다.
波浪	파도	바다 위에 거대한 파도가 일었습니다.
波涛	큰 파도	배는 큰 파도 속에서 앞으로 나아갔습니다.
伯母	큰어머니	저는 주말에 큰어머니를 찾아뵐 것입니다.
博大精深	넓고 깊다	중국 문화는 넓고 깊습니다.
博览会	박람회	국제 박람회는 많은 기업을 끌어들였습니다.
搏斗	격투하다	경찰은 범죄자와 격투를 벌였습니다.
薄弱	약한	그의 문법 기초는 비교적 약합니다.
不顾	아랑곳하지 않다	그는 위험을 아랑곳하지 않고 뛰어들었습니다.
不愧	과연	그는 과연 경험 많은 전문가답습니다.
不料	뜻밖에	뜻밖에 회의가 갑자기 취소되었습니다.
不像话	말도 안 되는	당신이 손님을 이렇게 대하는 것은 정말 말도 안 됩니다.
不屑一顾	거들떠보지 않다	그는 이런 소문을 거들떠보지도 않았습니다.
哺乳	수유하다	어머니가 아기에게 수유하고 있습니다.
捕捉	포착하다	사진작가는 멋진 순간을 포착했습니다.
补偿	보상하다	회사는 당신의 손실을 보상할 것입니다.
补救	수습하다	우리는 아직 수습할 시간이 있습니다.
补贴	보조금	정부는 저소득 가정에 보조금을 지급합니다.
不得已	부득이하게	그는 부득이하게 고향을 떠났습니다.
不妨	해도 좋다	먼저 그의 설명을 들어봐도 좋습니다.
不敢当	감당하기 어렵다	이렇게 칭찬하시니 정말 감당하기 어렵습니다.
不禁	자기도 모르게	그 소식을 듣고 그는 자기도 모르게 웃었습니다.
不堪	견딜 수 없는	이곳의 소음은 견딜 수 없을 정도입니다.
不可思议	믿기 어려운	이 결과는 정말 믿기 어렵습니다.
不免	피할 수 없이	처음 무대에 올라 그는 피할 수 없이 조금 긴장했습니다.
不时	때때로	그는 때때로 고개를 들어 시계를 보았습니다.
不惜	마다하지 않다	사람을 구하기 위해 그는 위험을 마다하지 않았습니다.
不相上下	막상막하	두 팀의 실력은 막상막하입니다.
不言而喻	말할 필요도 없다	정직의 중요성은 말할 필요도 없습니다.
不由得	저절로	오래된 사진을 보니 저절로 어린 시절이 떠올랐습니다.
不择手段	수단을 가리지 않다	그는 돈을 벌기 위해 수단을 가리지 않습니다.
不止	그치지 않다	회의에 참석한 사람은 백 명이 넘었습니다.
布告	공고	학교 정문에 공고 한 장이 붙었습니다.
布局	배치	이 아파트의 배치는 매우 합리적입니다.
布置	내주다	선생님은 새 숙제를 내주었습니다.
步伐	걸음	대열은 가지런한 걸음으로 전진했습니다.
部署	배치하다	회사는 새로운 판매 계획을 배치하고 있습니다.
部位	부위	의사는 다친 부위를 검사했습니다.
才干	재능	그녀는 관리 방면에 재능이 많습니다.
裁缝	재단사	이 재단사는 솜씨가 매우 좋습니다.
裁判	심판	심판은 경기가 중단되었다고 발표했습니다.
裁员	감원하다	회사는 손실 때문에 감원하기로 결정했습니다.
财富	재산	지식도 하나의 재산입니다.
财务	재무	재무 부서가 장부를 확인하고 있습니다.
财政	재정	올해 재정 수입이 다소 증가했습니다.
彩票	복권	그는 가끔 복권 한 장을 삽니다.
采购	구매하다	회사는 사람을 보내 장비를 구매하게 했습니다.
采集	채집하다	연구원들은 숲에서 표본을 채집했습니다.
采纳	채택하다	지도자는 우리의 건의를 채택했습니다.
参谋	조언하다	그는 자주 관리자에게 조언합니다.
参照	참조하다	이 형식을 참조하여 양식을 작성해 주세요.
残疾	장애	이 역은 장애 승객에게 도움을 제공합니다.
残酷	잔혹한	전쟁은 매우 잔혹합니다.
残留	남아 있다	컵 안에는 아직 커피 냄새가 남아 있습니다.
残忍	잔인한	동물을 학대하는 것은 잔인한 행동입니다.
灿烂	찬란한	그녀는 찬란한 미소를 지었습니다.
仓促	성급한	이 결정은 너무 성급하게 내려졌습니다.
仓库	창고	화물은 이미 창고에 도착했습니다.
舱	객실	승객들이 기내 객실로 들어가고 있습니다.
苍白	창백한	그의 얼굴빛은 매우 창백해 보였습니다.
操劳	애쓰다	어머니는 이 가정을 위해 여러 해 동안 애써 왔습니다.
操练	훈련하다	병사들은 매일 아침 훈련합니다.
操纵	조종하다	이 기계는 컴퓨터가 조종합니다.
操作	조작하다	설명에 따라 장비를 조작해 주세요.
嘈杂	시끄러운	역 안은 소리가 매우 시끄럽습니다.
草案	초안	위원회는 초안을 논의하고 있습니다.
草率	경솔한	이렇게 중요한 결정은 경솔해서는 안 됩니다.
侧面	측면	측면에서 보면 이 건물이 더 높아 보입니다.
测量	측량하다	엔지니어가 다리의 길이를 측량하고 있습니다.
策划	기획하다	그들은 대형 행사를 기획했습니다.
策略	전략	이 전략은 회사가 비용을 줄이는 데 도움이 되었습니다.
层出不穷	끊임없이 나타나다	새로운 문제가 끊임없이 나타납니다.
层次	구조	이 글의 구조는 매우 분명합니다.
差别	차이	두 방법의 차이는 크지 않습니다.
插座	콘센트	이 방의 콘센트는 부족합니다.
查获	적발하다	세관은 가짜 상품 한 무더기를 적발했습니다.
刹那	순간	순간적으로 모든 불이 꺼졌습니다.
岔	갈라지다	차들은 앞 교차로에서 갈라졌습니다.
诧异	놀란	그의 결정은 모두를 매우 놀라게 했습니다.
柴油	디젤유	이 트럭은 디젤유를 사용합니다.
搀	부축하다	간호사는 노인을 부축해 병실로 들어갔습니다.
缠绕	감기다	덩굴이 나뭇가지에 감겨 있습니다.
馋	먹고 싶어 하다	케이크를 보고 아이는 조금 먹고 싶어 했습니다.
产业	산업	관광업은 이곳의 중요한 산업입니다.
阐述	상세히 설명하다	교수는 자신의 관점을 상세히 설명했습니다.
颤抖	떨다	그녀는 추워서 온몸을 떨었습니다.
昌盛	번영한	우리는 나라가 번영하기를 바랍니다.
偿还	상환하다	그는 제때 대출금을 상환했습니다.
尝试	시도하다	우리는 새로운 방법을 시도해 볼 수 있습니다.
场合	자리	이런 자리는 농담하기에 적합하지 않습니다.
场面	장면	결혼식 장면은 매우 떠들썩했습니다.
场所	장소	이곳은 공공장소이니 담배를 피우지 마세요.
敞开	활짝 열다	창문을 잠시 활짝 열어 주세요.
倡导	장려하다	학교는 건강한 생활 방식을 장려합니다.
倡议	제안	이 환경보호 제안은 지지를 받았습니다.
畅通	원활한	비가 그친 뒤 도로가 다시 원활해졌습니다.
畅销	잘 팔리다	이 소설은 매우 잘 팔립니다.
超越	넘어서다	그는 마침내 자신의 기록을 넘어섰습니다.
钞票	지폐	지갑에는 지폐 몇 장만 남았습니다.
嘲笑	비웃다	다른 사람의 단점을 비웃지 마세요.
巢穴	소굴	사냥꾼은 동물의 소굴을 발견했습니다.
朝代	왕조	당나라는 중국 역사상의 한 왕조입니다.
潮流	흐름	젊은이들은 패션 흐름에 많은 관심을 가집니다.
撤退	철수하다	부대는 명령을 받은 뒤 철수했습니다.
撤销	취소하다	법원은 원래의 판결을 취소했습니다.
沉淀	가라앉다	진흙과 모래가 천천히 가라앉을 것입니다.
沉闷	후텁지근한	오늘 날씨는 덥고 후텁지근합니다.
沉思	깊이 생각하다	그는 창가에 앉아 깊이 생각했습니다.
沉重	무거운	이 소식은 모두의 마음을 무겁게 했습니다.
沉着	침착한	위험을 만났을 때는 침착함을 유지해야 합니다.
陈旧	낡은	이 기계는 이미 매우 낡았습니다.
陈列	진열하다	전시장에는 많은 문화재가 진열되어 있습니다.
陈述	진술하다	사실을 명확하게 진술해 주세요.
称心如意	마음에 꼭 들다	이 일은 그에게 매우 마음에 듭니다.
衬托	돋보이게 하다	흰 벽이 꽃의 색을 돋보이게 합니다.
称号	칭호	그는 우수 교사의 칭호를 받았습니다.
乘	타다	저는 매일 지하철을 타고 출근합니다.
呈现	드러나다	하늘은 옅은 붉은색을 드러냈습니다.
城堡	성	산꼭대기에 오래된 성이 하나 있습니다.
惩罚	처벌하다	학교는 부정행위를 한 학생을 처벌할 것입니다.
成本	비용	원자재 가격 상승이 비용을 높였습니다.
成交	거래가 성사되다	이 거래는 마침내 성사되었습니다.
成天	하루 종일	그는 하루 종일 컴퓨터 앞에 앉아 있습니다.
成效	효과	새로운 관리 방법은 곧 효과를 보였습니다.
成心	고의로	그는 고의로 당신을 난처하게 한 것이 아닙니다.
成员	구성원	모든 구성원은 회의에 참석해야 합니다.
承办	주관하다	이 회사가 전시회를 주관했습니다.
承包	도급 맡다	그들은 이 공사를 도급 맡았습니다.
承诺	약속하다	그는 임무를 제때 완수하겠다고 약속했습니다.
橙	오렌지	저는 신선한 오렌지 몇 개를 샀습니다.
澄清	해명하다	매니저가 나와서 오해를 해명했습니다.
盛	담다	그녀는 손님에게 국 한 그릇을 담아 주었습니다.
诚挚	진심 어린	저의 진심 어린 감사를 받아 주세요.
秤	저울	이 저울은 그다지 정확하지 않습니다.
吃苦	고생을 견디다	젊은이는 고생을 견디는 법을 배워야 합니다.
吃力	힘들다	이 상자를 옮기는 것은 매우 힘듭니다.
持久	지속적인	성공에는 지속적인 노력이 필요합니다.
迟钝	둔한	그는 최근 반응이 조금 둔합니다.
迟缓	느린	비가 온 뒤 교통이 느려졌습니다.
迟疑	망설이다	그녀는 잠시 망설인 뒤 대답했습니다.
赤道	적도	적도 부근은 일 년 내내 덥습니다.
赤字	적자	회사는 올해 적자를 냈습니다.
充当	맡다	그는 프로젝트에서 조정자 역할을 맡았습니다.
充沛	넘치는	아이들은 에너지가 매우 넘칩니다.
充实	알차다	이 경험은 제 삶을 더 알차게 만들었습니다.
充足	충분한	여행 전에는 충분한 물을 준비해야 합니다.
冲动	충동	한순간의 충동으로 결정을 내리지 마세요.
冲击	충격을 주다	새 기술은 전통 산업에 충격을 주었습니다.
冲突	충돌	양측은 충돌을 피하려고 노력했습니다.
崇拜	숭배하다	많은 젊은이들이 이 과학자를 숭배합니다.
崇高	숭고한	의사의 직책은 숭고합니다.
崇敬	존경하다	학생들은 모두 이 선생님을 크게 존경합니다.
重叠	겹치다	이 두 업무는 일부가 겹칩니다.
稠密	빽빽한	이곳의 인구는 매우 빽빽합니다.
筹备	준비하다	그들은 결혼식을 준비하고 있습니다.
丑恶	추악한	그는 사건 뒤의 추악한 진실을 폭로했습니다.
出路	활로	교육은 젊은이들에게 더 많은 활로를 줄 수 있습니다.
出卖	팔아넘기다	그는 친구를 팔아넘기지 않을 것입니다.
出身	출신	그는 평범한 가정 출신입니다.
出神	몰입하다	그녀는 음악을 듣는 데 몰입했습니다.
出息	장래성	이 아이는 앞으로 장래성이 있을 것입니다.
初步	초보적인	우리는 이미 초보적인 합의에 도달했습니다.
除	제외하다	그를 제외하고 모두 도착했습니다.
储备	비축하다	회사는 더 많은 자금을 비축해야 합니다.
储存	저장하다	이 데이터는 자동으로 저장됩니다.
储蓄	저축하다	그는 매달 월급의 일부를 저축합니다.
处分	징계	학교는 그에게 중징계를 내렸습니다.
处境	처지	그들의 현재 처지는 매우 어렵습니다.
处置	처리하다	이 낡은 설비들은 적절히 처리해야 합니다.
触犯	위반하다	이렇게 하면 법을 위반하게 됩니다.
川流不息	끊임없이 흐르다	거리의 차량이 끊임없이 흐르고 있습니다.
穿越	통과하다	열차는 긴 터널을 통과했습니다.
传达	전달하다	이 소식을 모두에게 전달해 주세요.
传单	전단	자원봉사자들이 거리에서 전단을 나누어 주었습니다.
传授	전수하다	선생님은 학생들에게 경험을 전수했습니다.
船舶	선박	항구에는 많은 선박이 정박해 있습니다.
喘气	숨을 헐떡이다	그는 달리기를 마친 뒤 계속 숨을 헐떡였습니다.
串	꿰다	그녀는 구슬을 꿰어 목걸이를 만들었습니다.
床单	침대 시트	침대 시트를 바꿔 주세요.
创立	창립하다	그들은 함께 이 회사를 창립했습니다.
创新	혁신	기업 발전에는 끊임없는 혁신이 필요합니다.
创业	창업하다	많은 젊은이들이 창업을 선택합니다.
创作	창작하다	작가는 장편 소설을 창작하고 있습니다.
吹牛	허풍을 떨다	허풍 떨지 말고 증거를 내놓으세요.
吹捧	지나치게 치켜세우다	언론은 이 제품을 지나치게 치켜세웠습니다.
炊烟	밥 짓는 연기	저녁 무렵 마을에 밥 짓는 연기가 피어올랐습니다.
垂直	수직인	이 두 선은 서로 수직입니다.
锤	망치	노동자가 망치로 철판을 두드렸습니다.
纯粹	순전히	그의 도움은 순전히 선의에서 나온 것입니다.
纯洁	순수한	아이의 마음은 매우 순수합니다.
慈善	자선	이 기업은 자선 활동에 자주 참여합니다.
慈祥	인자한	할머니의 미소는 매우 인자합니다.
磁带	카세트테이프	이 낡은 카세트테이프는 아직 재생할 수 있습니다.
雌雄	암수	이 새는 암수의 색이 다릅니다.
伺候	돌보다	간호사는 환자를 세심하게 돌보았습니다.
刺	가시	장미 가지에는 가시가 많습니다.
次品	불량품	이 불량품들은 판매할 수 없습니다.
次序	순서	순서대로 줄을 서 주세요.
丛	무리	길가에 야생화 한 무리가 있습니다.
从容	침착하게	그녀는 침착하게 질문에 대답했습니다.
凑合	그럭저럭 지내다	방은 크지 않지만 그럭저럭 살 수 있습니다.
粗鲁	거친	그는 말하는 방식이 너무 거칩니다.
窜	재빨리 뛰어들다	그 고양이는 순식간에 방 안으로 뛰어들었습니다.
摧残	훼손하다	장기적인 오염은 이 숲을 훼손할 것입니다.
脆弱	취약한	유리 제품은 매우 취약합니다.
搓	비비다	그는 차가운 손을 비볐습니다.
磋商	협의하다	양측은 계속 협의할 것입니다.
挫折	좌절	모든 사람은 좌절을 겪습니다.
搭	타다	우리는 버스를 타고 공항에 갑니다.
搭档	파트너	그는 오랫동안 함께 일한 제 파트너입니다.
搭配	어울리다	이 외투와 바지는 잘 어울립니다.
答辩	답변하다	대학원생은 논문 심사를 준비하고 있습니다.
答复	답변	가능한 한 빨리 제게 답변을 주세요.
达成	달성하다	양측은 마침내 합의에 도달했습니다.
打包	포장하다	종업원이 남은 음식을 포장해 주었습니다.
打官司	소송하다	그들은 계약 문제로 소송을 했습니다.
打击	타격	이번 실패는 그에게 큰 타격을 주었습니다.
打架	싸우다	학생이 교내에서 싸우면 징계를 받습니다.
打量	살펴보다	그녀는 나를 위아래로 한 번 살펴보았습니다.
打猎	사냥하다	이곳에서는 사냥이 금지되어 있습니다.
打仗	전쟁하다	아무도 전쟁하고 싶어 하지 않습니다.
大不了	최악의 경우	최악의 경우 우리는 내일 다시 시도하면 됩니다.
大臣	대신	왕은 몇 명의 대신을 불러 만났습니다.
大伙儿	모두	모두가 당신의 결정을 기다리고 있습니다.
大肆	대대적으로	상인은 새 제품을 대대적으로 홍보했습니다.
大体	대체로	계획은 대체로 문제가 없습니다.
大意	대의	먼저 이 글의 대의를 말해 주세요.
大致	대략	저는 일의 경과를 대략 이해했습니다.
歹徒	악당	경찰은 곧 악당을 붙잡았습니다.
代价	대가	성공에는 흔히 대가를 치러야 합니다.
代理	대리하다	그는 임시로 매니저의 일을 대리하고 있습니다.
带领	이끌다	선생님은 학생들을 이끌고 박물관을 견학했습니다.
怠慢	소홀히 대하다	우리는 손님을 소홀히 대하면 안 됩니다.
逮捕	체포하다	경찰은 주요 용의자를 체포했습니다.
担保	보증하다	은행은 누군가의 보증을 요구합니다.
胆怯	겁이 많은	첫 연설 때 그는 조금 겁이 났습니다.
淡季	비수기	관광 비수기의 항공권은 비교적 쌉니다.
淡水	민물	이 물고기는 민물에서만 살 수 있습니다.
蛋白质	단백질	달걀에는 풍부한 단백질이 들어 있습니다.
诞辰	탄생일	오늘은 이 작가의 탄생일입니다.
诞生	탄생하다	이 생각은 토론 중에 탄생했습니다.
当场	현장에서	그는 현장에서 잘못을 인정했습니다.
当初	당초	당초 우리는 모두 이 결정을 지지했습니다.
当代	현대	현대 사회는 매우 빠르게 변합니다.
当面	직접 대면하여	문제가 있으면 직접 대면하여 분명히 말하는 것이 좋습니다.
当前	현재	현재 가장 중요한 것은 안전을 보장하는 것입니다.
当事人	당사자	경찰은 당사자를 조사하고 있습니다.
当务之急	급선무	주택 문제를 해결하는 것이 급선무입니다.
当选	당선되다	그녀는 순조롭게 의장으로 당선되었습니다.
党	정당	이 정당은 새로운 정책을 제안했습니다.
档案	기록	학교는 학생들의 기록을 보관했습니다.
档次	등급	이 호텔의 등급은 매우 높습니다.
倒闭	폐업하다	그 작은 가게는 작년에 폐업했습니다.
导弹	미사일	뉴스는 미사일 시험을 보도했습니다.
导航	내비게이션	휴대폰 내비게이션을 켜 주세요.
导向	지향	교육 정책은 공정을 지향해야 합니다.
捣乱	소란을 피우다	수업 시간에 소란을 피우지 마세요.
盗窃	절도	쇼핑몰은 절도를 막기 위해 조치를 강화했습니다.
稻谷	벼	농민들은 벼를 수확하고 있습니다.
得不偿失	손해가 더 크다	돈을 아끼려고 저질 재료를 사면 손해가 더 큽니다.
得力	유능한	그는 매니저 곁의 유능한 조수입니다.
得天独厚	천혜의	이 도시는 천혜의 지리적 이점을 가지고 있습니다.
得罪	불쾌하게 하다	저는 사소한 일로 동료를 불쾌하게 하고 싶지 않습니다.
灯笼	등롱	춘절 때 문 앞에는 붉은 등롱이 걸려 있습니다.
登录	로그인하다	먼저 당신의 계정에 로그인해 주세요.
登陆	상륙하다	태풍은 오늘 밤 해안 지역에 상륙할 수 있습니다.
蹬	발로 차다	그가 힘껏 발로 차자 자전거가 움직였습니다.
等候	기다리다	승객들은 홀에서 탑승을 기다리고 있습니다.
等级	등급	이 소프트웨어에는 서로 다른 회원 등급이 있습니다.
瞪	노려보다	그는 화가 나서 나를 한 번 노려보았습니다.
堤坝	제방	폭우 뒤에는 제방을 꼼꼼히 점검해야 합니다.
敌视	적대시하다	우리는 다른 의견을 적대시해서는 안 됩니다.
抵达	도착하다	비행기는 정시에 베이징에 도착했습니다.
抵抗	저항하다	마을 사람들은 함께 홍수에 저항했습니다.
抵制	불매하다	소비자들은 저질 제품을 불매하기 시작했습니다.
地步	지경	일은 아직 그 정도로 심각한 지경에 이르지 않았습니다.
地势	지세	이곳은 지세가 높아 물이 쉽게 고이지 않습니다.
地质	지질	전문가들이 현지의 지질 상황을 조사하고 있습니다.
递增	점차 증가하다	매출은 석 달 연속 점차 증가했습니다.
颠簸	덜컹거리다	산길은 매우 덜컹거리니 운전할 때 조심해야 합니다.
颠倒	뒤바꾸다	당신은 두 숫자의 순서를 뒤바꾸었습니다.
典礼	식전	졸업식전은 강당에서 열릴 예정입니다.
典型	전형적인	이것은 전형적인 성공 사례입니다.
点缀	장식하다	작은 꽃 몇 송이가 식탁을 장식했습니다.
垫	받치다	이 종이를 컵 아래에 받쳐 주세요.
奠定	다지다	이번 협력은 장기적 관계의 기초를 다졌습니다.
惦记	걱정하다	어머니는 멀리 있는 아이를 늘 걱정하고 있습니다.
电源	전원	외출하기 전에 전원을 꺼 주세요.
叼	입에 물다	그 개는 뼈 하나를 입에 물고 있습니다.
雕刻	조각하다	그는 나무에 무늬를 조각하는 것을 좋아합니다.
雕塑	조각상	광장 중앙에 조각상이 하나 있습니다.
吊	들어 올리다	노동자들은 기계로 강철 보를 들어 올렸습니다.
