source_headword	FI	example_FI
nowadays	nykyään	Nykyään monet ihmiset työskentelevät verkossa.
nursing	sairaanhoito	Hän opiskelee sairaanhoitoa.
nutrition	ravitsemus	Hyvä ravitsemus tukee terveyttä.
obesity	lihavuus	Lihavuus lisää terveysriskejä.
observer	tarkkailija	Tarkkailija kirjasi tulokset.
obstacle	este	Kaatunut puu oli este.
occupation	ammatti	Kirjoita ammattisi tähän.
occupy	asuttaa	Perhe asettuu asumaan asuntoon.
offender	rikoksentekijä	Rikoksentekijä pyysi anteeksi oikeudessa.
ongoing	jatkuva	Tutkinta on jatkuva.
openly	avoimesti	Hän puhui avoimesti peloistaan.
opera	ooppera	Näimme oopperan Milanossa.
operator	operaattori	Operaattori yhdisti puhelun.
optimistic	optimistinen	Hän on optimistinen tulevaisuuden suhteen.
orchestra	orkesteri	Orkesteri soitti hiljaa.
organic	luomu	He ostivat luomuvihanneksia.
outfit	asu	Hänen asunsa sopi tilaisuuteen.
output	tuotos	Koneen tuotos kasvoi.
outstanding	erinomaista	Hänen suorituksensa oli erinomainen.
overcome	voittaa	He voittavat ongelmat yhdessä.
overnight	yhdessä yössä	Paketti saapui yhdessä yössä.
overseas	ulkomailla	Hän löysi työtä ulkomailta.
ownership	omistus	Maan omistus vaihtui.
oxygen	happi	Kasvit tuottavat happea.
packet	paketti	Avaa paketti varovasti.
palm	kämmen	Pidä kolikkoa kämmenelläsi.
panic	paniikki	Panikki levisi väkijoukossa.
parade	paraati	Parati alkoi keskipäivällä.
parallel	rinnakkainen	Tiet kulkevat rinnakkain.
participation	osallistuminen	Osallistuminen tunnilla parani.
partnership	kumppanuus	Kumppanuus auttoi molempia yrityksiä.
part-time	osa-aikainen	Hän löysi osa-aikaisen työn.
passionate	intohimoinen	Hän on intohimoinen musiikista.
password	salasana	Valitse vahva salasana.
patience	kärsivällisyys	Pienten lasten opettaminen vaatii kärsivällisyyttä.
pause	tauko	Tauota video nyt.
peer	vertainen	Ryhmäpaine vaikutti hänen valintaansa.
penalty	rangaistus	Pelaaja sai rangaistuksen.
perceive	mieltää	Ihmiset mieltävät riskin eri tavalla.
perception	käsitys	Hänen käsityksensä vaarasta muuttui.
permanently	pysyvästi	Kauppa suljettiin pysyvästi.
pill	pilleri	Ota yksi pilleri aamiaisen jälkeen.
pity	sääli	Se on sääli.
placement	sijoittelu	Sohvan sijoittelulla on merkitystä.
portion	annos	Tarjoile pieni annos riisiä.
potentially	mahdollisesti	Tämä muutos on mahdollisesti hyödyllinen.
precede	edeltää	Tummia pilviä edeltää usein sade.
precious	arvokas	Sormus on arvokas.
precise	tarkka	Ohjeet olivat tarkat.
precisely	tarkasti	Mittaa etäisyys tarkasti.
predictable	ennalta-arvattava	Loppu oli ennalta-arvattava.
preference	mieltymys	Hän ilmaisi mieltymyksen teehen.
pride	ylpeys	Hän tunsi ylpeyttä lopetettuaan.
primarily	ensisijaisesti	Kurssi on ensisijaisesti verkossa.
principal	rehtori	Rehtori tervehti uusia opiskelijoita.
prior	ennakko-	Tarvitsemme ennakkohyväksynnän.
probability	todennäköisyys	Sateen todennäköisyys on korkea.
probable	todennäköinen	Sade on todennäköinen tänä iltana.
proceed	edetä	Ole hyvä ja etene seuraavaan huoneeseen.
programming	ohjelmointi	Ohjelmointi vaatii harjoitusta.
progressive	edistyksellinen	Politiikka oli aikanaan edistyksellinen.
prohibit	kieltää	Säännöt kieltävät tupakoinnin.
promising	lupaava	Tulokset näyttävät lupaavilta.
promotion	ylennys	Hän sai ylennyksen töissä.
prompt	nopea	Nopea vastaus säästi aikaa.
proportion	osuus	Suuri osuus äänesti kyllä.
protein	proteiini	Pavut sisältävät proteiinia.
protester	mielenosoittaja	Mielenosoittaja piteli kylttiä.
psychological	psykologinen	Onnettomuus aiheutti psykologista stressiä.
publicity	julkisuus	Tapahtuma sai julkisuutta.
publishing	kustannusala	Hän työskentelee kustannusalalla.
punk	punk	Punk-musiikista tuli siellä suosittua.
purely	puhtaasti	Valinta oli puhtaasti käytännöllinen.
pursuit	tavoittelu	Hän jatkoi oikeudenmukaisuuden tavoittelua.
puzzle	palapeli	Palapeli vei tunnin.
questionnaire	kyselylomake	Ole hyvä ja täytä kyselylomake.
racial	rotu-	Raportti käsitteli rotuepätasa-arvoa.
racism	rasismi	Rasismi vahingoittaa yhteisöjä.
racist	rasistinen	Kommentti oli rasistinen.
radiation	säteily	Säteily voi vahingoittaa soluja.
rail	kaide	Pidä kiinni portaiden kaiteesta.
random	satunnainen	Tietokone valitsi satunnaisen numeron.
rat	rotta	Rotta juoksi jäteastioiden taakse.
rating	arvostelu	Hotellilla on korkea arvostelu.
reasonably	kohtuullisen	Huone oli kohtuullisen puhdas.
rebuild	jälleenrakentaa	He jälleenrakentavat sillan.
receiver	vastaanottaja	Vastaanottaja otti pallon kiinni.
recession	taantuma	Taantuma vähensi kulutusta.
reckon	arvella	Arvelen, että juna on myöhässä.
recognition	tunnustus	Hän sai tunnustusta työstään.
recovery	toipuminen	Toipuminen kesti useita viikkoja.
recruit	rekrytoida	Yritys aikoo rekrytoida insinöörejä.
recruitment	rekrytointi	Rekrytointi alkaa ensi maanantaina.
referee	erotuomari	Erotuomari keskeytti ottelun.
refugee	pakolainen	Pakolainen löysi turvallisen kodin.
registration	rekisteröinti	Rekisteröinti sulkeutuu perjantaina.
regulate	säännellä	Laki sääntelee päästöjä.
reinforce	vahvistaa	Ylimääräiset palkit vahvistavat kattoa.
relieve	lievittää	Lääke voi lievittää kipua.
relieved	helpottunut	Hän tunsi itsensä helpottuneeksi puhelun jälkeen.
remarkable	merkittävä	Toipuminen oli merkittävää.
remarkably	huomattavan	Hän toipui huomattavan nopeasti.
reporting	raportointi	Tarkka raportointi on tärkeää.
resign	erota	Johtaja eroaa huomenna.
resolution	resoluutio	Näytössä on korkea resoluutio.
restore	entisöidä	Työntekijät entisöivät vanhan maalauksen.
restrict	rajoittaa	Säännöt rajoittavat pysäköintiä.
restriction	rajoitus	Rajoitus päättyy huomenna.
retail	vähittäiskauppa	Vähittäiskaupan myynti kasvoi.
retirement	eläkkeelle siirtyminen	Hän suunnitteli eläkkeelle siirtymistään huolellisesti.
revenue	tulot	Lipputulot maksoivat korjaukset.
revision	kertaus	Kertaus auttoi ennen tenttiä.
ridiculous	naurettava	Hinta oli naurettava.
risky	riskillinen	Suunnitelma vaikutti riskilliseltä.
rival	kilpailija	Kilpailijamme avasi uuden myymälän.
rob	ryöstää	Miehet yrittivät ryöstää pankin.
robbery	ryöstö	Ryöstö tapahtui yöllä.
rocket	raketti	Raketti laukaistiin onnistuneesti.
romance	romanssi	Romaani sisältää romanssin.
rose	ruusu	Punainen ruusu kasvoi aidan vieressä.
roughly	suunnilleen	Suunnilleen kaksikymmentä ihmistä osallistui.
ruin	pilata	Sade saattaa pilata piknikin.
satisfaction	tyytyväisyys	Asiakastyytyväisyys parani.
scandal	skandaali	Skandaali vahingoitti hänen uraansa.
scare	säikähdys	Kova ääni aiheutti minulle säikähdyksen.
scenario	skenaario	Pahin skenaario on epätodennäköinen.
scholar	tutkija	Tutkija tutki muinaisia tekstejä.
scholarship	stipendi	Hän voitti stipendin.
scratch	naarmu	Kissa jätti naarmun.
screening	seulonta	Sairaala tarjoaa syöpäseulontaa.
seeker	hakija	Työnhakija lähetti hakemuksia.
seminar	seminaari	Seminaari alkaa yhdeksältä.
settler	uudisasukas	Uudisasukas rakensi pienen maatilan.
severely	vakavasti	Myrsky vahingoitti teitä vakavasti.
sexy	seksikäs	Mekkoa pidettiin seksikkäänä.
shocking	järkyttävä	Uutinen oli järkyttävä.
shore	ranta	Kävelimme rannalla.
shortage	pula	Kaupunki kohtasi vesipulan.
shortly	pian	Bussi saapui pian keskipäivän jälkeen.
short-term	lyhytaikainen	Suunnitelmalla on lyhytaikaisia etuja.
sibling	sisarus	Jokainen sisarus sai lahjan.
signature	allekirjoitus	Lisää allekirjoituksesi.
significance	merkitys	Löydöllä on suuri merkitys.
skilled	ammattitaitoinen	Ammattitaitoiset työntekijät korjasivat katon.
slogan	iskulause	Kampanja käytti yksinkertaista iskulausetta.
so-called	niin kutsuttu	Niin kutsuttu asiantuntija teki virheitä.
somehow	jotenkin	Jotenkin avaimet katosivat.
sometime	jossain vaiheessa	Vieraile luonnamme jossain vaiheessa ensi viikolla.
sophisticated	hienostunut	Ohjelmisto on hienostunut.
spare	vara-	Pidämme vara-avainta.
specialize	erikoistua	Lääkärit erikoistuvat eri aloille.
specify	täsmentää	Täsmennä saapumisaikasi.
spectacular	näyttävä	Ilotulitus oli näyttävä.
spectator	katsoja	Jokainen katsoja sai ohjelman.
speculate	spekuloida	Asiantuntijat spekuloivat syytä.
speculation	spekulaatio	Artikkeli rohkaisi spekulaatioon.
spice	mauste	Lisää yksi mauste kerrallaan.
spill	läikyttää	Älä läikytä mehua.
spite	kiusa	Hän onnistui ongelmista huolimatta.
spoil	pilata	Liika suola voi pilata keiton.
spokesman	tiedottaja	Tiedottaja vastasi kysymyksiin.
spokesperson	edustaja	Edustaja luki lausunnon.
spokeswoman	tiedottaja	Tiedottaja puhui lehdistölle.
sponsorship	sponsorointi	Joukkue tarvitsee sponsorointia.
sporting	urheilu-	Kaupunki isännöi urheilutapahtumia.
stall	koju	Markkinakoju myy hedelmiä.
stance	kanta	Ministeri muutti kantaansa.
starve	nääntyä	Ilman ruokaa eläimet voivat nääntyä.
steadily	tasaisesti	Yritys kasvoi tasaisesti.
steam	höyry	Keitosta nousi höyryä.
stimulate	stimuloida	Kirkkaat värit voivat stimuloida kiinnostusta.
