source_headword	SV	example_SV
comparison	en jämförelse	Den här jämförelsen är användbar.
competitive	konkurrensutsatt	Marknaden är mycket konkurrensutsatt.
competitor	en konkurrent	Vår största konkurrent sänkte priserna.
complaint	ett klagomål	Hon gjorde ett klagomål om buller.
complex	komplex	Instruktionerna är för komplexa.
concentrate	koncentrera sig	Jag kan inte koncentrera mig med musik.
conclude	avsluta	Vi avslutar mötet nu.
conclusion	en slutsats	Hans slutsats verkade rimlig.
confident	självsäker	Hon kände sig självsäker före intervjun.
confirm	bekräfta	Bekräfta din e-postadress, snälla.
confuse	förvirra	De här två namnen förvirrar mig.
confused	förvirrad	Jag blev förvirrad av kartan.
connection	en anslutning	Internetanslutningen är långsam.
consequence	en konsekvens	För lite sömn har en konsekvens.
consist	bestå	Måltiden består av tre rätter.
consume	förbruka	Stora bilar förbrukar mer bränsle.
consumer	en konsument	Konsumenten vill ha tydlig information.
contact	kontakta	Kontakta mig efter lunch.
container	en behållare	Lägg soppan i en behållare.
content1	innehåll	Kursens innehåll är användbart.
continuous	kontinuerlig	Maskinen gjorde ett kontinuerligt ljud.
contrast	en kontrast	Kontrasten mellan dem är tydlig.
convenient	praktisk	Stationen ligger mycket praktiskt.
convince	övertyga	Hon övertygade honom att försöka igen.
costume	en dräkt	Han bar en piratdräkt.
cottage	en stuga	De hyrde en liten stuga.
cotton	bomull	Den här skjortan är gjord av bomull.
countryside	landsbygden	Vi vandrade genom landsbygden.
court	en domstol	Fallet gick till domstol.
covered	täckt	Bordet var täckt med papper.
cruel	grym	Det var grymt att skratta.
cultural	kulturell	Museet erbjuder kulturella evenemang.
currency	en valuta	Den lokala valutan är euro.
current	aktuell	Den aktuella situationen är svår.
currently	för närvarande	Hon studerar för närvarande utomlands.
curtain	en gardin	Dra för gardinen på natten.
custom	en sed	Den här seden är mycket gammal.
damage	en skada	Stormen orsakade allvarlig skada.
decade	ett årtionde	De bodde där i ett årtionde.
decorate	dekorera	Vi dekorerar rummet tillsammans.
define	definiera	Kan du definiera den här termen?
definite	bestämd	Vi behöver ett bestämt svar.
definition	en definition	Skriv definitionen i din anteckningsbok.
deliver	leverera	De levererar mat till vårt hus.
departure	en avgång	Avgångstiden ändrades.
despite	trots	Trots regnet gick vi.
destination	en destination	Paris var deras slutdestination.
determine	avgöra	Prov avgör din nivå.
determined	beslutsam	Hon var beslutsam att lyckas.
development	en utveckling	Stadens utveckling gick snabbt.
diagram	ett diagram	Rita ett enkelt diagram.
diamond	en diamant	Ringen hade en liten diamant.
difficulty	en svårighet	Han hade svårt att öppna dörren.
directly	direkt	Tala direkt till mig, snälla.
dirt	smuts	Hans skor var täckta av smuts.
disadvantage	en nackdel	Den långa resan är en nackdel.
disappointed	besviken	Hon blev besviken över resultatet.
disappointing	besvikande	Slutet var besvikande.
discount	en rabatt	Studenter får rabatt här.
dislike	ogilla	Jag ogillar mycket hög musik.
divide	dela	Dela kakan i bitar.
documentary	en dokumentär	Vi såg en dokumentär om rymden.
donate	donera	Många människor donerar gamla kläder.
doubt	tvivel	Jag har inget tvivel om det.
dressed	klädd	Han var klädd i svart.
drum	en trumma	Trumman hördes över rummet.
drunk	berusad	Föraren var berusad.
due	ska lämnas in	Rapporten ska lämnas in i morgon.
dust	damm	Damm täckte de gamla böckerna.
duty	en plikt	Det är min plikt att hjälpa till.
earthquake	en jordbävning	Jordbävningen skadade bron.
eastern	östlig	Den östra kusten är blåsig.
economic	ekonomisk	Landet har ekonomiska problem.
economy	ekonomin	Ekonomin växte i år.
edge	en kant	Stå inte nära kanten.
editor	en redaktör	Redaktören kontrollerade artikeln.
educate	utbilda	Skolor utbildar unga människor.
educated	utbildad	Hon är högutbildad.
educational	lärorik	Spelet är lärorikt.
effective	effektiv	Den här medicinen är effektiv.
effectively	effektivt	Hon förklarade regeln effektivt.
effort	en ansträngning	Din ansträngning gjorde skillnad.
election	ett val	Valresultatet var jämnt.
element	ett element	Förtroende är ett viktigt element.
embarrassed	generad	Han kände sig generad efter fallet.
embarrassing	pinsam	Det var ett pinsamt misstag.
emergency	ett nödfall	Ring det här numret vid nödfall.
emotion	en känsla	Rädsla är en stark känsla.
employment	sysselsättning	Sysselsättningen ökade denna månad.
encourage	uppmuntra	Lärare uppmuntrar studenter att läsa.
enemy	en fiende	De två länderna var fiender.
engaged	förlovad	De förlovade sig förra våren.
engineering	teknik	Hon studerar teknik på universitetet.
entertain	underhålla	Sångaren ska underhålla gästerna.
entertainment	underhållning	Staden erbjuder kvällsunderhållning.
entrance	en ingång	Möt mig vid ingången.
entry	inträde	Inträde är gratis för barn.
environmental	miljömässig	Vi diskuterade miljömässiga problem.
episode	ett avsnitt	Det sista avsnittet var spännande.
equal	lika	De får lika lön.
equally	lika	Arbetet delas lika.
escape	fly	Fångarna försökte fly.
essential	nödvändig	Vatten är nödvändigt för livet.
eventually	till slut	Till slut hittade vi hotellet.
examine	undersöka	Läkaren undersökte min arm.
exchange	ett byte	Vi gjorde ett byte i butiken.
excitement	spänning	Matchen var full av spänning.
exhibition	en utställning	Konstutställningen öppnar i morgon.
expand	expandera	Företaget planerar att expandera.
expected	förväntad	Den förväntade kostnaden är hög.
expedition	en expedition	Expeditionen korsade öknen.
experienced	erfaren	Hon är en erfaren sjuksköterska.
explode	explodera	Flaskan kan explodera av värme.
explore	utforska	Vi utforskade den gamla staden.
explosion	en explosion	Explosionen krossade flera fönster.
export	en export	Kaffe är en viktig export.
fairly	ganska	Provet var ganska lätt.
familiar	bekant	Hennes ansikte såg bekant ut.
fancy	ha lust med	Vill du ha kaffe?
fascinating	fascinerande	Berättelsen var fascinerande.
fashionable	modern	De där skorna är moderna.
fasten	spänna fast	Spänn fast säkerhetsbältet.
favour	en tjänst	Kan du göra mig en tjänst?
fence	ett staket	Staketet omger trädgården.
fighting	strider	Striderna upphörde i gryningen.
file	en fil	Spara filen innan du stänger.
financial	finansiell	Hon behöver finansiell rådgivning.
fitness	kondition	Löpning förbättrar din kondition.
fixed	fast	Priset är fast.
flag	en flagga	Flaggan vajade ovanför skolan.
flood	en översvämning	Översvämningen skadade många hem.
flour	mjöl	Tillsätt mjöl i skålen.
flow	rinna	Floden rinner genom staden.
fold	vika	Vik papperet på mitten.
folk	folk	Folkmusik fyllde salen.
force	en kraft	Vinden hade stor kraft.
forever	för alltid	Jag kommer att minnas detta för alltid.
frame	en ram	Fotot behöver en ram.
freeze	frysa	Vatten kommer att frysa under natten.
frequently	ofta	Han besöker sina föräldrar ofta.
friendship	vänskap	Deras vänskap varade i många år.
frighten	skrämma	Höga ljud skrämmer barnet.
frightened	rädd	Barnet såg rädd ut.
frightening	skrämmande	Stormen var skrämmande.
frozen	frusen	Sjön var frusen.
fry	steka	Stek löken i fem minuter.
fuel	bränsle	Bilen behöver mer bränsle.
function	en funktion	Den här knappen har en funktion.
fur	päls	Katten har mjuk päls.
garage	ett garage	Bilen står i garaget.
gather	samlas	Vi samlades runt bordet.
generally	vanligtvis	Hon kommer vanligtvis tidigt.
generation	en generation	Varje generation möter nya problem.
generous	generös	Han är generös med sin tid.
gentle	mild	Använd en mild röst.
gentleman	en herre	Herren öppnade dörren.
ghost	ett spöke	Berättelsen nämner ett spöke.
giant	jättestor	En jättestor skärm fyllde scenen.
glad	glad	Jag är glad att du kom.
global	global	Klimatförändringar är en global fråga.
glove	en handske	Jag tappade en handske.
goods	varor	Varorna kom sent.
grade	ett betyg	Hon fick ett högt betyg.
graduate	en nyutexaminerad	Han är nyutexaminerad.
grain	ett korn	Ett riskorn föll.
grateful	tacksam	Jag är tacksam för ditt stöd.
growth	tillväxt	Växten visade stadig tillväxt.
guard	en vakt	Vakten kontrollerade våra biljetter.
guilty	skyldig	Han kände sig skyldig för lögnen.
hang	hänga	Häng din jacka här.
happiness	lycka	Pengar kan inte köpa lycka.
hardly	knappt	Jag kunde knappt höra dig.
headline	en rubrik	Rubriken fångade min uppmärksamhet.
heating	värmen	Värmen slutade fungera.
heavily	kraftigt	Det regnade kraftigt hela natten.
helicopter	en helikopter	En helikopter landade i närheten.
highlight	markera	Markera huvudidén, snälla.
highly	mycket	Hon är mycket respekterad.
hire	hyra	Vi behöver hyra en bil.
historic	historisk	Vi besökte en historisk byggnad.
historical	historisk	Hon älskar historiska romaner.
honest	ärlig	Ge ett ärligt svar, snälla.
horrible	hemsk	Lukten var hemsk.
horror	skräck	Han gillar skräckfilmer.
host	en värd	Värden välkomnade varje gäst.
