source_headword	SK	example_SK
capable	schopný	Je dostatočne schopná.
capacity	kapacita	Sála dosiahla svoju kapacitu.
capture	zachytiť	Fotografia zachytila náladu.
cast	obsadenie	Obsadenie je pripravené.
cell	bunka	Každá bunka obsahuje údaje.
chairman	predseda	Predseda otvoril schôdzu.
characteristic	vlastnosť	Trpezlivosť je dôležitá vlastnosť.
chief	hlavný	Hlavným dôvodom bola bezpečnosť.
circumstance	okolnosť	Každá okolnosť sa počíta.
cite	citovať	Študent citoval tri zdroje.
citizen	občan	Každý občan môže voliť.
civil	občiansky	Prípad sa týkal občianskych práv.
classic	klasický	To je klasický príklad.
closely	úzko	Pracovali úzko spolu.
collapse	zrútiť sa	Stará strecha sa zrútila.
combination	kombinácia	Táto kombinácia funguje dobre.
comfort	pohodlie	Stolička ponúka málo pohodlia.
command	príkaz	Vojaci splnili príkaz.
commission	komisia	Komisia vyšetrila sťažnosť.
commitment	záväzok	Jej záväzok zostal silný.
committee	výbor	Výbor bude zajtra hlasovať.
commonly	bežne	Toto slovo sa bežne používa.
complicated	zložitý	Pravidlá sú zložité.
component	súčasť	Každá súčasť bola testovaná.
concentration	sústredenie	Plné sústredenie je nutné.
concept	koncept	Koncept je jednoduchý.
concern	obava	Existujú obavy o bezpečnosť.
concerned	znepokojený	Máme obavy z nákladov.
conduct	vykonávať	Vykonávajú miestny výskum.
confidence	dôvera	Jej dôvera rýchlo rástla.
conflict	konflikt	Konflikt trval roky.
confusing	mätúci	Vysvetlenie bolo mätúce.
conscious	pri vedomí	Po páde bol pri vedomí.
conservative	konzervatívny	Návrh bol pomerne konzervatívny.
consideration	ohľad	Vezmi to do úvahy.
consistent	dôsledný	Jej práca je dôsledne dobrá.
constant	stály	Bol tam stály hluk.
constantly	neustále	Telefón neustále zvonil.
construct	postaviť	Postavili nový most.
construction	stavba	Stavba sa začne v júni.
contemporary	súčasný	Múzeum ukazuje súčasné umenie.
contest	súťaž	Vyhrala súťaž.
contract	zmluva	Zmluva končí v piatok.
contribute	prispieť	Každý môže prispieť do fondu.
contribution	príspevok	Jeho príspevok bol dôležitý.
convert	premeniť	Premenili budovu na byty.
convinced	presvedčený	Som presvedčený, že má pravdu.
core	jadro	Dôvera je jadrom problému.
corporate	firemný	Firma zmenila firemnú stratégiu.
council	rada	Rada schválila plán.
county	okres	Okres dostal nové hranice.
courage	odvaha	Prejavila veľkú odvahu.
crash	nehoda	Nehoda zablokovala cestu.
creation	vytvorenie	Vytvorenie pracovných miest trvá.
creature	tvor	Tvor sa pohyboval pomaly.
crew	posádka	Posádka zostala pokojná.
crisis	kríza	Kríza trvala mesiace.
criterion	kritérium	Cena nie je jediné kritérium.
critic	kritik	Kritik film pochválil.
critical	kritický	Situácia je kritická.
criticism	kritika	Kritiku prijal pokojne.
criticize	kritizovať	Nekritizuj ju príliš rýchlo.
crop	plodina	Plodina potrebovala viac dažďa.
crucial	kľúčový	Čas je tu kľúčový.
cure	liek	Zatiaľ neexistuje žiadny liek.
curve	zákruta	Cesta má ostrú zákrutu.
curved	zakrivený	Most má zakrivený tvar.
debate	debata	Debata sa začala neskoro.
debt	dlh	Splatil svoj dlh.
decent	slušný	Našla slušný hotel.
declare	vyhlásiť	Vláda vyhlásila núdzový stav.
decline	pokles	Pokles bol nečakaný.
decoration	dekorácia	Dekorácia visela nad dverami.
decrease	znížiť sa	Náklady sa pomaly znížili.
deeply	hlboko	Cítil sa hlboko zranený.
defeat	porážka	Porážku bolo ťažké prijať.
defence	obrana	Obrana bola dobre pripravená.
defend	brániť	Bránila svoje rozhodnutie.
delay	meškanie	Meškanie trvalo hodinu.
deliberate	úmyselný	Bola to úmyselná voľba.
deliberately	úmyselne	Úmyselne ignoroval varovanie.
delight	radosť	Správa priniesla veľkú radosť.
delighted	potešený	Bola potešená výsledkom.
delivery	dodávka	Dodávka príde zajtra.
demand	dopyt	Dopyt po izbách rástol.
demonstrate	ukázať	Čísla ukazujú problém.
deny	poprieť	Poprel obvinenie.
depressed	deprimovaný	Cítila sa deprimovane.
depressing	deprimujúci	Správa bola deprimujúca.
depth	hĺbka	Zmeraj hĺbku vody.
deserve	zaslúžiť si	Zaslúži si úprimnú odpoveď.
desire	túžba	Jeho túžba po slobode zostala.
desperate	zúfalý	Urobila zúfalý pokus.
detailed	podrobný	Dostali sme podrobnú správu.
detect	odhaliť	Test môže odhaliť chyby.
dig	kopať	Vykopali hlbokú jamu.
disc	disk	Starý disk nefungoval.
discipline	disciplína	Disciplína pomáha pri tréningu.
dishonest	nečestný	Odpoveď znela nečestne.
dismiss	odmietnuť	Sudca odmietol sťažnosť.
display	zobraziť	Obrazovka zobrazuje výsledky.
distribute	rozdeliť	Rozdelili jedlo v dedine.
distribution	distribúcia	Distribúcia nebola spravodlivá.
district	okres	Okres dostal novú školu.
division	oddelenie	Pracuje vo finančnom oddelení.
domestic	domáci	Vnútroštátne lety sú lacnejšie.
dominate	dominovať	Jeden tím dominoval zápasu.
downwards	nadol	Šípka ukazuje nadol.
dozen	tucet	Kúpil tucet vajec.
draft	návrh	Prvý návrh je hotový.
drag	ťahať	Pritiahni stoličku k stene.
dramatic	dramatický	Zmena bola dramatická.
edit	upraviť	Uprav text pozorne.
edition	vydanie	Toto vydanie obsahuje nové karty.
efficient	efektívny	Systém je efektívny.
elderly	starší	Starší muž dostal pomoc.
elect	zvoliť	Zvolili nového vodcu.
elsewhere	inde	Musíme hľadať inde.
emerge	objaviť sa	Objavili sa nové fakty.
emotional	emocionálny	Rozhovor sa stal emocionálnym.
emphasis	dôraz	Dôraz je na bezpečnosti.
emphasize	zdôrazniť	Zdôrazni najdôležitejší bod.
enable	umožniť	Aplikácia umožňuje rýchle učenie.
encounter	naraziť na	Narazili na problém.
engage	zapojiť	Učiteľ zapojil triedu.
enhance	zlepšiť	Táto funkcia zlepšuje zážitok.
enquiry	vyšetrovanie	Vyšetrovanie sa začne zajtra.
ensure	zabezpečiť	Skontroluj to, aby bola zabezpečená bezpečnosť.
enthusiasm	nadšenie	Jej nadšenie bolo nákazlivé.
enthusiastic	nadšený	Skupina bola nadšená.
entire	celý	Prišiel celý tím.
entirely	úplne	Úplne súhlasím.
establish	založiť	Založili novú firmu.
estate	pozemok	Pozemok leží za mestom.
estimate	odhad	Odhad bol príliš nízky.
ethical	etický	Voľba bola eticky ťažká.
evaluate	vyhodnotiť	Musíme vyhodnotiť výsledky.
evil	zlo	Príbeh je o zle.
examination	vyšetrenie	Vyšetrenie trvalo dve hodiny.
excuse	výhovorka	Výhovorka znela slabo.
executive	vedúci	Vedúci odstúpil.
existence	existencia	Existencia listu bola potvrdená.
expectation	očakávanie	Očakávanie bolo príliš vysoké.
expense	výdavok	Tento výdavok nebol plánovaný.
exploration	prieskum	Prieskum sa začal skoro.
expose	vystaviť	Nevystavuj deti dymu.
extend	predĺžiť	Predĺžili termín.
extent	rozsah	Rozsah škody je neznámy.
external	externý	Externý tím to kontroluje.
extraordinary	mimoriadny	Bol to mimoriadny výkon.
facility	zariadenie	Zariadenie sa otvorí budúci týždeň.
failure	zlyhanie	Jeho zlyhanie bolo bolestivé.
faith	viera	Stratila vieru v systém.
fault	chyba	Nebola to tvoja chyba.
feather	pierko	Na stole ležalo pierko.
fee	poplatok	Poplatok je zahrnutý.
feedback	spätná väzba	Spätná väzba bola užitočná.
fellow	kolega	Môj kolega mi pomohol.
finance	financie	Študuje financie.
finding	zistenie	Zistenie tím prekvapilo.
firm	firma	Firma rýchlo rastie.
flame	plameň	Plameň sa zväčšil.
flash	záblesk	Záblesk osvetlil miestnosť.
flexible	flexibilný	Rozvrh je flexibilný.
float	plávať	Drevo môže plávať na vode.
folding	skladací	Kúpila skladaciu stoličku.
forgive	odpustiť	Môžem mu odpustiť.
former	bývalý	Bývalý riaditeľ krátko prehovoril.
fortune	majetok	Prišiel o svoj majetok.
found	založiť	Založili klub v roku 1998.
freedom	sloboda	Sloboda je dôležitá pre všetkých.
frequency	frekvencia	Frekvencia sa zvýšila.
fully	plne	Plne tomu rozumiem.
fund	fond	Fond podporuje výskum.
fundamental	základný	To je základné právo.
funding	financovanie	Financovanie bolo schválené.
furthermore	okrem toho	Okrem toho je plán lacnejší.
gain	získať	Získali väčšiu podporu.
gang	gang	Gang bol zatknutý.
generate	generovať	Program generuje správu.
genre	žáner	Mám rád tento žáner.
govern	riadiť	Zákony riadia fungovanie krajiny.
grab	chytiť	Chyť rýchlo tašku.
gradually	postupne	Bolesť postupne zmizla.
grand	veľkolepý	Hotel mal veľkolepý vstup.
grant	grant	Škola získala grant.
guarantee	záruka	Záruka platí dva roky.
handle	zvládnuť	Dokáže dobre zvládnuť tlak.
harm	škoda	Fajčenie spôsobuje škodu.
harmful	škodlivý	Táto látka je škodlivá.
hearing	sluch	Jeho sluch sa zhoršil.
heaven	nebo	Nebo bolo jasné.
heel	päta	Bolí ma päta.
hell	peklo	Cesta pôsobila ako peklo.
hesitate	váhať	Neváhaj zavolať.
hollow	dutý	Strom bol vo vnútri dutý.
holy	svätý	Chrám je sväté miesto.
honour	česť	Bola to veľká česť.
household	domácnosť	Každá domácnosť dostala list.
housing	bývanie	Bývanie je tu drahé.
humorous	humorný	Jeho príbeh bol humorný.
humour	humor	Jej humor všetkých upokojil.
hunting	lov	Lov je tu zakázaný.
illustrate	ilustrovať	Graf ilustruje rozdiel.
illustration	ilustrácia	Ilustrácia je na druhej strane.
imagination	predstavivosť	Použi svoju predstavivosť.
impatient	netrpezlivý	V rade bol netrpezlivý.
imply	naznačovať	Naznačuješ, že sa mýlim?
impose	uložiť	Vláda uložila nové pravidlá.
impress	zapôsobiť	Jej odvaha na všetkých zapôsobila.
impressed	ohromený	Bol som ohromený jej prácou.
inch	palec	Obrazovka je široká päť palcov.
incident	incident	Incident bol vyšetrený.
income	príjem	Jej príjem sa tento rok zvýšil.
increasingly	čoraz viac	Je to čoraz viac jasné.
industrial	priemyselný	Mesto má priemyselnú oblasť.
infection	infekcia	Infekcia sa rýchlo šírila.
inform	informovať	Informuj nás o zmenách.
initial	počiatočný	Počiatočné náklady boli vysoké.
initially	spočiatku	Spočiatku tomu nikto nerozumel.
initiative	iniciatíva	Prevzala iniciatívu.
inner	vnútorný	Jeho vnútorná sila zostala.
insight	postreh	Výskum priniesol nový postreh.
insist	trvať na	Trvala na odpovedi.
inspire	inšpirovať	Jej príbeh inšpiroval triedu.
install	nainštalovať	Nainštaluj aplikáciu dnes.
instance	príklad	To je jasný príklad.
