simplified	HI	example_HI	BN	example_BN	TL	example_TL
起床	उठना	मैं सुबह छह बजे उठता हूँ।	ঘুম থেকে ওঠা	আমি সকালে ছয়টায় উঠি।	bumangon	Gumigising ako nang alas sais ng umaga.
千	हज़ार	यह साइकिल एक हज़ार युआन की है।	হাজার	এই সাইকেলটির দাম এক হাজার ইউয়ান।	sanlibo	Isang libong yuan ang bisikletang ito.
晴	धूप वाला; साफ़	आज धूप है।	রৌদ্রোজ্জ্বল; পরিষ্কার	আজ রোদ।	maaraw	Maaraw ngayon.
去年	पिछले साल	पिछले साल मैं बीजिंग में था।	গত বছর	গত বছর আমি বেইজিংয়ে ছিলাম।	noong nakaraang taon	Nasa Beijing ako noong nakaraang taon.
让	अनुमति देना; करवाना	माँ मुझे पढ़ने देती हैं।	অনুমতি দেওয়া; করতে দেওয়া	মা আমাকে পড়তে দেন।	payagan; hayaan	Pinahihintulutan ako ni Nanay na mag-aral.
上班	काम पर जाना	मैं आठ बजे काम पर जाता हूँ।	কাজে যাওয়া	আমি আটটায় কাজে যাই।	pumasok sa trabaho	Pumapasok ako sa trabaho nang alas otso.
身体	शरीर; स्वास्थ्य	उसका स्वास्थ्य अच्छा है।	শরীর; স্বাস্থ্য	তার স্বাস্থ্য ভালো।	katawan; kalusugan	Mabuti ang kalusugan niya.
生病	बीमार होना	वह बीमार हो गया।	অসুস্থ হওয়া	সে অসুস্থ হয়েছে।	magkasakit	Nagkasakit siya.
生日	जन्मदिन	आज मेरा जन्मदिन है।	জন্মদিন	আজ আমার জন্মদিন।	kaarawan	Kaarawan ko ngayon.
时间	समय	मेरे पास समय नहीं है।	সময়	আমার সময় নেই।	oras	Wala akong oras.
事情	बात; काम	मुझे कुछ काम है।	ব্যাপার; কাজ	আমার কিছু কাজ আছে।	bagay; gawain	May kailangan akong gawin.
手表	कलाई घड़ी	यह कलाई घड़ी नई है।	হাতঘড়ি	এই হাতঘড়িটি নতুন।	relos	Bago ang relos na ito.
手机	मोबाइल फ़ोन	मेरा मोबाइल फ़ोन मेज़ पर है।	মোবাইল ফোন	আমার মোবাইল ফোনটি টেবিলের ওপর আছে।	selpon	Nasa mesa ang selpon ko.
送	भेजना; देना	मैं तुम्हें एक किताब देता हूँ।	পাঠানো; দেওয়া	আমি তোমাকে একটি বই দিচ্ছি।	magpadala; magbigay	Binibigyan kita ng libro.
所以	इसलिए	आज बारिश हो रही है, इसलिए मैं नहीं जा रहा।	তাই; সুতরাং	আজ বৃষ্টি হচ্ছে, তাই আমি যাচ্ছি না।	kaya; samakatuwid	Umuulan ngayon, kaya hindi ako aalis.
它	यह; वह	यह मेरी बिल्ली है।	এটা; ওটা	এটা আমার বিড়াল।	ito; siya	Ito ang pusa ko.
踢足球	फ़ुटबॉल खेलना	वे फ़ुटबॉल खेलते हैं।	ফুটবল খেলা	তারা ফুটবল খেলে।	maglaro ng futbol	Naglalaro sila ng futbol.
题	प्रश्न; विषय	यह प्रश्न सही नहीं है।	প্রশ্ন; বিষয়	এই প্রশ্নটি ঠিক নয়।	tanong; paksa	Hindi tama ang tanong na ito.
跳舞	नाचना	उसे नाचना पसंद है।	নাচা	সে নাচতে ভালোবাসে।	sumayaw	Mahilig siyang sumayaw.
外	बाहर	वह दरवाज़े के बाहर है।	বাইরে	সে দরজার বাইরে আছে।	labas	Nasa labas siya ng pinto.
完	ख़त्म करना	मैंने ख़त्म कर दिया।	শেষ করা	আমি শেষ করেছি।	tapusin	Tapos na ako.
玩	खेलना; मज़े करना	बच्चा खेल रहा है।	খেলা; মজা করা	শিশুটি খেলছে।	maglaro	Naglalaro ang bata.
晚上	शाम; रात	शाम को मैं फ़िल्म देखता हूँ।	সন্ধ্যা; রাত	সন্ধ্যায় আমি সিনেমা দেখি।	gabi	Sa gabi, nanonood ako ng pelikula.
为什么	क्यों	तुम क्यों नहीं जा रहे?	কেন	তুমি কেন যাচ্ছ না?	bakit	Bakit hindi ka aalis?
问	पूछना	मैं शिक्षक से पूछता हूँ।	জিজ্ঞেস করা	আমি শিক্ষককে জিজ্ঞেস করি।	magtanong	Nagtatanong ako sa guro.
问题	प्रश्न; समस्या	मेरा एक प्रश्न है।	প্রশ্ন; সমস্যা	আমার একটি প্রশ্ন আছে।	tanong; problema	May tanong ako.
西瓜	तरबूज़	मैं तरबूज़ खाता हूँ।	তরমুজ	আমি তরমুজ খাই।	pakwan	Kumakain ako ng pakwan.
希望	आशा करना; आशा	मुझे आशा है कि तुम आओगे।	আশা করা; আশা	আমি আশা করি তুমি আসবে।	umasa; pag-asa	Umaasa akong darating ka.
洗	धोना	मैं कपड़े धोता हूँ।	ধোয়া	আমি জামাকাপড় ধুই।	maghugas; maglaba	Naglalaba ako ng damit.
向	की ओर	वह मेरी ओर चलता है।	দিকে	সে আমার দিকে হাঁটে।	patungo; sa direksiyon	Naglalakad siya papunta sa akin.
小时	घंटा	मैं दो घंटे पढ़ता हूँ।	ঘণ্টা	আমি দুই ঘণ্টা পড়াশোনা করি।	oras	Nag-aaral ako nang dalawang oras.
笑	मुस्कुराना; हँसना	वह मुस्कुराई।	হাসা	সে হাসল।	ngumiti; tumawa	Ngumiti siya.
新	नया; नई; नए	यह नई किताब है।	নতুন	এটি নতুন বই।	bago	Bago ang librong ito.
姓	उपनाम; उपनाम होना	आपका उपनाम क्या है?	পদবি; পদবি হওয়া	আপনার পদবি কী?	apelyido	Ano ang apelyido ninyo?
休息	आराम करना	मैं आराम करना चाहता हूँ।	বিশ্রাম নেওয়া	আমি বিশ্রাম নিতে চাই।	magpahinga	Gusto kong magpahinga.
雪	बर्फ़	आज बर्फ़ पड़ रही है।	তুষার	আজ তুষারপাত হচ্ছে।	niyebe	Umuulan ng niyebe ngayon.
颜色	रंग	मुझे यह रंग पसंद है।	রং	আমার এই রং ভালো লাগে।	kulay	Gusto ko ang kulay na ito.
眼睛	आँख	उसकी आँखें बड़ी हैं।	চোখ	তার চোখ বড়।	mata	Malaki ang mga mata niya.
羊肉	भेड़ का मांस; मेमने का मांस	मैं भेड़ का मांस नहीं खाता।	খাসির মাংস; ভেড়ার মাংস	আমি খাসির মাংস খাই না।	karne ng tupa	Hindi ako kumakain ng karne ng tupa.
药	दवा	वह दवा लेता है।	ওষুধ	সে ওষুধ খায়।	gamot	Umiinom siya ng gamot.
要	चाहना; चाहिए होना	मैं पानी पीना चाहता हूँ।	চাওয়া; দরকার হওয়া	আমি পানি পান করতে চাই।	gusto; kailangan	Gusto kong uminom ng tubig.
也	भी	मैं भी जा रहा हूँ।	ও; এছাড়াও	আমিও যাচ্ছি।	rin; din	Aalis din ako.
已经	पहले ही	मैं पहले ही पहुँच गया हूँ।	ইতিমধ্যে	আমি ইতিমধ্যে পৌঁছে গেছি।	na	Dumating na ako.
一起	साथ	हम साथ जाते हैं।	একসঙ্গে	আমরা একসঙ্গে যাই।	magkasama	Sabay tayong pupunta.
意思	अर्थ; मतलब	इस अक्षर का क्या अर्थ है?	অর্থ; মানে	এই অক্ষরটির মানে কী?	kahulugan; ibig sabihin	Ano ang ibig sabihin ng karakter na ito?
阴	बादल छाया; धुँधला	आज बादल छाए हैं।	মেঘলা; ছায়াচ্ছন্ন	আজ মেঘলা।	maulap	Maulap ngayon.
因为	क्योंकि	क्योंकि बारिश हो रही है, मैं नहीं जा रहा।	কারণ; যেহেতু	যেহেতু বৃষ্টি হচ্ছে, আমি যাচ্ছি না।	dahil	Dahil umuulan, hindi ako aalis.
游泳	तैरना	मैं तैर सकता हूँ।	সাঁতার কাটা	আমি সাঁতার কাটতে পারি।	lumangoy	Marunong akong lumangoy.
右边	दाहिनी ओर	दुकान दाहिनी ओर है।	ডান দিক	দোকানটি ডান দিকে।	kanang bahagi	Nasa kanan ang tindahan.
鱼	मछली	मैं मछली खाता हूँ।	মাছ	আমি মাছ খাই।	isda	Kumakain ako ng isda.
元	युआन; मुद्रा इकाई	यह कप दस युआन का है।	ইউয়ান; মুদ্রা একক	এই কাপটির দাম দশ ইউয়ান।	yuan; yunit ng pera	Sampung yuan ang tasang ito.
远	दूर	हवाई अड्डा दूर है।	দূর	বিমানবন্দরটি দূরে।	malayo	Malayo ang paliparan.
运动	खेल; व्यायाम	मुझे व्यायाम करना पसंद है।	খেলা; ব্যায়াম	আমার ব্যায়াম করতে ভালো লাগে।	palakasan; ehersisyo	Gusto kong mag-ehersisyo.
再	फिर; दोबारा	मैं कल फिर आऊँगा।	আবার; পরে	আমি আগামীকাল আবার আসব।	muli; ulit	Babalik ako ulit bukas.
早上	सुबह	सुबह मैं चाय पीता हूँ।	সকাল	সকালে আমি চা পান করি।	umaga	Sa umaga, umiinom ako ng tsaa.
张	समतल चीज़ों के लिए माप शब्द	मैंने एक टिकट खरीदा।	চ্যাপ্টা জিনিসের পরিমাপক শব্দ	আমি একটি টিকিট কিনেছি।	panukat para sa patag na bagay	Bumili ako ng isang tiket.
丈夫	पति	उसका पति डॉक्टर है।	স্বামী	তার স্বামী ডাক্তার।	asawang lalaki	Doktor ang asawa niyang lalaki.
找	ढूँढना; पाना	मैं एक दोस्त को ढूँढ रहा हूँ।	খোঁজা; পাওয়া	আমি একজন বন্ধুকে খুঁজছি।	maghanap; makita	Naghahanap ako ng kaibigan.
着	चल रही अवस्था का कण	दरवाज़ा खुला है।	চলমান অবস্থার কণা	দরজাটি খোলা আছে।	pananda ng nagpapatuloy na kalagayan	Bukas ang pinto.
真	सचमुच; असली	यह किताब सचमुच अच्छी है।	সত্যিই; আসল	এই বইটি সত্যিই ভালো।	talaga; tunay	Talagang maganda ang librong ito.
正在	अभी चल रहा होना	वह टीवी देख रहा है।	চলমান; এখন	সে এখন টিভি দেখছে।	kasalukuyang; kasalukuyan	Kasalukuyan siyang nanonood ng TV.
知道	जानना	मुझे नहीं पता।	জানা	আমি জানি না।	malaman; alam	Hindi ko alam.
准备	तैयार करना; तैयारी	मैं परीक्षा की तैयारी कर रहा हूँ।	প্রস্তুত করা; প্রস্তুতি	আমি পরীক্ষার জন্য প্রস্তুতি নিচ্ছি।	maghanda; paghahanda	Naghahanda ako para sa pagsusulit.
自行车	साइकिल	मेरी साइकिल नई है।	সাইকেল	আমার সাইকেলটি নতুন।	bisikleta	Bago ang bisikleta ko.
走	चलना; जाना	मैं पैदल घर जाता हूँ।	হাঁটা; যাওয়া	আমি হেঁটে বাড়ি যাই।	maglakad; umalis	Naglalakad ako pauwi.
最	सबसे	वह सबसे लंबा है।	সবচেয়ে	সে সবচেয়ে লম্বা।	pinaka	Siya ang pinakamatangkad.
左边	बाईं ओर	स्कूल बाईं ओर है।	বাম দিক	স্কুলটি বাম দিকে।	kaliwang bahagi	Nasa kaliwa ang paaralan.
